Orthogroup	Homo_sapiens	Cebus_imitator
OG0000006	sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN	tr|A0A2K5QLC5|A0A2K5QLC5_CEBIM
OG0000006	sp|Q08AG5|ZN844_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q8NDP4|ZN439_HUMAN	tr|A0A2K5RXM1|A0A2K5RXM1_CEBIM
OG0000008	sp|Q08379|GOGA2_HUMAN	tr|A0A2K5SJ11|A0A2K5SJ11_CEBIM
OG0000008	sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN	tr|A0A2K5SER5|A0A2K5SER5_CEBIM
OG0000009	sp|Q8TD91|MAGC3_HUMAN	tr|A0A2K5PLZ3|A0A2K5PLZ3_CEBIM
OG0000009	sp|A2A368|MAGBG_HUMAN	tr|A0A2K5RND4|A0A2K5RND4_CEBIM
OG0000009	sp|A6NCF6|MA13P_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN	tr|A0A2K5Q0H9|A0A2K5Q0H9_CEBIM
OG0000010	sp|Q9H208|O10A2_HUMAN	tr|A0A2K5PC64|A0A2K5PC64_CEBIM
OG0000010	sp|Q9H207|O10A5_HUMAN	tr|A0A2K5PAB1|A0A2K5PAB1_CEBIM
OG0000010	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A2K5S0R3|A0A2K5S0R3_CEBIM
OG0000010	sp|P30954|O10J1_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|A0A2K5QZG1|A0A2K5QZG1_CEBIM
OG0000011	sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|Q5VTA0|PRA17_HUMAN	tr|A0A2K5RMA8|A0A2K5RMA8_CEBIM
OG0000011	sp|P78395|PRAME_HUMAN	tr|A0A2K5PIC8|A0A2K5PIC8_CEBIM
OG0000011	sp|Q5VT98|PRA20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|O60810|PRAM4_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60813|PRA11_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN	tr|A0A2K5RWG8|A0A2K5RWG8_CEBIM
OG0000013	tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN	tr|A0A2K5PJP1|A0A2K5PJP1_CEBIM, tr|A0A2K5P9T3|A0A2K5P9T3_CEBIM, tr|A0A2K5QSM2|A0A2K5QSM2_CEBIM, tr|A0A2K5RIP8|A0A2K5RIP8_CEBIM, tr|A0A2K5PQS9|A0A2K5PQS9_CEBIM, tr|A0A2K5Q1W9|A0A2K5Q1W9_CEBIM, tr|A0A2K5PI56|A0A2K5PI56_CEBIM, tr|A0A2K5RHL4|A0A2K5RHL4_CEBIM, tr|A0A2K5RGC8|A0A2K5RGC8_CEBIM, tr|A0A2K5RH68|A0A2K5RH68_CEBIM, tr|A0A2K5RHA0|A0A2K5RHA0_CEBIM, tr|A0A2K5RGZ8|A0A2K5RGZ8_CEBIM, tr|A0A2K5Q590|A0A2K5Q590_CEBIM, tr|A0A2K5RJQ0|A0A2K5RJQ0_CEBIM, tr|A0A2K5RGA6|A0A2K5RGA6_CEBIM, tr|A0A2K5QAH5|A0A2K5QAH5_CEBIM, tr|A0A2K5RGS1|A0A2K5RGS1_CEBIM, tr|A0A2K5RI71|A0A2K5RI71_CEBIM, tr|A0A2K5RF90|A0A2K5RF90_CEBIM, tr|A0A2K5RF95|A0A2K5RF95_CEBIM, tr|A0A2K5QY71|A0A2K5QY71_CEBIM, tr|A0A2K5RGC4|A0A2K5RGC4_CEBIM, tr|A0A2K5Q788|A0A2K5Q788_CEBIM, tr|A0A2K5RH82|A0A2K5RH82_CEBIM, tr|A0A2K5PPP0|A0A2K5PPP0_CEBIM
OG0000014	sp|Q6S8J7|POTEA_HUMAN	tr|A0A2K5QST4|A0A2K5QST4_CEBIM
OG0000014	sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q8TDY3|ACTT2_HUMAN, sp|Q8TDG2|ACTT1_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN	tr|A0A2K5PVN9|A0A2K5PVN9_CEBIM
OG0000015	sp|Q8NH37|OR4C3_HUMAN	tr|A0A2K5R766|A0A2K5R766_CEBIM
OG0000015	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K5PDA7|A0A2K5PDA7_CEBIM
OG0000015	sp|Q8NH49|OR4X1_HUMAN	tr|A0A2K5RJA7|A0A2K5RJA7_CEBIM
OG0000015	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K5PJH5|A0A2K5PJH5_CEBIM
OG0000018	sp|Q9H9J4|UBP42_HUMAN	tr|A0A2K5RRQ3|A0A2K5RRQ3_CEBIM
OG0000018	sp|C9J2P7|U17LF_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A2K5SHX2|A0A2K5SHX2_CEBIM
OG0000022	sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN	tr|A0A2K5Q855|A0A2K5Q855_CEBIM
OG0000023	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A2K5PIZ6|A0A2K5PIZ6_CEBIM
OG0000023	sp|Q8NH79|OR6X1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K5RJX1|A0A2K5RJX1_CEBIM
OG0000023	sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN	tr|A0A2K5PLJ5|A0A2K5PLJ5_CEBIM
OG0000024	sp|Q658T7|F90A2_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A6NNH2|F90AR_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN	tr|A0A2K5SEY4|A0A2K5SEY4_CEBIM
OG0000026	sp|P29320|EPHA3_HUMAN	tr|A0A2K5Q829|A0A2K5Q829_CEBIM
OG0000026	sp|P54756|EPHA5_HUMAN	tr|A0A2K5QPI2|A0A2K5QPI2_CEBIM
OG0000026	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K5RIU3|A0A2K5RIU3_CEBIM
OG0000026	sp|P29322|EPHA8_HUMAN	tr|A0A2K5S8T4|A0A2K5S8T4_CEBIM
OG0000026	sp|Q15375|EPHA7_HUMAN	tr|A0A2K5Q0S1|A0A2K5Q0S1_CEBIM
OG0000026	sp|P54764|EPHA4_HUMAN	tr|A0A2K5SHD4|A0A2K5SHD4_CEBIM
OG0000026	sp|P29323|EPHB2_HUMAN	tr|A0A2K5SHW4|A0A2K5SHW4_CEBIM
OG0000026	sp|P54762|EPHB1_HUMAN	tr|A0A2K5QDV0|A0A2K5QDV0_CEBIM
OG0000026	sp|P54753|EPHB3_HUMAN	tr|A0A2K5PV90|A0A2K5PV90_CEBIM
OG0000027	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2K5QJ02|A0A2K5QJ02_CEBIM
OG0000027	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2K5REE1|A0A2K5REE1_CEBIM
OG0000027	sp|P07864|LDHC_HUMAN	tr|A0A2K5RFB2|A0A2K5RFB2_CEBIM
OG0000027	sp|P07195|LDHB_HUMAN	tr|A0A2K5PBG6|A0A2K5PBG6_CEBIM, tr|A0A2K5QI68|A0A2K5QI68_CEBIM, tr|A0A2K5P9G5|A0A2K5P9G5_CEBIM, tr|A0A2K5R0F9|A0A2K5R0F9_CEBIM, tr|A0A2K5S4J8|A0A2K5S4J8_CEBIM, tr|A0A2K5RQX7|A0A2K5RQX7_CEBIM, tr|A0A2K5RVG4|A0A2K5RVG4_CEBIM, tr|A0A2K5S969|A0A2K5S969_CEBIM
OG0000027	sp|P00338|LDHA_HUMAN	tr|A0A2K5R346|A0A2K5R346_CEBIM, tr|A0A2K5R5H4|A0A2K5R5H4_CEBIM
OG0000030	sp|P13688|CEAM1_HUMAN, sp|P40199|CEAM6_HUMAN, sp|P31997|CEAM8_HUMAN, sp|O75871|CEAM4_HUMAN, sp|P40198|CEAM3_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|P06731|CEAM5_HUMAN, sp|Q15238|PSG5_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q16557|PSG3_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q00889|PSG6_HUMAN	tr|A0A2K5QST1|A0A2K5QST1_CEBIM
OG0000034	sp|P32881|IFNA8_HUMAN, sp|Q9P0W0|IFNK_HUMAN, sp|P01574|IFNB_HUMAN, sp|Q86WN2|IFNE_HUMAN, sp|P05000|IFNW1_HUMAN, sp|P01563|IFNA2_HUMAN, sp|P05013|IFNA6_HUMAN, sp|P01562|IFNA1_HUMAN, sp|P01569|IFNA5_HUMAN, sp|P01570|IFN14_HUMAN, sp|P05015|IFN16_HUMAN, sp|P01568|IFN21_HUMAN, sp|P01567|IFNA7_HUMAN, sp|P05014|IFNA4_HUMAN, sp|P01571|IFN17_HUMAN, sp|P01566|IFN10_HUMAN	tr|A0A2K5PZF9|A0A2K5PZF9_CEBIM
OG0000038	sp|Q86UD7|TBC26_HUMAN, sp|Q2M2D7|TBC28_HUMAN, sp|Q9UFV1|TBC29_HUMAN, sp|B9A6J9|TBC3L_HUMAN, sp|A0A087WVF3|TBC3D_HUMAN, sp|A0A087WXS9|TBC3I_HUMAN, sp|Q8IZP1|TBC3A_HUMAN, sp|Q6IPX1|TBC3C_HUMAN, sp|A0A087X1G2|TBC3K_HUMAN, sp|A6NER0|TBC3F_HUMAN, sp|A0A087X179|TBC3E_HUMAN, sp|P0C7X1|TBC3H_HUMAN, sp|Q6DHY5|TBC3G_HUMAN, sp|A6NDS4|TBC3B_HUMAN, sp|P35125|UBP6_HUMAN	tr|A0A2K5RYA4|A0A2K5RYA4_CEBIM
OG0000039	sp|Q15544|TAF11_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW12|TFKL7_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN, sp|P0DW11|TFKL6_HUMAN	tr|A0A2K5QS38|A0A2K5QS38_CEBIM
