Orthogroup	Homo_sapiens	Vombatus_ursinus
OG0000003	sp|Q499Z4|ZN672_HUMAN	tr|A0A4X2L2S4|A0A4X2L2S4_VOMUR
OG0000003	sp|O60304|ZN500_HUMAN	tr|A0A4X2L7Z1|A0A4X2L7Z1_VOMUR
OG0000003	sp|Q96N77|ZN641_HUMAN, sp|O95125|ZN202_HUMAN	tr|A0A4X2JT16|A0A4X2JT16_VOMUR
OG0000003	sp|O15535|ZSC9_HUMAN	tr|A0A4X2L7W3|A0A4X2L7W3_VOMUR
OG0000003	sp|Q9H4T2|ZSC16_HUMAN	tr|A0A4X2LBP1|A0A4X2LBP1_VOMUR
OG0000003	sp|P17028|ZNF24_HUMAN	tr|A0A4X2L7X7|A0A4X2L7X7_VOMUR, tr|A0A4X2LGY4|A0A4X2LGY4_VOMUR
OG0000003	sp|Q96LW9|ZSC31_HUMAN, sp|Q3MJ62|ZSC23_HUMAN	tr|A0A4X2K0L2|A0A4X2K0L2_VOMUR
OG0000003	sp|Q16670|ZSC26_HUMAN	tr|A0A4X2K0M1|A0A4X2K0M1_VOMUR
OG0000004	sp|Q8NH63|O51H1_HUMAN	tr|A0A4X2LH95|A0A4X2LH95_VOMUR
OG0000004	sp|A6NGY5|O51F1_HUMAN	tr|A0A4X2M4C1|A0A4X2M4C1_VOMUR
OG0000004	sp|Q8NH61|O51F2_HUMAN	tr|A0A4X2LXN6|A0A4X2LXN6_VOMUR, tr|A0A4X2M608|A0A4X2M608_VOMUR
OG0000004	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A4X2LTQ5|A0A4X2LTQ5_VOMUR, tr|A0A4X2LTQ1|A0A4X2LTQ1_VOMUR
OG0000004	sp|Q8NH59|O51Q1_HUMAN	tr|A0A4X2K2W0|A0A4X2K2W0_VOMUR, tr|A0A4X2KHV4|A0A4X2KHV4_VOMUR, tr|A0A4X2KF67|A0A4X2KF67_VOMUR, tr|A0A4X2KHS9|A0A4X2KHS9_VOMUR
OG0000004	sp|Q8NGK1|O51G1_HUMAN	tr|A0A4X2LTM0|A0A4X2LTM0_VOMUR
OG0000004	sp|Q8NGK0|O51G2_HUMAN	tr|A0A4X2LTM5|A0A4X2LTM5_VOMUR
OG0000004	sp|Q9H344|O51I2_HUMAN	tr|A0A4X2KU97|A0A4X2KU97_VOMUR, tr|A0A4X2KG70|A0A4X2KG70_VOMUR, tr|A0A4X2KAK4|A0A4X2KAK4_VOMUR, tr|A0A4X2KI68|A0A4X2KI68_VOMUR
OG0000004	sp|Q9H343|O51I1_HUMAN	tr|A0A4X2KG49|A0A4X2KG49_VOMUR, tr|A0A4X2KG81|A0A4X2KG81_VOMUR, tr|A0A4X2KAQ6|A0A4X2KAQ6_VOMUR, tr|A0A4X2L0U0|A0A4X2L0U0_VOMUR, tr|A0A4X2KI84|A0A4X2KI84_VOMUR, tr|A0A4X2KI21|A0A4X2KI21_VOMUR
OG0000009	sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|Q08379|GOGA2_HUMAN	tr|A0A4X2LEU2|A0A4X2LEU2_VOMUR
OG0000011	sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|A0A4X2LGD3|A0A4X2LGD3_VOMUR
OG0000011	sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN	tr|A0A4X2L526|A0A4X2L526_VOMUR
OG0000014	sp|Q7Z794|K2C1B_HUMAN	tr|A0A4X2KSR3|A0A4X2KSR3_VOMUR
OG0000014	sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q86Y46|K2C73_HUMAN	tr|A0A4X2KER0|A0A4X2KER0_VOMUR
OG0000014	sp|Q7RTS7|K2C74_HUMAN	tr|A0A4X2KEV7|A0A4X2KEV7_VOMUR
OG0000014	sp|P02538|K2C6A_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN	tr|A0A4X2KEN1|A0A4X2KEN1_VOMUR
OG0000014	sp|P13647|K2C5_HUMAN	tr|A0A4X2KEU3|A0A4X2KEU3_VOMUR
OG0000014	sp|P08729|K2C7_HUMAN	tr|A0A4X2KE17|A0A4X2KE17_VOMUR
OG0000014	sp|Q5XKE5|K2C79_HUMAN	tr|A0A4X2KYS1|A0A4X2KYS1_VOMUR
OG0000014	sp|Q8N1N4|K2C78_HUMAN	tr|A0A4X2KYR6|A0A4X2KYR6_VOMUR
OG0000014	sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN	tr|A0A4X2L273|A0A4X2L273_VOMUR, tr|A0A4X2L0R9|A0A4X2L0R9_VOMUR, tr|A0A4X2KYW2|A0A4X2KYW2_VOMUR
OG0000016	sp|O95371|OR2C1_HUMAN	tr|A0A4X2JQK5|A0A4X2JQK5_VOMUR, tr|A0A4X2LCR1|A0A4X2LCR1_VOMUR, tr|A0A4X2L9G4|A0A4X2L9G4_VOMUR, tr|A0A4X2L527|A0A4X2L527_VOMUR, tr|A0A4X2LCP2|A0A4X2LCP2_VOMUR, tr|A0A4X2M589|A0A4X2M589_VOMUR, tr|A0A4X2KMD2|A0A4X2KMD2_VOMUR, tr|A0A4X2LWM9|A0A4X2LWM9_VOMUR, tr|A0A4X2M574|A0A4X2M574_VOMUR, tr|A0A4X2LQA4|A0A4X2LQA4_VOMUR, tr|A0A4X2KVH6|A0A4X2KVH6_VOMUR, tr|A0A4X2LKW0|A0A4X2LKW0_VOMUR, tr|A0A4X2LQ91|A0A4X2LQ91_VOMUR, tr|A0A4X2KVZ9|A0A4X2KVZ9_VOMUR, tr|A0A4X2LQK3|A0A4X2LQK3_VOMUR, tr|A0A4X2LIM7|A0A4X2LIM7_VOMUR, tr|A0A4X2LDN2|A0A4X2LDN2_VOMUR, tr|A0A4X2LWQ4|A0A4X2LWQ4_VOMUR, tr|A0A4X2M4U2|A0A4X2M4U2_VOMUR, tr|A0A4X2LWP6|A0A4X2LWP6_VOMUR, tr|A0A4X2M5A1|A0A4X2M5A1_VOMUR, tr|A0A4X2L503|A0A4X2L503_VOMUR, tr|A0A4X2JTS6|A0A4X2JTS6_VOMUR, tr|A0A4X2KE58|A0A4X2KE58_VOMUR, tr|A0A4X2KE39|A0A4X2KE39_VOMUR, tr|A0A4X2LHV1|A0A4X2LHV1_VOMUR
OG0000020	sp|Q8NGT1|OR2K2_HUMAN	tr|A0A4X2KSR9|A0A4X2KSR9_VOMUR
OG0000020	sp|Q8NGS4|O13F1_HUMAN	tr|A0A4X2LJV8|A0A4X2LJV8_VOMUR
OG0000020	sp|Q8NGT2|O13J1_HUMAN	tr|A0A4X2LMI8|A0A4X2LMI8_VOMUR
OG0000020	sp|Q8NGV5|O13D1_HUMAN	tr|A0A4X2KFD6|A0A4X2KFD6_VOMUR, tr|A0A4X2K7U3|A0A4X2K7U3_VOMUR, tr|A0A4X2K7R9|A0A4X2K7R9_VOMUR, tr|A0A4X2LWC8|A0A4X2LWC8_VOMUR, tr|A0A4X2K9R8|A0A4X2K9R8_VOMUR, tr|A0A4X2JSI6|A0A4X2JSI6_VOMUR, tr|A0A4X2JQD5|A0A4X2JQD5_VOMUR, tr|A0A4X2K313|A0A4X2K313_VOMUR, tr|A0A4X2LAQ0|A0A4X2LAQ0_VOMUR, tr|A0A4X2KXF2|A0A4X2KXF2_VOMUR, tr|A0A4X2M8V1|A0A4X2M8V1_VOMUR, tr|A0A4X2LMP1|A0A4X2LMP1_VOMUR, tr|A0A4X2LAY4|A0A4X2LAY4_VOMUR, tr|A0A4X2LAX6|A0A4X2LAX6_VOMUR, tr|A0A4X2LAX9|A0A4X2LAX9_VOMUR, tr|A0A4X2LAX0|A0A4X2LAX0_VOMUR, tr|A0A4X2LJ05|A0A4X2LJ05_VOMUR, tr|A0A4X2LIY2|A0A4X2LIY2_VOMUR
OG0000021	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A4X2K0B9|A0A4X2K0B9_VOMUR
OG0000021	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A4X2LXG7|A0A4X2LXG7_VOMUR
OG0000021	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A4X2M5K8|A0A4X2M5K8_VOMUR
OG0000021	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A4X2M5G8|A0A4X2M5G8_VOMUR, tr|A0A4X2M5T3|A0A4X2M5T3_VOMUR, tr|A0A4X2M6S4|A0A4X2M6S4_VOMUR, tr|A0A4X2M5Q0|A0A4X2M5Q0_VOMUR, tr|A0A4X2LX79|A0A4X2LX79_VOMUR, tr|A0A4X2M5A5|A0A4X2M5A5_VOMUR, tr|A0A4X2M5R7|A0A4X2M5R7_VOMUR, tr|A0A4X2M5C5|A0A4X2M5C5_VOMUR, tr|A0A4X2LTD9|A0A4X2LTD9_VOMUR, tr|A0A4X2LTD6|A0A4X2LTD6_VOMUR, tr|A0A4X2LXB7|A0A4X2LXB7_VOMUR, tr|A0A4X2M6S9|A0A4X2M6S9_VOMUR, tr|A0A4X2LXS3|A0A4X2LXS3_VOMUR
OG0000022	sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN	tr|A0A4X2KZD4|A0A4X2KZD4_VOMUR
OG0000024	sp|O60431|OR1I1_HUMAN	tr|A0A4X2MEQ1|A0A4X2MEQ1_VOMUR, tr|A0A4X2KR20|A0A4X2KR20_VOMUR, tr|A0A4X2KLV0|A0A4X2KLV0_VOMUR, tr|A0A4X2KVF4|A0A4X2KVF4_VOMUR, tr|A0A4X2K5K6|A0A4X2K5K6_VOMUR, tr|A0A4X2LQ50|A0A4X2LQ50_VOMUR, tr|A0A4X2KIK8|A0A4X2KIK8_VOMUR, tr|A0A4X2KNR3|A0A4X2KNR3_VOMUR, tr|A0A4X2LJ62|A0A4X2LJ62_VOMUR, tr|A0A4X2KIL7|A0A4X2KIL7_VOMUR, tr|A0A4X2LX39|A0A4X2LX39_VOMUR, tr|A0A4X2JT84|A0A4X2JT84_VOMUR, tr|A0A4X2JLF0|A0A4X2JLF0_VOMUR, tr|A0A4X2M474|A0A4X2M474_VOMUR, tr|A0A4X2MEP0|A0A4X2MEP0_VOMUR, tr|A0A4X2MFK2|A0A4X2MFK2_VOMUR, tr|A0A4X2MD49|A0A4X2MD49_VOMUR, tr|A0A4X2L5L0|A0A4X2L5L0_VOMUR, tr|A0A4X2KVZ6|A0A4X2KVZ6_VOMUR, tr|A0A4X2KYV7|A0A4X2KYV7_VOMUR, tr|A0A4X2KVH0|A0A4X2KVH0_VOMUR, tr|A0A4X2M8P9|A0A4X2M8P9_VOMUR, tr|A0A4X2MDC9|A0A4X2MDC9_VOMUR
OG0000026	sp|Q5MJ68|SPDYC_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y7|SPDE7_HUMAN	tr|A0A4X2JYV2|A0A4X2JYV2_VOMUR
OG0000027	sp|Q9P275|UBP36_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN	tr|A0A4X2KM78|A0A4X2KM78_VOMUR
OG0000030	sp|Q8NH55|O52E5_HUMAN	tr|A0A4X2JSC9|A0A4X2JSC9_VOMUR
OG0000030	sp|Q8NH60|O52J3_HUMAN	tr|A0A4X2LH46|A0A4X2LH46_VOMUR, tr|A0A4X2LRL6|A0A4X2LRL6_VOMUR, tr|A0A4X2LR58|A0A4X2LR58_VOMUR, tr|A0A4X2LK31|A0A4X2LK31_VOMUR, tr|A0A4X2JZF4|A0A4X2JZF4_VOMUR, tr|A0A4X2JS02|A0A4X2JS02_VOMUR, tr|A0A4X2LR48|A0A4X2LR48_VOMUR, tr|A0A4X2JS14|A0A4X2JS14_VOMUR, tr|A0A4X2M4R1|A0A4X2M4R1_VOMUR, tr|A0A4X2M610|A0A4X2M610_VOMUR, tr|A0A4X2LK12|A0A4X2LK12_VOMUR, tr|A0A4X2LPR9|A0A4X2LPR9_VOMUR, tr|A0A4X2KB23|A0A4X2KB23_VOMUR, tr|A0A4X2KS99|A0A4X2KS99_VOMUR, tr|A0A4X2LR38|A0A4X2LR38_VOMUR, tr|A0A4X2LH05|A0A4X2LH05_VOMUR, tr|A0A4X2M904|A0A4X2M904_VOMUR, tr|A0A4X2M691|A0A4X2M691_VOMUR, tr|A0A4X2LK45|A0A4X2LK45_VOMUR
