Orthogroup	Homo_sapiens	Neotoma_lepida
OG0001439	sp|O75473|LGR5_HUMAN, sp|Q9BXB1|LGR4_HUMAN	tr|A0A1A6HW73|A0A1A6HW73_NEOLE, tr|A0A1A6GYR8|A0A1A6GYR8_NEOLE
OG0001440	sp|O15397|IPO8_HUMAN	tr|A0A1A6HKE6|A0A1A6HKE6_NEOLE
OG0001440	sp|O95373|IPO7_HUMAN	tr|A0A1A6G2L1|A0A1A6G2L1_NEOLE
OG0001441	sp|P10147|CCL3_HUMAN, sp|P16619|CL3L1_HUMAN	tr|A0A1A6GXP4|A0A1A6GXP4_NEOLE, tr|A0A1A6GVB9|A0A1A6GVB9_NEOLE
OG0001442	sp|Q13490|BIRC2_HUMAN, sp|Q13489|BIRC3_HUMAN	tr|A0A1A6HVE0|A0A1A6HVE0_NEOLE, tr|A0A1A6HJ77|A0A1A6HJ77_NEOLE
OG0001443	sp|Q96A47|ISL2_HUMAN	tr|A0A1A6H632|A0A1A6H632_NEOLE
OG0001443	sp|P61371|ISL1_HUMAN	tr|A0A1A6GWK8|A0A1A6GWK8_NEOLE
OG0001444	sp|P20264|PO3F3_HUMAN	tr|A0A1A6H6E6|A0A1A6H6E6_NEOLE
OG0001444	sp|P20265|PO3F2_HUMAN	tr|A0A1A6HKN1|A0A1A6HKN1_NEOLE
OG0001445	sp|P22681|CBL_HUMAN	tr|A0A1A6FX84|A0A1A6FX84_NEOLE
OG0001445	sp|Q13191|CBLB_HUMAN	tr|A0A1A6GNS9|A0A1A6GNS9_NEOLE
OG0001446	sp|Q08623|HDHD1_HUMAN	tr|A0A1A6HNW4|A0A1A6HNW4_NEOLE, tr|A0A1A6GTT9|A0A1A6GTT9_NEOLE, tr|A0A1A6H971|A0A1A6H971_NEOLE
OG0001447	sp|Q9UPQ7|PZRN3_HUMAN	tr|A0A1A6HI97|A0A1A6HI97_NEOLE
OG0001447	sp|Q6ZMN7|PZRN4_HUMAN	tr|A0A1A6HLA9|A0A1A6HLA9_NEOLE
OG0001448	sp|Q9Y4D1|DAAM1_HUMAN	tr|A0A1A6FW53|A0A1A6FW53_NEOLE
OG0001448	sp|Q86T65|DAAM2_HUMAN	tr|A0A1A6HE52|A0A1A6HE52_NEOLE
OG0001449	sp|Q96PQ0|SORC2_HUMAN, sp|Q8WY21|SORC1_HUMAN, sp|Q9UPU3|SORC3_HUMAN	tr|A0A1A6HC27|A0A1A6HC27_NEOLE
OG0001450	sp|Q9H9S3|S61A2_HUMAN	tr|A0A1A6H0R5|A0A1A6H0R5_NEOLE
OG0001450	sp|P61619|S61A1_HUMAN	tr|A0A1A6GNU1|A0A1A6GNU1_NEOLE
OG0001451	sp|Q86UE8|TLK2_HUMAN	tr|A0A1A6HPY5|A0A1A6HPY5_NEOLE
OG0001451	sp|Q9UKI8|TLK1_HUMAN	tr|A0A1A6HJE6|A0A1A6HJE6_NEOLE
OG0001452	sp|Q6Y1H2|HACD2_HUMAN	tr|A0A1A6GW50|A0A1A6GW50_NEOLE
OG0001452	sp|B0YJ81|HACD1_HUMAN	tr|A0A1A6HPF1|A0A1A6HPF1_NEOLE
OG0001453	sp|O75146|HIP1R_HUMAN	tr|A0A1A6GUB1|A0A1A6GUB1_NEOLE
OG0001453	sp|O00291|HIP1_HUMAN	tr|A0A1A6HWJ7|A0A1A6HWJ7_NEOLE
OG0001454	sp|P07686|HEXB_HUMAN	tr|A0A1A6HFE9|A0A1A6HFE9_NEOLE
OG0001454	sp|P06865|HEXA_HUMAN	tr|A0A1A6HSR3|A0A1A6HSR3_NEOLE
OG0001455	sp|Q13427|PPIG_HUMAN	tr|A0A1A6GZD3|A0A1A6GZD3_NEOLE
OG0001455	sp|P23284|PPIB_HUMAN	tr|A0A1A6HMV4|A0A1A6HMV4_NEOLE
OG0001456	sp|Q9UPY8|MARE3_HUMAN	tr|A0A1A6GZB9|A0A1A6GZB9_NEOLE
OG0001456	sp|Q15555|MARE2_HUMAN	tr|A0A1A6HA87|A0A1A6HA87_NEOLE
OG0001457	sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN	tr|A0A1A6GQ35|A0A1A6GQ35_NEOLE
OG0001458	sp|Q9GZP0|PDGFD_HUMAN	tr|A0A1A6H4F3|A0A1A6H4F3_NEOLE
OG0001458	sp|Q9NRA1|PDGFC_HUMAN	tr|A0A1A6GNB1|A0A1A6GNB1_NEOLE
OG0001459	sp|Q5T7P6|TMM78_HUMAN, sp|F2Z398|LMO7D_HUMAN, sp|Q8IV13|CCNJL_HUMAN	tr|A0A1A6HLB6|A0A1A6HLB6_NEOLE
OG0001460	sp|O14787|TNPO2_HUMAN	tr|A0A1A6H5Z7|A0A1A6H5Z7_NEOLE
OG0001460	sp|Q92973|TNPO1_HUMAN	tr|A0A1A6HES1|A0A1A6HES1_NEOLE
OG0001461	sp|Q14722|KCAB1_HUMAN	tr|A0A1A6GF12|A0A1A6GF12_NEOLE
OG0001461	sp|Q13303|KCAB2_HUMAN	tr|A0A1A6HS76|A0A1A6HS76_NEOLE
OG0001462	sp|Q86VL8|S47A2_HUMAN	tr|A0A1A6HPJ6|A0A1A6HPJ6_NEOLE
OG0001462	sp|Q96FL8|S47A1_HUMAN	tr|A0A1A6HPI9|A0A1A6HPI9_NEOLE
OG0001463	sp|P98173|FAM3A_HUMAN, sp|Q96BQ1|FAM3D_HUMAN, sp|Q92520|FAM3C_HUMAN	tr|A0A1A6HQV9|A0A1A6HQV9_NEOLE
OG0001464	sp|Q99829|CPNE1_HUMAN	tr|A0A1A6GJ85|A0A1A6GJ85_NEOLE, tr|A0A1A6H6S2|A0A1A6H6S2_NEOLE, tr|A0A1A6H726|A0A1A6H726_NEOLE
OG0001465	sp|Q9NUM4|T106B_HUMAN	tr|A0A1A6HUC0|A0A1A6HUC0_NEOLE
OG0001465	sp|Q9BVX2|T106C_HUMAN	tr|A0A1A6GXN4|A0A1A6GXN4_NEOLE
OG0001467	sp|Q9H6Y7|RN167_HUMAN	tr|A0A1A6HJY6|A0A1A6HJY6_NEOLE
OG0001467	sp|O43567|RNF13_HUMAN	tr|A0A1A6HCN9|A0A1A6HCN9_NEOLE
OG0001468	sp|Q00534|CDK6_HUMAN	tr|A0A1A6GG38|A0A1A6GG38_NEOLE
OG0001468	sp|P11802|CDK4_HUMAN	tr|A0A1A6FXD5|A0A1A6FXD5_NEOLE
OG0001469	sp|O60256|KPRB_HUMAN	tr|A0A1A6GEV5|A0A1A6GEV5_NEOLE
OG0001469	sp|Q14558|KPRA_HUMAN	tr|A0A1A6H713|A0A1A6H713_NEOLE
OG0001470	sp|Q2V2M9|FHOD3_HUMAN	tr|A0A1A6GTJ7|A0A1A6GTJ7_NEOLE
OG0001470	sp|Q9Y613|FHOD1_HUMAN	tr|A0A1A6FWJ8|A0A1A6FWJ8_NEOLE
OG0001471	sp|Q9C0D3|ZY11B_HUMAN	tr|A0A1A6HXJ6|A0A1A6HXJ6_NEOLE
OG0001471	sp|Q6WRX3|ZY11A_HUMAN	tr|A0A1A6HZ21|A0A1A6HZ21_NEOLE
OG0001472	sp|Q86XT4|TRI50_HUMAN, sp|Q86UV6|TRI74_HUMAN, sp|Q86UV7|TRI73_HUMAN	tr|A0A1A6FV25|A0A1A6FV25_NEOLE
OG0001473	sp|Q86XS8|GOLI_HUMAN	tr|A0A1A6H965|A0A1A6H965_NEOLE
OG0001473	sp|Q9ULK6|RN150_HUMAN	tr|A0A1A6GRY1|A0A1A6GRY1_NEOLE
OG0001474	sp|Q8WXD0|RXFP2_HUMAN	tr|A0A1A6GLJ1|A0A1A6GLJ1_NEOLE
OG0001474	sp|Q9HBX9|RXFP1_HUMAN	tr|A0A1A6FUJ9|A0A1A6FUJ9_NEOLE
OG0001475	sp|O43290|SNUT1_HUMAN	tr|A0A1A6H5I8|A0A1A6H5I8_NEOLE, tr|A0A1A6GKG5|A0A1A6GKG5_NEOLE, tr|A0A1A6GSP8|A0A1A6GSP8_NEOLE
OG0001476	sp|O75155|CAND2_HUMAN	tr|A0A1A6GHW5|A0A1A6GHW5_NEOLE
OG0001476	sp|Q86VP6|CAND1_HUMAN	tr|A0A1A6H4T1|A0A1A6H4T1_NEOLE
OG0001477	sp|P27708|PYR1_HUMAN	tr|A0A1A6HQU2|A0A1A6HQU2_NEOLE
OG0001477	sp|P31327|CPSM_HUMAN	tr|A0A1A6FV95|A0A1A6FV95_NEOLE
OG0001478	sp|Q8TDQ1|CLM1_HUMAN	tr|A0A1A6GHA0|A0A1A6GHA0_NEOLE, tr|A0A1A6GYC7|A0A1A6GYC7_NEOLE, tr|A0A1A6GHA5|A0A1A6GHA5_NEOLE
OG0001479	sp|Q9BSK2|S2533_HUMAN	tr|A0A1A6HAY7|A0A1A6HAY7_NEOLE
OG0001479	sp|Q96CQ1|S2536_HUMAN	tr|A0A1A6H754|A0A1A6H754_NEOLE
OG0001480	sp|P29353|SHC1_HUMAN	tr|A0A1A6HXZ9|A0A1A6HXZ9_NEOLE, tr|A0A1A6GP89|A0A1A6GP89_NEOLE, tr|A0A1A6GJ77|A0A1A6GJ77_NEOLE
OG0001481	sp|O95807|TM50A_HUMAN	tr|A0A1A6GBF9|A0A1A6GBF9_NEOLE
OG0001481	sp|P56557|TM50B_HUMAN	tr|A0A1A6G2K8|A0A1A6G2K8_NEOLE
OG0001482	sp|Q14517|FAT1_HUMAN, sp|Q8TDW7|FAT3_HUMAN, sp|Q9NYQ8|FAT2_HUMAN	tr|A0A1A6HL11|A0A1A6HL11_NEOLE
OG0001483	sp|Q9Y6D5|BIG2_HUMAN, sp|Q5TH69|BIG3_HUMAN, sp|Q9Y6D6|BIG1_HUMAN	tr|A0A1A6G3Q1|A0A1A6G3Q1_NEOLE
OG0001484	sp|Q6NTF7|ABC3H_HUMAN, sp|P41238|ABEC1_HUMAN, sp|Q9GZX7|AICDA_HUMAN	tr|A0A1A6FYB3|A0A1A6FYB3_NEOLE
OG0001485	sp|Q7Z419|R144B_HUMAN, sp|P50876|R144A_HUMAN, sp|Q8TC41|RN217_HUMAN	tr|A0A1A6H1Z5|A0A1A6H1Z5_NEOLE
OG0001486	sp|Q92832|NELL1_HUMAN	tr|A0A1A6GZV3|A0A1A6GZV3_NEOLE
OG0001486	sp|Q99435|NELL2_HUMAN	tr|A0A1A6HNS6|A0A1A6HNS6_NEOLE
OG0001487	sp|Q9NRD1|FBX6_HUMAN	tr|A0A1A6HCT1|A0A1A6HCT1_NEOLE
OG0001487	sp|Q9H4M3|FBX44_HUMAN	tr|A0A1A6HCT5|A0A1A6HCT5_NEOLE
OG0001488	sp|Q9UDY2|ZO2_HUMAN	tr|A0A1A6GWH8|A0A1A6GWH8_NEOLE
OG0001488	sp|Q07157|ZO1_HUMAN	tr|A0A1A6GKG4|A0A1A6GKG4_NEOLE
OG0001490	sp|O15126|SCAM1_HUMAN	tr|A0A1A6GMC0|A0A1A6GMC0_NEOLE
OG0001490	sp|O15127|SCAM2_HUMAN	tr|A0A1A6H2K9|A0A1A6H2K9_NEOLE
OG0001491	sp|O95388|CCN4_HUMAN	tr|A0A1A6GV53|A0A1A6GV53_NEOLE
OG0001491	sp|O95389|CCN6_HUMAN	tr|A0A1A6HR70|A0A1A6HR70_NEOLE
OG0001492	sp|Q06787|FMR1_HUMAN	tr|A0A1A6FWG7|A0A1A6FWG7_NEOLE
OG0001492	sp|P51114|FXR1_HUMAN	tr|A0A1A6FV07|A0A1A6FV07_NEOLE
OG0001493	sp|P61009|SPCS3_HUMAN	tr|A0A1A6H7E2|A0A1A6H7E2_NEOLE, tr|A0A1A6FYC9|A0A1A6FYC9_NEOLE, tr|A0A1A6FW76|A0A1A6FW76_NEOLE
OG0001494	sp|Q13464|ROCK1_HUMAN	tr|A0A1A6GD55|A0A1A6GD55_NEOLE
OG0001494	sp|O75116|ROCK2_HUMAN	tr|A0A1A6H295|A0A1A6H295_NEOLE
OG0001495	sp|Q9ULI0|ATD2B_HUMAN	tr|A0A1A6GI27|A0A1A6GI27_NEOLE
OG0001495	sp|Q6PL18|ATAD2_HUMAN	tr|A0A1A6GLD6|A0A1A6GLD6_NEOLE
OG0001496	tr|A0A096LNH4|A0A096LNH4_HUMAN, sp|Q9BQS2|SYT15_HUMAN, sp|X6R8R1|ST15B_HUMAN	tr|A0A1A6FVC4|A0A1A6FVC4_NEOLE
OG0001497	sp|Q9NR96|TLR9_HUMAN, sp|Q9NYK1|TLR7_HUMAN, sp|Q9NR97|TLR8_HUMAN	tr|A0A1A6H9R2|A0A1A6H9R2_NEOLE
OG0001498	sp|P29474|NOS3_HUMAN	tr|A0A1A6HK69|A0A1A6HK69_NEOLE
OG0001498	sp|P29475|NOS1_HUMAN	tr|A0A1A6HTJ8|A0A1A6HTJ8_NEOLE
OG0001499	sp|Q6ZQY3|GADL1_HUMAN	tr|A0A1A6H1B1|A0A1A6H1B1_NEOLE
OG0001499	sp|Q9Y600|CSAD_HUMAN	tr|A0A1A6HGJ3|A0A1A6HGJ3_NEOLE
OG0001500	sp|Q8NBJ5|GT251_HUMAN	tr|A0A1A6HE92|A0A1A6HE92_NEOLE
OG0001500	sp|Q8IYK4|GT252_HUMAN	tr|A0A1A6H6U0|A0A1A6H6U0_NEOLE
OG0001501	sp|O43157|PLXB1_HUMAN	tr|A0A1A6H0Z0|A0A1A6H0Z0_NEOLE
OG0001501	sp|Q96KP1|EXOC2_HUMAN	tr|A0A1A6GUJ7|A0A1A6GUJ7_NEOLE
OG0001502	sp|Q9UKT7|FBXL3_HUMAN	tr|A0A1A6HH39|A0A1A6HH39_NEOLE
OG0001502	sp|Q9UKT6|FXL21_HUMAN	tr|A0A1A6HP66|A0A1A6HP66_NEOLE
OG0001503	sp|P21579|SYT1_HUMAN, sp|O00445|SYT5_HUMAN, sp|Q8N9I0|SYT2_HUMAN	tr|A0A1A6HAT2|A0A1A6HAT2_NEOLE
OG0001504	sp|Q8NI35|INADL_HUMAN	tr|A0A1A6HEX9|A0A1A6HEX9_NEOLE
OG0001504	sp|O75970|MPDZ_HUMAN	tr|A0A1A6H4H2|A0A1A6H4H2_NEOLE
OG0001505	sp|P56748|CLD8_HUMAN, sp|P56749|CLD12_HUMAN, sp|P56750|CLD17_HUMAN	tr|A0A1A6HBC9|A0A1A6HBC9_NEOLE
OG0001506	sp|Q8N4P2|TT30B_HUMAN, sp|Q86WT1|TT30A_HUMAN	tr|A0A1A6GYM8|A0A1A6GYM8_NEOLE, tr|A0A1A6HIA7|A0A1A6HIA7_NEOLE
OG0001507	sp|Q96GA7|SDSL_HUMAN	tr|A0A1A6FY09|A0A1A6FY09_NEOLE
OG0001507	sp|P20132|SDHL_HUMAN	tr|A0A1A6FY41|A0A1A6FY41_NEOLE
OG0001508	sp|Q9UPR6|ZFR2_HUMAN	tr|A0A1A6G3G4|A0A1A6G3G4_NEOLE
OG0001508	sp|Q96KR1|ZFR_HUMAN	tr|A0A1A6GM96|A0A1A6GM96_NEOLE
OG0001509	sp|Q14515|SPRL1_HUMAN	tr|A0A1A6H0Q7|A0A1A6H0Q7_NEOLE
OG0001509	sp|P09486|SPRC_HUMAN	tr|A0A1A6HLY8|A0A1A6HLY8_NEOLE
OG0001511	sp|Q9NRH3|TBG2_HUMAN, sp|P23258|TBG1_HUMAN	tr|A0A1A6GKX1|A0A1A6GKX1_NEOLE, tr|A0A1A6GMH9|A0A1A6GMH9_NEOLE
OG0001512	sp|P55010|IF5_HUMAN	tr|A0A1A6HUK5|A0A1A6HUK5_NEOLE, tr|A0A1A6FTL5|A0A1A6FTL5_NEOLE, tr|A0A1A6GHK2|A0A1A6GHK2_NEOLE
OG0001513	sp|O75185|AT2C2_HUMAN	tr|A0A1A6FYQ6|A0A1A6FYQ6_NEOLE
OG0001513	sp|P98194|AT2C1_HUMAN	tr|A0A1A6G085|A0A1A6G085_NEOLE
OG0001514	sp|Q12879|NMDE1_HUMAN	tr|A0A1A6HVS0|A0A1A6HVS0_NEOLE
OG0001514	sp|Q13224|NMDE2_HUMAN	tr|A0A1A6G148|A0A1A6G148_NEOLE
OG0001515	sp|O95319|CELF2_HUMAN	tr|A0A1A6GUP7|A0A1A6GUP7_NEOLE
OG0001515	sp|Q92879|CELF1_HUMAN	tr|A0A1A6GHV2|A0A1A6GHV2_NEOLE
OG0001516	sp|Q9UHA7|IL36A_HUMAN, sp|Q9NZH8|IL36G_HUMAN, sp|Q9NZH6|IL37_HUMAN	tr|A0A1A6GJN7|A0A1A6GJN7_NEOLE
OG0001517	sp|Q9Y5S2|MRCKB_HUMAN	tr|A0A1A6GHE6|A0A1A6GHE6_NEOLE
OG0001517	sp|Q5VT25|MRCKA_HUMAN	tr|A0A1A6GN21|A0A1A6GN21_NEOLE
OG0001519	sp|P31321|KAP1_HUMAN, sp|P10644|KAP0_HUMAN	tr|A0A1A6GUI2|A0A1A6GUI2_NEOLE, tr|A0A1A6H5G8|A0A1A6H5G8_NEOLE
OG0001520	sp|P17213|BPI_HUMAN	tr|A0A1A6GTU7|A0A1A6GTU7_NEOLE
OG0001520	sp|P18428|LBP_HUMAN	tr|A0A1A6GSB7|A0A1A6GSB7_NEOLE
OG0001521	sp|Q659C4|LAR1B_HUMAN	tr|A0A1A6H8W9|A0A1A6H8W9_NEOLE
OG0001521	sp|Q6PKG0|LARP1_HUMAN	tr|A0A1A6G170|A0A1A6G170_NEOLE
OG0001522	sp|Q15546|PAQRB_HUMAN	tr|A0A1A6H1H7|A0A1A6H1H7_NEOLE
OG0001522	sp|Q8IY49|PAQRA_HUMAN	tr|A0A1A6HK37|A0A1A6HK37_NEOLE
OG0001523	sp|O95104|SCAF4_HUMAN	tr|A0A1A6HGV9|A0A1A6HGV9_NEOLE
OG0001523	sp|Q9UPN6|SCAF8_HUMAN	tr|A0A1A6H7C4|A0A1A6H7C4_NEOLE
OG0001524	sp|P04798|CP1A1_HUMAN	tr|A0A1A6H1Q3|A0A1A6H1Q3_NEOLE
OG0001524	sp|P05177|CP1A2_HUMAN	tr|A0A1A6H2K5|A0A1A6H2K5_NEOLE
OG0001525	sp|P09038|FGF2_HUMAN	tr|A0A1A6HEV1|A0A1A6HEV1_NEOLE
OG0001525	sp|P05230|FGF1_HUMAN	tr|A0A1A6GI04|A0A1A6GI04_NEOLE
OG0001526	sp|Q13585|MTR1L_HUMAN	tr|A0A1A6FVM8|A0A1A6FVM8_NEOLE
OG0001526	sp|P48039|MTR1A_HUMAN	tr|A0A1A6HNX7|A0A1A6HNX7_NEOLE
OG0001527	sp|Q5U5Z8|CBPC2_HUMAN, sp|Q5VU57|CBPC6_HUMAN, sp|Q8NEM8|CBPC3_HUMAN	tr|A0A1A6HWJ2|A0A1A6HWJ2_NEOLE
OG0001528	sp|Q8IZA0|K319L_HUMAN	tr|A0A1A6HRP4|A0A1A6HRP4_NEOLE
OG0001528	sp|Q5VV43|K0319_HUMAN	tr|A0A1A6HHB2|A0A1A6HHB2_NEOLE
OG0001529	sp|Q6ZRP0|PR23C_HUMAN, sp|Q6ZRT6|PR23B_HUMAN, sp|A6NEV1|PR23A_HUMAN	tr|A0A1A6G177|A0A1A6G177_NEOLE
OG0001530	sp|Q9Y605|MOFA1_HUMAN, sp|Q96HT8|MR1L1_HUMAN, sp|B2RBV5|MRUPP_HUMAN	tr|A0A1A6HF04|A0A1A6HF04_NEOLE
OG0001531	sp|Q9UDV6|ZN212_HUMAN, sp|Q75MW2|ZN767_HUMAN, sp|Q9UDV7|ZN282_HUMAN	tr|A0A1A6GFC5|A0A1A6GFC5_NEOLE
OG0001532	sp|P08048|ZFY_HUMAN, sp|P17010|ZFX_HUMAN	tr|A0A1A6GIV0|A0A1A6GIV0_NEOLE, tr|A0A1A6H501|A0A1A6H501_NEOLE
OG0001533	sp|P46939|UTRN_HUMAN	tr|A0A1A6HR91|A0A1A6HR91_NEOLE
OG0001533	sp|P11532|DMD_HUMAN	tr|A0A1A6H728|A0A1A6H728_NEOLE
OG0001534	sp|Q4KMQ2|ANO6_HUMAN	tr|A0A1A6HAZ0|A0A1A6HAZ0_NEOLE
OG0001534	sp|Q75V66|ANO5_HUMAN	tr|A0A1A6HVL7|A0A1A6HVL7_NEOLE
OG0001535	sp|O60346|PHLP1_HUMAN	tr|A0A1A6GWM2|A0A1A6GWM2_NEOLE
OG0001535	sp|Q6ZVD8|PHLP2_HUMAN	tr|A0A1A6HSF2|A0A1A6HSF2_NEOLE
OG0001536	sp|Q8TDY3|ACTT2_HUMAN	tr|A0A1A6H1P9|A0A1A6H1P9_NEOLE
OG0001536	sp|Q8TDG2|ACTT1_HUMAN	tr|A0A1A6GN57|A0A1A6GN57_NEOLE
OG0001537	sp|Q96N28|PLD3A_HUMAN	tr|A0A1A6GF29|A0A1A6GF29_NEOLE
OG0001537	sp|Q9Y3B1|PLD3B_HUMAN	tr|A0A1A6G319|A0A1A6G319_NEOLE
OG0001538	sp|Q9Y2C9|TLR6_HUMAN, sp|Q15399|TLR1_HUMAN, sp|Q9BXR5|TLR10_HUMAN	tr|A0A1A6HSB8|A0A1A6HSB8_NEOLE
OG0001539	sp|Q96J77|TPD55_HUMAN	tr|A0A1A6H3F2|A0A1A6H3F2_NEOLE
OG0001539	sp|O43399|TPD54_HUMAN	tr|A0A1A6HLN8|A0A1A6HLN8_NEOLE
OG0001540	sp|P05114|HMGN1_HUMAN	tr|A0A1A6FT96|A0A1A6FT96_NEOLE, tr|A0A1A6FXV2|A0A1A6FXV2_NEOLE, tr|A0A1A6H815|A0A1A6H815_NEOLE
OG0001541	sp|P49641|MA2A2_HUMAN	tr|A0A1A6G3C6|A0A1A6G3C6_NEOLE
OG0001541	sp|Q16706|MA2A1_HUMAN	tr|A0A1A6HND6|A0A1A6HND6_NEOLE
OG0001542	sp|Q68EM7|RHG17_HUMAN	tr|A0A1A6HVP5|A0A1A6HVP5_NEOLE
OG0001542	sp|Q17R89|RHG44_HUMAN	tr|A0A1A6GW73|A0A1A6GW73_NEOLE
OG0001543	sp|Q6NUM6|TYW1B_HUMAN, sp|Q9NV66|TYW1_HUMAN	tr|A0A1A6HGC0|A0A1A6HGC0_NEOLE, tr|A0A1A6HH51|A0A1A6HH51_NEOLE
OG0001544	sp|Q86Y39|NDUAB_HUMAN	tr|A0A1A6FZW4|A0A1A6FZW4_NEOLE, tr|A0A1A6H7X7|A0A1A6H7X7_NEOLE, tr|A0A1A6GUP5|A0A1A6GUP5_NEOLE
OG0001545	sp|Q53EL9|SEZ6_HUMAN	tr|A0A1A6GNT6|A0A1A6GNT6_NEOLE
OG0001545	sp|Q9BYH1|SE6L1_HUMAN	tr|A0A1A6HBX5|A0A1A6HBX5_NEOLE
OG0001546	sp|Q92750|TAF4B_HUMAN	tr|A0A1A6HU76|A0A1A6HU76_NEOLE
OG0001546	sp|O00268|TAF4_HUMAN	tr|A0A1A6H5P0|A0A1A6H5P0_NEOLE
OG0001547	sp|Q9UBR4|LHX3_HUMAN	tr|A0A1A6H9F9|A0A1A6H9F9_NEOLE
OG0001547	sp|Q969G2|LHX4_HUMAN	tr|A0A1A6GG36|A0A1A6GG36_NEOLE
OG0001548	sp|P17812|PYRG1_HUMAN, sp|Q9NRF8|PYRG2_HUMAN	tr|A0A1A6HW05|A0A1A6HW05_NEOLE, tr|A0A1A6FZH1|A0A1A6FZH1_NEOLE
OG0001549	sp|O43586|PPIP1_HUMAN	tr|A0A1A6HKM6|A0A1A6HKM6_NEOLE
OG0001549	sp|Q9H939|PPIP2_HUMAN	tr|A0A1A6H3I6|A0A1A6H3I6_NEOLE
OG0001550	sp|Q8NA57|CL050_HUMAN, sp|A0A1B0GTU1|ZC11B_HUMAN, sp|O75152|ZC11A_HUMAN	tr|A0A1A6GK94|A0A1A6GK94_NEOLE
OG0001551	sp|P04083|ANXA1_HUMAN, sp|P07355|ANXA2_HUMAN, sp|A6NMY6|AXA2L_HUMAN	tr|A0A1A6HFR2|A0A1A6HFR2_NEOLE
OG0001552	sp|P04629|NTRK1_HUMAN, sp|Q16288|NTRK3_HUMAN, sp|Q16620|NTRK2_HUMAN	tr|A0A1A6GFY4|A0A1A6GFY4_NEOLE
OG0001553	sp|Q96SF7|TBX15_HUMAN	tr|A0A1A6GPI4|A0A1A6GPI4_NEOLE, tr|A0A1A6GKF4|A0A1A6GKF4_NEOLE, tr|A0A1A6HYE4|A0A1A6HYE4_NEOLE
OG0001554	sp|Q9NTQ9|CXB4_HUMAN, sp|O95377|CXB5_HUMAN, sp|Q6PEY0|CXB7_HUMAN	tr|A0A1A6G238|A0A1A6G238_NEOLE
OG0001555	sp|P05783|K1C18_HUMAN	tr|A0A1A6HD14|A0A1A6HD14_NEOLE, tr|A0A1A6GHX5|A0A1A6GHX5_NEOLE, tr|A0A1A6HGI1|A0A1A6HGI1_NEOLE
OG0001556	sp|Q9Y6U3|SCIN_HUMAN	tr|A0A1A6GZT8|A0A1A6GZT8_NEOLE
OG0001556	sp|P06396|GELS_HUMAN	tr|A0A1A6GMZ3|A0A1A6GMZ3_NEOLE
OG0001557	sp|Q494W8|CRFM7_HUMAN, sp|P36544|ACHA7_HUMAN, tr|A0A1W2PN81|A0A1W2PN81_HUMAN	tr|A0A1A6GVN1|A0A1A6GVN1_NEOLE
OG0001558	sp|P62820|RAB1A_HUMAN	tr|A0A1A6GFA4|A0A1A6GFA4_NEOLE
OG0001558	sp|Q9H0U4|RAB1B_HUMAN	tr|A0A1A6GSP4|A0A1A6GSP4_NEOLE
OG0001559	sp|Q14974|IMB1_HUMAN	tr|A0A1A6G551|A0A1A6G551_NEOLE, tr|A0A1A6G2R3|A0A1A6G2R3_NEOLE, tr|A0A1A6HGR1|A0A1A6HGR1_NEOLE
OG0001560	sp|Q8IVE3|PKHH2_HUMAN	tr|A0A1A6GWE4|A0A1A6GWE4_NEOLE
OG0001560	sp|Q9ULM0|PKHH1_HUMAN	tr|A0A1A6G369|A0A1A6G369_NEOLE
OG0001561	sp|P55259|GP2_HUMAN	tr|A0A1A6GGT0|A0A1A6GGT0_NEOLE
OG0001561	sp|P07911|UROM_HUMAN	tr|A0A1A6HVQ3|A0A1A6HVQ3_NEOLE
OG0001562	sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN	tr|A0A1A6HBJ7|A0A1A6HBJ7_NEOLE, tr|A0A1A6HDF2|A0A1A6HDF2_NEOLE
OG0001563	sp|O00144|FZD9_HUMAN	tr|A0A1A6FV16|A0A1A6FV16_NEOLE
OG0001563	sp|Q9ULW2|FZD10_HUMAN	tr|A0A1A6FVP4|A0A1A6FVP4_NEOLE
OG0001565	sp|Q86YW0|PLCZ1_HUMAN	tr|A0A1A6GXN1|A0A1A6GXN1_NEOLE
OG0001565	sp|Q9BRC7|PLCD4_HUMAN	tr|A0A1A6HDY2|A0A1A6HDY2_NEOLE
OG0001566	sp|Q9H9B4|SFXN1_HUMAN	tr|A0A1A6HNN4|A0A1A6HNN4_NEOLE
OG0001566	sp|Q9BWM7|SFXN3_HUMAN	tr|A0A1A6GVW8|A0A1A6GVW8_NEOLE
OG0001567	sp|Q9NX05|F120C_HUMAN	tr|A0A1A6GI20|A0A1A6GI20_NEOLE
OG0001567	sp|Q9NZB2|F120A_HUMAN	tr|A0A1A6H1U8|A0A1A6H1U8_NEOLE
OG0001568	sp|P39687|AN32A_HUMAN, sp|O95626|AN32D_HUMAN, sp|O43423|AN32C_HUMAN	tr|A0A1A6HNI2|A0A1A6HNI2_NEOLE
OG0001569	sp|Q8N3L3|TXLNB_HUMAN	tr|A0A1A6HWG9|A0A1A6HWG9_NEOLE
OG0001569	sp|P40222|TXLNA_HUMAN	tr|A0A1A6HAJ6|A0A1A6HAJ6_NEOLE
