Orthogroup	Homo_sapiens	Bos_mutus
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|L8HML8|L8HML8_9CETA, tr|L8I107|L8I107_9CETA, tr|L8HL14|L8HL14_9CETA, tr|L8HJW2|L8HJW2_9CETA, tr|L8HKR5|L8HKR5_9CETA, tr|L8HKV8|L8HKV8_9CETA, tr|L8HKN8|L8HKN8_9CETA, tr|L8I0Q0|L8I0Q0_9CETA, tr|L8HX94|L8HX94_9CETA
OG0000008	sp|Q8N141|ZFP82_HUMAN	tr|L8HVB9|L8HVB9_9CETA
OG0000008	sp|Q9Y2G7|ZFP30_HUMAN	tr|L8HTQ7|L8HTQ7_9CETA
OG0000008	sp|Q8N7M2|ZN283_HUMAN	tr|L8IIE6|L8IIE6_9CETA
OG0000008	sp|Q6P280|ZN529_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q8TAQ5|ZN420_HUMAN	tr|L8HW70|L8HW70_9CETA
OG0000008	sp|Q8TAF7|ZN461_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q96K75|ZN514_HUMAN, sp|Q99676|ZN184_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q96ND8|ZN583_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q14585|ZN345_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|L8HTY2|L8HTY2_9CETA
OG0000009	sp|A6NMZ5|O4C45_HUMAN	tr|L8HLW1|L8HLW1_9CETA, tr|L8HNH8|L8HNH8_9CETA, tr|L8HP81|L8HP81_9CETA, tr|L8HQL2|L8HQL2_9CETA, tr|L8HKX1|L8HKX1_9CETA, tr|L8IDP7|L8IDP7_9CETA, tr|L8ICX3|L8ICX3_9CETA, tr|L8IDA5|L8IDA5_9CETA, tr|L8J3M6|L8J3M6_9CETA, tr|L8IGD2|L8IGD2_9CETA, tr|L8IFL0|L8IFL0_9CETA, tr|L8IGS4|L8IGS4_9CETA, tr|L8HY48|L8HY48_9CETA, tr|L8HLT9|L8HLT9_9CETA, tr|L8HKQ6|L8HKQ6_9CETA, tr|L8HLT5|L8HLT5_9CETA, tr|L8I9K2|L8I9K2_9CETA, tr|L8I2C4|L8I2C4_9CETA, tr|L8I8V1|L8I8V1_9CETA, tr|L8HRU6|L8HRU6_9CETA, tr|L8HNA2|L8HNA2_9CETA, tr|L8HTC4|L8HTC4_9CETA, tr|L8ITA7|L8ITA7_9CETA, tr|L8HQQ2|L8HQQ2_9CETA, tr|L8HPY4|L8HPY4_9CETA, tr|L8HM39|L8HM39_9CETA, tr|L8HLY3|L8HLY3_9CETA, tr|L8ICG0|L8ICG0_9CETA, tr|L8HLY5|L8HLY5_9CETA, tr|L8IYD9|L8IYD9_9CETA, tr|L8J1Z8|L8J1Z8_9CETA, tr|L8HT52|L8HT52_9CETA, tr|L8HQK8|L8HQK8_9CETA, tr|L8I3Y4|L8I3Y4_9CETA, tr|L8IXR8|L8IXR8_9CETA, tr|L8IBG3|L8IBG3_9CETA, tr|L8HN81|L8HN81_9CETA, tr|L8IZR3|L8IZR3_9CETA
OG0000012	sp|Q13360|ZN177_HUMAN	tr|L8IIV3|L8IIV3_9CETA, tr|L8J330|L8J330_9CETA
OG0000012	sp|Q8TF47|ZFP90_HUMAN	tr|L8II35|L8II35_9CETA
OG0000012	sp|Q6ZMW2|ZN782_HUMAN	tr|L8I1F7|L8I1F7_9CETA
OG0000012	sp|P17032|ZN37A_HUMAN, sp|B1APH4|ZN487_HUMAN	tr|L8ISF0|L8ISF0_9CETA
OG0000012	sp|A6NDX5|ZN840_HUMAN	tr|L8HTQ3|L8HTQ3_9CETA, tr|L8HYE0|L8HYE0_9CETA, tr|L8IZ90|L8IZ90_9CETA, tr|L8IHR4|L8IHR4_9CETA
OG0000012	sp|P17098|ZNF8_HUMAN	tr|L8I8I4|L8I8I4_9CETA, tr|L8III9|L8III9_9CETA, tr|L8HYC2|L8HYC2_9CETA, tr|L8I4X3|L8I4X3_9CETA, tr|L8HLJ5|L8HLJ5_9CETA, tr|L8J3N4|L8J3N4_9CETA, tr|L8I4P4|L8I4P4_9CETA, tr|L8HP03|L8HP03_9CETA, tr|L8I7P2|L8I7P2_9CETA
OG0000019	sp|O15439|MRP4_HUMAN	tr|L8HSZ8|L8HSZ8_9CETA, tr|L8HS15|L8HS15_9CETA, tr|L8HWL8|L8HWL8_9CETA, tr|L8HMY1|L8HMY1_9CETA, tr|L8IPB2|L8IPB2_9CETA, tr|L8I6U5|L8I6U5_9CETA, tr|L8IEJ6|L8IEJ6_9CETA, tr|L8HUJ4|L8HUJ4_9CETA, tr|L8HTJ2|L8HTJ2_9CETA, tr|L8I271|L8I271_9CETA, tr|L8HPJ4|L8HPJ4_9CETA, tr|L8HMT8|L8HMT8_9CETA, tr|L8HNB9|L8HNB9_9CETA, tr|L8IA40|L8IA40_9CETA, tr|L8HSD7|L8HSD7_9CETA, tr|L8HT70|L8HT70_9CETA, tr|L8I8Q4|L8I8Q4_9CETA, tr|L8HSG6|L8HSG6_9CETA, tr|L8IDP5|L8IDP5_9CETA, tr|L8IKP9|L8IKP9_9CETA, tr|L8IKV6|L8IKV6_9CETA, tr|L8J2G2|L8J2G2_9CETA, tr|L8INW3|L8INW3_9CETA, tr|L8IZW9|L8IZW9_9CETA, tr|L8IQ79|L8IQ79_9CETA, tr|L8HYA6|L8HYA6_9CETA, tr|L8HXT9|L8HXT9_9CETA, tr|L8IYC7|L8IYC7_9CETA, tr|L8HS13|L8HS13_9CETA, tr|L8ISF5|L8ISF5_9CETA, tr|L8HPZ8|L8HPZ8_9CETA
OG0000020	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN	tr|L8HRY0|L8HRY0_9CETA
OG0000021	sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN	tr|L8HRJ6|L8HRJ6_9CETA
OG0000022	sp|Q8NGS3|OR1J1_HUMAN	tr|L8I4M5|L8I4M5_9CETA
OG0000022	sp|Q8NGS2|OR1J2_HUMAN	tr|L8I3F4|L8I3F4_9CETA
OG0000022	sp|Q8NGS1|OR1J4_HUMAN	tr|L8I3E9|L8I3E9_9CETA, tr|L8I4L9|L8I4L9_9CETA, tr|L8I6Z2|L8I6Z2_9CETA, tr|L8I681|L8I681_9CETA, tr|L8I4D6|L8I4D6_9CETA
OG0000023	sp|Q8NGJ4|O52E2_HUMAN	tr|L8HKU3|L8HKU3_9CETA, tr|L8J4A1|L8J4A1_9CETA
OG0000023	sp|Q8NH55|O52E5_HUMAN	tr|L8IKG3|L8IKG3_9CETA
OG0000023	sp|Q8NH60|O52J3_HUMAN	tr|L8I4L8|L8I4L8_9CETA, tr|L8I7F7|L8I7F7_9CETA, tr|L8HVQ4|L8HVQ4_9CETA, tr|L8HMA1|L8HMA1_9CETA, tr|L8HPI9|L8HPI9_9CETA, tr|L8I4W4|L8I4W4_9CETA, tr|L8I7W7|L8I7W7_9CETA, tr|L8II41|L8II41_9CETA, tr|L8I876|L8I876_9CETA, tr|L8HP08|L8HP08_9CETA, tr|L8J5Z7|L8J5Z7_9CETA
OG0000023	sp|Q8NGH9|O52E4_HUMAN	tr|L8ILI9|L8ILI9_9CETA, tr|L8II53|L8II53_9CETA, tr|L8IHH9|L8IHH9_9CETA, tr|L8IKF9|L8IKF9_9CETA, tr|L8IIN8|L8IIN8_9CETA
OG0000023	sp|Q8NGJ3|O52E1_HUMAN	tr|L8I5G9|L8I5G9_9CETA, tr|L8HLB5|L8HLB5_9CETA
OG0000024	sp|Q9NXT0|ZN586_HUMAN	tr|L8HUS4|L8HUS4_9CETA
OG0000024	sp|Q9HCX3|ZN304_HUMAN	tr|L8I0X4|L8I0X4_9CETA
OG0000024	sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN	tr|L8HTK0|L8HTK0_9CETA
OG0000024	sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN	tr|L8HKZ6|L8HKZ6_9CETA
OG0000026	sp|Q96BV0|ZN775_HUMAN	tr|L8IY67|L8IY67_9CETA
OG0000026	sp|Q9H4T2|ZSC16_HUMAN	tr|L8I0H5|L8I0H5_9CETA
OG0000026	sp|O15535|ZSC9_HUMAN	tr|L8HX12|L8HX12_9CETA
OG0000026	sp|Q86W11|ZSC30_HUMAN, sp|P49910|ZN165_HUMAN	tr|L8HXX2|L8HXX2_9CETA
OG0000027	sp|Q8NGC7|O11H6_HUMAN	tr|L8I725|L8I725_9CETA
OG0000027	sp|Q8NGC8|O11H7_HUMAN	tr|L8I640|L8I640_9CETA
OG0000027	sp|Q8NGC9|O11H4_HUMAN	tr|L8I6W5|L8I6W5_9CETA
OG0000027	sp|Q8NGC1|O11G2_HUMAN	tr|L8HSF4|L8HSF4_9CETA, tr|L8HR94|L8HR94_9CETA, tr|L8HMN3|L8HMN3_9CETA, tr|L8HTY0|L8HTY0_9CETA, tr|L8HUW0|L8HUW0_9CETA, tr|L8HSF2|L8HSF2_9CETA, tr|L8HR17|L8HR17_9CETA, tr|L8HTW0|L8HTW0_9CETA, tr|L8I9T3|L8I9T3_9CETA, tr|L8I8T0|L8I8T0_9CETA, tr|L8HUV7|L8HUV7_9CETA, tr|L8I730|L8I730_9CETA, tr|L8I644|L8I644_9CETA, tr|L8I6W9|L8I6W9_9CETA, tr|L8I8T3|L8I8T3_9CETA
OG0000029	sp|Q8NGE7|OR9K2_HUMAN	tr|L8HM42|L8HM42_9CETA, tr|L8IHG0|L8IHG0_9CETA, tr|L8I847|L8I847_9CETA, tr|L8IS45|L8IS45_9CETA, tr|L8IRC3|L8IRC3_9CETA, tr|L8HP85|L8HP85_9CETA, tr|L8HMP7|L8HMP7_9CETA, tr|L8HP09|L8HP09_9CETA, tr|L8HKR0|L8HKR0_9CETA, tr|L8IUM6|L8IUM6_9CETA, tr|L8HLW5|L8HLW5_9CETA, tr|L8HLQ0|L8HLQ0_9CETA, tr|L8HRH4|L8HRH4_9CETA, tr|L8I7R1|L8I7R1_9CETA, tr|L8HMQ6|L8HMQ6_9CETA, tr|L8HMJ2|L8HMJ2_9CETA, tr|L8IX43|L8IX43_9CETA, tr|L8IKD4|L8IKD4_9CETA, tr|L8HN28|L8HN28_9CETA, tr|L8HKP2|L8HKP2_9CETA, tr|L8IFL7|L8IFL7_9CETA, tr|L8HMK6|L8HMK6_9CETA, tr|L8ICY1|L8ICY1_9CETA
OG0000030	sp|A0A1B0GX56|TRDV1_HUMAN	tr|L8HN89|L8HN89_9CETA, tr|L8HN59|L8HN59_9CETA, tr|L8HNT5|L8HNT5_9CETA, tr|L8HN71|L8HN71_9CETA, tr|L8HQL7|L8HQL7_9CETA, tr|L8HLA3|L8HLA3_9CETA, tr|L8HPU1|L8HPU1_9CETA, tr|L8HM64|L8HM64_9CETA, tr|L8HS23|L8HS23_9CETA, tr|L8HPY9|L8HPY9_9CETA, tr|L8HMU0|L8HMU0_9CETA, tr|L8HMF0|L8HMF0_9CETA, tr|L8HNI5|L8HNI5_9CETA, tr|L8HKI9|L8HKI9_9CETA, tr|L8HLN0|L8HLN0_9CETA, tr|L8HJW7|L8HJW7_9CETA, tr|L8HNH1|L8HNH1_9CETA, tr|L8HKQ2|L8HKQ2_9CETA, tr|L8HTZ1|L8HTZ1_9CETA, tr|L8HMA3|L8HMA3_9CETA, tr|L8HM02|L8HM02_9CETA
OG0000031	sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NLX3|SPDE4_HUMAN	tr|L8ITK1|L8ITK1_9CETA
OG0000032	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN	tr|L8I1Y4|L8I1Y4_9CETA
OG0000033	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN	tr|L8HNP4|L8HNP4_9CETA
OG0000035	sp|Q96M86|DNHD1_HUMAN	tr|L8I5I4|L8I5I4_9CETA
OG0000035	sp|Q9P225|DYH2_HUMAN	tr|L8IKJ3|L8IKJ3_9CETA
OG0000035	sp|Q9P2D7|DYH1_HUMAN	tr|L8IEV2|L8IEV2_9CETA
OG0000035	sp|Q8TD57|DYH3_HUMAN	tr|L8IIW9|L8IIW9_9CETA
