Orthogroup	Homo_sapiens	Tupaia_chinensis
OG0000305	sp|O43520|AT8B1_HUMAN	tr|L9LD21|L9LD21_TUPCH
OG0000305	sp|O60423|AT8B3_HUMAN	tr|L8Y2J2|L8Y2J2_TUPCH
OG0000307	sp|O75334|LIPA2_HUMAN	tr|L9L6M6|L9L6M6_TUPCH
OG0000307	sp|O75335|LIPA4_HUMAN	tr|L9JFC6|L9JFC6_TUPCH
OG0000307	sp|O75145|LIPA3_HUMAN	tr|L9JDU7|L9JDU7_TUPCH
OG0000307	sp|Q13136|LIPA1_HUMAN	tr|L8Y538|L8Y538_TUPCH
OG0000308	sp|O00299|CLIC1_HUMAN	tr|L9KG26|L9KG26_TUPCH
OG0000308	sp|Q96NY7|CLIC6_HUMAN	tr|L9KHE0|L9KHE0_TUPCH
OG0000308	sp|Q9Y696|CLIC4_HUMAN	tr|L9KRR7|L9KRR7_TUPCH
OG0000309	sp|Q8NGX0|O11L1_HUMAN	tr|L9JBU3|L9JBU3_TUPCH, tr|L9JC17|L9JC17_TUPCH, tr|L9JFR5|L9JFR5_TUPCH, tr|L9JBB1|L9JBB1_TUPCH, tr|L9JB84|L9JB84_TUPCH
OG0000309	sp|Q8NGY5|OR6N1_HUMAN	tr|L9JC12|L9JC12_TUPCH
OG0000310	sp|Q8NG84|O2AK2_HUMAN	tr|L9JCS2|L9JCS2_TUPCH, tr|L9JDH0|L9JDH0_TUPCH, tr|L9JDD2|L9JDD2_TUPCH, tr|L9L0B7|L9L0B7_TUPCH, tr|L9KVW2|L9KVW2_TUPCH, tr|L9KVW7|L9KVW7_TUPCH, tr|L9JDH7|L9JDH7_TUPCH
OG0000311	sp|O75190|DNJB6_HUMAN	tr|L9L7W3|L9L7W3_TUPCH
OG0000311	sp|Q8WWF6|DNJB3_HUMAN	tr|L9KSC0|L9KSC0_TUPCH, tr|L8Y5G8|L8Y5G8_TUPCH, tr|L8Y094|L8Y094_TUPCH, tr|L8Y3I3|L8Y3I3_TUPCH, tr|L8Y3T4|L8Y3T4_TUPCH
OG0000312	sp|A6NDR6|ME3L1_HUMAN, sp|A8K0S8|ME3L2_HUMAN, sp|Q99687|MEIS3_HUMAN	tr|L9L8E2|L9L8E2_TUPCH
OG0000312	sp|O00470|MEIS1_HUMAN, sp|O14770|MEIS2_HUMAN	tr|L8Y474|L8Y474_TUPCH, tr|L9LCB3|L9LCB3_TUPCH
OG0000313	sp|Q9NSA0|S22AB_HUMAN	tr|L9KQ69|L9KQ69_TUPCH, tr|L9JFF3|L9JFF3_TUPCH, tr|L9JIX1|L9JIX1_TUPCH, tr|L9JS74|L9JS74_TUPCH, tr|L9JNF7|L9JNF7_TUPCH, tr|L9KRG3|L9KRG3_TUPCH, tr|L9KRI7|L9KRI7_TUPCH
OG0000314	sp|P61313|RL15_HUMAN	tr|L8Y0W1|L8Y0W1_TUPCH, tr|L9KMF6|L9KMF6_TUPCH, tr|L8YCP9|L8YCP9_TUPCH, tr|L9KXF1|L9KXF1_TUPCH, tr|L9L372|L9L372_TUPCH, tr|L9KFD4|L9KFD4_TUPCH, tr|L9L6K3|L9L6K3_TUPCH
OG0000326	sp|Q04724|TLE1_HUMAN, sp|Q04727|TLE4_HUMAN, sp|Q04726|TLE3_HUMAN	tr|L9L0I3|L9L0I3_TUPCH, tr|L9L142|L9L142_TUPCH
OG0000326	sp|Q04725|TLE2_HUMAN	tr|L8Y4F8|L8Y4F8_TUPCH
OG0000327	sp|P20813|CP2B6_HUMAN	tr|L8Y6Y2|L8Y6Y2_TUPCH, tr|L9LCF4|L9LCF4_TUPCH, tr|L9LBQ8|L9LBQ8_TUPCH, tr|L9L000|L9L000_TUPCH, tr|L9KV91|L9KV91_TUPCH, tr|L9KW63|L9KW63_TUPCH
OG0000328	sp|P51160|PDE6C_HUMAN	tr|L9KZY4|L9KZY4_TUPCH
OG0000328	sp|P35913|PDE6B_HUMAN	tr|L9KXM9|L9KXM9_TUPCH
OG0000328	sp|P16499|PDE6A_HUMAN	tr|L9KPB3|L9KPB3_TUPCH
OG0000329	sp|Q8N7R7|CCYL1_HUMAN, sp|Q8ND76|CCNY_HUMAN, sp|Q5T2Q4|CCYL2_HUMAN, sp|P0C7X3|CCYL3_HUMAN, sp|Q6PGQ1|DRIC1_HUMAN, sp|Q6IC83|CV042_HUMAN	tr|L9L7A2|L9L7A2_TUPCH
OG0000330	sp|O95199|RCBT2_HUMAN	tr|L9LBV1|L9LBV1_TUPCH
OG0000330	sp|Q9UGK8|SRGEF_HUMAN, sp|P18754|RCC1_HUMAN, sp|Q9P258|RCC2_HUMAN, sp|Q8NDN9|RCBT1_HUMAN	tr|L9LBI9|L9LBI9_TUPCH
OG0000331	sp|Q9P2U8|VGLU2_HUMAN	tr|L9KXD9|L9KXD9_TUPCH
OG0000331	sp|Q8NDX2|VGLU3_HUMAN	tr|L9LCX1|L9LCX1_TUPCH
OG0000331	sp|Q9BYT1|S17A9_HUMAN, sp|Q9P2U7|VGLU1_HUMAN	tr|L9J983|L9J983_TUPCH
OG0000332	sp|Q9UQK1|PPR3C_HUMAN	tr|L9KV60|L9KV60_TUPCH
OG0000332	sp|Q86XI6|PPR3B_HUMAN, sp|O95685|PPR3D_HUMAN, sp|Q9H7J1|PPR3E_HUMAN, sp|B7ZBB8|PP13G_HUMAN	tr|L9L6A1|L9L6A1_TUPCH
OG0000333	sp|Q14643|ITPR1_HUMAN	tr|L9L6S8|L9L6S8_TUPCH
OG0000333	sp|Q14573|ITPR3_HUMAN	tr|L9L474|L9L474_TUPCH
OG0000333	sp|Q14571|ITPR2_HUMAN	tr|L9LCY9|L9LCY9_TUPCH, tr|L9LBW2|L9LBW2_TUPCH
OG0000334	sp|Q96RD9|FCRL5_HUMAN	tr|L9JDM5|L9JDM5_TUPCH
OG0000334	sp|Q96P31|FCRL3_HUMAN, sp|Q96PJ5|FCRL4_HUMAN, sp|Q96LA6|FCRL1_HUMAN, sp|Q96LA5|FCRL2_HUMAN	tr|L9JFN7|L9JFN7_TUPCH
OG0000335	sp|P29992|GNA11_HUMAN	tr|L8XYY4|L8XYY4_TUPCH
OG0000335	sp|P50148|GNAQ_HUMAN	tr|L9JDY5|L9JDY5_TUPCH, tr|L9L0L3|L9L0L3_TUPCH
OG0000335	sp|O95837|GNA14_HUMAN	tr|L9L163|L9L163_TUPCH
OG0000337	sp|Q17RB0|RTL8B_HUMAN, sp|Q9BWD3|RTL8A_HUMAN, sp|Q86TG7|PEG10_HUMAN, sp|A6NKG5|RTL1_HUMAN, sp|Q6ICC9|RTL6_HUMAN, sp|Q7L3V2|BOP_HUMAN	tr|L8YCD6|L8YCD6_TUPCH
OG0000338	sp|P62070|RRAS2_HUMAN	tr|L9L716|L9L716_TUPCH
OG0000338	sp|P10301|RRAS_HUMAN	tr|L9JA33|L9JA33_TUPCH
OG0000338	sp|Q92963|RIT1_HUMAN, sp|Q99578|RIT2_HUMAN	tr|L9L333|L9L333_TUPCH
OG0000339	sp|Q9BY71|LRRC3_HUMAN, sp|Q6UXK2|ISLR2_HUMAN, sp|O14498|ISLR_HUMAN, sp|Q9GZU5|NYX_HUMAN, sp|Q7L0X0|TRIL_HUMAN, sp|P13224|GP1BB_HUMAN	tr|L8Y5T9|L8Y5T9_TUPCH
OG0000340	sp|Q9UBU9|NXF1_HUMAN	tr|L9JNV2|L9JNV2_TUPCH
OG0000340	sp|Q9H4D5|NXF3_HUMAN, sp|Q9GZY0|NXF2_HUMAN, sp|Q9H1B4|NXF5_HUMAN	tr|L8YBV8|L8YBV8_TUPCH, tr|L8Y592|L8Y592_TUPCH
OG0000341	sp|Q9Y661|HS3S4_HUMAN	tr|L9KYM0|L9KYM0_TUPCH
OG0000341	sp|Q9Y278|HS3S2_HUMAN, sp|Q96QI5|HS3S6_HUMAN, sp|Q9Y663|HS3SA_HUMAN, sp|Q9Y662|HS3SB_HUMAN	tr|L8Y428|L8Y428_TUPCH
OG0000342	sp|Q08AF3|SLFN5_HUMAN	tr|L9KGY0|L9KGY0_TUPCH
OG0000342	sp|Q8IYM2|SLN12_HUMAN, sp|Q6IEE8|SN12L_HUMAN, sp|Q7Z7L1|SLN11_HUMAN, sp|Q68D06|SLN13_HUMAN	tr|L9KKR8|L9KKR8_TUPCH
OG0000343	sp|P29401|TKT_HUMAN	tr|L8Y271|L8Y271_TUPCH
OG0000343	sp|Q9H0I9|TKTL2_HUMAN	tr|L9JRB1|L9JRB1_TUPCH
OG0000343	sp|P51854|TKTL1_HUMAN	tr|L8YAJ8|L8YAJ8_TUPCH, tr|L9JQI4|L9JQI4_TUPCH
OG0000344	sp|O00220|TR10A_HUMAN, sp|O14763|TR10B_HUMAN, sp|P19438|TNR1A_HUMAN, sp|Q93038|TNR25_HUMAN, sp|O14798|TR10C_HUMAN, sp|Q9UBN6|TR10D_HUMAN	tr|L9LEH7|L9LEH7_TUPCH
OG0000345	sp|P36575|ARRC_HUMAN	tr|L9KYL8|L9KYL8_TUPCH
OG0000345	sp|P49407|ARRB1_HUMAN	tr|L9LAA3|L9LAA3_TUPCH
OG0000345	sp|P32121|ARRB2_HUMAN	tr|L9KLK5|L9KLK5_TUPCH
OG0000346	sp|O43704|ST1B1_HUMAN	tr|L8Y9D0|L8Y9D0_TUPCH
OG0000346	sp|P49888|ST1E1_HUMAN	tr|L8Y7D8|L8Y7D8_TUPCH, tr|L8YB82|L8YB82_TUPCH, tr|L9LAQ2|L9LAQ2_TUPCH, tr|L8YDJ5|L8YDJ5_TUPCH
OG0000347	sp|Q7Z3Z0|K1C25_HUMAN, sp|Q7Z3Y8|K1C27_HUMAN, sp|Q7Z3Y9|K1C26_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN, sp|Q2M2I5|K1C24_HUMAN	tr|L9JWF1|L9JWF1_TUPCH, tr|L9JXG7|L9JXG7_TUPCH
OG0000348	sp|Q13243|SRSF5_HUMAN	tr|L8XZT6|L8XZT6_TUPCH
OG0000348	sp|Q08170|SRSF4_HUMAN, sp|Q13247|SRSF6_HUMAN, sp|Q07955|SRSF1_HUMAN, sp|Q13242|SRSF9_HUMAN	tr|L9KLI8|L9KLI8_TUPCH
OG0000350	sp|Q12926|ELAV2_HUMAN	tr|L9L935|L9L935_TUPCH
OG0000350	sp|P26378|ELAV4_HUMAN	tr|L9L110|L9L110_TUPCH
OG0000350	sp|Q15717|ELAV1_HUMAN, sp|Q14576|ELAV3_HUMAN	tr|L8YHQ2|L8YHQ2_TUPCH
OG0000351	sp|Q5T764|IFT1B_HUMAN	tr|L9KUT3|L9KUT3_TUPCH
OG0000351	sp|Q13325|IFIT5_HUMAN	tr|L9KZW1|L9KZW1_TUPCH
OG0000351	sp|P09914|IFIT1_HUMAN	tr|L9KV51|L9KV51_TUPCH
OG0000352	sp|Q92769|HDAC2_HUMAN	tr|L9JIK9|L9JIK9_TUPCH
OG0000352	sp|Q13547|HDAC1_HUMAN	tr|L9JE93|L9JE93_TUPCH
OG0000352	sp|Q9BY41|HDAC8_HUMAN	tr|L9LGA0|L9LGA0_TUPCH, tr|L8Y7F7|L8Y7F7_TUPCH
OG0000353	sp|Q8NGV6|OR5H6_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN	tr|L8YBH6|L8YBH6_TUPCH
OG0000354	sp|P51690|ARSL_HUMAN	tr|L8Y2M6|L8Y2M6_TUPCH
OG0000354	sp|Q5FYA8|ARSH_HUMAN	tr|L8Y315|L8Y315_TUPCH
OG0000354	sp|P54793|ARSF_HUMAN	tr|L8Y3R0|L8Y3R0_TUPCH
OG0000355	sp|Q6ZMV5|P4R3C_HUMAN	tr|L9JD97|L9JD97_TUPCH, tr|L9JD50|L9JD50_TUPCH, tr|L9K2V4|L9K2V4_TUPCH
OG0000355	sp|Q6IN85|P4R3A_HUMAN, sp|Q5MIZ7|P4R3B_HUMAN	tr|L9JC54|L9JC54_TUPCH
OG0000356	sp|Q5T753|LCE1E_HUMAN, sp|Q5T751|LCE1C_HUMAN, sp|Q5T7P3|LCE1B_HUMAN, sp|Q5T754|LCE1F_HUMAN, sp|Q5T752|LCE1D_HUMAN, sp|Q5T7P2|LCE1A_HUMAN	tr|L9JAG7|L9JAG7_TUPCH
OG0000357	sp|Q8NH09|OR8S1_HUMAN	tr|L8YF90|L8YF90_TUPCH, tr|L8Y3P8|L8Y3P8_TUPCH, tr|L8YDM9|L8YDM9_TUPCH, tr|L8YA07|L8YA07_TUPCH, tr|L8Y9H3|L8Y9H3_TUPCH, tr|L8YDC8|L8YDC8_TUPCH
OG0000358	sp|P62136|PP1A_HUMAN	tr|L8XZQ8|L8XZQ8_TUPCH
OG0000358	sp|P62140|PP1B_HUMAN, sp|P36873|PP1G_HUMAN	tr|L9KSS9|L9KSS9_TUPCH, tr|L8YGW3|L8YGW3_TUPCH, tr|L9JCI9|L9JCI9_TUPCH
OG0000359	sp|P62987|RL40_HUMAN, sp|P0CG48|UBC_HUMAN, sp|P0CG47|UBB_HUMAN, sp|O15205|UBD_HUMAN, sp|P62979|RS27A_HUMAN, tr|A0A2R8Y422|A0A2R8Y422_HUMAN	tr|L9KW39|L9KW39_TUPCH
OG0000360	sp|Q9GZX5|ZN350_HUMAN, sp|Q6PF04|ZN613_HUMAN, sp|Q8N883|ZN614_HUMAN, sp|Q8N8J6|ZN615_HUMAN, sp|Q9BS31|ZN649_HUMAN, sp|O94892|ZN432_HUMAN	tr|L9JEV3|L9JEV3_TUPCH
OG0000361	sp|P08237|PFKAM_HUMAN	tr|L8YA17|L8YA17_TUPCH
OG0000361	sp|P17858|PFKAL_HUMAN	tr|L8Y245|L8Y245_TUPCH
OG0000361	sp|Q01813|PFKAP_HUMAN	tr|L9LAF5|L9LAF5_TUPCH, tr|L9L963|L9L963_TUPCH
OG0000362	sp|Q8WWY6|MB3L1_HUMAN, sp|A6NDZ8|MB3L4_HUMAN, sp|A6NE82|MB3L3_HUMAN, sp|A6NJ08|MB3L5_HUMAN, sp|A0A1B0GVZ6|MB3LB_HUMAN, sp|Q8NHZ7|MB3L2_HUMAN	tr|L9JUC2|L9JUC2_TUPCH
OG0000363	sp|O14950|ML12B_HUMAN	tr|L9L2U8|L9L2U8_TUPCH
OG0000363	sp|P24844|MYL9_HUMAN	tr|L9L6V9|L9L6V9_TUPCH, tr|L8Y418|L8Y418_TUPCH
OG0000363	sp|P19105|ML12A_HUMAN	tr|L9KY38|L9KY38_TUPCH
OG0000364	sp|Q8N6W0|CELF5_HUMAN	tr|L8Y4G3|L8Y4G3_TUPCH
OG0000364	sp|Q9BZC1|CELF4_HUMAN	tr|L8YB36|L8YB36_TUPCH
OG0000364	sp|Q96J87|CELF6_HUMAN, sp|Q5SZQ8|CELF3_HUMAN	tr|L8Y2V4|L8Y2V4_TUPCH
OG0000365	sp|Q2HXU8|CL12B_HUMAN, sp|Q9P126|CLC1B_HUMAN, sp|Q8NC01|CLC1A_HUMAN, sp|Q6UXN8|CLC9A_HUMAN, sp|P78380|OLR1_HUMAN, sp|Q9BXN2|CLC7A_HUMAN	tr|L9L9X8|L9L9X8_TUPCH
OG0000366	sp|Q13177|PAK2_HUMAN	tr|L9JP55|L9JP55_TUPCH
OG0000366	sp|Q13153|PAK1_HUMAN	tr|L9KQJ4|L9KQJ4_TUPCH
OG0000366	sp|O75914|PAK3_HUMAN	tr|L8Y4A6|L8Y4A6_TUPCH
OG0000367	sp|P28161|GSTM2_HUMAN	tr|L9KRD5|L9KRD5_TUPCH
OG0000367	sp|P09488|GSTM1_HUMAN, sp|P46439|GSTM5_HUMAN, sp|Q03013|GSTM4_HUMAN, sp|P21266|GSTM3_HUMAN	tr|L9KVZ3|L9KVZ3_TUPCH
OG0000369	tr|A0A1W2PR75|A0A1W2PR75_HUMAN, tr|A0A1W2PQD8|A0A1W2PQD8_HUMAN, tr|A0A1W2PQC6|A0A1W2PQC6_HUMAN, tr|A0A1W2PQ27|A0A1W2PQ27_HUMAN, tr|A0A1W2PQJ5|A0A1W2PQJ5_HUMAN, tr|A0A1W2PQ64|A0A1W2PQ64_HUMAN	tr|L9LDJ3|L9LDJ3_TUPCH
OG0000370	sp|Q9HAC7|SUCHY_HUMAN	tr|L9L5N8|L9L5N8_TUPCH, tr|L9KKY3|L9KKY3_TUPCH, tr|L9KTD8|L9KTD8_TUPCH, tr|L9L939|L9L939_TUPCH, tr|L9L950|L9L950_TUPCH, tr|L9KYA6|L9KYA6_TUPCH
OG0000371	sp|Q9NY91|SC5A4_HUMAN	tr|L9KV53|L9KV53_TUPCH
OG0000371	sp|P13866|SC5A1_HUMAN	tr|L9KZK9|L9KZK9_TUPCH
OG0000371	sp|P53794|SC5A3_HUMAN	tr|L9JH79|L9JH79_TUPCH
OG0000372	sp|P54707|AT12A_HUMAN	tr|L9KX98|L9KX98_TUPCH
OG0000372	sp|P20648|ATP4A_HUMAN	tr|L8YCJ9|L8YCJ9_TUPCH, tr|L9L8S6|L9L8S6_TUPCH, tr|L8Y8B3|L8Y8B3_TUPCH, tr|L8Y4Q3|L8Y4Q3_TUPCH
OG0000373	sp|Q13698|CAC1S_HUMAN	tr|L9K8G5|L9K8G5_TUPCH
OG0000373	sp|O60840|CAC1F_HUMAN	tr|L8Y9Y8|L8Y9Y8_TUPCH
OG0000373	sp|Q13936|CAC1C_HUMAN, sp|Q01668|CAC1D_HUMAN	tr|L8Y5N0|L8Y5N0_TUPCH
OG0000374	tr|A0A087X1C1|A0A087X1C1_HUMAN, sp|P0CG35|TB15B_HUMAN, sp|P0CG34|TB15A_HUMAN, sp|O14604|TYB4Y_HUMAN, sp|P62328|TYB4_HUMAN, sp|P63313|TYB10_HUMAN	tr|L9JDQ0|L9JDQ0_TUPCH
OG0000375	sp|Q7Z5A7|TAFA5_HUMAN	tr|L9JIU3|L9JIU3_TUPCH
OG0000375	sp|Q7Z5A9|TAFA1_HUMAN, sp|Q96LR4|TAFA4_HUMAN, sp|Q8N3H0|TAFA2_HUMAN, sp|Q7Z5A8|TAFA3_HUMAN	tr|L9KQN7|L9KQN7_TUPCH
OG0000376	sp|P0C7X2|ZN688_HUMAN	tr|L9KUF7|L9KUF7_TUPCH
OG0000376	sp|A8K8V0|ZN785_HUMAN, sp|Q96LX8|ZN597_HUMAN, sp|Q86XF7|ZN575_HUMAN, sp|Q96CS4|ZN689_HUMAN	tr|L9KYV7|L9KYV7_TUPCH
OG0000377	sp|Q8IUK8|CBLN2_HUMAN	tr|L9KWL1|L9KWL1_TUPCH
OG0000377	sp|Q9NTU7|CBLN4_HUMAN, sp|Q6IMN6|CAPR2_HUMAN, sp|Q14444|CAPR1_HUMAN, sp|P23435|CBLN1_HUMAN	tr|L9KGF1|L9KGF1_TUPCH
OG0000378	sp|P49321|NASP_HUMAN	tr|L9KHM3|L9KHM3_TUPCH, tr|L9KG71|L9KG71_TUPCH, tr|L9JAN8|L9JAN8_TUPCH, tr|L9KHD8|L9KHD8_TUPCH, tr|L9LCM6|L9LCM6_TUPCH, tr|L9LDB3|L9LDB3_TUPCH
OG0000379	sp|Q99832|TCPH_HUMAN	tr|L9L9N0|L9L9N0_TUPCH, tr|L9KNL1|L9KNL1_TUPCH, tr|L9JLT0|L9JLT0_TUPCH, tr|L9KMS6|L9KMS6_TUPCH, tr|L9JIF8|L9JIF8_TUPCH, tr|L9LBF7|L9LBF7_TUPCH
OG0000380	sp|P19440|GGT1_HUMAN, sp|P36268|GGT2_HUMAN, sp|A6NGU5|GGT3_HUMAN, sp|Q9BX51|GGTL1_HUMAN, sp|Q14390|GGTL2_HUMAN, sp|B5MD39|GGTL3_HUMAN	tr|L9JH18|L9JH18_TUPCH
OG0000381	sp|Q96AP7|ESAM_HUMAN, sp|Q86XK7|VSIG1_HUMAN, sp|Q96IQ7|VSIG2_HUMAN, sp|Q5DX21|IGS11_HUMAN, sp|P78310|CXAR_HUMAN, sp|Q99795|GPA33_HUMAN	tr|L8YDY9|L8YDY9_TUPCH
OG0000382	sp|P48730|KC1D_HUMAN	tr|L9KZG1|L9KZG1_TUPCH
OG0000382	sp|P49674|KC1E_HUMAN	tr|L9K7H9|L9K7H9_TUPCH
OG0000382	sp|Q8N752|KC1AL_HUMAN, sp|P48729|KC1A_HUMAN	tr|L9KPA8|L9KPA8_TUPCH
OG0000383	sp|P16118|F261_HUMAN	tr|L8YDC6|L8YDC6_TUPCH
OG0000383	sp|Q16877|F264_HUMAN	tr|L8Y5M1|L8Y5M1_TUPCH
OG0000383	sp|O60825|F262_HUMAN	tr|L9JB00|L9JB00_TUPCH, tr|L9JBT2|L9JBT2_TUPCH
OG0000384	sp|P17026|ZNF22_HUMAN	tr|L9KUX8|L9KUX8_TUPCH
OG0000384	sp|Q6U7Q0|ZN322_HUMAN	tr|L8YAV0|L8YAV0_TUPCH
OG0000384	sp|Q15072|OZF_HUMAN	tr|L8YEK9|L8YEK9_TUPCH, tr|L9KQF8|L9KQF8_TUPCH
OG0000385	sp|P22314|UBA1_HUMAN	tr|L8YGD0|L8YGD0_TUPCH
OG0000385	sp|A0AVT1|UBA6_HUMAN	tr|L8YI38|L8YI38_TUPCH
OG0000385	sp|P41226|UBA7_HUMAN	tr|L9LBF2|L9LBF2_TUPCH, tr|L9LBJ2|L9LBJ2_TUPCH
OG0000386	sp|P08651|NFIC_HUMAN	tr|L8XZE3|L8XZE3_TUPCH
OG0000386	sp|Q12857|NFIA_HUMAN, sp|Q14938|NFIX_HUMAN	tr|L8YD14|L8YD14_TUPCH
OG0000386	sp|O00712|NFIB_HUMAN	tr|L9KVR0|L9KVR0_TUPCH
OG0000387	sp|Q9Y4C0|NRX3A_HUMAN	tr|L9JL12|L9JL12_TUPCH
OG0000387	sp|Q9P2S2|NRX2A_HUMAN	tr|L9KV89|L9KV89_TUPCH
OG0000387	sp|Q9ULB1|NRX1A_HUMAN	tr|L9JHP2|L9JHP2_TUPCH, tr|L9JHV7|L9JHV7_TUPCH
OG0000388	sp|P17612|KAPCA_HUMAN	tr|L8YD34|L8YD34_TUPCH
OG0000388	sp|P51817|PRKX_HUMAN, sp|O43930|PRKY_HUMAN, sp|P22612|KAPCG_HUMAN, sp|P22694|KAPCB_HUMAN	tr|L9KRH7|L9KRH7_TUPCH
OG0000389	sp|O14795|UN13B_HUMAN	tr|L9L524|L9L524_TUPCH
OG0000389	sp|Q9UPW8|UN13A_HUMAN	tr|L9KWI3|L9KWI3_TUPCH
OG0000389	sp|Q8NB66|UN13C_HUMAN	tr|L9L991|L9L991_TUPCH, tr|L9KRE7|L9KRE7_TUPCH
OG0000390	sp|Q9HBY0|NOX3_HUMAN	tr|L9LCS0|L9LCS0_TUPCH
OG0000390	sp|Q96PH1|NOX5_HUMAN, sp|Q9NPH5|NOX4_HUMAN, sp|Q9Y5S8|NOX1_HUMAN, sp|P04839|CY24B_HUMAN	tr|L9KTI1|L9KTI1_TUPCH
OG0000391	sp|Q9UBU8|MO4L1_HUMAN	tr|L8Y8K1|L8Y8K1_TUPCH, tr|L9KX37|L9KX37_TUPCH, tr|L9JDR1|L9JDR1_TUPCH, tr|L9KFZ7|L9KFZ7_TUPCH, tr|L8Y318|L8Y318_TUPCH, tr|L8XZI9|L8XZI9_TUPCH
OG0000392	sp|Q9BY31|ZN717_HUMAN	tr|L8Y6D7|L8Y6D7_TUPCH, tr|L9L980|L9L980_TUPCH, tr|L8Y863|L8Y863_TUPCH, tr|L8YDF5|L8YDF5_TUPCH, tr|L8YC92|L8YC92_TUPCH, tr|L8Y8N4|L8Y8N4_TUPCH
OG0000393	sp|P55209|NP1L1_HUMAN	tr|L9L7A7|L9L7A7_TUPCH, tr|L9KZM7|L9KZM7_TUPCH
OG0000393	sp|Q99733|NP1L4_HUMAN	tr|L9L0Z6|L9L0Z6_TUPCH, tr|L9L945|L9L945_TUPCH, tr|L9LAL0|L9LAL0_TUPCH
OG0000394	sp|Q14DG7|T132B_HUMAN	tr|L9KWF2|L9KWF2_TUPCH, tr|L9L0X0|L9L0X0_TUPCH
OG0000394	sp|Q8N3T6|T132C_HUMAN	tr|L9KX11|L9KX11_TUPCH
OG0000394	sp|Q14C87|T132D_HUMAN	tr|L9KW21|L9KW21_TUPCH
OG0000395	sp|A4D0S4|LAMB4_HUMAN	tr|L8YI80|L8YI80_TUPCH
OG0000395	sp|P07942|LAMB1_HUMAN	tr|L8YDC2|L8YDC2_TUPCH
OG0000395	sp|P55268|LAMB2_HUMAN, sp|O94966|UBP19_HUMAN	tr|L8Y0C3|L8Y0C3_TUPCH
OG0000396	sp|P18054|LOX12_HUMAN	tr|L9KLL6|L9KLL6_TUPCH, tr|L9KMC7|L9KMC7_TUPCH
OG0000396	sp|P16050|LOX15_HUMAN	tr|L9KLK0|L9KLK0_TUPCH, tr|L9KLM1|L9KLM1_TUPCH, tr|L9KR39|L9KR39_TUPCH
OG0000397	sp|P0CG31|Z286B_HUMAN, sp|Q9HBT8|Z286A_HUMAN	tr|L8Y3T0|L8Y3T0_TUPCH
OG0000397	sp|Q9P2J8|ZN624_HUMAN, tr|A0A087WUV0|A0A087WUV0_HUMAN, sp|Q9UJN7|ZN391_HUMAN	tr|L9KQ86|L9KQ86_TUPCH
OG0000398	sp|P10586|PTPRF_HUMAN	tr|L9KI18|L9KI18_TUPCH
OG0000398	sp|Q13332|PTPRS_HUMAN	tr|L9KK22|L9KK22_TUPCH
OG0000398	sp|P23468|PTPRD_HUMAN	tr|L9KNP9|L9KNP9_TUPCH
OG0000399	sp|P56134|ATPK_HUMAN	tr|L9JU92|L9JU92_TUPCH, tr|L9KFB2|L9KFB2_TUPCH, tr|L9KX93|L9KX93_TUPCH, tr|L9K640|L9K640_TUPCH, tr|L9KV40|L9KV40_TUPCH, tr|L9KQY2|L9KQY2_TUPCH
OG0000405	sp|Q9H9S0|NANOG_HUMAN, sp|Q6NSW7|NANP8_HUMAN, sp|Q8N7R0|NANG2_HUMAN	tr|L8Y5G7|L8Y5G7_TUPCH, tr|L9KW14|L9KW14_TUPCH, tr|L9KXT4|L9KXT4_TUPCH
OG0000406	sp|Q9NSK0|KLC4_HUMAN	tr|L9KTB1|L9KTB1_TUPCH
OG0000406	sp|Q07866|KLC1_HUMAN	tr|L9J9D4|L9J9D4_TUPCH
OG0000406	sp|Q6P597|KLC3_HUMAN	tr|L9L8Y3|L9L8Y3_TUPCH
OG0000407	sp|P56524|HDAC4_HUMAN	tr|L9KQU7|L9KQU7_TUPCH
OG0000407	sp|Q9UQL6|HDAC5_HUMAN	tr|L8Y465|L8Y465_TUPCH
OG0000407	sp|Q9UKV0|HDAC9_HUMAN	tr|L9KKK2|L9KKK2_TUPCH
OG0000408	sp|O15303|GRM6_HUMAN	tr|L9KWM5|L9KWM5_TUPCH
OG0000408	sp|Q14833|GRM4_HUMAN, sp|O00222|GRM8_HUMAN, sp|Q14831|GRM7_HUMAN	tr|L9L6U0|L9L6U0_TUPCH
OG0000409	sp|Q3I5F7|ACOT6_HUMAN	tr|L8Y0M8|L8Y0M8_TUPCH
OG0000409	sp|Q8N9L9|ACOT4_HUMAN, sp|P49753|ACOT2_HUMAN, sp|Q86TX2|ACOT1_HUMAN	tr|L8Y0X6|L8Y0X6_TUPCH
OG0000410	sp|P59817|Z280A_HUMAN	tr|L9LBH0|L9LBH0_TUPCH
OG0000410	sp|Q6N043|Z280D_HUMAN, sp|Q8ND82|Z280C_HUMAN, sp|Q86YH2|Z280B_HUMAN	tr|L9LCK3|L9LCK3_TUPCH
