Orthogroup	Homo_sapiens	Sapajus_apella
OG0000006	sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01763|HV348_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN	tr|A0A6J3HCK3|A0A6J3HCK3_SAPAP
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN	tr|A0A6J3G790|A0A6J3G790_SAPAP
OG0000010	sp|Q9NZP2|OR6C2_HUMAN	tr|A0A6J3IIR8|A0A6J3IIR8_SAPAP
OG0000010	sp|A6NCV1|O6C74_HUMAN	tr|A0A6J3IHV1|A0A6J3IHV1_SAPAP
OG0000010	sp|A6NM76|O6C76_HUMAN	tr|A0A6J3F4I6|A0A6J3F4I6_SAPAP
OG0000010	sp|A6NJZ3|O6C65_HUMAN	tr|A0A6J3IHN7|A0A6J3IHN7_SAPAP, tr|A0A6J3IHM3|A0A6J3IHM3_SAPAP
OG0000010	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A6J3IIV1|A0A6J3IIV1_SAPAP
OG0000010	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A6J3IHH5|A0A6J3IHH5_SAPAP
OG0000010	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A6J3IIY1|A0A6J3IIY1_SAPAP
OG0000010	sp|Q96RD1|OR6C1_HUMAN	tr|A0A6J3IIZ7|A0A6J3IIZ7_SAPAP
OG0000010	sp|A6NL08|O6C75_HUMAN	tr|A0A6J3IHQ6|A0A6J3IHQ6_SAPAP
OG0000010	sp|A6NF89|OR6C6_HUMAN	tr|A0A6J3IJ88|A0A6J3IJ88_SAPAP
OG0000010	sp|A6NIJ9|O6C70_HUMAN	tr|A0A6J3F457|A0A6J3F457_SAPAP
OG0000010	sp|A6NDL8|O6C68_HUMAN	tr|A0A6J3IHM1|A0A6J3IHM1_SAPAP, tr|A0A6J3IHK6|A0A6J3IHK6_SAPAP, tr|A0A6J3IHJ9|A0A6J3IHJ9_SAPAP
OG0000011	sp|Q8N628|OR2C3_HUMAN	tr|A0A6J3EYI9|A0A6J3EYI9_SAPAP
OG0000011	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A6J3H8G5|A0A6J3H8G5_SAPAP
OG0000011	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A6J3H8H6|A0A6J3H8H6_SAPAP
OG0000011	sp|P59922|OR2B8_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A6J3HBT3|A0A6J3HBT3_SAPAP
OG0000011	sp|P58173|OR2B6_HUMAN	tr|A0A6J3H948|A0A6J3H948_SAPAP
OG0000011	sp|Q9GZK3|OR2B2_HUMAN	tr|A0A6J3H925|A0A6J3H925_SAPAP
OG0000011	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A6J3EYG2|A0A6J3EYG2_SAPAP
OG0000011	sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A6J3H9S3|A0A6J3H9S3_SAPAP
OG0000012	sp|Q5VTA0|PRA17_HUMAN, sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN	tr|A0A6J3JS93|A0A6J3JS93_SAPAP
OG0000012	sp|Q5VT98|PRA20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|O60813|PRA11_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60810|PRAM4_HUMAN	tr|A0A6J3JN53|A0A6J3JN53_SAPAP
OG0000012	sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|O95522|PRA12_HUMAN	tr|A0A6J3JQH5|A0A6J3JQH5_SAPAP
OG0000014	sp|Q8NGV5|O13D1_HUMAN	tr|A0A6J3EPL2|A0A6J3EPL2_SAPAP
OG0000014	sp|Q8NGS6|O13C3_HUMAN	tr|A0A6J3EUA8|A0A6J3EUA8_SAPAP
OG0000014	sp|Q8NGS5|O13C4_HUMAN	tr|A0A6J3EQ91|A0A6J3EQ91_SAPAP
OG0000014	sp|Q8NGS7|O13C8_HUMAN	tr|A0A6J3EUM3|A0A6J3EUM3_SAPAP
OG0000014	sp|P0DN81|O13C7_HUMAN	tr|A0A6J3EMQ7|A0A6J3EMQ7_SAPAP
OG0000014	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A6J3EUA4|A0A6J3EUA4_SAPAP, tr|A0A6J3EP17|A0A6J3EP17_SAPAP, tr|A0A6J3ET86|A0A6J3ET86_SAPAP
OG0000014	sp|Q8NH95|O13C6_HUMAN	tr|A0A6J3ETX8|A0A6J3ETX8_SAPAP
OG0000016	sp|Q8N7R7|CCYL1_HUMAN	tr|A0A6J3HWM8|A0A6J3HWM8_SAPAP
OG0000016	sp|P0C7X3|CCYL3_HUMAN	tr|A0A6J3GY27|A0A6J3GY27_SAPAP, tr|A0A6J3GAP9|A0A6J3GAP9_SAPAP, tr|A0A6J3HAN6|A0A6J3HAN6_SAPAP, tr|A0A6J3H475|A0A6J3H475_SAPAP, tr|A0A6J3HI48|A0A6J3HI48_SAPAP, tr|A0A6J3GAY4|A0A6J3GAY4_SAPAP, tr|A0A6J3HEV5|A0A6J3HEV5_SAPAP, tr|A0A6J3GBX2|A0A6J3GBX2_SAPAP, tr|A0A6J3HFM8|A0A6J3HFM8_SAPAP, tr|A0A6J3H8V5|A0A6J3H8V5_SAPAP, tr|A0A6J3HEQ6|A0A6J3HEQ6_SAPAP, tr|A0A6J3HBT9|A0A6J3HBT9_SAPAP, tr|A0A6J3GYY9|A0A6J3GYY9_SAPAP, tr|A0A6J3GCP1|A0A6J3GCP1_SAPAP, tr|A0A6J3HAD4|A0A6J3HAD4_SAPAP, tr|A0A6J3GB57|A0A6J3GB57_SAPAP, tr|A0A6J3IEA1|A0A6J3IEA1_SAPAP, tr|A0A6J3G0R9|A0A6J3G0R9_SAPAP
OG0000016	sp|Q5T2Q4|CCYL2_HUMAN	tr|A0A6J3HCK5|A0A6J3HCK5_SAPAP
OG0000017	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A6J3H958|A0A6J3H958_SAPAP
OG0000017	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A6J3FP75|A0A6J3FP75_SAPAP
OG0000017	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A6J3FQ58|A0A6J3FQ58_SAPAP, tr|A0A6J3FNU4|A0A6J3FNU4_SAPAP
OG0000017	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A6J3FSV4|A0A6J3FSV4_SAPAP
OG0000018	sp|P17024|ZNF20_HUMAN	tr|A0A6J3FQG7|A0A6J3FQG7_SAPAP
OG0000018	sp|O60384|ZN861_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q9BS34|ZN670_HUMAN	tr|A0A6J3ET61|A0A6J3ET61_SAPAP
OG0000018	sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN	tr|A0A6J3FP60|A0A6J3FP60_SAPAP
OG0000019	sp|Q5JRA6|TGO1_HUMAN	tr|A0A6J3IRP5|A0A6J3IRP5_SAPAP, tr|A0A6J3HGA7|A0A6J3HGA7_SAPAP, tr|A0A6J3H9V5|A0A6J3H9V5_SAPAP, tr|A0A6J3HGM2|A0A6J3HGM2_SAPAP, tr|A0A6J3HES5|A0A6J3HES5_SAPAP, tr|A0A6J3HFU5|A0A6J3HFU5_SAPAP, tr|A0A6J3HEK2|A0A6J3HEK2_SAPAP, tr|A0A6J3HFN6|A0A6J3HFN6_SAPAP, tr|A0A6J3HH07|A0A6J3HH07_SAPAP, tr|A0A6J3HJI3|A0A6J3HJI3_SAPAP, tr|A0A6J3HI59|A0A6J3HI59_SAPAP, tr|A0A6J3HIU0|A0A6J3HIU0_SAPAP, tr|A0A6J3HIQ1|A0A6J3HIQ1_SAPAP, tr|A0A6J3HGQ0|A0A6J3HGQ0_SAPAP, tr|A0A6J3HGS5|A0A6J3HGS5_SAPAP, tr|A0A6J3HHM2|A0A6J3HHM2_SAPAP, tr|A0A6J3HJ49|A0A6J3HJ49_SAPAP, tr|A0A6J3HG66|A0A6J3HG66_SAPAP, tr|A0A6J3HG98|A0A6J3HG98_SAPAP, tr|A0A6J3HIF8|A0A6J3HIF8_SAPAP, tr|A0A6J3HHZ5|A0A6J3HHZ5_SAPAP, tr|A0A6J3HIB9|A0A6J3HIB9_SAPAP, tr|A0A6J3HIA1|A0A6J3HIA1_SAPAP
OG0000020	sp|Q8NGH9|O52E4_HUMAN	tr|A0A6J3EQS4|A0A6J3EQS4_SAPAP
OG0000020	sp|Q8NH55|O52E5_HUMAN	tr|A0A6J3EWE9|A0A6J3EWE9_SAPAP
OG0000020	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A6J3ES19|A0A6J3ES19_SAPAP
OG0000020	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A6J3EVD7|A0A6J3EVD7_SAPAP, tr|A0A6J3EVL7|A0A6J3EVL7_SAPAP, tr|A0A6J3EUP5|A0A6J3EUP5_SAPAP, tr|A0A6J3ES52|A0A6J3ES52_SAPAP, tr|A0A6J3EWE6|A0A6J3EWE6_SAPAP, tr|A0A6J3GA70|A0A6J3GA70_SAPAP, tr|A0A6J3EQC0|A0A6J3EQC0_SAPAP, tr|A0A6J3EVD4|A0A6J3EVD4_SAPAP, tr|A0A6J3G9U5|A0A6J3G9U5_SAPAP, tr|A0A6J3EUN6|A0A6J3EUN6_SAPAP, tr|A0A6J3EUB8|A0A6J3EUB8_SAPAP, tr|A0A6J3EP85|A0A6J3EP85_SAPAP, tr|A0A6J3EWC7|A0A6J3EWC7_SAPAP, tr|A0A6J3EVF6|A0A6J3EVF6_SAPAP, tr|A0A6J3EUS5|A0A6J3EUS5_SAPAP, tr|A0A6J3EVL0|A0A6J3EVL0_SAPAP
OG0000021	sp|P51522|ZNF83_HUMAN	tr|A0A6J3GRP2|A0A6J3GRP2_SAPAP
OG0000021	sp|Q09FC8|ZN415_HUMAN	tr|A0A6J3HEM5|A0A6J3HEM5_SAPAP
OG0000021	sp|Q9HCG1|ZN160_HUMAN	tr|A0A6J3H9W0|A0A6J3H9W0_SAPAP
OG0000021	sp|Q96SE7|ZN347_HUMAN	tr|A0A6J3HBU4|A0A6J3HBU4_SAPAP
OG0000021	sp|Q08AN1|ZN616_HUMAN	tr|A0A6J3GRZ3|A0A6J3GRZ3_SAPAP
OG0000021	sp|Q6ZNA1|ZN836_HUMAN	tr|A0A6J3GRX2|A0A6J3GRX2_SAPAP
OG0000021	sp|Q6ZN19|ZN841_HUMAN	tr|A0A6J3GRX8|A0A6J3GRX8_SAPAP
OG0000022	sp|P01743|HV146_HUMAN	tr|A0A6J3HFR1|A0A6J3HFR1_SAPAP
OG0000022	sp|A0A0J9YXX1|HV5X1_HUMAN, sp|A0A0C4DH38|HV551_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P0DP01|HV108_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN	tr|A0A6J3HE64|A0A6J3HE64_SAPAP
OG0000023	sp|Q6S8J7|POTEA_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN	tr|A0A6J3JCN5|A0A6J3JCN5_SAPAP
OG0000029	sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN	tr|A0A6J3F639|A0A6J3F639_SAPAP
OG0000029	sp|A0A1B0GX49|TVB64_HUMAN, sp|A0A075B6N1|TVB19_HUMAN, sp|A0A0K0K1B3|TVB30_HUMAN, sp|A0A075B6N4|TVBY1_HUMAN, sp|P0DTU4|TRBR2_HUMAN, sp|A0A075B6N3|TVBX1_HUMAN, sp|A0A0K0K1C4|TVB27_HUMAN, sp|A0A5B6|TVB28_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|A0A0K0K1A3|TVBJ1_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN	tr|A0A6J3F690|A0A6J3F690_SAPAP
OG0000030	sp|Q8NGC6|OR4KH_HUMAN	tr|A0A6J3GHH5|A0A6J3GHH5_SAPAP
OG0000030	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A6J3GHB9|A0A6J3GHB9_SAPAP
OG0000030	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6J3GGF7|A0A6J3GGF7_SAPAP
OG0000030	sp|Q8NH42|OR4KD_HUMAN	tr|A0A6J3GHD1|A0A6J3GHD1_SAPAP
OG0000030	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6J3GII6|A0A6J3GII6_SAPAP
OG0000030	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6J3GGY1|A0A6J3GGY1_SAPAP, tr|A0A6J3GHC5|A0A6J3GHC5_SAPAP, tr|A0A6J3GII2|A0A6J3GII2_SAPAP, tr|A0A6J3GGX4|A0A6J3GGX4_SAPAP
OG0000030	sp|Q96R72|OR4K3_HUMAN	tr|A0A6J3GGX6|A0A6J3GGX6_SAPAP
OG0000030	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6J3GIJ5|A0A6J3GIJ5_SAPAP, tr|A0A6J3GGY6|A0A6J3GGY6_SAPAP
OG0000031	sp|P47914|RL29_HUMAN	tr|A0A6J3ILZ2|A0A6J3ILZ2_SAPAP, tr|A0A6J3FMC9|A0A6J3FMC9_SAPAP, tr|A0A6J3ITW3|A0A6J3ITW3_SAPAP, tr|A0A6J3F831|A0A6J3F831_SAPAP, tr|A0A6J3FCK7|A0A6J3FCK7_SAPAP, tr|A0A6J3JAM6|A0A6J3JAM6_SAPAP, tr|A0A6J3EUK1|A0A6J3EUK1_SAPAP, tr|A0A6J3FJU8|A0A6J3FJU8_SAPAP, tr|A0A6J3HCP3|A0A6J3HCP3_SAPAP, tr|A0A6J3JE52|A0A6J3JE52_SAPAP, tr|A0A6J3JM87|A0A6J3JM87_SAPAP, tr|A0A6J3IR71|A0A6J3IR71_SAPAP, tr|A0A6J3ERC0|A0A6J3ERC0_SAPAP, tr|A0A6J3F383|A0A6J3F383_SAPAP, tr|A0A6J3JBY1|A0A6J3JBY1_SAPAP, tr|A0A6J3IHH8|A0A6J3IHH8_SAPAP, tr|A0A6J3IPN5|A0A6J3IPN5_SAPAP, tr|A0A6J3HHL5|A0A6J3HHL5_SAPAP, tr|A0A6J3HSJ6|A0A6J3HSJ6_SAPAP, tr|A0A6J3FJ22|A0A6J3FJ22_SAPAP
OG0000033	sp|Q3SY84|K2C71_HUMAN	tr|A0A6J3J3R1|A0A6J3J3R1_SAPAP
OG0000033	sp|Q7RTS7|K2C74_HUMAN	tr|A0A6J3J2I9|A0A6J3J2I9_SAPAP
OG0000033	sp|Q14CN4|K2C72_HUMAN	tr|A0A6J3J396|A0A6J3J396_SAPAP
OG0000033	sp|Q7Z794|K2C1B_HUMAN	tr|A0A6J3J2B8|A0A6J3J2B8_SAPAP, tr|A0A6J3J467|A0A6J3J467_SAPAP, tr|A0A6J3J345|A0A6J3J345_SAPAP
OG0000033	sp|Q5XKE5|K2C79_HUMAN	tr|A0A6J3F4H2|A0A6J3F4H2_SAPAP, tr|A0A6J3J2C9|A0A6J3J2C9_SAPAP, tr|A0A6J3J3D5|A0A6J3J3D5_SAPAP, tr|A0A6J3J2K5|A0A6J3J2K5_SAPAP, tr|A0A6J3HHC2|A0A6J3HHC2_SAPAP, tr|A0A6J3J326|A0A6J3J326_SAPAP
OG0000033	sp|Q86Y46|K2C73_HUMAN	tr|A0A6J3HHL6|A0A6J3HHL6_SAPAP, tr|A0A6J3J3P1|A0A6J3J3P1_SAPAP
OG0000037	sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN	tr|A0A6J3F5Z3|A0A6J3F5Z3_SAPAP
OG0000037	sp|Q96R48|OR2A5_HUMAN	tr|A0A6J3F6F5|A0A6J3F6F5_SAPAP
OG0000037	sp|Q8NGT7|O2A12_HUMAN, sp|Q96R47|O2A14_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A6J3F5Z4|A0A6J3F5Z4_SAPAP
OG0000040	sp|Q9H6N6|MYH16_HUMAN	tr|A0A6J3HGD3|A0A6J3HGD3_SAPAP, tr|A0A6J3HIA8|A0A6J3HIA8_SAPAP, tr|A0A6J3HFU6|A0A6J3HFU6_SAPAP, tr|A0A6J3HHX9|A0A6J3HHX9_SAPAP, tr|A0A6J3I1M0|A0A6J3I1M0_SAPAP, tr|A0A6J3HE37|A0A6J3HE37_SAPAP, tr|A0A6J3GU70|A0A6J3GU70_SAPAP, tr|A0A6J3HFV7|A0A6J3HFV7_SAPAP, tr|A0A6J3HFB6|A0A6J3HFB6_SAPAP, tr|A0A6J3I0L0|A0A6J3I0L0_SAPAP, tr|A0A6J3I0K3|A0A6J3I0K3_SAPAP, tr|A0A6J3I1M3|A0A6J3I1M3_SAPAP, tr|A0A6J3JIN7|A0A6J3JIN7_SAPAP, tr|A0A6J3JA37|A0A6J3JA37_SAPAP, tr|A0A6J3HEK0|A0A6J3HEK0_SAPAP, tr|A0A6J3HF21|A0A6J3HF21_SAPAP, tr|A0A6J3GVX8|A0A6J3GVX8_SAPAP
OG0000041	sp|P29320|EPHA3_HUMAN	tr|A0A6J3HSJ2|A0A6J3HSJ2_SAPAP
OG0000041	sp|P54756|EPHA5_HUMAN	tr|A0A6J3GCQ1|A0A6J3GCQ1_SAPAP
OG0000041	sp|Q9UF33|EPHA6_HUMAN	tr|A0A6J3HRG3|A0A6J3HRG3_SAPAP
OG0000041	sp|P29322|EPHA8_HUMAN	tr|A0A6J3JQY1|A0A6J3JQY1_SAPAP
OG0000041	sp|P54762|EPHB1_HUMAN	tr|A0A6J3GVL7|A0A6J3GVL7_SAPAP
OG0000041	sp|P29323|EPHB2_HUMAN	tr|A0A6J3JQ67|A0A6J3JQ67_SAPAP
OG0000041	sp|P54753|EPHB3_HUMAN	tr|A0A6J3JII4|A0A6J3JII4_SAPAP
OG0000041	sp|P54764|EPHA4_HUMAN	tr|A0A6J3HTX2|A0A6J3HTX2_SAPAP
OG0000041	sp|Q15375|EPHA7_HUMAN	tr|A0A6J3HNB7|A0A6J3HNB7_SAPAP
OG0000042	sp|Q8NGX6|O10R2_HUMAN	tr|A0A6J3GF53|A0A6J3GF53_SAPAP
