Orthogroup	Homo_sapiens	Fukomys_damarensis
OG0000009	sp|Q96LW9|ZSC31_HUMAN, sp|O43309|ZSC12_HUMAN, sp|Q96N95|ZN396_HUMAN, sp|P17028|ZNF24_HUMAN, sp|O15535|ZSC9_HUMAN, sp|Q16670|ZSC26_HUMAN, sp|Q9H4T2|ZSC16_HUMAN	tr|A0A091DD61|A0A091DD61_FUKDA
OG0000010	sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN	tr|A0A091CYB0|A0A091CYB0_FUKDA, tr|A0A091CZP0|A0A091CZP0_FUKDA
OG0000010	sp|A0A0B4J1U3|LV136_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|P01701|LV151_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN	tr|A0A091CZL5|A0A091CZL5_FUKDA
OG0000010	sp|P01721|LV657_HUMAN, sp|P01715|LV301_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN	tr|A0A091CY81|A0A091CY81_FUKDA
OG0000011	sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN	tr|A0A091CMA8|A0A091CMA8_FUKDA
OG0000011	sp|Q8NHY6|ZFP28_HUMAN	tr|A0A091ELK7|A0A091ELK7_FUKDA
OG0000011	sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q96ND8|ZN583_HUMAN, sp|Q6ECI4|ZN470_HUMAN	tr|A0A091E1L9|A0A091E1L9_FUKDA
OG0000011	sp|P52738|ZN140_HUMAN	tr|A0A091DKV5|A0A091DKV5_FUKDA
OG0000011	sp|Q96SK3|ZN607_HUMAN, sp|Q14585|ZN345_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q8N9F8|ZN454_HUMAN, sp|A6NDX5|ZN840_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN	tr|A0A091E4P0|A0A091E4P0_FUKDA
OG0000012	sp|Q6U7Q0|ZN322_HUMAN	tr|A0A091DUD1|A0A091DUD1_FUKDA, tr|A0A091DZH2|A0A091DZH2_FUKDA, tr|A0A091DXF7|A0A091DXF7_FUKDA, tr|A0A091CR11|A0A091CR11_FUKDA, tr|A0A091CVB2|A0A091CVB2_FUKDA, tr|A0A091D6D6|A0A091D6D6_FUKDA, tr|A0A091DET3|A0A091DET3_FUKDA, tr|A0A091DL43|A0A091DL43_FUKDA, tr|A0A091DZJ0|A0A091DZJ0_FUKDA, tr|A0A091DGD1|A0A091DGD1_FUKDA, tr|A0A091DHN8|A0A091DHN8_FUKDA, tr|A0A091E6I1|A0A091E6I1_FUKDA, tr|A0A091D5Q7|A0A091D5Q7_FUKDA, tr|A0A091DL50|A0A091DL50_FUKDA, tr|A0A091DLN9|A0A091DLN9_FUKDA, tr|A0A091DUB9|A0A091DUB9_FUKDA, tr|A0A091DJD3|A0A091DJD3_FUKDA, tr|A0A091DVS3|A0A091DVS3_FUKDA, tr|A0A091E632|A0A091E632_FUKDA, tr|A0A091CJD6|A0A091CJD6_FUKDA, tr|A0A091E4U1|A0A091E4U1_FUKDA, tr|A0A091D3G6|A0A091D3G6_FUKDA, tr|A0A091DPK2|A0A091DPK2_FUKDA, tr|A0A091DQ74|A0A091DQ74_FUKDA, tr|A0A091DHV1|A0A091DHV1_FUKDA, tr|A0A091E4K1|A0A091E4K1_FUKDA, tr|A0A091EPA4|A0A091EPA4_FUKDA, tr|A0A091E2D6|A0A091E2D6_FUKDA, tr|A0A091DBS3|A0A091DBS3_FUKDA, tr|A0A091CNU4|A0A091CNU4_FUKDA, tr|A0A091DCE9|A0A091DCE9_FUKDA, tr|A0A091DZ97|A0A091DZ97_FUKDA, tr|A0A091E7S0|A0A091E7S0_FUKDA, tr|A0A091DGC4|A0A091DGC4_FUKDA, tr|A0A091D722|A0A091D722_FUKDA, tr|A0A091E1W0|A0A091E1W0_FUKDA, tr|A0A091DZG4|A0A091DZG4_FUKDA
OG0000013	sp|Q8NEP9|ZN555_HUMAN	tr|A0A091DCQ7|A0A091DCQ7_FUKDA
OG0000013	sp|Q68EA5|ZNF57_HUMAN, sp|Q9HAH1|ZN556_HUMAN, sp|Q15935|ZNF77_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|Q6ZQV5|ZN788_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q32M78|ZN699_HUMAN	tr|A0A091DE53|A0A091DE53_FUKDA
OG0000015	sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN, sp|P01767|HV353_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN	tr|A0A091DWH4|A0A091DWH4_FUKDA
OG0000017	sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J264|TV381_HUMAN, sp|A0JD32|TV382_HUMAN, sp|P0DTU3|TRAR2_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0A6YYK7|TVA19_HUMAN, sp|A0A1B0GX56|TRDV1_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|P01848|TRAC_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN	tr|A0A091DAL2|A0A091DAL2_FUKDA
OG0000018	sp|P51522|ZNF83_HUMAN, sp|Q09FC8|ZN415_HUMAN, sp|Q96SE7|ZN347_HUMAN, sp|Q9HCG1|ZN160_HUMAN, sp|Q76KX8|ZN534_HUMAN, sp|Q6PDB4|ZN880_HUMAN, sp|Q3MIS6|ZN528_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q5HY98|ZN766_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P17035|ZNF28_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|A6NHJ4|ZN860_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|Q0VGE8|ZN816_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q86XN6|ZN761_HUMAN	tr|A0A091ELP8|A0A091ELP8_FUKDA
OG0000020	sp|Q8NH72|OR4C6_HUMAN	tr|A0A091DEJ5|A0A091DEJ5_FUKDA, tr|A0A091CM12|A0A091CM12_FUKDA, tr|A0A091E3P8|A0A091E3P8_FUKDA, tr|A0A091CM09|A0A091CM09_FUKDA, tr|A0A091CR59|A0A091CR59_FUKDA, tr|A0A091E1X6|A0A091E1X6_FUKDA, tr|A0A091ERU6|A0A091ERU6_FUKDA, tr|A0A091E217|A0A091E217_FUKDA, tr|A0A091D742|A0A091D742_FUKDA, tr|A0A091DBP3|A0A091DBP3_FUKDA, tr|A0A091D484|A0A091D484_FUKDA, tr|A0A091E1X9|A0A091E1X9_FUKDA, tr|A0A091DS21|A0A091DS21_FUKDA, tr|A0A091EET8|A0A091EET8_FUKDA, tr|A0A091CQ86|A0A091CQ86_FUKDA, tr|A0A091DP28|A0A091DP28_FUKDA, tr|A0A091CP62|A0A091CP62_FUKDA, tr|A0A091D3F7|A0A091D3F7_FUKDA, tr|A0A091DTT5|A0A091DTT5_FUKDA, tr|A0A091DUD5|A0A091DUD5_FUKDA, tr|A0A091DSD9|A0A091DSD9_FUKDA, tr|A0A091ENV8|A0A091ENV8_FUKDA, tr|A0A091D230|A0A091D230_FUKDA, tr|A0A091DQF6|A0A091DQF6_FUKDA, tr|A0A091DU47|A0A091DU47_FUKDA, tr|A0A091CZ13|A0A091CZ13_FUKDA, tr|A0A091E3Q3|A0A091E3Q3_FUKDA, tr|A0A091EF48|A0A091EF48_FUKDA, tr|A0A091DYZ9|A0A091DYZ9_FUKDA, tr|A0A091EF53|A0A091EF53_FUKDA, tr|A0A091DUP9|A0A091DUP9_FUKDA, tr|A0A091E453|A0A091E453_FUKDA
OG0000021	sp|Q08379|GOGA2_HUMAN	tr|A0A091DID6|A0A091DID6_FUKDA
OG0000021	sp|Q9HBQ8|GGA2B_HUMAN	tr|A0A091D2X9|A0A091D2X9_FUKDA
OG0000021	tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEY3|GG6L3_HUMAN	tr|A0A091CXP7|A0A091CXP7_FUKDA
OG0000022	sp|Q8NH50|OR8K5_HUMAN	tr|A0A091DG55|A0A091DG55_FUKDA, tr|A0A091EEU3|A0A091EEU3_FUKDA, tr|A0A091CTM3|A0A091CTM3_FUKDA, tr|A0A091CVK8|A0A091CVK8_FUKDA, tr|A0A091CTM6|A0A091CTM6_FUKDA, tr|A0A091CVL0|A0A091CVL0_FUKDA, tr|A0A091DUE0|A0A091DUE0_FUKDA, tr|A0A091DG59|A0A091DG59_FUKDA, tr|A0A091DP32|A0A091DP32_FUKDA, tr|A0A091CUQ8|A0A091CUQ8_FUKDA, tr|A0A091CRB4|A0A091CRB4_FUKDA, tr|A0A091CRB2|A0A091CRB2_FUKDA, tr|A0A091E323|A0A091E323_FUKDA
OG0000022	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A091CUR2|A0A091CUR2_FUKDA, tr|A0A091CTM0|A0A091CTM0_FUKDA
OG0000022	sp|Q8NH51|OR8K3_HUMAN	tr|A0A091DG63|A0A091DG63_FUKDA, tr|A0A091CVL3|A0A091CVL3_FUKDA, tr|A0A091DG71|A0A091DG71_FUKDA, tr|A0A091CVL8|A0A091CVL8_FUKDA, tr|A0A091CTN4|A0A091CTN4_FUKDA, tr|A0A091CUR8|A0A091CUR8_FUKDA, tr|A0A091CRC4|A0A091CRC4_FUKDA, tr|A0A091DG66|A0A091DG66_FUKDA, tr|A0A091CTN1|A0A091CTN1_FUKDA, tr|A0A091CRC1|A0A091CRC1_FUKDA, tr|A0A091CUR5|A0A091CUR5_FUKDA, tr|A0A091CTN7|A0A091CTN7_FUKDA, tr|A0A091CVL5|A0A091CVL5_FUKDA, tr|A0A091DG50|A0A091DG50_FUKDA
OG0000023	sp|Q8NH64|O51A7_HUMAN	tr|A0A091DZY4|A0A091DZY4_FUKDA
OG0000023	sp|Q9H343|O51I1_HUMAN	tr|A0A091EKI1|A0A091EKI1_FUKDA
OG0000023	sp|Q9H344|O51I2_HUMAN	tr|A0A091DVB2|A0A091DVB2_FUKDA
OG0000023	sp|Q8NH63|O51H1_HUMAN	tr|A0A091CZ21|A0A091CZ21_FUKDA
OG0000023	sp|Q8NH61|O51F2_HUMAN	tr|A0A091CZ07|A0A091CZ07_FUKDA
OG0000023	sp|A6NGY5|O51F1_HUMAN	tr|A0A091CW93|A0A091CW93_FUKDA, tr|A0A091D1A6|A0A091D1A6_FUKDA
OG0000023	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A091D0E3|A0A091D0E3_FUKDA, tr|A0A091DMC7|A0A091DMC7_FUKDA, tr|A0A091CW97|A0A091CW97_FUKDA, tr|A0A091CZ12|A0A091CZ12_FUKDA
OG0000025	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A091CRU1|A0A091CRU1_FUKDA
OG0000025	sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A091D173|A0A091D173_FUKDA, tr|A0A091DZE7|A0A091DZE7_FUKDA, tr|A0A091E1S6|A0A091E1S6_FUKDA, tr|A0A091EJ38|A0A091EJ38_FUKDA, tr|A0A091E448|A0A091E448_FUKDA, tr|A0A091E0M5|A0A091E0M5_FUKDA
OG0000025	sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A091DCN3|A0A091DCN3_FUKDA, tr|A0A091D489|A0A091D489_FUKDA, tr|A0A091D235|A0A091D235_FUKDA
