Orthogroup	Homo_sapiens	Eschrichtius_robustus
OG0000007	sp|A6NDX5|ZN840_HUMAN, sp|Q8NHY6|ZFP28_HUMAN	tr|A0A2F0BKH7|A0A2F0BKH7_ESCRO
OG0000007	sp|Q969W8|ZN566_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A2F0BPN7|A0A2F0BPN7_ESCRO
OG0000007	sp|Q9Y2G7|ZFP30_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A2F0AXT7|A0A2F0AXT7_ESCRO
OG0000011	sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN	tr|A0A2F0BMC5|A0A2F0BMC5_ESCRO
OG0000011	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN	tr|A0A2F0BNY8|A0A2F0BNY8_ESCRO
OG0000011	sp|Q8NHA8|OR1FC_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P34982|OR1D2_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN	tr|A0A2F0BB80|A0A2F0BB80_ESCRO
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN	tr|A0A2F0BJV5|A0A2F0BJV5_ESCRO
OG0000013	sp|Q8NGF0|O52B6_HUMAN	tr|A0A2F0AY51|A0A2F0AY51_ESCRO
OG0000013	sp|Q8NH53|O52N1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2F0BAY4|A0A2F0BAY4_ESCRO
OG0000013	sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A2F0B012|A0A2F0B012_ESCRO
OG0000014	sp|P59536|T2R41_HUMAN, sp|P59551|T2R60_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN	tr|A0A2F0B201|A0A2F0B201_ESCRO
OG0000017	sp|Q9UN70|PCDGK_HUMAN	tr|A0A2F0B928|A0A2F0B928_ESCRO
OG0000017	sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN	tr|A0A2F0AUP9|A0A2F0AUP9_ESCRO
OG0000018	sp|Q8NH79|OR6X1_HUMAN, sp|O95007|OR6B1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN	tr|A0A2F0BPP9|A0A2F0BPP9_ESCRO
OG0000019	sp|Q9H9J4|UBP42_HUMAN, sp|Q9P275|UBP36_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7H9|U17L7_HUMAN	tr|A0A2F0BH20|A0A2F0BH20_ESCRO
OG0000020	sp|Q5MJ68|SPDYC_HUMAN, sp|Q5MJ70|SPDYA_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN	tr|A0A2F0BDR5|A0A2F0BDR5_ESCRO
OG0000022	sp|Q68DY9|ZN772_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8IVP9|ZN547_HUMAN	tr|A0A2F0B4M3|A0A2F0B4M3_ESCRO
OG0000026	sp|P05120|PAI2_HUMAN	tr|A0A2F0B7K9|A0A2F0B7K9_ESCRO
OG0000026	sp|P50452|SPB8_HUMAN, sp|A8MTL9|HMSD_HUMAN, sp|P35237|SPB6_HUMAN	tr|A0A2F0AV13|A0A2F0AV13_ESCRO
OG0000026	sp|P50453|SPB9_HUMAN	tr|A0A2F0AV29|A0A2F0AV29_ESCRO, tr|A0A2F0B7L4|A0A2F0B7L4_ESCRO
OG0000026	sp|P30740|ILEU_HUMAN	tr|A0A2F0BIU6|A0A2F0BIU6_ESCRO
OG0000026	sp|O75830|SPI2_HUMAN, sp|Q99574|NEUS_HUMAN, sp|Q96P63|SPB12_HUMAN, sp|O75635|SPB7_HUMAN, sp|Q96P15|SPB11_HUMAN, sp|P48594|SPB4_HUMAN, sp|P29508|SPB3_HUMAN, sp|Q9UIV8|SPB13_HUMAN	tr|A0A2F0B9Y4|A0A2F0B9Y4_ESCRO
OG0000031	sp|A0A0B4J1U7|HV601_HUMAN, sp|A0A0B4J1V2|HV226_HUMAN, tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|P01814|HV270_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|P01817|HV205_HUMAN, sp|P0DP06|HVD34_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P0DP07|HV431_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P01824|HV439_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|A0A075B6R2|HV404_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN	tr|A0A2F0B2T1|A0A2F0B2T1_ESCRO
OG0000033	sp|P59047|NALP5_HUMAN	tr|A0A2F0BIV9|A0A2F0BIV9_ESCRO
OG0000033	sp|Q8WX94|NALP7_HUMAN, sp|Q9NX02|NALP2_HUMAN	tr|A0A2F0B5V7|A0A2F0B5V7_ESCRO
OG0000033	sp|P13489|RINI_HUMAN, sp|Q6UY01|LRC31_HUMAN, sp|Q9C000|NLRP1_HUMAN, sp|Q9Y2G2|CARD8_HUMAN, sp|P59044|NLRP6_HUMAN, sp|P59046|NAL12_HUMAN, sp|Q96P20|NLRP3_HUMAN	tr|A0A2F0B510|A0A2F0B510_ESCRO
OG0000038	sp|Q8NCW6|GLT11_HUMAN	tr|A0A2F0B9D2|A0A2F0B9D2_ESCRO
OG0000038	sp|Q8N428|GLT16_HUMAN	tr|A0A2F0BIY3|A0A2F0BIY3_ESCRO
OG0000038	sp|Q96FL9|GLT14_HUMAN	tr|A0A2F0AY79|A0A2F0AY79_ESCRO
OG0000038	sp|Q8N4A0|GALT4_HUMAN	tr|A0A2F0BLG3|A0A2F0BLG3_ESCRO
OG0000038	sp|Q8IXK2|GLT12_HUMAN	tr|A0A2F0BKX9|A0A2F0BKX9_ESCRO
OG0000039	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A2F0BLT2|A0A2F0BLT2_ESCRO
OG0000039	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN, sp|Q8NGT7|O2A12_HUMAN, sp|Q96R48|OR2A5_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, sp|A4D2G3|O2A25_HUMAN, sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, tr|Q9BZC5|Q9BZC5_HUMAN, tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN	tr|A0A2F0B8I6|A0A2F0B8I6_ESCRO
OG0000042	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A2F0BLG0|A0A2F0BLG0_ESCRO
OG0000042	sp|Q9C0F3|ZN436_HUMAN	tr|A0A2F0BC89|A0A2F0BC89_ESCRO
OG0000042	sp|P17030|ZNF25_HUMAN	tr|A0A2F0BN74|A0A2F0BN74_ESCRO, tr|A0A2F0B9X7|A0A2F0B9X7_ESCRO
OG0000042	sp|Q49A33|Z876P_HUMAN	tr|A0A2F0BHT0|A0A2F0BHT0_ESCRO, tr|A0A2F0B9Q3|A0A2F0B9Q3_ESCRO, tr|A0A2F0B0Z5|A0A2F0B0Z5_ESCRO, tr|A0A2F0BJ02|A0A2F0BJ02_ESCRO
OG0000043	sp|Q9H2Y9|SO5A1_HUMAN	tr|A0A2F0BN59|A0A2F0BN59_ESCRO
OG0000043	sp|Q92959|SO2A1_HUMAN	tr|A0A2F0AVC7|A0A2F0AVC7_ESCRO
OG0000043	sp|O94956|SO2B1_HUMAN	tr|A0A2F0BM15|A0A2F0BM15_ESCRO
OG0000043	sp|Q86UG4|SO6A1_HUMAN, sp|Q6ZQN7|SO4C1_HUMAN, sp|Q96BD0|SO4A1_HUMAN	tr|A0A2F0BDJ3|A0A2F0BDJ3_ESCRO
OG0000044	sp|P51451|BLK_HUMAN	tr|A0A2F0BJB2|A0A2F0BJB2_ESCRO
OG0000044	sp|P06239|LCK_HUMAN	tr|A0A2F0BH80|A0A2F0BH80_ESCRO
OG0000044	sp|P08631|HCK_HUMAN	tr|A0A2F0BB19|A0A2F0BB19_ESCRO
OG0000044	sp|P06241|FYN_HUMAN, sp|P09769|FGR_HUMAN	tr|A0A2F0BI58|A0A2F0BI58_ESCRO
OG0000044	sp|P07947|YES_HUMAN, sp|P12931|SRC_HUMAN	tr|A0A2F0B3W9|A0A2F0B3W9_ESCRO
OG0000045	sp|Q8NH95|O13C6_HUMAN, sp|P0DN81|O13C7_HUMAN, sp|Q9NQN1|OR2S1_HUMAN	tr|A0A2F0B261|A0A2F0B261_ESCRO
OG0000045	sp|Q8NGS7|O13C8_HUMAN, sp|Q8NGS6|O13C3_HUMAN, sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGT2|O13J1_HUMAN, sp|Q8NGS4|O13F1_HUMAN, sp|Q8NGT1|OR2K2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGV5|O13D1_HUMAN, sp|Q8NGS8|O13C5_HUMAN, sp|Q8NGS9|O13C2_HUMAN, sp|Q8NGT0|O13C9_HUMAN	tr|A0A2F0BPS1|A0A2F0BPS1_ESCRO
OG0000046	sp|P02533|K1C14_HUMAN	tr|A0A2F0BAV1|A0A2F0BAV1_ESCRO
OG0000046	sp|P13646|K1C13_HUMAN	tr|A0A2F0B3U5|A0A2F0B3U5_ESCRO
OG0000046	sp|O76013|KRT36_HUMAN	tr|A0A2F0B466|A0A2F0B466_ESCRO, tr|A0A2F0BGP3|A0A2F0BGP3_ESCRO, tr|A0A2F0AXE1|A0A2F0AXE1_ESCRO, tr|A0A2F0BJW6|A0A2F0BJW6_ESCRO, tr|A0A2F0B9E2|A0A2F0B9E2_ESCRO, tr|A0A2F0BQ63|A0A2F0BQ63_ESCRO, tr|A0A2F0BCY0|A0A2F0BCY0_ESCRO, tr|A0A2F0BL12|A0A2F0BL12_ESCRO, tr|A0A2F0AX52|A0A2F0AX52_ESCRO
OG0000050	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A2F0BFB0|A0A2F0BFB0_ESCRO
OG0000050	sp|Q8NGC2|OR4E2_HUMAN	tr|A0A2F0B9V8|A0A2F0B9V8_ESCRO
OG0000050	sp|Q8NGI4|OR4DB_HUMAN	tr|A0A2F0BPX5|A0A2F0BPX5_ESCRO, tr|A0A2F0B9E5|A0A2F0B9E5_ESCRO
OG0000050	sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN	tr|A0A2F0BHT1|A0A2F0BHT1_ESCRO, tr|A0A2F0B7A1|A0A2F0B7A1_ESCRO
