Orthogroup	Homo_sapiens	Lynx_canadensis
OG0000005	sp|Q9H2C8|O51V1_HUMAN	tr|A0A667GNX6|A0A667GNX6_LYNCA, tr|A0A667GJB4|A0A667GJB4_LYNCA, tr|A0A667H792|A0A667H792_LYNCA, tr|A0A667H4G4|A0A667H4G4_LYNCA, tr|A0A667GJG6|A0A667GJG6_LYNCA, tr|A0A667H545|A0A667H545_LYNCA
OG0000005	sp|Q8NH59|O51Q1_HUMAN	tr|A0A667H422|A0A667H422_LYNCA, tr|A0A667H774|A0A667H774_LYNCA, tr|A0A667HW70|A0A667HW70_LYNCA
OG0000005	sp|Q8NGK0|O51G2_HUMAN	tr|A0A667HV76|A0A667HV76_LYNCA
OG0000005	sp|Q8NGK1|O51G1_HUMAN	tr|A0A667GIJ8|A0A667GIJ8_LYNCA
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|A0A667GNK5|A0A667GNK5_LYNCA, tr|A0A667H432|A0A667H432_LYNCA, tr|A0A667HUD9|A0A667HUD9_LYNCA, tr|A0A667H688|A0A667H688_LYNCA, tr|A0A667H6A8|A0A667H6A8_LYNCA
OG0000005	sp|Q9H342|O51J1_HUMAN	tr|A0A667H765|A0A667H765_LYNCA, tr|A0A667H754|A0A667H754_LYNCA, tr|A0A667GJF5|A0A667GJF5_LYNCA, tr|A0A667GP16|A0A667GP16_LYNCA
OG0000006	sp|Q6IFN5|O7E24_HUMAN	tr|A0A667FRI9|A0A667FRI9_LYNCA, tr|A0A667FLH9|A0A667FLH9_LYNCA, tr|A0A667HHI1|A0A667HHI1_LYNCA, tr|A0A667GTX4|A0A667GTX4_LYNCA, tr|A0A667GTV7|A0A667GTV7_LYNCA, tr|A0A667FJP3|A0A667FJP3_LYNCA, tr|A0A667GTS4|A0A667GTS4_LYNCA, tr|A0A667FJQ5|A0A667FJQ5_LYNCA, tr|A0A667GTQ9|A0A667GTQ9_LYNCA, tr|A0A667GU40|A0A667GU40_LYNCA, tr|A0A667G767|A0A667G767_LYNCA, tr|A0A667G6J2|A0A667G6J2_LYNCA, tr|A0A667FJX4|A0A667FJX4_LYNCA, tr|A0A667FK11|A0A667FK11_LYNCA, tr|A0A667FHP1|A0A667FHP1_LYNCA, tr|A0A667G4P1|A0A667G4P1_LYNCA, tr|A0A667G240|A0A667G240_LYNCA, tr|A0A667G4A6|A0A667G4A6_LYNCA, tr|A0A667FPQ8|A0A667FPQ8_LYNCA, tr|A0A667FQ29|A0A667FQ29_LYNCA, tr|A0A667GRW5|A0A667GRW5_LYNCA, tr|A0A667FPR8|A0A667FPR8_LYNCA, tr|A0A667FQ51|A0A667FQ51_LYNCA, tr|A0A667G261|A0A667G261_LYNCA, tr|A0A667FHT4|A0A667FHT4_LYNCA, tr|A0A667FHR3|A0A667FHR3_LYNCA, tr|A0A667FI19|A0A667FI19_LYNCA, tr|A0A667G1R1|A0A667G1R1_LYNCA, tr|A0A667GRZ8|A0A667GRZ8_LYNCA, tr|A0A667G4Q9|A0A667G4Q9_LYNCA, tr|A0A667G294|A0A667G294_LYNCA, tr|A0A667G3U9|A0A667G3U9_LYNCA
OG0000008	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN	tr|A0A667HFF0|A0A667HFF0_LYNCA
OG0000010	sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43631|KI2S2_HUMAN	tr|A0A667HTM1|A0A667HTM1_LYNCA
OG0000011	sp|Q96NG8|ZN582_HUMAN	tr|A0A667HP35|A0A667HP35_LYNCA
OG0000011	sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN	tr|A0A667HHS3|A0A667HHS3_LYNCA
OG0000011	sp|P17039|ZNF30_HUMAN	tr|A0A667IPW2|A0A667IPW2_LYNCA, tr|A0A667GPP3|A0A667GPP3_LYNCA, tr|A0A667INN6|A0A667INN6_LYNCA, tr|A0A667HGT5|A0A667HGT5_LYNCA, tr|A0A667HJ85|A0A667HJ85_LYNCA
OG0000011	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A667HZ80|A0A667HZ80_LYNCA
OG0000011	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A667INC7|A0A667INC7_LYNCA
OG0000011	sp|Q8N141|ZFP82_HUMAN	tr|A0A667HGB9|A0A667HGB9_LYNCA
OG0000011	sp|Q8TAF7|ZN461_HUMAN	tr|A0A667INP9|A0A667INP9_LYNCA
OG0000011	sp|Q6PG37|ZN790_HUMAN	tr|A0A667HHX4|A0A667HHX4_LYNCA
OG0000011	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A667IJL5|A0A667IJL5_LYNCA
OG0000011	sp|Q969W8|ZN566_HUMAN	tr|A0A667I0J1|A0A667I0J1_LYNCA, tr|A0A667HG66|A0A667HG66_LYNCA
OG0000012	sp|Q8NGH9|O52E4_HUMAN	tr|A0A667H6A9|A0A667H6A9_LYNCA, tr|A0A667H931|A0A667H931_LYNCA
OG0000012	sp|Q96RD2|O52B2_HUMAN	tr|A0A667H9M1|A0A667H9M1_LYNCA
OG0000012	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A667GKE1|A0A667GKE1_LYNCA, tr|A0A667GPT2|A0A667GPT2_LYNCA, tr|A0A667H8E5|A0A667H8E5_LYNCA, tr|A0A667HWY1|A0A667HWY1_LYNCA, tr|A0A667H7X2|A0A667H7X2_LYNCA
OG0000012	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A667GNR0|A0A667GNR0_LYNCA, tr|A0A667H3R2|A0A667H3R2_LYNCA
OG0000012	sp|Q8NH55|O52E5_HUMAN	tr|A0A667H907|A0A667H907_LYNCA, tr|A0A667GQX5|A0A667GQX5_LYNCA, tr|A0A667GR07|A0A667GR07_LYNCA
OG0000014	sp|Q5XKE5|K2C79_HUMAN	tr|A0A667HVD7|A0A667HVD7_LYNCA
OG0000014	sp|Q3SY84|K2C71_HUMAN	tr|A0A667HAZ0|A0A667HAZ0_LYNCA
OG0000014	sp|Q86Y46|K2C73_HUMAN	tr|A0A667HUM4|A0A667HUM4_LYNCA
OG0000014	sp|Q7RTS7|K2C74_HUMAN	tr|A0A667HU98|A0A667HU98_LYNCA
OG0000014	sp|Q14CN4|K2C72_HUMAN	tr|A0A667II76|A0A667II76_LYNCA
OG0000014	sp|Q7Z794|K2C1B_HUMAN	tr|A0A667H926|A0A667H926_LYNCA, tr|A0A667HUW1|A0A667HUW1_LYNCA, tr|A0A667HBV1|A0A667HBV1_LYNCA
OG0000014	sp|P19013|K2C4_HUMAN	tr|A0A667HVB6|A0A667HVB6_LYNCA
OG0000014	sp|P08729|K2C7_HUMAN	tr|A0A667HBY7|A0A667HBY7_LYNCA, tr|A0A667H9Q2|A0A667H9Q2_LYNCA, tr|A0A667HTD7|A0A667HTD7_LYNCA, tr|A0A667HTY7|A0A667HTY7_LYNCA, tr|A0A667IHR4|A0A667IHR4_LYNCA, tr|A0A667HS57|A0A667HS57_LYNCA, tr|A0A667HAV7|A0A667HAV7_LYNCA, tr|A0A667HAD1|A0A667HAD1_LYNCA, tr|A0A667IGC7|A0A667IGC7_LYNCA
OG0000016	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN	tr|A0A667FY99|A0A667FY99_LYNCA
OG0000017	sp|Q96RC9|OR8B4_HUMAN	tr|A0A667GRY5|A0A667GRY5_LYNCA
OG0000017	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A667GC32|A0A667GC32_LYNCA, tr|A0A667G6H4|A0A667G6H4_LYNCA, tr|A0A667HI13|A0A667HI13_LYNCA, tr|A0A667GRK6|A0A667GRK6_LYNCA, tr|A0A667GBT8|A0A667GBT8_LYNCA, tr|A0A667GRR7|A0A667GRR7_LYNCA, tr|A0A667GC13|A0A667GC13_LYNCA, tr|A0A667GC00|A0A667GC00_LYNCA, tr|A0A667HHY3|A0A667HHY3_LYNCA, tr|A0A667HIF7|A0A667HIF7_LYNCA, tr|A0A667GC77|A0A667GC77_LYNCA, tr|A0A667GS08|A0A667GS08_LYNCA, tr|A0A667HIN0|A0A667HIN0_LYNCA, tr|A0A667GBF3|A0A667GBF3_LYNCA, tr|A0A667GBE2|A0A667GBE2_LYNCA, tr|A0A667GBK5|A0A667GBK5_LYNCA, tr|A0A667HHU9|A0A667HHU9_LYNCA, tr|A0A667HHS0|A0A667HHS0_LYNCA, tr|A0A667G749|A0A667G749_LYNCA, tr|A0A667GC94|A0A667GC94_LYNCA, tr|A0A667J359|A0A667J359_LYNCA
OG0000018	sp|A6NLX3|SPDE4_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN	tr|A0A667HBZ2|A0A667HBZ2_LYNCA, tr|A0A667IG33|A0A667IG33_LYNCA
OG0000019	sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN	tr|A0A667GUS3|A0A667GUS3_LYNCA
OG0000020	sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|O75459|PAGE1_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|Q96GT9|XAGE2_HUMAN	tr|A0A667I334|A0A667I334_LYNCA, tr|A0A667INP8|A0A667INP8_LYNCA
OG0000022	sp|Q9GZP7|VN1R1_HUMAN	tr|A0A667I9C4|A0A667I9C4_LYNCA, tr|A0A667HTB4|A0A667HTB4_LYNCA, tr|A0A667I9S2|A0A667I9S2_LYNCA, tr|A0A667HZ09|A0A667HZ09_LYNCA, tr|A0A667IJZ5|A0A667IJZ5_LYNCA, tr|A0A667IJB9|A0A667IJB9_LYNCA, tr|A0A667IJD5|A0A667IJD5_LYNCA, tr|A0A667IJ91|A0A667IJ91_LYNCA, tr|A0A667HUA2|A0A667HUA2_LYNCA, tr|A0A667HCX6|A0A667HCX6_LYNCA, tr|A0A667IJE1|A0A667IJE1_LYNCA, tr|A0A667HUC9|A0A667HUC9_LYNCA, tr|A0A667HHA9|A0A667HHA9_LYNCA, tr|A0A667IN53|A0A667IN53_LYNCA, tr|A0A667IK42|A0A667IK42_LYNCA, tr|A0A667ISN8|A0A667ISN8_LYNCA, tr|A0A667HM62|A0A667HM62_LYNCA, tr|A0A667GRH7|A0A667GRH7_LYNCA, tr|A0A667FPL8|A0A667FPL8_LYNCA, tr|A0A667FHA1|A0A667FHA1_LYNCA, tr|A0A667GSP1|A0A667GSP1_LYNCA, tr|A0A667FHW9|A0A667FHW9_LYNCA
OG0000023	sp|O60384|ZN861_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN	tr|A0A667GN73|A0A667GN73_LYNCA
OG0000024	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN	tr|A0A667G2F6|A0A667G2F6_LYNCA
OG0000025	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A667I4U2|A0A667I4U2_LYNCA
OG0000025	sp|Q8NH95|O13C6_HUMAN	tr|A0A667GQF7|A0A667GQF7_LYNCA, tr|A0A667HF25|A0A667HF25_LYNCA
OG0000025	sp|Q8NGV5|O13D1_HUMAN	tr|A0A667H244|A0A667H244_LYNCA, tr|A0A667GYG0|A0A667GYG0_LYNCA, tr|A0A667HIN3|A0A667HIN3_LYNCA, tr|A0A667H266|A0A667H266_LYNCA
OG0000025	sp|Q8NGS7|O13C8_HUMAN	tr|A0A667IA19|A0A667IA19_LYNCA
OG0000025	sp|P0DN81|O13C7_HUMAN	tr|A0A667IHP4|A0A667IHP4_LYNCA, tr|A0A667IM31|A0A667IM31_LYNCA, tr|A0A667IM39|A0A667IM39_LYNCA
OG0000026	sp|Q9H606|PRORY_HUMAN	tr|A0A667FF89|A0A667FF89_LYNCA
OG0000026	sp|O00370|LORF2_HUMAN	tr|A0A667FZF5|A0A667FZF5_LYNCA, tr|A0A667GN21|A0A667GN21_LYNCA, tr|A0A667HQE4|A0A667HQE4_LYNCA, tr|A0A667H441|A0A667H441_LYNCA, tr|A0A667GKA8|A0A667GKA8_LYNCA, tr|A0A667G1D7|A0A667G1D7_LYNCA, tr|A0A667GPR5|A0A667GPR5_LYNCA, tr|A0A667HME4|A0A667HME4_LYNCA, tr|A0A667GGZ8|A0A667GGZ8_LYNCA, tr|A0A667GLE8|A0A667GLE8_LYNCA, tr|A0A667GNV7|A0A667GNV7_LYNCA, tr|A0A667I9T8|A0A667I9T8_LYNCA, tr|A0A667G5X7|A0A667G5X7_LYNCA, tr|A0A667G9R8|A0A667G9R8_LYNCA, tr|A0A667I379|A0A667I379_LYNCA, tr|A0A667FMG0|A0A667FMG0_LYNCA, tr|A0A667HZI4|A0A667HZI4_LYNCA, tr|A0A667I0P3|A0A667I0P3_LYNCA, tr|A0A667ICG2|A0A667ICG2_LYNCA
OG0000027	sp|A0A0B4J1U7|HV601_HUMAN	tr|A0A667FVT4|A0A667FVT4_LYNCA
OG0000027	sp|A0A0B4J1V2|HV226_HUMAN, tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|P01814|HV270_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|P01817|HV205_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|P01824|HV439_HUMAN, sp|P0DP07|HV431_HUMAN, sp|P0DP06|HVD34_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|A0A0C4DH41|HV461_HUMAN	tr|A0A667GET4|A0A667GET4_LYNCA
OG0000031	sp|A0A075B6N1|TVB19_HUMAN	tr|A0A667H9V8|A0A667H9V8_LYNCA
OG0000031	sp|A0A0K0K1A3|TVBJ1_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN	tr|A0A667HSW4|A0A667HSW4_LYNCA
OG0000031	sp|A0A1B0GX49|TVB64_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN	tr|A0A667HR69|A0A667HR69_LYNCA
OG0000031	sp|A0A0K0K1C4|TVB27_HUMAN	tr|A0A667H9X1|A0A667H9X1_LYNCA
OG0000032	sp|Q96RB7|OR5MB_HUMAN	tr|A0A667HNY3|A0A667HNY3_LYNCA
OG0000032	sp|P0C617|O5AL1_HUMAN	tr|A0A667GCB4|A0A667GCB4_LYNCA
OG0000032	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A667GXQ4|A0A667GXQ4_LYNCA, tr|A0A667GCQ1|A0A667GCQ1_LYNCA
OG0000032	sp|Q8NGP3|OR5M9_HUMAN	tr|A0A667GZ69|A0A667GZ69_LYNCA
OG0000032	sp|Q8NGP4|OR5M3_HUMAN	tr|A0A667GCG3|A0A667GCG3_LYNCA
OG0000032	sp|Q8NGP6|OR5M8_HUMAN	tr|A0A667GCH0|A0A667GCH0_LYNCA
OG0000035	sp|P52740|ZN132_HUMAN	tr|A0A667HMU9|A0A667HMU9_LYNCA, tr|A0A667IVJ0|A0A667IVJ0_LYNCA, tr|A0A667HS53|A0A667HS53_LYNCA, tr|A0A667IBY2|A0A667IBY2_LYNCA, tr|A0A667I8S8|A0A667I8S8_LYNCA, tr|A0A667HRU6|A0A667HRU6_LYNCA, tr|A0A667ICE9|A0A667ICE9_LYNCA, tr|A0A667HV48|A0A667HV48_LYNCA, tr|A0A667IX68|A0A667IX68_LYNCA, tr|A0A667IDE1|A0A667IDE1_LYNCA, tr|A0A667IDJ6|A0A667IDJ6_LYNCA, tr|A0A667IXB7|A0A667IXB7_LYNCA, tr|A0A667HV21|A0A667HV21_LYNCA, tr|A0A667IC47|A0A667IC47_LYNCA, tr|A0A667IWX0|A0A667IWX0_LYNCA, tr|A0A667ID85|A0A667ID85_LYNCA, tr|A0A667IE65|A0A667IE65_LYNCA, tr|A0A667HU27|A0A667HU27_LYNCA
OG0000036	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A667IMV8|A0A667IMV8_LYNCA
OG0000036	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A667HZM7|A0A667HZM7_LYNCA
OG0000036	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A667I0R9|A0A667I0R9_LYNCA
