Orthogroup	Homo_sapiens	Mus_spicilegus
OG0000004	sp|Q86YE8|ZN573_HUMAN, sp|Q9BSK1|ZN577_HUMAN, sp|P17031|ZNF26_HUMAN, sp|Q14587|ZN268_HUMAN, sp|P51523|ZNF84_HUMAN, sp|Q9BS31|ZN649_HUMAN, sp|Q6PF04|ZN613_HUMAN, sp|Q8N8J6|ZN615_HUMAN, sp|O94892|ZN432_HUMAN, sp|Q9GZX5|ZN350_HUMAN, sp|Q8N883|ZN614_HUMAN	tr|A0A8C6GVZ6|A0A8C6GVZ6_MUSSI
OG0000004	sp|Q6ZN11|ZN793_HUMAN, sp|Q96PE6|ZIM3_HUMAN, sp|Q3ZCX4|ZN568_HUMAN, sp|Q5MCW4|ZN569_HUMAN	tr|A0A8C6GC48|A0A8C6GC48_MUSSI
OG0000005	sp|Q15973|ZN124_HUMAN	tr|A0A8C6HQ30|A0A8C6HQ30_MUSSI, tr|A0A8C6H208|A0A8C6H208_MUSSI, tr|A0A8C6MUX3|A0A8C6MUX3_MUSSI, tr|A0A8C6H057|A0A8C6H057_MUSSI, tr|A0A8C6HNS6|A0A8C6HNS6_MUSSI, tr|A0A8C6HR85|A0A8C6HR85_MUSSI, tr|A0A8C6MS56|A0A8C6MS56_MUSSI, tr|A0A8C6MZF6|A0A8C6MZF6_MUSSI, tr|A0A8C6HUE6|A0A8C6HUE6_MUSSI, tr|A0A8C6MSQ5|A0A8C6MSQ5_MUSSI, tr|A0A8C6MTM0|A0A8C6MTM0_MUSSI, tr|A0A8C6GVC5|A0A8C6GVC5_MUSSI, tr|A0A8C6I0X8|A0A8C6I0X8_MUSSI, tr|A0A8C6I3C7|A0A8C6I3C7_MUSSI, tr|A0A8C6I284|A0A8C6I284_MUSSI, tr|A0A8C6HS11|A0A8C6HS11_MUSSI, tr|A0A8C6G921|A0A8C6G921_MUSSI, tr|A0A8C6MT76|A0A8C6MT76_MUSSI, tr|A0A8C6IB02|A0A8C6IB02_MUSSI, tr|A0A8C6HYC8|A0A8C6HYC8_MUSSI, tr|A0A8C6GA32|A0A8C6GA32_MUSSI, tr|A0A8C6IA37|A0A8C6IA37_MUSSI, tr|A0A8C6IFU6|A0A8C6IFU6_MUSSI, tr|A0A8C6G897|A0A8C6G897_MUSSI, tr|A0A8C6I6D8|A0A8C6I6D8_MUSSI, tr|A0A8C6GA05|A0A8C6GA05_MUSSI, tr|A0A8C6HRW7|A0A8C6HRW7_MUSSI, tr|A0A8C6GVJ3|A0A8C6GVJ3_MUSSI, tr|A0A8C6N095|A0A8C6N095_MUSSI, tr|A0A8C6GDR4|A0A8C6GDR4_MUSSI, tr|A0A8C6GW78|A0A8C6GW78_MUSSI, tr|A0A8C6GRZ2|A0A8C6GRZ2_MUSSI, tr|A0A8C6HNQ9|A0A8C6HNQ9_MUSSI, tr|A0A8C6HXQ1|A0A8C6HXQ1_MUSSI, tr|A0A8C6HAS3|A0A8C6HAS3_MUSSI, tr|A0A8C6GTA7|A0A8C6GTA7_MUSSI, tr|A0A8C6HDC0|A0A8C6HDC0_MUSSI, tr|A0A8C6GHW6|A0A8C6GHW6_MUSSI, tr|A0A8C6GIX7|A0A8C6GIX7_MUSSI, tr|A0A8C6HAI8|A0A8C6HAI8_MUSSI, tr|A0A8C6MWS9|A0A8C6MWS9_MUSSI, tr|A0A8C6GGU5|A0A8C6GGU5_MUSSI, tr|A0A8C6HY61|A0A8C6HY61_MUSSI, tr|A0A8C6I1N9|A0A8C6I1N9_MUSSI, tr|A0A8C6HZF6|A0A8C6HZF6_MUSSI
OG0000006	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8C6H9J4|A0A8C6H9J4_MUSSI, tr|A0A8C6H8P5|A0A8C6H8P5_MUSSI, tr|A0A8C6HAL2|A0A8C6HAL2_MUSSI, tr|A0A8C6HC67|A0A8C6HC67_MUSSI, tr|A0A8C6HAI6|A0A8C6HAI6_MUSSI, tr|A0A8C6H9K0|A0A8C6H9K0_MUSSI, tr|A0A8C6MWW0|A0A8C6MWW0_MUSSI, tr|A0A8C6H9M7|A0A8C6H9M7_MUSSI, tr|A0A8C6H8S9|A0A8C6H8S9_MUSSI, tr|A0A8C6HB98|A0A8C6HB98_MUSSI, tr|A0A8C6MWM5|A0A8C6MWM5_MUSSI, tr|A0A8C6HAX1|A0A8C6HAX1_MUSSI, tr|A0A8C6HBK6|A0A8C6HBK6_MUSSI, tr|A0A8C6H944|A0A8C6H944_MUSSI, tr|A0A8C6HB40|A0A8C6HB40_MUSSI, tr|A0A8C6HAN7|A0A8C6HAN7_MUSSI, tr|A0A8C6HBR7|A0A8C6HBR7_MUSSI, tr|A0A8C6MWY4|A0A8C6MWY4_MUSSI, tr|A0A8C6H9U6|A0A8C6H9U6_MUSSI, tr|A0A8C6HB82|A0A8C6HB82_MUSSI, tr|A0A8C6MWN3|A0A8C6MWN3_MUSSI, tr|A0A8C6HAR9|A0A8C6HAR9_MUSSI, tr|A0A8C6H965|A0A8C6H965_MUSSI, tr|A0A8C6HCI9|A0A8C6HCI9_MUSSI, tr|A0A8C6HBT0|A0A8C6HBT0_MUSSI, tr|A0A8C6H9G9|A0A8C6H9G9_MUSSI, tr|A0A8C6H8C1|A0A8C6H8C1_MUSSI, tr|A0A8C6H8B4|A0A8C6H8B4_MUSSI, tr|A0A8C6HD52|A0A8C6HD52_MUSSI, tr|A0A8C6H9B9|A0A8C6H9B9_MUSSI, tr|A0A8C6H8U8|A0A8C6H8U8_MUSSI, tr|A0A8C6HD64|A0A8C6HD64_MUSSI, tr|A0A8C6HB42|A0A8C6HB42_MUSSI, tr|A0A8C6HB24|A0A8C6HB24_MUSSI, tr|A0A8C6HGI0|A0A8C6HGI0_MUSSI, tr|A0A8C6MWK8|A0A8C6MWK8_MUSSI, tr|A0A8C6H8J8|A0A8C6H8J8_MUSSI, tr|A0A8C6H9E6|A0A8C6H9E6_MUSSI, tr|A0A8C6HAE3|A0A8C6HAE3_MUSSI, tr|A0A8C6MWH3|A0A8C6MWH3_MUSSI, tr|A0A8C6HAA0|A0A8C6HAA0_MUSSI
OG0000007	sp|Q8NGL6|O4A15_HUMAN	tr|A0A8C6H8E7|A0A8C6H8E7_MUSSI
OG0000007	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8C6G5K1|A0A8C6G5K1_MUSSI
OG0000007	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8C6G684|A0A8C6G684_MUSSI, tr|A0A8C6G665|A0A8C6G665_MUSSI, tr|A0A8C6MP25|A0A8C6MP25_MUSSI
OG0000007	sp|Q96R67|OR4CC_HUMAN	tr|A0A8C6G605|A0A8C6G605_MUSSI, tr|A0A8C6G5D9|A0A8C6G5D9_MUSSI
OG0000007	sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN	tr|A0A8C6G552|A0A8C6G552_MUSSI, tr|A0A8C6G5Z5|A0A8C6G5Z5_MUSSI
OG0000007	sp|Q8NH37|OR4C3_HUMAN	tr|A0A8C6G5R1|A0A8C6G5R1_MUSSI, tr|A0A8C6MNJ4|A0A8C6MNJ4_MUSSI
OG0000008	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8C6HQ19|A0A8C6HQ19_MUSSI
OG0000008	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8C6HQ32|A0A8C6HQ32_MUSSI, tr|A0A8C6GAC6|A0A8C6GAC6_MUSSI, tr|A0A8C6HMD5|A0A8C6HMD5_MUSSI, tr|A0A8C6MZB1|A0A8C6MZB1_MUSSI, tr|A0A8C6HQ69|A0A8C6HQ69_MUSSI, tr|A0A8C6HNI8|A0A8C6HNI8_MUSSI, tr|A0A8C6G5Y3|A0A8C6G5Y3_MUSSI, tr|A0A8C6MYL1|A0A8C6MYL1_MUSSI, tr|A0A8C6HJ82|A0A8C6HJ82_MUSSI, tr|A0A8C6HHH5|A0A8C6HHH5_MUSSI, tr|A0A8C6MYG7|A0A8C6MYG7_MUSSI, tr|A0A8C6HGU3|A0A8C6HGU3_MUSSI, tr|A0A8C6MPQ8|A0A8C6MPQ8_MUSSI, tr|A0A8C6HHF4|A0A8C6HHF4_MUSSI, tr|A0A8C6GR25|A0A8C6GR25_MUSSI, tr|A0A8C6GSL8|A0A8C6GSL8_MUSSI, tr|A0A8C6GRY3|A0A8C6GRY3_MUSSI, tr|A0A8C6GRR6|A0A8C6GRR6_MUSSI, tr|A0A8C6MPT0|A0A8C6MPT0_MUSSI, tr|A0A8C6G9T0|A0A8C6G9T0_MUSSI, tr|A0A8C6G979|A0A8C6G979_MUSSI, tr|A0A8C6MPS2|A0A8C6MPS2_MUSSI, tr|A0A8C6G8V6|A0A8C6G8V6_MUSSI, tr|A0A8C6G9C4|A0A8C6G9C4_MUSSI, tr|A0A8C6MPT6|A0A8C6MPT6_MUSSI, tr|A0A8C6HI57|A0A8C6HI57_MUSSI, tr|A0A8C6MSS8|A0A8C6MSS8_MUSSI, tr|A0A8C6HIC0|A0A8C6HIC0_MUSSI, tr|A0A8C6HH21|A0A8C6HH21_MUSSI, tr|A0A8C6GRQ3|A0A8C6GRQ3_MUSSI, tr|A0A8C6HK58|A0A8C6HK58_MUSSI, tr|A0A8C6MSP3|A0A8C6MSP3_MUSSI, tr|A0A8C6I0Q6|A0A8C6I0Q6_MUSSI, tr|A0A8C6HQ42|A0A8C6HQ42_MUSSI, tr|A0A8C6MZB3|A0A8C6MZB3_MUSSI
OG0000009	sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN	tr|A0A8C6GWP3|A0A8C6GWP3_MUSSI
OG0000009	sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN	tr|A0A8C6GUR2|A0A8C6GUR2_MUSSI
OG0000010	sp|A6NJZ3|O6C65_HUMAN	tr|A0A8C6GK68|A0A8C6GK68_MUSSI
OG0000010	sp|A6NIJ9|O6C70_HUMAN	tr|A0A8C6GIH2|A0A8C6GIH2_MUSSI
OG0000010	sp|A6NF89|OR6C6_HUMAN	tr|A0A8C6MRQ0|A0A8C6MRQ0_MUSSI, tr|A0A8C6GJ39|A0A8C6GJ39_MUSSI, tr|A0A8C6GJD0|A0A8C6GJD0_MUSSI, tr|A0A8C6MR65|A0A8C6MR65_MUSSI, tr|A0A8C6GFT2|A0A8C6GFT2_MUSSI, tr|A0A8C6GJK7|A0A8C6GJK7_MUSSI, tr|A0A8C6I5A6|A0A8C6I5A6_MUSSI, tr|A0A8C6N308|A0A8C6N308_MUSSI, tr|A0A8C6I787|A0A8C6I787_MUSSI, tr|A0A8C6I711|A0A8C6I711_MUSSI
OG0000010	sp|Q96RD1|OR6C1_HUMAN	tr|A0A8C6I5D4|A0A8C6I5D4_MUSSI, tr|A0A8C6I8C6|A0A8C6I8C6_MUSSI, tr|A0A8C6I5C5|A0A8C6I5C5_MUSSI, tr|A0A8C6I7L2|A0A8C6I7L2_MUSSI, tr|A0A8C6N2Z2|A0A8C6N2Z2_MUSSI, tr|A0A8C6I5G7|A0A8C6I5G7_MUSSI, tr|A0A8C6I6X2|A0A8C6I6X2_MUSSI, tr|A0A8C6I5N9|A0A8C6I5N9_MUSSI, tr|A0A8C6N309|A0A8C6N309_MUSSI
