Orthogroup	Homo_sapiens	Delphinapterus_leucas
OG0000010	sp|Q96SK3|ZN607_HUMAN	tr|A0A7F8KAV2|A0A7F8KAV2_DELLE
OG0000010	sp|Q6PG37|ZN790_HUMAN	tr|A0A2Y9P7E7|A0A2Y9P7E7_DELLE
OG0000010	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A2Y9P9Y2|A0A2Y9P9Y2_DELLE
OG0000010	sp|Q969W8|ZN566_HUMAN	tr|A0A7F8KC06|A0A7F8KC06_DELLE
OG0000010	sp|Q96NG8|ZN582_HUMAN	tr|A0A2Y9P5Z9|A0A2Y9P5Z9_DELLE
OG0000010	sp|Q8NA42|ZN383_HUMAN	tr|A0A7F8K3N3|A0A7F8K3N3_DELLE
OG0000010	sp|Q8TAF7|ZN461_HUMAN	tr|A0A2Y9P4T0|A0A2Y9P4T0_DELLE
OG0000010	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A2Y9P9W2|A0A2Y9P9W2_DELLE
OG0000010	sp|Q8N141|ZFP82_HUMAN	tr|A0A7F8K9G6|A0A7F8K9G6_DELLE
OG0000010	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A7F8KBZ6|A0A7F8KBZ6_DELLE
OG0000010	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A2Y9P801|A0A2Y9P801_DELLE
OG0000010	sp|Q86YE8|ZN573_HUMAN, sp|P17039|ZNF30_HUMAN	tr|A0A2Y9P544|A0A2Y9P544_DELLE
OG0000011	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN	tr|A0A2Y9NJT0|A0A2Y9NJT0_DELLE
OG0000015	sp|P0C0S8|H2A1_HUMAN	tr|A0A2Y9M748|A0A2Y9M748_DELLE
OG0000015	sp|P20671|H2A1D_HUMAN	tr|A0A2Y9ML48|A0A2Y9ML48_DELLE
OG0000015	sp|Q93077|H2A1C_HUMAN	tr|A0A2Y9M8B2|A0A2Y9M8B2_DELLE
OG0000015	sp|Q7L7L0|H2A3_HUMAN	tr|A0A2Y9MJ96|A0A2Y9MJ96_DELLE
OG0000015	sp|P04908|H2A1B_HUMAN	tr|A0A2Y9MG29|A0A2Y9MG29_DELLE, tr|A0A2Y9MAG3|A0A2Y9MAG3_DELLE
OG0000015	sp|Q6FI13|H2A2A_HUMAN	tr|A0A2Y9MNF1|A0A2Y9MNF1_DELLE
OG0000015	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A2Y9MLI4|A0A2Y9MLI4_DELLE
OG0000015	sp|P16104|H2AX_HUMAN	tr|A0A2Y9MF58|A0A2Y9MF58_DELLE
OG0000015	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A2Y9NEK1|A0A2Y9NEK1_DELLE
OG0000015	sp|Q16777|H2A2C_HUMAN	tr|A0A2Y9MRX4|A0A2Y9MRX4_DELLE
OG0000015	sp|Q99878|H2A1J_HUMAN	tr|A0A2Y9MLE5|A0A2Y9MLE5_DELLE, tr|A0A2Y9MLH7|A0A2Y9MLH7_DELLE
OG0000018	sp|Q9P275|UBP36_HUMAN	tr|A0A2Y9PPB4|A0A2Y9PPB4_DELLE
OG0000018	sp|C9J2P7|U17LF_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A2Y9P8N5|A0A2Y9P8N5_DELLE
OG0000019	sp|Q8NGT1|OR2K2_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2Y9NVW7|A0A2Y9NVW7_DELLE
OG0000021	sp|P51991|ROA3_HUMAN	tr|A0A2Y9MTW7|A0A2Y9MTW7_DELLE
OG0000021	sp|P22626|ROA2_HUMAN	tr|A0A2Y9MJR6|A0A2Y9MJR6_DELLE, tr|A0A2Y9N0I4|A0A2Y9N0I4_DELLE, tr|A0A2Y9N7N4|A0A2Y9N7N4_DELLE, tr|A0A2Y9QJY8|A0A2Y9QJY8_DELLE, tr|A0A7F8K933|A0A7F8K933_DELLE, tr|A0A2Y9M7W7|A0A2Y9M7W7_DELLE, tr|A0A2Y9P856|A0A2Y9P856_DELLE, tr|A0A2Y9PAT4|A0A2Y9PAT4_DELLE, tr|A0A2Y9MJW2|A0A2Y9MJW2_DELLE, tr|A0A2Y9LNA2|A0A2Y9LNA2_DELLE, tr|A0A7F8KBR0|A0A7F8KBR0_DELLE, tr|A0A2Y9LZ07|A0A2Y9LZ07_DELLE, tr|A0A2Y9P5S3|A0A2Y9P5S3_DELLE, tr|A0A2Y9LB68|A0A2Y9LB68_DELLE, tr|A0A7F8KC97|A0A7F8KC97_DELLE, tr|A0A2Y9P2K7|A0A2Y9P2K7_DELLE, tr|A0A2Y9MS93|A0A2Y9MS93_DELLE, tr|A0A2Y9P021|A0A2Y9P021_DELLE, tr|A0A7F8K8X6|A0A7F8K8X6_DELLE, tr|A0A2Y9LKN7|A0A2Y9LKN7_DELLE, tr|A0A2Y9P0C4|A0A2Y9P0C4_DELLE
OG0000022	sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN	tr|A0A7F8K7C6|A0A7F8K7C6_DELLE
OG0000023	sp|Q8N257|H2B3B_HUMAN	tr|A0A2Y9MPL9|A0A2Y9MPL9_DELLE
OG0000023	sp|Q99880|H2B1L_HUMAN	tr|A0A2Y9MFS7|A0A2Y9MFS7_DELLE, tr|A0A2Y9M751|A0A2Y9M751_DELLE, tr|A0A2Y9ML53|A0A2Y9ML53_DELLE, tr|A0A2Y9M6U4|A0A2Y9M6U4_DELLE
OG0000023	sp|Q96A08|H2B1A_HUMAN	tr|A0A2Y9MLH3|A0A2Y9MLH3_DELLE, tr|A0A2Y9MAG8|A0A2Y9MAG8_DELLE, tr|A0A2Y9M8C1|A0A2Y9M8C1_DELLE, tr|A0A2Y9M8B6|A0A2Y9M8B6_DELLE, tr|A0A2Y9M757|A0A2Y9M757_DELLE, tr|A0A2Y9MU21|A0A2Y9MU21_DELLE, tr|A0A2Y9MG37|A0A2Y9MG37_DELLE, tr|A0A2Y9MNB9|A0A2Y9MNB9_DELLE, tr|A0A2Y9M776|A0A2Y9M776_DELLE, tr|A0A2Y9MFT2|A0A2Y9MFT2_DELLE
OG0000024	sp|P06133|UD2B4_HUMAN	tr|A0A2Y9MJT7|A0A2Y9MJT7_DELLE
OG0000024	sp|P22309|UD11_HUMAN, sp|P22310|UD14_HUMAN, sp|P35504|UD15_HUMAN, sp|P35503|UD13_HUMAN	tr|A0A2Y9MS32|A0A2Y9MS32_DELLE
OG0000024	sp|O60656|UD19_HUMAN, sp|Q9HAW7|UD17_HUMAN, sp|Q9HAW8|UD110_HUMAN, sp|Q9HAW9|UD18_HUMAN, sp|P19224|UD16_HUMAN	tr|A0A7F8K162|A0A7F8K162_DELLE
OG0000024	sp|Q6UWM9|UD2A3_HUMAN, sp|P0DTE5|UD2A2_HUMAN, sp|P0DTE4|UD2A1_HUMAN	tr|A0A7F8K750|A0A7F8K750_DELLE
OG0000026	sp|Q86XU0|ZN677_HUMAN	tr|A0A2Y9P6E5|A0A2Y9P6E5_DELLE
OG0000026	sp|Q15973|ZN124_HUMAN	tr|A0A2Y9PGP3|A0A2Y9PGP3_DELLE, tr|A0A2Y9P6C1|A0A2Y9P6C1_DELLE, tr|A0A7F8K9K1|A0A7F8K9K1_DELLE, tr|A0A7F8K6S5|A0A7F8K6S5_DELLE, tr|A0A2Y9NQG2|A0A2Y9NQG2_DELLE, tr|A0A2Y9P6E9|A0A2Y9P6E9_DELLE, tr|A0A7F8K3H9|A0A7F8K3H9_DELLE, tr|A0A7F8K727|A0A7F8K727_DELLE, tr|A0A2Y9PEK7|A0A2Y9PEK7_DELLE, tr|A0A7F8K6R1|A0A7F8K6R1_DELLE, tr|A0A2Y9P3G5|A0A2Y9P3G5_DELLE, tr|A0A2Y9PF76|A0A2Y9PF76_DELLE, tr|A0A2Y9P6F4|A0A2Y9P6F4_DELLE, tr|A0A2Y9PF59|A0A2Y9PF59_DELLE, tr|A0A2Y9P6T8|A0A2Y9P6T8_DELLE, tr|A0A7F8KC37|A0A7F8KC37_DELLE, tr|A0A2Y9NF26|A0A2Y9NF26_DELLE, tr|A0A7F8K3Q8|A0A7F8K3Q8_DELLE, tr|A0A7F8KC42|A0A7F8KC42_DELLE
OG0000027	sp|Q9NYW6|TA2R3_HUMAN, sp|P59536|T2R41_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN	tr|A0A2Y9NM37|A0A2Y9NM37_DELLE
OG0000028	sp|A6NNH2|F90AR_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W9|F90AE_HUMAN	tr|A0A7F8KEY5|A0A7F8KEY5_DELLE
OG0000029	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A7F8KGI1|A0A7F8KGI1_DELLE
OG0000034	sp|P29322|EPHA8_HUMAN	tr|A0A2Y9LDB2|A0A2Y9LDB2_DELLE
OG0000034	sp|P54756|EPHA5_HUMAN	tr|A0A2Y9M6R4|A0A2Y9M6R4_DELLE
OG0000034	sp|P29320|EPHA3_HUMAN	tr|A0A2Y9NP36|A0A2Y9NP36_DELLE
OG0000034	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2Y9NEJ8|A0A2Y9NEJ8_DELLE, tr|A0A2Y9NS87|A0A2Y9NS87_DELLE
OG0000034	sp|Q15375|EPHA7_HUMAN	tr|A0A2Y9LT25|A0A2Y9LT25_DELLE
OG0000034	sp|P54764|EPHA4_HUMAN	tr|A0A2Y9N2K4|A0A2Y9N2K4_DELLE
OG0000034	sp|P54760|EPHB4_HUMAN	tr|A0A2Y9PEE2|A0A2Y9PEE2_DELLE
OG0000034	sp|P54753|EPHB3_HUMAN	tr|A0A2Y9MZ92|A0A2Y9MZ92_DELLE
