Orthogroup	Homo_sapiens	Chlorocebus_sabaeus
OG0000013	sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN	tr|A0A0D9RJ92|A0A0D9RJ92_CHLSB
OG0000015	sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN	tr|A0A0D9R9A3|A0A0D9R9A3_CHLSB
OG0000015	sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN	tr|A0A0D9SDG1|A0A0D9SDG1_CHLSB
OG0000015	sp|Q8NG97|OR2Z1_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN	tr|A0A0D9SDF9|A0A0D9SDF9_CHLSB
OG0000015	sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN	tr|A0A0D9SDG0|A0A0D9SDG0_CHLSB
OG0000016	sp|Q96RD1|OR6C1_HUMAN	tr|A0A0D9SD34|A0A0D9SD34_CHLSB
OG0000016	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A0D9SD35|A0A0D9SD35_CHLSB
OG0000016	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A0D9SC02|A0A0D9SC02_CHLSB
OG0000016	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A0D9SC05|A0A0D9SC05_CHLSB
OG0000016	sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN	tr|A0A0D9REN1|A0A0D9REN1_CHLSB
OG0000016	sp|A6NCV1|O6C74_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN	tr|A0A0D9SC00|A0A0D9SC00_CHLSB
OG0000016	sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN	tr|A0A0D9SD33|A0A0D9SD33_CHLSB
OG0000016	sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN	tr|A0A0D9SBZ9|A0A0D9SBZ9_CHLSB
OG0000017	sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN	tr|A0A0D9RWF0|A0A0D9RWF0_CHLSB
OG0000018	sp|Q6S8J7|POTEA_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN	tr|A0A0D9S0M1|A0A0D9S0M1_CHLSB
OG0000019	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN	tr|A0A0D9RDE1|A0A0D9RDE1_CHLSB
OG0000021	sp|Q5XKE5|K2C79_HUMAN	tr|A0A0D9QZW2|A0A0D9QZW2_CHLSB
OG0000021	sp|Q86Y46|K2C73_HUMAN	tr|A0A0D9R022|A0A0D9R022_CHLSB
OG0000021	sp|Q3SY84|K2C71_HUMAN	tr|A0A0D9R049|A0A0D9R049_CHLSB
OG0000021	sp|Q7RTS7|K2C74_HUMAN	tr|A0A0D9R041|A0A0D9R041_CHLSB
OG0000021	sp|Q14CN4|K2C72_HUMAN	tr|A0A0D9R030|A0A0D9R030_CHLSB
OG0000021	sp|P35908|K22E_HUMAN	tr|A0A0D9R013|A0A0D9R013_CHLSB, tr|A0A0D9R016|A0A0D9R016_CHLSB
OG0000021	sp|P08729|K2C7_HUMAN	tr|A0A0D9R0A1|A0A0D9R0A1_CHLSB, tr|A0A0D9R058|A0A0D9R058_CHLSB, tr|A0A0D9R070|A0A0D9R070_CHLSB, tr|A0A0D9R055|A0A0D9R055_CHLSB, tr|A0A0D9R0H0|A0A0D9R0H0_CHLSB
OG0000022	sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN	tr|A0A0D9RWM2|A0A0D9RWM2_CHLSB
OG0000023	sp|Q9UF33|EPHA6_HUMAN	tr|A0A0D9R0X2|A0A0D9R0X2_CHLSB
OG0000023	sp|P54762|EPHB1_HUMAN	tr|A0A0D9REN6|A0A0D9REN6_CHLSB
OG0000023	sp|P29323|EPHB2_HUMAN	tr|A0A0D9S8A2|A0A0D9S8A2_CHLSB
OG0000023	sp|P54753|EPHB3_HUMAN	tr|A0A0D9RN13|A0A0D9RN13_CHLSB
OG0000023	sp|P54760|EPHB4_HUMAN	tr|A0A0D9RZG7|A0A0D9RZG7_CHLSB
OG0000023	sp|P54764|EPHA4_HUMAN	tr|A0A0D9R686|A0A0D9R686_CHLSB
OG0000023	sp|Q15375|EPHA7_HUMAN	tr|A0A0D9RXG4|A0A0D9RXG4_CHLSB
OG0000023	sp|P54756|EPHA5_HUMAN	tr|A0A0D9QYP4|A0A0D9QYP4_CHLSB
OG0000023	sp|P29320|EPHA3_HUMAN	tr|A0A0D9R0V3|A0A0D9R0V3_CHLSB
OG0000023	sp|P29322|EPHA8_HUMAN	tr|A0A0D9S8A6|A0A0D9S8A6_CHLSB
OG0000024	tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, sp|Q8NGT9|OR2A1_HUMAN	tr|A0A0D9SDT1|A0A0D9SDT1_CHLSB
OG0000024	sp|Q8NGT7|O2A12_HUMAN	tr|A0A0D9SDS8|A0A0D9SDS8_CHLSB
OG0000024	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN	tr|A0A0D9SDT0|A0A0D9SDT0_CHLSB
OG0000024	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A0D9SDS9|A0A0D9SDS9_CHLSB, tr|A0A0D9R448|A0A0D9R448_CHLSB
OG0000024	tr|Q9BZC5|Q9BZC5_HUMAN, sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, sp|A4D2G3|O2A25_HUMAN	tr|A0A0D9SDS7|A0A0D9SDS7_CHLSB
OG0000026	sp|Q9Y6N8|CAD10_HUMAN	tr|A0A0D9RXC1|A0A0D9RXC1_CHLSB
OG0000026	sp|P55285|CADH6_HUMAN	tr|A0A0D9RXA5|A0A0D9RXA5_CHLSB
OG0000026	sp|Q9ULB4|CADH9_HUMAN	tr|A0A0D9RXA8|A0A0D9RXA8_CHLSB
OG0000026	sp|P55289|CAD12_HUMAN	tr|A0A0D9RXD3|A0A0D9RXD3_CHLSB
OG0000026	sp|P55286|CADH8_HUMAN	tr|A0A0D9QXC4|A0A0D9QXC4_CHLSB
OG0000026	sp|P55287|CAD11_HUMAN	tr|A0A0D9QXB9|A0A0D9QXB9_CHLSB
OG0000026	sp|Q6ZTQ4|CDHR3_HUMAN, sp|Q13634|CAD18_HUMAN	tr|A0A0D9RXE3|A0A0D9RXE3_CHLSB
OG0000026	sp|Q9HBT6|CAD20_HUMAN	tr|A0A0D9S004|A0A0D9S004_CHLSB
OG0000026	sp|Q9ULB5|CADH7_HUMAN	tr|A0A0D9S039|A0A0D9S039_CHLSB
