Orthogroup	Homo_sapiens	Pteropus_alecto
OG0000005	sp|A0JD37|TRDV3_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01764|HV323_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01780|HV307_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN	tr|L5KS87|L5KS87_PTEAL
OG0000007	sp|Q14CN4|K2C72_HUMAN	tr|L5L5V0|L5L5V0_PTEAL
OG0000007	sp|Q7RTS7|K2C74_HUMAN	tr|L5L7J0|L5L7J0_PTEAL
OG0000007	sp|Q3SY84|K2C71_HUMAN	tr|L5L5K0|L5L5K0_PTEAL
OG0000007	sp|Q86Y46|K2C73_HUMAN	tr|L5L6W4|L5L6W4_PTEAL
OG0000007	sp|Q8N1N4|K2C78_HUMAN	tr|L5L5U0|L5L5U0_PTEAL
OG0000007	sp|P08729|K2C7_HUMAN	tr|L5L6H0|L5L6H0_PTEAL
OG0000007	sp|P05787|K2C8_HUMAN	tr|L5K7A3|L5K7A3_PTEAL, tr|L5L7J7|L5L7J7_PTEAL, tr|L5K474|L5K474_PTEAL, tr|L5KX10|L5KX10_PTEAL, tr|L5K3Q4|L5K3Q4_PTEAL, tr|L5JNQ8|L5JNQ8_PTEAL, tr|L5KYX4|L5KYX4_PTEAL, tr|L5K0D0|L5K0D0_PTEAL, tr|L5L6V6|L5L6V6_PTEAL
OG0000007	sp|Q7Z794|K2C1B_HUMAN	tr|L5L7I3|L5L7I3_PTEAL, tr|L5L5J5|L5L5J5_PTEAL
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN	tr|L5K788|L5K788_PTEAL
OG0000010	sp|P17041|ZNF32_HUMAN	tr|L5K5A0|L5K5A0_PTEAL
OG0000010	sp|Q16670|ZSC26_HUMAN	tr|L5JT88|L5JT88_PTEAL
OG0000010	sp|Q969J2|ZKSC4_HUMAN, sp|Q9BRR0|ZKSC3_HUMAN, sp|P17029|ZKSC1_HUMAN, sp|Q15776|ZKSC8_HUMAN	tr|L5JUD2|L5JUD2_PTEAL
OG0000010	sp|Q8NF99|ZN397_HUMAN, sp|Q9UNY5|ZN232_HUMAN, sp|Q96LW9|ZSC31_HUMAN, sp|Q9H4T2|ZSC16_HUMAN, sp|O15535|ZSC9_HUMAN, sp|Q3MJ62|ZSC23_HUMAN, sp|Q96N95|ZN396_HUMAN, sp|P17028|ZNF24_HUMAN, sp|Q6P9G9|ZN449_HUMAN, sp|Q9Y5A6|ZSC21_HUMAN	tr|L5K6I3|L5K6I3_PTEAL
OG0000011	sp|Q49AA0|ZFP69_HUMAN	tr|L5L703|L5L703_PTEAL
OG0000011	sp|Q99676|ZN184_HUMAN	tr|L5JWJ0|L5JWJ0_PTEAL
OG0000011	sp|Q14929|ZN169_HUMAN	tr|L5JTA4|L5JTA4_PTEAL
OG0000011	sp|P17097|ZNF7_HUMAN	tr|L5KJM0|L5KJM0_PTEAL
OG0000011	sp|Q6ZMW2|ZN782_HUMAN	tr|L5KH29|L5KH29_PTEAL, tr|L5L769|L5L769_PTEAL, tr|L5L5C0|L5L5C0_PTEAL, tr|L5KS26|L5KS26_PTEAL, tr|L5KSZ6|L5KSZ6_PTEAL, tr|L5JPS0|L5JPS0_PTEAL, tr|L5K834|L5K834_PTEAL, tr|L5L0U9|L5L0U9_PTEAL
OG0000011	sp|Q8NHY6|ZFP28_HUMAN	tr|L5L520|L5L520_PTEAL, tr|L5KEC2|L5KEC2_PTEAL, tr|L5KCR4|L5KCR4_PTEAL, tr|L5KX32|L5KX32_PTEAL, tr|L5KV38|L5KV38_PTEAL, tr|L5L1F7|L5L1F7_PTEAL, tr|L5KC64|L5KC64_PTEAL, tr|L5KBS4|L5KBS4_PTEAL
OG0000015	sp|Q8NGT2|O13J1_HUMAN	tr|L5KQK5|L5KQK5_PTEAL
OG0000015	sp|Q8NGT1|OR2K2_HUMAN	tr|L5L327|L5L327_PTEAL
OG0000015	sp|Q8NGS4|O13F1_HUMAN	tr|L5L1M2|L5L1M2_PTEAL
OG0000015	sp|Q8NGV5|O13D1_HUMAN	tr|L5L3M4|L5L3M4_PTEAL, tr|L5KMX6|L5KMX6_PTEAL, tr|L5KP91|L5KP91_PTEAL, tr|L5L2Z5|L5L2Z5_PTEAL, tr|L5L2Y9|L5L2Y9_PTEAL, tr|L5L2I1|L5L2I1_PTEAL, tr|L5L1X5|L5L1X5_PTEAL, tr|L5L1X9|L5L1X9_PTEAL
OG0000016	sp|P29322|EPHA8_HUMAN	tr|L5JRW3|L5JRW3_PTEAL
OG0000016	sp|Q5JZY3|EPHAA_HUMAN	tr|L5JRI9|L5JRI9_PTEAL
OG0000016	sp|Q15375|EPHA7_HUMAN	tr|L5JPL3|L5JPL3_PTEAL
OG0000016	sp|P54756|EPHA5_HUMAN	tr|L5KAX4|L5KAX4_PTEAL
OG0000016	sp|P29320|EPHA3_HUMAN	tr|L5JMF3|L5JMF3_PTEAL
OG0000016	sp|Q9UF33|EPHA6_HUMAN	tr|L5JV56|L5JV56_PTEAL
OG0000016	sp|P54764|EPHA4_HUMAN	tr|L5L292|L5L292_PTEAL
OG0000016	sp|P54753|EPHB3_HUMAN	tr|L5JN45|L5JN45_PTEAL
OG0000016	sp|P54762|EPHB1_HUMAN	tr|L5L0Y3|L5L0Y3_PTEAL
OG0000016	sp|P29323|EPHB2_HUMAN	tr|L5JRV9|L5JRV9_PTEAL
OG0000016	sp|P54760|EPHB4_HUMAN	tr|L5K8W3|L5K8W3_PTEAL
OG0000016	sp|P29317|EPHA2_HUMAN	tr|L5KFN4|L5KFN4_PTEAL, tr|L5KR85|L5KR85_PTEAL, tr|L5KIY7|L5KIY7_PTEAL
OG0000021	sp|A0A0A0MT36|KVD21_HUMAN	tr|L5KI76|L5KI76_PTEAL
OG0000021	sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P01619|KV320_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN	tr|L5KHY0|L5KHY0_PTEAL
OG0000023	sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN	tr|L5KAI0|L5KAI0_PTEAL, tr|L5KBG6|L5KBG6_PTEAL
OG0000025	sp|Q8NG97|OR2Z1_HUMAN	tr|L5KQ56|L5KQ56_PTEAL, tr|L5L768|L5L768_PTEAL, tr|L5JXL6|L5JXL6_PTEAL, tr|L5JW16|L5JW16_PTEAL, tr|L5JY54|L5JY54_PTEAL, tr|L5JVU3|L5JVU3_PTEAL, tr|L5JYC4|L5JYC4_PTEAL, tr|L5JUW2|L5JUW2_PTEAL, tr|L5JVA3|L5JVA3_PTEAL, tr|L5JUP1|L5JUP1_PTEAL, tr|L5JXE4|L5JXE4_PTEAL, tr|L5JW26|L5JW26_PTEAL, tr|L5JW21|L5JW21_PTEAL, tr|L5KER0|L5KER0_PTEAL, tr|L5KI67|L5KI67_PTEAL, tr|L5JXK4|L5JXK4_PTEAL, tr|L5KQA2|L5KQA2_PTEAL, tr|L5JUV7|L5JUV7_PTEAL, tr|L5JXK8|L5JXK8_PTEAL, tr|L5JW10|L5JW10_PTEAL, tr|L5JYB8|L5JYB8_PTEAL, tr|L5JV98|L5JV98_PTEAL, tr|L5JV92|L5JV92_PTEAL
OG0000027	sp|Q5MJ68|SPDYC_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN	tr|L5KRE9|L5KRE9_PTEAL
OG0000028	sp|A6NMZ5|O4C45_HUMAN	tr|L5KY50|L5KY50_PTEAL
OG0000028	sp|Q8NH73|OR4S2_HUMAN	tr|L5L4Z1|L5L4Z1_PTEAL
OG0000028	sp|Q8NGB4|OR4S1_HUMAN	tr|L5KZ83|L5KZ83_PTEAL
OG0000028	sp|Q8NGL7|OR4P4_HUMAN	tr|L5L4P4|L5L4P4_PTEAL, tr|L5L6M5|L5L6M5_PTEAL
OG0000028	sp|Q8NGF9|OR4X2_HUMAN	tr|L5KYM6|L5KYM6_PTEAL
OG0000028	sp|Q8NH49|OR4X1_HUMAN	tr|L5KXI4|L5KXI4_PTEAL
OG0000028	sp|Q8NGB2|OR4C5_HUMAN	tr|L5KXI7|L5KXI7_PTEAL, tr|L5KYN2|L5KYN2_PTEAL
OG0000029	sp|Q86UE3|ZN546_HUMAN	tr|L5L4L4|L5L4L4_PTEAL
OG0000029	sp|Q8NA42|ZN383_HUMAN, sp|Q3KNS6|ZN829_HUMAN	tr|L5L4A3|L5L4A3_PTEAL
OG0000029	sp|Q8TAF7|ZN461_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN	tr|L5L4Z5|L5L4Z5_PTEAL
OG0000030	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN	tr|L5KER9|L5KER9_PTEAL
OG0000032	sp|Q5JQS5|OR2BB_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN	tr|L5JVB0|L5JVB0_PTEAL
OG0000033	sp|P0DP72|VSXL2_HUMAN	tr|L5KN26|L5KN26_PTEAL
OG0000033	sp|Q6UY09|CEA20_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q00889|PSG6_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q15238|PSG5_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P40198|CEAM3_HUMAN, sp|O75871|CEAM4_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|P06731|CEAM5_HUMAN, sp|P31997|CEAM8_HUMAN, sp|P13688|CEAM1_HUMAN, sp|P40199|CEAM6_HUMAN	tr|L5KSE1|L5KSE1_PTEAL
OG0000036	sp|P22310|UD14_HUMAN, sp|P35503|UD13_HUMAN, sp|P35504|UD15_HUMAN, sp|P22309|UD11_HUMAN, sp|P19224|UD16_HUMAN, sp|Q9HAW9|UD18_HUMAN, sp|Q9HAW8|UD110_HUMAN, sp|Q9HAW7|UD17_HUMAN, sp|O60656|UD19_HUMAN, sp|P16662|UD2B7_HUMAN, sp|P36537|UDB10_HUMAN, sp|O75310|UDB11_HUMAN, sp|Q9BY64|UDB28_HUMAN, sp|P06133|UD2B4_HUMAN, sp|P54855|UDB15_HUMAN, sp|O75795|UDB17_HUMAN, sp|P0DTE5|UD2A2_HUMAN, sp|P0DTE4|UD2A1_HUMAN, sp|Q6UWM9|UD2A3_HUMAN	tr|L5JPU3|L5JPU3_PTEAL
OG0000037	sp|A0A0B4J1U7|HV601_HUMAN, sp|P01817|HV205_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|P01814|HV270_HUMAN, tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|A0A0B4J1V2|HV226_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P0DP07|HV431_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|P01824|HV439_HUMAN, sp|P0DP08|HVD82_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|A0A0C4DH34|HV428_HUMAN	tr|L5KBG2|L5KBG2_PTEAL
OG0000038	sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0A0MS01|TVG10_HUMAN, sp|A0A075B6L2|TVG11_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, sp|P01743|HV146_HUMAN	tr|L5L777|L5L777_PTEAL
OG0000040	sp|Q02386|ZNF45_HUMAN	tr|L5KP52|L5KP52_PTEAL
OG0000040	sp|Q9UJU3|ZN112_HUMAN	tr|L5KM38|L5KM38_PTEAL
OG0000040	sp|Q14590|ZN235_HUMAN	tr|L5KPZ2|L5KPZ2_PTEAL
OG0000040	sp|Q9NYT6|ZN226_HUMAN	tr|L5KN22|L5KN22_PTEAL
OG0000040	sp|Q14588|ZN234_HUMAN, sp|Q9UK12|ZN222_HUMAN, sp|Q9UK13|ZN221_HUMAN, sp|Q9UK10|ZN225_HUMAN, sp|Q9NZL3|ZN224_HUMAN, sp|Q2VY69|ZN284_HUMAN, sp|Q12901|ZN155_HUMAN, sp|Q9UK11|ZN223_HUMAN, sp|Q9UIE0|ZN230_HUMAN	tr|L5L415|L5L415_PTEAL
OG0000041	sp|Q96A08|H2B1A_HUMAN	tr|L5JUI2|L5JUI2_PTEAL
OG0000041	sp|Q5QNW6|H2B2F_HUMAN	tr|L5K6A1|L5K6A1_PTEAL
OG0000041	sp|P58876|H2B1D_HUMAN	tr|L5JTM7|L5JTM7_PTEAL
OG0000041	sp|Q99877|H2B1N_HUMAN	tr|L5JTI9|L5JTI9_PTEAL
OG0000042	sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN	tr|L5L1J1|L5L1J1_PTEAL
OG0000042	sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN	tr|L5KZU4|L5KZU4_PTEAL
OG0000044	sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN	tr|L5JPT5|L5JPT5_PTEAL
OG0000045	sp|Q9Y6N8|CAD10_HUMAN	tr|L5L068|L5L068_PTEAL
