Orthogroup	Homo_sapiens	Cercocebus_atys
OG0000001	sp|Q8NGJ8|O51S1_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q8NGH8|O56A4_HUMAN, sp|P0C7T3|O56A5_HUMAN, sp|Q8NGH5|O56A1_HUMAN, sp|Q8NH54|O56A3_HUMAN, sp|Q8NGI1|O56B2_HUMAN, sp|Q8NGI3|O56B1_HUMAN, sp|Q8NH76|O56B4_HUMAN	tr|A0A2K5LIA6|A0A2K5LIA6_CERAT
OG0000001	sp|Q8NGF3|O51D1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2K5KLT0|A0A2K5KLT0_CERAT
OG0000003	sp|Q8NH06|OR1P1_HUMAN	tr|A0A2K5NZP1|A0A2K5NZP1_CERAT
OG0000003	sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN	tr|A0A2K5M104|A0A2K5M104_CERAT
OG0000003	sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN	tr|A0A2K5L0Q1|A0A2K5L0Q1_CERAT
OG0000004	sp|Q8NGB8|O4F15_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2K5NJV0|A0A2K5NJV0_CERAT
OG0000004	sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN	tr|A0A2K5L429|A0A2K5L429_CERAT
OG0000004	sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGN0|OR4D5_HUMAN	tr|A0A2K5KYA0|A0A2K5KYA0_CERAT
OG0000004	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K5KJ77|A0A2K5KJ77_CERAT
OG0000004	sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN	tr|A0A2K5KWG8|A0A2K5KWG8_CERAT
OG0000004	sp|Q8NGC6|OR4KH_HUMAN	tr|A0A2K5KK96|A0A2K5KK96_CERAT
OG0000004	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K5NZF0|A0A2K5NZF0_CERAT
OG0000006	sp|O76000|OR2B3_HUMAN	tr|A0A2K5NVY3|A0A2K5NVY3_CERAT
OG0000006	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A2K5NVP4|A0A2K5NVP4_CERAT
OG0000006	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|A0A2K5M2R7|A0A2K5M2R7_CERAT
OG0000006	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A2K5KMM0|A0A2K5KMM0_CERAT
OG0000006	sp|O76001|OR2J3_HUMAN	tr|A0A2K5KVI3|A0A2K5KVI3_CERAT
OG0000006	sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN	tr|A0A2K5L0Y7|A0A2K5L0Y7_CERAT
OG0000006	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A2K5NVI1|A0A2K5NVI1_CERAT
OG0000006	sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2K5MT23|A0A2K5MT23_CERAT
OG0000006	sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN	tr|A0A2K5NLA6|A0A2K5NLA6_CERAT
OG0000007	sp|P04264|K2C1_HUMAN	tr|A0A2K5MDQ1|A0A2K5MDQ1_CERAT
OG0000007	sp|P35908|K22E_HUMAN	tr|A0A2K5P1T1|A0A2K5P1T1_CERAT
OG0000007	sp|Q5XKE5|K2C79_HUMAN	tr|A0A2K5L2Q1|A0A2K5L2Q1_CERAT
OG0000007	sp|P19013|K2C4_HUMAN	tr|A0A2K5MKV0|A0A2K5MKV0_CERAT
OG0000007	sp|P08729|K2C7_HUMAN	tr|A0A2K5P2V3|A0A2K5P2V3_CERAT
OG0000007	sp|P13647|K2C5_HUMAN	tr|A0A2K5N3I3|A0A2K5N3I3_CERAT
OG0000007	sp|O95678|K2C75_HUMAN	tr|A0A2K5MWZ1|A0A2K5MWZ1_CERAT
OG0000007	sp|P12035|K2C3_HUMAN	tr|A0A2K5P4R3|A0A2K5P4R3_CERAT
OG0000007	sp|Q01546|K22O_HUMAN	tr|A0A2K5L3Y2|A0A2K5L3Y2_CERAT
OG0000007	sp|Q14CN4|K2C72_HUMAN	tr|A0A2K5LH62|A0A2K5LH62_CERAT
OG0000007	sp|Q3SY84|K2C71_HUMAN	tr|A0A2K5NJ30|A0A2K5NJ30_CERAT
OG0000007	sp|Q86Y46|K2C73_HUMAN	tr|A0A2K5NXB4|A0A2K5NXB4_CERAT
OG0000007	sp|Q7RTS7|K2C74_HUMAN	tr|A0A2K5NF66|A0A2K5NF66_CERAT
OG0000008	sp|O43869|OR2T1_HUMAN	tr|A0A2K5LQV0|A0A2K5LQV0_CERAT
OG0000008	sp|Q96R27|OR2M4_HUMAN	tr|A0A2K5NTL9|A0A2K5NTL9_CERAT
OG0000008	sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN	tr|A0A2K5LJ65|A0A2K5LJ65_CERAT
OG0000008	sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NGZ9|O2T10_HUMAN	tr|A0A2K5LHE1|A0A2K5LHE1_CERAT
OG0000008	sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN	tr|A0A2K5KH56|A0A2K5KH56_CERAT
OG0000011	sp|Q08AN1|ZN616_HUMAN	tr|A0A2K5NYT9|A0A2K5NYT9_CERAT
OG0000011	sp|Q6ZNA1|ZN836_HUMAN	tr|A0A2K5LMS6|A0A2K5LMS6_CERAT
OG0000011	sp|Q6ZN19|ZN841_HUMAN	tr|A0A2K5ND68|A0A2K5ND68_CERAT
OG0000011	sp|Q09FC8|ZN415_HUMAN	tr|A0A2K5L234|A0A2K5L234_CERAT, tr|A0A2K5MIS2|A0A2K5MIS2_CERAT, tr|A0A2K5KTC6|A0A2K5KTC6_CERAT, tr|A0A2K5P0T1|A0A2K5P0T1_CERAT, tr|A0A2K5LWM0|A0A2K5LWM0_CERAT, tr|A0A2K5KYI8|A0A2K5KYI8_CERAT, tr|A0A2K5NXT7|A0A2K5NXT7_CERAT, tr|A0A2K5MK00|A0A2K5MK00_CERAT, tr|A0A2K5MPQ6|A0A2K5MPQ6_CERAT, tr|A0A2K5ME97|A0A2K5ME97_CERAT, tr|A0A2K5NH53|A0A2K5NH53_CERAT, tr|A0A2K5MKZ4|A0A2K5MKZ4_CERAT, tr|A0A2K5NS85|A0A2K5NS85_CERAT, tr|A0A2K5NNT0|A0A2K5NNT0_CERAT, tr|A0A2K5NNQ4|A0A2K5NNQ4_CERAT, tr|A0A2K5NKY7|A0A2K5NKY7_CERAT, tr|A0A2K5KPQ6|A0A2K5KPQ6_CERAT, tr|A0A2K5LLQ3|A0A2K5LLQ3_CERAT
OG0000013	sp|Q9H9J4|UBP42_HUMAN	tr|A0A2K5MZY7|A0A2K5MZY7_CERAT
OG0000013	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A2K5NX51|A0A2K5NX51_CERAT
OG0000014	sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K5KY50|A0A2K5KY50_CERAT
OG0000014	sp|Q8NH49|OR4X1_HUMAN	tr|A0A2K5NXL1|A0A2K5NXL1_CERAT
OG0000014	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K5KUC0|A0A2K5KUC0_CERAT
OG0000015	sp|A6NLX3|SPDE4_HUMAN	tr|A0A2K5LTJ6|A0A2K5LTJ6_CERAT
OG0000015	sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN	tr|A0A2K5ME39|A0A2K5ME39_CERAT
OG0000015	sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN	tr|A0A2K5LW56|A0A2K5LW56_CERAT
OG0000016	sp|O15481|MAGB4_HUMAN	tr|A0A2K5MHB2|A0A2K5MHB2_CERAT
OG0000016	sp|P43366|MAGB1_HUMAN, sp|O15479|MAGB2_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN	tr|A0A2K5LIG7|A0A2K5LIG7_CERAT
OG0000020	sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN	tr|A0A2K5NWD8|A0A2K5NWD8_CERAT
OG0000021	sp|O60404|O10H3_HUMAN	tr|A0A2K5N8L6|A0A2K5N8L6_CERAT
OG0000021	sp|P30954|O10J1_HUMAN	tr|A0A2K5MXM1|A0A2K5MXM1_CERAT
OG0000021	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|A0A2K5MX13|A0A2K5MX13_CERAT
OG0000021	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A2K5M4H8|A0A2K5M4H8_CERAT
OG0000023	sp|Q6S8J7|POTEA_HUMAN, sp|P60709|ACTB_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN	tr|A0A2K5LAR2|A0A2K5LAR2_CERAT
OG0000025	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K5KUR5|A0A2K5KUR5_CERAT
OG0000025	sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|Q8NGE2|O2AP1_HUMAN	tr|A0A2K5KU80|A0A2K5KU80_CERAT
OG0000026	sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN	tr|A0A2K5NZC0|A0A2K5NZC0_CERAT
OG0000026	sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|A0A2K5MU22|A0A2K5MU22_CERAT
OG0000026	sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN	tr|A0A2K5NQ76|A0A2K5NQ76_CERAT
OG0000027	sp|C9JG80|NPIB4_HUMAN, sp|Q92617|NPIB3_HUMAN, sp|A8MRT5|NPIB5_HUMAN, sp|F8W0I5|NPB12_HUMAN, sp|A6NJU9|NPB13_HUMAN, sp|E5RHQ5|NPB11_HUMAN, sp|A6NHN6|NPB15_HUMAN, sp|F8W1W9|NPIB9_HUMAN, sp|O75200|NPIB7_HUMAN, sp|E9PQR5|NPIB8_HUMAN, sp|E9PJ23|NPIB6_HUMAN, sp|A6NJ64|NPIB2_HUMAN, sp|E9PJI5|NPIA7_HUMAN, sp|P0DM63|NPIA8_HUMAN, sp|A0A0B4J1W7|NPIA9_HUMAN, sp|E9PKD4|NPIA5_HUMAN, sp|Q9UND3|NPIA1_HUMAN, sp|F8WFD2|NPIA3_HUMAN, sp|E9PIF3|NPIA2_HUMAN	tr|A0A2K5M6S6|A0A2K5M6S6_CERAT
OG0000029	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K5KUL3|A0A2K5KUL3_CERAT
OG0000029	sp|P54756|EPHA5_HUMAN	tr|A0A2K5MGB6|A0A2K5MGB6_CERAT
OG0000029	sp|P29320|EPHA3_HUMAN	tr|A0A2K5MKF6|A0A2K5MKF6_CERAT
OG0000029	sp|P29323|EPHB2_HUMAN	tr|A0A2K5MME4|A0A2K5MME4_CERAT
OG0000029	sp|P54762|EPHB1_HUMAN	tr|A0A2K5KKM8|A0A2K5KKM8_CERAT
OG0000029	sp|P54753|EPHB3_HUMAN	tr|A0A2K5N4K5|A0A2K5N4K5_CERAT
OG0000029	sp|P54764|EPHA4_HUMAN	tr|A0A2K5MZS6|A0A2K5MZS6_CERAT
OG0000029	sp|Q15375|EPHA7_HUMAN	tr|A0A2K5KXK5|A0A2K5KXK5_CERAT
OG0000029	sp|P29322|EPHA8_HUMAN	tr|A0A2K5LVE8|A0A2K5LVE8_CERAT
OG0000030	sp|P0DTW3|HV384_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|P0DP01|HV108_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN	tr|A0A2K5LAL5|A0A2K5LAL5_CERAT
OG0000030	tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, sp|P01743|HV146_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN	tr|A0A2K5KK64|A0A2K5KK64_CERAT
OG0000031	sp|P67936|TPM4_HUMAN	tr|A0A2K5KK55|A0A2K5KK55_CERAT, tr|A0A2K5NA77|A0A2K5NA77_CERAT
OG0000031	sp|P06753|TPM3_HUMAN	tr|A0A2K5NE19|A0A2K5NE19_CERAT
OG0000031	sp|P07951|TPM2_HUMAN	tr|A0A2K5NJU7|A0A2K5NJU7_CERAT
OG0000031	sp|P09493|TPM1_HUMAN	tr|A0A2K5KRG7|A0A2K5KRG7_CERAT, tr|A0A2K5M571|A0A2K5M571_CERAT, tr|A0A2K5LU03|A0A2K5LU03_CERAT, tr|A0A2K5M5W1|A0A2K5M5W1_CERAT, tr|A0A2K5N2S8|A0A2K5N2S8_CERAT, tr|A0A2K5M5Q3|A0A2K5M5Q3_CERAT, tr|A0A2K5N680|A0A2K5N680_CERAT, tr|A0A2K5NX54|A0A2K5NX54_CERAT
OG0000032	sp|Q9Y5F3|PCDB1_HUMAN, sp|Q9UN66|PCDB8_HUMAN, sp|Q9Y5F0|PCDBD_HUMAN, sp|Q9NRJ7|PCDBG_HUMAN, sp|Q9Y5E8|PCDBF_HUMAN, sp|Q9Y5E3|PCDB6_HUMAN, sp|Q9Y5E4|PCDB5_HUMAN, sp|Q9Y5E5|PCDB4_HUMAN, sp|Q9Y5E6|PCDB3_HUMAN, sp|Q9Y5E7|PCDB2_HUMAN, sp|Q96TA0|PCDBI_HUMAN, sp|Q9Y5E9|PCDBE_HUMAN, sp|Q9Y5F2|PCDBB_HUMAN, sp|Q9Y5F1|PCDBC_HUMAN, sp|Q9UN67|PCDBA_HUMAN, sp|Q9Y5E1|PCDB9_HUMAN, sp|Q9Y5E2|PCDB7_HUMAN	tr|A0A2K5L2L8|A0A2K5L2L8_CERAT
OG0000033	sp|Q8NGV5|O13D1_HUMAN	tr|A0A2K5LAU8|A0A2K5LAU8_CERAT
OG0000033	sp|Q8NG92|O13H1_HUMAN, sp|Q9UGF6|OR5V1_HUMAN, sp|Q8NGT2|O13J1_HUMAN, sp|Q8NGS4|O13F1_HUMAN, sp|Q8NGT1|OR2K2_HUMAN	tr|A0A2K5KUF0|A0A2K5KUF0_CERAT
OG0000033	sp|Q8NH95|O13C6_HUMAN, sp|P0DN81|O13C7_HUMAN, sp|Q9NQN1|OR2S1_HUMAN, sp|Q8NGS7|O13C8_HUMAN, sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGS6|O13C3_HUMAN, sp|Q8NGS8|O13C5_HUMAN, sp|Q8NGS9|O13C2_HUMAN, sp|Q8NGT0|O13C9_HUMAN	tr|A0A2K5KIX0|A0A2K5KIX0_CERAT
OG0000036	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2K5LWH5|A0A2K5LWH5_CERAT
OG0000036	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2K5L898|A0A2K5L898_CERAT
OG0000036	sp|P00338|LDHA_HUMAN	tr|A0A2K5NFD9|A0A2K5NFD9_CERAT, tr|A0A2K5KL52|A0A2K5KL52_CERAT, tr|A0A2K5N3X6|A0A2K5N3X6_CERAT, tr|A0A2K5N3N2|A0A2K5N3N2_CERAT, tr|A0A2K5MLM5|A0A2K5MLM5_CERAT
OG0000036	sp|P07195|LDHB_HUMAN	tr|A0A2K5LC52|A0A2K5LC52_CERAT, tr|A0A2K5NSL6|A0A2K5NSL6_CERAT, tr|A0A2K5MGV4|A0A2K5MGV4_CERAT, tr|A0A2K5KHV6|A0A2K5KHV6_CERAT, tr|A0A2K5LVS1|A0A2K5LVS1_CERAT
OG0000037	sp|P15880|RS2_HUMAN	tr|A0A2K5NEV3|A0A2K5NEV3_CERAT, tr|A0A2K5P5J9|A0A2K5P5J9_CERAT, tr|A0A2K5MTP1|A0A2K5MTP1_CERAT, tr|A0A2K5KTP0|A0A2K5KTP0_CERAT, tr|A0A2K5MXB2|A0A2K5MXB2_CERAT, tr|A0A2K5MU51|A0A2K5MU51_CERAT, tr|A0A2K5LUX9|A0A2K5LUX9_CERAT, tr|A0A2K5LRP0|A0A2K5LRP0_CERAT, tr|A0A2K5MG11|A0A2K5MG11_CERAT, tr|A0A2K5LU53|A0A2K5LU53_CERAT, tr|A0A2K5KWE0|A0A2K5KWE0_CERAT, tr|A0A2K5MN35|A0A2K5MN35_CERAT, tr|A0A2K5MKV3|A0A2K5MKV3_CERAT, tr|A0A2K5MPQ9|A0A2K5MPQ9_CERAT, tr|A0A2K5P347|A0A2K5P347_CERAT, tr|A0A2K5MP51|A0A2K5MP51_CERAT
OG0000038	sp|Q9H0U9|TSYL1_HUMAN	tr|A0A2K5NYX1|A0A2K5NYX1_CERAT
OG0000038	sp|Q9UJ04|TSYL4_HUMAN	tr|A0A2K5NH49|A0A2K5NH49_CERAT
OG0000038	sp|Q9H489|TSY26_HUMAN, sp|P0DME0|SETLP_HUMAN, sp|Q01105|SET_HUMAN, sp|P0CW00|TSPY8_HUMAN, sp|A6NKD2|TSPY2_HUMAN, sp|P0CW01|TSPYA_HUMAN, sp|Q01534|TSPY1_HUMAN, sp|P0CV98|TSPY3_HUMAN, sp|A0A494C1R9|TSPY9_HUMAN, sp|P0CV99|TSPY4_HUMAN, sp|Q86VY4|TSYL5_HUMAN	tr|A0A2K5NZ80|A0A2K5NZ80_CERAT
OG0000042	sp|P59901|LIRA4_HUMAN	tr|A0A2K5LZ50|A0A2K5LZ50_CERAT
OG0000042	sp|Q8N423|LIRB2_HUMAN	tr|A0A2K5P590|A0A2K5P590_CERAT
OG0000042	sp|Q8NHL6|LIRB1_HUMAN	tr|A0A2K5KSG3|A0A2K5KSG3_CERAT
