Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A7N4NJG2|A0A7N4NJG2_SARHA, tr|A0A7N4NQC7|A0A7N4NQC7_SARHA, tr|A0A7N4P2D7|A0A7N4P2D7_SARHA, tr|A0A7N4NFP2|A0A7N4NFP2_SARHA
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A7N4V6I4|A0A7N4V6I4_SARHA, tr|A0A7N4PN15|A0A7N4PN15_SARHA, tr|G3VGJ3|G3VGJ3_SARHA
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|G3VS89|G3VS89_SARHA, tr|G3VQT2|G3VQT2_SARHA, tr|G3VM69|G3VM69_SARHA, tr|G3VJK9|G3VJK9_SARHA
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G3WA28|G3WA28_SARHA, tr|A0A7N4Q0U7|A0A7N4Q0U7_SARHA, tr|A0A7N4NRG1|A0A7N4NRG1_SARHA, tr|G3VEH7|G3VEH7_SARHA, tr|G3VGK9|G3VGK9_SARHA
OG0000003	sp|Q8NGJ9|O51T1_HUMAN	tr|G3W499|G3W499_SARHA
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|G3WI65|G3WI65_SARHA
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|G3WJB7|G3WJB7_SARHA, tr|G3WHN9|G3WHN9_SARHA, tr|G3WJ40|G3WJ40_SARHA, tr|G3WIN2|G3WIN2_SARHA
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A7N4NRE9|A0A7N4NRE9_SARHA, tr|G3W247|G3W247_SARHA, tr|G3W6Y8|G3W6Y8_SARHA, tr|G3W3N5|G3W3N5_SARHA, tr|G3W4Y7|G3W4Y7_SARHA, tr|G3VHL3|G3VHL3_SARHA, tr|G3VL01|G3VL01_SARHA, tr|G3VLH8|G3VLH8_SARHA, tr|G3VG63|G3VG63_SARHA, tr|A0A7N4PJW3|A0A7N4PJW3_SARHA
OG0000007	sp|Q8NG92|O13H1_HUMAN	tr|G3VQK5|G3VQK5_SARHA
OG0000007	sp|Q8NGT2|O13J1_HUMAN	tr|G3VSD7|G3VSD7_SARHA
OG0000007	sp|Q8NGV5|O13D1_HUMAN	tr|G3VPX6|G3VPX6_SARHA, tr|G3VFM8|G3VFM8_SARHA, tr|A0A7N4NZX4|A0A7N4NZX4_SARHA, tr|A0A7N4PPC2|A0A7N4PPC2_SARHA, tr|G3VT29|G3VT29_SARHA, tr|G3VA13|G3VA13_SARHA, tr|A0A7N4PEI4|A0A7N4PEI4_SARHA, tr|A0A7N4PAD4|A0A7N4PAD4_SARHA, tr|G3VFC5|G3VFC5_SARHA, tr|G3VDQ3|G3VDQ3_SARHA, tr|G3VJS7|G3VJS7_SARHA, tr|G3VNK8|G3VNK8_SARHA, tr|A0A7N4PMP9|A0A7N4PMP9_SARHA, tr|A0A7N4PST7|A0A7N4PST7_SARHA, tr|A0A7N4P1H3|A0A7N4P1H3_SARHA, tr|G3VM05|G3VM05_SARHA, tr|G3VIT3|G3VIT3_SARHA, tr|A0A7N4P3R6|A0A7N4P3R6_SARHA, tr|G3VMF6|G3VMF6_SARHA, tr|G3VVY9|G3VVY9_SARHA, tr|G3VGF0|G3VGF0_SARHA, tr|A0A7N4PZ57|A0A7N4PZ57_SARHA, tr|A0A7N4NJ92|A0A7N4NJ92_SARHA, tr|G3VT16|G3VT16_SARHA, tr|A0A7N4NW04|A0A7N4NW04_SARHA, tr|A0A7N4NWD4|A0A7N4NWD4_SARHA, tr|A0A7N4PIC1|A0A7N4PIC1_SARHA, tr|A0A7N4V0C2|A0A7N4V0C2_SARHA, tr|G3VQS5|G3VQS5_SARHA
OG0000009	sp|P47890|OR1G1_HUMAN	tr|G3X2V6|G3X2V6_SARHA
OG0000009	sp|Q8NGR9|OR1N2_HUMAN	tr|G3WHG3|G3WHG3_SARHA, tr|G3VWC0|G3VWC0_SARHA, tr|G3X2W3|G3X2W3_SARHA, tr|G3VKP8|G3VKP8_SARHA, tr|G3VC74|G3VC74_SARHA
OG0000009	sp|Q8NGA1|OR1M1_HUMAN	tr|G3VP02|G3VP02_SARHA, tr|G3VI16|G3VI16_SARHA, tr|A0A7N4V7D8|A0A7N4V7D8_SARHA, tr|A0A7N4NQI2|A0A7N4NQI2_SARHA, tr|A0A7N4PLB0|A0A7N4PLB0_SARHA, tr|A0A7N4P221|A0A7N4P221_SARHA, tr|G3VEU3|G3VEU3_SARHA, tr|A0A7N4V137|A0A7N4V137_SARHA, tr|A0A7N4V2F6|A0A7N4V2F6_SARHA, tr|A0A7N4P3N2|A0A7N4P3N2_SARHA, tr|G3VQ53|G3VQ53_SARHA, tr|A0A7N4NXC0|A0A7N4NXC0_SARHA, tr|A0A7N4PUU4|A0A7N4PUU4_SARHA, tr|A0A7N4P5W0|A0A7N4P5W0_SARHA, tr|A0A7N4PV38|A0A7N4PV38_SARHA, tr|A0A7N4NKG7|A0A7N4NKG7_SARHA, tr|G3VEW4|G3VEW4_SARHA, tr|A0A7N4NLK9|A0A7N4NLK9_SARHA, tr|A0A7N4NLI1|A0A7N4NLI1_SARHA, tr|A0A7N4NPX8|A0A7N4NPX8_SARHA, tr|A0A7N4PB39|A0A7N4PB39_SARHA, tr|G3VJQ3|G3VJQ3_SARHA, tr|G3WWE9|G3WWE9_SARHA, tr|G3VCL2|G3VCL2_SARHA, tr|G3VGQ7|G3VGQ7_SARHA, tr|G3VF77|G3VF77_SARHA, tr|G3VRB6|G3VRB6_SARHA
OG0000010	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A7N4Q0H1|A0A7N4Q0H1_SARHA, tr|A0A7N4PDX7|A0A7N4PDX7_SARHA
OG0000010	sp|Q8NH55|O52E5_HUMAN	tr|G3WTP0|G3WTP0_SARHA, tr|G3VFE7|G3VFE7_SARHA
OG0000010	sp|Q8NGH9|O52E4_HUMAN	tr|G3VLE7|G3VLE7_SARHA, tr|G3VVI2|G3VVI2_SARHA, tr|A0A7N4PTE8|A0A7N4PTE8_SARHA, tr|A0A7N4PRB1|A0A7N4PRB1_SARHA, tr|A0A7N4UX68|A0A7N4UX68_SARHA, tr|G3VUF8|G3VUF8_SARHA, tr|G3VYY5|G3VYY5_SARHA, tr|A0A7N4NZ92|A0A7N4NZ92_SARHA, tr|G3VTN0|G3VTN0_SARHA, tr|A0A7N4NQX2|A0A7N4NQX2_SARHA, tr|A0A7N4PEV4|A0A7N4PEV4_SARHA, tr|G3VQS3|G3VQS3_SARHA, tr|A0A7N4P7N6|A0A7N4P7N6_SARHA, tr|A0A7N4NKG9|A0A7N4NKG9_SARHA, tr|A0A7N4PGG7|A0A7N4PGG7_SARHA, tr|G3WQ35|G3WQ35_SARHA, tr|G3VJC4|G3VJC4_SARHA, tr|G3WPZ7|G3WPZ7_SARHA, tr|G3WRV6|G3WRV6_SARHA, tr|G3WSL2|G3WSL2_SARHA, tr|G3VI22|G3VI22_SARHA, tr|A0A7N4PAT6|A0A7N4PAT6_SARHA, tr|A0A7N4PRG1|A0A7N4PRG1_SARHA, tr|A0A7N4PRV1|A0A7N4PRV1_SARHA, tr|A0A7N4NG20|A0A7N4NG20_SARHA, tr|G3WTD5|G3WTD5_SARHA
OG0000013	sp|Q8NGG7|OR8A1_HUMAN	tr|G3WP57|G3WP57_SARHA
OG0000013	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A7N4PQF4|A0A7N4PQF4_SARHA, tr|A0A7N4PAX2|A0A7N4PAX2_SARHA, tr|A0A7N4V322|A0A7N4V322_SARHA, tr|A0A7N4NTL3|A0A7N4NTL3_SARHA, tr|G3WJJ9|G3WJJ9_SARHA, tr|A0A7N4PZJ8|A0A7N4PZJ8_SARHA, tr|G3WFC0|G3WFC0_SARHA, tr|A0A7N4V6I5|A0A7N4V6I5_SARHA, tr|G3WDG6|G3WDG6_SARHA, tr|A0A7N4P3R3|A0A7N4P3R3_SARHA, tr|A0A7N4NRS0|A0A7N4NRS0_SARHA, tr|A0A7N4NWH2|A0A7N4NWH2_SARHA, tr|G3WMB9|G3WMB9_SARHA, tr|G3WMX1|G3WMX1_SARHA, tr|A0A7N4PTK6|A0A7N4PTK6_SARHA, tr|A0A7N4NJ80|A0A7N4NJ80_SARHA, tr|A0A7N4PL17|A0A7N4PL17_SARHA, tr|G3WNK3|G3WNK3_SARHA, tr|G3WK57|G3WK57_SARHA, tr|G3WCL8|G3WCL8_SARHA, tr|G3WC27|G3WC27_SARHA, tr|G3WXL1|G3WXL1_SARHA, tr|G3WXF9|G3WXF9_SARHA, tr|G3WXY6|G3WXY6_SARHA, tr|A0A7N4P695|A0A7N4P695_SARHA, tr|G3VJY2|G3VJY2_SARHA, tr|G3WC73|G3WC73_SARHA, tr|G3WB99|G3WB99_SARHA, tr|G3VEK9|G3VEK9_SARHA, tr|A0A7N4P515|A0A7N4P515_SARHA, tr|G3W361|G3W361_SARHA
