Orthogroup	Homo_sapiens	Cricetulus_griseus
OG0000003	sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN	tr|G3HPA9|G3HPA9_CRIGR, tr|G3HPB4|G3HPB4_CRIGR, tr|G3HPB3|G3HPB3_CRIGR, tr|G3IF35|G3IF35_CRIGR, tr|G3HPB1|G3HPB1_CRIGR
OG0000003	sp|Q8NGB2|OR4C5_HUMAN	tr|G3IC69|G3IC69_CRIGR, tr|G3HPA8|G3HPA8_CRIGR
OG0000004	sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN	tr|G3IL03|G3IL03_CRIGR, tr|G3IKK1|G3IKK1_CRIGR
OG0000004	sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|P06315|KV502_HUMAN, sp|Q15116|PDCD1_HUMAN	tr|G3ILT5|G3ILT5_CRIGR
OG0000005	sp|Q8NGM9|OR8D4_HUMAN	tr|G3I3R8|G3I3R8_CRIGR
OG0000005	sp|Q15620|OR8B8_HUMAN	tr|G3IBH7|G3IBH7_CRIGR
OG0000005	sp|Q8NGG6|OR8BC_HUMAN	tr|G3IJE3|G3IJE3_CRIGR, tr|G3IJE2|G3IJE2_CRIGR
OG0000005	sp|Q96RC9|OR8B4_HUMAN	tr|G3IF17|G3IF17_CRIGR, tr|G3IF19|G3IF19_CRIGR, tr|G3IMS7|G3IMS7_CRIGR, tr|G3IF18|G3IF18_CRIGR, tr|G3IC85|G3IC85_CRIGR, tr|G3IF15|G3IF15_CRIGR, tr|G3INY9|G3INY9_CRIGR, tr|G3IF16|G3IF16_CRIGR, tr|G3I8Q8|G3I8Q8_CRIGR, tr|G3IC86|G3IC86_CRIGR, tr|G3IPG1|G3IPG1_CRIGR, tr|G3IBH2|G3IBH2_CRIGR, tr|G3IBH1|G3IBH1_CRIGR, tr|G3IF11|G3IF11_CRIGR, tr|G3INN4|G3INN4_CRIGR
OG0000006	sp|Q8NGK1|O51G1_HUMAN	tr|G3IE36|G3IE36_CRIGR
OG0000006	sp|Q8NGK0|O51G2_HUMAN	tr|G3IE35|G3IE35_CRIGR
OG0000006	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G3IJF8|G3IJF8_CRIGR, tr|G3IGV8|G3IGV8_CRIGR, tr|G3IGV5|G3IGV5_CRIGR, tr|G3IGV7|G3IGV7_CRIGR, tr|G3IGV6|G3IGV6_CRIGR, tr|G3IJF9|G3IJF9_CRIGR
OG0000006	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|G3IGV3|G3IGV3_CRIGR
OG0000006	sp|Q9H344|O51I2_HUMAN	tr|G3ICP0|G3ICP0_CRIGR
OG0000006	sp|Q9H343|O51I1_HUMAN	tr|G3ICN9|G3ICN9_CRIGR
OG0000006	sp|Q8NH63|O51H1_HUMAN	tr|G3IE31|G3IE31_CRIGR, tr|G3IJX6|G3IJX6_CRIGR, tr|G3IE32|G3IE32_CRIGR
OG0000006	sp|Q8NH59|O51Q1_HUMAN	tr|G3IF97|G3IF97_CRIGR, tr|G3IA59|G3IA59_CRIGR, tr|G3ICN7|G3ICN7_CRIGR, tr|G3ICN6|G3ICN6_CRIGR
OG0000007	sp|Q9HCZ1|ZN334_HUMAN	tr|G3H8T9|G3H8T9_CRIGR
OG0000007	sp|Q9NYW8|RBAK_HUMAN	tr|G3GVC6|G3GVC6_CRIGR
OG0000007	sp|P17014|ZNF12_HUMAN	tr|G3GVC4|G3GVC4_CRIGR
OG0000007	sp|Q8NDW4|ZN248_HUMAN	tr|G3HKS7|G3HKS7_CRIGR
OG0000008	sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6K6|LV403_HUMAN	tr|G3IDZ1|G3IDZ1_CRIGR
OG0000008	sp|Q99603|TRGV9_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01718|LV327_HUMAN, sp|P01721|LV657_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN	tr|G3HEM5|G3HEM5_CRIGR
OG0000011	sp|P58173|OR2B6_HUMAN	tr|G3HPW5|G3HPW5_CRIGR
OG0000011	sp|Q9GZK3|OR2B2_HUMAN	tr|G3HPW2|G3HPW2_CRIGR, tr|G3HPW3|G3HPW3_CRIGR
OG0000011	sp|Q5JQS5|OR2BB_HUMAN	tr|G3IF26|G3IF26_CRIGR, tr|G3IN20|G3IN20_CRIGR, tr|G3HPW8|G3HPW8_CRIGR, tr|G3IN94|G3IN94_CRIGR, tr|G3IMW7|G3IMW7_CRIGR, tr|G3I8J0|G3I8J0_CRIGR, tr|G3INR4|G3INR4_CRIGR, tr|G3HK22|G3HK22_CRIGR, tr|G3HK19|G3HK19_CRIGR, tr|G3HK21|G3HK21_CRIGR, tr|G3IMW4|G3IMW4_CRIGR, tr|G3HK20|G3HK20_CRIGR, tr|G3HK17|G3HK17_CRIGR, tr|G3HK18|G3HK18_CRIGR, tr|G3HP51|G3HP51_CRIGR, tr|G3HVU0|G3HVU0_CRIGR, tr|G3HVT9|G3HVT9_CRIGR, tr|G3HVU1|G3HVU1_CRIGR, tr|G3IF21|G3IF21_CRIGR, tr|G3H747|G3H747_CRIGR, tr|G3ILF6|G3ILF6_CRIGR, tr|G3IF22|G3IF22_CRIGR, tr|G3HPW4|G3HPW4_CRIGR, tr|G3HHP0|G3HHP0_CRIGR, tr|G3HPW6|G3HPW6_CRIGR, tr|G3HPW7|G3HPW7_CRIGR, tr|G3HPY1|G3HPY1_CRIGR, tr|G3I037|G3I037_CRIGR, tr|G3HPY2|G3HPY2_CRIGR, tr|G3HPX6|G3HPX6_CRIGR, tr|G3HHN9|G3HHN9_CRIGR, tr|G3IL42|G3IL42_CRIGR, tr|G3HHN8|G3HHN8_CRIGR
OG0000016	sp|P62424|RL7A_HUMAN	tr|G3GUI2|G3GUI2_CRIGR, tr|G3I0F9|G3I0F9_CRIGR, tr|G3HVW8|G3HVW8_CRIGR, tr|G3HMP4|G3HMP4_CRIGR, tr|G3H7D6|G3H7D6_CRIGR, tr|G3HTS2|G3HTS2_CRIGR, tr|G3GSB7|G3GSB7_CRIGR, tr|G3HT02|G3HT02_CRIGR, tr|G3H0N4|G3H0N4_CRIGR, tr|G3I3I5|G3I3I5_CRIGR, tr|G3I4R0|G3I4R0_CRIGR, tr|G3HL76|G3HL76_CRIGR, tr|G3HSQ1|G3HSQ1_CRIGR, tr|G3HTQ7|G3HTQ7_CRIGR, tr|G3I9S3|G3I9S3_CRIGR, tr|G3ILW8|G3ILW8_CRIGR, tr|G3H7V4|G3H7V4_CRIGR, tr|G3HA00|G3HA00_CRIGR, tr|G3H9A3|G3H9A3_CRIGR, tr|G3GS29|G3GS29_CRIGR, tr|G3IGC1|G3IGC1_CRIGR, tr|G3HRU2|G3HRU2_CRIGR, tr|G3H4N9|G3H4N9_CRIGR, tr|G3GSC3|G3GSC3_CRIGR, tr|G3HYK9|G3HYK9_CRIGR, tr|G3HTI6|G3HTI6_CRIGR, tr|G3HQG1|G3HQG1_CRIGR, tr|G3IHS3|G3IHS3_CRIGR, tr|G3HM17|G3HM17_CRIGR, tr|G3IAQ1|G3IAQ1_CRIGR, tr|G3HMK2|G3HMK2_CRIGR, tr|G3I4G2|G3I4G2_CRIGR
OG0000018	sp|Q08379|GOGA2_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN	tr|G3IBJ2|G3IBJ2_CRIGR
OG0000021	sp|Q6IFN5|O7E24_HUMAN	tr|G3IG75|G3IG75_CRIGR, tr|G3IDW1|G3IDW1_CRIGR, tr|G3IG77|G3IG77_CRIGR, tr|G3HWQ9|G3HWQ9_CRIGR, tr|G3HWR1|G3HWR1_CRIGR, tr|G3IG72|G3IG72_CRIGR, tr|G3IG76|G3IG76_CRIGR, tr|G3HWR2|G3HWR2_CRIGR, tr|G3IDW0|G3IDW0_CRIGR, tr|G3IG74|G3IG74_CRIGR, tr|G3IG73|G3IG73_CRIGR, tr|G3HWR3|G3HWR3_CRIGR, tr|G3H6G1|G3H6G1_CRIGR, tr|G3H6G3|G3H6G3_CRIGR, tr|G3IMQ6|G3IMQ6_CRIGR, tr|G3I1F3|G3I1F3_CRIGR, tr|G3I1F2|G3I1F2_CRIGR, tr|G3I7P7|G3I7P7_CRIGR, tr|G3I1F1|G3I1F1_CRIGR, tr|G3I1E8|G3I1E8_CRIGR, tr|G3H6G0|G3H6G0_CRIGR, tr|G3H6G2|G3H6G2_CRIGR, tr|G3H6G4|G3H6G4_CRIGR, tr|G3IKW3|G3IKW3_CRIGR, tr|G3HM44|G3HM44_CRIGR, tr|G3HM43|G3HM43_CRIGR, tr|G3HM46|G3HM46_CRIGR
OG0000022	sp|Q8NGC2|OR4E2_HUMAN	tr|G3HWR6|G3HWR6_CRIGR, tr|G3ID38|G3ID38_CRIGR, tr|G3ID37|G3ID37_CRIGR, tr|G3ID34|G3ID34_CRIGR, tr|G3ID33|G3ID33_CRIGR, tr|G3ICW8|G3ICW8_CRIGR, tr|G3I821|G3I821_CRIGR, tr|G3ICW7|G3ICW7_CRIGR, tr|G3I816|G3I816_CRIGR, tr|G3I818|G3I818_CRIGR, tr|G3I819|G3I819_CRIGR, tr|G3I817|G3I817_CRIGR, tr|G3I820|G3I820_CRIGR, tr|G3IMI6|G3IMI6_CRIGR, tr|G3ICW9|G3ICW9_CRIGR, tr|G3ICW6|G3ICW6_CRIGR, tr|G3I813|G3I813_CRIGR, tr|G3I814|G3I814_CRIGR, tr|G3I811|G3I811_CRIGR, tr|G3I815|G3I815_CRIGR, tr|G3HIG2|G3HIG2_CRIGR, tr|G3HIG1|G3HIG1_CRIGR, tr|G3I812|G3I812_CRIGR, tr|G3HIG3|G3HIG3_CRIGR, tr|G3ICX0|G3ICX0_CRIGR, tr|G3ICX1|G3ICX1_CRIGR, tr|G3ICX2|G3ICX2_CRIGR
OG0000024	sp|P15880|RS2_HUMAN	tr|G3IA49|G3IA49_CRIGR, tr|G3I0G4|G3I0G4_CRIGR, tr|G3HYV9|G3HYV9_CRIGR
OG0000024	sp|P62877|RBX1_HUMAN	tr|G3HBP8|G3HBP8_CRIGR, tr|G3I7G4|G3I7G4_CRIGR, tr|G3HIC0|G3HIC0_CRIGR, tr|G3HUJ1|G3HUJ1_CRIGR, tr|G3HWB7|G3HWB7_CRIGR, tr|G3HCB4|G3HCB4_CRIGR, tr|G3H6Z3|G3H6Z3_CRIGR, tr|G3HP90|G3HP90_CRIGR, tr|G3H631|G3H631_CRIGR, tr|G3II62|G3II62_CRIGR, tr|G3I1D6|G3I1D6_CRIGR, tr|G3IMY3|G3IMY3_CRIGR, tr|G3HH24|G3HH24_CRIGR, tr|G3HDB2|G3HDB2_CRIGR, tr|G3HIC1|G3HIC1_CRIGR, tr|G3I175|G3I175_CRIGR, tr|G3I8A7|G3I8A7_CRIGR, tr|G3GSG3|G3GSG3_CRIGR, tr|G3I331|G3I331_CRIGR, tr|G3I4P8|G3I4P8_CRIGR, tr|G3H2L1|G3H2L1_CRIGR, tr|G3HKG4|G3HKG4_CRIGR, tr|G3I535|G3I535_CRIGR
OG0000025	sp|A0A0B4J275|TVA17_HUMAN	tr|G3IBQ1|G3IBQ1_CRIGR
OG0000025	sp|A0A075B6T7|TVA6_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN	tr|G3INE6|G3INE6_CRIGR
OG0000029	sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q9BYD9|ACTT3_HUMAN, sp|Q9H568|ACTL8_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN	tr|G3HNV6|G3HNV6_CRIGR
OG0000030	sp|Q9H346|O52D1_HUMAN	tr|G3ICP6|G3ICP6_CRIGR, tr|G3ICP5|G3ICP5_CRIGR
OG0000030	sp|P0C646|O52Z1_HUMAN	tr|G3IF94|G3IF94_CRIGR
OG0000030	sp|Q8NGF0|O52B6_HUMAN	tr|G3IA68|G3IA68_CRIGR, tr|G3IA69|G3IA69_CRIGR
OG0000030	sp|Q96RD2|O52B2_HUMAN	tr|G3IED8|G3IED8_CRIGR
OG0000030	sp|Q8NGK2|O52B4_HUMAN	tr|G3ILV0|G3ILV0_CRIGR, tr|G3ILV1|G3ILV1_CRIGR, tr|G3IMV4|G3IMV4_CRIGR
OG0000030	sp|Q8NGJ2|O52H1_HUMAN	tr|G3IEP0|G3IEP0_CRIGR, tr|G3IDI1|G3IDI1_CRIGR, tr|G3INR9|G3INR9_CRIGR, tr|G3IDI2|G3IDI2_CRIGR, tr|G3IEN9|G3IEN9_CRIGR
OG0000033	sp|Q9UN70|PCDGK_HUMAN	tr|G3HYE5|G3HYE5_CRIGR
OG0000033	sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN	tr|G3HYE3|G3HYE3_CRIGR
OG0000035	sp|Q12952|FOXL1_HUMAN	tr|G3GRV7|G3GRV7_CRIGR
OG0000035	sp|Q9UJU5|FOXD3_HUMAN, sp|Q16676|FOXD1_HUMAN, sp|O60548|FOXD2_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|O00358|FOXE1_HUMAN, sp|Q13461|FOXE3_HUMAN, sp|P55318|FOXA3_HUMAN, sp|Q99958|FOXC2_HUMAN, sp|Q12948|FOXC1_HUMAN, sp|O43638|FOXS1_HUMAN	tr|G3HEA4|G3HEA4_CRIGR
OG0000035	sp|P58012|FOXL2_HUMAN, sp|A0A1W2PRP0|FOXL3_HUMAN, sp|P55316|FOXG1_HUMAN, sp|Q6ZQN5|FOXI2_HUMAN	tr|G3ING6|G3ING6_CRIGR
OG0000038	sp|A1A4Y4|IRGM_HUMAN	tr|G3HK05|G3HK05_CRIGR, tr|G3IGM5|G3IGM5_CRIGR, tr|G3IGM6|G3IGM6_CRIGR, tr|G3INL6|G3INL6_CRIGR, tr|G3IAC2|G3IAC2_CRIGR, tr|G3IAC4|G3IAC4_CRIGR, tr|G3HK08|G3HK08_CRIGR, tr|G3HK07|G3HK07_CRIGR, tr|G3HK06|G3HK06_CRIGR, tr|G3HFU6|G3HFU6_CRIGR, tr|G3HK09|G3HK09_CRIGR, tr|G3IAC0|G3IAC0_CRIGR, tr|G3IAC1|G3IAC1_CRIGR, tr|G3IAC6|G3IAC6_CRIGR, tr|G3IAC5|G3IAC5_CRIGR, tr|G3IAC7|G3IAC7_CRIGR, tr|G3IGX0|G3IGX0_CRIGR, tr|G3HS48|G3HS48_CRIGR, tr|G3IAC3|G3IAC3_CRIGR, tr|G3IGX1|G3IGX1_CRIGR, tr|G3HS49|G3HS49_CRIGR
OG0000039	sp|Q8NGH3|OR2D3_HUMAN	tr|G3ICR5|G3ICR5_CRIGR
OG0000039	sp|Q9H210|OR2D2_HUMAN	tr|G3ICQ5|G3ICQ5_CRIGR, tr|G3ICQ6|G3ICQ6_CRIGR, tr|G3HFE6|G3HFE6_CRIGR, tr|G3HFE5|G3HFE5_CRIGR, tr|G3HFE4|G3HFE4_CRIGR, tr|G3HFE8|G3HFE8_CRIGR, tr|G3HFE7|G3HFE7_CRIGR, tr|G3HFD9|G3HFD9_CRIGR, tr|G3HFE0|G3HFE0_CRIGR, tr|G3HFE3|G3HFE3_CRIGR, tr|G3HFE2|G3HFE2_CRIGR, tr|G3HFE1|G3HFE1_CRIGR, tr|G3HFI0|G3HFI0_CRIGR, tr|G3HFI2|G3HFI2_CRIGR, tr|G3HFH9|G3HFH9_CRIGR, tr|G3HFD8|G3HFD8_CRIGR, tr|G3HFI3|G3HFI3_CRIGR, tr|G3HFI1|G3HFI1_CRIGR, tr|G3ICR4|G3ICR4_CRIGR
OG0000042	sp|P54756|EPHA5_HUMAN	tr|G3I4E2|G3I4E2_CRIGR
OG0000042	sp|P29320|EPHA3_HUMAN	tr|G3GYF9|G3GYF9_CRIGR
OG0000042	sp|P29322|EPHA8_HUMAN	tr|G3HIN1|G3HIN1_CRIGR
OG0000042	sp|Q15375|EPHA7_HUMAN	tr|G3GSS9|G3GSS9_CRIGR
OG0000042	sp|P54764|EPHA4_HUMAN	tr|G3I4C9|G3I4C9_CRIGR
OG0000042	sp|P54760|EPHB4_HUMAN	tr|G3IGS6|G3IGS6_CRIGR
OG0000042	sp|P54753|EPHB3_HUMAN	tr|G3I8W3|G3I8W3_CRIGR
OG0000042	sp|P54762|EPHB1_HUMAN	tr|G3HD26|G3HD26_CRIGR
OG0000042	sp|P29323|EPHB2_HUMAN	tr|G3HIN4|G3HIN4_CRIGR
OG0000042	sp|Q9UF33|EPHA6_HUMAN	tr|G3I0L1|G3I0L1_CRIGR, tr|G3IAA8|G3IAA8_CRIGR
OG0000043	sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW0|T2R10_HUMAN	tr|G3H7K3|G3H7K3_CRIGR
