Orthogroup	Homo_sapiens	Peromyscus_maniculatus_bairdii
OG0000011	sp|Q5T5D7|ZN684_HUMAN, sp|P17030|ZNF25_HUMAN	tr|A0A6J0CH14|A0A6J0CH14_PERMB
OG0000011	sp|P17032|ZN37A_HUMAN, sp|Q9BSK1|ZN577_HUMAN, sp|P51814|ZNF41_HUMAN, sp|P51508|ZNF81_HUMAN, sp|Q5JVG2|ZN484_HUMAN, sp|Q2M218|ZN630_HUMAN, sp|Q96RE9|ZN300_HUMAN, sp|Q52M93|Z585B_HUMAN, sp|Q6P3V2|Z585A_HUMAN, sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q3ZCX4|ZN568_HUMAN, sp|Q6ZN11|ZN793_HUMAN, sp|Q96PE6|ZIM3_HUMAN	tr|A0A6J0DEF7|A0A6J0DEF7_PERMB
OG0000011	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q9Y2H8|ZN510_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|A0A6J0CH19|A0A6J0CH19_PERMB
OG0000014	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6J0CHV0|A0A6J0CHV0_PERMB, tr|A0A6J0CKS1|A0A6J0CKS1_PERMB, tr|A0A6I9LZP1|A0A6I9LZP1_PERMB
OG0000014	sp|Q8NH61|O51F2_HUMAN	tr|A0A6I9MAQ3|A0A6I9MAQ3_PERMB
OG0000014	sp|Q9H344|O51I2_HUMAN	tr|A0A6I9LHU6|A0A6I9LHU6_PERMB
OG0000014	sp|Q9H343|O51I1_HUMAN	tr|A0A6I9LH59|A0A6I9LH59_PERMB, tr|A0A6I9L8B9|A0A6I9L8B9_PERMB, tr|A0A6I9LLH0|A0A6I9LLH0_PERMB, tr|A0A6I9L9R5|A0A6I9L9R5_PERMB
OG0000014	sp|Q8NH63|O51H1_HUMAN	tr|A0A6I9L895|A0A6I9L895_PERMB, tr|A0A6I9L9N6|A0A6I9L9N6_PERMB, tr|A0A6I9LHR3|A0A6I9LHR3_PERMB, tr|A0A6I9MMY2|A0A6I9MMY2_PERMB, tr|A0A6I9M691|A0A6I9M691_PERMB, tr|A0A6I9MFV3|A0A6I9MFV3_PERMB, tr|A0A6I9M695|A0A6I9M695_PERMB, tr|A0A6I9M6C1|A0A6I9M6C1_PERMB
OG0000014	sp|Q9H342|O51J1_HUMAN	tr|A0A6I9L9P4|A0A6I9L9P4_PERMB, tr|A0A6I9LGZ0|A0A6I9LGZ0_PERMB, tr|A0A6I9LLE2|A0A6I9LLE2_PERMB, tr|A0A6I9LLD6|A0A6I9LLD6_PERMB, tr|A0A6I9LLF2|A0A6I9LLF2_PERMB, tr|A0A6I9LH07|A0A6I9LH07_PERMB, tr|A0A6I9L8B4|A0A6I9L8B4_PERMB
OG0000017	sp|P52741|ZN134_HUMAN	tr|A0A6J0CQ67|A0A6J0CQ67_PERMB
OG0000017	sp|Q9BWM5|ZN416_HUMAN	tr|A0A6J0CQ84|A0A6J0CQ84_PERMB
OG0000017	sp|Q3SY52|ZIK1_HUMAN	tr|A0A6J0CRI4|A0A6J0CRI4_PERMB
OG0000017	sp|Q7Z340|ZN551_HUMAN	tr|A0A6J0CR81|A0A6J0CR81_PERMB
OG0000017	sp|Q9HCX3|ZN304_HUMAN	tr|A0A6I9LNW2|A0A6I9LNW2_PERMB
OG0000022	sp|Q08379|GOGA2_HUMAN	tr|A0A6I9LR11|A0A6I9LR11_PERMB
OG0000022	sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A6J0CG51|A0A6J0CG51_PERMB
OG0000023	sp|Q06520|ST2A1_HUMAN	tr|A0A6I9ML06|A0A6I9ML06_PERMB, tr|A0A6I9MKJ4|A0A6I9MKJ4_PERMB, tr|A0A6I9M9V3|A0A6I9M9V3_PERMB, tr|A0A6J0CWJ4|A0A6J0CWJ4_PERMB, tr|A0A6I9M6Q4|A0A6I9M6Q4_PERMB, tr|A0A6J0CZA6|A0A6J0CZA6_PERMB, tr|A0A6J0CSW6|A0A6J0CSW6_PERMB, tr|A0A6I9MI21|A0A6I9MI21_PERMB, tr|A0A6I9ME32|A0A6I9ME32_PERMB, tr|A0A6I9MMR4|A0A6I9MMR4_PERMB, tr|A0A6J0CZ61|A0A6J0CZ61_PERMB, tr|A0A6I9MKY5|A0A6I9MKY5_PERMB, tr|A0A6I9M9C9|A0A6I9M9C9_PERMB, tr|A0A6J0CVW1|A0A6J0CVW1_PERMB, tr|A0A6I9MI26|A0A6I9MI26_PERMB, tr|A0A6I9KX43|A0A6I9KX43_PERMB, tr|A0A6I9MAK4|A0A6I9MAK4_PERMB, tr|A0A6I9ME38|A0A6I9ME38_PERMB, tr|A0A6I9MHI7|A0A6I9MHI7_PERMB, tr|A0A6I9MLK6|A0A6I9MLK6_PERMB, tr|A0A6I9MN65|A0A6I9MN65_PERMB, tr|A0A6I9M7E0|A0A6I9M7E0_PERMB, tr|A0A6I9L782|A0A6I9L782_PERMB, tr|A0A6J0CSG2|A0A6J0CSG2_PERMB, tr|A0A6J0CJ57|A0A6J0CJ57_PERMB, tr|A0A6J0CGU2|A0A6J0CGU2_PERMB, tr|A0A6I9M874|A0A6I9M874_PERMB, tr|A0A6I9MHE1|A0A6I9MHE1_PERMB, tr|A0A6J0CSU5|A0A6J0CSU5_PERMB, tr|A0A6I9LKD6|A0A6I9LKD6_PERMB
OG0000024	sp|Q8NGH3|OR2D3_HUMAN	tr|A0A6I9MCT7|A0A6I9MCT7_PERMB, tr|A0A6I9M938|A0A6I9M938_PERMB, tr|A0A6I9M930|A0A6I9M930_PERMB, tr|A0A6I9MCW0|A0A6I9MCW0_PERMB, tr|A0A6I9M2H9|A0A6I9M2H9_PERMB, tr|A0A6I9M7L1|A0A6I9M7L1_PERMB, tr|A0A6I9M7M1|A0A6I9M7M1_PERMB, tr|A0A6I9M941|A0A6I9M941_PERMB, tr|A0A6I9MFE9|A0A6I9MFE9_PERMB, tr|A0A6I9LU15|A0A6I9LU15_PERMB, tr|A0A6I9MD44|A0A6I9MD44_PERMB, tr|A0A6I9MAF5|A0A6I9MAF5_PERMB, tr|A0A6I9MFY0|A0A6I9MFY0_PERMB, tr|A0A6I9M1L4|A0A6I9M1L4_PERMB, tr|A0A6I9MQS9|A0A6I9MQS9_PERMB, tr|A0A6I9M8Q1|A0A6I9M8Q1_PERMB, tr|A0A6I9M822|A0A6I9M822_PERMB, tr|A0A6I9MC53|A0A6I9MC53_PERMB, tr|A0A6I9MEX4|A0A6I9MEX4_PERMB, tr|A0A6I9M817|A0A6I9M817_PERMB, tr|A0A6I9M0T0|A0A6I9M0T0_PERMB, tr|A0A6I9LJK0|A0A6I9LJK0_PERMB, tr|A0A6I9LM07|A0A6I9LM07_PERMB, tr|A0A6I9LV00|A0A6I9LV00_PERMB, tr|A0A6I9LV05|A0A6I9LV05_PERMB, tr|A0A6I9LJJ5|A0A6I9LJJ5_PERMB, tr|A0A6J0DT36|A0A6J0DT36_PERMB, tr|A0A6J0DUI1|A0A6J0DUI1_PERMB
OG0000026	sp|Q96M61|MAGBI_HUMAN	tr|A0A6J0EA18|A0A6J0EA18_PERMB
OG0000026	sp|Q96LZ2|MAGBA_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|O15481|MAGB4_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15479|MAGB2_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|A2A368|MAGBG_HUMAN	tr|A0A6J0CN54|A0A6J0CN54_PERMB
OG0000029	sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN	tr|A0A6I9LUX9|A0A6I9LUX9_PERMB
OG0000030	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A6I9MNT2|A0A6I9MNT2_PERMB, tr|A0A6I9MBL3|A0A6I9MBL3_PERMB, tr|A0A6I9MMV7|A0A6I9MMV7_PERMB, tr|A0A6I9MKK0|A0A6I9MKK0_PERMB, tr|A0A6I9MGT9|A0A6I9MGT9_PERMB, tr|A0A6I9MMV0|A0A6I9MMV0_PERMB, tr|A0A6I9ML30|A0A6I9ML30_PERMB, tr|A0A6I9M6S0|A0A6I9M6S0_PERMB, tr|A0A6I9MDL9|A0A6I9MDL9_PERMB, tr|A0A6I9ML38|A0A6I9ML38_PERMB, tr|A0A6I9ML34|A0A6I9ML34_PERMB, tr|A0A6I9MHL9|A0A6I9MHL9_PERMB, tr|A0A6I9M6T6|A0A6I9M6T6_PERMB, tr|A0A6I9MHM5|A0A6I9MHM5_PERMB, tr|A0A6I9MNT7|A0A6I9MNT7_PERMB, tr|A0A6I9MMV4|A0A6I9MMV4_PERMB, tr|A0A6I9M6S6|A0A6I9M6S6_PERMB, tr|A0A6I9MDL6|A0A6I9MDL6_PERMB, tr|A0A6I9MEW5|A0A6I9MEW5_PERMB, tr|A0A6I9M891|A0A6I9M891_PERMB, tr|A0A6I9MIR3|A0A6I9MIR3_PERMB, tr|A0A6I9MMG0|A0A6I9MMG0_PERMB, tr|A0A6I9MHK3|A0A6I9MHK3_PERMB, tr|A0A6I9MDL1|A0A6I9MDL1_PERMB, tr|A0A6I9MHJ8|A0A6I9MHJ8_PERMB, tr|A0A6I9MDK5|A0A6I9MDK5_PERMB
OG0000031	sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A6I9L0I7|A0A6I9L0I7_PERMB, tr|A0A6J0E1V6|A0A6J0E1V6_PERMB, tr|A0A6J0D7C5|A0A6J0D7C5_PERMB, tr|A0A6J0E8F3|A0A6J0E8F3_PERMB, tr|A0A6I9MQD6|A0A6I9MQD6_PERMB, tr|A0A6J0CRR7|A0A6J0CRR7_PERMB, tr|A0A6J0DTW5|A0A6J0DTW5_PERMB, tr|A0A6J0DEB9|A0A6J0DEB9_PERMB, tr|A0A6J0DM11|A0A6J0DM11_PERMB, tr|A0A6J0DGW1|A0A6J0DGW1_PERMB, tr|A0A6J0DGB7|A0A6J0DGB7_PERMB, tr|A0A6J0DGD6|A0A6J0DGD6_PERMB, tr|A0A6J0DM21|A0A6J0DM21_PERMB, tr|A0A6I9MF67|A0A6I9MF67_PERMB, tr|A0A6J0DGE3|A0A6J0DGE3_PERMB, tr|A0A6J0DED1|A0A6J0DED1_PERMB, tr|A0A6J0DGC9|A0A6J0DGC9_PERMB, tr|A0A6J0DGE2|A0A6J0DGE2_PERMB, tr|A0A6I9LA33|A0A6I9LA33_PERMB, tr|A0A6J0DGE4|A0A6J0DGE4_PERMB, tr|A0A6J0DEC1|A0A6J0DEC1_PERMB, tr|A0A6I9M9U8|A0A6I9M9U8_PERMB, tr|A0A6J0DGX2|A0A6J0DGX2_PERMB, tr|A0A6I9LIU6|A0A6I9LIU6_PERMB, tr|A0A6I9LBP0|A0A6I9LBP0_PERMB, tr|A0A6J0DGW6|A0A6J0DGW6_PERMB
OG0000037	sp|Q8NGL6|O4A15_HUMAN	tr|A0A6I9MKY2|A0A6I9MKY2_PERMB, tr|A0A6I9MIX6|A0A6I9MIX6_PERMB, tr|A0A6I9MFM9|A0A6I9MFM9_PERMB, tr|A0A6I9MPV0|A0A6I9MPV0_PERMB, tr|A0A6J0CVF4|A0A6J0CVF4_PERMB, tr|A0A6I9M4G4|A0A6I9M4G4_PERMB, tr|A0A6I9MFZ2|A0A6I9MFZ2_PERMB, tr|A0A6I9MNS5|A0A6I9MNS5_PERMB, tr|A0A6I9MJR3|A0A6I9MJR3_PERMB, tr|A0A6I9MNT0|A0A6I9MNT0_PERMB, tr|A0A6I9M9C4|A0A6I9M9C4_PERMB, tr|A0A6I9MBK7|A0A6I9MBK7_PERMB, tr|A0A6I9MFZ7|A0A6I9MFZ7_PERMB, tr|A0A6I9MFN4|A0A6I9MFN4_PERMB, tr|A0A6J0CTY0|A0A6J0CTY0_PERMB, tr|A0A6J0CYP8|A0A6J0CYP8_PERMB, tr|A0A6I9MJR7|A0A6I9MJR7_PERMB, tr|A0A6J0CUF4|A0A6J0CUF4_PERMB, tr|A0A6J0CW30|A0A6J0CW30_PERMB, tr|A0A6I9MQM3|A0A6I9MQM3_PERMB, tr|A0A6J0CX18|A0A6J0CX18_PERMB, tr|A0A6I9MIX1|A0A6I9MIX1_PERMB, tr|A0A6I9MPL9|A0A6I9MPL9_PERMB, tr|A0A6I9MGS8|A0A6I9MGS8_PERMB
OG0000041	sp|Q14CN4|K2C72_HUMAN	tr|A0A6I9LMT0|A0A6I9LMT0_PERMB
OG0000041	sp|Q7RTS7|K2C74_HUMAN	tr|A0A6I9LP09|A0A6I9LP09_PERMB
OG0000041	sp|Q3SY84|K2C71_HUMAN	tr|A0A6I9LDT0|A0A6I9LDT0_PERMB
OG0000041	sp|Q86Y46|K2C73_HUMAN	tr|A0A6I9LTH8|A0A6I9LTH8_PERMB
OG0000041	sp|Q8N1N4|K2C78_HUMAN	tr|A0A6J0DJ26|A0A6J0DJ26_PERMB
OG0000041	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P13647|K2C5_HUMAN, sp|O95678|K2C75_HUMAN, sp|P19013|K2C4_HUMAN, sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|P35908|K22E_HUMAN, sp|P04264|K2C1_HUMAN, sp|Q7Z794|K2C1B_HUMAN	tr|A0A6I9LFH2|A0A6I9LFH2_PERMB
OG0000042	sp|Q8NH19|O10AG_HUMAN	tr|A0A6I9LSX8|A0A6I9LSX8_PERMB, tr|A0A6I9LXW1|A0A6I9LXW1_PERMB, tr|A0A6I9M9E6|A0A6I9M9E6_PERMB, tr|A0A6I9LXS2|A0A6I9LXS2_PERMB, tr|A0A6I9M9A7|A0A6I9M9A7_PERMB, tr|A0A6I9LY04|A0A6I9LY04_PERMB, tr|A0A6I9M6Y6|A0A6I9M6Y6_PERMB, tr|A0A6I9M039|A0A6I9M039_PERMB, tr|A0A6J0CQK9|A0A6J0CQK9_PERMB, tr|A0A6I9M6K5|A0A6I9M6K5_PERMB, tr|A0A6I9MMP4|A0A6I9MMP4_PERMB, tr|A0A6I9M5X4|A0A6I9M5X4_PERMB, tr|A0A6I9MM76|A0A6I9MM76_PERMB, tr|A0A6I9M549|A0A6I9M549_PERMB, tr|A0A6I9M9C3|A0A6I9M9C3_PERMB, tr|A0A6I9LSY8|A0A6I9LSY8_PERMB, tr|A0A6I9M554|A0A6I9M554_PERMB, tr|A0A6I9M3T3|A0A6I9M3T3_PERMB, tr|A0A6I9LXS5|A0A6I9LXS5_PERMB, tr|A0A6I9M3P5|A0A6I9M3P5_PERMB, tr|A0A6I9M5A9|A0A6I9M5A9_PERMB, tr|A0A6I9M3P9|A0A6I9M3P9_PERMB
OG0000048	sp|A6NNH2|F90AR_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN	tr|A0A6J0E874|A0A6J0E874_PERMB
OG0000049	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A6I9M3P8|A0A6I9M3P8_PERMB, tr|A0A6J0EAZ1|A0A6J0EAZ1_PERMB, tr|A0A6I9M7J5|A0A6I9M7J5_PERMB, tr|A0A6I9LRH4|A0A6I9LRH4_PERMB, tr|A0A6I9L9K9|A0A6I9L9K9_PERMB, tr|A0A6I9M3N7|A0A6I9M3N7_PERMB, tr|A0A6I9LVM6|A0A6I9LVM6_PERMB, tr|A0A6I9LVM2|A0A6I9LVM2_PERMB, tr|A0A6I9M7L2|A0A6I9M7L2_PERMB, tr|A0A6I9M209|A0A6I9M209_PERMB, tr|A0A6I9M7I1|A0A6I9M7I1_PERMB, tr|A0A6I9MDE9|A0A6I9MDE9_PERMB, tr|A0A6I9MHF0|A0A6I9MHF0_PERMB, tr|A0A6I9L5Z4|A0A6I9L5Z4_PERMB, tr|A0A6I9MI60|A0A6I9MI60_PERMB, tr|A0A6I9M7I3|A0A6I9M7I3_PERMB, tr|A0A6I9M3P3|A0A6I9M3P3_PERMB, tr|A0A6I9LVP6|A0A6I9LVP6_PERMB, tr|A0A6I9MHE5|A0A6I9MHE5_PERMB, tr|A0A6I9LZ82|A0A6I9LZ82_PERMB, tr|A0A6I9LUT1|A0A6I9LUT1_PERMB
OG0000053	sp|Q9UJU3|ZN112_HUMAN	tr|A0A6J0CMS4|A0A6J0CMS4_PERMB
OG0000053	sp|Q14590|ZN235_HUMAN	tr|A0A6J0CLS8|A0A6J0CLS8_PERMB
OG0000053	sp|Q86WZ6|ZN227_HUMAN	tr|A0A6J0CG70|A0A6J0CG70_PERMB
OG0000053	sp|Q02386|ZNF45_HUMAN, sp|Q14588|ZN234_HUMAN, sp|Q9UK13|ZN221_HUMAN, sp|Q2VY69|ZN284_HUMAN, sp|Q9NZL3|ZN224_HUMAN, sp|Q9UK10|ZN225_HUMAN, sp|Q12901|ZN155_HUMAN, sp|Q9UK12|ZN222_HUMAN, sp|Q9UIE0|ZN230_HUMAN, sp|Q9UK11|ZN223_HUMAN, sp|Q9NYT6|ZN226_HUMAN	tr|A0A6J0CKN3|A0A6J0CKN3_PERMB
OG0000054	sp|Q6PEY2|TBA3E_HUMAN	tr|A0A6I9LYI5|A0A6I9LYI5_PERMB
OG0000054	sp|Q9BQE3|TBA1C_HUMAN	tr|A0A6I9L0A2|A0A6I9L0A2_PERMB
OG0000054	sp|A6NHL2|TBAL3_HUMAN	tr|A0A6J0CKT7|A0A6J0CKT7_PERMB, tr|A0A6J0ECH5|A0A6J0ECH5_PERMB
OG0000054	sp|Q9H853|TBA4B_HUMAN, sp|Q9NY65|TBA8_HUMAN	tr|A0A6I9LW81|A0A6I9LW81_PERMB
OG0000054	sp|P68366|TBA4A_HUMAN	tr|A0A6I9L693|A0A6I9L693_PERMB
OG0000054	sp|Q71U36|TBA1A_HUMAN, sp|P68363|TBA1B_HUMAN	tr|A0A6I9L7U8|A0A6I9L7U8_PERMB, tr|A0A6J0CMV7|A0A6J0CMV7_PERMB, tr|A0A6J0EI71|A0A6J0EI71_PERMB, tr|A0A6J0CK49|A0A6J0CK49_PERMB, tr|A0A6I9L7S2|A0A6I9L7S2_PERMB
