Orthogroup	Homo_sapiens	Pteropus_vampyrus
OG0000011	sp|Q08379|GOGA2_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN	tr|A0A6P3QC50|A0A6P3QC50_PTEVA
OG0000013	sp|Q8NH49|OR4X1_HUMAN	tr|A0A6P3PX01|A0A6P3PX01_PTEVA
OG0000013	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6P6CAY8|A0A6P6CAY8_PTEVA, tr|A0A6P3Q747|A0A6P3Q747_PTEVA
OG0000013	sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGF8|OR4B1_HUMAN	tr|A0A6P3RLX2|A0A6P3RLX2_PTEVA, tr|A0A6P3RPG8|A0A6P3RPG8_PTEVA, tr|A0A6P6C3U6|A0A6P6C3U6_PTEVA, tr|A0A6P3RMI2|A0A6P3RMI2_PTEVA, tr|A0A6P3S252|A0A6P3S252_PTEVA, tr|A0A6P3RMH6|A0A6P3RMH6_PTEVA, tr|A0A6P6CAK6|A0A6P6CAK6_PTEVA, tr|A0A6P3RPR2|A0A6P3RPR2_PTEVA, tr|A0A6P3RLW7|A0A6P3RLW7_PTEVA, tr|A0A6P6C3L4|A0A6P6C3L4_PTEVA, tr|A0A6P3PZJ4|A0A6P3PZJ4_PTEVA, tr|A0A6P6C3L3|A0A6P6C3L3_PTEVA, tr|A0A6P3S1V2|A0A6P3S1V2_PTEVA, tr|A0A6P3RTN0|A0A6P3RTN0_PTEVA, tr|A0A6P3RQR8|A0A6P3RQR8_PTEVA, tr|A0A6P3RX58|A0A6P3RX58_PTEVA, tr|A0A6P3RNJ3|A0A6P3RNJ3_PTEVA, tr|A0A6P6C1U4|A0A6P6C1U4_PTEVA, tr|A0A6P3RP14|A0A6P3RP14_PTEVA, tr|A0A6P3Q751|A0A6P3Q751_PTEVA, tr|A0A6P3QAA4|A0A6P3QAA4_PTEVA, tr|A0A6P3PX06|A0A6P3PX06_PTEVA, tr|A0A6P3QA85|A0A6P3QA85_PTEVA
OG0000015	sp|P17032|ZN37A_HUMAN	tr|A0A6P6C695|A0A6P6C695_PTEVA, tr|A0A6P6C694|A0A6P6C694_PTEVA, tr|A0A6P6C6I4|A0A6P6C6I4_PTEVA, tr|A0A6P6C6H4|A0A6P6C6H4_PTEVA, tr|A0A6P3S113|A0A6P3S113_PTEVA, tr|A0A6P6C0J0|A0A6P6C0J0_PTEVA, tr|A0A6P6CHF3|A0A6P6CHF3_PTEVA, tr|A0A6P3R0Y8|A0A6P3R0Y8_PTEVA, tr|A0A6P6C4A5|A0A6P6C4A5_PTEVA
OG0000015	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A6P6C613|A0A6P6C613_PTEVA, tr|A0A6P3S5E9|A0A6P3S5E9_PTEVA, tr|A0A6P6C6G9|A0A6P6C6G9_PTEVA, tr|A0A6P6C6X2|A0A6P6C6X2_PTEVA, tr|A0A6P3RU75|A0A6P3RU75_PTEVA, tr|A0A6P6C674|A0A6P6C674_PTEVA, tr|A0A6P6C5X9|A0A6P6C5X9_PTEVA
OG0000015	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A6P3S0V6|A0A6P3S0V6_PTEVA
OG0000015	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A6P6C0W6|A0A6P6C0W6_PTEVA
OG0000017	sp|O95371|OR2C1_HUMAN	tr|A0A6P3R5J8|A0A6P3R5J8_PTEVA
OG0000017	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN	tr|A0A6P3RZ89|A0A6P3RZ89_PTEVA
OG0000017	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A6P3RS78|A0A6P3RS78_PTEVA
OG0000017	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|A0A6P3RND2|A0A6P3RND2_PTEVA
OG0000017	sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN	tr|A0A6P3QH79|A0A6P3QH79_PTEVA
OG0000017	sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|A0A6P3RLV7|A0A6P3RLV7_PTEVA
OG0000018	sp|Q9Y5F7|PCDGL_HUMAN	tr|A0A6P6CUR4|A0A6P6CUR4_PTEVA
OG0000018	sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN	tr|A0A6P6CTQ4|A0A6P6CTQ4_PTEVA
OG0000018	sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN	tr|A0A6P6CUW9|A0A6P6CUW9_PTEVA
OG0000018	sp|Q9UN70|PCDGK_HUMAN	tr|A0A6P6CTB7|A0A6P6CTB7_PTEVA
OG0000019	sp|Q8N141|ZFP82_HUMAN	tr|A0A6P3RMS1|A0A6P3RMS1_PTEVA
OG0000019	sp|Q8N9K5|ZN565_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q969W8|ZN566_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q14585|ZN345_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A6P6BRX1|A0A6P6BRX1_PTEVA
OG0000022	sp|Q8N127|O5AS1_HUMAN	tr|A0A6P3RMT9|A0A6P3RMT9_PTEVA, tr|A0A6P6C214|A0A6P6C214_PTEVA, tr|A0A6P6C286|A0A6P6C286_PTEVA, tr|A0A6P3RJX8|A0A6P3RJX8_PTEVA, tr|A0A6P3R940|A0A6P3R940_PTEVA, tr|A0A6P6C2G4|A0A6P6C2G4_PTEVA, tr|A0A6P3RX51|A0A6P3RX51_PTEVA, tr|A0A6P3RK98|A0A6P3RK98_PTEVA, tr|A0A6P3RWU8|A0A6P3RWU8_PTEVA, tr|A0A6P3RP05|A0A6P3RP05_PTEVA, tr|A0A6P3RHF5|A0A6P3RHF5_PTEVA, tr|A0A6P3S084|A0A6P3S084_PTEVA, tr|A0A6P3RJX4|A0A6P3RJX4_PTEVA, tr|A0A6P3RH92|A0A6P3RH92_PTEVA, tr|A0A6P3RA62|A0A6P3RA62_PTEVA, tr|A0A6P3RFV5|A0A6P3RFV5_PTEVA, tr|A0A6P3RKB7|A0A6P3RKB7_PTEVA, tr|A0A6P3RSQ2|A0A6P3RSQ2_PTEVA, tr|A0A6P6BZK9|A0A6P6BZK9_PTEVA, tr|A0A6P6C220|A0A6P6C220_PTEVA, tr|A0A6P3RFT6|A0A6P3RFT6_PTEVA, tr|A0A6P3RW74|A0A6P3RW74_PTEVA, tr|A0A6P3RPB3|A0A6P3RPB3_PTEVA
OG0000023	sp|Q8NGV5|O13D1_HUMAN	tr|A0A6P3QFN4|A0A6P3QFN4_PTEVA
OG0000023	sp|Q8NGT1|OR2K2_HUMAN	tr|A0A6P3RSZ5|A0A6P3RSZ5_PTEVA
OG0000023	sp|Q8NGS4|O13F1_HUMAN	tr|A0A6P3QFP3|A0A6P3QFP3_PTEVA
OG0000023	sp|Q8NGS7|O13C8_HUMAN	tr|A0A6P3R9L5|A0A6P3R9L5_PTEVA, tr|A0A6P3RH69|A0A6P3RH69_PTEVA, tr|A0A6P3RIU9|A0A6P3RIU9_PTEVA, tr|A0A6P3RET9|A0A6P3RET9_PTEVA, tr|A0A6P3RRV1|A0A6P3RRV1_PTEVA, tr|A0A6P3QR22|A0A6P3QR22_PTEVA, tr|A0A6P3RSL5|A0A6P3RSL5_PTEVA, tr|A0A6P3RR23|A0A6P3RR23_PTEVA, tr|A0A6P3RU14|A0A6P3RU14_PTEVA, tr|A0A6P3QHL8|A0A6P3QHL8_PTEVA, tr|A0A6P3QUA9|A0A6P3QUA9_PTEVA, tr|A0A6P3QDN7|A0A6P3QDN7_PTEVA, tr|A0A6P3QX67|A0A6P3QX67_PTEVA, tr|A0A6P3QI75|A0A6P3QI75_PTEVA, tr|A0A6P3QKD1|A0A6P3QKD1_PTEVA, tr|A0A6P3QHL0|A0A6P3QHL0_PTEVA, tr|A0A6P3QN90|A0A6P3QN90_PTEVA
OG0000026	sp|Q8NGE5|O10A7_HUMAN	tr|A0A6P3RQQ2|A0A6P3RQQ2_PTEVA
OG0000026	sp|Q8NH19|O10AG_HUMAN	tr|A0A6P3RH81|A0A6P3RH81_PTEVA, tr|A0A6P3RA20|A0A6P3RA20_PTEVA, tr|A0A6P3QL46|A0A6P3QL46_PTEVA, tr|A0A6P6C1B5|A0A6P6C1B5_PTEVA, tr|A0A6P3RTF7|A0A6P3RTF7_PTEVA, tr|A0A6P6C4H5|A0A6P6C4H5_PTEVA, tr|A0A6P6C248|A0A6P6C248_PTEVA, tr|A0A6P3RKN7|A0A6P3RKN7_PTEVA, tr|A0A6P3RTV3|A0A6P3RTV3_PTEVA, tr|A0A6P3RFV1|A0A6P3RFV1_PTEVA, tr|A0A6P3RPC3|A0A6P3RPC3_PTEVA, tr|A0A6P3RI63|A0A6P3RI63_PTEVA, tr|A0A6P3RW78|A0A6P3RW78_PTEVA, tr|A0A6P3RW81|A0A6P3RW81_PTEVA, tr|A0A6P3RFU2|A0A6P3RFU2_PTEVA, tr|A0A6P3RPB7|A0A6P3RPB7_PTEVA, tr|A0A6P6C6B2|A0A6P6C6B2_PTEVA, tr|A0A6P3RFU6|A0A6P3RFU6_PTEVA, tr|A0A6P3RFV0|A0A6P3RFV0_PTEVA, tr|A0A6P6C014|A0A6P6C014_PTEVA
OG0000027	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN	tr|A0A6P3QBH8|A0A6P3QBH8_PTEVA
OG0000028	sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|C9JVI0|U17LB_HUMAN	tr|A0A6P3RED9|A0A6P3RED9_PTEVA
OG0000030	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN	tr|A0A6P3RTU3|A0A6P3RTU3_PTEVA
OG0000032	sp|Q9H210|OR2D2_HUMAN	tr|A0A6P3RYF4|A0A6P3RYF4_PTEVA
OG0000032	sp|Q8NGH3|OR2D3_HUMAN	tr|A0A6P3QTK7|A0A6P3QTK7_PTEVA, tr|A0A6P3RR95|A0A6P3RR95_PTEVA, tr|A0A6P3R8P5|A0A6P3R8P5_PTEVA, tr|A0A6P3RMA8|A0A6P3RMA8_PTEVA, tr|A0A6P6CRP6|A0A6P6CRP6_PTEVA, tr|A0A6P3QEY5|A0A6P3QEY5_PTEVA, tr|A0A6P3S2Z5|A0A6P3S2Z5_PTEVA, tr|A0A6P3RXH0|A0A6P3RXH0_PTEVA, tr|A0A6P3QN30|A0A6P3QN30_PTEVA, tr|A0A6P3RR67|A0A6P3RR67_PTEVA, tr|A0A6P3QTV5|A0A6P3QTV5_PTEVA, tr|A0A6P3QKL3|A0A6P3QKL3_PTEVA, tr|A0A6P3RWY7|A0A6P3RWY7_PTEVA, tr|A0A6P3RXG3|A0A6P3RXG3_PTEVA, tr|A0A6P6C489|A0A6P6C489_PTEVA, tr|A0A6P6C4E9|A0A6P6C4E9_PTEVA, tr|A0A6P3R0F6|A0A6P3R0F6_PTEVA, tr|A0A6P3RMH8|A0A6P3RMH8_PTEVA, tr|A0A6P3RYE7|A0A6P3RYE7_PTEVA
OG0000033	sp|P52741|ZN134_HUMAN	tr|A0A6P6C107|A0A6P6C107_PTEVA, tr|A0A6P6D0Y2|A0A6P6D0Y2_PTEVA, tr|A0A6P3R917|A0A6P3R917_PTEVA, tr|A0A6P3S146|A0A6P3S146_PTEVA, tr|A0A6P3RL79|A0A6P3RL79_PTEVA, tr|A0A6P6C374|A0A6P6C374_PTEVA, tr|A0A6P6C2X1|A0A6P6C2X1_PTEVA, tr|A0A6P3RNT0|A0A6P3RNT0_PTEVA, tr|A0A6P6C2V9|A0A6P6C2V9_PTEVA, tr|A0A6P6C4A3|A0A6P6C4A3_PTEVA, tr|A0A6P6C0L1|A0A6P6C0L1_PTEVA, tr|A0A6P3RMT1|A0A6P3RMT1_PTEVA, tr|A0A6P3QUN7|A0A6P3QUN7_PTEVA, tr|A0A6P6C2X6|A0A6P6C2X6_PTEVA, tr|A0A6P6BTT3|A0A6P6BTT3_PTEVA, tr|A0A6P3RYG4|A0A6P3RYG4_PTEVA, tr|A0A6P3RYF7|A0A6P3RYF7_PTEVA, tr|A0A6P3RPT5|A0A6P3RPT5_PTEVA, tr|A0A6P3RB09|A0A6P3RB09_PTEVA, tr|A0A6P6C230|A0A6P6C230_PTEVA, tr|A0A6P3RB18|A0A6P3RB18_PTEVA
OG0000036	sp|P06731|CEAM5_HUMAN	tr|A0A6P3RGN6|A0A6P3RGN6_PTEVA
