Orthogroup	Homo_sapiens	Gorilla_gorilla_gorilla
OG0000003	sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN	tr|G3RKN4|G3RKN4_GORGO
OG0000004	sp|Q8N743|KI3L3_HUMAN	tr|G3S124|G3S124_GORGO
OG0000004	tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN	tr|G3QR48|G3QR48_GORGO
OG0000004	sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN	tr|G3RR32|G3RR32_GORGO
OG0000005	sp|A5A3E0|POTEF_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q9H9F9|ARP5_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN	tr|G3RPB0|G3RPB0_GORGO, tr|G3RGU1|G3RGU1_GORGO
OG0000005	sp|Q6S8J7|POTEA_HUMAN	tr|G3SHS9|G3SHS9_GORGO
OG0000006	sp|A0A0K0K1G6|TVBJ3_HUMAN	tr|A0A2I2YL07|A0A2I2YL07_GORGO
OG0000006	sp|A0A0K0K1A3|TVBJ1_HUMAN	tr|G3RXM4|G3RXM4_GORGO
OG0000006	sp|A0A075B6N4|TVBY1_HUMAN	tr|A0A2I2ZUA6|A0A2I2ZUA6_GORGO
OG0000006	sp|A0A5B6|TVB28_HUMAN	tr|A0A2I2YWW1|A0A2I2YWW1_GORGO
OG0000006	sp|A0A0K0K1C4|TVB27_HUMAN	tr|A0A2I2Z6D3|A0A2I2Z6D3_GORGO
OG0000006	sp|A0A075B6N1|TVB19_HUMAN	tr|A0A2I2Y6H0|A0A2I2Y6H0_GORGO
OG0000007	sp|Q9NZP2|OR6C2_HUMAN	tr|G3R2M7|G3R2M7_GORGO
OG0000007	sp|A6NCV1|O6C74_HUMAN	tr|A0A2I2ZER3|A0A2I2ZER3_GORGO
OG0000007	sp|Q8NGE2|O2AP1_HUMAN	tr|G3QVI9|G3QVI9_GORGO
OG0000007	sp|Q8NGE1|OR6C4_HUMAN	tr|G3QM76|G3QM76_GORGO
OG0000007	sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN	tr|A0A2I2YEJ5|A0A2I2YEJ5_GORGO
OG0000007	sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN	tr|G3S011|G3S011_GORGO
OG0000007	sp|Q96RD1|OR6C1_HUMAN	tr|G3RQ20|G3RQ20_GORGO
OG0000007	sp|Q9NZP0|OR6C3_HUMAN	tr|G3QYN6|G3QYN6_GORGO
OG0000007	sp|A6NL08|O6C75_HUMAN	tr|G3S4Y3|G3S4Y3_GORGO
OG0000008	sp|Q6ZNA1|ZN836_HUMAN	tr|G3RQT6|G3RQT6_GORGO
OG0000008	sp|Q6ZN19|ZN841_HUMAN	tr|G3QJL8|G3QJL8_GORGO
OG0000008	sp|Q08AN1|ZN616_HUMAN	tr|G3SAN7|G3SAN7_GORGO, tr|A0A2I2YL63|A0A2I2YL63_GORGO, tr|A0A2I2Y2A3|A0A2I2Y2A3_GORGO, tr|A0A2I2Z3D3|A0A2I2Z3D3_GORGO, tr|A0A2I2Y8J4|A0A2I2Y8J4_GORGO, tr|G3RG67|G3RG67_GORGO, tr|G3S7M3|G3S7M3_GORGO, tr|G3RYL1|G3RYL1_GORGO, tr|G3S741|G3S741_GORGO, tr|G3SG80|G3SG80_GORGO, tr|G3SF79|G3SF79_GORGO, tr|G3QWJ3|G3QWJ3_GORGO, tr|G3S113|G3S113_GORGO, tr|A0A2I2Z8Z0|A0A2I2Z8Z0_GORGO, tr|G3S1U0|G3S1U0_GORGO, tr|G3S3V5|G3S3V5_GORGO, tr|G3R6V7|G3R6V7_GORGO, tr|A0A2I2ZRB5|A0A2I2ZRB5_GORGO
OG0000009	sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN	tr|A0A2I2ZXP0|A0A2I2ZXP0_GORGO
OG0000011	sp|Q86YD7|F90A1_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A6NNH2|F90AR_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN	tr|G3RBI7|G3RBI7_GORGO
OG0000012	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN	tr|G3S4R9|G3S4R9_GORGO
OG0000014	sp|Q9Y3N9|OR2W1_HUMAN	tr|G3QLV5|G3QLV5_GORGO
OG0000014	sp|Q8N628|OR2C3_HUMAN	tr|G3SDU6|G3SDU6_GORGO
OG0000014	sp|O95371|OR2C1_HUMAN	tr|G3QZ29|G3QZ29_GORGO
OG0000014	sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN	tr|G3QL15|G3QL15_GORGO
OG0000014	sp|O76000|OR2B3_HUMAN	tr|G3QJA4|G3QJA4_GORGO
OG0000014	sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN	tr|A0A2I2Z3R1|A0A2I2Z3R1_GORGO
OG0000015	sp|Q8NH10|OR8U1_HUMAN	tr|G3RVZ1|G3RVZ1_GORGO
OG0000015	sp|Q8NGL3|OR5DE_HUMAN	tr|G3S9C0|G3S9C0_GORGO
OG0000015	sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN	tr|G3R122|G3R122_GORGO
OG0000015	sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN	tr|G3RU04|G3RU04_GORGO
OG0000017	sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN	tr|G3R5C5|G3R5C5_GORGO
OG0000017	sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN	tr|G3S4W0|G3S4W0_GORGO
OG0000018	sp|A4D2G3|O2A25_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN	tr|G3QJI2|G3QJI2_GORGO
OG0000018	sp|Q96R48|OR2A5_HUMAN	tr|G3SA70|G3SA70_GORGO
OG0000018	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|G3SKL8|G3SKL8_GORGO
OG0000018	sp|Q96R47|O2A14_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN	tr|G3R5W3|G3R5W3_GORGO
OG0000018	sp|Q8NGT7|O2A12_HUMAN	tr|G3RZV8|G3RZV8_GORGO
OG0000021	sp|P29322|EPHA8_HUMAN	tr|G3R3F9|G3R3F9_GORGO
OG0000021	sp|Q15375|EPHA7_HUMAN	tr|G3QUG2|G3QUG2_GORGO
OG0000021	sp|P29323|EPHB2_HUMAN	tr|G3QZ64|G3QZ64_GORGO
OG0000021	sp|P54762|EPHB1_HUMAN	tr|G3RE07|G3RE07_GORGO
OG0000021	sp|P54753|EPHB3_HUMAN	tr|A0A2I2YR65|A0A2I2YR65_GORGO
OG0000021	sp|P54764|EPHA4_HUMAN	tr|G3RFQ4|G3RFQ4_GORGO
OG0000021	sp|Q9UF33|EPHA6_HUMAN	tr|G3SKT8|G3SKT8_GORGO
OG0000021	sp|P29320|EPHA3_HUMAN	tr|G3RG43|G3RG43_GORGO
OG0000021	sp|P54756|EPHA5_HUMAN	tr|G3RK16|G3RK16_GORGO
OG0000022	sp|A0A0C4DH33|HV124_HUMAN	tr|A0A2I2YEU1|A0A2I2YEU1_GORGO
OG0000022	sp|P0DP01|HV108_HUMAN	tr|A0A2I2Z474|A0A2I2Z474_GORGO
OG0000022	sp|A0A0C4DH31|HV118_HUMAN	tr|G3SCH9|G3SCH9_GORGO
OG0000022	tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN	tr|A0A2I2ZW23|A0A2I2ZW23_GORGO, tr|A0A2I2ZP77|A0A2I2ZP77_GORGO, tr|A0A2I2Z0U8|A0A2I2Z0U8_GORGO, tr|A0A2I2YZ94|A0A2I2YZ94_GORGO
OG0000022	sp|P01743|HV146_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN	tr|G3RRT5|G3RRT5_GORGO
OG0000025	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN	tr|G3QL43|G3QL43_GORGO
OG0000026	sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN	tr|G3RNA1|G3RNA1_GORGO, tr|A0A2I2Z4L0|A0A2I2Z4L0_GORGO, tr|A0A2I2YPD8|A0A2I2YPD8_GORGO, tr|A0A2I2Y2L2|A0A2I2Y2L2_GORGO
OG0000026	sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN	tr|A0A2I2YGI8|A0A2I2YGI8_GORGO
OG0000026	sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN	tr|A0A2I2YWU9|A0A2I2YWU9_GORGO
OG0000029	sp|P00338|LDHA_HUMAN	tr|G3RGX1|G3RGX1_GORGO, tr|A0A2I2ZB50|A0A2I2ZB50_GORGO, tr|A0A2I2ZXA0|A0A2I2ZXA0_GORGO, tr|G3RPH6|G3RPH6_GORGO
OG0000029	sp|P07864|LDHC_HUMAN	tr|A0A2I2YN53|A0A2I2YN53_GORGO
OG0000029	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2I2Z7D8|A0A2I2Z7D8_GORGO
OG0000029	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2I2Y420|A0A2I2Y420_GORGO, tr|A0A2I2ZLD9|A0A2I2ZLD9_GORGO, tr|G3S7D5|G3S7D5_GORGO
OG0000029	sp|P07195|LDHB_HUMAN	tr|G3RI82|G3RI82_GORGO, tr|A0A2I2ZSE2|A0A2I2ZSE2_GORGO
OG0000030	sp|P06331|HV434_HUMAN	tr|A0A2I2ZVX8|A0A2I2ZVX8_GORGO
OG0000030	sp|P01825|HV459_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN, sp|P01824|HV439_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|A0A075B6R2|HV404_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN	tr|G3RQR5|G3RQR5_GORGO
OG0000031	sp|P0DN81|O13C7_HUMAN	tr|A0A2I2ZIM0|A0A2I2ZIM0_GORGO
OG0000031	sp|Q8NGT0|O13C9_HUMAN	tr|G3R849|G3R849_GORGO
OG0000031	sp|Q8NGS8|O13C5_HUMAN, sp|Q8NGS9|O13C2_HUMAN	tr|G3QI10|G3QI10_GORGO
OG0000031	sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGS6|O13C3_HUMAN	tr|A0A2I2ZES0|A0A2I2ZES0_GORGO
OG0000031	sp|Q8NGS7|O13C8_HUMAN	tr|G3RA96|G3RA96_GORGO
OG0000031	sp|Q9NQN1|OR2S1_HUMAN	tr|G3SAH8|G3SAH8_GORGO, tr|G3S7U9|G3S7U9_GORGO
OG0000032	sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|P0DW12|TFKL7_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN	tr|G3SH53|G3SH53_GORGO
OG0000032	sp|A0A1W2PPH5|TFLM_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN	tr|G3RXY3|G3RXY3_GORGO
OG0000036	sp|P51991|ROA3_HUMAN	tr|G3QTH6|G3QTH6_GORGO, tr|G3RS71|G3RS71_GORGO, tr|A0A2I2Z0G1|A0A2I2Z0G1_GORGO, tr|A0A2I2YCQ0|A0A2I2YCQ0_GORGO, tr|A0A2I2Y3J9|A0A2I2Y3J9_GORGO, tr|A0A2I2YSM4|A0A2I2YSM4_GORGO, tr|G3QKL5|G3QKL5_GORGO, tr|G3S4S6|G3S4S6_GORGO, tr|A0A2I2YII7|A0A2I2YII7_GORGO, tr|G3SDY6|G3SDY6_GORGO, tr|A0A2I2Y845|A0A2I2Y845_GORGO, tr|G3RS66|G3RS66_GORGO, tr|G3SHH2|G3SHH2_GORGO, tr|G3S2C4|G3S2C4_GORGO
OG0000037	sp|C9JN71|ZN878_HUMAN	tr|G3SB27|G3SB27_GORGO
OG0000037	sp|Q96I27|ZN625_HUMAN	tr|G3R7N2|G3R7N2_GORGO
OG0000037	sp|Q8N7K0|ZN433_HUMAN	tr|A0A2I2ZRB7|A0A2I2ZRB7_GORGO
OG0000037	sp|P17024|ZNF20_HUMAN	tr|A0A2I2YBB3|A0A2I2YBB3_GORGO
OG0000037	sp|Q7L945|ZN627_HUMAN	tr|G3SCR4|G3SCR4_GORGO
OG0000038	sp|Q9H344|O51I2_HUMAN	tr|G3QKI8|G3QKI8_GORGO
OG0000038	sp|Q8NH63|O51H1_HUMAN	tr|A0A2I2ZVS0|A0A2I2ZVS0_GORGO
OG0000038	sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN	tr|G3QUQ8|G3QUQ8_GORGO
OG0000038	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A2I2Z3D6|A0A2I2Z3D6_GORGO
OG0000039	sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN	tr|G3QQS8|G3QQS8_GORGO
OG0000040	sp|P60842|IF4A1_HUMAN	tr|G3SGA8|G3SGA8_GORGO
OG0000040	sp|Q14240|IF4A2_HUMAN	tr|G3S135|G3S135_GORGO, tr|A0A2I2YS32|A0A2I2YS32_GORGO, tr|A0A2I2ZD57|A0A2I2ZD57_GORGO, tr|A0A2I2Z7G4|A0A2I2Z7G4_GORGO, tr|A0A2I2Y5Z2|A0A2I2Y5Z2_GORGO, tr|A0A2I2YK56|A0A2I2YK56_GORGO, tr|A0A2I2YXD4|A0A2I2YXD4_GORGO, tr|A0A2I2Y6A5|A0A2I2Y6A5_GORGO, tr|A0A2I2YJN4|A0A2I2YJN4_GORGO, tr|A0A2I2YHK3|A0A2I2YHK3_GORGO, tr|G3QSU6|G3QSU6_GORGO
OG0000041	sp|Q3MIS6|ZN528_HUMAN	tr|A0A2I2ZCS0|A0A2I2ZCS0_GORGO
OG0000041	sp|Q76KX8|ZN534_HUMAN	tr|G3RN17|G3RN17_GORGO
OG0000041	sp|Q6PDB4|ZN880_HUMAN	tr|G3R6V5|G3R6V5_GORGO
OG0000041	sp|Q5HY98|ZN766_HUMAN	tr|G3QHB6|G3QHB6_GORGO
OG0000041	sp|P51522|ZNF83_HUMAN	tr|A0A2I2YJR1|A0A2I2YJR1_GORGO
OG0000041	sp|Q8N9Z0|ZN610_HUMAN	tr|G3QNV6|G3QNV6_GORGO
OG0000041	sp|Q8WV37|ZN480_HUMAN	tr|G3RYM3|G3RYM3_GORGO
OG0000043	sp|Q08477|CP4F3_HUMAN	tr|G3RBY3|G3RBY3_GORGO
OG0000043	sp|Q9HBI6|CP4FB_HUMAN	tr|G3SCM0|G3SCM0_GORGO
OG0000043	sp|Q9HCS2|CP4FC_HUMAN	tr|A0A2I2YMK8|A0A2I2YMK8_GORGO, tr|G3QL22|G3QL22_GORGO, tr|A0A2I2Z8X6|A0A2I2Z8X6_GORGO
OG0000043	sp|P78329|CP4F2_HUMAN	tr|G3SK33|G3SK33_GORGO
OG0000043	sp|Q6NT55|CP4FN_HUMAN	tr|A0A2I2Z4I2|A0A2I2Z4I2_GORGO, tr|G3R5Y1|G3R5Y1_GORGO
OG0000044	sp|P62937|PPIA_HUMAN	tr|G3S4I5|G3S4I5_GORGO, tr|G3SAV7|G3SAV7_GORGO, tr|A0A2I2ZQH5|A0A2I2ZQH5_GORGO, tr|A0A2I2Y468|A0A2I2Y468_GORGO, tr|G3SBV6|G3SBV6_GORGO, tr|A0A2I2YD52|A0A2I2YD52_GORGO, tr|G3S2K0|G3S2K0_GORGO, tr|A0A2I2YEP0|A0A2I2YEP0_GORGO, sp|Q0ZQL0|PPIA_GORGO, tr|G3S3W9|G3S3W9_GORGO, tr|G3R6A2|G3R6A2_GORGO, tr|A0A2I2Y914|A0A2I2Y914_GORGO, tr|G3RNP2|G3RNP2_GORGO
OG0000045	sp|P60372|KR104_HUMAN, sp|P60371|KR106_HUMAN, sp|P60413|KR10C_HUMAN, sp|P60409|KR107_HUMAN	tr|A0A2I2Z0K3|A0A2I2Z0K3_GORGO
OG0000045	sp|P60411|KR109_HUMAN, sp|P60412|KR10B_HUMAN, sp|P60369|KR103_HUMAN, sp|P60331|KR101_HUMAN, sp|P60370|KR105_HUMAN, sp|P60368|KR102_HUMAN, sp|P60014|KR10A_HUMAN	tr|G3S7J5|G3S7J5_GORGO, tr|G3RVW6|G3RVW6_GORGO
OG0000046	sp|Q8NGB8|O4F15_HUMAN	tr|A0A2I2YJ77|A0A2I2YJ77_GORGO
OG0000046	sp|Q8NGD4|OR4K1_HUMAN	tr|G3R0D4|G3R0D4_GORGO
OG0000046	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD3|OR4K5_HUMAN	tr|G3QD82|G3QD82_GORGO
OG0000048	sp|P63104|1433Z_HUMAN	tr|G3RS45|G3RS45_GORGO
OG0000048	sp|P31946|1433B_HUMAN	tr|G3QPJ3|G3QPJ3_GORGO
OG0000048	sp|P27348|1433T_HUMAN	tr|A0A2I2ZCQ5|A0A2I2ZCQ5_GORGO, tr|G3QGT3|G3QGT3_GORGO, tr|A0A2I2ZTI5|A0A2I2ZTI5_GORGO
OG0000049	sp|A0M8Q6|IGLC7_HUMAN, sp|P0CG04|IGLC1_HUMAN	tr|A0A2I2ZCM1|A0A2I2ZCM1_GORGO, tr|A0A2I2ZDZ5|A0A2I2ZDZ5_GORGO, tr|A0A2I2YH49|A0A2I2YH49_GORGO, tr|A0A2I2YKM9|A0A2I2YKM9_GORGO
OG0000049	sp|P0CF74|IGLC6_HUMAN	tr|A0A2I2ZLK8|A0A2I2ZLK8_GORGO
