Orthogroup	Homo_sapiens	Myotis_myotis
OG0000013	sp|Q969W8|ZN566_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A7J7R0D1|A0A7J7R0D1_MYOMY
OG0000013	sp|Q8NA42|ZN383_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q96NI8|ZN570_HUMAN	tr|A0A7J7SE50|A0A7J7SE50_MYOMY
OG0000013	sp|Q6PG37|ZN790_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|A6NDX5|ZN840_HUMAN, sp|Q14585|ZN345_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN, sp|Q8N141|ZFP82_HUMAN	tr|A0A7J7SCN5|A0A7J7SCN5_MYOMY
OG0000015	sp|O15480|MAGB3_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN, sp|O15479|MAGB2_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q9HCI5|MAGE1_HUMAN, sp|Q8TD90|MAGE2_HUMAN, sp|Q9HAY2|MAGF1_HUMAN, sp|Q96MG7|NSE3_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|P43363|MAGAA_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43359|MAGA5_HUMAN	tr|A0A7J7YE96|A0A7J7YE96_MYOMY
OG0000016	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN	tr|A0A7J7UP93|A0A7J7UP93_MYOMY
OG0000017	sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN	tr|A0A7J7R0B3|A0A7J7R0B3_MYOMY
OG0000017	sp|Q6P9A3|ZN549_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q68DY9|ZN772_HUMAN	tr|A0A7J7R0X2|A0A7J7R0X2_MYOMY
OG0000022	sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01701|LV151_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN	tr|A0A7J7QT34|A0A7J7QT34_MYOMY
OG0000025	sp|Q9H9J4|UBP42_HUMAN	tr|A0A7J7XLK8|A0A7J7XLK8_MYOMY
OG0000025	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A7J7TA63|A0A7J7TA63_MYOMY
