Orthogroup	Homo_sapiens	Diceros_bicornis_minor
OG0000000	sp|B4DU55|ZN879_HUMAN	tr|A0A7J7EPT5|A0A7J7EPT5_DICBM, tr|A0A7J7FM20|A0A7J7FM20_DICBM, tr|A0A7J7EXQ1|A0A7J7EXQ1_DICBM, tr|A0A7J7EXZ1|A0A7J7EXZ1_DICBM, tr|A0A7J7EYG8|A0A7J7EYG8_DICBM
OG0000000	sp|P10072|ZN875_HUMAN	tr|A0A7J7E9M3|A0A7J7E9M3_DICBM, tr|A0A7J7F8I2|A0A7J7F8I2_DICBM
OG0000000	sp|Q5HYK9|ZN667_HUMAN	tr|A0A7J7F243|A0A7J7F243_DICBM, tr|A0A7J7EUN4|A0A7J7EUN4_DICBM, tr|A0A7J7EXP3|A0A7J7EXP3_DICBM, tr|A0A7J7FNS7|A0A7J7FNS7_DICBM
OG0000000	sp|Q9BSG1|ZNF2_HUMAN	tr|A0A7J7FDK8|A0A7J7FDK8_DICBM
OG0000000	sp|Q9BRH9|ZN251_HUMAN	tr|A0A7J7F1Y7|A0A7J7F1Y7_DICBM
OG0000000	sp|P17097|ZNF7_HUMAN	tr|A0A7J7F1W5|A0A7J7F1W5_DICBM
OG0000000	sp|Q8IVC4|ZN584_HUMAN	tr|A0A7J7F300|A0A7J7F300_DICBM, tr|A0A7J7F222|A0A7J7F222_DICBM, tr|A0A7J7F269|A0A7J7F269_DICBM, tr|A0A7J7FN27|A0A7J7FN27_DICBM
OG0000000	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A7J7F7X4|A0A7J7F7X4_DICBM
OG0000000	sp|Q8TAF7|ZN461_HUMAN	tr|A0A7J7F8N3|A0A7J7F8N3_DICBM
OG0000000	sp|Q86YE8|ZN573_HUMAN	tr|A0A7J7E8G8|A0A7J7E8G8_DICBM, tr|A0A7J7FFE0|A0A7J7FFE0_DICBM, tr|A0A7J7F8P6|A0A7J7F8P6_DICBM, tr|A0A7J7FEJ0|A0A7J7FEJ0_DICBM
OG0000000	sp|Q9UJW7|ZN229_HUMAN	tr|A0A7J7F0S0|A0A7J7F0S0_DICBM, tr|A0A7J7F002|A0A7J7F002_DICBM, tr|A0A7J7EZU6|A0A7J7EZU6_DICBM
OG0000000	sp|Q8NHY6|ZFP28_HUMAN	tr|A0A7J7FNG7|A0A7J7FNG7_DICBM
OG0000000	sp|Q6ECI4|ZN470_HUMAN	tr|A0A7J7FPD5|A0A7J7FPD5_DICBM
OG0000000	sp|Q9BX82|ZN471_HUMAN	tr|A0A7J7FN75|A0A7J7FN75_DICBM
OG0000000	sp|Q96ND8|ZN583_HUMAN	tr|A0A7J7FN83|A0A7J7FN83_DICBM
OG0000000	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|A0A7J7EI68|A0A7J7EI68_DICBM, tr|A0A7J7F8L9|A0A7J7F8L9_DICBM, tr|A0A7J7ESP5|A0A7J7ESP5_DICBM, tr|A0A7J7F8S6|A0A7J7F8S6_DICBM, tr|A0A7J7F9I8|A0A7J7F9I8_DICBM, tr|A0A7J7F8E0|A0A7J7F8E0_DICBM
OG0000000	sp|Q86XU0|ZN677_HUMAN	tr|A0A7J7F8D0|A0A7J7F8D0_DICBM, tr|A0A7J7F8J0|A0A7J7F8J0_DICBM, tr|A0A7J7EN73|A0A7J7EN73_DICBM, tr|A0A7J7EMX4|A0A7J7EMX4_DICBM, tr|A0A7J7EMN4|A0A7J7EMN4_DICBM, tr|A0A7J7ENN1|A0A7J7ENN1_DICBM, tr|A0A7J7EMY1|A0A7J7EMY1_DICBM, tr|A0A7J7EN56|A0A7J7EN56_DICBM, tr|A0A7J7EMM2|A0A7J7EMM2_DICBM
OG0000000	sp|Q9NQX6|ZN331_HUMAN	tr|A0A7J7EMQ7|A0A7J7EMQ7_DICBM, tr|A0A7J7EN23|A0A7J7EN23_DICBM, tr|A0A7J7FEP2|A0A7J7FEP2_DICBM, tr|A0A7J7EZZ3|A0A7J7EZZ3_DICBM, tr|A0A7J7EZU9|A0A7J7EZU9_DICBM, tr|A0A7J7EMP6|A0A7J7EMP6_DICBM
OG0000001	sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|O95222|OR6A2_HUMAN, sp|Q6IFH4|OR6B2_HUMAN, sp|Q8NGW1|OR6B3_HUMAN, sp|Q8NGX9|OR6P1_HUMAN, sp|Q8NGX8|OR6Y1_HUMAN, sp|O95007|OR6B1_HUMAN, sp|Q8NGQ2|OR6Q1_HUMAN, sp|Q8NGX0|O11L1_HUMAN, sp|Q8NGC8|O11H7_HUMAN, sp|Q8NGC9|O11H4_HUMAN, sp|Q8NGC7|O11H6_HUMAN, sp|B2RN74|O11HC_HUMAN, sp|Q8NG94|O11H1_HUMAN, sp|Q8NH07|O11H2_HUMAN, sp|Q8NGC1|O11G2_HUMAN, sp|Q9GZK7|O11A1_HUMAN, sp|Q8NGY6|OR6N2_HUMAN, sp|Q8NGW6|OR6K6_HUMAN, sp|Q8NGY3|OR6K3_HUMAN, sp|Q8NGY2|OR6K2_HUMAN, sp|Q8NGY5|OR6N1_HUMAN, sp|Q8NH09|OR8S1_HUMAN, tr|A0A2R8YED5|A0A2R8YED5_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|P58182|O12D2_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47883|OR3A4_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGE7|OR9K2_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8WZ92|OR5P2_HUMAN, sp|Q8WZ94|OR5P3_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN	tr|A0A7J7FHL3|A0A7J7FHL3_DICBM
OG0000002	sp|Q8NGK2|O52B4_HUMAN	tr|A0A7J7ESG8|A0A7J7ESG8_DICBM
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A7J7EV36|A0A7J7EV36_DICBM
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A7J7ESE1|A0A7J7ESE1_DICBM, tr|A0A7J7ESJ3|A0A7J7ESJ3_DICBM, tr|A0A7J7ES82|A0A7J7ES82_DICBM, tr|A0A7J7ESR9|A0A7J7ESR9_DICBM
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A7J7ES69|A0A7J7ES69_DICBM
OG0000002	sp|Q8NGJ9|O51T1_HUMAN	tr|A0A7J7ESS8|A0A7J7ESS8_DICBM
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A7J7ES40|A0A7J7ES40_DICBM, tr|A0A7J7ET65|A0A7J7ET65_DICBM
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A7J7ESN4|A0A7J7ESN4_DICBM, tr|A0A7J7ESP4|A0A7J7ESP4_DICBM
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A7J7ES59|A0A7J7ES59_DICBM, tr|A0A7J7ESI1|A0A7J7ESI1_DICBM
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A7J7F372|A0A7J7F372_DICBM, tr|A0A7J7F274|A0A7J7F274_DICBM, tr|A0A7J7ETA0|A0A7J7ETA0_DICBM
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A7J7ESX9|A0A7J7ESX9_DICBM
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A7J7ESB2|A0A7J7ESB2_DICBM, tr|A0A7J7ESN2|A0A7J7ESN2_DICBM
OG0000002	sp|Q8NGK5|O52M1_HUMAN	tr|A0A7J7ES71|A0A7J7ES71_DICBM, tr|A0A7J7F2V7|A0A7J7F2V7_DICBM, tr|A0A7J7F249|A0A7J7F249_DICBM, tr|A0A7J7ESH2|A0A7J7ESH2_DICBM, tr|A0A7J7ESL5|A0A7J7ESL5_DICBM, tr|A0A7J7F234|A0A7J7F234_DICBM, tr|A0A7J7F2A6|A0A7J7F2A6_DICBM, tr|A0A7J7ESH0|A0A7J7ESH0_DICBM, tr|A0A7J7ES57|A0A7J7ES57_DICBM, tr|A0A7J7ES60|A0A7J7ES60_DICBM
OG0000006	sp|P52740|ZN132_HUMAN	tr|A0A7J7FNB4|A0A7J7FNB4_DICBM
OG0000006	sp|Q7Z340|ZN551_HUMAN	tr|A0A7J7F095|A0A7J7F095_DICBM, tr|A0A7J7FPF8|A0A7J7FPF8_DICBM, tr|A0A7J7F0H6|A0A7J7F0H6_DICBM, tr|A0A7J7F0Q3|A0A7J7F0Q3_DICBM
OG0000006	sp|Q6P9A1|ZN530_HUMAN	tr|A0A7J7FNQ1|A0A7J7FNQ1_DICBM, tr|A0A7J7FNH7|A0A7J7FNH7_DICBM, tr|A0A7J7FN79|A0A7J7FN79_DICBM
OG0000006	sp|Q6P9A3|ZN549_HUMAN	tr|A0A7J7FNN7|A0A7J7FNN7_DICBM, tr|A0A7J7FNI7|A0A7J7FNI7_DICBM, tr|A0A7J7FN86|A0A7J7FN86_DICBM, tr|A0A7J7FPA2|A0A7J7FPA2_DICBM, tr|A0A7J7FNF0|A0A7J7FNF0_DICBM
OG0000006	sp|Q13398|ZN211_HUMAN	tr|A0A7J7FN39|A0A7J7FN39_DICBM, tr|A0A7J7FN45|A0A7J7FN45_DICBM, tr|A0A7J7FN64|A0A7J7FN64_DICBM, tr|A0A7J7FPC8|A0A7J7FPC8_DICBM, tr|A0A7J7FP75|A0A7J7FP75_DICBM, tr|A0A7J7FN25|A0A7J7FN25_DICBM, tr|A0A7J7FP62|A0A7J7FP62_DICBM, tr|A0A7J7FN19|A0A7J7FN19_DICBM, tr|A0A7J7FN48|A0A7J7FN48_DICBM, tr|A0A7J7FN29|A0A7J7FN29_DICBM, tr|A0A7J7FN50|A0A7J7FN50_DICBM, tr|A0A7J7FNF3|A0A7J7FNF3_DICBM, tr|A0A7J7FNE1|A0A7J7FNE1_DICBM, tr|A0A7J7FNM7|A0A7J7FNM7_DICBM
OG0000006	sp|Q8IVP9|ZN547_HUMAN	tr|A0A7J7FN73|A0A7J7FN73_DICBM, tr|A0A7J7FN55|A0A7J7FN55_DICBM, tr|A0A7J7FN82|A0A7J7FN82_DICBM
OG0000007	sp|Q16880|CGT_HUMAN	tr|A0A7J7F7Y1|A0A7J7F7Y1_DICBM, tr|A0A7J7F722|A0A7J7F722_DICBM, tr|A0A7J7FFJ3|A0A7J7FFJ3_DICBM, tr|A0A7J7FFL8|A0A7J7FFL8_DICBM, tr|A0A7J7FFG4|A0A7J7FFG4_DICBM, tr|A0A7J7FGG5|A0A7J7FGG5_DICBM, tr|A0A7J7FND4|A0A7J7FND4_DICBM, tr|A0A7J7FFS7|A0A7J7FFS7_DICBM, tr|A0A7J7FGI9|A0A7J7FGI9_DICBM, tr|A0A7J7FFQ5|A0A7J7FFQ5_DICBM, tr|A0A7J7FFH1|A0A7J7FFH1_DICBM, tr|A0A7J7FFN7|A0A7J7FFN7_DICBM, tr|A0A7J7FFV7|A0A7J7FFV7_DICBM, tr|A0A7J7FFJ2|A0A7J7FFJ2_DICBM, tr|A0A7J7FFG9|A0A7J7FFG9_DICBM, tr|A0A7J7FFV2|A0A7J7FFV2_DICBM, tr|A0A7J7FGN8|A0A7J7FGN8_DICBM, tr|A0A7J7FFH5|A0A7J7FFH5_DICBM, tr|A0A7J7FGM8|A0A7J7FGM8_DICBM, tr|A0A7J7FFK4|A0A7J7FFK4_DICBM, tr|A0A7J7FFS2|A0A7J7FFS2_DICBM, tr|A0A7J7FGE0|A0A7J7FGE0_DICBM, tr|A0A7J7FGJ8|A0A7J7FGJ8_DICBM, tr|A0A7J7FFR2|A0A7J7FFR2_DICBM, tr|A0A7J7FFP8|A0A7J7FFP8_DICBM, tr|A0A7J7FFP7|A0A7J7FFP7_DICBM, tr|A0A7J7FFK1|A0A7J7FFK1_DICBM, tr|A0A7J7FFL3|A0A7J7FFL3_DICBM, tr|A0A7J7FFQ8|A0A7J7FFQ8_DICBM, tr|A0A7J7FFF3|A0A7J7FFF3_DICBM, tr|A0A7J7EMD1|A0A7J7EMD1_DICBM, tr|A0A7J7FGL8|A0A7J7FGL8_DICBM, tr|A0A7J7FFN8|A0A7J7FFN8_DICBM, tr|A0A7J7FFY5|A0A7J7FFY5_DICBM, tr|A0A7J7FFI2|A0A7J7FFI2_DICBM, tr|A0A7J7FFI4|A0A7J7FFI4_DICBM, tr|A0A7J7FGK7|A0A7J7FGK7_DICBM, tr|A0A7J7FFM7|A0A7J7FFM7_DICBM, tr|A0A7J7FFM0|A0A7J7FFM0_DICBM, tr|A0A7J7FFJ1|A0A7J7FFJ1_DICBM, tr|A0A7J7FFR8|A0A7J7FFR8_DICBM, tr|A0A7J7FFW7|A0A7J7FFW7_DICBM, tr|A0A7J7FFU7|A0A7J7FFU7_DICBM, tr|A0A7J7FFE2|A0A7J7FFE2_DICBM, tr|A0A7J7FFF9|A0A7J7FFF9_DICBM, tr|A0A7J7FGI0|A0A7J7FGI0_DICBM, tr|A0A7J7FFX7|A0A7J7FFX7_DICBM, tr|A0A7J7FFK0|A0A7J7FFK0_DICBM, tr|A0A7J7FFL0|A0A7J7FFL0_DICBM, tr|A0A7J7FFU2|A0A7J7FFU2_DICBM, tr|A0A7J7FFI5|A0A7J7FFI5_DICBM
OG0000008	sp|A6NI73|LIRA5_HUMAN	tr|A0A7J7EMX9|A0A7J7EMX9_DICBM, tr|A0A7J7EMQ8|A0A7J7EMQ8_DICBM, tr|A0A7J7EMP2|A0A7J7EMP2_DICBM, tr|A0A7J7EMH8|A0A7J7EMH8_DICBM, tr|A0A7J7EMV8|A0A7J7EMV8_DICBM, tr|A0A7J7EMG3|A0A7J7EMG3_DICBM, tr|A0A7J7ENF9|A0A7J7ENF9_DICBM, tr|A0A7J7END8|A0A7J7END8_DICBM, tr|A0A7J7EMC4|A0A7J7EMC4_DICBM, tr|A0A7J7EMK6|A0A7J7EMK6_DICBM, tr|A0A7J7EMH6|A0A7J7EMH6_DICBM, tr|A0A7J7EMX5|A0A7J7EMX5_DICBM, tr|A0A7J7EMU3|A0A7J7EMU3_DICBM, tr|A0A7J7EMH2|A0A7J7EMH2_DICBM, tr|A0A7J7EMN1|A0A7J7EMN1_DICBM, tr|A0A7J7EMG5|A0A7J7EMG5_DICBM, tr|A0A7J7EMG6|A0A7J7EMG6_DICBM, tr|A0A7J7FIR9|A0A7J7FIR9_DICBM, tr|A0A7J7ENB3|A0A7J7ENB3_DICBM, tr|A0A7J7EME7|A0A7J7EME7_DICBM, tr|A0A7J7EMV0|A0A7J7EMV0_DICBM, tr|A0A7J7EMI6|A0A7J7EMI6_DICBM, tr|A0A7J7EME3|A0A7J7EME3_DICBM, tr|A0A7J7EMN7|A0A7J7EMN7_DICBM, tr|A0A7J7EMR6|A0A7J7EMR6_DICBM, tr|A0A7J7EMI2|A0A7J7EMI2_DICBM, tr|A0A7J7FJ15|A0A7J7FJ15_DICBM, tr|A0A7J7EFB0|A0A7J7EFB0_DICBM, tr|A0A7J7ENH8|A0A7J7ENH8_DICBM, tr|A0A7J7ENG9|A0A7J7ENG9_DICBM, tr|A0A7J7EML7|A0A7J7EML7_DICBM, tr|A0A7J7EMM9|A0A7J7EMM9_DICBM, tr|A0A7J7EMC2|A0A7J7EMC2_DICBM, tr|A0A7J7EMI4|A0A7J7EMI4_DICBM, tr|A0A7J7EMN9|A0A7J7EMN9_DICBM, tr|A0A7J7EN00|A0A7J7EN00_DICBM, tr|A0A7J7EML8|A0A7J7EML8_DICBM, tr|A0A7J7EMQ1|A0A7J7EMQ1_DICBM, tr|A0A7J7EMC5|A0A7J7EMC5_DICBM, tr|A0A7J7EMP7|A0A7J7EMP7_DICBM, tr|A0A7J7EMY7|A0A7J7EMY7_DICBM, tr|A0A7J7EML0|A0A7J7EML0_DICBM, tr|A0A7J7EMI7|A0A7J7EMI7_DICBM, tr|A0A7J7EMT5|A0A7J7EMT5_DICBM, tr|A0A7J7EMH1|A0A7J7EMH1_DICBM, tr|A0A7J7EMG8|A0A7J7EMG8_DICBM, tr|A0A7J7EME8|A0A7J7EME8_DICBM, tr|A0A7J7EMM0|A0A7J7EMM0_DICBM, tr|A0A7J7ENA5|A0A7J7ENA5_DICBM, tr|A0A7J7EMF6|A0A7J7EMF6_DICBM
OG0000009	sp|P51857|AK1D1_HUMAN	tr|A0A7J7EG02|A0A7J7EG02_DICBM
OG0000009	sp|Q5T2L2|AKCL1_HUMAN	tr|A0A7J7FLX0|A0A7J7FLX0_DICBM, tr|A0A7J7FKR6|A0A7J7FKR6_DICBM, tr|A0A7J7FKQ3|A0A7J7FKQ3_DICBM, tr|A0A7J7FKS0|A0A7J7FKS0_DICBM, tr|A0A7J7FKP3|A0A7J7FKP3_DICBM, tr|A0A7J7FL57|A0A7J7FL57_DICBM, tr|A0A7J7FKP2|A0A7J7FKP2_DICBM, tr|A0A7J7FLR5|A0A7J7FLR5_DICBM, tr|A0A7J7FIX1|A0A7J7FIX1_DICBM, tr|A0A7J7FIT2|A0A7J7FIT2_DICBM, tr|A0A7J7FKS1|A0A7J7FKS1_DICBM, tr|A0A7J7FLZ3|A0A7J7FLZ3_DICBM, tr|A0A7J7FKQ5|A0A7J7FKQ5_DICBM, tr|A0A7J7FIT3|A0A7J7FIT3_DICBM, tr|A0A7J7FJ54|A0A7J7FJ54_DICBM, tr|A0A7J7FKQ1|A0A7J7FKQ1_DICBM, tr|A0A7J7FL26|A0A7J7FL26_DICBM, tr|A0A7J7FJ42|A0A7J7FJ42_DICBM, tr|A0A7J7FKR4|A0A7J7FKR4_DICBM, tr|A0A7J7FLS5|A0A7J7FLS5_DICBM, tr|A0A7J7FL17|A0A7J7FL17_DICBM, tr|A0A7J7FKN6|A0A7J7FKN6_DICBM, tr|A0A7J7FIX0|A0A7J7FIX0_DICBM, tr|A0A7J7FKS7|A0A7J7FKS7_DICBM, tr|A0A7J7FIV3|A0A7J7FIV3_DICBM, tr|A0A7J7FJC7|A0A7J7FJC7_DICBM, tr|A0A7J7FKY9|A0A7J7FKY9_DICBM, tr|A0A7J7FIU3|A0A7J7FIU3_DICBM, tr|A0A7J7FKX8|A0A7J7FKX8_DICBM, tr|A0A7J7FJY9|A0A7J7FJY9_DICBM, tr|A0A7J7FLT5|A0A7J7FLT5_DICBM, tr|A0A7J7FK06|A0A7J7FK06_DICBM, tr|A0A7J7FIW2|A0A7J7FIW2_DICBM, tr|A0A7J7FJZ8|A0A7J7FJZ8_DICBM, tr|A0A7J7FIS5|A0A7J7FIS5_DICBM, tr|A0A7J7FL80|A0A7J7FL80_DICBM, tr|A0A7J7FL67|A0A7J7FL67_DICBM, tr|A0A7J7FKT1|A0A7J7FKT1_DICBM, tr|A0A7J7FJ33|A0A7J7FJ33_DICBM, tr|A0A7J7FIV9|A0A7J7FIV9_DICBM, tr|A0A7J7FIS1|A0A7J7FIS1_DICBM, tr|A0A7J7FLY2|A0A7J7FLY2_DICBM, tr|A0A7J7FKZ9|A0A7J7FKZ9_DICBM, tr|A0A7J7FJ67|A0A7J7FJ67_DICBM, tr|A0A7J7FKQ6|A0A7J7FKQ6_DICBM, tr|A0A7J7FKN2|A0A7J7FKN2_DICBM, tr|A0A7J7FJB7|A0A7J7FJB7_DICBM, tr|A0A7J7FKR5|A0A7J7FKR5_DICBM
