Orthogroup	Homo_sapiens	Octodon_degus
OG0000005	sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|A0A0A0MS01|TVG10_HUMAN, sp|A0A075B6L2|TVG11_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P01715|LV301_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01721|LV657_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|P01701|LV151_HUMAN	tr|A0A6P6DPR1|A0A6P6DPR1_OCTDE
OG0000007	sp|Q96RC9|OR8B4_HUMAN	tr|A0A6P3VDM1|A0A6P3VDM1_OCTDE
OG0000007	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A6P3VCC8|A0A6P3VCC8_OCTDE, tr|A0A6P3V929|A0A6P3V929_OCTDE, tr|A0A6P3FFV9|A0A6P3FFV9_OCTDE
OG0000007	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A6P3F172|A0A6P3F172_OCTDE, tr|A0A6P3VCE2|A0A6P3VCE2_OCTDE
OG0000010	sp|Q96NG8|ZN582_HUMAN	tr|A0A6P6DW41|A0A6P6DW41_OCTDE
OG0000010	sp|P52738|ZN140_HUMAN	tr|A0A6P3VBM5|A0A6P3VBM5_OCTDE
OG0000010	sp|Q9BX82|ZN471_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q8NB42|ZN527_HUMAN	tr|A0A6P6EZ28|A0A6P6EZ28_OCTDE
OG0000010	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A6P3VAI2|A0A6P3VAI2_OCTDE
OG0000010	sp|Q8N141|ZFP82_HUMAN	tr|A0A6P3VBU9|A0A6P3VBU9_OCTDE
OG0000010	sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN	tr|A0A6P6DVP2|A0A6P6DVP2_OCTDE
OG0000013	sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN	tr|A0A6P3V8Y6|A0A6P3V8Y6_OCTDE
OG0000013	sp|O43869|OR2T1_HUMAN	tr|A0A6P3F8Q3|A0A6P3F8Q3_OCTDE
OG0000013	sp|Q8NHC8|OR2T6_HUMAN	tr|A0A6P3FXI4|A0A6P3FXI4_OCTDE
OG0000013	sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN	tr|A0A6P3VDI3|A0A6P3VDI3_OCTDE
OG0000013	sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN	tr|A0A6P3FMF0|A0A6P3FMF0_OCTDE
OG0000013	sp|Q8NH01|O2T11_HUMAN	tr|A0A6P3F8B0|A0A6P3F8B0_OCTDE
OG0000013	sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN	tr|A0A6P3F6Z1|A0A6P3F6Z1_OCTDE, tr|A0A6P3VCY3|A0A6P3VCY3_OCTDE
OG0000013	sp|A6NH00|OR2T8_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN	tr|A0A6P3FMF6|A0A6P3FMF6_OCTDE
OG0000015	sp|Q9NZP2|OR6C2_HUMAN	tr|A0A6P3FW52|A0A6P3FW52_OCTDE
OG0000015	sp|A6NDL8|O6C68_HUMAN	tr|A0A6P3FLX2|A0A6P3FLX2_OCTDE, tr|A0A6P3FZS3|A0A6P3FZS3_OCTDE, tr|A0A6P3V8W5|A0A6P3V8W5_OCTDE, tr|A0A6P3FW43|A0A6P3FW43_OCTDE, tr|A0A6P3FW48|A0A6P3FW48_OCTDE, tr|A0A6P3FJ13|A0A6P3FJ13_OCTDE, tr|A0A6P6DVS1|A0A6P6DVS1_OCTDE, tr|A0A6P3V990|A0A6P3V990_OCTDE, tr|A0A6P3FMR6|A0A6P3FMR6_OCTDE, tr|A0A6P3V957|A0A6P3V957_OCTDE, tr|A0A6P3FGS8|A0A6P3FGS8_OCTDE, tr|A0A6P3FI23|A0A6P3FI23_OCTDE, tr|A0A6P3FLV7|A0A6P3FLV7_OCTDE, tr|A0A6P3V8K2|A0A6P3V8K2_OCTDE, tr|A0A6P3FZR6|A0A6P3FZR6_OCTDE, tr|A0A6P3FLW2|A0A6P3FLW2_OCTDE, tr|A0A6P3FW57|A0A6P3FW57_OCTDE, tr|A0A6P3V8V9|A0A6P3V8V9_OCTDE, tr|A0A6P3FJ19|A0A6P3FJ19_OCTDE, tr|A0A6P3FXY0|A0A6P3FXY0_OCTDE, tr|A0A6P3FJ11|A0A6P3FJ11_OCTDE, tr|A0A6P3V939|A0A6P3V939_OCTDE, tr|A0A6P3V9H1|A0A6P3V9H1_OCTDE, tr|A0A6P3FZS1|A0A6P3FZS1_OCTDE, tr|A0A6P3FYJ2|A0A6P3FYJ2_OCTDE, tr|A0A6P6DW17|A0A6P6DW17_OCTDE, tr|A0A6P3FLW7|A0A6P3FLW7_OCTDE, tr|A0A6P3FJ17|A0A6P3FJ17_OCTDE, tr|A0A6P3FYI6|A0A6P3FYI6_OCTDE
OG0000017	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN	tr|A0A6P6D844|A0A6P6D844_OCTDE
OG0000018	sp|Q8NEK5|ZN548_HUMAN	tr|A0A6P3V8Y3|A0A6P3V8Y3_OCTDE
OG0000018	sp|Q9HCX3|ZN304_HUMAN	tr|A0A6P6DWC6|A0A6P6DWC6_OCTDE
OG0000018	sp|Q6P9A3|ZN549_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q8IVC4|ZN584_HUMAN	tr|A0A6P6DUW6|A0A6P6DUW6_OCTDE
OG0000020	sp|Q8NGX9|OR6P1_HUMAN	tr|A0A6P3FHV2|A0A6P3FHV2_OCTDE
OG0000020	sp|Q8NGQ2|OR6Q1_HUMAN	tr|A0A6P3FUU3|A0A6P3FUU3_OCTDE
OG0000020	sp|Q8NGY6|OR6N2_HUMAN	tr|A0A6P3F6V1|A0A6P3F6V1_OCTDE
OG0000020	sp|Q8NGY5|OR6N1_HUMAN	tr|A0A6P3FKY6|A0A6P3FKY6_OCTDE
OG0000020	sp|Q8NGZ6|OR6F1_HUMAN	tr|A0A6P3FX27|A0A6P3FX27_OCTDE, tr|A0A6P3FWA6|A0A6P3FWA6_OCTDE, tr|A0A6P3FM22|A0A6P3FM22_OCTDE, tr|A0A6P3FYP7|A0A6P3FYP7_OCTDE, tr|A0A6P3FZY5|A0A6P3FZY5_OCTDE, tr|A0A6P3FM28|A0A6P3FM28_OCTDE, tr|A0A6P3FJ65|A0A6P3FJ65_OCTDE, tr|A0A6P3EX47|A0A6P3EX47_OCTDE, tr|A0A6P3V8X4|A0A6P3V8X4_OCTDE
OG0000020	sp|O95007|OR6B1_HUMAN	tr|A0A6P3EU20|A0A6P3EU20_OCTDE, tr|A0A6P3VAP8|A0A6P3VAP8_OCTDE
OG0000022	sp|Q96LZ2|MAGBA_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|O15481|MAGB4_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15479|MAGB2_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43363|MAGAA_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN	tr|A0A6P3ETP7|A0A6P3ETP7_OCTDE
OG0000024	sp|Q9H210|OR2D2_HUMAN	tr|A0A6P3FII9|A0A6P3FII9_OCTDE
OG0000024	sp|Q8NGH3|OR2D3_HUMAN	tr|A0A6P3F042|A0A6P3F042_OCTDE, tr|A0A6P3VAH1|A0A6P3VAH1_OCTDE, tr|A0A6P3EQN0|A0A6P3EQN0_OCTDE, tr|A0A6P3F488|A0A6P3F488_OCTDE, tr|A0A6P3FV15|A0A6P3FV15_OCTDE, tr|A0A6P3FV69|A0A6P3FV69_OCTDE, tr|A0A6P3FI48|A0A6P3FI48_OCTDE, tr|A0A6P3FHJ9|A0A6P3FHJ9_OCTDE, tr|A0A6P3FXM5|A0A6P3FXM5_OCTDE, tr|A0A6P3FZA7|A0A6P3FZA7_OCTDE, tr|A0A6P3FI69|A0A6P3FI69_OCTDE, tr|A0A6P3F037|A0A6P3F037_OCTDE, tr|A0A6P3VAJ4|A0A6P3VAJ4_OCTDE, tr|A0A6P3EZZ6|A0A6P3EZZ6_OCTDE, tr|A0A6P3EP75|A0A6P3EP75_OCTDE, tr|A0A6P3F2R7|A0A6P3F2R7_OCTDE, tr|A0A6P3FUS5|A0A6P3FUS5_OCTDE, tr|A0A6P3FL45|A0A6P3FL45_OCTDE, tr|A0A6P3FYK1|A0A6P3FYK1_OCTDE, tr|A0A6P3FVJ3|A0A6P3FVJ3_OCTDE, tr|A0A6P3FZ58|A0A6P3FZ58_OCTDE, tr|A0A6P3V8W4|A0A6P3V8W4_OCTDE, tr|A0A6P3FVK4|A0A6P3FVK4_OCTDE
OG0000025	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A6P3FCY2|A0A6P3FCY2_OCTDE
OG0000025	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6P3FJJ3|A0A6P3FJJ3_OCTDE
OG0000025	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6P3FCX6|A0A6P3FCX6_OCTDE
OG0000025	sp|Q96R72|OR4K3_HUMAN	tr|A0A6P3FS15|A0A6P3FS15_OCTDE
OG0000025	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6P3FWL9|A0A6P3FWL9_OCTDE
OG0000025	sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN	tr|A0A6P3G0A2|A0A6P3G0A2_OCTDE
OG0000025	sp|Q8NGB8|O4F15_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A6P3G0L0|A0A6P3G0L0_OCTDE
OG0000025	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A6P3FMM2|A0A6P3FMM2_OCTDE
OG0000028	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN	tr|A0A6P3FSQ1|A0A6P3FSQ1_OCTDE
OG0000029	sp|O60829|PAGE4_HUMAN, sp|O75459|PAGE1_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN	tr|A0A6P6DQS4|A0A6P6DQS4_OCTDE
OG0000030	sp|Q8NGC8|O11H7_HUMAN	tr|A0A6P3FE20|A0A6P3FE20_OCTDE, tr|A0A6P3FPE6|A0A6P3FPE6_OCTDE, tr|A0A6P6DIN4|A0A6P6DIN4_OCTDE, tr|A0A6P3FS11|A0A6P3FS11_OCTDE, tr|A0A6P3FE27|A0A6P3FE27_OCTDE, tr|A0A6P3VCX9|A0A6P3VCX9_OCTDE, tr|A0A6P3FSZ9|A0A6P3FSZ9_OCTDE, tr|A0A6P3FSX8|A0A6P3FSX8_OCTDE, tr|A0A6P3FPE1|A0A6P3FPE1_OCTDE, tr|A0A6P3VC86|A0A6P3VC86_OCTDE, tr|A0A6P3FHX2|A0A6P3FHX2_OCTDE, tr|A0A6P3FLH7|A0A6P3FLH7_OCTDE, tr|A0A6P3F6X6|A0A6P3F6X6_OCTDE, tr|A0A6P6DIX2|A0A6P6DIX2_OCTDE, tr|A0A6P3VEE3|A0A6P3VEE3_OCTDE, tr|A0A6P3FSY2|A0A6P3FSY2_OCTDE, tr|A0A6P3FPG5|A0A6P3FPG5_OCTDE, tr|A0A6P6DJQ7|A0A6P6DJQ7_OCTDE, tr|A0A6P6DIP0|A0A6P6DIP0_OCTDE, tr|A0A6P3VEA7|A0A6P3VEA7_OCTDE, tr|A0A6P3FSZ0|A0A6P3FSZ0_OCTDE, tr|A0A6P3FSX3|A0A6P3FSX3_OCTDE
OG0000031	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6P3FZC0|A0A6P3FZC0_OCTDE, tr|A0A6P3G0H1|A0A6P3G0H1_OCTDE, tr|A0A6P3FZ89|A0A6P3FZ89_OCTDE, tr|A0A6P3V936|A0A6P3V936_OCTDE, tr|A0A6P3FWR9|A0A6P3FWR9_OCTDE, tr|A0A6P3FMP3|A0A6P3FMP3_OCTDE, tr|A0A6P3FWS3|A0A6P3FWS3_OCTDE, tr|A0A6P3FVZ5|A0A6P3FVZ5_OCTDE, tr|A0A6P3FLT4|A0A6P3FLT4_OCTDE, tr|A0A6P3FYH1|A0A6P3FYH1_OCTDE, tr|A0A6P3FIZ7|A0A6P3FIZ7_OCTDE, tr|A0A6P3FZN1|A0A6P3FZN1_OCTDE, tr|A0A6P3FW21|A0A6P3FW21_OCTDE, tr|A0A6P3ELR3|A0A6P3ELR3_OCTDE, tr|A0A6P3G0L6|A0A6P3G0L6_OCTDE, tr|A0A6P3FZ55|A0A6P3FZ55_OCTDE, tr|A0A6P3FWU6|A0A6P3FWU6_OCTDE, tr|A0A6P3FMM5|A0A6P3FMM5_OCTDE, tr|A0A6P3FMN8|A0A6P3FMN8_OCTDE, tr|A0A6P3V9P8|A0A6P3V9P8_OCTDE, tr|A0A6P6DWW1|A0A6P6DWW1_OCTDE, tr|A0A6P3FLU1|A0A6P3FLU1_OCTDE
OG0000034	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A6P3F3N7|A0A6P3F3N7_OCTDE
OG0000038	sp|O14556|G3PT_HUMAN	tr|A0A6P3F1R0|A0A6P3F1R0_OCTDE
OG0000038	sp|P04406|G3P_HUMAN	tr|A0A6P3V8E5|A0A6P3V8E5_OCTDE, tr|A0A6P3VCN4|A0A6P3VCN4_OCTDE, tr|A0A6P3FD80|A0A6P3FD80_OCTDE, tr|A0A6P6DLF3|A0A6P6DLF3_OCTDE, tr|A0A6P3VAT7|A0A6P3VAT7_OCTDE, tr|A0A6P3VDP9|A0A6P3VDP9_OCTDE, tr|A0A6P3EYG9|A0A6P3EYG9_OCTDE, tr|A0A6P3VA85|A0A6P3VA85_OCTDE, tr|A0A6P3EWN6|A0A6P3EWN6_OCTDE, tr|A0A6P6DLS9|A0A6P6DLS9_OCTDE, tr|A0A6P6D4D0|A0A6P6D4D0_OCTDE, tr|A0A6P6DRZ4|A0A6P6DRZ4_OCTDE, tr|A0A6P6DYX1|A0A6P6DYX1_OCTDE, tr|A0A6P3FCR7|A0A6P3FCR7_OCTDE, tr|A0A6P6EPP2|A0A6P6EPP2_OCTDE, tr|A0A6P3V9F3|A0A6P3V9F3_OCTDE, tr|A0A6P3F8L6|A0A6P3F8L6_OCTDE, tr|A0A6P6DVQ5|A0A6P6DVQ5_OCTDE
OG0000039	sp|Q8NGE7|OR9K2_HUMAN	tr|A0A6P3FEJ5|A0A6P3FEJ5_OCTDE
OG0000039	sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN	tr|A0A6P6DSA7|A0A6P6DSA7_OCTDE, tr|A0A6P3FUQ6|A0A6P3FUQ6_OCTDE
OG0000039	sp|Q8NGG2|OR5T2_HUMAN	tr|A0A6P3G0B8|A0A6P3G0B8_OCTDE
OG0000042	sp|Q9UJU3|ZN112_HUMAN	tr|A0A6P3VDM5|A0A6P3VDM5_OCTDE
OG0000042	sp|Q86WZ6|ZN227_HUMAN	tr|A0A6P3FTH6|A0A6P3FTH6_OCTDE
OG0000042	sp|Q02386|ZNF45_HUMAN, sp|Q9UK11|ZN223_HUMAN, sp|Q9UIE0|ZN230_HUMAN, sp|Q12901|ZN155_HUMAN, sp|Q9UK12|ZN222_HUMAN, sp|Q9UK13|ZN221_HUMAN, sp|Q2VY69|ZN284_HUMAN, sp|Q9NZL3|ZN224_HUMAN, sp|Q9UK10|ZN225_HUMAN, sp|Q14588|ZN234_HUMAN, sp|Q9NYT6|ZN226_HUMAN	tr|A0A6P3FPW8|A0A6P3FPW8_OCTDE
OG0000043	sp|P30050|RL12_HUMAN	tr|A0A6P3VD52|A0A6P3VD52_OCTDE, tr|A0A6P3FFK6|A0A6P3FFK6_OCTDE, tr|A0A6P3V8B7|A0A6P3V8B7_OCTDE, tr|A0A6P3EUR8|A0A6P3EUR8_OCTDE, tr|A0A6P3V9C6|A0A6P3V9C6_OCTDE, tr|A0A6P3VCG1|A0A6P3VCG1_OCTDE, tr|A0A6P3EZ04|A0A6P3EZ04_OCTDE, tr|A0A6P3VDH7|A0A6P3VDH7_OCTDE, tr|A0A6P3VC85|A0A6P3VC85_OCTDE, tr|A0A6P3VDL7|A0A6P3VDL7_OCTDE, tr|A0A6P3VC82|A0A6P3VC82_OCTDE, tr|A0A6P6E947|A0A6P6E947_OCTDE, tr|A0A6P3EP86|A0A6P3EP86_OCTDE, tr|A0A6P3V9D4|A0A6P3V9D4_OCTDE, tr|A0A6P3VEA3|A0A6P3VEA3_OCTDE, tr|A0A6P3VDV8|A0A6P3VDV8_OCTDE, tr|A0A6P3V9T1|A0A6P3V9T1_OCTDE, tr|A0A6P3VE08|A0A6P3VE08_OCTDE, tr|A0A6P3F4F9|A0A6P3F4F9_OCTDE
OG0000045	sp|Q99879|H2B1M_HUMAN	tr|A0A6P3FI44|A0A6P3FI44_OCTDE
OG0000045	sp|Q16778|H2B2E_HUMAN	tr|A0A6P3F841|A0A6P3F841_OCTDE
OG0000045	sp|P62807|H2B1C_HUMAN, sp|P57053|H2BFS_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P06899|H2B1J_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN	tr|A0A6P3EV49|A0A6P3EV49_OCTDE
OG0000048	sp|P0DPK5|H3Y2_HUMAN, sp|P0DPK2|H3Y1_HUMAN	tr|A0A6P3EKC6|A0A6P3EKC6_OCTDE
OG0000048	sp|P84243|H33_HUMAN	tr|A0A6P6F5B0|A0A6P6F5B0_OCTDE, tr|A0A6P3VCD1|A0A6P3VCD1_OCTDE, tr|A0A6P6DZT0|A0A6P6DZT0_OCTDE
OG0000048	sp|Q6NXT2|H3C_HUMAN	tr|A0A6P3VBE9|A0A6P3VBE9_OCTDE, tr|A0A6P6DGX6|A0A6P6DGX6_OCTDE, tr|A0A6P6EJI0|A0A6P6EJI0_OCTDE, tr|A0A6P6D6T6|A0A6P6D6T6_OCTDE, tr|A0A6P6DA40|A0A6P6DA40_OCTDE
OG0000049	sp|O15535|ZSC9_HUMAN	tr|A0A6P6E6E8|A0A6P6E6E8_OCTDE
OG0000049	sp|Q499Z4|ZN672_HUMAN, sp|P10073|ZSC22_HUMAN, sp|Q8NBB4|ZSCA1_HUMAN, sp|Q9GZW5|SCND2_HUMAN, sp|Q9NX65|ZSC32_HUMAN	tr|A0A6P6E6A7|A0A6P6E6A7_OCTDE
