Orthogroup	Homo_sapiens	Rhinolophus_ferrumequinum
OG0000004	sp|Q8NG83|OR2M3_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN	tr|A0A671FB64|A0A671FB64_RHIFE
OG0000005	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN	tr|A0A671FM68|A0A671FM68_RHIFE
OG0000006	sp|Q8NH60|O52J3_HUMAN	tr|A0A671FBP6|A0A671FBP6_RHIFE, tr|A0A671F2M7|A0A671F2M7_RHIFE
OG0000006	sp|P0C646|O52Z1_HUMAN	tr|A0A671F4K0|A0A671F4K0_RHIFE
OG0000006	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A671EU58|A0A671EU58_RHIFE, tr|B2KI11|B2KI11_RHIFE, tr|A0A671EUC2|A0A671EUC2_RHIFE
OG0000006	sp|Q9H346|O52D1_HUMAN	tr|A0A671EQV0|A0A671EQV0_RHIFE, tr|A0A671EVJ1|A0A671EVJ1_RHIFE
OG0000006	sp|Q8NH57|O52P1_HUMAN	tr|A0A671F690|A0A671F690_RHIFE, tr|A0A671EU77|A0A671EU77_RHIFE, tr|A0A671F278|A0A671F278_RHIFE, tr|A0A671FA33|A0A671FA33_RHIFE, tr|A0A671F1B1|A0A671F1B1_RHIFE, tr|A0A671E2W1|A0A671E2W1_RHIFE, tr|A0A671EUS7|A0A671EUS7_RHIFE, tr|A0A671EV06|A0A671EV06_RHIFE, tr|A0A671FB48|A0A671FB48_RHIFE, tr|A0A671EPZ1|A0A671EPZ1_RHIFE
OG0000009	sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|P06315|KV502_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN	tr|A0A671EQ87|A0A671EQ87_RHIFE
OG0000010	sp|Q13398|ZN211_HUMAN	tr|A0A671E9V2|A0A671E9V2_RHIFE
OG0000010	sp|Q9Y2P7|ZN256_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q3KQV3|ZN792_HUMAN	tr|A0A671ED90|A0A671ED90_RHIFE
OG0000013	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN	tr|A0A671FKW7|A0A671FKW7_RHIFE
OG0000014	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A671EUY7|A0A671EUY7_RHIFE
OG0000014	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A671F316|A0A671F316_RHIFE
OG0000014	sp|A6NFC9|OR2W5_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A671F3M0|A0A671F3M0_RHIFE
OG0000014	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|A0A671F4R5|A0A671F4R5_RHIFE
OG0000015	sp|Q6IFN5|O7E24_HUMAN	tr|A0A671E6H7|A0A671E6H7_RHIFE, tr|A0A671E6F3|A0A671E6F3_RHIFE, tr|A0A671EB67|A0A671EB67_RHIFE, tr|A0A671F1J4|A0A671F1J4_RHIFE, tr|A0A671DYD2|A0A671DYD2_RHIFE, tr|A0A671E5U0|A0A671E5U0_RHIFE, tr|A0A671FY93|A0A671FY93_RHIFE, tr|A0A671EBA8|A0A671EBA8_RHIFE, tr|A0A671ENQ4|A0A671ENQ4_RHIFE, tr|A0A671ESA8|A0A671ESA8_RHIFE, tr|A0A671EIQ1|A0A671EIQ1_RHIFE, tr|A0A671E7N7|A0A671E7N7_RHIFE, tr|A0A671E6R1|A0A671E6R1_RHIFE, tr|A0A671G9L6|A0A671G9L6_RHIFE, tr|A0A671EMB8|A0A671EMB8_RHIFE, tr|A0A671G4K1|A0A671G4K1_RHIFE, tr|A0A671G9J6|A0A671G9J6_RHIFE, tr|A0A671GBW5|A0A671GBW5_RHIFE, tr|A0A671G4A7|A0A671G4A7_RHIFE, tr|A0A671GBV7|A0A671GBV7_RHIFE, tr|A0A671EBV4|A0A671EBV4_RHIFE, tr|A0A671G523|A0A671G523_RHIFE, tr|A0A671G499|A0A671G499_RHIFE, tr|A0A671G4Z2|A0A671G4Z2_RHIFE
OG0000017	sp|Q5MJ68|SPDYC_HUMAN, sp|Q5MJ70|SPDYA_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN	tr|A0A671E0H5|A0A671E0H5_RHIFE
OG0000019	sp|Q96RE9|ZN300_HUMAN, sp|Q2M218|ZN630_HUMAN	tr|A0A671FCL1|A0A671FCL1_RHIFE
OG0000019	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A671EI39|A0A671EI39_RHIFE, tr|A0A671FRZ9|A0A671FRZ9_RHIFE, tr|A0A671FEB3|A0A671FEB3_RHIFE, tr|A0A671EMN3|A0A671EMN3_RHIFE, tr|A0A671FFX9|A0A671FFX9_RHIFE, tr|A0A671FSF7|A0A671FSF7_RHIFE
OG0000019	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A671FRP6|A0A671FRP6_RHIFE
OG0000020	sp|O00370|LORF2_HUMAN	tr|A0A671DNC0|A0A671DNC0_RHIFE, tr|A0A671DN82|A0A671DN82_RHIFE, tr|A0A671DUW9|A0A671DUW9_RHIFE, tr|A0A671DMV3|A0A671DMV3_RHIFE
OG0000020	sp|Q9H606|PRORY_HUMAN	tr|A0A671DV57|A0A671DV57_RHIFE, tr|A0A671DRJ4|A0A671DRJ4_RHIFE, tr|A0A671G5B0|A0A671G5B0_RHIFE, tr|A0A671EW94|A0A671EW94_RHIFE, tr|A0A671G5C2|A0A671G5C2_RHIFE, tr|A0A671DI07|A0A671DI07_RHIFE, tr|A0A671GCW7|A0A671GCW7_RHIFE, tr|A0A671DRW3|A0A671DRW3_RHIFE, tr|A0A671E1Q7|A0A671E1Q7_RHIFE, tr|A0A671EI66|A0A671EI66_RHIFE, tr|A0A671G6W3|A0A671G6W3_RHIFE, tr|A0A671G651|A0A671G651_RHIFE, tr|A0A671DZX8|A0A671DZX8_RHIFE, tr|A0A671F8X9|A0A671F8X9_RHIFE, tr|A0A671DUZ1|A0A671DUZ1_RHIFE, tr|A0A671FEW0|A0A671FEW0_RHIFE, tr|A0A671DLM7|A0A671DLM7_RHIFE, tr|A0A671F4T8|A0A671F4T8_RHIFE
OG0000021	sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN	tr|A0A671E8V0|A0A671E8V0_RHIFE
OG0000022	sp|Q09FC8|ZN415_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P17035|ZNF28_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q0VGE8|ZN816_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|Q9NV72|ZN701_HUMAN	tr|A0A671EF36|A0A671EF36_RHIFE
OG0000023	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN	tr|A0A671FP43|A0A671FP43_RHIFE
OG0000024	sp|A0A1B0GX78|TVBL5_HUMAN	tr|A0A671EMW3|A0A671EMW3_RHIFE
OG0000024	sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN	tr|A0A671EMR1|A0A671EMR1_RHIFE
OG0000024	sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN	tr|A0A671ENY5|A0A671ENY5_RHIFE
OG0000027	sp|O75459|PAGE1_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q4V321|GAG13_HUMAN	tr|A0A671E9Z4|A0A671E9Z4_RHIFE
OG0000029	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A671FJK0|A0A671FJK0_RHIFE
OG0000029	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A671E6X3|A0A671E6X3_RHIFE, tr|A0A671E7N1|A0A671E7N1_RHIFE, tr|A0A671FAT8|A0A671FAT8_RHIFE, tr|A0A671EFJ8|A0A671EFJ8_RHIFE, tr|A0A671EHG5|A0A671EHG5_RHIFE, tr|A0A671EEM0|A0A671EEM0_RHIFE, tr|A0A671E639|A0A671E639_RHIFE, tr|A0A671E6P9|A0A671E6P9_RHIFE, tr|A0A671EI93|A0A671EI93_RHIFE, tr|A0A671ERC8|A0A671ERC8_RHIFE, tr|A0A671ETA0|A0A671ETA0_RHIFE, tr|A0A671EXA1|A0A671EXA1_RHIFE, tr|A0A671ESR6|A0A671ESR6_RHIFE, tr|A0A671ERK2|A0A671ERK2_RHIFE, tr|A0A671ED82|A0A671ED82_RHIFE, tr|A0A671EQJ5|A0A671EQJ5_RHIFE, tr|A0A671E6G9|A0A671E6G9_RHIFE
OG0000030	sp|Q9Y4A9|O10H1_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60404|O10H3_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGX5|O10K1_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NH08|O10AC_HUMAN, sp|Q8NGQ4|O10Q1_HUMAN, sp|P30954|O10J1_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A671EX69|A0A671EX69_RHIFE, tr|A0A671EX92|A0A671EX92_RHIFE
OG0000032	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A671ELM8|A0A671ELM8_RHIFE, tr|A0A671EP54|A0A671EP54_RHIFE, tr|A0A671ERU3|A0A671ERU3_RHIFE, tr|A0A671ERT3|A0A671ERT3_RHIFE, tr|A0A671ELH7|A0A671ELH7_RHIFE, tr|A0A671EGZ9|A0A671EGZ9_RHIFE, tr|A0A671EMK3|A0A671EMK3_RHIFE, tr|A0A671EID5|A0A671EID5_RHIFE, tr|A0A671EQV3|A0A671EQV3_RHIFE, tr|A0A671EL90|A0A671EL90_RHIFE, tr|A0A671ETZ9|A0A671ETZ9_RHIFE, tr|A0A671EG44|A0A671EG44_RHIFE, tr|A0A671EG76|A0A671EG76_RHIFE, tr|A0A671EUD4|A0A671EUD4_RHIFE, tr|A0A671EL76|A0A671EL76_RHIFE, tr|A0A671EIP5|A0A671EIP5_RHIFE, tr|A0A671EJN9|A0A671EJN9_RHIFE, tr|A0A671EGJ4|A0A671EGJ4_RHIFE, tr|A0A671EHM9|A0A671EHM9_RHIFE
OG0000035	sp|P29323|EPHB2_HUMAN	tr|A0A671DLC3|A0A671DLC3_RHIFE
OG0000035	sp|P54762|EPHB1_HUMAN	tr|A0A671EI34|A0A671EI34_RHIFE
OG0000035	sp|P54753|EPHB3_HUMAN	tr|A0A671F6Q5|A0A671F6Q5_RHIFE
OG0000035	sp|P54764|EPHA4_HUMAN	tr|A0A671FVM0|A0A671FVM0_RHIFE
OG0000035	sp|Q15375|EPHA7_HUMAN	tr|A0A671DQ18|A0A671DQ18_RHIFE
OG0000035	sp|P29322|EPHA8_HUMAN	tr|A0A671DKM3|A0A671DKM3_RHIFE
OG0000035	sp|Q9UF33|EPHA6_HUMAN	tr|A0A671E3C1|A0A671E3C1_RHIFE
OG0000035	sp|P29320|EPHA3_HUMAN	tr|A0A671E2Y3|A0A671E2Y3_RHIFE
OG0000035	sp|P54756|EPHA5_HUMAN	tr|A0A671F1Q3|A0A671F1Q3_RHIFE
OG0000037	sp|Q71DI3|H32_HUMAN	tr|A0A671FZL0|A0A671FZL0_RHIFE
OG0000037	sp|Q16695|H31T_HUMAN	tr|A0A671EYV7|A0A671EYV7_RHIFE
OG0000037	sp|P68431|H31_HUMAN	tr|A0A671FNR0|A0A671FNR0_RHIFE
OG0000039	sp|P0C0S8|H2A1_HUMAN	tr|A0A671FUI1|A0A671FUI1_RHIFE
OG0000039	sp|Q7L7L0|H2A3_HUMAN	tr|A0A671EYS4|A0A671EYS4_RHIFE
OG0000039	sp|Q6FI13|H2A2A_HUMAN	tr|A0A671G2V4|A0A671G2V4_RHIFE
OG0000039	sp|Q96QV6|H2A1A_HUMAN	tr|A0A671FFA4|A0A671FFA4_RHIFE
OG0000039	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A671G374|A0A671G374_RHIFE
OG0000039	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A671FMZ0|A0A671FMZ0_RHIFE, tr|A0A671FU51|A0A671FU51_RHIFE, tr|A0A671FIY2|A0A671FIY2_RHIFE
OG0000040	sp|P10266|POK10_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|P63136|POK25_HUMAN, sp|P63132|PO113_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|P63133|POK8_HUMAN, sp|Q9QC07|POK18_HUMAN, sp|Q9UQG0|POK11_HUMAN, sp|P63135|POK7_HUMAN, sp|P61568|ENK11_HUMAN, sp|P61574|RE113_HUMAN, sp|P61576|REC04_HUMAN, sp|P61578|REC16_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN	tr|A0A671DM10|A0A671DM10_RHIFE
OG0000041	sp|Q8NH18|OR5J2_HUMAN	tr|A0A671EEH5|A0A671EEH5_RHIFE
OG0000041	sp|Q96RB7|OR5MB_HUMAN	tr|A0A671DXI8|A0A671DXI8_RHIFE, tr|A0A671ECR3|A0A671ECR3_RHIFE, tr|A0A671EDJ3|A0A671EDJ3_RHIFE, tr|A0A671EKV6|A0A671EKV6_RHIFE, tr|A0A671EHH5|A0A671EHH5_RHIFE, tr|A0A671EHE9|A0A671EHE9_RHIFE
OG0000041	sp|Q8NH85|OR5R1_HUMAN	tr|A0A671EDW9|A0A671EDW9_RHIFE, tr|A0A671EE36|A0A671EE36_RHIFE
OG0000041	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A671EKS6|A0A671EKS6_RHIFE, tr|A0A671ECU9|A0A671ECU9_RHIFE
