Orthogroup	Homo_sapiens	Saimiri_boliviensis_boliviensis
OG0000001	sp|Q8N628|OR2C3_HUMAN	tr|A0A2K6TV71|A0A2K6TV71_SAIBB
OG0000001	sp|Q8NH08|O10AC_HUMAN, sp|Q8NGI7|O10V1_HUMAN, sp|Q8NGQ4|O10Q1_HUMAN, sp|Q8NGF6|O10W1_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|O60404|O10H3_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|P30954|O10J1_HUMAN	tr|A0A2K6S645|A0A2K6S645_SAIBB
OG0000001	sp|Q8NH19|O10AG_HUMAN, sp|Q8NGE3|O10P1_HUMAN, sp|Q96KK4|O10C1_HUMAN, sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN, sp|Q9H209|O10A4_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|P58181|O10A3_HUMAN	tr|A0A2K6TRZ3|A0A2K6TRZ3_SAIBB
OG0000001	sp|Q5JQS5|OR2BB_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|O76000|OR2B3_HUMAN	tr|A0A2K6SHF1|A0A2K6SHF1_SAIBB
OG0000003	sp|P0C623|OR4Q2_HUMAN	tr|A0A2K6TDP0|A0A2K6TDP0_SAIBB
OG0000003	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K6S7J2|A0A2K6S7J2_SAIBB
OG0000003	sp|Q8NGC6|OR4KH_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2K6URH2|A0A2K6URH2_SAIBB
OG0000003	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K6UUQ4|A0A2K6UUQ4_SAIBB
OG0000003	sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NGC3|O10G2_HUMAN, sp|Q8NGC4|O10G3_HUMAN, sp|Q8NH81|O10G6_HUMAN, sp|Q8NGN2|O10S1_HUMAN, sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGN5|O10G8_HUMAN, sp|Q8NGN3|O10G4_HUMAN, sp|Q8NGN4|O10G9_HUMAN, sp|Q8NGN7|O10D4_HUMAN, sp|Q8NH80|O10D3_HUMAN	tr|A0A2K6SER4|A0A2K6SER4_SAIBB
OG0000004	sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|Q8NGK5|O52M1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q8NGF3|O51D1_HUMAN	tr|A0A2K6V1U9|A0A2K6V1U9_SAIBB
OG0000005	sp|O60412|OR7C2_HUMAN	tr|A0A2K6TBR7|A0A2K6TBR7_SAIBB
OG0000005	sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN	tr|A0A2K6S7N9|A0A2K6S7N9_SAIBB
OG0000005	sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN	tr|A0A2K6V906|A0A2K6V906_SAIBB
OG0000005	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN	tr|A0A2K6V7P7|A0A2K6V7P7_SAIBB
OG0000006	sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, sp|P0DTE2|HV511_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH32|HV320_HUMAN	tr|A0A2K6SSU6|A0A2K6SSU6_SAIBB
OG0000007	sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN	tr|A0A2K6TIY4|A0A2K6TIY4_SAIBB
OG0000008	sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN	tr|A0A2K6SGI0|A0A2K6SGI0_SAIBB
OG0000008	sp|P15621|ZNF44_HUMAN	tr|A0A2K6UPC2|A0A2K6UPC2_SAIBB
OG0000008	sp|Q9H7R0|ZN442_HUMAN	tr|A0A2K6T8Y2|A0A2K6T8Y2_SAIBB
OG0000008	sp|Q8N8Z8|ZN441_HUMAN	tr|A0A2K6TFV4|A0A2K6TFV4_SAIBB
OG0000008	sp|P16415|ZN823_HUMAN	tr|A0A2K6UK36|A0A2K6UK36_SAIBB
OG0000008	sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN	tr|A0A2K6UEK0|A0A2K6UEK0_SAIBB
OG0000008	sp|Q96I27|ZN625_HUMAN	tr|A0A2K6S7W3|A0A2K6S7W3_SAIBB, tr|A0A2K6TTZ7|A0A2K6TTZ7_SAIBB
OG0000008	sp|Q8TBZ8|ZN564_HUMAN	tr|A0A2K6TD65|A0A2K6TD65_SAIBB
OG0000008	sp|Q9ULM2|ZN490_HUMAN	tr|A0A2K6V4Y3|A0A2K6V4Y3_SAIBB
OG0000008	sp|P17017|ZNF14_HUMAN	tr|A0A2K6U305|A0A2K6U305_SAIBB
OG0000008	sp|Q8N972|ZN709_HUMAN	tr|A0A2K6V7F7|A0A2K6V7F7_SAIBB
OG0000008	sp|Q3KP31|ZN791_HUMAN	tr|A0A2K6T792|A0A2K6T792_SAIBB
OG0000008	sp|P52737|ZN136_HUMAN	tr|A0A2K6UF95|A0A2K6UF95_SAIBB, tr|A0A2K6UKH1|A0A2K6UKH1_SAIBB
OG0000009	sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN	tr|A0A2K6SDG0|A0A2K6SDG0_SAIBB
OG0000009	sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|Q08379|GOGA2_HUMAN	tr|A0A2K6UE86|A0A2K6UE86_SAIBB
OG0000010	sp|A2A368|MAGBG_HUMAN	tr|A0A2K6T1J4|A0A2K6T1J4_SAIBB
OG0000010	sp|Q9UBF1|MAGC2_HUMAN	tr|A0A2K6TXH9|A0A2K6TXH9_SAIBB
OG0000010	sp|Q8TD91|MAGC3_HUMAN	tr|A0A2K6UY10|A0A2K6UY10_SAIBB
OG0000010	sp|A6NCF6|MA13P_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43364|MAGAB_HUMAN	tr|A0A2K6SAT6|A0A2K6SAT6_SAIBB
OG0000012	sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN	tr|A0A2K6SCM6|A0A2K6SCM6_SAIBB
OG0000012	sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59544|T2R50_HUMAN	tr|A0A2K6TFT7|A0A2K6TFT7_SAIBB
OG0000013	sp|Q8NH37|OR4C3_HUMAN	tr|A0A2K6ULB7|A0A2K6ULB7_SAIBB
OG0000013	sp|Q8NGL6|O4A15_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|P0C604|OR4A8_HUMAN	tr|A0A2K6UMW4|A0A2K6UMW4_SAIBB
OG0000013	sp|Q8NH72|OR4C6_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN	tr|A0A2K6U8X2|A0A2K6U8X2_SAIBB
OG0000013	sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K6SAT8|A0A2K6SAT8_SAIBB
OG0000013	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K6SBR8|A0A2K6SBR8_SAIBB
OG0000013	sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGL9|OR4CG_HUMAN	tr|A0A2K6T0G8|A0A2K6T0G8_SAIBB
OG0000014	sp|P78395|PRAME_HUMAN	tr|A0A2K6V3W7|A0A2K6V3W7_SAIBB
OG0000014	sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|O60813|PRA11_HUMAN, sp|O60810|PRAM4_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|O60811|PRAM2_HUMAN, sp|O95521|PRAM1_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|Q5VWM6|PRA13_HUMAN	tr|A0A2K6STP2|A0A2K6STP2_SAIBB
OG0000015	sp|O95678|K2C75_HUMAN	tr|A0A2K6U2D3|A0A2K6U2D3_SAIBB
OG0000015	sp|Q5XKE5|K2C79_HUMAN	tr|A0A2K6U6W7|A0A2K6U6W7_SAIBB
OG0000015	sp|P19013|K2C4_HUMAN	tr|A0A2K6T315|A0A2K6T315_SAIBB
OG0000015	sp|Q01546|K22O_HUMAN	tr|A0A2K6SCW6|A0A2K6SCW6_SAIBB
OG0000015	sp|P12035|K2C3_HUMAN	tr|A0A2K6T3J2|A0A2K6T3J2_SAIBB
OG0000015	sp|P35908|K22E_HUMAN	tr|A0A2K6SWI7|A0A2K6SWI7_SAIBB
OG0000015	sp|Q7Z794|K2C1B_HUMAN	tr|A0A2K6URW2|A0A2K6URW2_SAIBB
OG0000015	sp|P04264|K2C1_HUMAN	tr|A0A2K6TMH1|A0A2K6TMH1_SAIBB
OG0000015	sp|Q7RTS7|K2C74_HUMAN	tr|A0A2K6SQH0|A0A2K6SQH0_SAIBB
OG0000015	sp|Q3SY84|K2C71_HUMAN, sp|Q86Y46|K2C73_HUMAN	tr|A0A2K6THY5|A0A2K6THY5_SAIBB
OG0000015	sp|Q14CN4|K2C72_HUMAN	tr|A0A2K6S879|A0A2K6S879_SAIBB
OG0000017	sp|Q9P275|UBP36_HUMAN	tr|A0A2K6UE47|A0A2K6UE47_SAIBB
OG0000017	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A2K6UI37|A0A2K6UI37_SAIBB
OG0000019	sp|Q00889|PSG6_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q15238|PSG5_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q9UQ72|PSG11_HUMAN	tr|A0A2K6U7P9|A0A2K6U7P9_SAIBB
OG0000019	sp|P06731|CEAM5_HUMAN	tr|A0A2K6SSX3|A0A2K6SSX3_SAIBB
OG0000019	sp|P31997|CEAM8_HUMAN	tr|A0A2K6TBB6|A0A2K6TBB6_SAIBB
OG0000019	sp|P40199|CEAM6_HUMAN	tr|A0A2K6UEW4|A0A2K6UEW4_SAIBB
OG0000019	sp|P13688|CEAM1_HUMAN	tr|A0A2K6SNS8|A0A2K6SNS8_SAIBB
OG0000019	sp|Q3KPI0|CEA21_HUMAN, sp|O75871|CEAM4_HUMAN, sp|P40198|CEAM3_HUMAN, sp|Q14002|CEAM7_HUMAN	tr|A0A2K6STG9|A0A2K6STG9_SAIBB
OG0000020	sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN	tr|A0A2K6S973|A0A2K6S973_SAIBB
OG0000020	sp|P04435|TVB79_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN	tr|A0A2K6S931|A0A2K6S931_SAIBB
OG0000021	sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A2K6TH31|A0A2K6TH31_SAIBB
OG0000022	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A2K6TF79|A0A2K6TF79_SAIBB
