Orthogroup	Homo_sapiens	Ursus_americanus
OG0000003	sp|Q8NGK0|O51G2_HUMAN	tr|A0A452RGN7|A0A452RGN7_URSAM
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A452QZQ7|A0A452QZQ7_URSAM, tr|A0A452QA22|A0A452QA22_URSAM, tr|A0A452QI44|A0A452QI44_URSAM
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|A0A452SVN1|A0A452SVN1_URSAM, tr|A0A452SM82|A0A452SM82_URSAM, tr|A0A452SM86|A0A452SM86_URSAM, tr|A0A452SM14|A0A452SM14_URSAM
OG0000003	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A452QZC1|A0A452QZC1_URSAM, tr|A0A452RGN2|A0A452RGN2_URSAM
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A452QFM3|A0A452QFM3_URSAM
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A452Q8W8|A0A452Q8W8_URSAM
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A452QEG5|A0A452QEG5_URSAM, tr|A0A452QEI4|A0A452QEI4_URSAM, tr|A0A452QJV9|A0A452QJV9_URSAM, tr|A0A452QB22|A0A452QB22_URSAM
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A452Q9X1|A0A452Q9X1_URSAM
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A452Q9E6|A0A452Q9E6_URSAM, tr|A0A452QA83|A0A452QA83_URSAM, tr|A0A452Q7Y4|A0A452Q7Y4_URSAM
OG0000003	sp|Q9H342|O51J1_HUMAN	tr|A0A452RGZ2|A0A452RGZ2_URSAM, tr|A0A452RBF3|A0A452RBF3_URSAM, tr|A0A452RH14|A0A452RH14_URSAM, tr|A0A452SM42|A0A452SM42_URSAM, tr|A0A452SM53|A0A452SM53_URSAM
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A452QLE0|A0A452QLE0_URSAM, tr|A0A452RK46|A0A452RK46_URSAM, tr|A0A452QZX4|A0A452QZX4_URSAM, tr|A0A452RGH3|A0A452RGH3_URSAM, tr|A0A452QMM0|A0A452QMM0_URSAM, tr|A0A452QMH8|A0A452QMH8_URSAM
OG0000004	sp|Q6IFN5|O7E24_HUMAN	tr|A0A452RNU2|A0A452RNU2_URSAM, tr|A0A452RNU1|A0A452RNU1_URSAM, tr|A0A452RNU0|A0A452RNU0_URSAM, tr|A0A452RNT0|A0A452RNT0_URSAM, tr|A0A452RNT8|A0A452RNT8_URSAM, tr|A0A452QFG4|A0A452QFG4_URSAM, tr|A0A452RH91|A0A452RH91_URSAM, tr|A0A452RH20|A0A452RH20_URSAM, tr|A0A452RH73|A0A452RH73_URSAM, tr|A0A452RNT1|A0A452RNT1_URSAM, tr|A0A452RNT3|A0A452RNT3_URSAM, tr|A0A452S9Z4|A0A452S9Z4_URSAM, tr|A0A452QKM8|A0A452QKM8_URSAM, tr|A0A452R533|A0A452R533_URSAM, tr|A0A452QAD0|A0A452QAD0_URSAM, tr|A0A452QB61|A0A452QB61_URSAM, tr|A0A452QFX7|A0A452QFX7_URSAM, tr|A0A452R8L6|A0A452R8L6_URSAM, tr|A0A452R8A4|A0A452R8A4_URSAM, tr|A0A452SEF5|A0A452SEF5_URSAM, tr|A0A452QBJ4|A0A452QBJ4_URSAM, tr|A0A452R8M2|A0A452R8M2_URSAM, tr|A0A452QH30|A0A452QH30_URSAM, tr|A0A452SE97|A0A452SE97_URSAM, tr|A0A452QJZ7|A0A452QJZ7_URSAM, tr|A0A452QB43|A0A452QB43_URSAM, tr|A0A452QJU6|A0A452QJU6_URSAM, tr|A0A452R849|A0A452R849_URSAM, tr|A0A452R2C9|A0A452R2C9_URSAM, tr|A0A452QFX1|A0A452QFX1_URSAM, tr|A0A452QBA3|A0A452QBA3_URSAM, tr|A0A452QFD7|A0A452QFD7_URSAM, tr|A0A452QHN9|A0A452QHN9_URSAM, tr|A0A452RJX5|A0A452RJX5_URSAM, tr|A0A452QD47|A0A452QD47_URSAM, tr|A0A452RK84|A0A452RK84_URSAM, tr|A0A452RE82|A0A452RE82_URSAM, tr|A0A452QP42|A0A452QP42_URSAM, tr|A0A452R957|A0A452R957_URSAM, tr|A0A452QHK7|A0A452QHK7_URSAM, tr|A0A452QHK3|A0A452QHK3_URSAM, tr|A0A452R801|A0A452R801_URSAM, tr|A0A452R1H0|A0A452R1H0_URSAM, tr|A0A452QF70|A0A452QF70_URSAM, tr|A0A452QIF3|A0A452QIF3_URSAM
OG0000008	sp|Q8NH72|OR4C6_HUMAN	tr|A0A452SDI3|A0A452SDI3_URSAM
OG0000008	sp|A6NMZ5|O4C45_HUMAN	tr|A0A452RCD5|A0A452RCD5_URSAM, tr|A0A452RC97|A0A452RC97_URSAM, tr|A0A452RCB2|A0A452RCB2_URSAM, tr|A0A452QK95|A0A452QK95_URSAM, tr|A0A452QKB0|A0A452QKB0_URSAM
OG0000008	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A452RCB6|A0A452RCB6_URSAM, tr|A0A452RCE0|A0A452RCE0_URSAM, tr|A0A452SDA8|A0A452SDA8_URSAM, tr|A0A452SDB4|A0A452SDB4_URSAM, tr|A0A452S1H7|A0A452S1H7_URSAM, tr|A0A452S1W2|A0A452S1W2_URSAM, tr|A0A452S1U9|A0A452S1U9_URSAM, tr|A0A452RCC0|A0A452RCC0_URSAM, tr|A0A452QKA1|A0A452QKA1_URSAM
OG0000009	sp|A6ND48|O14I1_HUMAN	tr|A0A452RUM7|A0A452RUM7_URSAM
OG0000009	sp|Q8NHC7|O14CZ_HUMAN	tr|A0A452QL81|A0A452QL81_URSAM, tr|A0A452QFD2|A0A452QFD2_URSAM, tr|A0A452QFC6|A0A452QFC6_URSAM
OG0000009	sp|Q9UGF5|O14J1_HUMAN	tr|A0A452QD21|A0A452QD21_URSAM
OG0000009	sp|Q8NHC6|O14L1_HUMAN	tr|A0A452RJP3|A0A452RJP3_URSAM
OG0000009	sp|Q96R54|O14A2_HUMAN	tr|A0A452QE86|A0A452QE86_URSAM, tr|A0A452QV56|A0A452QV56_URSAM, tr|A0A452QW05|A0A452QW05_URSAM, tr|A0A452QW25|A0A452QW25_URSAM, tr|A0A452QNW6|A0A452QNW6_URSAM
OG0000009	sp|Q8NGZ2|O14K1_HUMAN	tr|A0A452QIQ6|A0A452QIQ6_URSAM, tr|A0A452RKC1|A0A452RKC1_URSAM, tr|A0A452QEW7|A0A452QEW7_URSAM, tr|A0A452QYR6|A0A452QYR6_URSAM, tr|A0A452QD09|A0A452QD09_URSAM, tr|A0A452RI02|A0A452RI02_URSAM, tr|A0A452Q8W7|A0A452Q8W7_URSAM, tr|A0A452QNZ2|A0A452QNZ2_URSAM
OG0000009	sp|Q8NHC5|O14AG_HUMAN	tr|A0A452RUR9|A0A452RUR9_URSAM, tr|A0A452RJR0|A0A452RJR0_URSAM
OG0000010	sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43631|KI2S2_HUMAN, sp|P43628|KI2L3_HUMAN, sp|P43627|KI2L2_HUMAN	tr|A0A452QIZ5|A0A452QIZ5_URSAM
OG0000011	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A452SDJ1|A0A452SDJ1_URSAM, tr|A0A452SDJ5|A0A452SDJ5_URSAM, tr|A0A452SDA3|A0A452SDA3_URSAM
OG0000011	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A452QK90|A0A452QK90_URSAM
OG0000011	sp|Q8NH49|OR4X1_HUMAN	tr|A0A452QKA2|A0A452QKA2_URSAM
OG0000011	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A452SDK6|A0A452SDK6_URSAM, tr|A0A452QK85|A0A452QK85_URSAM, tr|A0A452QK92|A0A452QK92_URSAM, tr|A0A452QK87|A0A452QK87_URSAM
OG0000011	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A452SDE4|A0A452SDE4_URSAM, tr|A0A452SDE2|A0A452SDE2_URSAM, tr|A0A452SDE0|A0A452SDE0_URSAM, tr|A0A452SDK1|A0A452SDK1_URSAM, tr|A0A452SDF2|A0A452SDF2_URSAM, tr|A0A452SDJ3|A0A452SDJ3_URSAM, tr|A0A452SDB0|A0A452SDB0_URSAM, tr|A0A452SDE7|A0A452SDE7_URSAM
OG0000012	sp|Q8NH43|OR4L1_HUMAN	tr|A0A452QEM8|A0A452QEM8_URSAM, tr|A0A452QSA3|A0A452QSA3_URSAM, tr|A0A452QZB3|A0A452QZB3_URSAM, tr|A0A452QG09|A0A452QG09_URSAM, tr|A0A452QSD2|A0A452QSD2_URSAM, tr|A0A452QSA4|A0A452QSA4_URSAM, tr|A0A452Q9X6|A0A452Q9X6_URSAM, tr|A0A452RJG3|A0A452RJG3_URSAM, tr|A0A452QIB7|A0A452QIB7_URSAM, tr|A0A452QZA0|A0A452QZA0_URSAM, tr|A0A452QFB2|A0A452QFB2_URSAM, tr|A0A452QH73|A0A452QH73_URSAM, tr|A0A452QV06|A0A452QV06_URSAM, tr|A0A452QW87|A0A452QW87_URSAM, tr|A0A452S0M1|A0A452S0M1_URSAM, tr|A0A452QDI0|A0A452QDI0_URSAM, tr|A0A452QJY3|A0A452QJY3_URSAM, tr|A0A452QH26|A0A452QH26_URSAM, tr|A0A452QYH1|A0A452QYH1_URSAM, tr|A0A452S0T2|A0A452S0T2_URSAM, tr|A0A452QFF3|A0A452QFF3_URSAM, tr|A0A452QL80|A0A452QL80_URSAM, tr|A0A452QHG8|A0A452QHG8_URSAM, tr|A0A452QH67|A0A452QH67_URSAM, tr|A0A452RZ43|A0A452RZ43_URSAM, tr|A0A452Q7G1|A0A452Q7G1_URSAM
OG0000013	sp|Q8NGF0|O52B6_HUMAN	tr|A0A452R8T5|A0A452R8T5_URSAM
OG0000013	sp|Q96RD2|O52B2_HUMAN	tr|A0A452SFL9|A0A452SFL9_URSAM
OG0000013	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A452QV25|A0A452QV25_URSAM, tr|A0A452QGR6|A0A452QGR6_URSAM, tr|A0A452QEL3|A0A452QEL3_URSAM, tr|A0A452QH61|A0A452QH61_URSAM, tr|A0A452QGY5|A0A452QGY5_URSAM, tr|A0A452QH93|A0A452QH93_URSAM, tr|A0A452QAU0|A0A452QAU0_URSAM, tr|A0A452QBY8|A0A452QBY8_URSAM
OG0000013	sp|Q8NGK2|O52B4_HUMAN	tr|A0A452QJT6|A0A452QJT6_URSAM, tr|A0A452QG74|A0A452QG74_URSAM, tr|A0A452RI54|A0A452RI54_URSAM, tr|A0A452QA91|A0A452QA91_URSAM, tr|A0A452RNJ2|A0A452RNJ2_URSAM, tr|A0A452RI05|A0A452RI05_URSAM, tr|A0A452R2H7|A0A452R2H7_URSAM
OG0000014	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A452QFM1|A0A452QFM1_URSAM, tr|A0A452QLG5|A0A452QLG5_URSAM, tr|A0A452QCG0|A0A452QCG0_URSAM, tr|A0A452QCT1|A0A452QCT1_URSAM
OG0000014	sp|Q8NGS6|O13C3_HUMAN	tr|A0A452RHZ0|A0A452RHZ0_URSAM
OG0000014	sp|Q8NGS5|O13C4_HUMAN	tr|A0A452RHU2|A0A452RHU2_URSAM
OG0000014	sp|Q8NGV5|O13D1_HUMAN	tr|A0A452RHU9|A0A452RHU9_URSAM, tr|A0A452R222|A0A452R222_URSAM, tr|A0A452S3R7|A0A452S3R7_URSAM, tr|A0A452RHV7|A0A452RHV7_URSAM, tr|A0A452RI07|A0A452RI07_URSAM
OG0000014	sp|Q8NGS7|O13C8_HUMAN	tr|A0A452RI03|A0A452RI03_URSAM, tr|A0A452RHT2|A0A452RHT2_URSAM
OG0000014	sp|P0DN81|O13C7_HUMAN	tr|A0A452QY18|A0A452QY18_URSAM
OG0000015	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A452RQV3|A0A452RQV3_URSAM
OG0000015	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A452QAH0|A0A452QAH0_URSAM, tr|A0A452SET1|A0A452SET1_URSAM
OG0000015	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A452REC6|A0A452REC6_URSAM, tr|A0A452RED9|A0A452RED9_URSAM, tr|A0A452QKX6|A0A452QKX6_URSAM, tr|A0A452REE4|A0A452REE4_URSAM, tr|A0A452QH19|A0A452QH19_URSAM, tr|A0A452RQY0|A0A452RQY0_URSAM, tr|A0A452RQV7|A0A452RQV7_URSAM, tr|A0A452RQY3|A0A452RQY3_URSAM, tr|A0A452RQW2|A0A452RQW2_URSAM, tr|A0A452RMN1|A0A452RMN1_URSAM, tr|A0A452S107|A0A452S107_URSAM, tr|A0A452RMM3|A0A452RMM3_URSAM, tr|A0A452RMG6|A0A452RMG6_URSAM, tr|A0A452QLW0|A0A452QLW0_URSAM, tr|A0A452SDL4|A0A452SDL4_URSAM, tr|A0A452QLS9|A0A452QLS9_URSAM, tr|A0A452RI65|A0A452RI65_URSAM, tr|A0A452RMJ3|A0A452RMJ3_URSAM, tr|A0A452SF36|A0A452SF36_URSAM, tr|A0A452RZR1|A0A452RZR1_URSAM
OG0000016	sp|Q8NH55|O52E5_HUMAN	tr|A0A452S6B3|A0A452S6B3_URSAM
OG0000016	sp|Q8NGF1|O52R1_HUMAN	tr|A0A452Q851|A0A452Q851_URSAM, tr|A0A452QFS4|A0A452QFS4_URSAM, tr|A0A452SJN0|A0A452SJN0_URSAM, tr|A0A452QCE8|A0A452QCE8_URSAM, tr|A0A452QFL0|A0A452QFL0_URSAM, tr|A0A452Q907|A0A452Q907_URSAM, tr|A0A452R8W8|A0A452R8W8_URSAM, tr|A0A452QDQ7|A0A452QDQ7_URSAM, tr|A0A452Q7C9|A0A452Q7C9_URSAM, tr|A0A452SJJ5|A0A452SJJ5_URSAM, tr|A0A452SJI5|A0A452SJI5_URSAM, tr|A0A452QE14|A0A452QE14_URSAM, tr|A0A452QMR9|A0A452QMR9_URSAM, tr|A0A452QDJ5|A0A452QDJ5_URSAM, tr|A0A452RM56|A0A452RM56_URSAM, tr|A0A452RM55|A0A452RM55_URSAM, tr|A0A452RIA0|A0A452RIA0_URSAM, tr|A0A452RFP4|A0A452RFP4_URSAM, tr|A0A452R717|A0A452R717_URSAM, tr|A0A452QML5|A0A452QML5_URSAM, tr|A0A452SJQ7|A0A452SJQ7_URSAM, tr|A0A452RK38|A0A452RK38_URSAM, tr|A0A452QEV9|A0A452QEV9_URSAM
OG0000018	sp|Q08379|GOGA2_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN	tr|A0A452S254|A0A452S254_URSAM
OG0000019	sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN	tr|A0A452S0M8|A0A452S0M8_URSAM
OG0000020	sp|O95222|OR6A2_HUMAN	tr|A0A452QHZ3|A0A452QHZ3_URSAM
OG0000020	sp|Q8NGX9|OR6P1_HUMAN	tr|A0A452REJ4|A0A452REJ4_URSAM, tr|A0A452QHY3|A0A452QHY3_URSAM, tr|A0A452SQL7|A0A452SQL7_URSAM
OG0000020	sp|O95007|OR6B1_HUMAN	tr|A0A452RMW1|A0A452RMW1_URSAM, tr|A0A452R7W9|A0A452R7W9_URSAM
OG0000020	sp|Q8NGZ6|OR6F1_HUMAN	tr|A0A452RMY0|A0A452RMY0_URSAM, tr|A0A452Q8M3|A0A452Q8M3_URSAM, tr|A0A452QMZ7|A0A452QMZ7_URSAM
OG0000020	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A452QDB3|A0A452QDB3_URSAM, tr|A0A452RAV5|A0A452RAV5_URSAM, tr|A0A452RZT5|A0A452RZT5_URSAM, tr|A0A452S011|A0A452S011_URSAM, tr|A0A452QHX7|A0A452QHX7_URSAM
OG0000021	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A452SA38|A0A452SA38_URSAM
OG0000021	sp|Q96KK5|H2A1H_HUMAN	tr|A0A452SML8|A0A452SML8_URSAM
OG0000021	sp|P0C0S8|H2A1_HUMAN	tr|A0A452R763|A0A452R763_URSAM
OG0000021	sp|Q6FI13|H2A2A_HUMAN	tr|A0A452SA70|A0A452SA70_URSAM
OG0000021	sp|Q93077|H2A1C_HUMAN	tr|A0A452RNL9|A0A452RNL9_URSAM
OG0000021	sp|P04908|H2A1B_HUMAN, sp|Q7L7L0|H2A3_HUMAN	tr|A0A452REH8|A0A452REH8_URSAM
OG0000021	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A452SA71|A0A452SA71_URSAM, tr|A0A452SIA2|A0A452SIA2_URSAM, tr|A0A452SA20|A0A452SA20_URSAM, tr|A0A452SMQ4|A0A452SMQ4_URSAM, tr|A0A452QF30|A0A452QF30_URSAM
OG0000024	sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NLX3|SPDE4_HUMAN	tr|A0A452SEF4|A0A452SEF4_URSAM
OG0000025	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN	tr|A0A452RP77|A0A452RP77_URSAM
OG0000027	sp|P30954|O10J1_HUMAN	tr|A0A452SR08|A0A452SR08_URSAM
OG0000027	sp|Q8NHC4|O10J5_HUMAN	tr|A0A452RJC6|A0A452RJC6_URSAM
OG0000027	sp|Q8NGY7|O10J6_HUMAN	tr|A0A452RBK3|A0A452RBK3_URSAM
OG0000027	sp|Q8NGY1|O10Z1_HUMAN	tr|A0A452SQQ1|A0A452SQQ1_URSAM
OG0000027	sp|Q8NGX6|O10R2_HUMAN	tr|A0A452RLI3|A0A452RLI3_URSAM, tr|A0A452RLI7|A0A452RLI7_URSAM
OG0000027	sp|Q8NGX3|O10T2_HUMAN	tr|A0A452RLC3|A0A452RLC3_URSAM, tr|A0A452QKM1|A0A452QKM1_URSAM, tr|A0A452Q7V7|A0A452Q7V7_URSAM
OG0000027	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A452SQW0|A0A452SQW0_URSAM
OG0000028	sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q8TAW3|ZN671_HUMAN	tr|A0A452RPT0|A0A452RPT0_URSAM
OG0000029	sp|P29320|EPHA3_HUMAN	tr|A0A452RVY6|A0A452RVY6_URSAM
OG0000029	sp|P54753|EPHB3_HUMAN	tr|A0A452RYG5|A0A452RYG5_URSAM
OG0000029	sp|P29323|EPHB2_HUMAN, sp|P54762|EPHB1_HUMAN	tr|A0A452SCM8|A0A452SCM8_URSAM
OG0000029	sp|P54760|EPHB4_HUMAN	tr|A0A452SVY1|A0A452SVY1_URSAM
OG0000029	sp|P54764|EPHA4_HUMAN	tr|A0A452QIV3|A0A452QIV3_URSAM, tr|A0A452QBU7|A0A452QBU7_URSAM, tr|A0A452STZ3|A0A452STZ3_URSAM
OG0000029	sp|P29317|EPHA2_HUMAN	tr|A0A452RI15|A0A452RI15_URSAM
OG0000029	sp|Q15375|EPHA7_HUMAN	tr|A0A452QTN2|A0A452QTN2_URSAM
OG0000029	sp|P29322|EPHA8_HUMAN	tr|A0A452S2I5|A0A452S2I5_URSAM
OG0000031	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A452R8R3|A0A452R8R3_URSAM
OG0000031	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A452R8B7|A0A452R8B7_URSAM
OG0000031	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A452R890|A0A452R890_URSAM
