Orthogroup	Homo_sapiens	Camelus_dromedarius
OG0000006	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A5N4DMD7|A0A5N4DMD7_CAMDR, tr|A0A5N4DML3|A0A5N4DML3_CAMDR, tr|A0A5N4DMI6|A0A5N4DMI6_CAMDR, tr|A0A5N4DML0|A0A5N4DML0_CAMDR
OG0000006	sp|Q9H342|O51J1_HUMAN	tr|A0A5N4DL83|A0A5N4DL83_CAMDR, tr|A0A5N4DLD7|A0A5N4DLD7_CAMDR
OG0000006	sp|Q8TCB6|O51E1_HUMAN	tr|A0A5N4DN27|A0A5N4DN27_CAMDR, tr|A0A5N4DPN9|A0A5N4DPN9_CAMDR, tr|A0A5N4DP00|A0A5N4DP00_CAMDR, tr|A0A5N4DL52|A0A5N4DL52_CAMDR
OG0000007	sp|Q6IFN5|O7E24_HUMAN	tr|A0A5N4CK19|A0A5N4CK19_CAMDR
OG0000007	sp|Q8NH06|OR1P1_HUMAN	tr|A0A5N4CN14|A0A5N4CN14_CAMDR, tr|A0A5N4CJS1|A0A5N4CJS1_CAMDR, tr|A0A5N4CM27|A0A5N4CM27_CAMDR, tr|A0A5N4CMC8|A0A5N4CMC8_CAMDR, tr|A0A5N4CM94|A0A5N4CM94_CAMDR, tr|A0A5N4CM44|A0A5N4CM44_CAMDR, tr|A0A5N4CMJ1|A0A5N4CMJ1_CAMDR, tr|A0A5N4CM40|A0A5N4CM40_CAMDR, tr|A0A5N4CX20|A0A5N4CX20_CAMDR, tr|A0A5N4CLM8|A0A5N4CLM8_CAMDR, tr|A0A5N4CK81|A0A5N4CK81_CAMDR, tr|A0A5N4CL90|A0A5N4CL90_CAMDR, tr|A0A5N4CM49|A0A5N4CM49_CAMDR, tr|A0A5N4CJS6|A0A5N4CJS6_CAMDR, tr|A0A5N4CJS5|A0A5N4CJS5_CAMDR, tr|A0A5N4CJY3|A0A5N4CJY3_CAMDR, tr|A0A5N4CLY6|A0A5N4CLY6_CAMDR, tr|A0A5N4C2P7|A0A5N4C2P7_CAMDR, tr|A0A5N4C2U7|A0A5N4C2U7_CAMDR, tr|A0A5N4CMB3|A0A5N4CMB3_CAMDR, tr|A0A5N4CY06|A0A5N4CY06_CAMDR, tr|A0A5N4EAI5|A0A5N4EAI5_CAMDR, tr|A0A5N4CK97|A0A5N4CK97_CAMDR, tr|A0A5N4CKA2|A0A5N4CKA2_CAMDR, tr|A0A5N4CL79|A0A5N4CL79_CAMDR, tr|A0A5N4EBT3|A0A5N4EBT3_CAMDR, tr|A0A5N4EA32|A0A5N4EA32_CAMDR, tr|A0A5N4EAC6|A0A5N4EAC6_CAMDR, tr|A0A5N4EAI8|A0A5N4EAI8_CAMDR, tr|A0A5N4EA54|A0A5N4EA54_CAMDR, tr|A0A5N4EAM6|A0A5N4EAM6_CAMDR, tr|A0A5N4EAS4|A0A5N4EAS4_CAMDR, tr|A0A5N4EA37|A0A5N4EA37_CAMDR, tr|A0A5N4EAH4|A0A5N4EAH4_CAMDR, tr|A0A5N4EAP3|A0A5N4EAP3_CAMDR, tr|A0A5N4D309|A0A5N4D309_CAMDR, tr|A0A5N4D2Z4|A0A5N4D2Z4_CAMDR, tr|A0A5N4D101|A0A5N4D101_CAMDR, tr|A0A5N4D328|A0A5N4D328_CAMDR, tr|A0A5N4EB56|A0A5N4EB56_CAMDR, tr|A0A5N4EAP7|A0A5N4EAP7_CAMDR, tr|A0A5N4D5K0|A0A5N4D5K0_CAMDR
OG0000008	sp|Q8NH18|OR5J2_HUMAN	tr|A0A5N4DMK7|A0A5N4DMK7_CAMDR
OG0000008	sp|A6NL26|OR5BL_HUMAN	tr|A0A5N4E6C0|A0A5N4E6C0_CAMDR, tr|A0A5N4DNY6|A0A5N4DNY6_CAMDR, tr|A0A5N4DLI9|A0A5N4DLI9_CAMDR, tr|A0A5N4DLC7|A0A5N4DLC7_CAMDR, tr|A0A5N4DNS9|A0A5N4DNS9_CAMDR, tr|A0A5N4DLH5|A0A5N4DLH5_CAMDR, tr|A0A5N4DLJ2|A0A5N4DLJ2_CAMDR, tr|A0A5N4DLB3|A0A5N4DLB3_CAMDR, tr|A0A5N4DLY7|A0A5N4DLY7_CAMDR, tr|A0A5N4DL72|A0A5N4DL72_CAMDR, tr|A0A5N4DNP7|A0A5N4DNP7_CAMDR, tr|A0A5N4DLB9|A0A5N4DLB9_CAMDR
OG0000008	sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN	tr|A0A5N4DLP5|A0A5N4DLP5_CAMDR, tr|A0A5N4DPL4|A0A5N4DPL4_CAMDR, tr|A0A5N4DPH7|A0A5N4DPH7_CAMDR, tr|A0A5N4DLR6|A0A5N4DLR6_CAMDR
OG0000008	sp|P0C626|OR5G3_HUMAN	tr|A0A5N4DL31|A0A5N4DL31_CAMDR, tr|A0A5N4DLQ4|A0A5N4DLQ4_CAMDR, tr|A0A5N4DPG5|A0A5N4DPG5_CAMDR, tr|A0A5N4DLJ9|A0A5N4DLJ9_CAMDR, tr|A0A5N4DLK4|A0A5N4DLK4_CAMDR, tr|A0A5N4DPJ8|A0A5N4DPJ8_CAMDR, tr|A0A5N4DN38|A0A5N4DN38_CAMDR, tr|A0A5N4DPA7|A0A5N4DPA7_CAMDR, tr|A0A5N4DPM2|A0A5N4DPM2_CAMDR
OG0000012	sp|P02792|FRIL_HUMAN	tr|A0A5N4C295|A0A5N4C295_CAMDR, tr|A0A5N4EER0|A0A5N4EER0_CAMDR, tr|A0A5N4DTN0|A0A5N4DTN0_CAMDR, tr|A0A5N4E570|A0A5N4E570_CAMDR, tr|A0A5N4DEH8|A0A5N4DEH8_CAMDR, tr|A0A5N4CZ23|A0A5N4CZ23_CAMDR, tr|A0A5N4CHM4|A0A5N4CHM4_CAMDR, tr|A0A5N4CX51|A0A5N4CX51_CAMDR, tr|A0A5N4C6K0|A0A5N4C6K0_CAMDR, tr|A0A5N4EEP9|A0A5N4EEP9_CAMDR, tr|A0A5N4CL12|A0A5N4CL12_CAMDR, tr|A0A5N4CUL4|A0A5N4CUL4_CAMDR, tr|A0A5N4DCY0|A0A5N4DCY0_CAMDR, tr|A0A5N4DCT0|A0A5N4DCT0_CAMDR, tr|A0A5N4DXG9|A0A5N4DXG9_CAMDR, tr|A0A5N4C6K8|A0A5N4C6K8_CAMDR, tr|A0A5N4E603|A0A5N4E603_CAMDR, tr|A0A5N4EG83|A0A5N4EG83_CAMDR, tr|A0A5N4C1I0|A0A5N4C1I0_CAMDR, tr|A0A5N4CRC9|A0A5N4CRC9_CAMDR, tr|A0A5N4EF99|A0A5N4EF99_CAMDR, tr|A0A5N4DM95|A0A5N4DM95_CAMDR, tr|A0A5N4DEC7|A0A5N4DEC7_CAMDR, tr|A0A5N4CHF6|A0A5N4CHF6_CAMDR, tr|A0A5N4C0N9|A0A5N4C0N9_CAMDR, tr|A0A5N4CG99|A0A5N4CG99_CAMDR, tr|A0A5N4E3N2|A0A5N4E3N2_CAMDR, tr|A0A5N4DQ75|A0A5N4DQ75_CAMDR, tr|A0A5N4E5D8|A0A5N4E5D8_CAMDR, tr|A0A5N4DQN4|A0A5N4DQN4_CAMDR, tr|A0A5N4DHZ1|A0A5N4DHZ1_CAMDR, tr|A0A5N4DVQ6|A0A5N4DVQ6_CAMDR, tr|A0A5N4DR13|A0A5N4DR13_CAMDR
OG0000013	sp|Q8NHA4|O2AE1_HUMAN	tr|A0A5N4CX71|A0A5N4CX71_CAMDR
OG0000013	sp|Q96R30|OR2V2_HUMAN	tr|A0A5N4EEW1|A0A5N4EEW1_CAMDR
OG0000013	sp|Q8NHB1|OR2V1_HUMAN	tr|A0A5N4EB80|A0A5N4EB80_CAMDR
OG0000013	sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN	tr|A0A5N4DMX1|A0A5N4DMX1_CAMDR, tr|A0A5N4DN10|A0A5N4DN10_CAMDR
OG0000013	sp|Q8NG97|OR2Z1_HUMAN	tr|A0A5N4CJZ7|A0A5N4CJZ7_CAMDR
OG0000015	sp|P47914|RL29_HUMAN	tr|A0A5N4CZX4|A0A5N4CZX4_CAMDR, tr|A0A5N4E679|A0A5N4E679_CAMDR, tr|A0A5N4D032|A0A5N4D032_CAMDR, tr|A0A5N4CFV6|A0A5N4CFV6_CAMDR, tr|A0A5N4E3A8|A0A5N4E3A8_CAMDR, tr|A0A5N4CMR6|A0A5N4CMR6_CAMDR, tr|A0A5N4EHR0|A0A5N4EHR0_CAMDR, tr|A0A5N4CIH2|A0A5N4CIH2_CAMDR, tr|A0A5N4C3Z1|A0A5N4C3Z1_CAMDR, tr|A0A5N4E6C4|A0A5N4E6C4_CAMDR, tr|A0A5N4D6N4|A0A5N4D6N4_CAMDR, tr|A0A5N4EGD7|A0A5N4EGD7_CAMDR, tr|A0A5N4DLD5|A0A5N4DLD5_CAMDR, tr|A0A5N4D6X3|A0A5N4D6X3_CAMDR, tr|A0A5N4D7B5|A0A5N4D7B5_CAMDR, tr|A0A5N4E068|A0A5N4E068_CAMDR, tr|A0A5N4E4G7|A0A5N4E4G7_CAMDR, tr|A0A5N4CVN9|A0A5N4CVN9_CAMDR, tr|A0A5N4E3G3|A0A5N4E3G3_CAMDR, tr|A0A5N4EBR8|A0A5N4EBR8_CAMDR, tr|A0A5N4C589|A0A5N4C589_CAMDR, tr|A0A5N4E8J7|A0A5N4E8J7_CAMDR, tr|A0A5N4EFT9|A0A5N4EFT9_CAMDR, tr|A0A5N4D774|A0A5N4D774_CAMDR, tr|A0A5N4DPA3|A0A5N4DPA3_CAMDR, tr|A0A5N4CCU9|A0A5N4CCU9_CAMDR, tr|A0A5N4D8L6|A0A5N4D8L6_CAMDR, tr|A0A5N4CGF6|A0A5N4CGF6_CAMDR, tr|A0A5N4DX03|A0A5N4DX03_CAMDR, tr|A0A5N4CV28|A0A5N4CV28_CAMDR, tr|A0A5N4D2K9|A0A5N4D2K9_CAMDR, tr|A0A5N4C3R5|A0A5N4C3R5_CAMDR
OG0000017	sp|P62807|H2B1C_HUMAN	tr|A0A5N4CRF8|A0A5N4CRF8_CAMDR, tr|A0A5N4CT49|A0A5N4CT49_CAMDR, tr|A0A5N4CT34|A0A5N4CT34_CAMDR, tr|A0A5N4CT25|A0A5N4CT25_CAMDR
OG0000017	sp|P58876|H2B1D_HUMAN	tr|A0A5N4CSH4|A0A5N4CSH4_CAMDR
OG0000017	sp|P33778|H2B1B_HUMAN	tr|A0A5N4CQF6|A0A5N4CQF6_CAMDR
OG0000017	sp|Q5QNW6|H2B2F_HUMAN	tr|A0A5N4CPM8|A0A5N4CPM8_CAMDR
OG0000017	sp|Q8N257|H2B3B_HUMAN	tr|A0A5N4EC75|A0A5N4EC75_CAMDR
OG0000017	sp|Q99880|H2B1L_HUMAN	tr|A0A5N4CRE9|A0A5N4CRE9_CAMDR
OG0000017	sp|Q96A08|H2B1A_HUMAN	tr|A0A5N4CRF9|A0A5N4CRF9_CAMDR, tr|A0A5N4C3C1|A0A5N4C3C1_CAMDR, tr|A0A5N4C3B3|A0A5N4C3B3_CAMDR, tr|A0A5N4C2Y0|A0A5N4C2Y0_CAMDR, tr|A0A5N4C3A7|A0A5N4C3A7_CAMDR, tr|A0A5N4C379|A0A5N4C379_CAMDR, tr|A0A5N4CQG6|A0A5N4CQG6_CAMDR, tr|A0A5N4CRG6|A0A5N4CRG6_CAMDR, tr|A0A5N4CSI1|A0A5N4CSI1_CAMDR, tr|A0A5N4CSG9|A0A5N4CSG9_CAMDR
OG0000017	sp|Q16778|H2B2E_HUMAN	tr|A0A5N4CNY7|A0A5N4CNY7_CAMDR
OG0000017	sp|P06899|H2B1J_HUMAN	tr|A0A5N4CQM3|A0A5N4CQM3_CAMDR
OG0000017	sp|O60814|H2B1K_HUMAN	tr|A0A5N4CQJ7|A0A5N4CQJ7_CAMDR
OG0000018	sp|Q9BZ81|MAGB5_HUMAN	tr|A0A5N4C2X8|A0A5N4C2X8_CAMDR, tr|A0A5N4C2Y4|A0A5N4C2Y4_CAMDR, tr|A0A5N4C2X7|A0A5N4C2X7_CAMDR
OG0000018	sp|A2A368|MAGBG_HUMAN	tr|A0A5N4C3Y2|A0A5N4C3Y2_CAMDR, tr|A0A5N4C0H4|A0A5N4C0H4_CAMDR, tr|A0A5N4C3Y1|A0A5N4C3Y1_CAMDR, tr|A0A5N4C0N1|A0A5N4C0N1_CAMDR, tr|A0A5N4C1H9|A0A5N4C1H9_CAMDR, tr|A0A5N4C3W8|A0A5N4C3W8_CAMDR, tr|A0A5N4C5D5|A0A5N4C5D5_CAMDR, tr|A0A5N4C200|A0A5N4C200_CAMDR, tr|A0A5N4C1U1|A0A5N4C1U1_CAMDR, tr|A0A5N4C207|A0A5N4C207_CAMDR, tr|A0A5N4C3J7|A0A5N4C3J7_CAMDR, tr|A0A5N4C2L0|A0A5N4C2L0_CAMDR, tr|A0A5N4C1K9|A0A5N4C1K9_CAMDR, tr|A0A5N4C1K3|A0A5N4C1K3_CAMDR, tr|A0A5N4C245|A0A5N4C245_CAMDR, tr|A0A5N4C233|A0A5N4C233_CAMDR, tr|A0A5N4C3E7|A0A5N4C3E7_CAMDR, tr|A0A5N4C232|A0A5N4C232_CAMDR, tr|A0A5N4C204|A0A5N4C204_CAMDR, tr|A0A5N4C1G4|A0A5N4C1G4_CAMDR, tr|A0A5N4C0K0|A0A5N4C0K0_CAMDR, tr|A0A5N4C434|A0A5N4C434_CAMDR, tr|A0A5N4C3H4|A0A5N4C3H4_CAMDR, tr|A0A5N4C428|A0A5N4C428_CAMDR, tr|A0A5N4C3D2|A0A5N4C3D2_CAMDR, tr|A0A5N4C3D8|A0A5N4C3D8_CAMDR
