Orthogroup	Homo_sapiens	Ailuropoda_melanoleuca
OG0000006	sp|O00370|LORF2_HUMAN	tr|A0A7N5KDH3|A0A7N5KDH3_AILME
OG0000006	sp|Q9H606|PRORY_HUMAN	tr|A0A7N5P233|A0A7N5P233_AILME, tr|A0A7N5JP47|A0A7N5JP47_AILME, tr|A0A7N5K9Z3|A0A7N5K9Z3_AILME, tr|A0A7N5JV35|A0A7N5JV35_AILME, tr|A0A7N5JZ52|A0A7N5JZ52_AILME, tr|A0A7N5K319|A0A7N5K319_AILME, tr|A0A7N5KK66|A0A7N5KK66_AILME, tr|A0A7N5KGA1|A0A7N5KGA1_AILME, tr|A0A7N5JLN4|A0A7N5JLN4_AILME, tr|A0A7N5JXD4|A0A7N5JXD4_AILME, tr|A0A7N5P1L0|A0A7N5P1L0_AILME, tr|A0A7N5JJU7|A0A7N5JJU7_AILME, tr|A0A7N5K8Y4|A0A7N5K8Y4_AILME, tr|A0A7N5P968|A0A7N5P968_AILME, tr|A0A7N5KAD4|A0A7N5KAD4_AILME, tr|A0A7N5KDA7|A0A7N5KDA7_AILME, tr|A0A7N5KQ47|A0A7N5KQ47_AILME, tr|A0A7N5K8V9|A0A7N5K8V9_AILME, tr|A0A7N5KPM8|A0A7N5KPM8_AILME, tr|A0A7N5K9P1|A0A7N5K9P1_AILME, tr|A0A7N5P6D0|A0A7N5P6D0_AILME, tr|A0A7N5KQX7|A0A7N5KQX7_AILME, tr|A0A7N5JAJ6|A0A7N5JAJ6_AILME, tr|A0A7N5P3B4|A0A7N5P3B4_AILME, tr|A0A7N5JJY5|A0A7N5JJY5_AILME, tr|A0A7N5P008|A0A7N5P008_AILME, tr|A0A7N5JAH9|A0A7N5JAH9_AILME, tr|A0A7N5KH57|A0A7N5KH57_AILME, tr|A0A7N5JR57|A0A7N5JR57_AILME, tr|A0A7N5KEI9|A0A7N5KEI9_AILME, tr|A0A7N5JJU8|A0A7N5JJU8_AILME, tr|A0A7N5K2D2|A0A7N5K2D2_AILME, tr|A0A7N5J9B8|A0A7N5J9B8_AILME, tr|A0A7N5JGJ1|A0A7N5JGJ1_AILME
OG0000007	sp|A6NMZ5|O4C45_HUMAN	tr|A0A7N5JQW9|A0A7N5JQW9_AILME, tr|A0A7N5JVX0|A0A7N5JVX0_AILME, tr|A0A7N5KMJ2|A0A7N5KMJ2_AILME, tr|A0A7N5JYT4|A0A7N5JYT4_AILME, tr|A0A7N5J9J7|A0A7N5J9J7_AILME, tr|G1M705|G1M705_AILME, tr|A0A7N5JPI3|A0A7N5JPI3_AILME, tr|G1MMW8|G1MMW8_AILME, tr|G1ML37|G1ML37_AILME, tr|G1ML52|G1ML52_AILME, tr|A0A7N5KF68|A0A7N5KF68_AILME, tr|A0A7N5JH23|A0A7N5JH23_AILME, tr|A0A7N5J9H5|A0A7N5J9H5_AILME, tr|G1L688|G1L688_AILME, tr|A0A7N5JIC8|A0A7N5JIC8_AILME, tr|G1MIN8|G1MIN8_AILME, tr|A0A7N5JKU9|A0A7N5JKU9_AILME, tr|A0A7N5JRB0|A0A7N5JRB0_AILME, tr|G1LIB5|G1LIB5_AILME, tr|A0A7N5K4X5|A0A7N5K4X5_AILME, tr|G1M9T0|G1M9T0_AILME, tr|G1M9T3|G1M9T3_AILME, tr|A0A7N5JMN3|A0A7N5JMN3_AILME, tr|A0A7N5JCG0|A0A7N5JCG0_AILME, tr|A0A7N5KQM2|A0A7N5KQM2_AILME, tr|A0A7N5JWZ6|A0A7N5JWZ6_AILME, tr|A0A7N5KNN6|A0A7N5KNN6_AILME, tr|A0A7N5JWN6|A0A7N5JWN6_AILME, tr|A0A7N5JW38|A0A7N5JW38_AILME, tr|G1M714|G1M714_AILME, tr|D2I623|D2I623_AILME
OG0000008	sp|Q08379|GOGA2_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN	tr|G1MA52|G1MA52_AILME
OG0000010	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q8N743|KI3L3_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43631|KI2S2_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|P43630|KI3L2_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN	tr|A0A7N5P876|A0A7N5P876_AILME
OG0000011	sp|P78395|PRAME_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|O60811|PRAM2_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|O95521|PRAM1_HUMAN	tr|A0A7N5JVD3|A0A7N5JVD3_AILME
OG0000012	sp|Q9UN81|LORF1_HUMAN	tr|A0A7N5K397|A0A7N5K397_AILME, tr|A0A7N5J937|A0A7N5J937_AILME, tr|A0A7N5KI70|A0A7N5KI70_AILME, tr|A0A7N5KKE0|A0A7N5KKE0_AILME, tr|A0A7N5JU65|A0A7N5JU65_AILME, tr|A0A7N5KBJ6|A0A7N5KBJ6_AILME, tr|A0A7N5JTR8|A0A7N5JTR8_AILME, tr|A0A7N5JNT9|A0A7N5JNT9_AILME, tr|A0A7N5KPT2|A0A7N5KPT2_AILME, tr|A0A7N5JES6|A0A7N5JES6_AILME, tr|A0A7N5KJD1|A0A7N5KJD1_AILME, tr|A0A7N5JPS1|A0A7N5JPS1_AILME, tr|A0A7N5KHS1|A0A7N5KHS1_AILME, tr|A0A7N5JQT2|A0A7N5JQT2_AILME, tr|A0A7N5K4G9|A0A7N5K4G9_AILME, tr|A0A7N5JTZ0|A0A7N5JTZ0_AILME, tr|A0A7N5JKT2|A0A7N5JKT2_AILME, tr|A0A7N5KAG2|A0A7N5KAG2_AILME, tr|A0A7N5P291|A0A7N5P291_AILME, tr|A0A7N5P1A9|A0A7N5P1A9_AILME, tr|A0A7N5KJB7|A0A7N5KJB7_AILME, tr|A0A7N5KAX2|A0A7N5KAX2_AILME, tr|A0A7N5KTL3|A0A7N5KTL3_AILME, tr|A0A7N5JGG1|A0A7N5JGG1_AILME
OG0000013	sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN	tr|G1LVU5|G1LVU5_AILME
OG0000014	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN	tr|A0A7N5K6W5|A0A7N5K6W5_AILME
OG0000017	sp|A6NLX3|SPDE4_HUMAN	tr|G1LJC3|G1LJC3_AILME
OG0000017	sp|Q495Y7|SPDE7_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN	tr|G1MD09|G1MD09_AILME
OG0000018	sp|Q15620|OR8B8_HUMAN	tr|D2I488|D2I488_AILME
OG0000018	sp|Q8NGG6|OR8BC_HUMAN	tr|G1ML12|G1ML12_AILME
OG0000018	sp|Q96RC9|OR8B4_HUMAN	tr|G1LSP2|G1LSP2_AILME, tr|A0A7N5JWD5|A0A7N5JWD5_AILME, tr|A0A7N5KJ11|A0A7N5KJ11_AILME, tr|A0A7N5JR86|A0A7N5JR86_AILME, tr|G1LSN8|G1LSN8_AILME, tr|A0A7N5P1T5|A0A7N5P1T5_AILME, tr|A0A7N5P6J3|A0A7N5P6J3_AILME, tr|G1ML76|G1ML76_AILME, tr|G1MLD3|G1MLD3_AILME, tr|G1ML67|G1ML67_AILME, tr|D2I489|D2I489_AILME
OG0000018	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A7N5JCI8|A0A7N5JCI8_AILME, tr|A0A7N5KNW2|A0A7N5KNW2_AILME, tr|G1LZZ4|G1LZZ4_AILME, tr|G1LZZ3|G1LZZ3_AILME, tr|G1M064|G1M064_AILME
OG0000019	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN	tr|G1MLZ0|G1MLZ0_AILME
OG0000020	sp|Q8WWM1|XAGE5_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|O75459|PAGE1_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|Q4V326|GAG2E_HUMAN	tr|A0A7N5K0V3|A0A7N5K0V3_AILME
OG0000023	sp|P13647|K2C5_HUMAN	tr|A0A7N5JAV1|A0A7N5JAV1_AILME
OG0000023	sp|O95678|K2C75_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P05787|K2C8_HUMAN, sp|P08729|K2C7_HUMAN, sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|P04264|K2C1_HUMAN, sp|P35908|K22E_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|P19013|K2C4_HUMAN, sp|Q8N1N4|K2C78_HUMAN	tr|G1LZP4|G1LZP4_AILME
OG0000027	sp|Q8NGD2|OR4K2_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN	tr|A0A7N5KFY5|A0A7N5KFY5_AILME
OG0000031	sp|P07195|LDHB_HUMAN	tr|G1MCL4|G1MCL4_AILME, tr|A0A7N5KDV4|A0A7N5KDV4_AILME, tr|G1L798|G1L798_AILME
OG0000031	sp|Q9BYZ2|LDH6B_HUMAN, sp|Q6ZMR3|LDH6A_HUMAN, sp|P07864|LDHC_HUMAN	tr|G1MHP3|G1MHP3_AILME
OG0000031	sp|P00338|LDHA_HUMAN	tr|A0A7N5JHB8|A0A7N5JHB8_AILME, tr|A0A7N5KDK5|A0A7N5KDK5_AILME, tr|A0A7N5P778|A0A7N5P778_AILME, tr|G1MHP1|G1MHP1_AILME
OG0000033	sp|A0A5B0|TVB14_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|A0A7N5JHS1|A0A7N5JHS1_AILME
OG0000038	sp|P0C646|O52Z1_HUMAN	tr|G1MLP7|G1MLP7_AILME
OG0000038	sp|Q9H346|O52D1_HUMAN	tr|A0A7N5KR70|A0A7N5KR70_AILME, tr|A0A7N5K110|A0A7N5K110_AILME, tr|G1LAU7|G1LAU7_AILME, tr|A0A7N5KIS0|A0A7N5KIS0_AILME, tr|A0A7N5J879|A0A7N5J879_AILME, tr|G1MP21|G1MP21_AILME, tr|G1MJX5|G1MJX5_AILME, tr|G1M427|G1M427_AILME, tr|G1MNB6|G1MNB6_AILME, tr|G1MJY3|G1MJY3_AILME, tr|A0A7N5KP06|A0A7N5KP06_AILME, tr|G1ML31|G1ML31_AILME, tr|A0A7N5KNX2|A0A7N5KNX2_AILME
OG0000039	sp|P60413|KR10C_HUMAN, sp|P60409|KR107_HUMAN, sp|P60371|KR106_HUMAN, sp|P60372|KR104_HUMAN	tr|A0A7N5JKC2|A0A7N5JKC2_AILME
OG0000039	sp|P60410|KR108_HUMAN, sp|P60370|KR105_HUMAN, sp|P60014|KR10A_HUMAN, sp|P60368|KR102_HUMAN, sp|P60331|KR101_HUMAN, sp|P60369|KR103_HUMAN, sp|P60411|KR109_HUMAN, sp|P60412|KR10B_HUMAN	tr|A0A7N5KEZ3|A0A7N5KEZ3_AILME, tr|A0A7N5KP73|A0A7N5KP73_AILME, tr|A0A7N5JUS0|A0A7N5JUS0_AILME
OG0000040	sp|Q9UGF5|O14J1_HUMAN	tr|G1MKL8|G1MKL8_AILME
OG0000040	sp|A6ND48|O14I1_HUMAN	tr|A0A7N5J8H0|A0A7N5J8H0_AILME, tr|G1LDF8|G1LDF8_AILME
OG0000040	sp|Q8NHC7|O14CZ_HUMAN	tr|G1M3I3|G1M3I3_AILME
OG0000040	sp|Q8NGZ2|O14K1_HUMAN	tr|G1M6I1|G1M6I1_AILME
OG0000040	sp|Q96R54|O14A2_HUMAN	tr|A0A7N5P364|A0A7N5P364_AILME
