Orthogroup	Homo_sapiens	Panthera_tigris_altaica
OG0000016	sp|Q8NGI2|O52N4_HUMAN	tr|A0A8C9JA72|A0A8C9JA72_PANTA, tr|A0A8C9JSG0|A0A8C9JSG0_PANTA, tr|A0A8C9JKC2|A0A8C9JKC2_PANTA
OG0000016	sp|Q8NH57|O52P1_HUMAN	tr|A0A8C9M5A1|A0A8C9M5A1_PANTA, tr|A0A8C9JW88|A0A8C9JW88_PANTA, tr|A0A8C9KKD6|A0A8C9KKD6_PANTA, tr|A0A8C9JCF5|A0A8C9JCF5_PANTA
OG0000016	sp|Q8NGF1|O52R1_HUMAN	tr|A0A8C9M590|A0A8C9M590_PANTA, tr|A0A8C9KC35|A0A8C9KC35_PANTA, tr|A0A8C9KC22|A0A8C9KC22_PANTA
OG0000019	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN	tr|A0A8C9KNC6|A0A8C9KNC6_PANTA
OG0000020	sp|Q9H9J4|UBP42_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN	tr|A0A8C9K0Q6|A0A8C9K0Q6_PANTA
OG0000021	sp|P29322|EPHA8_HUMAN	tr|A0A8C9JKC0|A0A8C9JKC0_PANTA
OG0000021	sp|P29323|EPHB2_HUMAN	tr|A0A8C9KR99|A0A8C9KR99_PANTA
OG0000021	sp|P54762|EPHB1_HUMAN	tr|A0A8C9KJG9|A0A8C9KJG9_PANTA, tr|A0A8C9KQK8|A0A8C9KQK8_PANTA
OG0000021	sp|P54753|EPHB3_HUMAN	tr|A0A8C9KV18|A0A8C9KV18_PANTA
OG0000021	sp|P54760|EPHB4_HUMAN	tr|A0A8C9K883|A0A8C9K883_PANTA
OG0000021	sp|P54764|EPHA4_HUMAN	tr|A0A8C9KJH4|A0A8C9KJH4_PANTA
OG0000021	sp|P54756|EPHA5_HUMAN	tr|A0A8C9JXK0|A0A8C9JXK0_PANTA
OG0000021	sp|P29320|EPHA3_HUMAN	tr|A0A8C9JR69|A0A8C9JR69_PANTA
OG0000021	sp|Q9UF33|EPHA6_HUMAN	tr|A0A8C9M268|A0A8C9M268_PANTA
OG0000021	sp|Q15375|EPHA7_HUMAN	tr|A0A8C9J443|A0A8C9J443_PANTA
OG0000021	sp|Q5JZY3|EPHAA_HUMAN	tr|A0A8C9KH14|A0A8C9KH14_PANTA
OG0000022	sp|Q99853|FOXB1_HUMAN, sp|Q5VYV0|FOXB2_HUMAN, sp|P55318|FOXA3_HUMAN, sp|Q92949|FOXJ1_HUMAN, sp|Q9C009|FOXQ1_HUMAN, sp|Q12948|FOXC1_HUMAN, sp|Q99958|FOXC2_HUMAN, sp|Q6ZQN5|FOXI2_HUMAN, sp|A0A1W2PRP0|FOXL3_HUMAN, sp|P58012|FOXL2_HUMAN, sp|Q12952|FOXL1_HUMAN, sp|O60548|FOXD2_HUMAN, sp|Q16676|FOXD1_HUMAN, sp|Q9UJU5|FOXD3_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q13461|FOXE3_HUMAN, sp|O00358|FOXE1_HUMAN	tr|A0A8C9M6R4|A0A8C9M6R4_PANTA
OG0000023	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN	tr|A0A8C9KWS2|A0A8C9KWS2_PANTA
OG0000024	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|A0A0C4DH38|HV551_HUMAN, sp|A0A0J9YXX1|HV5X1_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, sp|P01743|HV146_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN	tr|A0A8C9K3W7|A0A8C9K3W7_PANTA, tr|A0A8C9JMY4|A0A8C9JMY4_PANTA
OG0000026	sp|P13646|K1C13_HUMAN	tr|A0A8C9IYG7|A0A8C9IYG7_PANTA
OG0000026	sp|P19012|K1C15_HUMAN	tr|A0A8C9J334|A0A8C9J334_PANTA
OG0000026	sp|Q04695|K1C17_HUMAN	tr|A0A8C9J8K4|A0A8C9J8K4_PANTA
OG0000026	sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN	tr|A0A8C9M2S0|A0A8C9M2S0_PANTA
OG0000026	sp|Q15323|K1H1_HUMAN, sp|Q14525|KT33B_HUMAN, sp|O76009|KT33A_HUMAN, sp|O76011|KRT34_HUMAN, tr|A0A140TA62|A0A140TA62_HUMAN, sp|Q14532|K1H2_HUMAN, sp|P08727|K1C19_HUMAN	tr|A0A8C9JGT4|A0A8C9JGT4_PANTA
OG0000026	sp|P35527|K1C9_HUMAN, sp|P13645|K1C10_HUMAN, sp|Q99456|K1C12_HUMAN	tr|A0A8C9JPJ7|A0A8C9JPJ7_PANTA
OG0000029	sp|Q8N1N4|K2C78_HUMAN	tr|A0A8C9JIP9|A0A8C9JIP9_PANTA
OG0000029	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8C9J7S4|A0A8C9J7S4_PANTA, tr|A0A8C9KN67|A0A8C9KN67_PANTA, tr|A0A8C9KJL6|A0A8C9KJL6_PANTA, tr|A0A8C9KEP1|A0A8C9KEP1_PANTA, tr|A0A8C9KJX4|A0A8C9KJX4_PANTA, tr|A0A8C9M1J0|A0A8C9M1J0_PANTA, tr|A0A8C9JHI2|A0A8C9JHI2_PANTA, tr|A0A8C9M4J6|A0A8C9M4J6_PANTA, tr|A0A8C9JU42|A0A8C9JU42_PANTA, tr|A0A8C9M8D3|A0A8C9M8D3_PANTA, tr|A0A8C9M9Y8|A0A8C9M9Y8_PANTA, tr|A0A8C9JYJ2|A0A8C9JYJ2_PANTA, tr|A0A8C9J0E2|A0A8C9J0E2_PANTA, tr|A0A8C9J8P9|A0A8C9J8P9_PANTA, tr|A0A8C9M2Z2|A0A8C9M2Z2_PANTA, tr|A0A8C9L248|A0A8C9L248_PANTA, tr|A0A8C9L0E0|A0A8C9L0E0_PANTA, tr|A0A8C9J859|A0A8C9J859_PANTA
OG0000030	tr|A0A0B4J2B6|A0A0B4J2B6_HUMAN, sp|A0A0B4J1V2|HV226_HUMAN, sp|P01817|HV205_HUMAN, sp|P01814|HV270_HUMAN, sp|A0A0C4DH43|HV70D_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P0DP06|HVD34_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|P01824|HV439_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|A0A075B6R2|HV404_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN	tr|A0A8C9K9C1|A0A8C9K9C1_PANTA
OG0000033	sp|A0A075B6N4|TVBY1_HUMAN, sp|A0A0K0K1B3|TVB30_HUMAN, sp|A0A075B6N3|TVBX1_HUMAN, sp|A0A5B6|TVB28_HUMAN, sp|A0A075B6N1|TVB19_HUMAN, sp|A0A0K0K1C4|TVB27_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|A0A0K0K1A3|TVBJ1_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A1B0GX49|TVB64_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN	tr|A0A8C9M4P4|A0A8C9M4P4_PANTA
OG0000035	tr|B3KNS4|B3KNS4_HUMAN, sp|P61568|ENK11_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|P63136|POK25_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|P63132|PO113_HUMAN, sp|P63133|POK8_HUMAN, sp|Q9QC07|POK18_HUMAN, sp|Q9UQG0|POK11_HUMAN, sp|P10266|POK10_HUMAN, sp|P63135|POK7_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61574|RE113_HUMAN, sp|P61576|REC04_HUMAN, sp|P61578|REC16_HUMAN	tr|A0A8C9J964|A0A8C9J964_PANTA
OG0000036	sp|Q01105|SET_HUMAN, sp|P0DME0|SETLP_HUMAN	tr|A0A8C9KQF4|A0A8C9KQF4_PANTA
OG0000036	sp|Q9H2G4|TSYL2_HUMAN, sp|Q86VY4|TSYL5_HUMAN, sp|Q9H489|TSY26_HUMAN, sp|Q8N831|TSYL6_HUMAN, sp|Q9H0U9|TSYL1_HUMAN, sp|Q9UJ04|TSYL4_HUMAN	tr|A0A8C9J987|A0A8C9J987_PANTA
OG0000036	sp|P0CV98|TSPY3_HUMAN, sp|Q01534|TSPY1_HUMAN, sp|P0CW01|TSPYA_HUMAN, sp|P0CW00|TSPY8_HUMAN, sp|A6NKD2|TSPY2_HUMAN, sp|A0A494C1R9|TSPY9_HUMAN, sp|P0CV99|TSPY4_HUMAN	tr|A0A8C9K375|A0A8C9K375_PANTA
OG0000037	sp|Q96A08|H2B1A_HUMAN	tr|A0A8C9IZJ1|A0A8C9IZJ1_PANTA, tr|A0A8C9IZK1|A0A8C9IZK1_PANTA
OG0000037	sp|Q8N257|H2B3B_HUMAN	tr|A0A8C9J4B7|A0A8C9J4B7_PANTA, tr|A0A8C9J569|A0A8C9J569_PANTA, tr|A0A8C9K113|A0A8C9K113_PANTA, tr|A0A8C9J5G4|A0A8C9J5G4_PANTA, tr|A0A8C9M190|A0A8C9M190_PANTA, tr|A0A8C9J5Q9|A0A8C9J5Q9_PANTA, tr|A0A8C9J386|A0A8C9J386_PANTA, tr|A0A8C9JU80|A0A8C9JU80_PANTA, tr|A0A8C9KPZ4|A0A8C9KPZ4_PANTA, tr|A0A8C9M1D9|A0A8C9M1D9_PANTA, tr|A0A8C9J4P6|A0A8C9J4P6_PANTA, tr|A0A8C9JJ35|A0A8C9JJ35_PANTA, tr|A0A8C9JKK0|A0A8C9JKK0_PANTA, tr|A0A8C9JKI2|A0A8C9JKI2_PANTA
