Orthogroup	Homo_sapiens	Mustela_putorius_furo
OG0000021	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8U0NMP4|A0A8U0NMP4_MUSPF, tr|A0A8U0RZ12|A0A8U0RZ12_MUSPF, tr|A0A8U0S2G6|A0A8U0S2G6_MUSPF, tr|A0A8U0RXT8|A0A8U0RXT8_MUSPF, tr|A0A8U0NM07|A0A8U0NM07_MUSPF, tr|A0A8U0S1N3|A0A8U0S1N3_MUSPF, tr|A0A8U0S1P1|A0A8U0S1P1_MUSPF, tr|A0A8U0NMT6|A0A8U0NMT6_MUSPF, tr|A0A8U0RYK8|A0A8U0RYK8_MUSPF, tr|A0A8U0UYD6|A0A8U0UYD6_MUSPF, tr|A0A8U0TB34|A0A8U0TB34_MUSPF, tr|A0A8U0NFL9|A0A8U0NFL9_MUSPF, tr|A0A8U0S251|A0A8U0S251_MUSPF, tr|A0A8U0UYM8|A0A8U0UYM8_MUSPF, tr|A0A8U0RYZ5|A0A8U0RYZ5_MUSPF, tr|A0A8U0V058|A0A8U0V058_MUSPF, tr|A0A8U0RYD0|A0A8U0RYD0_MUSPF, tr|A0A8U0V0C6|A0A8U0V0C6_MUSPF, tr|A0A8U0RYE9|A0A8U0RYE9_MUSPF, tr|A0A8U0V0L2|A0A8U0V0L2_MUSPF, tr|A0A8U0V0R1|A0A8U0V0R1_MUSPF, tr|A0A8U0V0S1|A0A8U0V0S1_MUSPF, tr|A0A8U0RYV3|A0A8U0RYV3_MUSPF, tr|A0A8U0RZK1|A0A8U0RZK1_MUSPF
OG0000022	sp|P57053|H2BFS_HUMAN	tr|A0A8U0SBR9|A0A8U0SBR9_MUSPF
OG0000022	sp|P62807|H2B1C_HUMAN	tr|M3Z4I3|M3Z4I3_MUSPF
OG0000022	sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN	tr|A0A8U0SA53|A0A8U0SA53_MUSPF
OG0000022	sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN	tr|A0A8U0S906|A0A8U0S906_MUSPF
OG0000022	sp|P23527|H2B1O_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|P0C1H6|H2BFM_HUMAN, sp|Q7Z2G1|H2BWT_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q8N257|H2B3B_HUMAN	tr|M3Z4A9|M3Z4A9_MUSPF
OG0000025	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8U0TBK9|A0A8U0TBK9_MUSPF, tr|A0A8U0RIP7|A0A8U0RIP7_MUSPF, tr|A0A8U0NIG6|A0A8U0NIG6_MUSPF, tr|A0A8U0NGS4|A0A8U0NGS4_MUSPF, tr|A0A8U0NI83|A0A8U0NI83_MUSPF, tr|A0A8U0NHH7|A0A8U0NHH7_MUSPF, tr|A0A8U0T7U7|A0A8U0T7U7_MUSPF, tr|A0A8U0NHS2|A0A8U0NHS2_MUSPF, tr|M3Z6R6|M3Z6R6_MUSPF, tr|M3Z5M1|M3Z5M1_MUSPF, tr|A0A8U0T8C6|A0A8U0T8C6_MUSPF
OG0000025	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8U0TAK3|A0A8U0TAK3_MUSPF, tr|A0A8U0NHH4|A0A8U0NHH4_MUSPF, tr|A0A8U0NHY9|A0A8U0NHY9_MUSPF, tr|A0A8U0NGW3|A0A8U0NGW3_MUSPF, tr|A0A8U0RIM7|A0A8U0RIM7_MUSPF, tr|A0A8U0T8S1|A0A8U0T8S1_MUSPF, tr|A0A8U0RG40|A0A8U0RG40_MUSPF, tr|A0A8U0T7H9|A0A8U0T7H9_MUSPF, tr|A0A8U0RGC4|A0A8U0RGC4_MUSPF, tr|A0A8U0URN0|A0A8U0URN0_MUSPF, tr|A0A8U0RJM9|A0A8U0RJM9_MUSPF, tr|A0A8U0NGZ2|A0A8U0NGZ2_MUSPF
OG0000026	sp|Q8NG99|OR7G2_HUMAN	tr|A0A8U0T3T9|A0A8U0T3T9_MUSPF, tr|A0A8U0N881|A0A8U0N881_MUSPF
OG0000026	sp|Q8NG95|OR7G3_HUMAN	tr|A0A8U0NK22|A0A8U0NK22_MUSPF
OG0000026	sp|Q6IFN5|O7E24_HUMAN	tr|A0A8U0T422|A0A8U0T422_MUSPF, tr|A0A8U0SD02|A0A8U0SD02_MUSPF, tr|A0A8U0S1R2|A0A8U0S1R2_MUSPF, tr|A0A8U0N8Z2|A0A8U0N8Z2_MUSPF, tr|A0A8U0RZB6|A0A8U0RZB6_MUSPF, tr|A0A8U0S2Y3|A0A8U0S2Y3_MUSPF, tr|A0A8U0S266|A0A8U0S266_MUSPF, tr|A0A8U0N8A0|A0A8U0N8A0_MUSPF, tr|A0A8U0T8E2|A0A8U0T8E2_MUSPF, tr|A0A8U0NNA1|A0A8U0NNA1_MUSPF, tr|A0A8U0NH23|A0A8U0NH23_MUSPF
OG0000026	sp|Q8NGA0|OR7G1_HUMAN	tr|A0A8U0NJR7|A0A8U0NJR7_MUSPF, tr|A0A8U0N9J6|A0A8U0N9J6_MUSPF, tr|A0A8U0N7L0|A0A8U0N7L0_MUSPF, tr|A0A8U0T3Z8|A0A8U0T3Z8_MUSPF, tr|A0A8U0N8L8|A0A8U0N8L8_MUSPF
OG0000027	sp|P19013|K2C4_HUMAN	tr|M3Y5M4|M3Y5M4_MUSPF
OG0000027	sp|Q14CN4|K2C72_HUMAN	tr|A0A8U0NBB2|A0A8U0NBB2_MUSPF
OG0000027	sp|Q3SY84|K2C71_HUMAN	tr|A0A8U0UUJ5|A0A8U0UUJ5_MUSPF
OG0000027	sp|Q86Y46|K2C73_HUMAN	tr|A0A8U0T4M4|A0A8U0T4M4_MUSPF
OG0000027	sp|Q7RTS7|K2C74_HUMAN	tr|A0A8U0NBD6|A0A8U0NBD6_MUSPF
OG0000027	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8U0T5B9|A0A8U0T5B9_MUSPF, tr|A0A8U0NB30|A0A8U0NB30_MUSPF, tr|A0A8U0NBN7|A0A8U0NBN7_MUSPF, tr|A0A8U0UWJ1|A0A8U0UWJ1_MUSPF
OG0000028	sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN	tr|A0A8U0UXR0|A0A8U0UXR0_MUSPF
OG0000029	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8U0NHW4|A0A8U0NHW4_MUSPF, tr|A0A8U0UZJ6|A0A8U0UZJ6_MUSPF
OG0000029	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A8U0T2A4|A0A8U0T2A4_MUSPF, tr|A0A8U0TH38|A0A8U0TH38_MUSPF, tr|A0A8U0T2R4|A0A8U0T2R4_MUSPF
OG0000029	sp|Q8NH55|O52E5_HUMAN	tr|A0A8U0N5R5|A0A8U0N5R5_MUSPF, tr|A0A8U0SJI7|A0A8U0SJI7_MUSPF, tr|M3Z4R5|M3Z4R5_MUSPF
OG0000029	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A8U0RQH6|A0A8U0RQH6_MUSPF, tr|A0A8U0N5D1|A0A8U0N5D1_MUSPF
OG0000031	sp|Q9GZK3|OR2B2_HUMAN	tr|A0A8U0NGS0|A0A8U0NGS0_MUSPF
OG0000031	sp|O76000|OR2B3_HUMAN	tr|A0A8U0NHH0|A0A8U0NHH0_MUSPF
OG0000031	sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN	tr|M3Z8K6|M3Z8K6_MUSPF
OG0000031	sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|A0A8U0NHC3|A0A8U0NHC3_MUSPF
OG0000033	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A8U0NYQ9|A0A8U0NYQ9_MUSPF
OG0000033	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8U0S044|A0A8U0S044_MUSPF
OG0000033	sp|P17039|ZNF30_HUMAN, sp|Q8NCK3|ZN485_HUMAN	tr|M3Y2D5|M3Y2D5_MUSPF
OG0000033	sp|Q96NG8|ZN582_HUMAN	tr|A0A8U0ND28|A0A8U0ND28_MUSPF
OG0000033	sp|Q969W8|ZN566_HUMAN	tr|A0A8U0UYV2|A0A8U0UYV2_MUSPF
OG0000033	sp|Q8NA42|ZN383_HUMAN	tr|A0A8U0NMA1|A0A8U0NMA1_MUSPF
OG0000033	sp|Q86UE3|ZN546_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN	tr|A0A8U0NKZ1|A0A8U0NKZ1_MUSPF
OG0000035	sp|Q9BY31|ZN717_HUMAN	tr|A0A8U0RI50|A0A8U0RI50_MUSPF
OG0000035	sp|Q6ZMW2|ZN782_HUMAN	tr|A0A8U0SJF2|A0A8U0SJF2_MUSPF, tr|A0A8U0NLY3|A0A8U0NLY3_MUSPF
OG0000035	sp|Q9Y2H8|ZN510_HUMAN	tr|M3XST1|M3XST1_MUSPF, tr|A0A8U0V6P1|A0A8U0V6P1_MUSPF
OG0000035	sp|P17032|ZN37A_HUMAN	tr|A0A8U0RYD3|A0A8U0RYD3_MUSPF, tr|A0A8U0SM80|A0A8U0SM80_MUSPF, tr|A0A8U0RUX2|A0A8U0RUX2_MUSPF, tr|A0A8U0SJM6|A0A8U0SJM6_MUSPF, tr|A0A8U0UR26|A0A8U0UR26_MUSPF, tr|A0A8U0V7W6|A0A8U0V7W6_MUSPF, tr|A0A8U0UVG5|A0A8U0UVG5_MUSPF, tr|A0A8U0SM45|A0A8U0SM45_MUSPF, tr|A0A8U0SJ93|A0A8U0SJ93_MUSPF, tr|A0A8U0SII5|A0A8U0SII5_MUSPF
OG0000039	sp|P0DN81|O13C7_HUMAN	tr|A0A8U0MKY6|A0A8U0MKY6_MUSPF
OG0000039	sp|Q8NH95|O13C6_HUMAN	tr|A0A8U0MMZ2|A0A8U0MMZ2_MUSPF, tr|A0A8U0V2L0|A0A8U0V2L0_MUSPF, tr|A0A8U0T6N9|A0A8U0T6N9_MUSPF
OG0000039	sp|Q8NGS7|O13C8_HUMAN	tr|A0A8U0STA7|A0A8U0STA7_MUSPF, tr|A0A8U0ML96|A0A8U0ML96_MUSPF
