Orthogroup	Homo_sapiens	Myotis_brandtii
OG0000026	sp|Q96NG8|ZN582_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q14585|ZN345_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q8N141|ZFP82_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|S7MUP6|S7MUP6_MYOBR
OG0000028	sp|Q9H9J4|UBP42_HUMAN	tr|S7NF85|S7NF85_MYOBR
OG0000028	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|S7NQI6|S7NQI6_MYOBR
OG0000030	sp|Q7Z3T1|OR2W3_HUMAN	tr|S7MU94|S7MU94_MYOBR
OG0000030	sp|Q8NHA6|OR2W6_HUMAN	tr|S7MY43|S7MY43_MYOBR
OG0000030	sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN	tr|S7NV08|S7NV08_MYOBR
OG0000031	sp|Q14CN4|K2C72_HUMAN	tr|S7PGA1|S7PGA1_MYOBR
OG0000031	sp|Q8N1N4|K2C78_HUMAN	tr|S7MY50|S7MY50_MYOBR
OG0000031	sp|P19013|K2C4_HUMAN	tr|S7PMN7|S7PMN7_MYOBR
OG0000031	sp|P08729|K2C7_HUMAN	tr|S7PGA3|S7PGA3_MYOBR
OG0000031	sp|O95678|K2C75_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P13647|K2C5_HUMAN	tr|S7MYF5|S7MYF5_MYOBR
OG0000033	sp|A6NLX3|SPDE4_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN	tr|S7PC80|S7PC80_MYOBR
OG0000034	sp|Q8NGD4|OR4K1_HUMAN	tr|S7P2W0|S7P2W0_MYOBR
OG0000034	sp|Q8NGB9|OR4F6_HUMAN	tr|S7Q966|S7Q966_MYOBR
OG0000034	sp|Q8NGB8|O4F15_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|S7QF94|S7QF94_MYOBR
OG0000034	sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q96R69|OR4F4_HUMAN	tr|S7PAG9|S7PAG9_MYOBR
OG0000034	sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|S7NWA4|S7NWA4_MYOBR
OG0000036	sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGL9|OR4CG_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN	tr|S7QE87|S7QE87_MYOBR
OG0000037	sp|Q05639|EF1A2_HUMAN	tr|S7NSJ2|S7NSJ2_MYOBR
OG0000037	sp|P68104|EF1A1_HUMAN	tr|S7PTA2|S7PTA2_MYOBR, tr|S7Q3H9|S7Q3H9_MYOBR, tr|S7NNL6|S7NNL6_MYOBR, tr|S7N1X6|S7N1X6_MYOBR
OG0000037	sp|Q5VTE0|EF1A3_HUMAN	tr|S7MKQ5|S7MKQ5_MYOBR, tr|S7MR17|S7MR17_MYOBR, tr|S7MZH2|S7MZH2_MYOBR, tr|S7PX76|S7PX76_MYOBR, tr|S7Q0A0|S7Q0A0_MYOBR, tr|S7N3X6|S7N3X6_MYOBR, tr|S7PAL0|S7PAL0_MYOBR, tr|S7MNL8|S7MNL8_MYOBR, tr|S7N804|S7N804_MYOBR, tr|S7P4A4|S7P4A4_MYOBR, tr|S7QG30|S7QG30_MYOBR, tr|S7P3H5|S7P3H5_MYOBR, tr|S7PM60|S7PM60_MYOBR, tr|S7PTJ3|S7PTJ3_MYOBR
OG0000038	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN	tr|S7Q7Z0|S7Q7Z0_MYOBR
