Orthogroup	Homo_sapiens	Mandrillus_leucophaeus
OG0000020	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN	tr|A0A2K5YNK1|A0A2K5YNK1_MANLE
OG0000021	sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN	tr|A0A2K5Y2N8|A0A2K5Y2N8_MANLE
OG0000022	sp|A6NNH2|F90AR_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|D6RGX4|F90AP_HUMAN	tr|A0A2K5XHI2|A0A2K5XHI2_MANLE
OG0000024	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K5XCC5|A0A2K5XCC5_MANLE
OG0000024	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K5ZWH8|A0A2K5ZWH8_MANLE
OG0000024	sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2K5Y4I2|A0A2K5Y4I2_MANLE
OG0000024	sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN	tr|A0A2K5XDG9|A0A2K5XDG9_MANLE
OG0000025	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K5XIT3|A0A2K5XIT3_MANLE
OG0000025	sp|P29322|EPHA8_HUMAN	tr|A0A2K5XMJ6|A0A2K5XMJ6_MANLE
OG0000025	sp|Q15375|EPHA7_HUMAN	tr|A0A2K6ACW3|A0A2K6ACW3_MANLE
OG0000025	sp|P54760|EPHB4_HUMAN	tr|A0A2K6A7A6|A0A2K6A7A6_MANLE
OG0000025	sp|P29323|EPHB2_HUMAN	tr|A0A2K5YPJ6|A0A2K5YPJ6_MANLE
OG0000025	sp|P54762|EPHB1_HUMAN	tr|A0A2K5YT89|A0A2K5YT89_MANLE
OG0000025	sp|P54753|EPHB3_HUMAN	tr|A0A2K6AKF8|A0A2K6AKF8_MANLE
OG0000025	sp|P54764|EPHA4_HUMAN	tr|A0A2K5Y150|A0A2K5Y150_MANLE
OG0000025	sp|P54756|EPHA5_HUMAN	tr|A0A2K5YQD6|A0A2K5YQD6_MANLE
OG0000025	sp|P29320|EPHA3_HUMAN	tr|A0A2K5ZZ33|A0A2K5ZZ33_MANLE
OG0000026	sp|Q09FC8|ZN415_HUMAN	tr|A0A2K6A6P2|A0A2K6A6P2_MANLE
OG0000026	sp|Q08AN1|ZN616_HUMAN	tr|A0A2K5Y2N5|A0A2K5Y2N5_MANLE
OG0000026	sp|Q6ZN19|ZN841_HUMAN, sp|Q6ZNA1|ZN836_HUMAN	tr|A0A2K5YZS4|A0A2K5YZS4_MANLE
OG0000027	sp|E9PIF3|NPIA2_HUMAN, sp|F8WFD2|NPIA3_HUMAN, sp|Q9UND3|NPIA1_HUMAN, sp|E9PJI5|NPIA7_HUMAN, sp|P0DM63|NPIA8_HUMAN, sp|A0A0B4J1W7|NPIA9_HUMAN, sp|E9PKD4|NPIA5_HUMAN, sp|A6NJ64|NPIB2_HUMAN, sp|E5RHQ5|NPB11_HUMAN, sp|Q92617|NPIB3_HUMAN, sp|A8MRT5|NPIB5_HUMAN, sp|A6NJU9|NPB13_HUMAN, sp|F8W0I5|NPB12_HUMAN, sp|C9JG80|NPIB4_HUMAN, sp|E9PQR5|NPIB8_HUMAN, sp|E9PJ23|NPIB6_HUMAN, sp|A6NHN6|NPB15_HUMAN, sp|F8W1W9|NPIB9_HUMAN, sp|O75200|NPIB7_HUMAN	tr|A0A2K6A032|A0A2K6A032_MANLE
OG0000028	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|P0DSO3|GAGE4_HUMAN	tr|A0A2K5XZH5|A0A2K5XZH5_MANLE, tr|A0A2K5XC07|A0A2K5XC07_MANLE
OG0000029	sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN	tr|A0A2K5ZG94|A0A2K5ZG94_MANLE
OG0000029	sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN	tr|A0A2K5XGH8|A0A2K5XGH8_MANLE
OG0000030	sp|P00338|LDHA_HUMAN	tr|A0A2K5XEG0|A0A2K5XEG0_MANLE, tr|A0A2K6AE06|A0A2K6AE06_MANLE, tr|A0A2K5ZFR1|A0A2K5ZFR1_MANLE
OG0000030	sp|P07864|LDHC_HUMAN	tr|A0A2K5XY12|A0A2K5XY12_MANLE
OG0000030	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2K6A5E8|A0A2K6A5E8_MANLE
OG0000030	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2K5YAA0|A0A2K5YAA0_MANLE, tr|A0A2K6A4E0|A0A2K6A4E0_MANLE
OG0000030	sp|P07195|LDHB_HUMAN	tr|A0A2K5XCD5|A0A2K5XCD5_MANLE, tr|A0A2K5Z0U9|A0A2K5Z0U9_MANLE, tr|A0A2K6A2S6|A0A2K6A2S6_MANLE, tr|A0A2K5XC61|A0A2K5XC61_MANLE, tr|A0A2K5YX05|A0A2K5YX05_MANLE, tr|A0A2K5XSK5|A0A2K5XSK5_MANLE, tr|A0A2K5ZEY0|A0A2K5ZEY0_MANLE
OG0000036	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P01743|HV146_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN	tr|A0A2K5XWP9|A0A2K5XWP9_MANLE
OG0000037	sp|Q15615|OR4D1_HUMAN	tr|A0A2K5XDH5|A0A2K5XDH5_MANLE
OG0000037	sp|P58180|OR4D2_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8NGD1|OR4N2_HUMAN	tr|A0A2K5XCY6|A0A2K5XCY6_MANLE
OG0000038	sp|Q8N6C8|LIRA3_HUMAN	tr|A0A2K5YVT9|A0A2K5YVT9_MANLE, tr|A0A2K5ZPV6|A0A2K5ZPV6_MANLE
OG0000038	sp|O75019|LIRA1_HUMAN, sp|Q8N149|LIRA2_HUMAN	tr|A0A2K5XWC7|A0A2K5XWC7_MANLE
