Orthogroup	Homo_sapiens	Puma_concolor
OG0000001	sp|Q6IFN5|O7E24_HUMAN	tr|A0A6P6H8W9|A0A6P6H8W9_PUMCO, tr|A0A6P6H722|A0A6P6H722_PUMCO, tr|A0A6P6H739|A0A6P6H739_PUMCO, tr|A0A6P6H9K3|A0A6P6H9K3_PUMCO, tr|A0A6P6H717|A0A6P6H717_PUMCO, tr|A0A6P6H7Z5|A0A6P6H7Z5_PUMCO, tr|A0A6P6H833|A0A6P6H833_PUMCO, tr|A0A6P6H8C4|A0A6P6H8C4_PUMCO, tr|A0A6P6H822|A0A6P6H822_PUMCO, tr|A0A6P6H951|A0A6P6H951_PUMCO, tr|A0A6P6H864|A0A6P6H864_PUMCO, tr|A0A6P6H854|A0A6P6H854_PUMCO, tr|A0A6P6HAU8|A0A6P6HAU8_PUMCO, tr|A0A6P6H8F8|A0A6P6H8F8_PUMCO, tr|A0A6P6H9H7|A0A6P6H9H7_PUMCO, tr|A0A6P6H8B8|A0A6P6H8B8_PUMCO, tr|A0A6P6H8J1|A0A6P6H8J1_PUMCO, tr|A0A6P6H7K3|A0A6P6H7K3_PUMCO, tr|A0A6P6H870|A0A6P6H870_PUMCO, tr|A0A6P6H861|A0A6P6H861_PUMCO, tr|A0A6P6H7C1|A0A6P6H7C1_PUMCO, tr|A0A6P6H860|A0A6P6H860_PUMCO, tr|A0A6P6H7U0|A0A6P6H7U0_PUMCO, tr|A0A6P6H8A7|A0A6P6H8A7_PUMCO, tr|A0A6P6H942|A0A6P6H942_PUMCO, tr|A0A6P6H8J4|A0A6P6H8J4_PUMCO, tr|A0A6P6H873|A0A6P6H873_PUMCO, tr|A0A6P6H9B3|A0A6P6H9B3_PUMCO, tr|A0A6P6H9P9|A0A6P6H9P9_PUMCO, tr|A0A6P6H885|A0A6P6H885_PUMCO, tr|A0A6P6H8U8|A0A6P6H8U8_PUMCO, tr|A0A6P6H8D0|A0A6P6H8D0_PUMCO, tr|A0A6P6H893|A0A6P6H893_PUMCO, tr|A0A6P6H7B0|A0A6P6H7B0_PUMCO, tr|A0A6P6H8P9|A0A6P6H8P9_PUMCO, tr|A0A6P6H946|A0A6P6H946_PUMCO, tr|A0A6P6H7J1|A0A6P6H7J1_PUMCO, tr|A0A6P6H7I6|A0A6P6H7I6_PUMCO, tr|A0A6P6H7I0|A0A6P6H7I0_PUMCO, tr|A0A6P6H7S9|A0A6P6H7S9_PUMCO, tr|A0A6P6H898|A0A6P6H898_PUMCO, tr|A0A6P6H7A5|A0A6P6H7A5_PUMCO, tr|A0A6P6H7T4|A0A6P6H7T4_PUMCO, tr|A0A6P6H7B7|A0A6P6H7B7_PUMCO, tr|A0A6P6H4S1|A0A6P6H4S1_PUMCO, tr|A0A6P6IP96|A0A6P6IP96_PUMCO, tr|A0A6P6H7J5|A0A6P6H7J5_PUMCO, tr|A0A6P6H328|A0A6P6H328_PUMCO, tr|A0A6P6HBS8|A0A6P6HBS8_PUMCO, tr|A0A6P6H7H5|A0A6P6H7H5_PUMCO, tr|A0A6P6H868|A0A6P6H868_PUMCO, tr|A0A6P6H9E0|A0A6P6H9E0_PUMCO, tr|A0A6P6H7S4|A0A6P6H7S4_PUMCO, tr|A0A6P6H796|A0A6P6H796_PUMCO, tr|A0A6P6H886|A0A6P6H886_PUMCO, tr|A0A6P6H878|A0A6P6H878_PUMCO, tr|A0A6P6H9G3|A0A6P6H9G3_PUMCO
OG0000003	sp|Q8NGF0|O52B6_HUMAN	tr|A0A6P6I695|A0A6P6I695_PUMCO
OG0000003	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A6P6I6S6|A0A6P6I6S6_PUMCO
OG0000003	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A6P6I9N8|A0A6P6I9N8_PUMCO, tr|A0A6P6I7B8|A0A6P6I7B8_PUMCO
OG0000003	sp|Q8NGH9|O52E4_HUMAN	tr|A0A6P6I888|A0A6P6I888_PUMCO, tr|A0A6P6I6T5|A0A6P6I6T5_PUMCO, tr|A0A6P6I6W9|A0A6P6I6W9_PUMCO, tr|A0A6P6IA44|A0A6P6IA44_PUMCO, tr|A0A6P6I7M1|A0A6P6I7M1_PUMCO
OG0000003	sp|Q8NH55|O52E5_HUMAN	tr|A0A6P6I7N7|A0A6P6I7N7_PUMCO
OG0000003	sp|Q8NGK5|O52M1_HUMAN	tr|A0A6P6ID16|A0A6P6ID16_PUMCO, tr|A0A6P6I6I3|A0A6P6I6I3_PUMCO, tr|A0A6P6I8Z4|A0A6P6I8Z4_PUMCO, tr|A0A6P6IA62|A0A6P6IA62_PUMCO, tr|A0A6P6I9C4|A0A6P6I9C4_PUMCO, tr|A0A6P6I8Z6|A0A6P6I8Z6_PUMCO, tr|A0A6P6IAT2|A0A6P6IAT2_PUMCO, tr|A0A6P6I9Y0|A0A6P6I9Y0_PUMCO, tr|A0A6P6I9L5|A0A6P6I9L5_PUMCO, tr|A0A6P6I9E0|A0A6P6I9E0_PUMCO, tr|A0A6P6IBX1|A0A6P6IBX1_PUMCO, tr|A0A6P6ID04|A0A6P6ID04_PUMCO, tr|A0A6P6I8F0|A0A6P6I8F0_PUMCO, tr|A0A6P6I9B1|A0A6P6I9B1_PUMCO
OG0000003	sp|Q9H346|O52D1_HUMAN	tr|A0A6P6I8X6|A0A6P6I8X6_PUMCO, tr|A0A6P6I6H8|A0A6P6I6H8_PUMCO, tr|A0A6P6I6M7|A0A6P6I6M7_PUMCO
OG0000003	sp|P0C646|O52Z1_HUMAN	tr|A0A6P6I7I1|A0A6P6I7I1_PUMCO, tr|A0A6P6I6J7|A0A6P6I6J7_PUMCO
OG0000003	sp|Q96RD2|O52B2_HUMAN	tr|A0A6P6I7J4|A0A6P6I7J4_PUMCO
OG0000003	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A6P6I7V9|A0A6P6I7V9_PUMCO, tr|A0A6P6I9U8|A0A6P6I9U8_PUMCO, tr|A0A6P6I703|A0A6P6I703_PUMCO, tr|A0A6P6I8W7|A0A6P6I8W7_PUMCO, tr|A0A6P6I676|A0A6P6I676_PUMCO
OG0000003	sp|Q8NGK2|O52B4_HUMAN	tr|A0A6P6I8J2|A0A6P6I8J2_PUMCO, tr|A0A6P6I808|A0A6P6I808_PUMCO, tr|A0A6P6I8F5|A0A6P6I8F5_PUMCO, tr|A0A6P6I8H4|A0A6P6I8H4_PUMCO, tr|A0A6P6IA35|A0A6P6IA35_PUMCO
OG0000004	sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06312|KV401_HUMAN, sp|Q15116|PDCD1_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN	tr|A0A6P6I473|A0A6P6I473_PUMCO
OG0000005	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A6P6HJM3|A0A6P6HJM3_PUMCO, tr|A0A6P6HBG3|A0A6P6HBG3_PUMCO, tr|A0A6P6HBD1|A0A6P6HBD1_PUMCO, tr|A0A6P6HAW2|A0A6P6HAW2_PUMCO, tr|A0A6P6HKT9|A0A6P6HKT9_PUMCO, tr|A0A6P6HC16|A0A6P6HC16_PUMCO, tr|A0A6P6HAL5|A0A6P6HAL5_PUMCO, tr|A0A6P6HAD8|A0A6P6HAD8_PUMCO, tr|A0A6P6HAP6|A0A6P6HAP6_PUMCO, tr|A0A6P6H691|A0A6P6H691_PUMCO, tr|A0A6P6I6D1|A0A6P6I6D1_PUMCO, tr|A0A6P6HJJ9|A0A6P6HJJ9_PUMCO, tr|A0A6P6I708|A0A6P6I708_PUMCO, tr|A0A6P6HJK9|A0A6P6HJK9_PUMCO, tr|A0A6P6HKU5|A0A6P6HKU5_PUMCO, tr|A0A6P6HAV0|A0A6P6HAV0_PUMCO, tr|A0A6P6HCC7|A0A6P6HCC7_PUMCO, tr|A0A6P6HB91|A0A6P6HB91_PUMCO, tr|A0A6P6HAS3|A0A6P6HAS3_PUMCO, tr|A0A6P6HBV9|A0A6P6HBV9_PUMCO, tr|A0A6P6HAM0|A0A6P6HAM0_PUMCO, tr|A0A6P6HB79|A0A6P6HB79_PUMCO, tr|A0A6P6HAL2|A0A6P6HAL2_PUMCO, tr|A0A6P6HAK8|A0A6P6HAK8_PUMCO, tr|A0A6P6HB33|A0A6P6HB33_PUMCO, tr|A0A6P6HCQ2|A0A6P6HCQ2_PUMCO, tr|A0A6P6HB18|A0A6P6HB18_PUMCO, tr|A0A6P6HKR9|A0A6P6HKR9_PUMCO, tr|A0A6P6HJK4|A0A6P6HJK4_PUMCO, tr|A0A6P6HBD2|A0A6P6HBD2_PUMCO, tr|A0A6P6HB84|A0A6P6HB84_PUMCO, tr|A0A6P6HJM7|A0A6P6HJM7_PUMCO, tr|A0A6P6HCP8|A0A6P6HCP8_PUMCO, tr|A0A6P6HB99|A0A6P6HB99_PUMCO, tr|A0A6P6HB76|A0A6P6HB76_PUMCO, tr|A0A6P6HB43|A0A6P6HB43_PUMCO, tr|A0A6P6HKV8|A0A6P6HKV8_PUMCO, tr|A0A6P6HJH4|A0A6P6HJH4_PUMCO, tr|A0A6P6HJQ7|A0A6P6HJQ7_PUMCO, tr|A0A6P6HBE2|A0A6P6HBE2_PUMCO, tr|A0A6P6HJJ0|A0A6P6HJJ0_PUMCO, tr|A0A6P6HJL4|A0A6P6HJL4_PUMCO, tr|A0A6P6HAL7|A0A6P6HAL7_PUMCO, tr|A0A6P6HKS9|A0A6P6HKS9_PUMCO, tr|A0A6P6HYC6|A0A6P6HYC6_PUMCO, tr|A0A6P6HBJ9|A0A6P6HBJ9_PUMCO, tr|A0A6P6HCI1|A0A6P6HCI1_PUMCO, tr|A0A6P6HBS3|A0A6P6HBS3_PUMCO
OG0000006	sp|Q9H343|O51I1_HUMAN	tr|A0A6P6I8L4|A0A6P6I8L4_PUMCO
OG0000006	sp|Q8TCB6|O51E1_HUMAN	tr|A0A6P6I837|A0A6P6I837_PUMCO
OG0000006	sp|Q8NH63|O51H1_HUMAN	tr|A0A6P6I9F1|A0A6P6I9F1_PUMCO, tr|A0A6P6IBZ5|A0A6P6IBZ5_PUMCO, tr|A0A6P6I8C8|A0A6P6I8C8_PUMCO
OG0000006	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6P6I8S6|A0A6P6I8S6_PUMCO
OG0000006	sp|Q9H2C8|O51V1_HUMAN	tr|A0A6P6IAS7|A0A6P6IAS7_PUMCO, tr|A0A6P6IAU0|A0A6P6IAU0_PUMCO, tr|A0A6P6I8X8|A0A6P6I8X8_PUMCO
OG0000006	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6P6I902|A0A6P6I902_PUMCO
OG0000006	sp|Q8NGK0|O51G2_HUMAN	tr|A0A6P6I9G5|A0A6P6I9G5_PUMCO
OG0000006	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6P6I8X2|A0A6P6I8X2_PUMCO, tr|A0A6P6I8Y9|A0A6P6I8Y9_PUMCO, tr|A0A6P6I6K7|A0A6P6I6K7_PUMCO
OG0000006	sp|A6NGY5|O51F1_HUMAN	tr|A0A6P6I8T0|A0A6P6I8T0_PUMCO
OG0000006	sp|Q8NH61|O51F2_HUMAN	tr|A0A6P6I8A0|A0A6P6I8A0_PUMCO
OG0000006	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6P6I7G8|A0A6P6I7G8_PUMCO, tr|A0A6P6I7H1|A0A6P6I7H1_PUMCO, tr|A0A6P6I906|A0A6P6I906_PUMCO, tr|A0A6P6IBZ8|A0A6P6IBZ8_PUMCO
OG0000007	sp|Q96R72|OR4K3_HUMAN	tr|A0A6P6HGX2|A0A6P6HGX2_PUMCO
OG0000007	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6P6HGW7|A0A6P6HGW7_PUMCO
OG0000007	sp|Q8NGB8|O4F15_HUMAN	tr|A0A6P6HG15|A0A6P6HG15_PUMCO
OG0000007	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A6P6HFP0|A0A6P6HFP0_PUMCO, tr|A0A6P6HQE0|A0A6P6HQE0_PUMCO, tr|A0A6P6HGZ7|A0A6P6HGZ7_PUMCO, tr|A0A6P6HJC6|A0A6P6HJC6_PUMCO
OG0000007	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6P6HH02|A0A6P6HH02_PUMCO, tr|A0A6P6HIR4|A0A6P6HIR4_PUMCO, tr|A0A6P6HG99|A0A6P6HG99_PUMCO
OG0000007	sp|Q8NH42|OR4KD_HUMAN	tr|A0A6P6HF64|A0A6P6HF64_PUMCO, tr|A0A6P6HHZ2|A0A6P6HHZ2_PUMCO
OG0000007	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A6P6HFE3|A0A6P6HFE3_PUMCO
OG0000007	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6P6HG12|A0A6P6HG12_PUMCO
OG0000007	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A6P6HHZ7|A0A6P6HHZ7_PUMCO, tr|A0A6P6HFM4|A0A6P6HFM4_PUMCO
OG0000007	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6P6HI88|A0A6P6HI88_PUMCO, tr|A0A6P6HGG6|A0A6P6HGG6_PUMCO
OG0000009	sp|Q8NGI9|OR5A2_HUMAN	tr|A0A6P6H5R6|A0A6P6H5R6_PUMCO
OG0000009	sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A6P6H6Y7|A0A6P6H6Y7_PUMCO
OG0000009	sp|Q8NH18|OR5J2_HUMAN	tr|A0A6P6I6X0|A0A6P6I6X0_PUMCO, tr|A0A6P6ICK0|A0A6P6ICK0_PUMCO, tr|A0A6P6I9C3|A0A6P6I9C3_PUMCO, tr|A0A6P6I6E5|A0A6P6I6E5_PUMCO
OG0000009	sp|P0C626|OR5G3_HUMAN	tr|A0A6P6IA68|A0A6P6IA68_PUMCO, tr|A0A6P6I7F0|A0A6P6I7F0_PUMCO, tr|A0A6P6I8Q2|A0A6P6I8Q2_PUMCO, tr|A0A6P6I7L3|A0A6P6I7L3_PUMCO
OG0000009	sp|P0C617|O5AL1_HUMAN	tr|A0A6P6IA90|A0A6P6IA90_PUMCO
OG0000009	sp|Q8NH85|OR5R1_HUMAN	tr|A0A6P6I747|A0A6P6I747_PUMCO, tr|A0A6P6I7E1|A0A6P6I7E1_PUMCO
OG0000009	sp|Q8NH50|OR8K5_HUMAN	tr|A0A6P6I787|A0A6P6I787_PUMCO
OG0000009	sp|Q8NH51|OR8K3_HUMAN	tr|A0A6P6I6H5|A0A6P6I6H5_PUMCO, tr|A0A6P6I7A4|A0A6P6I7A4_PUMCO, tr|A0A6P6I6C6|A0A6P6I6C6_PUMCO
OG0000009	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A6P6I6G0|A0A6P6I6G0_PUMCO
OG0000009	sp|Q8NGI8|O5AN1_HUMAN	tr|A0A6P6H5X7|A0A6P6H5X7_PUMCO, tr|A0A6P6I7W3|A0A6P6I7W3_PUMCO, tr|A0A6P6I6W4|A0A6P6I6W4_PUMCO
OG0000012	sp|Q9HAH1|ZN556_HUMAN, sp|Q68EA5|ZNF57_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P15621|ZNF44_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q6ZQV5|ZN788_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|O60384|ZN861_HUMAN	tr|A0A6P6H7E8|A0A6P6H7E8_PUMCO
OG0000014	sp|Q09FC8|ZN415_HUMAN, sp|Q08AN1|ZN616_HUMAN, sp|Q6ZNA1|ZN836_HUMAN, sp|Q6ZN19|ZN841_HUMAN, sp|Q96SE7|ZN347_HUMAN, sp|Q9HCG1|ZN160_HUMAN, sp|P51522|ZNF83_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q6PDB4|ZN880_HUMAN, sp|Q3MIS6|ZN528_HUMAN, sp|Q76KX8|ZN534_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q5HY98|ZN766_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|P17035|ZNF28_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|A2RRD8|ZN320_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q9NV72|ZN701_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|Q0VGE8|ZN816_HUMAN, sp|A6NHJ4|ZN860_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q8N782|ZN525_HUMAN	tr|A0A6P6H4R0|A0A6P6H4R0_PUMCO
OG0000015	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN	tr|A0A6P6H1G0|A0A6P6H1G0_PUMCO
OG0000016	sp|A8MTJ6|FOXI3_HUMAN	tr|A0A6P6I4I1|A0A6P6I4I1_PUMCO
OG0000016	sp|Q12947|FOXF2_HUMAN, sp|Q12946|FOXF1_HUMAN	tr|A0A6P6HLN3|A0A6P6HLN3_PUMCO
OG0000016	sp|Q9C009|FOXQ1_HUMAN	tr|A0A6P6HMP4|A0A6P6HMP4_PUMCO, tr|A0A6P6IGN1|A0A6P6IGN1_PUMCO
OG0000016	sp|Q5VYV0|FOXB2_HUMAN, sp|P55316|FOXG1_HUMAN, sp|Q12952|FOXL1_HUMAN, sp|Q99958|FOXC2_HUMAN, sp|Q12948|FOXC1_HUMAN, sp|O00358|FOXE1_HUMAN, sp|Q13461|FOXE3_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|O60548|FOXD2_HUMAN, sp|Q16676|FOXD1_HUMAN, sp|Q9UJU5|FOXD3_HUMAN	tr|A0A6P6I4V1|A0A6P6I4V1_PUMCO
OG0000017	sp|Q8NH06|OR1P1_HUMAN	tr|A0A6P6HEK0|A0A6P6HEK0_PUMCO
OG0000017	sp|P47890|OR1G1_HUMAN	tr|A0A6P6H356|A0A6P6H356_PUMCO, tr|A0A6P6H809|A0A6P6H809_PUMCO
OG0000017	sp|O60431|OR1I1_HUMAN	tr|A0A6P6GXC4|A0A6P6GXC4_PUMCO
OG0000017	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A6P6HX64|A0A6P6HX64_PUMCO, tr|A0A6P6HWY4|A0A6P6HWY4_PUMCO, tr|A0A6P6HA91|A0A6P6HA91_PUMCO, tr|A0A6P6H9Z4|A0A6P6H9Z4_PUMCO, tr|A0A6P6H7K9|A0A6P6H7K9_PUMCO, tr|A0A6P6HTF5|A0A6P6HTF5_PUMCO, tr|A0A6P6HBV4|A0A6P6HBV4_PUMCO
OG0000020	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A6P6IC49|A0A6P6IC49_PUMCO
OG0000020	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A6P6I9M1|A0A6P6I9M1_PUMCO
OG0000020	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A6P6I7N2|A0A6P6I7N2_PUMCO
OG0000020	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A6P6I6K5|A0A6P6I6K5_PUMCO
OG0000023	sp|Q8NH01|O2T11_HUMAN	tr|A0A6P6HJH3|A0A6P6HJH3_PUMCO
OG0000023	sp|Q8NHC8|OR2T6_HUMAN	tr|A0A6P6HJG8|A0A6P6HJG8_PUMCO
OG0000023	sp|O43869|OR2T1_HUMAN	tr|A0A6P6HJI0|A0A6P6HJI0_PUMCO
OG0000024	sp|Q6PG37|ZN790_HUMAN	tr|A0A6P6H3J3|A0A6P6H3J3_PUMCO
OG0000024	sp|P52738|ZN140_HUMAN	tr|A0A6P6HFC8|A0A6P6HFC8_PUMCO
