Orthogroup	Homo_sapiens	Molossus_molossus
OG0000003	sp|Q6UX68|XKR5_HUMAN	tr|A0A7J8FAG6|A0A7J8FAG6_MOLMO, tr|A0A7J8E335|A0A7J8E335_MOLMO, tr|A0A7J8ERT6|A0A7J8ERT6_MOLMO, tr|A0A7J8J6T5|A0A7J8J6T5_MOLMO, tr|A0A7J8J6F2|A0A7J8J6F2_MOLMO, tr|A0A7J8HD07|A0A7J8HD07_MOLMO, tr|A0A7J8HH75|A0A7J8HH75_MOLMO, tr|A0A7J8J0C1|A0A7J8J0C1_MOLMO, tr|A0A7J8FZ93|A0A7J8FZ93_MOLMO, tr|A0A7J8FYY0|A0A7J8FYY0_MOLMO, tr|A0A7J8B799|A0A7J8B799_MOLMO, tr|A0A7J8HCH6|A0A7J8HCH6_MOLMO, tr|A0A7J8HIX7|A0A7J8HIX7_MOLMO, tr|A0A7J8F8S7|A0A7J8F8S7_MOLMO, tr|A0A7J8J1B6|A0A7J8J1B6_MOLMO, tr|A0A7J8BJL0|A0A7J8BJL0_MOLMO, tr|A0A7J8JVY0|A0A7J8JVY0_MOLMO, tr|A0A7J8IZ46|A0A7J8IZ46_MOLMO, tr|A0A7J8ERM4|A0A7J8ERM4_MOLMO, tr|A0A7J8EE77|A0A7J8EE77_MOLMO, tr|A0A7J8GKV3|A0A7J8GKV3_MOLMO, tr|A0A7J8JWS0|A0A7J8JWS0_MOLMO, tr|A0A7J8I836|A0A7J8I836_MOLMO, tr|A0A7J8J7Q2|A0A7J8J7Q2_MOLMO, tr|A0A7J8J0J9|A0A7J8J0J9_MOLMO, tr|A0A7J8C8Z6|A0A7J8C8Z6_MOLMO, tr|A0A7J8ERE6|A0A7J8ERE6_MOLMO, tr|A0A7J8J0W3|A0A7J8J0W3_MOLMO, tr|A0A7J8HBU7|A0A7J8HBU7_MOLMO, tr|A0A7J8I8J2|A0A7J8I8J2_MOLMO, tr|A0A7J8GNW8|A0A7J8GNW8_MOLMO
OG0000005	sp|O60431|OR1I1_HUMAN	tr|A0A7J8IB97|A0A7J8IB97_MOLMO
OG0000005	sp|O14581|OR7AH_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN	tr|A0A7J8IBI8|A0A7J8IBI8_MOLMO
OG0000005	sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN	tr|A0A7J8I838|A0A7J8I838_MOLMO
OG0000005	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A7J8EFK8|A0A7J8EFK8_MOLMO
OG0000005	sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN	tr|A0A7J8EFQ3|A0A7J8EFQ3_MOLMO
OG0000013	sp|Q8NH43|OR4L1_HUMAN	tr|A0A7J8JZ63|A0A7J8JZ63_MOLMO
OG0000013	sp|Q8NH42|OR4KD_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8NH05|OR4Q3_HUMAN	tr|A0A7J8JZ00|A0A7J8JZ00_MOLMO
OG0000017	sp|Q08379|GOGA2_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN	tr|A0A7J8EEP2|A0A7J8EEP2_MOLMO
OG0000020	sp|P52741|ZN134_HUMAN	tr|A0A7J8CCG1|A0A7J8CCG1_MOLMO
OG0000020	sp|Q9HCX3|ZN304_HUMAN	tr|A0A7J8CD08|A0A7J8CD08_MOLMO, tr|A0A7J8C8F6|A0A7J8C8F6_MOLMO, tr|A0A7J8CCP2|A0A7J8CCP2_MOLMO, tr|A0A7J8CCV5|A0A7J8CCV5_MOLMO, tr|A0A7J8C503|A0A7J8C503_MOLMO, tr|A0A7J8CCZ6|A0A7J8CCZ6_MOLMO, tr|A0A7J8C8I1|A0A7J8C8I1_MOLMO, tr|A0A7J8C8L3|A0A7J8C8L3_MOLMO, tr|A0A7J8CCX7|A0A7J8CCX7_MOLMO, tr|A0A7J8C8B3|A0A7J8C8B3_MOLMO, tr|A0A7J8C8B9|A0A7J8C8B9_MOLMO, tr|A0A7J8CCK8|A0A7J8CCK8_MOLMO, tr|A0A7J8CCN2|A0A7J8CCN2_MOLMO, tr|A0A7J8CCJ8|A0A7J8CCJ8_MOLMO, tr|A0A7J8CCI0|A0A7J8CCI0_MOLMO, tr|A0A7J8CD35|A0A7J8CD35_MOLMO, tr|A0A7J8CD22|A0A7J8CD22_MOLMO, tr|A0A7J8CCZ3|A0A7J8CCZ3_MOLMO, tr|A0A7J8C8C8|A0A7J8C8C8_MOLMO, tr|A0A7J8CCY4|A0A7J8CCY4_MOLMO, tr|A0A7J8CCK5|A0A7J8CCK5_MOLMO, tr|A0A7J8CCG5|A0A7J8CCG5_MOLMO, tr|A0A7J8CCC8|A0A7J8CCC8_MOLMO, tr|A0A7J8DTN0|A0A7J8DTN0_MOLMO, tr|A0A7J8CCM0|A0A7J8CCM0_MOLMO
OG0000021	sp|Q96NG8|ZN582_HUMAN	tr|A0A7J8CD12|A0A7J8CD12_MOLMO
OG0000021	sp|Q9HCL3|ZFP14_HUMAN, sp|Q8N141|ZFP82_HUMAN	tr|A0A7J8CCB0|A0A7J8CCB0_MOLMO
OG0000021	sp|Q8NDQ6|ZN540_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A7J8CCX5|A0A7J8CCX5_MOLMO
OG0000021	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A7J8CCT2|A0A7J8CCT2_MOLMO
OG0000026	sp|Q9P275|UBP36_HUMAN	tr|A0A7J8D379|A0A7J8D379_MOLMO
OG0000026	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A7J8IF91|A0A7J8IF91_MOLMO
OG0000027	sp|Q9Y5H4|PCDG1_HUMAN	tr|A0A7J8IBR9|A0A7J8IBR9_MOLMO
OG0000027	sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A7J8IA18|A0A7J8IA18_MOLMO
OG0000028	sp|Q9UPS8|ANR26_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|A6NC57|ANR62_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|Q4UJ75|A20A4_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q5SQ80|A20A2_HUMAN, sp|Q5VUR7|A20A3_HUMAN	tr|A0A7J8JS46|A0A7J8JS46_MOLMO
OG0000030	sp|Q5MJ68|SPDYC_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN	tr|A0A7J8EU93|A0A7J8EU93_MOLMO
OG0000032	sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|O95371|OR2C1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN	tr|A0A7J8CSS7|A0A7J8CSS7_MOLMO
OG0000033	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NNJ1|F90A9_HUMAN	tr|A0A7J8GQS0|A0A7J8GQS0_MOLMO
OG0000034	sp|P05787|K2C8_HUMAN	tr|A0A7J8FZZ0|A0A7J8FZZ0_MOLMO, tr|A0A7J8ER98|A0A7J8ER98_MOLMO, tr|A0A7J8FZ99|A0A7J8FZ99_MOLMO, tr|A0A7J8FZ24|A0A7J8FZ24_MOLMO, tr|A0A7J8FYT3|A0A7J8FYT3_MOLMO, tr|A0A7J8FZQ9|A0A7J8FZQ9_MOLMO, tr|A0A7J8FY28|A0A7J8FY28_MOLMO, tr|A0A7J8FY19|A0A7J8FY19_MOLMO, tr|A0A7J8FYM0|A0A7J8FYM0_MOLMO, tr|A0A7J8FYG9|A0A7J8FYG9_MOLMO, tr|A0A7J8FZX1|A0A7J8FZX1_MOLMO, tr|A0A7J8FY42|A0A7J8FY42_MOLMO, tr|A0A7J8FYX1|A0A7J8FYX1_MOLMO, tr|A0A7J8FYF9|A0A7J8FYF9_MOLMO, tr|A0A7J8FYM9|A0A7J8FYM9_MOLMO, tr|A0A7J8FYA6|A0A7J8FYA6_MOLMO, tr|A0A7J8FYD7|A0A7J8FYD7_MOLMO, tr|A0A7J8FYG1|A0A7J8FYG1_MOLMO, tr|A0A7J8FZ70|A0A7J8FZ70_MOLMO, tr|A0A7J8FYB5|A0A7J8FYB5_MOLMO, tr|A0A7J8FYC7|A0A7J8FYC7_MOLMO
OG0000035	sp|Q9Y3U8|RL36_HUMAN	tr|A0A7J8GRF6|A0A7J8GRF6_MOLMO, tr|A0A7J8FR05|A0A7J8FR05_MOLMO
OG0000035	sp|A1L162|ERIC2_HUMAN	tr|A0A7J8CYH7|A0A7J8CYH7_MOLMO, tr|A0A7J8I031|A0A7J8I031_MOLMO, tr|A0A7J8FSM9|A0A7J8FSM9_MOLMO, tr|A0A7J8BM84|A0A7J8BM84_MOLMO, tr|A0A7J8FZ61|A0A7J8FZ61_MOLMO, tr|A0A7J8JVQ4|A0A7J8JVQ4_MOLMO, tr|A0A7J8G0A2|A0A7J8G0A2_MOLMO, tr|A0A7J8E351|A0A7J8E351_MOLMO, tr|A0A7J8DQD5|A0A7J8DQD5_MOLMO, tr|A0A7J8C8T2|A0A7J8C8T2_MOLMO, tr|A0A7J8BLW4|A0A7J8BLW4_MOLMO, tr|A0A7J8EEY2|A0A7J8EEY2_MOLMO, tr|A0A7J8FYQ4|A0A7J8FYQ4_MOLMO, tr|A0A7J8CZF6|A0A7J8CZF6_MOLMO, tr|A0A7J8JXT6|A0A7J8JXT6_MOLMO, tr|A0A7J8I1B6|A0A7J8I1B6_MOLMO, tr|A0A7J8DQB5|A0A7J8DQB5_MOLMO
OG0000036	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A7J8G0F9|A0A7J8G0F9_MOLMO
OG0000036	sp|Q96RD1|OR6C1_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A7J8G1Q1|A0A7J8G1Q1_MOLMO
