Orthogroup	Homo_sapiens	Odocoileus_virginianus_texanus
OG0000011	sp|Q96RC9|OR8B4_HUMAN	tr|A0A6J0YTC4|A0A6J0YTC4_ODOVR, tr|A0A6J0YVJ3|A0A6J0YVJ3_ODOVR, tr|A0A6J0YTV6|A0A6J0YTV6_ODOVR, tr|A0A6J0YY00|A0A6J0YY00_ODOVR, tr|A0A6J0YTU7|A0A6J0YTU7_ODOVR, tr|A0A6J0YTJ0|A0A6J0YTJ0_ODOVR, tr|A0A6J0VMJ0|A0A6J0VMJ0_ODOVR, tr|A0A6J0Z969|A0A6J0Z969_ODOVR, tr|A0A6J0W012|A0A6J0W012_ODOVR, tr|A0A6J0VME2|A0A6J0VME2_ODOVR, tr|A0A6J0VNA7|A0A6J0VNA7_ODOVR, tr|A0A6J0YGA4|A0A6J0YGA4_ODOVR, tr|A0A6J0VQW0|A0A6J0VQW0_ODOVR, tr|A0A6J0YHV6|A0A6J0YHV6_ODOVR, tr|A0A6J0ZAF4|A0A6J0ZAF4_ODOVR, tr|A0A6J0VIZ4|A0A6J0VIZ4_ODOVR, tr|A0A6J0WGB5|A0A6J0WGB5_ODOVR, tr|A0A6J0Z9B2|A0A6J0Z9B2_ODOVR, tr|A0A6J0Z973|A0A6J0Z973_ODOVR, tr|A0A6J0ZAC5|A0A6J0ZAC5_ODOVR, tr|A0A6J0ZAT7|A0A6J0ZAT7_ODOVR, tr|A0A6J0YVV1|A0A6J0YVV1_ODOVR, tr|A0A6J0ZF31|A0A6J0ZF31_ODOVR, tr|A0A6J0YVD2|A0A6J0YVD2_ODOVR, tr|A0A6J0ZBU3|A0A6J0ZBU3_ODOVR, tr|A0A6J0YVC7|A0A6J0YVC7_ODOVR, tr|A0A6J0YVI8|A0A6J0YVI8_ODOVR, tr|A0A6J0ZGI9|A0A6J0ZGI9_ODOVR, tr|A0A6J0ZGI2|A0A6J0ZGI2_ODOVR, tr|A0A6J0VYE0|A0A6J0VYE0_ODOVR, tr|A0A6J0VHK9|A0A6J0VHK9_ODOVR, tr|A0A6J0ZFM5|A0A6J0ZFM5_ODOVR, tr|A0A6J0ZEB4|A0A6J0ZEB4_ODOVR
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN	tr|A0A6J0W270|A0A6J0W270_ODOVR
OG0000015	sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN	tr|A0A6J0VGG4|A0A6J0VGG4_ODOVR
OG0000016	sp|P52569|CTR2_HUMAN	tr|A0A6J0ZEV2|A0A6J0ZEV2_ODOVR
OG0000016	sp|P30825|CTR1_HUMAN	tr|A0A6J0W269|A0A6J0W269_ODOVR
OG0000016	sp|Q8WY07|CTR3_HUMAN	tr|A0A6J0YGZ0|A0A6J0YGZ0_ODOVR, tr|A0A6J0VFT9|A0A6J0VFT9_ODOVR, tr|A0A6J0YHC1|A0A6J0YHC1_ODOVR, tr|A0A6J0VJH0|A0A6J0VJH0_ODOVR, tr|A0A6J0ZDK5|A0A6J0ZDK5_ODOVR, tr|A0A6J0VHK2|A0A6J0VHK2_ODOVR, tr|A0A6J0VSD9|A0A6J0VSD9_ODOVR, tr|A0A6J0VTR5|A0A6J0VTR5_ODOVR, tr|A0A6J0VRB9|A0A6J0VRB9_ODOVR, tr|A0A6J0YJ17|A0A6J0YJ17_ODOVR, tr|A0A6J0YHK5|A0A6J0YHK5_ODOVR, tr|A0A6J0YHQ8|A0A6J0YHQ8_ODOVR, tr|A0A6J0YIZ1|A0A6J0YIZ1_ODOVR, tr|A0A6J0YHB8|A0A6J0YHB8_ODOVR, tr|A0A6J0VRT7|A0A6J0VRT7_ODOVR, tr|A0A6J0ZF26|A0A6J0ZF26_ODOVR, tr|A0A6J0YHJ5|A0A6J0YHJ5_ODOVR, tr|A0A6J0VX95|A0A6J0VX95_ODOVR, tr|A0A6J0YHE0|A0A6J0YHE0_ODOVR, tr|A0A6J0VLN0|A0A6J0VLN0_ODOVR, tr|A0A6J0VUS7|A0A6J0VUS7_ODOVR, tr|A0A6J0WR86|A0A6J0WR86_ODOVR
OG0000018	sp|Q3KQV3|ZN792_HUMAN	tr|A0A6J0YWT8|A0A6J0YWT8_ODOVR
OG0000018	sp|Q9HCX3|ZN304_HUMAN	tr|A0A6J0YV97|A0A6J0YV97_ODOVR, tr|A0A6J0YV26|A0A6J0YV26_ODOVR
OG0000018	sp|Q8IVP9|ZN547_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN	tr|A0A6J0Y3P0|A0A6J0Y3P0_ODOVR
OG0000019	sp|Q8NH01|O2T11_HUMAN	tr|A0A6J0Y3M1|A0A6J0Y3M1_ODOVR
OG0000019	sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN	tr|A0A6J0Y3L6|A0A6J0Y3L6_ODOVR, tr|A0A6J0YVW1|A0A6J0YVW1_ODOVR, tr|A0A6J0YXK4|A0A6J0YXK4_ODOVR, tr|A0A6J0YVV5|A0A6J0YVV5_ODOVR, tr|A0A6J0XHJ8|A0A6J0XHJ8_ODOVR, tr|A0A6J0ZE79|A0A6J0ZE79_ODOVR, tr|A0A6J0XE70|A0A6J0XE70_ODOVR, tr|A0A6J0Z290|A0A6J0Z290_ODOVR, tr|A0A6J0YG58|A0A6J0YG58_ODOVR, tr|A0A6J0YEJ8|A0A6J0YEJ8_ODOVR, tr|A0A6J0YFV5|A0A6J0YFV5_ODOVR, tr|A0A6J0Z2T0|A0A6J0Z2T0_ODOVR, tr|A0A6J0YLE1|A0A6J0YLE1_ODOVR, tr|A0A6J0YVA7|A0A6J0YVA7_ODOVR, tr|A0A6J0YZV1|A0A6J0YZV1_ODOVR, tr|A0A6J0VFW7|A0A6J0VFW7_ODOVR, tr|A0A6J0YY10|A0A6J0YY10_ODOVR, tr|A0A6J0VFW5|A0A6J0VFW5_ODOVR, tr|A0A6J0Z7H3|A0A6J0Z7H3_ODOVR, tr|A0A6J0YX92|A0A6J0YX92_ODOVR, tr|A0A6J0YX98|A0A6J0YX98_ODOVR, tr|A0A6J0YVF9|A0A6J0YVF9_ODOVR
OG0000022	sp|Q8NH09|OR8S1_HUMAN	tr|A0A6J0YLI8|A0A6J0YLI8_ODOVR
OG0000022	tr|A0A2R8YED5|A0A2R8YED5_HUMAN	tr|A0A6J0YL11|A0A6J0YL11_ODOVR, tr|A0A6J0YL30|A0A6J0YL30_ODOVR, tr|A0A6J0Y700|A0A6J0Y700_ODOVR, tr|A0A6J0Y665|A0A6J0Y665_ODOVR, tr|A0A6J0Y655|A0A6J0Y655_ODOVR, tr|A0A6J0Y6T9|A0A6J0Y6T9_ODOVR, tr|A0A6J0Y639|A0A6J0Y639_ODOVR, tr|A0A6J0YLD1|A0A6J0YLD1_ODOVR, tr|A0A6J0YQV0|A0A6J0YQV0_ODOVR, tr|A0A6J0YQT6|A0A6J0YQT6_ODOVR, tr|A0A6J0YP08|A0A6J0YP08_ODOVR, tr|A0A6J0YQH0|A0A6J0YQH0_ODOVR, tr|A0A6J0YLG3|A0A6J0YLG3_ODOVR, tr|A0A6J0YNP1|A0A6J0YNP1_ODOVR, tr|A0A6J0YNK7|A0A6J0YNK7_ODOVR, tr|A0A6J0YQR7|A0A6J0YQR7_ODOVR, tr|A0A6J0YQQ3|A0A6J0YQQ3_ODOVR, tr|A0A6J0YPA9|A0A6J0YPA9_ODOVR, tr|A0A6J0Y661|A0A6J0Y661_ODOVR, tr|A0A6J0Y671|A0A6J0Y671_ODOVR, tr|A0A6J0Y708|A0A6J0Y708_ODOVR, tr|A0A6J0Y6V0|A0A6J0Y6V0_ODOVR
OG0000023	sp|Q8NGC1|O11G2_HUMAN	tr|A0A6J0X1S2|A0A6J0X1S2_ODOVR, tr|A0A6J0X1R2|A0A6J0X1R2_ODOVR
OG0000023	sp|Q8NGC9|O11H4_HUMAN	tr|A0A6J0WZ24|A0A6J0WZ24_ODOVR
OG0000023	sp|Q8NGC8|O11H7_HUMAN	tr|A0A6J0WYX7|A0A6J0WYX7_ODOVR
OG0000023	sp|Q8NGC7|O11H6_HUMAN	tr|A0A6J0X216|A0A6J0X216_ODOVR
OG0000024	sp|P52741|ZN134_HUMAN	tr|A0A6J0XK60|A0A6J0XK60_ODOVR, tr|A0A6J0VGE6|A0A6J0VGE6_ODOVR, tr|A0A6J0VI15|A0A6J0VI15_ODOVR, tr|A0A6J0XKT5|A0A6J0XKT5_ODOVR, tr|A0A6J0XK97|A0A6J0XK97_ODOVR, tr|A0A6J0VM51|A0A6J0VM51_ODOVR, tr|A0A6J0YV16|A0A6J0YV16_ODOVR, tr|A0A6J0Y2J5|A0A6J0Y2J5_ODOVR, tr|A0A6J0Z9Z9|A0A6J0Z9Z9_ODOVR, tr|A0A6J0YWV4|A0A6J0YWV4_ODOVR, tr|A0A6J0Y3Q0|A0A6J0Y3Q0_ODOVR, tr|A0A6J0XJQ7|A0A6J0XJQ7_ODOVR, tr|A0A6J0XMC5|A0A6J0XMC5_ODOVR, tr|A0A6J0XK45|A0A6J0XK45_ODOVR, tr|A0A6J0XKR9|A0A6J0XKR9_ODOVR, tr|A0A6J0XMB5|A0A6J0XMB5_ODOVR, tr|A0A6J0XPY2|A0A6J0XPY2_ODOVR, tr|A0A6J0Y1K8|A0A6J0Y1K8_ODOVR, tr|A0A6J0Y2I1|A0A6J0Y2I1_ODOVR, tr|A0A6J0Y2E4|A0A6J0Y2E4_ODOVR, tr|A0A6J0Y3H2|A0A6J0Y3H2_ODOVR, tr|A0A6J0Y2G6|A0A6J0Y2G6_ODOVR, tr|A0A6J0XK78|A0A6J0XK78_ODOVR, tr|A0A6J0XJQ3|A0A6J0XJQ3_ODOVR
OG0000025	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A6J0YNL2|A0A6J0YNL2_ODOVR, tr|A0A6J0YQ97|A0A6J0YQ97_ODOVR, tr|A0A6J0YNL7|A0A6J0YNL7_ODOVR, tr|A0A6J0YQ46|A0A6J0YQ46_ODOVR, tr|A0A6J0VR94|A0A6J0VR94_ODOVR, tr|A0A6J0VQQ6|A0A6J0VQQ6_ODOVR, tr|A0A6J0VVM7|A0A6J0VVM7_ODOVR, tr|A0A6J0YLE0|A0A6J0YLE0_ODOVR, tr|A0A6J0X890|A0A6J0X890_ODOVR, tr|A0A6J0Z2M0|A0A6J0Z2M0_ODOVR, tr|A0A6J0YIX0|A0A6J0YIX0_ODOVR, tr|A0A6J0Z429|A0A6J0Z429_ODOVR, tr|A0A6J0Z462|A0A6J0Z462_ODOVR, tr|A0A6J0Z5J7|A0A6J0Z5J7_ODOVR, tr|A0A6J0Z603|A0A6J0Z603_ODOVR, tr|A0A6J0YKB9|A0A6J0YKB9_ODOVR, tr|A0A6J0YQ87|A0A6J0YQ87_ODOVR, tr|A0A6J0YQD9|A0A6J0YQD9_ODOVR, tr|A0A6J0YNI9|A0A6J0YNI9_ODOVR, tr|A0A6J0YN65|A0A6J0YN65_ODOVR, tr|A0A6J0YNR6|A0A6J0YNR6_ODOVR, tr|A0A6J0YN10|A0A6J0YN10_ODOVR, tr|A0A6J0YQ88|A0A6J0YQ88_ODOVR, tr|A0A6J0YNM6|A0A6J0YNM6_ODOVR
OG0000026	sp|P58876|H2B1D_HUMAN	tr|A0A6J0WZV1|A0A6J0WZV1_ODOVR
OG0000026	sp|P33778|H2B1B_HUMAN	tr|A0A6J0X1U8|A0A6J0X1U8_ODOVR
OG0000026	sp|Q99877|H2B1N_HUMAN	tr|A0A6J0YAN6|A0A6J0YAN6_ODOVR
OG0000026	sp|P62807|H2B1C_HUMAN	tr|A0A6J0WXA9|A0A6J0WXA9_ODOVR
OG0000026	sp|P06899|H2B1J_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|A0A6J0X028|A0A6J0X028_ODOVR
OG0000026	sp|Q6DRA6|H2B2D_HUMAN, sp|Q6DN03|H2B2C_HUMAN	tr|A0A6J0Y1X6|A0A6J0Y1X6_ODOVR
OG0000027	sp|Q8NH55|O52E5_HUMAN	tr|A0A6J0YZP4|A0A6J0YZP4_ODOVR
OG0000027	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A6J0Y536|A0A6J0Y536_ODOVR, tr|A0A6J0Y533|A0A6J0Y533_ODOVR
OG0000027	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A6J0Y5W3|A0A6J0Y5W3_ODOVR, tr|A0A6J0Y571|A0A6J0Y571_ODOVR
OG0000027	sp|Q8NGH9|O52E4_HUMAN	tr|A0A6J0Y557|A0A6J0Y557_ODOVR, tr|A0A6J0Y5T5|A0A6J0Y5T5_ODOVR, tr|A0A6J0Y524|A0A6J0Y524_ODOVR, tr|A0A6J0Z1I3|A0A6J0Z1I3_ODOVR, tr|A0A6J0Y5U0|A0A6J0Y5U0_ODOVR, tr|A0A6J0Y575|A0A6J0Y575_ODOVR, tr|A0A6J0Y538|A0A6J0Y538_ODOVR, tr|A0A6J0YRC3|A0A6J0YRC3_ODOVR, tr|A0A6J0YS25|A0A6J0YS25_ODOVR, tr|A0A6J0Y566|A0A6J0Y566_ODOVR, tr|A0A6J0YZK8|A0A6J0YZK8_ODOVR, tr|A0A6J0Z1I8|A0A6J0Z1I8_ODOVR, tr|A0A6J0Z218|A0A6J0Z218_ODOVR, tr|A0A6J0Z1J9|A0A6J0Z1J9_ODOVR, tr|A0A6J0Z0J0|A0A6J0Z0J0_ODOVR
OG0000028	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6J0XNE4|A0A6J0XNE4_ODOVR, tr|A0A6J0YKR7|A0A6J0YKR7_ODOVR
OG0000028	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6J0Z477|A0A6J0Z477_ODOVR, tr|A0A6J0Z442|A0A6J0Z442_ODOVR, tr|A0A6J0Z436|A0A6J0Z436_ODOVR, tr|A0A6J0Z3V1|A0A6J0Z3V1_ODOVR, tr|A0A6J0Z0N2|A0A6J0Z0N2_ODOVR, tr|A0A6J0VRR7|A0A6J0VRR7_ODOVR, tr|A0A6J0W7Y1|A0A6J0W7Y1_ODOVR, tr|A0A6J0Z3Y9|A0A6J0Z3Y9_ODOVR, tr|A0A6J0VRL5|A0A6J0VRL5_ODOVR, tr|A0A6J0VNF7|A0A6J0VNF7_ODOVR, tr|A0A6J0Z5C3|A0A6J0Z5C3_ODOVR, tr|A0A6J0YLB7|A0A6J0YLB7_ODOVR, tr|A0A6J0VKV2|A0A6J0VKV2_ODOVR, tr|A0A6J0YJF0|A0A6J0YJF0_ODOVR, tr|A0A6J0YJI0|A0A6J0YJI0_ODOVR, tr|A0A6J0VLT8|A0A6J0VLT8_ODOVR, tr|A0A6J0VMD5|A0A6J0VMD5_ODOVR, tr|A0A6J0VJG8|A0A6J0VJG8_ODOVR, tr|A0A6J0VVZ7|A0A6J0VVZ7_ODOVR, tr|A0A6J0VUM1|A0A6J0VUM1_ODOVR
OG0000030	sp|P19013|K2C4_HUMAN	tr|A0A6J0XLV9|A0A6J0XLV9_ODOVR
OG0000030	sp|P08729|K2C7_HUMAN	tr|A0A6J0YR11|A0A6J0YR11_ODOVR
OG0000030	sp|P05787|K2C8_HUMAN	tr|A0A6J0XLW5|A0A6J0XLW5_ODOVR
OG0000030	sp|Q7Z794|K2C1B_HUMAN	tr|A0A6J0XLC3|A0A6J0XLC3_ODOVR, tr|A0A6J0XM89|A0A6J0XM89_ODOVR, tr|A0A6J0XRB4|A0A6J0XRB4_ODOVR, tr|A0A6J0XRD7|A0A6J0XRD7_ODOVR, tr|A0A6J0XRD2|A0A6J0XRD2_ODOVR, tr|A0A6J0XMB2|A0A6J0XMB2_ODOVR, tr|A0A6J0XMB8|A0A6J0XMB8_ODOVR, tr|A0A6J0XNW5|A0A6J0XNW5_ODOVR, tr|A0A6J0XNW0|A0A6J0XNW0_ODOVR, tr|A0A6J0XLV5|A0A6J0XLV5_ODOVR
