Orthogroup	Homo_sapiens	Camelus_ferus 
OG0000002	sp|P06315|KV502_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN	tr|S9Y3M5|S9Y3M5_CAMFR
OG0000003	sp|Q8NGS2|OR1J2_HUMAN	tr|S9WQE6|S9WQE6_CAMFR
OG0000003	sp|Q8NGS1|OR1J4_HUMAN	tr|S9XRM4|S9XRM4_CAMFR
OG0000003	sp|Q8NGS3|OR1J1_HUMAN	tr|S9Y1I8|S9Y1I8_CAMFR
OG0000003	sp|Q8NG95|OR7G3_HUMAN	tr|T0MED5|T0MED5_CAMFR, tr|T0NQ40|T0NQ40_CAMFR, tr|T0M5E5|T0M5E5_CAMFR, tr|T0M5F1|T0M5F1_CAMFR
OG0000003	sp|Q96RA2|OR7D2_HUMAN	tr|T0NJB0|T0NJB0_CAMFR
OG0000003	sp|Q8NG98|OR7D4_HUMAN	tr|T0MEC9|T0MEC9_CAMFR
OG0000003	sp|Q6IFN5|O7E24_HUMAN	tr|T0M5E0|T0M5E0_CAMFR, tr|T0MGX0|T0MGX0_CAMFR
OG0000004	sp|P02792|FRIL_HUMAN	tr|S9W5U1|S9W5U1_CAMFR, tr|S9XSR2|S9XSR2_CAMFR, tr|T0NN88|T0NN88_CAMFR, tr|S9XPB8|S9XPB8_CAMFR, tr|S9WSM1|S9WSM1_CAMFR, tr|S9XM15|S9XM15_CAMFR, tr|S9X8L7|S9X8L7_CAMFR, tr|S9W9Y4|S9W9Y4_CAMFR, tr|S9WE13|S9WE13_CAMFR, tr|S9WU59|S9WU59_CAMFR, tr|S9WL66|S9WL66_CAMFR, tr|S9XVQ6|S9XVQ6_CAMFR, tr|S9X7R7|S9X7R7_CAMFR, tr|S9X900|S9X900_CAMFR, tr|T0MI73|T0MI73_CAMFR, tr|S9WAD5|S9WAD5_CAMFR, tr|S9XQW7|S9XQW7_CAMFR, tr|S9W5J3|S9W5J3_CAMFR, tr|S9WFY9|S9WFY9_CAMFR, tr|S9W8B7|S9W8B7_CAMFR, tr|S9XPV4|S9XPV4_CAMFR, tr|S9WRU0|S9WRU0_CAMFR, tr|S9WDC0|S9WDC0_CAMFR, tr|S9WJU6|S9WJU6_CAMFR, tr|S9XVI6|S9XVI6_CAMFR, tr|S9WS69|S9WS69_CAMFR, tr|S9WPW7|S9WPW7_CAMFR, tr|S9XS03|S9XS03_CAMFR, tr|S9XDM8|S9XDM8_CAMFR, tr|S9WN82|S9WN82_CAMFR, tr|S9XB46|S9XB46_CAMFR, tr|S9XR69|S9XR69_CAMFR, tr|S9XLU8|S9XLU8_CAMFR, tr|S9XRY5|S9XRY5_CAMFR, tr|S9WFC9|S9WFC9_CAMFR, tr|T0M999|T0M999_CAMFR, tr|T0M944|T0M944_CAMFR, tr|S9XJX2|S9XJX2_CAMFR, tr|S9XN66|S9XN66_CAMFR, tr|S9YBU5|S9YBU5_CAMFR, tr|S9Y8C3|S9Y8C3_CAMFR, tr|S9YK97|S9YK97_CAMFR, tr|T0NP77|T0NP77_CAMFR
OG0000005	sp|A6NGY5|O51F1_HUMAN	tr|S9YZ74|S9YZ74_CAMFR
OG0000005	sp|Q8NH61|O51F2_HUMAN	tr|S9XM96|S9XM96_CAMFR
OG0000005	sp|Q9H341|O51M1_HUMAN	tr|S9W426|S9W426_CAMFR
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|S9Y901|S9Y901_CAMFR
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|S9XBW2|S9XBW2_CAMFR
OG0000005	sp|Q8NGK0|O51G2_HUMAN	tr|S9YE76|S9YE76_CAMFR
OG0000005	sp|Q8NGK1|O51G1_HUMAN	tr|S9X4T4|S9X4T4_CAMFR
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|S9X4S8|S9X4S8_CAMFR, tr|S9X4T8|S9X4T8_CAMFR, tr|S9WVN0|S9WVN0_CAMFR, tr|S9YE78|S9YE78_CAMFR
OG0000005	sp|Q9H342|O51J1_HUMAN	tr|S9X4Q8|S9X4Q8_CAMFR, tr|S9WA59|S9WA59_CAMFR, tr|S9XBW7|S9XBW7_CAMFR
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|S9XMA5|S9XMA5_CAMFR, tr|S9YPE1|S9YPE1_CAMFR, tr|S9XFI7|S9XFI7_CAMFR, tr|S9XNQ2|S9XNQ2_CAMFR
OG0000007	sp|Q5JQS5|OR2BB_HUMAN	tr|S9YEY8|S9YEY8_CAMFR
OG0000007	sp|Q7Z3T1|OR2W3_HUMAN	tr|S9WBA5|S9WBA5_CAMFR, tr|S9X5R8|S9X5R8_CAMFR, tr|S9X5S9|S9X5S9_CAMFR
OG0000007	sp|Q9Y3N9|OR2W1_HUMAN	tr|S9XMC5|S9XMC5_CAMFR, tr|S9WIC2|S9WIC2_CAMFR
OG0000007	sp|P59922|OR2B8_HUMAN	tr|S9XPU6|S9XPU6_CAMFR, tr|S9XC89|S9XC89_CAMFR, tr|S9XC73|S9XC73_CAMFR, tr|S9XZG9|S9XZG9_CAMFR, tr|S9XRY4|S9XRY4_CAMFR, tr|S9WAA5|S9WAA5_CAMFR, tr|S9XUT6|S9XUT6_CAMFR, tr|S9XEU9|S9XEU9_CAMFR, tr|S9XJS9|S9XJS9_CAMFR
OG0000009	sp|P62910|RL32_HUMAN	tr|T0MH89|T0MH89_CAMFR, tr|S9Y0E8|S9Y0E8_CAMFR, tr|S9XI63|S9XI63_CAMFR, tr|S9WVS0|S9WVS0_CAMFR, tr|T0MK79|T0MK79_CAMFR, tr|S9WEP5|S9WEP5_CAMFR, tr|S9XI36|S9XI36_CAMFR, tr|T0M4B9|T0M4B9_CAMFR, tr|S9XCM9|S9XCM9_CAMFR, tr|T0MGD5|T0MGD5_CAMFR, tr|S9WDX1|S9WDX1_CAMFR, tr|T0NKY6|T0NKY6_CAMFR, tr|S9YQS8|S9YQS8_CAMFR, tr|S9X5F8|S9X5F8_CAMFR, tr|S9WEE1|S9WEE1_CAMFR, tr|T0MC83|T0MC83_CAMFR, tr|S9XZ57|S9XZ57_CAMFR, tr|S9XF07|S9XF07_CAMFR, tr|T0MH42|T0MH42_CAMFR, tr|S9W2S5|S9W2S5_CAMFR, tr|S9Y0F9|S9Y0F9_CAMFR, tr|S9XNY4|S9XNY4_CAMFR, tr|S9XP69|S9XP69_CAMFR, tr|S9WCX1|S9WCX1_CAMFR, tr|S9YIH8|S9YIH8_CAMFR, tr|S9WSQ7|S9WSQ7_CAMFR, tr|S9XAL5|S9XAL5_CAMFR, tr|S9XF66|S9XF66_CAMFR, tr|S9WFM1|S9WFM1_CAMFR, tr|S9YDZ9|S9YDZ9_CAMFR, tr|S9XEY5|S9XEY5_CAMFR, tr|S9XDE5|S9XDE5_CAMFR, tr|S9XGC5|S9XGC5_CAMFR
OG0000010	sp|P47914|RL29_HUMAN	tr|S9WC50|S9WC50_CAMFR, tr|S9YKY0|S9YKY0_CAMFR, tr|S9W5N8|S9W5N8_CAMFR, tr|S9YP02|S9YP02_CAMFR, tr|S9YVA8|S9YVA8_CAMFR, tr|S9YCJ8|S9YCJ8_CAMFR, tr|S9Y7L9|S9Y7L9_CAMFR, tr|S9WU85|S9WU85_CAMFR, tr|S9Y4Q3|S9Y4Q3_CAMFR, tr|S9X188|S9X188_CAMFR, tr|S9X567|S9X567_CAMFR, tr|S9X6X1|S9X6X1_CAMFR, tr|S9YHZ2|S9YHZ2_CAMFR, tr|S9Y0N3|S9Y0N3_CAMFR, tr|S9WMK9|S9WMK9_CAMFR, tr|S9X1X5|S9X1X5_CAMFR, tr|S9WAT0|S9WAT0_CAMFR, tr|S9WLR9|S9WLR9_CAMFR, tr|S9XHP3|S9XHP3_CAMFR, tr|S9XPB7|S9XPB7_CAMFR, tr|S9WPD0|S9WPD0_CAMFR, tr|S9WY17|S9WY17_CAMFR, tr|S9XLP7|S9XLP7_CAMFR, tr|S9XUS9|S9XUS9_CAMFR, tr|S9XNR0|S9XNR0_CAMFR, tr|S9XHM2|S9XHM2_CAMFR, tr|S9WC19|S9WC19_CAMFR, tr|S9XU29|S9XU29_CAMFR, tr|S9YCX2|S9YCX2_CAMFR, tr|S9XD42|S9XD42_CAMFR, tr|S9WEA9|S9WEA9_CAMFR, tr|S9YC46|S9YC46_CAMFR, tr|S9XUY3|S9XUY3_CAMFR
OG0000011	sp|Q8NH57|O52P1_HUMAN	tr|S9XPA0|S9XPA0_CAMFR
OG0000011	sp|Q8NH55|O52E5_HUMAN	tr|S9WPQ5|S9WPQ5_CAMFR
OG0000011	sp|Q8NGJ4|O52E2_HUMAN	tr|S9YE70|S9YE70_CAMFR, tr|S9Y4Y8|S9Y4Y8_CAMFR
OG0000011	sp|Q8NGJ3|O52E1_HUMAN	tr|S9XYX7|S9XYX7_CAMFR, tr|S9WVL2|S9WVL2_CAMFR, tr|S9X257|S9X257_CAMFR, tr|S9X261|S9X261_CAMFR
OG0000011	sp|Q8NH60|O52J3_HUMAN	tr|S9YE65|S9YE65_CAMFR, tr|S9YE67|S9YE67_CAMFR, tr|S9Y4Z3|S9Y4Z3_CAMFR, tr|S9WVL9|S9WVL9_CAMFR
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN	tr|S9WY31|S9WY31_CAMFR
OG0000013	sp|Q3SY84|K2C71_HUMAN	tr|S9YFM0|S9YFM0_CAMFR
OG0000013	sp|Q7RTS7|K2C74_HUMAN	tr|S9X697|S9X697_CAMFR
OG0000013	sp|Q5XKE5|K2C79_HUMAN	tr|S9Y6I3|S9Y6I3_CAMFR
OG0000013	sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN	tr|S9X688|S9X688_CAMFR
OG0000013	sp|P19013|K2C4_HUMAN	tr|S9WX00|S9WX00_CAMFR
OG0000013	sp|Q8N1N4|K2C78_HUMAN	tr|S9YFL4|S9YFL4_CAMFR
OG0000013	sp|P05787|K2C8_HUMAN	tr|S9X684|S9X684_CAMFR
OG0000013	sp|P08729|K2C7_HUMAN	tr|S9XNI4|S9XNI4_CAMFR, tr|S9W9S8|S9W9S8_CAMFR, tr|S9XHK0|S9XHK0_CAMFR, tr|S9XRD4|S9XRD4_CAMFR, tr|S9W8Y8|S9W8Y8_CAMFR, tr|S9Y668|S9Y668_CAMFR, tr|S9WFX5|S9WFX5_CAMFR
OG0000015	sp|Q6P9A1|ZN530_HUMAN	tr|S9XV02|S9XV02_CAMFR
OG0000015	sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q8IVC4|ZN584_HUMAN, sp|P52740|ZN132_HUMAN, sp|P52741|ZN134_HUMAN	tr|S9WXM2|S9WXM2_CAMFR
OG0000018	sp|P0C0S8|H2A1_HUMAN	tr|S9W6E5|S9W6E5_CAMFR
OG0000018	sp|Q7L7L0|H2A3_HUMAN	tr|S9Z0I4|S9Z0I4_CAMFR
OG0000018	sp|P04908|H2A1B_HUMAN	tr|S9X3T8|S9X3T8_CAMFR
OG0000018	sp|Q6FI13|H2A2A_HUMAN	tr|S9XWY5|S9XWY5_CAMFR
OG0000018	sp|Q99878|H2A1J_HUMAN	tr|S9Y6R5|S9Y6R5_CAMFR
OG0000018	sp|Q8IUE6|H2A2B_HUMAN	tr|S9WTT9|S9WTT9_CAMFR
OG0000018	sp|Q96QV6|H2A1A_HUMAN	tr|S9X6L0|S9X6L0_CAMFR, tr|S9WX96|S9WX96_CAMFR
OG0000018	sp|Q9BTM1|H2AJ_HUMAN	tr|T0MID9|T0MID9_CAMFR
OG0000018	sp|Q16777|H2A2C_HUMAN	tr|S9WM44|S9WM44_CAMFR
OG0000019	sp|A0A0B4J279|TVA21_HUMAN	tr|S9XIV8|S9XIV8_CAMFR
OG0000019	sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN	tr|S9WN65|S9WN65_CAMFR
OG0000019	sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN	tr|S9YUC5|S9YUC5_CAMFR
OG0000020	sp|Q8NGE1|OR6C4_HUMAN	tr|S9WNJ2|S9WNJ2_CAMFR, tr|S9WVG7|S9WVG7_CAMFR, tr|S9W9L5|S9W9L5_CAMFR
OG0000020	sp|Q8NGE2|O2AP1_HUMAN	tr|S9X395|S9X395_CAMFR, tr|S9XBX1|S9XBX1_CAMFR, tr|S9W970|S9W970_CAMFR, tr|S9XIU9|S9XIU9_CAMFR, tr|S9YUB9|S9YUB9_CAMFR, tr|S9W7A8|S9W7A8_CAMFR, tr|S9Y7V7|S9Y7V7_CAMFR, tr|S9WVH3|S9WVH3_CAMFR, tr|S9W2T8|S9W2T8_CAMFR, tr|S9WX64|S9WX64_CAMFR, tr|S9WX71|S9WX71_CAMFR, tr|S9WVH6|S9WVH6_CAMFR, tr|S9XLI8|S9XLI8_CAMFR, tr|S9XYF3|S9XYF3_CAMFR, tr|S9Y7W2|S9Y7W2_CAMFR, tr|S9WX66|S9WX66_CAMFR, tr|S9WNK0|S9WNK0_CAMFR, tr|S9XYE1|S9XYE1_CAMFR, tr|S9W3N8|S9W3N8_CAMFR, tr|S9Y7V4|S9Y7V4_CAMFR
OG0000022	sp|Q96M61|MAGBI_HUMAN	tr|S9W4X5|S9W4X5_CAMFR
OG0000022	sp|A2A368|MAGBG_HUMAN	tr|S9WIS5|S9WIS5_CAMFR, tr|S9WD14|S9WD14_CAMFR
OG0000022	sp|A6NCF6|MA13P_HUMAN	tr|S9XJZ9|S9XJZ9_CAMFR, tr|S9XMZ4|S9XMZ4_CAMFR, tr|S9XPF6|S9XPF6_CAMFR, tr|S9XL54|S9XL54_CAMFR, tr|S9XQH2|S9XQH2_CAMFR, tr|S9W779|S9W779_CAMFR, tr|S9WE98|S9WE98_CAMFR, tr|S9WL37|S9WL37_CAMFR
OG0000022	sp|Q9BZ81|MAGB5_HUMAN	tr|S9XFA6|S9XFA6_CAMFR, tr|S9XTF4|S9XTF4_CAMFR, tr|S9WB18|S9WB18_CAMFR, tr|S9XNB6|S9XNB6_CAMFR
OG0000023	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN	tr|S9XLR7|S9XLR7_CAMFR, tr|S9XGI4|S9XGI4_CAMFR, tr|S9XBZ0|S9XBZ0_CAMFR
OG0000024	sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q14587|ZN268_HUMAN	tr|S9YLR2|S9YLR2_CAMFR
OG0000024	sp|Q5HYK9|ZN667_HUMAN	tr|S9XVL3|S9XVL3_CAMFR, tr|S9YE60|S9YE60_CAMFR, tr|S9X8A0|S9X8A0_CAMFR, tr|S9XN25|S9XN25_CAMFR, tr|S9X0B3|S9X0B3_CAMFR, tr|S9WF98|S9WF98_CAMFR, tr|S9WB82|S9WB82_CAMFR, tr|S9W6B5|S9W6B5_CAMFR, tr|S9Y4J4|S9Y4J4_CAMFR, tr|S9XPR9|S9XPR9_CAMFR, tr|S9XES4|S9XES4_CAMFR, tr|S9WFA2|S9WFA2_CAMFR, tr|S9YUF1|S9YUF1_CAMFR, tr|S9XG19|S9XG19_CAMFR, tr|S9XVK8|S9XVK8_CAMFR, tr|S9XRL6|S9XRL6_CAMFR, tr|S9YA52|S9YA52_CAMFR, tr|S9X7L4|S9X7L4_CAMFR
OG0000025	sp|P30954|O10J1_HUMAN	tr|S9YDX6|S9YDX6_CAMFR, tr|S9XDF1|S9XDF1_CAMFR
OG0000025	sp|Q8NGX6|O10R2_HUMAN	tr|S9YP31|S9YP31_CAMFR, tr|S9Z208|S9Z208_CAMFR, tr|S9YE01|S9YE01_CAMFR, tr|S9XBD3|S9XBD3_CAMFR
OG0000025	sp|Q8NGX3|O10T2_HUMAN	tr|S9XHY5|S9XHY5_CAMFR, tr|S9XQ44|S9XQ44_CAMFR
OG0000025	sp|P0C629|O10J4_HUMAN	tr|S9XBB0|S9XBB0_CAMFR
OG0000025	sp|Q5JRS4|O10J3_HUMAN	tr|S9YDY1|S9YDY1_CAMFR
OG0000025	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|S9YP06|S9YP06_CAMFR
OG0000026	sp|Q9NQN1|OR2S1_HUMAN	tr|S9YDH6|S9YDH6_CAMFR
OG0000026	sp|P0DN81|O13C7_HUMAN	tr|S9Y446|S9Y446_CAMFR
OG0000026	sp|Q8NGS7|O13C8_HUMAN	tr|S9WRF3|S9WRF3_CAMFR, tr|S9WRE9|S9WRE9_CAMFR
OG0000026	sp|Q8NGV5|O13D1_HUMAN	tr|S9YAJ5|S9YAJ5_CAMFR, tr|S9Y0J6|S9Y0J6_CAMFR, tr|S9YAI4|S9YAI4_CAMFR, tr|S9X9G3|S9X9G3_CAMFR, tr|S9WY65|S9WY65_CAMFR, tr|S9WUQ1|S9WUQ1_CAMFR, tr|S9WC37|S9WC37_CAMFR, tr|S9YRS1|S9YRS1_CAMFR, tr|S9WY70|S9WY70_CAMFR
OG0000026	sp|O95980|RECK_HUMAN	tr|S9X3W7|S9X3W7_CAMFR, tr|S9Y3S5|S9Y3S5_CAMFR
OG0000027	sp|Q8NGD2|OR4K2_HUMAN	tr|S9WIT1|S9WIT1_CAMFR
OG0000027	sp|Q8NH43|OR4L1_HUMAN	tr|S9XWP1|S9XWP1_CAMFR, tr|S9WKA3|S9WKA3_CAMFR, tr|S9WKD5|S9WKD5_CAMFR, tr|S9WD80|S9WD80_CAMFR, tr|S9W7M3|S9W7M3_CAMFR, tr|S9W9G7|S9W9G7_CAMFR, tr|S9XBB7|S9XBB7_CAMFR, tr|S9XLW6|S9XLW6_CAMFR, tr|S9XWN4|S9XWN4_CAMFR, tr|S9XNA6|S9XNA6_CAMFR, tr|S9XLA6|S9XLA6_CAMFR, tr|S9W534|S9W534_CAMFR, tr|S9W9F8|S9W9F8_CAMFR, tr|S9WDS8|S9WDS8_CAMFR, tr|S9W9G8|S9W9G8_CAMFR, tr|S9WK99|S9WK99_CAMFR, tr|S9WD88|S9WD88_CAMFR, tr|S9XLZ0|S9XLZ0_CAMFR, tr|S9XWR0|S9XWR0_CAMFR
OG0000028	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y7|SPDE7_HUMAN	tr|S9YNQ5|S9YNQ5_CAMFR
OG0000031	sp|Q9BW27|NUP85_HUMAN	tr|S9XPR8|S9XPR8_CAMFR, tr|S9XLK2|S9XLK2_CAMFR, tr|S9WJP3|S9WJP3_CAMFR, tr|T0MA36|T0MA36_CAMFR, tr|S9YC59|S9YC59_CAMFR, tr|S9WCX2|S9WCX2_CAMFR, tr|S9WZ44|S9WZ44_CAMFR, tr|S9W9J1|S9W9J1_CAMFR, tr|S9X0G8|S9X0G8_CAMFR, tr|S9YC72|S9YC72_CAMFR, tr|T0MKJ4|T0MKJ4_CAMFR, tr|S9YFB9|S9YFB9_CAMFR, tr|S9XPT9|S9XPT9_CAMFR, tr|S9Y2F1|S9Y2F1_CAMFR, tr|S9W5F1|S9W5F1_CAMFR, tr|S9WQ67|S9WQ67_CAMFR, tr|S9YA03|S9YA03_CAMFR, tr|S9YIA9|S9YIA9_CAMFR, tr|S9WZL1|S9WZL1_CAMFR, tr|T0M485|T0M485_CAMFR
OG0000032	sp|Q8NH48|OR5B3_HUMAN	tr|S9YRC7|S9YRC7_CAMFR
OG0000032	sp|Q96R09|OR5B2_HUMAN	tr|S9XH29|S9XH29_CAMFR
OG0000032	sp|A6NL26|OR5BL_HUMAN	tr|S9XH23|S9XH23_CAMFR, tr|S9XP59|S9XP59_CAMFR, tr|S9XC92|S9XC92_CAMFR, tr|S9X9X9|S9X9X9_CAMFR, tr|S9YME2|S9YME2_CAMFR, tr|S9X3I3|S9X3I3_CAMFR, tr|S9W9L8|S9W9L8_CAMFR, tr|S9YRC3|S9YRC3_CAMFR, tr|S9XQH0|S9XQH0_CAMFR
OG0000032	sp|Q96R08|OR5BC_HUMAN	tr|S9XP63|S9XP63_CAMFR, tr|S9XH32|S9XH32_CAMFR, tr|S9YRD1|S9YRD1_CAMFR, tr|S9XP55|S9XP55_CAMFR
