Orthogroup	Homo_sapiens	Pan_troglodytes
OG0000015	sp|Q8NGE1|OR6C4_HUMAN	tr|H2Q656|H2Q656_PANTR
OG0000015	sp|A6NCV1|O6C74_HUMAN	tr|H2Q654|H2Q654_PANTR
OG0000015	sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN	tr|H2R7F7|H2R7F7_PANTR
OG0000015	sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN	tr|H2R7F5|H2R7F5_PANTR
OG0000015	sp|A6NL08|O6C75_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|Q96RD1|OR6C1_HUMAN	tr|H2R7F6|H2R7F6_PANTR
OG0000016	sp|A0A0A0MRZ7|KVD26_HUMAN	tr|A0A2I3SC38|A0A2I3SC38_PANTR
OG0000016	sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN	tr|H2QL67|H2QL67_PANTR, tr|A0A2I3RHV7|A0A2I3RHV7_PANTR, tr|A0A2I3S2J9|A0A2I3S2J9_PANTR, tr|A0A2I3SYG2|A0A2I3SYG2_PANTR, tr|A0A2I3S280|A0A2I3S280_PANTR, tr|H2QL68|H2QL68_PANTR, tr|A0A2I3SLZ2|A0A2I3SLZ2_PANTR
OG0000017	sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN	tr|H2RES8|H2RES8_PANTR
OG0000018	sp|A2RRD8|ZN320_HUMAN, sp|P17035|ZNF28_HUMAN, sp|Q5VIY5|ZN468_HUMAN, sp|P0CJ79|ZN888_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|Q8N782|ZN525_HUMAN, sp|A6NHJ4|ZN860_HUMAN, tr|A0A7P0TAN4|A0A7P0TAN4_HUMAN, sp|Q0VGE8|ZN816_HUMAN, sp|Q8N823|ZN611_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q6ZNG1|ZN600_HUMAN, sp|Q8N8H1|ZN321_HUMAN, sp|Q96N58|ZN578_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q86XN6|ZN761_HUMAN	tr|A0A2I3RKK8|A0A2I3RKK8_PANTR
OG0000020	sp|O00370|LORF2_HUMAN	tr|A0A2I3TP77|A0A2I3TP77_PANTR, tr|A0A2I3S4Q9|A0A2I3S4Q9_PANTR, tr|A0A2I3SSJ3|A0A2I3SSJ3_PANTR, tr|A0A2I3TIT4|A0A2I3TIT4_PANTR, tr|A0A2I3TRX5|A0A2I3TRX5_PANTR, tr|A0A2I3SX43|A0A2I3SX43_PANTR, tr|A0A2I3RUL5|A0A2I3RUL5_PANTR, tr|A0A2I3TM39|A0A2I3TM39_PANTR, tr|A0A2I3TME3|A0A2I3TME3_PANTR, tr|A0A2I3T5M3|A0A2I3T5M3_PANTR, tr|A0A2I3RQD5|A0A2I3RQD5_PANTR, tr|A0A2I3RJ50|A0A2I3RJ50_PANTR, tr|A0A2I3S8C6|A0A2I3S8C6_PANTR, tr|A0A2I3TVN6|A0A2I3TVN6_PANTR, tr|A0A2I3RGR1|A0A2I3RGR1_PANTR, tr|A0A2I3RVI7|A0A2I3RVI7_PANTR, tr|A0A2I3T2R4|A0A2I3T2R4_PANTR, tr|A0A2I3RSM8|A0A2I3RSM8_PANTR
OG0000023	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|O76087|GAGE7_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN	tr|H2QYL7|H2QYL7_PANTR
OG0000026	sp|P01567|IFNA7_HUMAN	tr|A0A2I3T730|A0A2I3T730_PANTR
OG0000026	sp|P01568|IFN21_HUMAN	tr|H2QX24|H2QX24_PANTR
OG0000026	sp|P01570|IFN14_HUMAN	tr|A0A2I3S4K6|A0A2I3S4K6_PANTR
OG0000026	sp|P01569|IFNA5_HUMAN	tr|H2QX27|H2QX27_PANTR
OG0000026	sp|P01563|IFNA2_HUMAN	tr|H2QX26|H2QX26_PANTR
OG0000026	sp|P05013|IFNA6_HUMAN	tr|H2RI85|H2RI85_PANTR
OG0000026	sp|P01566|IFN10_HUMAN, sp|P01571|IFN17_HUMAN	tr|A0A2I3RVF8|A0A2I3RVF8_PANTR
OG0000027	sp|P15880|RS2_HUMAN	tr|A0A2I3SB88|A0A2I3SB88_PANTR, tr|A0A2I3TWM8|A0A2I3TWM8_PANTR, tr|A0A2I3RXR7|A0A2I3RXR7_PANTR, tr|A0A2I3SR47|A0A2I3SR47_PANTR, tr|A0A2I3SML5|A0A2I3SML5_PANTR, tr|A0A2I3SX07|A0A2I3SX07_PANTR, tr|A0A2I3RHQ8|A0A2I3RHQ8_PANTR, tr|A0A2I3RWE0|A0A2I3RWE0_PANTR, tr|A0A2I3TQU8|A0A2I3TQU8_PANTR, tr|A0A2I3RTX3|A0A2I3RTX3_PANTR, tr|A0A2I3T711|A0A2I3T711_PANTR, tr|A0A2I3SXD8|A0A2I3SXD8_PANTR, tr|A0A2I3S5Q5|A0A2I3S5Q5_PANTR, tr|A0A2I3RZ84|A0A2I3RZ84_PANTR, tr|A0A2I3RZY3|A0A2I3RZY3_PANTR, tr|A0A2I3RBK9|A0A2I3RBK9_PANTR
OG0000029	sp|Q8IX06|GOR_HUMAN	sp|P48778|GOR_PANTR, tr|A0A2I3RRI1|A0A2I3RRI1_PANTR, tr|A0A2I3SXN9|A0A2I3SXN9_PANTR, tr|A0A2I3TFS4|A0A2I3TFS4_PANTR, tr|A0A2I3TDF6|A0A2I3TDF6_PANTR, tr|A0A2I3SB18|A0A2I3SB18_PANTR, tr|A0A2I3TEL6|A0A2I3TEL6_PANTR, tr|A0A2I3SM52|A0A2I3SM52_PANTR, tr|A0A2I3T9T0|A0A2I3T9T0_PANTR, tr|A0A2I3T319|A0A2I3T319_PANTR, tr|A0A2I3TNR4|A0A2I3TNR4_PANTR, tr|A0A2I3TLX2|A0A2I3TLX2_PANTR, tr|A0A2I3TT73|A0A2I3TT73_PANTR, tr|A0A2I3T4W1|A0A2I3T4W1_PANTR, tr|A0A2I3T5N5|A0A2I3T5N5_PANTR
OG0000030	sp|P51991|ROA3_HUMAN	tr|K7DJX6|K7DJX6_PANTR, tr|A0A2I3SIM5|A0A2I3SIM5_PANTR, tr|A0A2I3TCU7|A0A2I3TCU7_PANTR, tr|A0A2I3RM80|A0A2I3RM80_PANTR, tr|A0A2I3S091|A0A2I3S091_PANTR, tr|A0A2I3RQH8|A0A2I3RQH8_PANTR, tr|A0A2I3RK09|A0A2I3RK09_PANTR, tr|A0A2I3SD18|A0A2I3SD18_PANTR, tr|H2RBZ8|H2RBZ8_PANTR, tr|A0A2I3RM01|A0A2I3RM01_PANTR, tr|A0A2I3TRA6|A0A2I3TRA6_PANTR, tr|H2RHE1|H2RHE1_PANTR, tr|H2RHB3|H2RHB3_PANTR, sp|A5A6H4|ROA1_PANTR, tr|A0A2I3S4A0|A0A2I3S4A0_PANTR
OG0000032	tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|P0DW12|TFKL7_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN	tr|A0A2I3RQ85|A0A2I3RQ85_PANTR
OG0000033	sp|Q96QV6|H2A1A_HUMAN, tr|A0A8Q3WKH5|A0A8Q3WKH5_HUMAN, sp|A0A3B3IU63|H2AL3_HUMAN, sp|Q8IUE6|H2A2B_HUMAN, sp|P0C0S8|H2A1_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|P20671|H2A1D_HUMAN, sp|P04908|H2A1B_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q9BTM1|H2AJ_HUMAN	tr|H2QSE5|H2QSE5_PANTR
OG0000034	sp|O95522|PRA12_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN	tr|H2R9H4|H2R9H4_PANTR
OG0000035	sp|Q16385|SSX2_HUMAN	tr|H2QYJ7|H2QYJ7_PANTR, tr|A0A2I3SZC0|A0A2I3SZC0_PANTR, tr|A0A2I3SMG8|A0A2I3SMG8_PANTR
OG0000035	sp|Q99909|SSX3_HUMAN	tr|A0A2I3SMH4|A0A2I3SMH4_PANTR
OG0000035	sp|Q16384|SSX1_HUMAN	tr|H2QYM8|H2QYM8_PANTR
OG0000035	sp|Q7RTT4|SSX8_HUMAN	tr|A0A2I3SU77|A0A2I3SU77_PANTR
OG0000036	sp|Q8NH03|OR2T3_HUMAN	tr|A0A2I3RQM7|A0A2I3RQM7_PANTR
OG0000036	sp|Q8NH00|OR2T4_HUMAN	tr|H2R7X7|H2R7X7_PANTR
OG0000036	sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN	tr|H2R3D8|H2R3D8_PANTR
OG0000036	sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN	tr|H2RGP6|H2RGP6_PANTR
OG0000037	sp|Q9NZL3|ZN224_HUMAN	tr|H2RC45|H2RC45_PANTR
OG0000037	sp|Q2VY69|ZN284_HUMAN	tr|A0A2I3RJR7|A0A2I3RJR7_PANTR
OG0000037	sp|Q9UK13|ZN221_HUMAN	tr|A0A2J8IXK4|A0A2J8IXK4_PANTR
OG0000037	sp|Q9UK11|ZN223_HUMAN	tr|H2QGI9|H2QGI9_PANTR
OG0000037	sp|Q9UIE0|ZN230_HUMAN	tr|H2QGI8|H2QGI8_PANTR
OG0000037	sp|Q12901|ZN155_HUMAN	tr|H2REP2|H2REP2_PANTR
OG0000037	sp|Q9UK12|ZN222_HUMAN	tr|H2RC02|H2RC02_PANTR
OG0000042	sp|P0DPF3|NBPF9_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q3BBV2|NBPF8_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|Q6P3W6|NBPFA_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|P0DPF2|NBPFK_HUMAN	tr|H2R773|H2R773_PANTR
OG0000042	sp|Q9H094|NBPF3_HUMAN	tr|H2RBV2|H2RBV2_PANTR
OG0000043	sp|P48668|K2C6C_HUMAN	tr|A0A2I3SNQ2|A0A2I3SNQ2_PANTR
OG0000043	sp|P13647|K2C5_HUMAN	sp|A5A6M8|K2C5_PANTR, tr|H2Q5Z8|H2Q5Z8_PANTR
OG0000043	sp|O95678|K2C75_HUMAN	tr|A0A2I3S574|A0A2I3S574_PANTR
OG0000043	sp|Q01546|K22O_HUMAN	tr|H2Q603|H2Q603_PANTR
OG0000043	sp|P12035|K2C3_HUMAN	tr|A0A2I3TV17|A0A2I3TV17_PANTR
OG0000043	sp|P04259|K2C6B_HUMAN	tr|A0A2I3RFA1|A0A2I3RFA1_PANTR
OG0000044	sp|Q6IF82|O4A47_HUMAN	tr|H2R5F2|H2R5F2_PANTR
OG0000044	sp|Q8NGN8|OR4A4_HUMAN	tr|A0A2I3T6B8|A0A2I3T6B8_PANTR
OG0000044	sp|Q8NH70|O4A16_HUMAN	tr|A0A2I3RCN5|A0A2I3RCN5_PANTR
OG0000044	sp|Q8NH83|OR4A5_HUMAN, sp|P0C604|OR4A8_HUMAN	tr|H2RB69|H2RB69_PANTR
OG0000045	sp|Q8NGA2|OR7A2_HUMAN	tr|H2QFL3|H2QFL3_PANTR
OG0000045	sp|O76100|OR7AA_HUMAN	tr|A0A2J8LUH9|A0A2J8LUH9_PANTR
OG0000045	sp|O14581|OR7AH_HUMAN	tr|A0A2I3T0K4|A0A2I3T0K4_PANTR
OG0000045	sp|Q15622|OR7A5_HUMAN	tr|A0A2J8LUF1|A0A2J8LUF1_PANTR
OG0000045	sp|O76099|OR7C1_HUMAN	tr|H2QFL0|H2QFL0_PANTR
OG0000045	sp|O60412|OR7C2_HUMAN	tr|H2RGS8|H2RGS8_PANTR
OG0000046	sp|P60842|IF4A1_HUMAN	sp|A5A6N4|IF4A1_PANTR
OG0000046	sp|Q14240|IF4A2_HUMAN	tr|G2HHL3|G2HHL3_PANTR, tr|A0A2I3S2Q2|A0A2I3S2Q2_PANTR, tr|A0A2I3S879|A0A2I3S879_PANTR, tr|A0A2I3S131|A0A2I3S131_PANTR, tr|A0A2I3STE6|A0A2I3STE6_PANTR, tr|A0A2I3T8A2|A0A2I3T8A2_PANTR, tr|A0A2I3S5E0|A0A2I3S5E0_PANTR, tr|A0A2I3TMW7|A0A2I3TMW7_PANTR, tr|A0A2I3TRZ2|A0A2I3TRZ2_PANTR, tr|A0A2I3TKM4|A0A2I3TKM4_PANTR, tr|H2QNX3|H2QNX3_PANTR
OG0000050	sp|P07910|HNRPC_HUMAN	tr|A0A2I3SF05|A0A2I3SF05_PANTR
OG0000050	sp|O60812|HNRC1_HUMAN	tr|H2R781|H2R781_PANTR
OG0000050	tr|A0A0G2JPF8|A0A0G2JPF8_HUMAN, sp|P0DMR1|HNRC4_HUMAN, sp|B7ZW38|HNRC3_HUMAN, sp|B2RXH8|HNRC2_HUMAN, tr|A0A0G2JNQ3|A0A0G2JNQ3_HUMAN	tr|A0A2I3SUW7|A0A2I3SUW7_PANTR, tr|A0A2I3T5A7|A0A2I3T5A7_PANTR
OG0000051	sp|A0A584|TVBK2_HUMAN	tr|A0A2I3TMT0|A0A2I3TMT0_PANTR
OG0000051	sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN	tr|A0A2I3SZE5|A0A2I3SZE5_PANTR
OG0000052	sp|P09493|TPM1_HUMAN	tr|A0A2I3RSY7|A0A2I3RSY7_PANTR, tr|A0A2I3SEZ7|A0A2I3SEZ7_PANTR, tr|H2R0U0|H2R0U0_PANTR, tr|H2R0Y4|H2R0Y4_PANTR
OG0000052	sp|P06753|TPM3_HUMAN	tr|A0A2I3T4U6|A0A2I3T4U6_PANTR
OG0000052	sp|P07951|TPM2_HUMAN	tr|A0A2I3RAB2|A0A2I3RAB2_PANTR
OG0000053	sp|Q14568|HS902_HUMAN	tr|A0A2I3RD93|A0A2I3RD93_PANTR
OG0000053	sp|P08238|HS90B_HUMAN, sp|Q58FF7|H90B3_HUMAN	tr|A0A2I3TXH7|A0A2I3TXH7_PANTR
OG0000053	sp|Q58FG1|HS904_HUMAN	tr|H2QT34|H2QT34_PANTR, tr|A0A2I3TH13|A0A2I3TH13_PANTR
OG0000053	sp|P07900|HS90A_HUMAN	tr|A0A2I3S281|A0A2I3S281_PANTR, sp|A5A6K9|HS90A_PANTR, tr|A0A2I3SI01|A0A2I3SI01_PANTR
OG0000054	sp|P07195|LDHB_HUMAN	tr|A0A2I3SU84|A0A2I3SU84_PANTR, tr|H2Q5L1|H2Q5L1_PANTR
OG0000054	sp|P07864|LDHC_HUMAN	tr|H2Q395|H2Q395_PANTR
OG0000054	sp|P00338|LDHA_HUMAN	tr|A0A2I3TIB4|A0A2I3TIB4_PANTR, tr|A0A2I3T1N6|A0A2I3T1N6_PANTR, sp|Q5R1W9|LDHA_PANTR, tr|A0A2I3T1J0|A0A2I3T1J0_PANTR, tr|A0A2I3RJT2|A0A2I3RJT2_PANTR, tr|A0A2I3RVL6|A0A2I3RVL6_PANTR
OG0000057	sp|Q6UWM9|UD2A3_HUMAN	tr|H2RA41|H2RA41_PANTR
OG0000057	sp|P54855|UDB15_HUMAN, sp|O75795|UDB17_HUMAN, sp|P06133|UD2B4_HUMAN, sp|P16662|UD2B7_HUMAN, sp|Q9BY64|UDB28_HUMAN, sp|O75310|UDB11_HUMAN, sp|P36537|UDB10_HUMAN, sp|P0DTE5|UD2A2_HUMAN, sp|P0DTE4|UD2A1_HUMAN	tr|A0A2I3TIW3|A0A2I3TIW3_PANTR
OG0000058	sp|Q01955|CO4A3_HUMAN	tr|H2QJJ5|H2QJJ5_PANTR
OG0000058	sp|P02462|CO4A1_HUMAN	tr|K7C8P4|K7C8P4_PANTR
OG0000058	sp|P29400|CO4A5_HUMAN	tr|K7ARM1|K7ARM1_PANTR
OG0000058	sp|P53420|CO4A4_HUMAN	tr|H2R630|H2R630_PANTR
OG0000058	sp|P08572|CO4A2_HUMAN	tr|K7C8W0|K7C8W0_PANTR
OG0000058	sp|Q14031|CO4A6_HUMAN	tr|A0A2I3RZ64|A0A2I3RZ64_PANTR
