Orthogroup	Homo_sapiens	Suricata_suricatta
OG0000005	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A673U2J8|A0A673U2J8_SURSU, tr|A0A673TR24|A0A673TR24_SURSU, tr|A0A673UDX0|A0A673UDX0_SURSU, tr|A0A673UE46|A0A673UE46_SURSU, tr|A0A673UDG9|A0A673UDG9_SURSU, tr|A0A673UM92|A0A673UM92_SURSU, tr|A0A673UI83|A0A673UI83_SURSU, tr|A0A673UL58|A0A673UL58_SURSU, tr|A0A673UFB5|A0A673UFB5_SURSU, tr|A0A673U911|A0A673U911_SURSU, tr|A0A673UE57|A0A673UE57_SURSU, tr|A0A673STX8|A0A673STX8_SURSU, tr|A0A673T4A8|A0A673T4A8_SURSU, tr|A0A673U5U5|A0A673U5U5_SURSU, tr|A0A673U4S1|A0A673U4S1_SURSU, tr|A0A673UMQ9|A0A673UMQ9_SURSU, tr|A0A673UXA2|A0A673UXA2_SURSU, tr|A0A673U8H4|A0A673U8H4_SURSU, tr|A0A673TVT5|A0A673TVT5_SURSU, tr|A0A673UXZ5|A0A673UXZ5_SURSU, tr|A0A673TC58|A0A673TC58_SURSU, tr|A0A673T571|A0A673T571_SURSU, tr|A0A673SV57|A0A673SV57_SURSU, tr|A0A673SVC1|A0A673SVC1_SURSU, tr|A0A673T370|A0A673T370_SURSU, tr|A0A673T3J8|A0A673T3J8_SURSU, tr|A0A673UE00|A0A673UE00_SURSU, tr|A0A673TAU8|A0A673TAU8_SURSU, tr|A0A673UKP1|A0A673UKP1_SURSU, tr|A0A673UD90|A0A673UD90_SURSU, tr|A0A673U9S5|A0A673U9S5_SURSU, tr|A0A673ULF9|A0A673ULF9_SURSU, tr|A0A673U8S4|A0A673U8S4_SURSU
OG0000008	sp|Q8NGL6|O4A15_HUMAN	tr|A0A673U0Q0|A0A673U0Q0_SURSU
OG0000008	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A673UAQ8|A0A673UAQ8_SURSU
OG0000008	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A673U037|A0A673U037_SURSU, tr|A0A673UAW9|A0A673UAW9_SURSU, tr|A0A673UAJ4|A0A673UAJ4_SURSU, tr|A0A673U2L3|A0A673U2L3_SURSU
OG0000008	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A673U1K2|A0A673U1K2_SURSU
OG0000008	sp|A6NMZ5|O4C45_HUMAN	tr|A0A673U8T5|A0A673U8T5_SURSU, tr|A0A673U9K6|A0A673U9K6_SURSU
OG0000009	sp|Q3KP31|ZN791_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN	tr|A0A673U380|A0A673U380_SURSU
OG0000010	sp|Q08379|GOGA2_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|A0A673U3F8|A0A673U3F8_SURSU
OG0000013	sp|Q9H9J4|UBP42_HUMAN	tr|A0A673V6V5|A0A673V6V5_SURSU
OG0000013	sp|Q9P275|UBP36_HUMAN	tr|A0A673VA62|A0A673VA62_SURSU
OG0000013	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN	tr|A0A673UEY6|A0A673UEY6_SURSU
OG0000014	sp|Q9UPS8|ANR26_HUMAN	tr|A0A673THG4|A0A673THG4_SURSU
OG0000014	sp|A6NC57|ANR62_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|Q4UJ75|A20A4_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q5VUR7|A20A3_HUMAN, sp|Q5SQ80|A20A2_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q92527|ANKR7_HUMAN	tr|A0A673TJ21|A0A673TJ21_SURSU
OG0000015	sp|Q9BR84|ZN559_HUMAN	tr|A0A673TVS4|A0A673TVS4_SURSU
OG0000015	sp|Q14929|ZN169_HUMAN	tr|A0A673VAZ1|A0A673VAZ1_SURSU
OG0000015	sp|P52738|ZN140_HUMAN	tr|A0A673V6U0|A0A673V6U0_SURSU
OG0000015	sp|Q9NQX6|ZN331_HUMAN	tr|A0A673UB43|A0A673UB43_SURSU
OG0000015	sp|Q8N7M2|ZN283_HUMAN	tr|A0A673V2K5|A0A673V2K5_SURSU
OG0000015	sp|Q86XU0|ZN677_HUMAN	tr|A0A673UI25|A0A673UI25_SURSU, tr|A0A673U580|A0A673U580_SURSU, tr|A0A673U1I5|A0A673U1I5_SURSU, tr|A0A673U076|A0A673U076_SURSU, tr|A0A673UBV4|A0A673UBV4_SURSU, tr|A0A673UCL1|A0A673UCL1_SURSU, tr|A0A673UD57|A0A673UD57_SURSU
OG0000017	sp|Q9H346|O52D1_HUMAN	tr|A0A673TP58|A0A673TP58_SURSU
OG0000017	sp|Q8NH60|O52J3_HUMAN	tr|A0A673UHS7|A0A673UHS7_SURSU, tr|A0A673UID9|A0A673UID9_SURSU, tr|A0A673UF87|A0A673UF87_SURSU, tr|A0A673U702|A0A673U702_SURSU, tr|A0A673UF38|A0A673UF38_SURSU, tr|A0A673UI04|A0A673UI04_SURSU, tr|A0A673UHK6|A0A673UHK6_SURSU
OG0000017	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A673TRQ0|A0A673TRQ0_SURSU, tr|A0A673U2B2|A0A673U2B2_SURSU, tr|A0A673U272|A0A673U272_SURSU
OG0000017	sp|Q8NGF1|O52R1_HUMAN	tr|A0A673UCD9|A0A673UCD9_SURSU, tr|A0A673U6X3|A0A673U6X3_SURSU, tr|A0A673UA98|A0A673UA98_SURSU, tr|A0A673U6P3|A0A673U6P3_SURSU, tr|A0A673UJ88|A0A673UJ88_SURSU, tr|A0A673UIS3|A0A673UIS3_SURSU, tr|A0A673U4I7|A0A673U4I7_SURSU
OG0000018	sp|Q8NGV5|O13D1_HUMAN	tr|A0A673VFB1|A0A673VFB1_SURSU, tr|A0A673VD92|A0A673VD92_SURSU, tr|A0A673VD78|A0A673VD78_SURSU, tr|A0A673VFF5|A0A673VFF5_SURSU, tr|A0A673VFD0|A0A673VFD0_SURSU, tr|A0A673VDB3|A0A673VDB3_SURSU, tr|A0A673VQ59|A0A673VQ59_SURSU, tr|A0A673VNU2|A0A673VNU2_SURSU, tr|A0A673TPV6|A0A673TPV6_SURSU, tr|A0A673VQK8|A0A673VQK8_SURSU, tr|A0A673V6U2|A0A673V6U2_SURSU, tr|A0A673VFK3|A0A673VFK3_SURSU, tr|A0A673VIU7|A0A673VIU7_SURSU, tr|A0A673VIG6|A0A673VIG6_SURSU, tr|A0A673V8L6|A0A673V8L6_SURSU, tr|A0A673V8F0|A0A673V8F0_SURSU, tr|A0A673V8S7|A0A673V8S7_SURSU, tr|A0A673VHB9|A0A673VHB9_SURSU, tr|A0A673VID9|A0A673VID9_SURSU, tr|A0A673VFL6|A0A673VFL6_SURSU, tr|A0A673VQA0|A0A673VQA0_SURSU, tr|A0A673VQH4|A0A673VQH4_SURSU, tr|A0A673VDG1|A0A673VDG1_SURSU, tr|A0A673VQ69|A0A673VQ69_SURSU
OG0000020	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN	tr|A0A673UVD3|A0A673UVD3_SURSU
OG0000021	sp|O43869|OR2T1_HUMAN	tr|A0A673SVD1|A0A673SVD1_SURSU
OG0000021	sp|Q8NHC8|OR2T6_HUMAN	tr|A0A673SPA2|A0A673SPA2_SURSU
OG0000021	sp|Q8NH01|O2T11_HUMAN	tr|A0A673SVF8|A0A673SVF8_SURSU, tr|A0A673SWN2|A0A673SWN2_SURSU
OG0000021	sp|Q8NGZ0|O2AJ1_HUMAN	tr|A0A673SWQ1|A0A673SWQ1_SURSU, tr|A0A673SLP6|A0A673SLP6_SURSU, tr|A0A673SWS5|A0A673SWS5_SURSU, tr|A0A673SWG9|A0A673SWG9_SURSU, tr|A0A673SLS1|A0A673SLS1_SURSU, tr|A0A673SWY4|A0A673SWY4_SURSU, tr|A0A673U449|A0A673U449_SURSU, tr|A0A673SM06|A0A673SM06_SURSU, tr|A0A673T6T9|A0A673T6T9_SURSU, tr|A0A673SUY6|A0A673SUY6_SURSU, tr|A0A673U3C1|A0A673U3C1_SURSU, tr|A0A673SLL0|A0A673SLL0_SURSU, tr|A0A673TVB2|A0A673TVB2_SURSU, tr|A0A673TW55|A0A673TW55_SURSU
OG0000023	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN	tr|A0A673VGC4|A0A673VGC4_SURSU
OG0000025	sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN	tr|A0A673T0Q7|A0A673T0Q7_SURSU, tr|A0A673SZD2|A0A673SZD2_SURSU
OG0000025	sp|A0A5B0|TVB14_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN	tr|A0A673SSK8|A0A673SSK8_SURSU
OG0000026	sp|Q8NGG2|OR5T2_HUMAN	tr|A0A673TR32|A0A673TR32_SURSU, tr|A0A673TRB5|A0A673TRB5_SURSU
OG0000026	sp|Q8NH18|OR5J2_HUMAN	tr|A0A673T066|A0A673T066_SURSU, tr|A0A673T8K1|A0A673T8K1_SURSU, tr|A0A673T8M1|A0A673T8M1_SURSU, tr|A0A673T8L0|A0A673T8L0_SURSU, tr|A0A673VCH3|A0A673VCH3_SURSU, tr|A0A673TQK8|A0A673TQK8_SURSU, tr|A0A673UC15|A0A673UC15_SURSU, tr|A0A673UBX8|A0A673UBX8_SURSU, tr|A0A673UT13|A0A673UT13_SURSU, tr|A0A673TZ04|A0A673TZ04_SURSU, tr|A0A673U440|A0A673U440_SURSU, tr|A0A673U331|A0A673U331_SURSU, tr|A0A673U1Q0|A0A673U1Q0_SURSU
OG0000026	sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN	tr|A0A673U3M9|A0A673U3M9_SURSU
OG0000027	sp|P17032|ZN37A_HUMAN	tr|A0A673TKD0|A0A673TKD0_SURSU
OG0000027	sp|Q9NYW8|RBAK_HUMAN	tr|A0A673TC53|A0A673TC53_SURSU
OG0000027	sp|P17014|ZNF12_HUMAN	tr|A0A673VG64|A0A673VG64_SURSU
OG0000027	sp|Q8NDW4|ZN248_HUMAN	tr|A0A673TUC6|A0A673TUC6_SURSU
OG0000027	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A673UC37|A0A673UC37_SURSU
OG0000027	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A673UDD0|A0A673UDD0_SURSU
OG0000027	sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q6ZMW2|ZN782_HUMAN	tr|A0A673UCZ6|A0A673UCZ6_SURSU
OG0000029	sp|P08727|K1C19_HUMAN	tr|A0A673VEV3|A0A673VEV3_SURSU
OG0000029	sp|Q2M2I5|K1C24_HUMAN	tr|A0A673UV62|A0A673UV62_SURSU
OG0000029	sp|Q99456|K1C12_HUMAN	tr|A0A673V7B3|A0A673V7B3_SURSU
OG0000029	sp|P13645|K1C10_HUMAN	tr|A0A673V7K0|A0A673V7K0_SURSU
OG0000029	sp|P35527|K1C9_HUMAN	tr|A0A673V653|A0A673V653_SURSU
OG0000029	sp|P19012|K1C15_HUMAN	tr|A0A673V3A1|A0A673V3A1_SURSU
OG0000029	sp|P13646|K1C13_HUMAN	tr|A0A673VEI6|A0A673VEI6_SURSU
OG0000029	sp|P02533|K1C14_HUMAN	tr|A0A673VFH8|A0A673VFH8_SURSU
OG0000029	sp|P08779|K1C16_HUMAN	tr|A0A673VGB9|A0A673VGB9_SURSU
OG0000029	sp|Q04695|K1C17_HUMAN	tr|A0A673VH11|A0A673VH11_SURSU, tr|A0A673VGW7|A0A673VGW7_SURSU
OG0000031	sp|P19013|K2C4_HUMAN	tr|A0A673T5B7|A0A673T5B7_SURSU, tr|A0A673TJ36|A0A673TJ36_SURSU, tr|A0A673TMB6|A0A673TMB6_SURSU, tr|A0A673TIR6|A0A673TIR6_SURSU, tr|A0A673T7L7|A0A673T7L7_SURSU, tr|A0A673TKJ5|A0A673TKJ5_SURSU, tr|A0A673TM03|A0A673TM03_SURSU, tr|A0A673T446|A0A673T446_SURSU, tr|A0A673TJ05|A0A673TJ05_SURSU, tr|A0A673TIC9|A0A673TIC9_SURSU, tr|A0A673TGV1|A0A673TGV1_SURSU, tr|A0A673TAX3|A0A673TAX3_SURSU, tr|A0A673TIE4|A0A673TIE4_SURSU, tr|A0A673TJP3|A0A673TJP3_SURSU, tr|A0A673TBC5|A0A673TBC5_SURSU, tr|A0A673T5L2|A0A673T5L2_SURSU, tr|A0A673T5U3|A0A673T5U3_SURSU, tr|A0A673THC4|A0A673THC4_SURSU, tr|A0A673THJ7|A0A673THJ7_SURSU, tr|A0A673TFS3|A0A673TFS3_SURSU
OG0000033	sp|Q15375|EPHA7_HUMAN	tr|A0A673UD03|A0A673UD03_SURSU
OG0000033	sp|P54753|EPHB3_HUMAN	tr|A0A673TS15|A0A673TS15_SURSU
OG0000033	sp|P29323|EPHB2_HUMAN	tr|A0A673TJK5|A0A673TJK5_SURSU
OG0000033	sp|P54762|EPHB1_HUMAN	tr|A0A673U6C9|A0A673U6C9_SURSU
OG0000033	sp|P54764|EPHA4_HUMAN	tr|A0A673SNK0|A0A673SNK0_SURSU
OG0000033	sp|P29322|EPHA8_HUMAN	tr|A0A673T901|A0A673T901_SURSU
OG0000033	sp|P29317|EPHA2_HUMAN	tr|A0A673TKV3|A0A673TKV3_SURSU
OG0000033	sp|Q9UF33|EPHA6_HUMAN	tr|A0A673V9S9|A0A673V9S9_SURSU
OG0000033	sp|P54756|EPHA5_HUMAN	tr|A0A673T787|A0A673T787_SURSU
OG0000033	sp|P29320|EPHA3_HUMAN	tr|A0A673V8P4|A0A673V8P4_SURSU
OG0000035	sp|P0C617|O5AL1_HUMAN	tr|A0A673U172|A0A673U172_SURSU
OG0000035	sp|Q8NGP6|OR5M8_HUMAN	tr|A0A673UCY6|A0A673UCY6_SURSU, tr|A0A673TSH1|A0A673TSH1_SURSU, tr|A0A673TNF6|A0A673TNF6_SURSU
OG0000035	sp|Q96RB7|OR5MB_HUMAN	tr|A0A673UD56|A0A673UD56_SURSU, tr|A0A673U1E5|A0A673U1E5_SURSU, tr|A0A673U4L6|A0A673U4L6_SURSU, tr|A0A673U1P9|A0A673U1P9_SURSU, tr|A0A673UDH8|A0A673UDH8_SURSU, tr|A0A673U0I9|A0A673U0I9_SURSU
OG0000037	sp|Q86WZ6|ZN227_HUMAN	tr|A0A673UQD9|A0A673UQD9_SURSU
OG0000037	sp|Q14590|ZN235_HUMAN	tr|A0A673V0E4|A0A673V0E4_SURSU
OG0000037	sp|A6NK53|ZN233_HUMAN, sp|Q9UJU3|ZN112_HUMAN	tr|A0A673URF3|A0A673URF3_SURSU
OG0000040	sp|Q9H255|O51E2_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK3|O52K2_HUMAN	tr|A0A673U4X4|A0A673U4X4_SURSU
OG0000041	sp|P49888|ST1E1_HUMAN	tr|A0A673SVB5|A0A673SVB5_SURSU
OG0000041	sp|O43704|ST1B1_HUMAN	tr|A0A673T3T6|A0A673T3T6_SURSU
OG0000041	sp|Q6IMI6|ST1C3_HUMAN	tr|A0A673T6X6|A0A673T6X6_SURSU
OG0000041	sp|O00338|ST1C2_HUMAN, sp|O75897|ST1C4_HUMAN	tr|A0A673T8I5|A0A673T8I5_SURSU
OG0000041	sp|O00204|ST2B1_HUMAN	tr|A0A673VAN1|A0A673VAN1_SURSU
OG0000041	sp|Q06520|ST2A1_HUMAN	tr|A0A673VH73|A0A673VH73_SURSU, tr|A0A673UTG1|A0A673UTG1_SURSU, tr|A0A673UJJ2|A0A673UJJ2_SURSU, tr|A0A673UUE2|A0A673UUE2_SURSU, tr|A0A673USZ5|A0A673USZ5_SURSU
