Orthogroup	Homo_sapiens	Balaenoptera_musculus
OG0000005	sp|Q8NH80|O10D3_HUMAN, sp|Q8NGN7|O10D4_HUMAN	tr|A0A8B8Y0L4|A0A8B8Y0L4_BALMU
OG0000005	sp|Q8IXE1|OR4N5_HUMAN	tr|A0A8B8WWU2|A0A8B8WWU2_BALMU
OG0000005	sp|Q8NGD1|OR4N2_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN	tr|A0A8C0CZ40|A0A8C0CZ40_BALMU
OG0000005	sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A8C0CUF6|A0A8C0CUF6_BALMU
OG0000006	sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01782|HV309_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0JD37|TRDV3_HUMAN	tr|A0A8B8Z1L6|A0A8B8Z1L6_BALMU
OG0000007	sp|Q7Z340|ZN551_HUMAN	tr|A0A8B8VXV9|A0A8B8VXV9_BALMU
OG0000007	sp|Q8TAW3|ZN671_HUMAN	tr|A0A8B8VXI0|A0A8B8VXI0_BALMU, tr|A0A8B8W1G5|A0A8B8W1G5_BALMU, tr|A0A8B8W1F5|A0A8B8W1F5_BALMU, tr|A0A8B8W1F0|A0A8B8W1F0_BALMU, tr|A0A8B8W1G6|A0A8B8W1G6_BALMU, tr|A0A8B8W1F4|A0A8B8W1F4_BALMU, tr|A0A8B8VXX4|A0A8B8VXX4_BALMU, tr|A0A8B8VXW0|A0A8B8VXW0_BALMU, tr|A0A8C0DNC3|A0A8C0DNC3_BALMU, tr|A0A8B8VXV8|A0A8B8VXV8_BALMU, tr|A0A8B8VXW3|A0A8B8VXW3_BALMU, tr|A0A8B8VXW4|A0A8B8VXW4_BALMU, tr|A0A8C0DP81|A0A8C0DP81_BALMU, tr|A0A8B8VX65|A0A8B8VX65_BALMU, tr|A0A8B8V8E7|A0A8B8V8E7_BALMU, tr|A0A8B8VX72|A0A8B8VX72_BALMU, tr|A0A8B8VXT6|A0A8B8VXT6_BALMU, tr|A0A8B8VXX3|A0A8B8VXX3_BALMU, tr|A0A8B8VXW7|A0A8B8VXW7_BALMU, tr|A0A8B8VTX2|A0A8B8VTX2_BALMU, tr|A0A8C0DU75|A0A8C0DU75_BALMU, tr|A0A8B8VYK7|A0A8B8VYK7_BALMU, tr|A0A8B8VUH4|A0A8B8VUH4_BALMU, tr|A0A8B8VXT8|A0A8B8VXT8_BALMU, tr|A0A8B8VTX5|A0A8B8VTX5_BALMU, tr|A0A8B8W107|A0A8B8W107_BALMU, tr|A0A8C0I1E4|A0A8C0I1E4_BALMU, tr|A0A8B8VVT3|A0A8B8VVT3_BALMU, tr|A0A8B8VTW8|A0A8B8VTW8_BALMU, tr|A0A8B8W245|A0A8B8W245_BALMU, tr|A0A8B8VX77|A0A8B8VX77_BALMU, tr|A0A8B8W1G7|A0A8B8W1G7_BALMU
OG0000011	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A8B8VW89|A0A8B8VW89_BALMU
OG0000011	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A8C0E5C4|A0A8C0E5C4_BALMU, tr|A0A8B8VVK6|A0A8B8VVK6_BALMU
OG0000011	sp|Q8N141|ZFP82_HUMAN	tr|A0A8C0E1T1|A0A8C0E1T1_BALMU
OG0000011	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8B8VV34|A0A8B8VV34_BALMU
OG0000011	sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A8B8W2F6|A0A8B8W2F6_BALMU
OG0000011	sp|P52738|ZN140_HUMAN, sp|Q8NHY6|ZFP28_HUMAN	tr|A0A8B8VVY3|A0A8B8VVY3_BALMU, tr|A0A8B8VYY1|A0A8B8VYY1_BALMU, tr|A0A8B8VV16|A0A8B8VV16_BALMU
OG0000011	sp|Q8NA42|ZN383_HUMAN	tr|A0A8B8VWG6|A0A8B8VWG6_BALMU
OG0000011	sp|Q8TAF7|ZN461_HUMAN	tr|A0A8B8VXH5|A0A8B8VXH5_BALMU
OG0000011	sp|Q969W8|ZN566_HUMAN	tr|A0A8C0E715|A0A8C0E715_BALMU
OG0000011	sp|Q96NG8|ZN582_HUMAN	tr|A0A8B8VYR0|A0A8B8VYR0_BALMU
OG0000011	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A8B8VV18|A0A8B8VV18_BALMU
OG0000012	sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN	tr|A0A8B8V3P7|A0A8B8V3P7_BALMU
OG0000012	sp|P01718|LV327_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN	tr|A0A8B8V431|A0A8B8V431_BALMU
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN	tr|A0A8B8XKQ5|A0A8B8XKQ5_BALMU
OG0000015	sp|Q6A162|K1C40_HUMAN	tr|A0A8B8W694|A0A8B8W694_BALMU
OG0000015	sp|Q99456|K1C12_HUMAN	tr|A0A8B8W464|A0A8B8W464_BALMU
OG0000015	sp|Q7Z3Y7|K1C28_HUMAN, sp|Q7Z3Z0|K1C25_HUMAN, sp|Q7Z3Y8|K1C27_HUMAN, sp|Q7Z3Y9|K1C26_HUMAN, sp|Q2M2I5|K1C24_HUMAN	tr|A0A8B8W457|A0A8B8W457_BALMU
OG0000016	sp|P0C0S8|H2A1_HUMAN	tr|A0A8C0CX73|A0A8C0CX73_BALMU
OG0000016	sp|Q99878|H2A1J_HUMAN	tr|A0A8C0CUD9|A0A8C0CUD9_BALMU
OG0000016	sp|Q96KK5|H2A1H_HUMAN	tr|A0A8B8YSP3|A0A8B8YSP3_BALMU, tr|A0A8B8VZA2|A0A8B8VZA2_BALMU
OG0000016	sp|Q8IUE6|H2A2B_HUMAN, sp|Q96QV6|H2A1A_HUMAN, tr|A0A8Q3WKH5|A0A8Q3WKH5_HUMAN, sp|A0A3B3IU63|H2AL3_HUMAN	tr|A0A8B8YXR9|A0A8B8YXR9_BALMU
OG0000016	sp|Q6FI13|H2A2A_HUMAN	tr|A0A8B8XAZ5|A0A8B8XAZ5_BALMU, tr|A0A8B8XAB3|A0A8B8XAB3_BALMU
OG0000016	sp|P20671|H2A1D_HUMAN	tr|A0A8B8YUH4|A0A8B8YUH4_BALMU
OG0000016	sp|Q93077|H2A1C_HUMAN	tr|A0A8C0D140|A0A8C0D140_BALMU
OG0000016	sp|Q7L7L0|H2A3_HUMAN	tr|A0A8C0C4Y7|A0A8C0C4Y7_BALMU
OG0000016	sp|P04908|H2A1B_HUMAN	tr|A0A8C0D2C5|A0A8C0D2C5_BALMU, tr|A0A8B8YN95|A0A8B8YN95_BALMU
OG0000020	sp|Q9P275|UBP36_HUMAN	tr|A0A8B8W823|A0A8B8W823_BALMU
OG0000020	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A8B8VE80|A0A8B8VE80_BALMU
OG0000021	sp|Q8NH79|OR6X1_HUMAN	tr|A0A8B8Y0M6|A0A8B8Y0M6_BALMU
OG0000021	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A8B8Y0M1|A0A8B8Y0M1_BALMU
OG0000021	sp|Q8NGC5|OR6J1_HUMAN	tr|A0A8B8WP51|A0A8B8WP51_BALMU
OG0000023	sp|Q96RE9|ZN300_HUMAN	tr|A0A8B8X3A8|A0A8B8X3A8_BALMU, tr|A0A8B8X362|A0A8B8X362_BALMU, tr|A0A8B8XQ06|A0A8B8XQ06_BALMU, tr|A0A8B8VYL4|A0A8B8VYL4_BALMU, tr|A0A8B8XN82|A0A8B8XN82_BALMU, tr|A0A8B8XN84|A0A8B8XN84_BALMU, tr|A0A8B8XYL1|A0A8B8XYL1_BALMU, tr|A0A8B8VK27|A0A8B8VK27_BALMU, tr|A0A8B8XPN9|A0A8B8XPN9_BALMU, tr|A0A8B8WEB3|A0A8B8WEB3_BALMU, tr|A0A8B8VIX2|A0A8B8VIX2_BALMU, tr|A0A8B8VHJ4|A0A8B8VHJ4_BALMU, tr|A0A8B8VKG7|A0A8B8VKG7_BALMU, tr|A0A8B8VAL7|A0A8B8VAL7_BALMU, tr|A0A8B8VK17|A0A8B8VK17_BALMU, tr|A0A8B8VK12|A0A8B8VK12_BALMU, tr|A0A8B8VK98|A0A8B8VK98_BALMU, tr|A0A8B8V3P0|A0A8B8V3P0_BALMU, tr|A0A8B8VKS3|A0A8B8VKS3_BALMU, tr|A0A8B8VLH1|A0A8B8VLH1_BALMU, tr|A0A8B8VAT1|A0A8B8VAT1_BALMU, tr|A0A8B8X6P7|A0A8B8X6P7_BALMU
OG0000024	sp|Q99880|H2B1L_HUMAN	tr|A0A8B8YUI4|A0A8B8YUI4_BALMU, tr|A0A8B8YSQ4|A0A8B8YSQ4_BALMU, tr|A0A8C0CEG0|A0A8C0CEG0_BALMU, tr|A0A8B8X5K7|A0A8B8X5K7_BALMU, tr|A0A8C0CED7|A0A8C0CED7_BALMU, tr|A0A8B8YW37|A0A8B8YW37_BALMU, tr|A0A8C0CTT2|A0A8C0CTT2_BALMU, tr|A0A8B8YQ16|A0A8B8YQ16_BALMU, tr|A0A8C0D5N7|A0A8C0D5N7_BALMU, tr|A0A8B8YNA6|A0A8B8YNA6_BALMU, tr|A0A8B8YX10|A0A8B8YX10_BALMU, tr|A0A8B8YUI9|A0A8B8YUI9_BALMU, tr|A0A8B8YNA0|A0A8B8YNA0_BALMU, tr|A0A8B8YSQ1|A0A8B8YSQ1_BALMU, tr|A0A8B8Z0B7|A0A8B8Z0B7_BALMU, tr|A0A8C0CEH4|A0A8C0CEH4_BALMU, tr|A0A8B8YSQ6|A0A8B8YSQ6_BALMU, tr|A0A8B8YTA1|A0A8B8YTA1_BALMU, tr|A0A8B8WDH5|A0A8B8WDH5_BALMU, tr|A0A8B8WDK7|A0A8B8WDK7_BALMU, tr|A0A8B8WIR6|A0A8B8WIR6_BALMU, tr|A0A8B8WDJ9|A0A8B8WDJ9_BALMU
OG0000025	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN	tr|A0A8C0CBR9|A0A8C0CBR9_BALMU
OG0000027	sp|Q7RTR8|T2R42_HUMAN	tr|A0A8B8YHN0|A0A8B8YHN0_BALMU
OG0000027	sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN	tr|A0A8B8YH93|A0A8B8YH93_BALMU
OG0000030	sp|Q86XU0|ZN677_HUMAN	tr|A0A8B8VWT5|A0A8B8VWT5_BALMU, tr|A0A8C0E236|A0A8C0E236_BALMU, tr|A0A8B8VWQ4|A0A8B8VWQ4_BALMU, tr|A0A8B8VWV8|A0A8B8VWV8_BALMU, tr|A0A8B8VXS3|A0A8B8VXS3_BALMU, tr|A0A8B8VYQ3|A0A8B8VYQ3_BALMU, tr|A0A8B8VX05|A0A8B8VX05_BALMU, tr|A0A8B8V737|A0A8B8V737_BALMU, tr|A0A8B8VXQ1|A0A8B8VXQ1_BALMU, tr|A0A8B8VWR4|A0A8B8VWR4_BALMU, tr|A0A8B8VWW8|A0A8B8VWW8_BALMU, tr|A0A8B8VWN1|A0A8B8VWN1_BALMU, tr|A0A8B8VX75|A0A8B8VX75_BALMU, tr|A0A8B8VX48|A0A8B8VX48_BALMU, tr|A0A8B8WL74|A0A8B8WL74_BALMU, tr|A0A8B8VXQ4|A0A8B8VXQ4_BALMU, tr|A0A8B8VWY0|A0A8B8VWY0_BALMU, tr|A0A8B8VYM9|A0A8B8VYM9_BALMU, tr|A0A8B8VYI5|A0A8B8VYI5_BALMU, tr|A0A8B8VYH7|A0A8B8VYH7_BALMU
OG0000031	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN	tr|A0A8B8YRW7|A0A8B8YRW7_BALMU
OG0000032	sp|Q7RTS7|K2C74_HUMAN	tr|A0A8B8YLL7|A0A8B8YLL7_BALMU, tr|A0A8B8YUG4|A0A8B8YUG4_BALMU
OG0000032	sp|Q86Y46|K2C73_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|O95678|K2C75_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P13647|K2C5_HUMAN, sp|P05787|K2C8_HUMAN, sp|P08729|K2C7_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|P12035|K2C3_HUMAN, sp|Q01546|K22O_HUMAN, sp|P19013|K2C4_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|P04264|K2C1_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN	tr|A0A8B8YTC6|A0A8B8YTC6_BALMU
