Orthogroup	Homo_sapiens	Marmota_marmota_marmota
OG0000007	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C5ZHW0|A0A8C5ZHW0_MARMA
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C5ZG86|A0A8C5ZG86_MARMA
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C5ZFP0|A0A8C5ZFP0_MARMA, tr|A0A8C5ZF23|A0A8C5ZF23_MARMA, tr|A0A8C5ZG74|A0A8C5ZG74_MARMA, tr|A0A8C5ZIT8|A0A8C5ZIT8_MARMA
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C5ZHC5|A0A8C5ZHC5_MARMA
OG0000007	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C5ZKJ9|A0A8C5ZKJ9_MARMA, tr|A0A8C5ZGQ3|A0A8C5ZGQ3_MARMA, tr|A0A8C5ZJB3|A0A8C5ZJB3_MARMA, tr|A0A8C5ZG19|A0A8C5ZG19_MARMA, tr|A0A8C5ZGL5|A0A8C5ZGL5_MARMA, tr|A0A8C5ZGT4|A0A8C5ZGT4_MARMA
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A8C6ETJ9|A0A8C6ETJ9_MARMA, tr|A0A8C5ZHG6|A0A8C5ZHG6_MARMA, tr|A0A8C6EU09|A0A8C6EU09_MARMA, tr|A0A8C5ZH64|A0A8C5ZH64_MARMA, tr|A0A8C5ZJV5|A0A8C5ZJV5_MARMA
OG0000007	sp|A6NGY5|O51F1_HUMAN	tr|A0A8C5ZFZ4|A0A8C5ZFZ4_MARMA, tr|A0A8C6ETB6|A0A8C6ETB6_MARMA
OG0000007	sp|Q8NH61|O51F2_HUMAN	tr|A0A8C5ZHT0|A0A8C5ZHT0_MARMA
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C6ETB4|A0A8C6ETB4_MARMA, tr|A0A8C5ZG26|A0A8C5ZG26_MARMA, tr|A0A8C5ZHQ0|A0A8C5ZHQ0_MARMA
OG0000008	sp|O00370|LORF2_HUMAN	tr|A0A8C5YNU6|A0A8C5YNU6_MARMA, tr|A0A8C5ZRM9|A0A8C5ZRM9_MARMA, tr|A0A8C5ZVX1|A0A8C5ZVX1_MARMA, tr|A0A8C5ZWJ7|A0A8C5ZWJ7_MARMA, tr|A0A8C5YNB7|A0A8C5YNB7_MARMA, tr|A0A8C6ERS3|A0A8C6ERS3_MARMA
OG0000008	sp|Q9H606|PRORY_HUMAN	tr|A0A8C5YKI1|A0A8C5YKI1_MARMA, tr|A0A8C6EVY0|A0A8C6EVY0_MARMA, tr|A0A8C6AAA8|A0A8C6AAA8_MARMA, tr|A0A8C5ZXW9|A0A8C5ZXW9_MARMA, tr|A0A8C5Z274|A0A8C5Z274_MARMA, tr|A0A8C5YP40|A0A8C5YP40_MARMA, tr|A0A8C5ZSR2|A0A8C5ZSR2_MARMA, tr|A0A8C5YRW0|A0A8C5YRW0_MARMA, tr|A0A8C5ZST8|A0A8C5ZST8_MARMA, tr|A0A8C5ZZH2|A0A8C5ZZH2_MARMA, tr|A0A8C5ZU25|A0A8C5ZU25_MARMA, tr|A0A8C5Z8W4|A0A8C5Z8W4_MARMA, tr|A0A8C5YTN4|A0A8C5YTN4_MARMA, tr|A0A8C5ZRD2|A0A8C5ZRD2_MARMA, tr|A0A8C6AE78|A0A8C6AE78_MARMA, tr|A0A8C5ZP05|A0A8C5ZP05_MARMA, tr|A0A8C5YMR9|A0A8C5YMR9_MARMA, tr|A0A8C6EUF6|A0A8C6EUF6_MARMA, tr|A0A8C5ZMT9|A0A8C5ZMT9_MARMA, tr|A0A8C6AD42|A0A8C6AD42_MARMA, tr|A0A8C5YU70|A0A8C5YU70_MARMA, tr|A0A8C5Z3U2|A0A8C5Z3U2_MARMA, tr|A0A8C5ZJ96|A0A8C5ZJ96_MARMA, tr|A0A8C5ZT98|A0A8C5ZT98_MARMA, tr|A0A8C5Z5C4|A0A8C5Z5C4_MARMA, tr|A0A8C6ACR8|A0A8C6ACR8_MARMA, tr|A0A8C5Z3N3|A0A8C5Z3N3_MARMA, tr|A0A8C5YWP5|A0A8C5YWP5_MARMA, tr|A0A8C6EYF1|A0A8C6EYF1_MARMA, tr|A0A8C5ZAT1|A0A8C5ZAT1_MARMA
OG0000010	sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01602|KV105_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN	tr|A0A8C5YQ55|A0A8C5YQ55_MARMA, tr|A0A8C5YSU2|A0A8C5YSU2_MARMA
OG0000011	sp|Q96R67|OR4CC_HUMAN	tr|A0A8C6EVT8|A0A8C6EVT8_MARMA
OG0000011	sp|Q8NH37|OR4C3_HUMAN	tr|A0A8C5ZUV0|A0A8C5ZUV0_MARMA, tr|A0A8C5ZQF6|A0A8C5ZQF6_MARMA
OG0000011	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A8C5ZRZ5|A0A8C5ZRZ5_MARMA, tr|A0A8C5ZT09|A0A8C5ZT09_MARMA, tr|A0A8C5ZQQ2|A0A8C5ZQQ2_MARMA, tr|A0A8C5ZQV5|A0A8C5ZQV5_MARMA, tr|A0A8C5ZV38|A0A8C5ZV38_MARMA, tr|A0A8C5ZQU7|A0A8C5ZQU7_MARMA
OG0000011	sp|Q8NH72|OR4C6_HUMAN	tr|A0A8C6EVT9|A0A8C6EVT9_MARMA, tr|A0A8C6EVE2|A0A8C6EVE2_MARMA, tr|A0A8C5ZQP1|A0A8C5ZQP1_MARMA, tr|A0A8C5ZQS8|A0A8C5ZQS8_MARMA, tr|A0A8C5ZSY0|A0A8C5ZSY0_MARMA, tr|A0A8C5ZVN5|A0A8C5ZVN5_MARMA, tr|A0A8C5ZVM7|A0A8C5ZVM7_MARMA, tr|A0A8C5ZRS1|A0A8C5ZRS1_MARMA, tr|A0A8C5ZRT1|A0A8C5ZRT1_MARMA, tr|A0A8C5ZV67|A0A8C5ZV67_MARMA, tr|A0A8C6EVX1|A0A8C6EVX1_MARMA
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN	tr|A0A8C5ZSN9|A0A8C5ZSN9_MARMA
OG0000013	sp|Q6P9A3|ZN549_HUMAN	tr|A0A8C5YLH6|A0A8C5YLH6_MARMA
OG0000013	sp|Q13398|ZN211_HUMAN	tr|A0A8C6EZV1|A0A8C6EZV1_MARMA
OG0000013	sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q68DI1|ZN776_HUMAN	tr|A0A8C6AC89|A0A8C6AC89_MARMA
OG0000013	sp|P52741|ZN134_HUMAN	tr|A0A8C6ADW5|A0A8C6ADW5_MARMA
OG0000013	sp|Q68DY9|ZN772_HUMAN	tr|A0A8C5YKC2|A0A8C5YKC2_MARMA
OG0000014	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8C5YJG3|A0A8C5YJG3_MARMA, tr|A0A8C5YHQ5|A0A8C5YHQ5_MARMA
OG0000014	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A8C6EXW6|A0A8C6EXW6_MARMA
OG0000014	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A8C6A759|A0A8C6A759_MARMA, tr|A0A8C6A317|A0A8C6A317_MARMA
OG0000014	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A8C6A714|A0A8C6A714_MARMA
OG0000017	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q9H568|ACTL8_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P60709|ACTB_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN	tr|A0A8C5ZLK0|A0A8C5ZLK0_MARMA
OG0000020	sp|Q9P275|UBP36_HUMAN	tr|A0A8C5Z2M3|A0A8C5Z2M3_MARMA
OG0000020	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q9H9J4|UBP42_HUMAN	tr|A0A8C5Z2C8|A0A8C5Z2C8_MARMA
OG0000021	sp|Q9UN71|PCDGG_HUMAN	tr|A0A8C5ZHR9|A0A8C5ZHR9_MARMA
OG0000021	sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A8C5ZGV2|A0A8C5ZGV2_MARMA
OG0000023	sp|P24903|CP2F1_HUMAN	tr|A0A8C6A0M6|A0A8C6A0M6_MARMA, tr|A0A8C6A3J7|A0A8C6A3J7_MARMA, tr|A0A8C6A1I0|A0A8C6A1I0_MARMA, tr|A0A8C6A1J2|A0A8C6A1J2_MARMA, tr|A0A8C6A388|A0A8C6A388_MARMA, tr|A0A8C5ZP82|A0A8C5ZP82_MARMA, tr|A0A8C5ZPG9|A0A8C5ZPG9_MARMA, tr|A0A8C5ZRP2|A0A8C5ZRP2_MARMA, tr|A0A8C6A3C1|A0A8C6A3C1_MARMA, tr|A0A8C5ZQ84|A0A8C5ZQ84_MARMA, tr|A0A8C5ZTI7|A0A8C5ZTI7_MARMA, tr|A0A8C5ZNY0|A0A8C5ZNY0_MARMA, tr|A0A8C5ZQY8|A0A8C5ZQY8_MARMA, tr|A0A8C5ZTK7|A0A8C5ZTK7_MARMA, tr|A0A8C5YHL1|A0A8C5YHL1_MARMA, tr|A0A8C6EUY5|A0A8C6EUY5_MARMA, tr|A0A8C6A3B9|A0A8C6A3B9_MARMA, tr|A0A8C6A024|A0A8C6A024_MARMA, tr|A0A8C5YWD6|A0A8C5YWD6_MARMA, tr|A0A8C5Z2D8|A0A8C5Z2D8_MARMA, tr|A0A8C6AEC2|A0A8C6AEC2_MARMA
OG0000026	sp|Q8NH55|O52E5_HUMAN	tr|A0A8C5ZL90|A0A8C5ZL90_MARMA, tr|A0A8C5ZKJ7|A0A8C5ZKJ7_MARMA, tr|A0A8C5ZNA1|A0A8C5ZNA1_MARMA
OG0000026	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A8C6ETU8|A0A8C6ETU8_MARMA
OG0000026	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A8C5ZKR0|A0A8C5ZKR0_MARMA, tr|A0A8C6ETV2|A0A8C6ETV2_MARMA, tr|A0A8C5ZI58|A0A8C5ZI58_MARMA, tr|A0A8C5ZGH9|A0A8C5ZGH9_MARMA, tr|A0A8C5ZHH5|A0A8C5ZHH5_MARMA, tr|A0A8C5ZFP2|A0A8C5ZFP2_MARMA, tr|A0A8C6EUM9|A0A8C6EUM9_MARMA, tr|A0A8C5ZHS4|A0A8C5ZHS4_MARMA, tr|A0A8C6ETX8|A0A8C6ETX8_MARMA, tr|A0A8C5ZGA2|A0A8C5ZGA2_MARMA, tr|A0A8C5ZIZ4|A0A8C5ZIZ4_MARMA
OG0000026	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8C5ZQ00|A0A8C5ZQ00_MARMA, tr|A0A8C5ZQ34|A0A8C5ZQ34_MARMA
OG0000028	sp|P15812|CD1E_HUMAN	tr|A0A8C6A2Q6|A0A8C6A2Q6_MARMA, tr|A0A8C6A7I5|A0A8C6A7I5_MARMA, tr|A0A8C6EXX1|A0A8C6EXX1_MARMA, tr|A0A8C6A674|A0A8C6A674_MARMA, tr|A0A8C6A400|A0A8C6A400_MARMA, tr|A0A8C6A5C4|A0A8C6A5C4_MARMA, tr|A0A8C6A5M6|A0A8C6A5M6_MARMA, tr|A0A8C6A5U8|A0A8C6A5U8_MARMA, tr|A0A8C6A4M3|A0A8C6A4M3_MARMA, tr|A0A8C6A381|A0A8C6A381_MARMA, tr|A0A8C6A6K3|A0A8C6A6K3_MARMA, tr|A0A8C6A870|A0A8C6A870_MARMA, tr|A0A8C6A7T3|A0A8C6A7T3_MARMA, tr|A0A8C6A6M4|A0A8C6A6M4_MARMA, tr|A0A8C6A5U3|A0A8C6A5U3_MARMA, tr|A0A8C6A4D5|A0A8C6A4D5_MARMA, tr|A0A8C5Z670|A0A8C5Z670_MARMA, tr|A0A8C6A5X3|A0A8C6A5X3_MARMA, tr|A0A8C5Z6K4|A0A8C5Z6K4_MARMA, tr|A0A8C5Z835|A0A8C5Z835_MARMA
OG0000029	sp|Q9NX77|ENK13_HUMAN	tr|A0A8C5ZEA4|A0A8C5ZEA4_MARMA
OG0000029	tr|B3KNS4|B3KNS4_HUMAN	tr|A0A8C5YNR1|A0A8C5YNR1_MARMA
OG0000029	sp|P61568|ENK11_HUMAN	tr|A0A8C5YIK2|A0A8C5YIK2_MARMA
OG0000032	sp|Q3KPI0|CEA21_HUMAN, sp|O75871|CEAM4_HUMAN, sp|P40198|CEAM3_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|A8MTB9|CEA18_HUMAN, sp|P13688|CEAM1_HUMAN, sp|P06731|CEAM5_HUMAN, sp|P40199|CEAM6_HUMAN, sp|Q00889|PSG6_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q16557|PSG3_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|Q15238|PSG5_HUMAN, sp|P31997|CEAM8_HUMAN	tr|A0A8C5ZR26|A0A8C5ZR26_MARMA
OG0000033	sp|P27448|MARK3_HUMAN	tr|A0A8C5YTF8|A0A8C5YTF8_MARMA
OG0000033	sp|Q9P0L2|MARK1_HUMAN	tr|A0A8C6AFC1|A0A8C6AFC1_MARMA
OG0000033	sp|Q7KZI7|MARK2_HUMAN	tr|A0A8C6A2E5|A0A8C6A2E5_MARMA, tr|A0A8C5YYF4|A0A8C5YYF4_MARMA, tr|A0A8C5Z985|A0A8C5Z985_MARMA, tr|A0A8C5ZUZ9|A0A8C5ZUZ9_MARMA, tr|A0A8C6A7G0|A0A8C6A7G0_MARMA, tr|A0A8C5ZJE6|A0A8C5ZJE6_MARMA, tr|A0A8C6EYX3|A0A8C6EYX3_MARMA, tr|A0A8C5YW03|A0A8C5YW03_MARMA, tr|A0A8C5ZFJ2|A0A8C5ZFJ2_MARMA, tr|A0A8C5ZHM8|A0A8C5ZHM8_MARMA, tr|A0A8C5ZGW2|A0A8C5ZGW2_MARMA, tr|A0A8C5Z4R3|A0A8C5Z4R3_MARMA, tr|A0A8C6ENN2|A0A8C6ENN2_MARMA, tr|A0A8C5Z7F2|A0A8C5Z7F2_MARMA, tr|A0A8C5Z2N6|A0A8C5Z2N6_MARMA
OG0000038	sp|P19013|K2C4_HUMAN	tr|A0A8C5YRH8|A0A8C5YRH8_MARMA
OG0000038	sp|P08729|K2C7_HUMAN	tr|A0A8C5YQC8|A0A8C5YQC8_MARMA, tr|A0A8C6EMZ3|A0A8C6EMZ3_MARMA, tr|A0A8C6EMK1|A0A8C6EMK1_MARMA, tr|A0A8C5YPG5|A0A8C5YPG5_MARMA, tr|A0A8C5YRF7|A0A8C5YRF7_MARMA, tr|A0A8C5YQI5|A0A8C5YQI5_MARMA, tr|A0A8C5YPH7|A0A8C5YPH7_MARMA, tr|A0A8C5YR42|A0A8C5YR42_MARMA, tr|A0A8C5YNY4|A0A8C5YNY4_MARMA, tr|A0A8C5YLF9|A0A8C5YLF9_MARMA, tr|A0A8C5YPX5|A0A8C5YPX5_MARMA, tr|A0A8C5YMZ2|A0A8C5YMZ2_MARMA, tr|A0A8C5YNC9|A0A8C5YNC9_MARMA, tr|A0A8C5YP20|A0A8C5YP20_MARMA, tr|A0A8C5YNN7|A0A8C5YNN7_MARMA, tr|A0A8C5YNA0|A0A8C5YNA0_MARMA
OG0000039	sp|P62807|H2B1C_HUMAN	tr|A0A8C5YMR5|A0A8C5YMR5_MARMA
OG0000039	sp|Q16778|H2B2E_HUMAN	tr|A0A8C6A0Y3|A0A8C6A0Y3_MARMA
