Orthogroup	Homo_sapiens	Orycteropus_afer_afer
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A8B6ZU70|A0A8B6ZU70_ORYAF, tr|A0A8B6ZZ65|A0A8B6ZZ65_ORYAF
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8B6ZU12|A0A8B6ZU12_ORYAF
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8B7B2A6|A0A8B7B2A6_ORYAF, tr|A0A8B7B6D3|A0A8B7B6D3_ORYAF, tr|A0A8B7AXA3|A0A8B7AXA3_ORYAF
OG0000007	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A8B6ZUA9|A0A8B6ZUA9_ORYAF
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8B6ZU91|A0A8B6ZU91_ORYAF, tr|A0A8B6ZU65|A0A8B6ZU65_ORYAF, tr|A0A8B6ZZ60|A0A8B6ZZ60_ORYAF
OG0000007	sp|Q9H341|O51M1_HUMAN	tr|A0A8B7AW45|A0A8B7AW45_ORYAF
OG0000008	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A8B7ARZ7|A0A8B7ARZ7_ORYAF
OG0000008	sp|Q15620|OR8B8_HUMAN	tr|A0A8B7AQR8|A0A8B7AQR8_ORYAF
OG0000008	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A8B7AVH0|A0A8B7AVH0_ORYAF
OG0000008	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A8B7ARZ9|A0A8B7ARZ9_ORYAF
OG0000008	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A8B7AQN6|A0A8B7AQN6_ORYAF, tr|A0A8B7AVG5|A0A8B7AVG5_ORYAF, tr|A0A8B7AKX9|A0A8B7AKX9_ORYAF
OG0000008	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8B7ARL7|A0A8B7ARL7_ORYAF, tr|A0A8B7AS20|A0A8B7AS20_ORYAF, tr|A0A8B7AQP0|A0A8B7AQP0_ORYAF, tr|A0A8B7AQM1|A0A8B7AQM1_ORYAF, tr|A0A8B7AQU3|A0A8B7AQU3_ORYAF, tr|A0A8B7AQT8|A0A8B7AQT8_ORYAF, tr|A0A8B7ARM3|A0A8B7ARM3_ORYAF, tr|A0A8B7ARJ7|A0A8B7ARJ7_ORYAF
OG0000011	sp|O60431|OR1I1_HUMAN	tr|A0A8B7B9W1|A0A8B7B9W1_ORYAF, tr|A0A8B7APH7|A0A8B7APH7_ORYAF, tr|A0A8B6ZGW3|A0A8B6ZGW3_ORYAF, tr|A0A8B6ZGZ2|A0A8B6ZGZ2_ORYAF, tr|A0A8B6ZGU7|A0A8B6ZGU7_ORYAF, tr|A0A8B6ZQ38|A0A8B6ZQ38_ORYAF, tr|A0A8B6ZQ99|A0A8B6ZQ99_ORYAF, tr|A0A8B6ZQA8|A0A8B6ZQA8_ORYAF, tr|A0A8B6ZS01|A0A8B6ZS01_ORYAF, tr|A0A8B6ZVA1|A0A8B6ZVA1_ORYAF, tr|A0A8B6ZPZ6|A0A8B6ZPZ6_ORYAF, tr|A0A8B6ZQA3|A0A8B6ZQA3_ORYAF, tr|A0A8B6ZPW3|A0A8B6ZPW3_ORYAF, tr|A0A8B6ZRZ6|A0A8B6ZRZ6_ORYAF, tr|A0A8B6ZV96|A0A8B6ZV96_ORYAF, tr|A0A8B6ZUX9|A0A8B6ZUX9_ORYAF, tr|A0A8B6ZPW9|A0A8B6ZPW9_ORYAF, tr|A0A8B6ZQC9|A0A8B6ZQC9_ORYAF, tr|A0A8B6ZQD4|A0A8B6ZQD4_ORYAF, tr|A0A8B6ZQA4|A0A8B6ZQA4_ORYAF, tr|A0A8B7B7D4|A0A8B7B7D4_ORYAF, tr|A0A8B7ARS6|A0A8B7ARS6_ORYAF, tr|A0A8B7B1L2|A0A8B7B1L2_ORYAF, tr|A0A8B7B1B8|A0A8B7B1B8_ORYAF, tr|A0A8B7AXX6|A0A8B7AXX6_ORYAF, tr|A0A8B6ZGL3|A0A8B6ZGL3_ORYAF, tr|A0A8B6ZIJ6|A0A8B6ZIJ6_ORYAF, tr|A0A8B6ZGZ6|A0A8B6ZGZ6_ORYAF, tr|A0A8B6ZGW9|A0A8B6ZGW9_ORYAF, tr|A0A8B6ZIK0|A0A8B6ZIK0_ORYAF, tr|A0A8B6ZLL9|A0A8B6ZLL9_ORYAF, tr|A0A8B6ZGV9|A0A8B6ZGV9_ORYAF, tr|A0A8B7BBC9|A0A8B7BBC9_ORYAF, tr|A0A8B6ZH01|A0A8B6ZH01_ORYAF, tr|A0A8B6ZGP8|A0A8B6ZGP8_ORYAF
OG0000012	sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0B4J264|TV381_HUMAN, sp|P0DTU3|TRAR2_HUMAN, sp|A0JD32|TV382_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0A6YYK7|TVA19_HUMAN, sp|P01848|TRAC_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN	tr|A0A8B7ANV0|A0A8B7ANV0_ORYAF
OG0000013	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8B7B4K0|A0A8B7B4K0_ORYAF, tr|A0A8B7B7X1|A0A8B7B7X1_ORYAF, tr|A0A8B7B4M4|A0A8B7B4M4_ORYAF, tr|A0A8B7B3V1|A0A8B7B3V1_ORYAF, tr|A0A8B7B5F0|A0A8B7B5F0_ORYAF, tr|A0A8B7B3X1|A0A8B7B3X1_ORYAF, tr|A0A8B7B3W6|A0A8B7B3W6_ORYAF, tr|A0A8B7B4L8|A0A8B7B4L8_ORYAF, tr|A0A8B7B7Z0|A0A8B7B7Z0_ORYAF, tr|A0A8B7B3X2|A0A8B7B3X2_ORYAF, tr|A0A8B7B3U7|A0A8B7B3U7_ORYAF
OG0000013	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8B7B480|A0A8B7B480_ORYAF, tr|A0A8B7B890|A0A8B7B890_ORYAF, tr|A0A8B7B5R6|A0A8B7B5R6_ORYAF, tr|A0A8B7B4Y1|A0A8B7B4Y1_ORYAF, tr|A0A8B7B5V3|A0A8B7B5V3_ORYAF, tr|A0A8B7B4B8|A0A8B7B4B8_ORYAF, tr|A0A8B7B5S2|A0A8B7B5S2_ORYAF, tr|A0A8B7B895|A0A8B7B895_ORYAF, tr|A0A8B7B483|A0A8B7B483_ORYAF, tr|A0A8B7B4A9|A0A8B7B4A9_ORYAF, tr|A0A8B7B512|A0A8B7B512_ORYAF, tr|A0A8B7B8C2|A0A8B7B8C2_ORYAF, tr|A0A8B7B7Q0|A0A8B7B7Q0_ORYAF, tr|A0A8B7B4Y4|A0A8B7B4Y4_ORYAF, tr|A0A8B7B8R9|A0A8B7B8R9_ORYAF, tr|A0A8B7B730|A0A8B7B730_ORYAF, tr|A0A8B7B7S4|A0A8B7B7S4_ORYAF, tr|A0A8B7B756|A0A8B7B756_ORYAF, tr|A0A8B7BB02|A0A8B7BB02_ORYAF, tr|A0A8B7B712|A0A8B7B712_ORYAF, tr|A0A8B7B736|A0A8B7B736_ORYAF
OG0000014	sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN	tr|A0A8B7AWY0|A0A8B7AWY0_ORYAF, tr|A0A8B7AWY2|A0A8B7AWY2_ORYAF, tr|A0A8B7B1E2|A0A8B7B1E2_ORYAF, tr|A0A8B7AY26|A0A8B7AY26_ORYAF, tr|A0A8B7AX04|A0A8B7AX04_ORYAF, tr|A0A8B7BAD2|A0A8B7BAD2_ORYAF, tr|A0A8B7AJ82|A0A8B7AJ82_ORYAF, tr|A0A8B7B7X3|A0A8B7B7X3_ORYAF, tr|A0A8B7BBN0|A0A8B7BBN0_ORYAF, tr|A0A8B7B9I2|A0A8B7B9I2_ORYAF, tr|A0A8B7B8E1|A0A8B7B8E1_ORYAF, tr|A0A8B7B7R1|A0A8B7B7R1_ORYAF, tr|A0A8B7B8E6|A0A8B7B8E6_ORYAF, tr|A0A8B7B7S3|A0A8B7B7S3_ORYAF, tr|A0A8B7B782|A0A8B7B782_ORYAF, tr|A0A8B7BB65|A0A8B7BB65_ORYAF, tr|A0A8B7B8Z3|A0A8B7B8Z3_ORYAF, tr|A0A8B7B799|A0A8B7B799_ORYAF, tr|A0A8B7B5X0|A0A8B7B5X0_ORYAF, tr|A0A8B7B533|A0A8B7B533_ORYAF, tr|A0A8B7B4D3|A0A8B7B4D3_ORYAF, tr|A0A8B7B5X5|A0A8B7B5X5_ORYAF, tr|A0A8B7B4C7|A0A8B7B4C7_ORYAF, tr|A0A8B7B8E3|A0A8B7B8E3_ORYAF, tr|A0A8B7B351|A0A8B7B351_ORYAF, tr|A0A8B7B6H8|A0A8B7B6H8_ORYAF, tr|A0A8B7B4E0|A0A8B7B4E0_ORYAF, tr|A0A8B7B2D5|A0A8B7B2D5_ORYAF, tr|A0A8B7B4D6|A0A8B7B4D6_ORYAF, tr|A0A8B7B4D9|A0A8B7B4D9_ORYAF, tr|A0A8B7B8E8|A0A8B7B8E8_ORYAF, tr|A0A8B7B5X9|A0A8B7B5X9_ORYAF
OG0000015	sp|Q6PG37|ZN790_HUMAN	tr|A0A8B7BB92|A0A8B7BB92_ORYAF
OG0000015	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A8B7BAN6|A0A8B7BAN6_ORYAF
OG0000015	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8B7B4G2|A0A8B7B4G2_ORYAF
OG0000015	sp|Q8N141|ZFP82_HUMAN	tr|A0A8B7BAS3|A0A8B7BAS3_ORYAF
OG0000015	sp|Q3KNS6|ZN829_HUMAN	tr|A0A8B7B8V0|A0A8B7B8V0_ORYAF
OG0000015	sp|Q8NA42|ZN383_HUMAN	tr|A0A8B7BE41|A0A8B7BE41_ORYAF
OG0000015	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A8B7AZP7|A0A8B7AZP7_ORYAF
OG0000017	sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN	tr|A0A8B7BE44|A0A8B7BE44_ORYAF
OG0000018	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN	tr|A0A8B7A3M6|A0A8B7A3M6_ORYAF
OG0000020	sp|P23527|H2B1O_HUMAN	tr|A0A8B7AME6|A0A8B7AME6_ORYAF
OG0000020	sp|P62807|H2B1C_HUMAN	tr|A0A8B7AJL0|A0A8B7AJL0_ORYAF
OG0000020	sp|O60814|H2B1K_HUMAN	tr|A0A8B7B4I1|A0A8B7B4I1_ORYAF
OG0000020	sp|P06899|H2B1J_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|Q6DRA6|H2B2D_HUMAN	tr|A0A8B7B4G7|A0A8B7B4G7_ORYAF
OG0000020	sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN	tr|A0A8B7AJ44|A0A8B7AJ44_ORYAF
OG0000020	sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN	tr|A0A8B7AJ62|A0A8B7AJ62_ORYAF
OG0000020	sp|Q16778|H2B2E_HUMAN	tr|A0A8B7AMD9|A0A8B7AMD9_ORYAF
OG0000020	sp|Q99880|H2B1L_HUMAN	tr|A0A8B7B4G9|A0A8B7B4G9_ORYAF, tr|A0A8B7B2S8|A0A8B7B2S8_ORYAF
OG0000020	sp|Q7Z2G1|H2BWT_HUMAN, sp|P0C1H6|H2BFM_HUMAN, sp|P0DW85|H2BN1_HUMAN	tr|A0A8B7A0T6|A0A8B7A0T6_ORYAF
OG0000020	sp|A0A2R8Y619|H2BK1_HUMAN	tr|A0A8B7B4I5|A0A8B7B4I5_ORYAF
OG0000021	sp|Q8NH09|OR8S1_HUMAN	tr|A0A8B6ZQA6|A0A8B6ZQA6_ORYAF, tr|A0A8B6ZKF0|A0A8B6ZKF0_ORYAF, tr|A0A8B6ZM24|A0A8B6ZM24_ORYAF, tr|A0A8B6ZKD0|A0A8B6ZKD0_ORYAF, tr|A0A8B6ZKE5|A0A8B6ZKE5_ORYAF, tr|A0A8B6ZKD1|A0A8B6ZKD1_ORYAF, tr|A0A8B6ZKC6|A0A8B6ZKC6_ORYAF, tr|A0A8B6ZM41|A0A8B6ZM41_ORYAF, tr|A0A8B6ZQC5|A0A8B6ZQC5_ORYAF, tr|A0A8B6ZKH6|A0A8B6ZKH6_ORYAF, tr|A0A8B6ZKF2|A0A8B6ZKF2_ORYAF, tr|A0A8B6ZKH1|A0A8B6ZKH1_ORYAF, tr|A0A8B6ZKF3|A0A8B6ZKF3_ORYAF, tr|A0A8B6ZKE7|A0A8B6ZKE7_ORYAF, tr|A0A8B6ZKD7|A0A8B6ZKD7_ORYAF, tr|A0A8B6ZM29|A0A8B6ZM29_ORYAF, tr|A0A8B6ZK57|A0A8B6ZK57_ORYAF, tr|A0A8B6ZK73|A0A8B6ZK73_ORYAF, tr|A0A8B6ZK54|A0A8B6ZK54_ORYAF, tr|A0A8B6ZM34|A0A8B6ZM34_ORYAF, tr|A0A8B6ZKG6|A0A8B6ZKG6_ORYAF, tr|A0A8B6ZKE2|A0A8B6ZKE2_ORYAF, tr|A0A8B6ZKE0|A0A8B6ZKE0_ORYAF, tr|A0A8B6ZQB6|A0A8B6ZQB6_ORYAF, tr|A0A8B6ZKG2|A0A8B6ZKG2_ORYAF, tr|A0A8B6ZKD5|A0A8B6ZKD5_ORYAF, tr|A0A8B6ZQB1|A0A8B6ZQB1_ORYAF, tr|A0A8B6ZKF5|A0A8B6ZKF5_ORYAF
