Orthogroup	Homo_sapiens	Cervus_elaphus_hippelaphus
OG0000000	sp|P17097|ZNF7_HUMAN	tr|A0A212CEE0|A0A212CEE0_CEREH
OG0000001	tr|A0A2R8YED5|A0A2R8YED5_HUMAN, sp|Q8NH09|OR8S1_HUMAN	tr|A0A212DEP1|A0A212DEP1_CEREH
OG0000001	sp|Q9UGF5|O14J1_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q8NHC6|O14L1_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|P47883|OR3A4_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47893|OR3A2_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8WZ92|OR5P2_HUMAN, sp|Q8WZ94|OR5P3_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q6IFH4|OR6B2_HUMAN, sp|Q8NGW1|OR6B3_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGE7|OR9K2_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q96RB7|OR5MB_HUMAN	tr|A0A212DHP6|A0A212DHP6_CEREH
OG0000002	sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGQ4|O10Q1_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|O60404|O10H3_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q5JRS4|O10J3_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|P30954|O10J1_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NGI7|O10V1_HUMAN, sp|Q8NGF6|O10W1_HUMAN, sp|Q8NH08|O10AC_HUMAN, sp|Q96KK4|O10C1_HUMAN, sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN, sp|Q9H209|O10A4_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|Q8NGE3|O10P1_HUMAN, sp|Q9UGF6|OR5V1_HUMAN, sp|Q8NGE0|O10AD_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q8NG92|O13H1_HUMAN, sp|Q13607|OR2F1_HUMAN, sp|O95006|OR2F2_HUMAN, sp|Q8NGV5|O13D1_HUMAN, sp|Q8NGS7|O13C8_HUMAN, sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGS6|O13C3_HUMAN, sp|Q9NQN1|OR2S1_HUMAN, sp|P0DN81|O13C7_HUMAN, sp|Q8NH95|O13C6_HUMAN, sp|Q8NGS9|O13C2_HUMAN, sp|Q8NGS8|O13C5_HUMAN, sp|Q8NGT0|O13C9_HUMAN, sp|Q8NGT2|O13J1_HUMAN, sp|Q8NGT1|OR2K2_HUMAN, sp|Q8NGS4|O13F1_HUMAN	tr|A0A212D4D8|A0A212D4D8_CEREH
OG0000005	sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q8NGC2|OR4E2_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NH81|O10G6_HUMAN, sp|Q8NGC4|O10G3_HUMAN, sp|Q8NGC3|O10G2_HUMAN, sp|Q8NGN2|O10S1_HUMAN, sp|Q8NH80|O10D3_HUMAN, sp|Q8NGN7|O10D4_HUMAN, sp|Q8NGN3|O10G4_HUMAN, sp|Q8NGN4|O10G9_HUMAN, sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGN5|O10G8_HUMAN	tr|A0A212CU91|A0A212CU91_CEREH
OG0000007	sp|Q9Y2L8|ZKSC5_HUMAN	tr|A0A212CY96|A0A212CY96_CEREH
OG0000007	sp|P17029|ZKSC1_HUMAN	tr|A0A212CZ47|A0A212CZ47_CEREH
OG0000007	sp|P57086|SCND1_HUMAN	tr|A0A212D3K0|A0A212D3K0_CEREH
OG0000007	sp|Q8TF39|ZN483_HUMAN	tr|A0A212CMN6|A0A212CMN6_CEREH
OG0000007	sp|Q9Y2P0|ZN835_HUMAN	tr|A0A212CRX0|A0A212CRX0_CEREH
OG0000007	sp|Q15697|ZN174_HUMAN	tr|A0A212CZ63|A0A212CZ63_CEREH
OG0000007	sp|P28698|MZF1_HUMAN	tr|A0A212DDZ4|A0A212DDZ4_CEREH
OG0000007	sp|Q53GI3|ZN394_HUMAN	tr|A0A212DBJ4|A0A212DBJ4_CEREH, tr|A0A212CYG8|A0A212CYG8_CEREH
OG0000007	sp|O15535|ZSC9_HUMAN	tr|A0A212D4U5|A0A212D4U5_CEREH
OG0000007	sp|Q3MJ62|ZSC23_HUMAN	tr|A0A212D4H8|A0A212D4H8_CEREH
OG0000007	sp|O43309|ZSC12_HUMAN	tr|A0A212D551|A0A212D551_CEREH
OG0000007	sp|Q96LW9|ZSC31_HUMAN	tr|A0A212D4F7|A0A212D4F7_CEREH
OG0000007	sp|Q96N95|ZN396_HUMAN, sp|P17028|ZNF24_HUMAN	tr|A0A212C765|A0A212C765_CEREH
OG0000007	sp|Q86W11|ZSC30_HUMAN	tr|A0A212C6P8|A0A212C6P8_CEREH, tr|A0A212C732|A0A212C732_CEREH
OG0000007	sp|O14709|ZN197_HUMAN	tr|A0A212C9R6|A0A212C9R6_CEREH
OG0000007	sp|Q6ZMS4|ZN852_HUMAN, sp|Q9P0L1|ZKSC7_HUMAN	tr|A0A212CA28|A0A212CA28_CEREH
OG0000009	sp|P0DTE2|HV511_HUMAN, sp|A0JD37|TRDV3_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN	tr|A0A212CS35|A0A212CS35_CEREH
OG0000010	tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|P01602|KV105_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN	tr|A0A212CWC2|A0A212CWC2_CEREH
OG0000012	sp|P20142|PEPC_HUMAN	tr|A0A212D5I0|A0A212D5I0_CEREH, tr|A0A212CHI6|A0A212CHI6_CEREH, tr|A0A212DGI1|A0A212DGI1_CEREH, tr|A0A212DGE8|A0A212DGE8_CEREH, tr|A0A212DFV0|A0A212DFV0_CEREH, tr|A0A212DGD0|A0A212DGD0_CEREH, tr|A0A212DFZ9|A0A212DFZ9_CEREH, tr|A0A212DHB5|A0A212DHB5_CEREH, tr|A0A212DFU3|A0A212DFU3_CEREH, tr|A0A212DGN8|A0A212DGN8_CEREH, tr|A0A212DG02|A0A212DG02_CEREH, tr|A0A212DG46|A0A212DG46_CEREH, tr|A0A212DHB7|A0A212DHB7_CEREH, tr|A0A212DGP6|A0A212DGP6_CEREH, tr|A0A212DGS0|A0A212DGS0_CEREH, tr|A0A212DH13|A0A212DH13_CEREH, tr|A0A212DFW7|A0A212DFW7_CEREH, tr|A0A212DGA2|A0A212DGA2_CEREH, tr|A0A212DG60|A0A212DG60_CEREH, tr|A0A212DH52|A0A212DH52_CEREH, tr|A0A212DGJ2|A0A212DGJ2_CEREH, tr|A0A212DH42|A0A212DH42_CEREH, tr|A0A212DGS3|A0A212DGS3_CEREH, tr|A0A212DGN3|A0A212DGN3_CEREH, tr|A0A212DGH4|A0A212DGH4_CEREH, tr|A0A212DGX9|A0A212DGX9_CEREH, tr|A0A212DHD7|A0A212DHD7_CEREH, tr|A0A212DG28|A0A212DG28_CEREH, tr|A0A212DHA5|A0A212DHA5_CEREH, tr|A0A212DGD2|A0A212DGD2_CEREH, tr|A0A212CIY9|A0A212CIY9_CEREH, tr|A0A212CI86|A0A212CI86_CEREH
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A212CXL7|A0A212CXL7_CEREH
OG0000014	sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|P01715|LV301_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN	tr|A0A212D9M6|A0A212D9M6_CEREH
OG0000015	sp|A0A5B0|TVB14_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A578|TVB51_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN	tr|A0A212CL27|A0A212CL27_CEREH
