Orthogroup	Homo_sapiens	Bos_taurus
OG0000008	sp|P63267|ACTH_HUMAN	sp|Q5E9B5|ACTH_BOVIN
OG0000008	sp|Q562R1|ACTBL_HUMAN	tr|A0A3Q1NKP5|A0A3Q1NKP5_BOVIN
OG0000008	sp|Q5JWF8|ACL10_HUMAN	tr|E1B7X2|E1B7X2_BOVIN
OG0000008	sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN	tr|A0A3Q1M172|A0A3Q1M172_BOVIN
OG0000009	sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q08379|GOGA2_HUMAN	tr|A0A3Q1LTM9|A0A3Q1LTM9_BOVIN
OG0000010	sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q15973|ZN124_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q3KP31|ZN791_HUMAN	tr|F1MEJ1|F1MEJ1_BOVIN
OG0000011	sp|Q9UN81|LORF1_HUMAN, sp|Q5T7N2|LITD1_HUMAN	tr|A0A3Q1N5B9|A0A3Q1N5B9_BOVIN, tr|A0A3Q1NFE8|A0A3Q1NFE8_BOVIN, tr|A0A3Q1ME35|A0A3Q1ME35_BOVIN, tr|A0A3Q1MMG7|A0A3Q1MMG7_BOVIN, tr|A0A3Q1MA71|A0A3Q1MA71_BOVIN, tr|A0A3Q1LU73|A0A3Q1LU73_BOVIN, tr|A0A3Q1M0N3|A0A3Q1M0N3_BOVIN, tr|A0A3Q1MF76|A0A3Q1MF76_BOVIN, tr|A0A3Q1NBJ3|A0A3Q1NBJ3_BOVIN, tr|A0A3Q1M0E3|A0A3Q1M0E3_BOVIN, tr|A0A3Q1M1M0|A0A3Q1M1M0_BOVIN, tr|A0A3Q1MZV6|A0A3Q1MZV6_BOVIN, tr|A0A3Q1MHT4|A0A3Q1MHT4_BOVIN, tr|A0A3Q1LGL8|A0A3Q1LGL8_BOVIN, tr|A0A3Q1LHV7|A0A3Q1LHV7_BOVIN, tr|A0A3Q1MSE1|A0A3Q1MSE1_BOVIN, tr|A0A3Q1M7Y7|A0A3Q1M7Y7_BOVIN, tr|A0A3Q1ME29|A0A3Q1ME29_BOVIN, tr|A0A3Q1MCZ9|A0A3Q1MCZ9_BOVIN, tr|A0A3Q1LIS2|A0A3Q1LIS2_BOVIN, tr|A0A3Q1M2T1|A0A3Q1M2T1_BOVIN, tr|A0A3Q1LSZ8|A0A3Q1LSZ8_BOVIN, tr|A0A3Q1MMS9|A0A3Q1MMS9_BOVIN, tr|A0A3Q1LWU6|A0A3Q1LWU6_BOVIN, tr|A0A3Q1LIS9|A0A3Q1LIS9_BOVIN, tr|A0A3Q1LX82|A0A3Q1LX82_BOVIN
OG0000012	sp|Q9Y5G8|PCDG5_HUMAN	tr|G3MXC4|G3MXC4_BOVIN
OG0000012	sp|Q9Y5H2|PCDGB_HUMAN	tr|A0A3Q1ML27|A0A3Q1ML27_BOVIN
OG0000012	sp|Q9Y5H0|PCDG3_HUMAN	tr|F1N3M3|F1N3M3_BOVIN
OG0000012	sp|Q9UN70|PCDGK_HUMAN	tr|A5D7F4|A5D7F4_BOVIN
OG0000012	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN	tr|A0A3Q1M3I1|A0A3Q1M3I1_BOVIN
OG0000013	sp|P78395|PRAME_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|O95521|PRAM1_HUMAN, sp|O60811|PRAM2_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|O60813|PRA11_HUMAN, sp|O60810|PRAM4_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN	tr|F1MZ28|F1MZ28_BOVIN
OG0000016	sp|P52740|ZN132_HUMAN	tr|F1MY83|F1MY83_BOVIN
OG0000016	sp|Q68DI1|ZN776_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A3Q1MB53|A0A3Q1MB53_BOVIN
OG0000017	sp|O15263|DFB4A_HUMAN	sp|P25068|TAP_BOVIN, sp|Q28880|LAP_BOVIN, tr|G3MXI5|G3MXI5_BOVIN, tr|F1MGE0|F1MGE0_BOVIN, tr|Q5W5I5|Q5W5I5_BOVIN, sp|P46163|DEFB5_BOVIN, sp|P46162|DEFB4_BOVIN, sp|P46164|DEFB6_BOVIN, sp|P46160|DEFB2_BOVIN, sp|P46166|DEFB8_BOVIN, sp|P46161|DEFB3_BOVIN, sp|P46167|DEFB9_BOVIN, sp|P46165|DEFB7_BOVIN, sp|P46168|DFB10_BOVIN, tr|G3MWY5|G3MWY5_BOVIN, sp|O02775|EAP_BOVIN, tr|A0A452DIQ0|A0A452DIQ0_BOVIN, sp|O18815|DFBC7_BOVIN, sp|P46170|DFB12_BOVIN, sp|P46171|DFB13_BOVIN, sp|P46169|DFB11_BOVIN, sp|P46159|DEFB1_BOVIN, tr|A0A3Q1LKP4|A0A3Q1LKP4_BOVIN
OG0000018	sp|O95678|K2C75_HUMAN	sp|Q08D91|K2C75_BOVIN
OG0000018	sp|P19013|K2C4_HUMAN	tr|A4IFP2|A4IFP2_BOVIN
OG0000018	sp|P35908|K22E_HUMAN	tr|G3MZ71|G3MZ71_BOVIN
OG0000018	sp|P04264|K2C1_HUMAN	tr|G3N0V2|G3N0V2_BOVIN
OG0000018	sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN	tr|A0A3Q1LGW7|A0A3Q1LGW7_BOVIN, tr|A0A3Q1MYR8|A0A3Q1MYR8_BOVIN
OG0000018	sp|Q86Y46|K2C73_HUMAN	sp|A7YWK3|K2C73_BOVIN
OG0000018	sp|Q3SY84|K2C71_HUMAN	sp|Q148H5|K2C71_BOVIN
OG0000018	sp|Q7RTS7|K2C74_HUMAN	sp|A3KN27|K2C74_BOVIN
OG0000018	sp|Q14CN4|K2C72_HUMAN	sp|Q148H8|K2C72_BOVIN
OG0000019	sp|Q5QNW6|H2B2F_HUMAN	tr|A0A452DJK3|A0A452DJK3_BOVIN
OG0000019	sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN	tr|Q2KII5|Q2KII5_BOVIN
OG0000019	sp|P33778|H2B1B_HUMAN, sp|Q99877|H2B1N_HUMAN	tr|F2Z4E8|F2Z4E8_BOVIN
OG0000019	sp|P62807|H2B1C_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q96A08|H2B1A_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|Q7Z2G1|H2BWT_HUMAN, sp|P0C1H6|H2BFM_HUMAN	sp|P62808|H2B1_BOVIN
OG0000019	sp|P06899|H2B1J_HUMAN, sp|Q6DRA6|H2B2D_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|F2Z4F9|F2Z4F9_BOVIN
OG0000020	sp|Q8NGP9|O5AR1_HUMAN	tr|F1MGZ3|F1MGZ3_BOVIN, tr|G3N0G8|G3N0G8_BOVIN, tr|F1ME33|F1ME33_BOVIN, tr|A0A3Q1MHR0|A0A3Q1MHR0_BOVIN, tr|A0A3Q1M929|A0A3Q1M929_BOVIN, tr|A0A3Q1MB38|A0A3Q1MB38_BOVIN, tr|A0A3Q1MID8|A0A3Q1MID8_BOVIN, tr|A0A3Q1LHS4|A0A3Q1LHS4_BOVIN, tr|A0A3Q1NII4|A0A3Q1NII4_BOVIN, tr|A0A3Q1M0C6|A0A3Q1M0C6_BOVIN, tr|A0A3Q1M107|A0A3Q1M107_BOVIN, tr|A0A3Q1MR07|A0A3Q1MR07_BOVIN, tr|A0A3Q1MY26|A0A3Q1MY26_BOVIN, tr|G3X868|G3X868_BOVIN, tr|A0A3Q1NLU0|A0A3Q1NLU0_BOVIN, tr|A0A3Q1LWE8|A0A3Q1LWE8_BOVIN, tr|A0A3Q1MI70|A0A3Q1MI70_BOVIN, tr|G3MWS2|G3MWS2_BOVIN, tr|A0A3Q1M2X3|A0A3Q1M2X3_BOVIN, tr|A0A3Q1MQB7|A0A3Q1MQB7_BOVIN, tr|A0A3Q1M9W9|A0A3Q1M9W9_BOVIN, tr|A0A3Q1LPI0|A0A3Q1LPI0_BOVIN
OG0000022	sp|Q02386|ZNF45_HUMAN	tr|Q17R08|Q17R08_BOVIN
OG0000022	sp|Q86WZ6|ZN227_HUMAN	sp|A0JNB1|ZN227_BOVIN
OG0000022	sp|Q9NYT6|ZN226_HUMAN	tr|F6QSN7|F6QSN7_BOVIN
OG0000022	sp|Q9UJU3|ZN112_HUMAN	tr|F1MDI6|F1MDI6_BOVIN
OG0000022	sp|A6NK53|ZN233_HUMAN, sp|Q14590|ZN235_HUMAN	tr|F1MLE7|F1MLE7_BOVIN
OG0000024	sp|A6NNH2|F90AR_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A6NIJ5|F90AK_HUMAN	tr|F1MHF8|F1MHF8_BOVIN
OG0000025	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN	tr|F1N3Y2|F1N3Y2_BOVIN
OG0000026	sp|O75459|PAGE1_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|Q96GT9|XAGE2_HUMAN	tr|A0A3Q1MN52|A0A3Q1MN52_BOVIN
OG0000027	sp|Q8NGB8|O4F15_HUMAN	tr|A0A3Q1LR56|A0A3Q1LR56_BOVIN
OG0000027	sp|Q8NGD3|OR4K5_HUMAN	tr|E1BKA2|E1BKA2_BOVIN
OG0000027	sp|Q8NH41|OR4KF_HUMAN	tr|G5E586|G5E586_BOVIN
OG0000027	sp|Q96R72|OR4K3_HUMAN	tr|E1BB60|E1BB60_BOVIN
OG0000027	sp|Q8NGD2|OR4K2_HUMAN	tr|E1BMZ1|E1BMZ1_BOVIN, tr|A0A3Q1MDK2|A0A3Q1MDK2_BOVIN
OG0000028	sp|Q00889|PSG6_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q13046|PSG7_HUMAN, sp|Q00888|PSG4_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q15238|PSG5_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P0DP72|VSXL2_HUMAN, sp|Q6UY09|CEA20_HUMAN, sp|P13688|CEAM1_HUMAN, sp|P40199|CEAM6_HUMAN, sp|P31997|CEAM8_HUMAN, sp|P06731|CEAM5_HUMAN, sp|Q14002|CEAM7_HUMAN, sp|P40198|CEAM3_HUMAN, sp|O75871|CEAM4_HUMAN, sp|Q3KPI0|CEA21_HUMAN	tr|A0A3Q1N5Z4|A0A3Q1N5Z4_BOVIN
OG0000029	sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN	tr|A0A3Q1MRQ9|A0A3Q1MRQ9_BOVIN, tr|A0A3Q1MYX4|A0A3Q1MYX4_BOVIN
OG0000029	sp|A0A087X0M5|TVB18_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A5B0|TVB14_HUMAN	tr|A0A3Q1M5S8|A0A3Q1M5S8_BOVIN
OG0000031	sp|Q9H346|O52D1_HUMAN	tr|E1BF36|E1BF36_BOVIN, tr|F1MK12|F1MK12_BOVIN
