Orthogroup	Homo_sapiens	Loxodonta_africana
OG0000005	sp|Q8NGC7|O11H6_HUMAN	tr|G3U3I1|G3U3I1_LOXAF, tr|G3UFV3|G3UFV3_LOXAF, tr|G3UA15|G3UA15_LOXAF, tr|G3UFT0|G3UFT0_LOXAF
OG0000005	sp|Q8NGC1|O11G2_HUMAN	tr|G3U813|G3U813_LOXAF, tr|G3U3V3|G3U3V3_LOXAF, tr|G3TUB5|G3TUB5_LOXAF, tr|G3TWT4|G3TWT4_LOXAF, tr|G3U3C6|G3U3C6_LOXAF, tr|G3UA91|G3UA91_LOXAF, tr|G3U0G9|G3U0G9_LOXAF, tr|G3TWE3|G3TWE3_LOXAF, tr|G5E7E2|G5E7E2_LOXAF, tr|G3UIQ1|G3UIQ1_LOXAF, tr|G3U6U0|G3U6U0_LOXAF, tr|G3U6P3|G3U6P3_LOXAF, tr|G3U231|G3U231_LOXAF, tr|G3TV08|G3TV08_LOXAF, tr|G3UE37|G3UE37_LOXAF, tr|G3U9W7|G3U9W7_LOXAF, tr|G3U725|G3U725_LOXAF, tr|G3UFN3|G3UFN3_LOXAF, tr|G3TZ14|G3TZ14_LOXAF, tr|G3TUY6|G3TUY6_LOXAF, tr|G3UKE1|G3UKE1_LOXAF, tr|G3U254|G3U254_LOXAF, tr|G3TSY6|G3TSY6_LOXAF, tr|G3UKB4|G3UKB4_LOXAF, tr|G3UKL6|G3UKL6_LOXAF
OG0000008	sp|Q8NGD5|OR4KE_HUMAN	tr|G3SSH1|G3SSH1_LOXAF
OG0000008	sp|Q96R72|OR4K3_HUMAN	tr|G3UGC7|G3UGC7_LOXAF, tr|G3U4E2|G3U4E2_LOXAF, tr|G3UB91|G3UB91_LOXAF, tr|G3U9F8|G3U9F8_LOXAF
OG0000008	sp|Q8NGD2|OR4K2_HUMAN	tr|G3UK15|G3UK15_LOXAF, tr|G3U0V8|G3U0V8_LOXAF, tr|G3UJX6|G3UJX6_LOXAF
OG0000008	sp|Q8NGD3|OR4K5_HUMAN	tr|G5E7A6|G5E7A6_LOXAF, tr|G3TB73|G3TB73_LOXAF
OG0000008	sp|Q8NH41|OR4KF_HUMAN	tr|G3TRH5|G3TRH5_LOXAF, tr|G3UFN7|G3UFN7_LOXAF
OG0000008	sp|Q8NGD4|OR4K1_HUMAN	tr|G3U4J5|G3U4J5_LOXAF, tr|G3U7E1|G3U7E1_LOXAF, tr|G3U0Y0|G3U0Y0_LOXAF, tr|G3TT05|G3TT05_LOXAF
OG0000010	sp|P0DTE2|HV511_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN, sp|P01782|HV309_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN	tr|G3U8U8|G3U8U8_LOXAF
OG0000011	sp|Q96RC9|OR8B4_HUMAN	tr|G3TAU2|G3TAU2_LOXAF
OG0000011	sp|Q8NGG6|OR8BC_HUMAN	tr|G3TQX2|G3TQX2_LOXAF, tr|G3U9N8|G3U9N8_LOXAF, tr|G3TWT7|G3TWT7_LOXAF, tr|G3TSS4|G3TSS4_LOXAF, tr|G3SP60|G3SP60_LOXAF, tr|G3TYB8|G3TYB8_LOXAF, tr|G3TPK3|G3TPK3_LOXAF, tr|G3TRF0|G3TRF0_LOXAF, tr|G3TGA9|G3TGA9_LOXAF, tr|G3UFJ7|G3UFJ7_LOXAF, tr|G3TQ60|G3TQ60_LOXAF
OG0000011	sp|Q15620|OR8B8_HUMAN	tr|G3TNP6|G3TNP6_LOXAF
OG0000015	sp|A6NCV1|O6C74_HUMAN	tr|G3SZP1|G3SZP1_LOXAF, tr|G3U3S9|G3U3S9_LOXAF, tr|G3TW92|G3TW92_LOXAF, tr|G3TTA7|G3TTA7_LOXAF, tr|G3UCK7|G3UCK7_LOXAF, tr|G3TZS6|G3TZS6_LOXAF, tr|G3U2R5|G3U2R5_LOXAF, tr|G3U340|G3U340_LOXAF, tr|G3UIS9|G3UIS9_LOXAF, tr|G3U0X5|G3U0X5_LOXAF, tr|G3UNK2|G3UNK2_LOXAF, tr|G3TZN9|G3TZN9_LOXAF, tr|G3U594|G3U594_LOXAF, tr|G3UHU5|G3UHU5_LOXAF, tr|G3UJG1|G3UJG1_LOXAF, tr|G3U7X7|G3U7X7_LOXAF, tr|G3U664|G3U664_LOXAF, tr|G3U9C0|G3U9C0_LOXAF, tr|G3TZ53|G3TZ53_LOXAF, tr|G3ULG5|G3ULG5_LOXAF, tr|G3UD50|G3UD50_LOXAF, tr|G3T6X7|G3T6X7_LOXAF, tr|G3UM60|G3UM60_LOXAF, tr|G3TRS3|G3TRS3_LOXAF, tr|G3TNC4|G3TNC4_LOXAF, tr|G3TXV4|G3TXV4_LOXAF, tr|G3TXQ3|G3TXQ3_LOXAF, tr|G3TU87|G3TU87_LOXAF, tr|G3T7C3|G3T7C3_LOXAF, tr|G3UGK3|G3UGK3_LOXAF, tr|G3U5A8|G3U5A8_LOXAF, tr|G3TQ31|G3TQ31_LOXAF, tr|G3UKC9|G3UKC9_LOXAF, tr|G3TY06|G3TY06_LOXAF
OG0000016	sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN	tr|G3U3S5|G3U3S5_LOXAF
OG0000018	sp|Q96R67|OR4CC_HUMAN	tr|G3UKB9|G3UKB9_LOXAF
OG0000018	sp|Q8NGB2|OR4C5_HUMAN	tr|G3SUI4|G3SUI4_LOXAF
OG0000018	sp|A6NMZ5|O4C45_HUMAN	tr|G3UGB9|G3UGB9_LOXAF, tr|G3U848|G3U848_LOXAF, tr|G3UD59|G3UD59_LOXAF, tr|G3U6T2|G3U6T2_LOXAF, tr|G3TZG7|G3TZG7_LOXAF, tr|G3UJE7|G3UJE7_LOXAF, tr|G3UMH4|G3UMH4_LOXAF, tr|G3TYS1|G3TYS1_LOXAF, tr|G3UAC7|G3UAC7_LOXAF, tr|G3TCW6|G3TCW6_LOXAF
OG0000021	sp|Q08379|GOGA2_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN	tr|G3TBL0|G3TBL0_LOXAF
OG0000024	sp|P52741|ZN134_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN	tr|G3TPC6|G3TPC6_LOXAF
OG0000025	sp|Q8NGL9|OR4CG_HUMAN	tr|G3UHQ7|G3UHQ7_LOXAF
OG0000025	sp|Q6IEV9|OR4CB_HUMAN	tr|G3UFW9|G3UFW9_LOXAF, tr|G3U5G6|G3U5G6_LOXAF, tr|G3T1S4|G3T1S4_LOXAF, tr|G3UCV5|G3UCV5_LOXAF, tr|G3ULM9|G3ULM9_LOXAF, tr|G3U2Z7|G3U2Z7_LOXAF, tr|G3U0M0|G3U0M0_LOXAF, tr|G3UJ61|G3UJ61_LOXAF, tr|G3TZC4|G3TZC4_LOXAF, tr|G3U9U6|G3U9U6_LOXAF, tr|G3U7F6|G3U7F6_LOXAF, tr|G3SVB0|G3SVB0_LOXAF, tr|G3U2G6|G3U2G6_LOXAF, tr|G3SWD2|G3SWD2_LOXAF, tr|G3TJJ7|G3TJJ7_LOXAF, tr|G3T2X0|G3T2X0_LOXAF, tr|G3UKA4|G3UKA4_LOXAF, tr|G3UEU1|G3UEU1_LOXAF, tr|G3U4T7|G3U4T7_LOXAF, tr|G3TT02|G3TT02_LOXAF, tr|G3SVK8|G3SVK8_LOXAF, tr|G3UBD4|G3UBD4_LOXAF, tr|G3U3S2|G3U3S2_LOXAF, tr|G3UGU4|G3UGU4_LOXAF, tr|G3UKM7|G3UKM7_LOXAF, tr|G3TR05|G3TR05_LOXAF
OG0000026	sp|Q8NGZ2|O14K1_HUMAN	tr|G3UIA8|G3UIA8_LOXAF, tr|G3U7F4|G3U7F4_LOXAF, tr|G3U4V3|G3U4V3_LOXAF, tr|G3U1C8|G3U1C8_LOXAF, tr|G3U7N8|G3U7N8_LOXAF, tr|G3UFZ0|G3UFZ0_LOXAF, tr|G3TDY2|G3TDY2_LOXAF, tr|G3ULW6|G3ULW6_LOXAF, tr|G3U904|G3U904_LOXAF, tr|G3UFZ7|G3UFZ7_LOXAF, tr|G3U8L4|G3U8L4_LOXAF, tr|G3U3K0|G3U3K0_LOXAF, tr|G3UGP7|G3UGP7_LOXAF, tr|G3UNC3|G3UNC3_LOXAF, tr|G3STE4|G3STE4_LOXAF, tr|G3UAJ2|G3UAJ2_LOXAF, tr|G3UEN3|G3UEN3_LOXAF, tr|G3UIF5|G3UIF5_LOXAF, tr|G3UK52|G3UK52_LOXAF, tr|G3UCD0|G3UCD0_LOXAF, tr|G3U470|G3U470_LOXAF, tr|G3TR01|G3TR01_LOXAF, tr|G3UN13|G3UN13_LOXAF, tr|G3UGY2|G3UGY2_LOXAF, tr|G3U9G2|G3U9G2_LOXAF, tr|G3U6J7|G3U6J7_LOXAF, tr|G3U652|G3U652_LOXAF, tr|G3UAJ4|G3UAJ4_LOXAF
OG0000028	sp|Q8NGF4|O5AP2_HUMAN	tr|G3UI50|G3UI50_LOXAF, tr|G3U9K4|G3U9K4_LOXAF, tr|G3U6E9|G3U6E9_LOXAF, tr|G3TUZ2|G3TUZ2_LOXAF, tr|G3TQV5|G3TQV5_LOXAF, tr|G3UM43|G3UM43_LOXAF, tr|G3U2U1|G3U2U1_LOXAF, tr|G3UHZ9|G3UHZ9_LOXAF, tr|G3U207|G3U207_LOXAF, tr|G3U6I8|G3U6I8_LOXAF, tr|G3UG00|G3UG00_LOXAF, tr|G3TXS4|G3TXS4_LOXAF, tr|G3TXB5|G3TXB5_LOXAF, tr|G3U974|G3U974_LOXAF, tr|G3U6X8|G3U6X8_LOXAF, tr|G3UJQ6|G3UJQ6_LOXAF, tr|G3UMJ1|G3UMJ1_LOXAF, tr|G3TWE0|G3TWE0_LOXAF, tr|G3TSN0|G3TSN0_LOXAF, tr|G3UJL7|G3UJL7_LOXAF, tr|G3TZZ4|G3TZZ4_LOXAF, tr|G3UMU0|G3UMU0_LOXAF, tr|G3UHQ5|G3UHQ5_LOXAF, tr|G3U0Q8|G3U0Q8_LOXAF, tr|G3UKI3|G3UKI3_LOXAF, tr|G3TRK2|G3TRK2_LOXAF, tr|G3TQD0|G3TQD0_LOXAF
OG0000030	sp|Q92527|ANKR7_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN	tr|G3T747|G3T747_LOXAF
OG0000031	sp|Q6IFN5|O7E24_HUMAN	tr|G3UNI1|G3UNI1_LOXAF, tr|G3UNL4|G3UNL4_LOXAF, tr|G3UCQ2|G3UCQ2_LOXAF, tr|G3U8X5|G3U8X5_LOXAF, tr|G3U9B6|G3U9B6_LOXAF, tr|G3UCI7|G3UCI7_LOXAF, tr|G3U2N0|G3U2N0_LOXAF, tr|G3UNS8|G3UNS8_LOXAF, tr|G3UCR4|G3UCR4_LOXAF, tr|G3UBL0|G3UBL0_LOXAF, tr|G3UHP1|G3UHP1_LOXAF, tr|G3UFU5|G3UFU5_LOXAF, tr|G3TUQ2|G3TUQ2_LOXAF, tr|G3U595|G3U595_LOXAF, tr|G3UH56|G3UH56_LOXAF, tr|G3U614|G3U614_LOXAF, tr|G3TMR2|G3TMR2_LOXAF, tr|G3UL69|G3UL69_LOXAF, tr|G3U6A5|G3U6A5_LOXAF, tr|G3UKL7|G3UKL7_LOXAF, tr|G3TC25|G3TC25_LOXAF, tr|G3U094|G3U094_LOXAF, tr|G3UC37|G3UC37_LOXAF, tr|G3U5M5|G3U5M5_LOXAF, tr|G3TY62|G3TY62_LOXAF
OG0000035	sp|Q8NGJ3|O52E1_HUMAN	tr|G3UB26|G3UB26_LOXAF, tr|G3TYJ0|G3TYJ0_LOXAF, tr|G3UHI1|G3UHI1_LOXAF, tr|G3UBX5|G3UBX5_LOXAF
OG0000035	sp|Q8NGJ4|O52E2_HUMAN	tr|G3TR86|G3TR86_LOXAF, tr|G3TXA4|G3TXA4_LOXAF, tr|G3UKR0|G3UKR0_LOXAF
OG0000035	sp|Q8NH55|O52E5_HUMAN	tr|G3UIS6|G3UIS6_LOXAF, tr|G3U5S6|G3U5S6_LOXAF, tr|G3U6Q6|G3U6Q6_LOXAF, tr|G3TY20|G3TY20_LOXAF
OG0000035	sp|Q8NGH9|O52E4_HUMAN	tr|G3UES2|G3UES2_LOXAF, tr|G3UJC7|G3UJC7_LOXAF, tr|G3TJM9|G3TJM9_LOXAF, tr|G3T0J6|G3T0J6_LOXAF
OG0000036	sp|Q8NGM1|OR4CF_HUMAN	tr|G3U9T3|G3U9T3_LOXAF, tr|G3UMD8|G3UMD8_LOXAF, tr|G3U2V5|G3U2V5_LOXAF, tr|G3UG18|G3UG18_LOXAF, tr|G3U6U4|G3U6U4_LOXAF, tr|G3U2E1|G3U2E1_LOXAF, tr|G3U3R9|G3U3R9_LOXAF, tr|G3TZK5|G3TZK5_LOXAF, tr|G3UNJ1|G3UNJ1_LOXAF, tr|G3UH62|G3UH62_LOXAF, tr|G3UHZ4|G3UHZ4_LOXAF, tr|G3TSE3|G3TSE3_LOXAF, tr|G3TY64|G3TY64_LOXAF, tr|G3U6T6|G3U6T6_LOXAF, tr|G3TYZ5|G3TYZ5_LOXAF, tr|G3TW10|G3TW10_LOXAF, tr|G3TX66|G3TX66_LOXAF, tr|G3ULU3|G3ULU3_LOXAF, tr|G3UGK9|G3UGK9_LOXAF, tr|G3U4P7|G3U4P7_LOXAF, tr|G3U9R7|G3U9R7_LOXAF, tr|G3U3X6|G3U3X6_LOXAF, tr|G3UMN6|G3UMN6_LOXAF, tr|G3UCN6|G3UCN6_LOXAF
OG0000037	sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|G3T087|G3T087_LOXAF
OG0000038	sp|Q9H9J4|UBP42_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN	tr|G3TB28|G3TB28_LOXAF
OG0000039	sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|G3UND0|G3UND0_LOXAF, tr|G3TRC0|G3TRC0_LOXAF
