Orthogroup	Homo_sapiens	Propithecus_coquereli
OG0000016	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A2K6GKU2|A0A2K6GKU2_PROCO
OG0000016	sp|Q16777|H2A2C_HUMAN	tr|A0A2K6EQG9|A0A2K6EQG9_PROCO
OG0000016	sp|Q8IUE6|H2A2B_HUMAN, sp|Q96QV6|H2A1A_HUMAN	tr|A0A2K6GPF6|A0A2K6GPF6_PROCO
OG0000016	sp|Q99878|H2A1J_HUMAN, sp|Q96KK5|H2A1H_HUMAN	tr|A0A2K6ER91|A0A2K6ER91_PROCO
OG0000017	sp|P19013|K2C4_HUMAN	tr|A0A2K6ENC9|A0A2K6ENC9_PROCO
OG0000017	sp|Q5XKE5|K2C79_HUMAN	tr|A0A2K6FJR4|A0A2K6FJR4_PROCO
OG0000017	sp|Q7Z794|K2C1B_HUMAN	tr|A0A2K6EZ68|A0A2K6EZ68_PROCO, tr|A0A2K6EZY0|A0A2K6EZY0_PROCO, tr|A0A2K6F006|A0A2K6F006_PROCO
OG0000017	sp|Q7RTS7|K2C74_HUMAN	tr|A0A2K6FV05|A0A2K6FV05_PROCO
OG0000017	sp|Q86Y46|K2C73_HUMAN	tr|A0A2K6EYH4|A0A2K6EYH4_PROCO
OG0000017	sp|Q3SY84|K2C71_HUMAN	tr|A0A2K6GL34|A0A2K6GL34_PROCO
OG0000017	sp|Q14CN4|K2C72_HUMAN	tr|A0A2K6F051|A0A2K6F051_PROCO
OG0000017	sp|P08729|K2C7_HUMAN	tr|A0A2K6F6P7|A0A2K6F6P7_PROCO, tr|A0A2K6FY35|A0A2K6FY35_PROCO, tr|A0A2K6G9P8|A0A2K6G9P8_PROCO, tr|A0A2K6GIC6|A0A2K6GIC6_PROCO, tr|A0A2K6EXJ1|A0A2K6EXJ1_PROCO, tr|A0A2K6GMP1|A0A2K6GMP1_PROCO, tr|A0A2K6GY13|A0A2K6GY13_PROCO
OG0000018	sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN	tr|A0A2K6FJ65|A0A2K6FJ65_PROCO
OG0000019	sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGL9|OR4CG_HUMAN	tr|A0A2K6GE61|A0A2K6GE61_PROCO
OG0000020	sp|A6NLX3|SPDE4_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|Q495Y7|SPDE7_HUMAN	tr|A0A2K6GIN0|A0A2K6GIN0_PROCO
OG0000021	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN	tr|A0A2K6EH83|A0A2K6EH83_PROCO
OG0000022	sp|P29322|EPHA8_HUMAN	tr|A0A2K6FUT5|A0A2K6FUT5_PROCO
OG0000022	sp|P29320|EPHA3_HUMAN	tr|A0A2K6GA11|A0A2K6GA11_PROCO
OG0000022	sp|P54756|EPHA5_HUMAN	tr|A0A2K6F664|A0A2K6F664_PROCO, tr|A0A2K6FIX2|A0A2K6FIX2_PROCO, tr|A0A2K6GXB5|A0A2K6GXB5_PROCO
OG0000022	sp|P54764|EPHA4_HUMAN	tr|A0A2K6FEY3|A0A2K6FEY3_PROCO
OG0000022	sp|P54762|EPHB1_HUMAN	tr|A0A2K6FLC5|A0A2K6FLC5_PROCO
OG0000022	sp|P29323|EPHB2_HUMAN	tr|A0A2K6EG50|A0A2K6EG50_PROCO
OG0000022	sp|P54753|EPHB3_HUMAN	tr|A0A2K6FYE0|A0A2K6FYE0_PROCO
OG0000022	sp|P54760|EPHB4_HUMAN	tr|A0A2K6G220|A0A2K6G220_PROCO
OG0000022	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K6EV60|A0A2K6EV60_PROCO, tr|A0A2K6FB03|A0A2K6FB03_PROCO
OG0000029	sp|P55287|CAD11_HUMAN	tr|A0A2K6FW52|A0A2K6FW52_PROCO
OG0000029	sp|P55286|CADH8_HUMAN	tr|A0A2K6GYH2|A0A2K6GYH2_PROCO
OG0000029	sp|Q9ULB5|CADH7_HUMAN	tr|A0A2K6F969|A0A2K6F969_PROCO
OG0000029	sp|Q9H159|CAD19_HUMAN	tr|A0A2K6EF95|A0A2K6EF95_PROCO
OG0000029	sp|Q9ULB4|CADH9_HUMAN	tr|A0A2K6EZY5|A0A2K6EZY5_PROCO
OG0000029	sp|P55285|CADH6_HUMAN	tr|A0A2K6END6|A0A2K6END6_PROCO
OG0000029	sp|Q9Y6N8|CAD10_HUMAN	tr|A0A2K6EV71|A0A2K6EV71_PROCO
OG0000029	sp|Q9HBT6|CAD20_HUMAN	tr|A0A2K6G006|A0A2K6G006_PROCO
OG0000029	sp|P55289|CAD12_HUMAN, sp|Q13634|CAD18_HUMAN	tr|A0A2K6F9X1|A0A2K6F9X1_PROCO
OG0000031	sp|Q14532|K1H2_HUMAN	tr|A0A2K6GJ25|A0A2K6GJ25_PROCO
OG0000031	sp|Q6A163|K1C39_HUMAN	tr|A0A2K6GCV8|A0A2K6GCV8_PROCO
OG0000031	sp|Q6A162|K1C40_HUMAN	tr|A0A2K6FF88|A0A2K6FF88_PROCO
OG0000031	sp|O76013|KRT36_HUMAN	tr|A0A2K6F0E1|A0A2K6F0E1_PROCO
OG0000031	sp|Q92764|KRT35_HUMAN	tr|A0A2K6G6P8|A0A2K6G6P8_PROCO
OG0000031	sp|O76015|KRT38_HUMAN, sp|O76014|KRT37_HUMAN	tr|A0A2K6FPP8|A0A2K6FPP8_PROCO
OG0000031	tr|A0A140TA62|A0A140TA62_HUMAN, sp|O76011|KRT34_HUMAN, sp|Q14525|KT33B_HUMAN, sp|O76009|KT33A_HUMAN, sp|Q15323|K1H1_HUMAN	tr|A0A2K6G899|A0A2K6G899_PROCO
OG0000036	sp|A0A2R8Y619|H2BK1_HUMAN	tr|A0A2K6G8L3|A0A2K6G8L3_PROCO
OG0000036	sp|Q8N257|H2B3B_HUMAN	tr|A0A2K6EFM9|A0A2K6EFM9_PROCO, tr|A0A2K6EP89|A0A2K6EP89_PROCO, tr|A0A2K6ESF4|A0A2K6ESF4_PROCO, tr|A0A2K6EPT0|A0A2K6EPT0_PROCO, tr|A0A2K6EFW4|A0A2K6EFW4_PROCO, tr|A0A2K6EK83|A0A2K6EK83_PROCO, tr|A0A2K6EJM8|A0A2K6EJM8_PROCO, tr|A0A2K6EP16|A0A2K6EP16_PROCO, tr|A0A2K6EV03|A0A2K6EV03_PROCO, tr|A0A2K6EKP2|A0A2K6EKP2_PROCO, tr|A0A2K6G7Q4|A0A2K6G7Q4_PROCO, tr|A0A2K6EL19|A0A2K6EL19_PROCO, tr|A0A2K6GQP1|A0A2K6GQP1_PROCO, tr|A0A2K6EIT3|A0A2K6EIT3_PROCO, tr|A0A2K6EHN2|A0A2K6EHN2_PROCO
OG0000038	sp|Q16676|FOXD1_HUMAN	tr|A0A2K6EQU6|A0A2K6EQU6_PROCO
OG0000038	sp|O60548|FOXD2_HUMAN	tr|A0A2K6EUP5|A0A2K6EUP5_PROCO
OG0000038	sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|Q9C009|FOXQ1_HUMAN, sp|O43638|FOXS1_HUMAN, sp|P58012|FOXL2_HUMAN, sp|Q12952|FOXL1_HUMAN, sp|O00358|FOXE1_HUMAN, sp|Q13461|FOXE3_HUMAN	tr|A0A2K6EJC2|A0A2K6EJC2_PROCO
OG0000041	sp|Q8TDS5|OXER1_HUMAN	tr|A0A2K6GT20|A0A2K6GT20_PROCO
OG0000041	sp|Q9BXC0|HCAR1_HUMAN, sp|Q8TDS4|HCAR2_HUMAN, sp|P49019|HCAR3_HUMAN, sp|O00270|GPR31_HUMAN, sp|Q9UPC5|GPR34_HUMAN, sp|Q14330|GPR18_HUMAN, sp|P25105|PTAFR_HUMAN, sp|Q9Y271|CLTR1_HUMAN, sp|Q99678|GPR20_HUMAN, sp|Q9HC97|GPR35_HUMAN, sp|Q9Y2T6|GPR55_HUMAN, sp|Q9H1C0|LPAR5_HUMAN, sp|P43657|LPAR6_HUMAN, sp|Q99677|LPAR4_HUMAN	tr|A0A2K6EP42|A0A2K6EP42_PROCO
OG0000042	sp|Q86WN2|IFNE_HUMAN, sp|P05014|IFNA4_HUMAN, sp|P01567|IFNA7_HUMAN, sp|P01571|IFN17_HUMAN, sp|P01566|IFN10_HUMAN, sp|P01568|IFN21_HUMAN, sp|P05015|IFN16_HUMAN, sp|P01569|IFNA5_HUMAN, sp|P01563|IFNA2_HUMAN, sp|P05013|IFNA6_HUMAN, sp|P01562|IFNA1_HUMAN, sp|P01570|IFN14_HUMAN, sp|P32881|IFNA8_HUMAN, sp|P05000|IFNW1_HUMAN, sp|Q9P0W0|IFNK_HUMAN, sp|P01574|IFNB_HUMAN	tr|A0A2K6F165|A0A2K6F165_PROCO
OG0000043	sp|Q92738|US6NL_HUMAN, sp|Q9UFV1|TBC29_HUMAN, sp|Q86UD7|TBC26_HUMAN, sp|Q2M2D7|TBC28_HUMAN, sp|P35125|UBP6_HUMAN, sp|A6NDS4|TBC3B_HUMAN, sp|Q6DHY5|TBC3G_HUMAN, sp|P0C7X1|TBC3H_HUMAN, sp|A0A087X1G2|TBC3K_HUMAN, sp|A6NER0|TBC3F_HUMAN, sp|A0A087X179|TBC3E_HUMAN, sp|Q8IZP1|TBC3A_HUMAN, sp|Q6IPX1|TBC3C_HUMAN, sp|A0A087WXS9|TBC3I_HUMAN, sp|A0A087WVF3|TBC3D_HUMAN, sp|B9A6J9|TBC3L_HUMAN	tr|A0A2K6EX73|A0A2K6EX73_PROCO
OG0000045	sp|Q15973|ZN124_HUMAN	tr|A0A2K6FV93|A0A2K6FV93_PROCO
OG0000045	sp|Q6ZQV5|ZN788_HUMAN	tr|A0A2K6FAV4|A0A2K6FAV4_PROCO, tr|A0A2K6F487|A0A2K6F487_PROCO, tr|A0A2K6H126|A0A2K6H126_PROCO, tr|A0A2K6ELV2|A0A2K6ELV2_PROCO, tr|A0A2K6GVM4|A0A2K6GVM4_PROCO, tr|A0A2K6ERS1|A0A2K6ERS1_PROCO, tr|A0A2K6FG79|A0A2K6FG79_PROCO, tr|A0A2K6GE08|A0A2K6GE08_PROCO, tr|A0A2K6FR45|A0A2K6FR45_PROCO, tr|A0A2K6GK97|A0A2K6GK97_PROCO, tr|A0A2K6EZF0|A0A2K6EZF0_PROCO, tr|A0A2K6FSW9|A0A2K6FSW9_PROCO, tr|A0A2K6G6A1|A0A2K6G6A1_PROCO, tr|A0A2K6FM84|A0A2K6FM84_PROCO
OG0000046	sp|Q15544|TAF11_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN, sp|P0DW12|TFKL7_HUMAN	tr|A0A2K6EZM4|A0A2K6EZM4_PROCO
OG0000048	sp|B1APH4|ZN487_HUMAN	tr|A0A2K6EJZ3|A0A2K6EJZ3_PROCO
OG0000048	sp|Q14929|ZN169_HUMAN	tr|A0A2K6EIP6|A0A2K6EIP6_PROCO
OG0000048	sp|P17023|ZNF19_HUMAN	tr|A0A2K6GUQ2|A0A2K6GUQ2_PROCO
OG0000048	sp|Q5MCW4|ZN569_HUMAN	tr|A0A2K6F7Q8|A0A2K6F7Q8_PROCO, tr|A0A2K6G8W3|A0A2K6G8W3_PROCO
OG0000049	sp|P08727|K1C19_HUMAN	tr|A0A2K6FZJ7|A0A2K6FZJ7_PROCO
OG0000049	sp|Q04695|K1C17_HUMAN	tr|A0A2K6GZ97|A0A2K6GZ97_PROCO
OG0000049	sp|P08779|K1C16_HUMAN	tr|A0A2K6GZH6|A0A2K6GZH6_PROCO
OG0000049	sp|P02533|K1C14_HUMAN	tr|A0A2K6FKX4|A0A2K6FKX4_PROCO
OG0000049	sp|P35527|K1C9_HUMAN	tr|A0A2K6FGX9|A0A2K6FGX9_PROCO, tr|A0A2K6F7V9|A0A2K6F7V9_PROCO
OG0000049	sp|P19012|K1C15_HUMAN	tr|A0A2K6FTG5|A0A2K6FTG5_PROCO
