Orthogroup	Homo_sapiens	Balaenoptera_acutorostrata_scammoni
OG0000003	sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN	tr|A0A452CCB0|A0A452CCB0_BALAS
OG0000004	sp|Q8NGR6|OR1B1_HUMAN	tr|A0A452CE34|A0A452CE34_BALAS
OG0000004	sp|Q8NGR8|OR1L8_HUMAN	tr|A0A452CE20|A0A452CE20_BALAS
OG0000004	sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN	tr|A0A452C425|A0A452C425_BALAS
OG0000005	sp|P12018|VPREB_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|P01715|LV301_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01721|LV657_HUMAN	tr|A0A452C5J2|A0A452C5J2_BALAS
OG0000006	sp|Q8TAW3|ZN671_HUMAN	tr|A0A383ZK67|A0A383ZK67_BALAS
OG0000006	sp|Q9HCX3|ZN304_HUMAN	tr|A0A383ZK92|A0A383ZK92_BALAS, tr|A0A384BDW0|A0A384BDW0_BALAS, tr|A0A383ZKW2|A0A383ZKW2_BALAS
OG0000006	sp|P52740|ZN132_HUMAN	tr|A0A383ZJX7|A0A383ZJX7_BALAS, tr|A0A383ZK42|A0A383ZK42_BALAS
OG0000006	sp|Q7Z340|ZN551_HUMAN	tr|A0A452CCB4|A0A452CCB4_BALAS, tr|A0A384BGF2|A0A384BGF2_BALAS, tr|A0A452CBP1|A0A452CBP1_BALAS, tr|A0A452CBZ1|A0A452CBZ1_BALAS, tr|A0A383ZK72|A0A383ZK72_BALAS, tr|A0A452CB27|A0A452CB27_BALAS, tr|A0A452CBN7|A0A452CBN7_BALAS, tr|A0A383ZKT4|A0A383ZKT4_BALAS, tr|A0A383ZK00|A0A383ZK00_BALAS, tr|A0A452CCA2|A0A452CCA2_BALAS, tr|A0A383ZK46|A0A383ZK46_BALAS, tr|A0A452CBU7|A0A452CBU7_BALAS, tr|A0A383ZKU8|A0A383ZKU8_BALAS, tr|A0A383ZK77|A0A383ZK77_BALAS, tr|A0A383ZKT8|A0A383ZKT8_BALAS
OG0000008	sp|Q96R27|OR2M4_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN	tr|A0A452CET2|A0A452CET2_BALAS
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN	tr|A0A452C3R7|A0A452C3R7_BALAS
OG0000013	sp|Q6PG37|ZN790_HUMAN	tr|A0A383YVD7|A0A383YVD7_BALAS
OG0000013	sp|Q969W8|ZN566_HUMAN	tr|A0A383YQW6|A0A383YQW6_BALAS
OG0000013	sp|Q8NA42|ZN383_HUMAN	tr|A0A383YVE1|A0A383YVE1_BALAS
OG0000013	sp|Q14585|ZN345_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A383ZKB0|A0A383ZKB0_BALAS
OG0000013	sp|Q8TAF7|ZN461_HUMAN	tr|A0A452CCZ7|A0A452CCZ7_BALAS
OG0000013	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A383YVD2|A0A383YVD2_BALAS
OG0000013	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A383YQY3|A0A383YQY3_BALAS
OG0000013	sp|Q8N141|ZFP82_HUMAN	tr|A0A383YR98|A0A383YR98_BALAS
OG0000013	sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A383ZY35|A0A383ZY35_BALAS
OG0000013	sp|P17039|ZNF30_HUMAN	tr|A0A383YR47|A0A383YR47_BALAS, tr|A0A383YQT4|A0A383YQT4_BALAS
OG0000013	sp|Q8N9K5|ZN565_HUMAN	tr|A0A383YR22|A0A383YR22_BALAS
OG0000013	sp|A8MQ14|ZN850_HUMAN	tr|A0A452C416|A0A452C416_BALAS
OG0000015	sp|B1APH4|ZN487_HUMAN	tr|A0A452C939|A0A452C939_BALAS
OG0000015	sp|Q9HCZ1|ZN334_HUMAN	tr|A0A452CJC0|A0A452CJC0_BALAS
OG0000015	sp|Q9NYW8|RBAK_HUMAN	tr|A0A384AHM3|A0A384AHM3_BALAS
OG0000015	sp|P17014|ZNF12_HUMAN	tr|A0A384AHJ8|A0A384AHJ8_BALAS
OG0000015	sp|Q9BY31|ZN717_HUMAN	tr|A0A452CFD5|A0A452CFD5_BALAS, tr|A0A383Z751|A0A383Z751_BALAS, tr|A0A452CJY7|A0A452CJY7_BALAS, tr|A0A452CLU3|A0A452CLU3_BALAS, tr|A0A452CIM9|A0A452CIM9_BALAS, tr|A0A452CIJ9|A0A452CIJ9_BALAS, tr|A0A383ZMQ6|A0A383ZMQ6_BALAS, tr|A0A452CJZ9|A0A452CJZ9_BALAS, tr|A0A383ZE11|A0A383ZE11_BALAS
OG0000015	sp|Q06730|ZN33A_HUMAN, sp|Q06732|ZN33B_HUMAN	tr|A0A452C8Z2|A0A452C8Z2_BALAS
OG0000015	sp|Q9Y2H8|ZN510_HUMAN	tr|A0A452CD70|A0A452CD70_BALAS
OG0000015	sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN	tr|A0A383ZPM3|A0A383ZPM3_BALAS
OG0000017	sp|Q96A08|H2B1A_HUMAN	tr|A0A384AGH2|A0A384AGH2_BALAS
OG0000017	sp|Q99877|H2B1N_HUMAN	tr|A0A383ZQP9|A0A383ZQP9_BALAS, tr|A0A383ZQP0|A0A383ZQP0_BALAS, tr|A0A383ZVF9|A0A383ZVF9_BALAS
OG0000017	sp|Q8N257|H2B3B_HUMAN	tr|A0A383ZSW2|A0A383ZSW2_BALAS, tr|A0A383Z520|A0A383Z520_BALAS
OG0000017	sp|Q16778|H2B2E_HUMAN	tr|A0A452CE45|A0A452CE45_BALAS
OG0000017	sp|Q99880|H2B1L_HUMAN	tr|A0A383ZRA3|A0A383ZRA3_BALAS, tr|A0A383ZVF8|A0A383ZVF8_BALAS, tr|A0A452CEQ1|A0A452CEQ1_BALAS, tr|A0A452CEP7|A0A452CEP7_BALAS
OG0000018	sp|P0C0S8|H2A1_HUMAN	tr|A0A383ZW32|A0A383ZW32_BALAS
OG0000018	sp|Q7L7L0|H2A3_HUMAN	tr|A0A383Z479|A0A383Z479_BALAS
OG0000018	sp|Q93077|H2A1C_HUMAN	tr|A0A383ZQR6|A0A383ZQR6_BALAS
OG0000018	sp|P04908|H2A1B_HUMAN	tr|A0A383ZQN6|A0A383ZQN6_BALAS, tr|A0A383ZQS7|A0A383ZQS7_BALAS
OG0000018	sp|Q16777|H2A2C_HUMAN	tr|A0A383ZSA4|A0A383ZSA4_BALAS
OG0000018	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A384B9Y1|A0A384B9Y1_BALAS
OG0000018	sp|P16104|H2AX_HUMAN	tr|A0A384AG73|A0A384AG73_BALAS, tr|A0A383ZSB8|A0A383ZSB8_BALAS, tr|A0A384BB37|A0A384BB37_BALAS
OG0000018	sp|Q99878|H2A1J_HUMAN	tr|A0A383ZVP2|A0A383ZVP2_BALAS, tr|A0A383ZVM3|A0A383ZVM3_BALAS, tr|A0A383ZVI8|A0A383ZVI8_BALAS
OG0000019	sp|Q8NH79|OR6X1_HUMAN	tr|A0A452C583|A0A452C583_BALAS
OG0000019	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A452CHW5|A0A452CHW5_BALAS
OG0000019	sp|Q8NGC5|OR6J1_HUMAN	tr|A0A452CFU3|A0A452CFU3_BALAS
OG0000020	sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q92527|ANKR7_HUMAN	tr|A0A384B7F5|A0A384B7F5_BALAS
OG0000022	sp|Q8NGC2|OR4E2_HUMAN	tr|A0A452CFM2|A0A452CFM2_BALAS
OG0000022	sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN	tr|A0A383ZM89|A0A383ZM89_BALAS, tr|A0A383ZM51|A0A383ZM51_BALAS
OG0000022	sp|Q8NGI4|OR4DB_HUMAN	tr|A0A384BAR6|A0A384BAR6_BALAS
OG0000022	sp|Q8NGI6|OR4DA_HUMAN	tr|A0A384BB81|A0A384BB81_BALAS
OG0000022	sp|Q8NGE8|OR4D9_HUMAN	tr|A0A452C5K1|A0A452C5K1_BALAS
OG0000023	sp|Q7RTR8|T2R42_HUMAN	tr|A0A384BA98|A0A384BA98_BALAS
OG0000023	sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59544|T2R50_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN	tr|A0A452C506|A0A452C506_BALAS
OG0000024	sp|Q8NGN7|O10D4_HUMAN, sp|Q8NH80|O10D3_HUMAN	tr|A0A452CI03|A0A452CI03_BALAS
OG0000024	sp|Q8IXE1|OR4N5_HUMAN	tr|A0A384A012|A0A384A012_BALAS
OG0000024	sp|Q8NGD1|OR4N2_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN	tr|A0A452CG24|A0A452CG24_BALAS
OG0000025	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN	tr|A0A452C3M5|A0A452C3M5_BALAS
OG0000026	sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|O76001|OR2J3_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|O95371|OR2C1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|P59922|OR2B8_HUMAN	tr|A0A383ZVM1|A0A383ZVM1_BALAS
OG0000027	sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN	tr|A0A383ZEI5|A0A383ZEI5_BALAS
OG0000031	sp|P29320|EPHA3_HUMAN	tr|A0A383YMU3|A0A383YMU3_BALAS
OG0000031	sp|P54756|EPHA5_HUMAN	tr|A0A384B1L8|A0A384B1L8_BALAS
OG0000031	sp|Q9UF33|EPHA6_HUMAN	tr|A0A383YMS8|A0A383YMS8_BALAS
OG0000031	sp|P54764|EPHA4_HUMAN	tr|A0A452CL50|A0A452CL50_BALAS
OG0000031	sp|P54762|EPHB1_HUMAN	tr|A0A383Z5Q0|A0A383Z5Q0_BALAS
OG0000031	sp|P29323|EPHB2_HUMAN	tr|A0A383ZJ25|A0A383ZJ25_BALAS
OG0000031	sp|P54753|EPHB3_HUMAN	tr|A0A384B7T9|A0A384B7T9_BALAS
OG0000031	sp|Q5TGI4|SAMD5_HUMAN, sp|Q5JZY3|EPHAA_HUMAN	tr|A0A384A623|A0A384A623_BALAS
OG0000031	sp|Q15375|EPHA7_HUMAN	tr|A0A384B8M7|A0A384B8M7_BALAS
OG0000031	sp|P29322|EPHA8_HUMAN	tr|A0A383ZJW1|A0A383ZJW1_BALAS
OG0000035	sp|Q16696|CP2AD_HUMAN, sp|P20853|CP2A7_HUMAN, sp|P11509|CP2A6_HUMAN	tr|A0A452C3C9|A0A452C3C9_BALAS
OG0000035	sp|P11712|CP2C9_HUMAN, sp|P33261|CP2CJ_HUMAN, sp|P33260|CP2CI_HUMAN, sp|P10632|CP2C8_HUMAN	tr|A0A384AJ95|A0A384AJ95_BALAS
OG0000035	sp|P05181|CP2E1_HUMAN	tr|A0A383ZDY0|A0A383ZDY0_BALAS
OG0000035	sp|P24903|CP2F1_HUMAN	tr|A0A452CQ18|A0A452CQ18_BALAS, tr|A0A384B850|A0A384B850_BALAS, tr|A0A452CPX4|A0A452CPX4_BALAS
OG0000035	sp|P20813|CP2B6_HUMAN, sp|Q96SQ9|CP2S1_HUMAN	tr|A0A452C3P5|A0A452C3P5_BALAS
OG0000041	sp|P62805|H4_HUMAN	tr|A0A383ZVG1|A0A383ZVG1_BALAS, tr|A0A383ZQR0|A0A383ZQR0_BALAS, tr|A0A383ZVD9|A0A383ZVD9_BALAS, tr|A0A452CEN6|A0A452CEN6_BALAS, tr|A0A383ZQP2|A0A383ZQP2_BALAS, tr|A0A383Z4G2|A0A383Z4G2_BALAS, tr|A0A452CER0|A0A452CER0_BALAS, tr|A0A383ZQR5|A0A383ZQR5_BALAS, tr|A0A383ZQQ6|A0A383ZQQ6_BALAS, tr|A0A452CER7|A0A452CER7_BALAS, tr|A0A383ZVL5|A0A383ZVL5_BALAS, tr|A0A452CKC9|A0A452CKC9_BALAS, tr|A0A383ZKF0|A0A383ZKF0_BALAS, tr|A0A452CPV9|A0A452CPV9_BALAS, tr|A0A384B6E4|A0A384B6E4_BALAS, tr|A0A383YWS2|A0A383YWS2_BALAS, tr|A0A383ZSE1|A0A383ZSE1_BALAS
OG0000042	sp|P63132|PO113_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|P63136|POK25_HUMAN, sp|P63133|POK8_HUMAN, sp|Q9QC07|POK18_HUMAN, sp|Q9UQG0|POK11_HUMAN, sp|P10266|POK10_HUMAN, sp|P63135|POK7_HUMAN, tr|B3KNS4|B3KNS4_HUMAN, sp|P61578|REC16_HUMAN, sp|P61576|REC04_HUMAN, sp|P61574|RE113_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61568|ENK11_HUMAN	tr|A0A452C8V4|A0A452C8V4_BALAS
