Orthogroup	Homo_sapiens	Castor_canadensis
OG0000015	sp|Q8NGF1|O52R1_HUMAN	tr|A0A8B7TT81|A0A8B7TT81_CASCN, tr|A0A8B7TT89|A0A8B7TT89_CASCN
OG0000015	sp|Q8NGK5|O52M1_HUMAN	tr|A0A8B7TWH0|A0A8B7TWH0_CASCN, tr|A0A8B7TL28|A0A8B7TL28_CASCN, tr|A0A8B7TSK8|A0A8B7TSK8_CASCN, tr|A0A8B7TNW1|A0A8B7TNW1_CASCN, tr|A0A8B7TLJ2|A0A8B7TLJ2_CASCN, tr|A0A8B7TS40|A0A8B7TS40_CASCN, tr|A0A8B7WIB5|A0A8B7WIB5_CASCN, tr|A0A8B7WIL3|A0A8B7WIL3_CASCN, tr|A0A8C0W8B7|A0A8C0W8B7_CASCN, tr|A0A8B7TS19|A0A8B7TS19_CASCN, tr|A0A8C0VUV7|A0A8C0VUV7_CASCN, tr|A0A8C0ZQQ9|A0A8C0ZQQ9_CASCN, tr|A0A8B7TLJ7|A0A8B7TLJ7_CASCN, tr|A0A8B7TNW6|A0A8B7TNW6_CASCN, tr|A0A8B7TZC1|A0A8B7TZC1_CASCN, tr|A0A8C0VWQ9|A0A8C0VWQ9_CASCN, tr|A0A8B7TPW2|A0A8B7TPW2_CASCN, tr|A0A8C0ZLJ8|A0A8C0ZLJ8_CASCN, tr|A0A8B7TI95|A0A8B7TI95_CASCN, tr|A0A8B7WIM2|A0A8B7WIM2_CASCN, tr|A0A8B7WIB6|A0A8B7WIB6_CASCN, tr|A0A8B7WIC8|A0A8B7WIC8_CASCN, tr|A0A8B7W625|A0A8B7W625_CASCN, tr|A0A8C0X4W3|A0A8C0X4W3_CASCN
OG0000017	sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN	tr|A0A8B7VUV3|A0A8B7VUV3_CASCN
OG0000017	sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN	tr|A0A8B7VUV1|A0A8B7VUV1_CASCN
OG0000017	sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN	tr|A0A8C0WK46|A0A8C0WK46_CASCN
OG0000019	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8B7WID2|A0A8B7WID2_CASCN
OG0000019	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8B7WIB2|A0A8B7WIB2_CASCN
OG0000019	sp|Q8NH63|O51H1_HUMAN	tr|A0A8B7TR56|A0A8B7TR56_CASCN
OG0000019	sp|Q9H344|O51I2_HUMAN	tr|A0A8B7TIR8|A0A8B7TIR8_CASCN
OG0000019	sp|Q9H343|O51I1_HUMAN	tr|A0A8B7TL78|A0A8B7TL78_CASCN
OG0000019	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8B7TTW0|A0A8B7TTW0_CASCN, tr|A0A8B7TRP7|A0A8B7TRP7_CASCN
OG0000022	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN	tr|A0A8B7WAU3|A0A8B7WAU3_CASCN
OG0000024	sp|Q9UN71|PCDGG_HUMAN	tr|A0A8B7TVS0|A0A8B7TVS0_CASCN
OG0000024	sp|Q9Y5G3|PCDGD_HUMAN	tr|A0A8B7TX10|A0A8B7TX10_CASCN
OG0000024	sp|Q9Y5G2|PCDGE_HUMAN	tr|A0A8B7TVM7|A0A8B7TVM7_CASCN
OG0000025	sp|Q8NH19|O10AG_HUMAN	tr|A0A8B7WHZ3|A0A8B7WHZ3_CASCN, tr|A0A8B7TV83|A0A8B7TV83_CASCN, tr|A0A8B7TSM3|A0A8B7TSM3_CASCN, tr|A0A8B7TV50|A0A8B7TV50_CASCN, tr|A0A8B7TTR1|A0A8B7TTR1_CASCN, tr|A0A8B7TP97|A0A8B7TP97_CASCN, tr|A0A8B7TNJ3|A0A8B7TNJ3_CASCN, tr|A0A8B7TNY5|A0A8B7TNY5_CASCN, tr|A0A8B7TU70|A0A8B7TU70_CASCN, tr|A0A8B7TUZ0|A0A8B7TUZ0_CASCN, tr|A0A8C0W5R8|A0A8C0W5R8_CASCN, tr|A0A8B7TM47|A0A8B7TM47_CASCN, tr|A0A8B7TU17|A0A8B7TU17_CASCN, tr|A0A8B7TMG9|A0A8B7TMG9_CASCN, tr|A0A8B7TTC8|A0A8B7TTC8_CASCN, tr|A0A8B7TM68|A0A8B7TM68_CASCN, tr|A0A8C0VXF5|A0A8C0VXF5_CASCN, tr|A0A8B7TLI0|A0A8B7TLI0_CASCN, tr|A0A8B7TSB5|A0A8B7TSB5_CASCN, tr|A0A8B7TLI5|A0A8B7TLI5_CASCN, tr|A0A8B7WGK5|A0A8B7WGK5_CASCN
OG0000026	sp|Q8N628|OR2C3_HUMAN	tr|A0A8C0VYK9|A0A8C0VYK9_CASCN
OG0000026	sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN	tr|A0A8B7TZQ3|A0A8B7TZQ3_CASCN, tr|A0A8B7THJ1|A0A8B7THJ1_CASCN
OG0000026	sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN	tr|A0A8B7TUZ5|A0A8B7TUZ5_CASCN
OG0000027	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN	tr|A0A8B7W8E0|A0A8B7W8E0_CASCN
OG0000029	sp|Q16778|H2B2E_HUMAN	tr|A0A8B7TQJ8|A0A8B7TQJ8_CASCN
OG0000029	sp|P62807|H2B1C_HUMAN	tr|A0A250XUY6|A0A250XUY6_CASCN
OG0000029	sp|P58876|H2B1D_HUMAN	tr|A0A8B7TQH4|A0A8B7TQH4_CASCN
OG0000029	sp|Q99877|H2B1N_HUMAN	tr|A0A8C0WDQ3|A0A8C0WDQ3_CASCN
OG0000029	sp|P33778|H2B1B_HUMAN	tr|A0A8B7TUS7|A0A8B7TUS7_CASCN
OG0000030	sp|Q8TAF7|ZN461_HUMAN	tr|A0A8B7TS62|A0A8B7TS62_CASCN
OG0000030	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8B7UZ95|A0A8B7UZ95_CASCN, tr|A0A8B7WJD8|A0A8B7WJD8_CASCN, tr|A0A8B7WJE8|A0A8B7WJE8_CASCN, tr|A0A8B7WH98|A0A8B7WH98_CASCN, tr|A0A8B7TGG9|A0A8B7TGG9_CASCN, tr|A0A8B7VZS0|A0A8B7VZS0_CASCN, tr|A0A8B7TJ28|A0A8B7TJ28_CASCN, tr|A0A8B7WJX7|A0A8B7WJX7_CASCN, tr|A0A8B7WJV3|A0A8B7WJV3_CASCN, tr|A0A8B7VCX5|A0A8B7VCX5_CASCN, tr|A0A8B7TQN9|A0A8B7TQN9_CASCN, tr|A0A8B7TTC2|A0A8B7TTC2_CASCN, tr|A0A8B7TQ71|A0A8B7TQ71_CASCN, tr|A0A8B7U9U7|A0A8B7U9U7_CASCN, tr|A0A8B7V571|A0A8B7V571_CASCN, tr|A0A8B7VDN6|A0A8B7VDN6_CASCN, tr|A0A250XUL9|A0A250XUL9_CASCN
OG0000031	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A8C0VTP9|A0A8C0VTP9_CASCN
OG0000031	sp|Q96R48|OR2A5_HUMAN	tr|A0A8B7TK47|A0A8B7TK47_CASCN
OG0000031	tr|Q9BZC5|Q9BZC5_HUMAN, sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, sp|A4D2G3|O2A25_HUMAN	tr|A0A8B7TI72|A0A8B7TI72_CASCN
OG0000031	sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN	tr|A0A8B7TJM8|A0A8B7TJM8_CASCN, tr|A0A8B7TJD5|A0A8B7TJD5_CASCN
OG0000031	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN	tr|A0A8C0VVK2|A0A8C0VVK2_CASCN
OG0000032	sp|Q02386|ZNF45_HUMAN	tr|A0A8B7VA02|A0A8B7VA02_CASCN
OG0000032	sp|Q14590|ZN235_HUMAN	tr|A0A8B7VA61|A0A8B7VA61_CASCN
OG0000032	sp|Q9UJU3|ZN112_HUMAN	tr|A0A8B7VCS1|A0A8B7VCS1_CASCN
OG0000032	sp|Q86WZ6|ZN227_HUMAN	tr|A0A8B7VA41|A0A8B7VA41_CASCN
OG0000036	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A8B7TUI3|A0A8B7TUI3_CASCN
OG0000036	sp|Q96R72|OR4K3_HUMAN	tr|A0A8B7TVW9|A0A8B7TVW9_CASCN
OG0000036	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A8B7U0P7|A0A8B7U0P7_CASCN, tr|A0A8C0WMI7|A0A8C0WMI7_CASCN
OG0000036	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A8B7TUI7|A0A8B7TUI7_CASCN, tr|A0A8B7U0Q1|A0A8B7U0Q1_CASCN, tr|A0A8B7TVX4|A0A8B7TVX4_CASCN, tr|A0A8B7U0Q6|A0A8B7U0Q6_CASCN
OG0000038	sp|Q49AS3|L37A5_HUMAN	tr|A0A8B7TN31|A0A8B7TN31_CASCN, tr|A0A8B7TKG1|A0A8B7TKG1_CASCN, tr|A0A8B7WBD0|A0A8B7WBD0_CASCN, tr|A0A8B7UA47|A0A8B7UA47_CASCN, tr|A0A8B7UA42|A0A8B7UA42_CASCN, tr|A0A8B7TW91|A0A8B7TW91_CASCN, tr|A0A8B7WD21|A0A8B7WD21_CASCN, tr|A0A8B7TKR7|A0A8B7TKR7_CASCN, tr|A0A8B7TMF2|A0A8B7TMF2_CASCN, tr|A0A8B7VHW7|A0A8B7VHW7_CASCN, tr|A0A8B7WIR7|A0A8B7WIR7_CASCN, tr|A0A8B7TTD0|A0A8B7TTD0_CASCN, tr|A0A8B7V4L7|A0A8B7V4L7_CASCN, tr|A0A8B7WBC1|A0A8B7WBC1_CASCN, tr|A0A8B7VIX6|A0A8B7VIX6_CASCN, tr|A0A8B7VAP1|A0A8B7VAP1_CASCN, tr|A0A8B7WI63|A0A8B7WI63_CASCN, tr|A0A8B7WAN6|A0A8B7WAN6_CASCN, tr|A0A8B7U620|A0A8B7U620_CASCN
OG0000046	sp|Q04695|K1C17_HUMAN	tr|A0A8B7U4S8|A0A8B7U4S8_CASCN, tr|A0A8C0XCU2|A0A8C0XCU2_CASCN
OG0000046	sp|P08779|K1C16_HUMAN	tr|A0A8B7U489|A0A8B7U489_CASCN
OG0000046	sp|P02533|K1C14_HUMAN	tr|A0A8C0X572|A0A8C0X572_CASCN
OG0000046	sp|P13646|K1C13_HUMAN	tr|A0A8B7TLR8|A0A8B7TLR8_CASCN
OG0000046	sp|P19012|K1C15_HUMAN	tr|A0A8B7TL13|A0A8B7TL13_CASCN
OG0000046	sp|P08727|K1C19_HUMAN	tr|A0A8B7TYN4|A0A8B7TYN4_CASCN, tr|A0A8B7TJC8|A0A8B7TJC8_CASCN
OG0000049	sp|Q9NY46|SCN3A_HUMAN	tr|A0A8B7TIH4|A0A8B7TIH4_CASCN
OG0000049	sp|Q99250|SCN2A_HUMAN	tr|A0A8C0WLS4|A0A8C0WLS4_CASCN
OG0000049	sp|P35498|SCN1A_HUMAN	tr|A0A8B7U057|A0A8B7U057_CASCN
OG0000049	sp|Q15858|SCN9A_HUMAN	tr|A0A8B7TY71|A0A8B7TY71_CASCN
OG0000049	sp|Q9UQD0|SCN8A_HUMAN	tr|A0A8B7TKS5|A0A8B7TKS5_CASCN
OG0000049	sp|Q14524|SCN5A_HUMAN	tr|A0A8B7VPZ7|A0A8B7VPZ7_CASCN
OG0000049	sp|Q9Y5Y9|SCNAA_HUMAN	tr|A0A8B7VS25|A0A8B7VS25_CASCN
OG0000049	sp|P35499|SCN4A_HUMAN	tr|A0A8B7WBP6|A0A8B7WBP6_CASCN, tr|A0A8B7TWC8|A0A8B7TWC8_CASCN
OG0000051	sp|Q8NGL6|O4A15_HUMAN	tr|A0A8B7TWZ8|A0A8B7TWZ8_CASCN, tr|A0A8B7TS93|A0A8B7TS93_CASCN, tr|A0A8B7WJR2|A0A8B7WJR2_CASCN, tr|A0A8B7WJP2|A0A8B7WJP2_CASCN, tr|A0A8C0W9D7|A0A8C0W9D7_CASCN, tr|A0A8B7WIG0|A0A8B7WIG0_CASCN, tr|A0A8B7WIE9|A0A8B7WIE9_CASCN, tr|A0A8B7WIF4|A0A8B7WIF4_CASCN, tr|A0A8B7WJP8|A0A8B7WJP8_CASCN, tr|A0A8B7TZY7|A0A8B7TZY7_CASCN, tr|A0A8B7WIS8|A0A8B7WIS8_CASCN, tr|A0A8B7WIS3|A0A8B7WIS3_CASCN, tr|A0A8B7WIF5|A0A8B7WIF5_CASCN, tr|A0A8B7WIR5|A0A8B7WIR5_CASCN, tr|A0A8C0ZNI0|A0A8C0ZNI0_CASCN, tr|A0A8C0W4X9|A0A8C0W4X9_CASCN
OG0000052	sp|P54753|EPHB3_HUMAN	tr|A0A8B7W0M4|A0A8B7W0M4_CASCN
OG0000052	sp|P54762|EPHB1_HUMAN	tr|A0A8B7TGL1|A0A8B7TGL1_CASCN
OG0000052	sp|P29323|EPHB2_HUMAN	tr|A0A8B7TXS5|A0A8B7TXS5_CASCN
OG0000052	sp|P54764|EPHA4_HUMAN	tr|A0A8B7UQB4|A0A8B7UQB4_CASCN
OG0000052	sp|Q15375|EPHA7_HUMAN	tr|A0A8B7TQ88|A0A8B7TQ88_CASCN
OG0000052	sp|P29320|EPHA3_HUMAN	tr|A0A8B7UTW5|A0A8B7UTW5_CASCN
OG0000052	sp|P54756|EPHA5_HUMAN	tr|A0A8B7WIH9|A0A8B7WIH9_CASCN
OG0000052	sp|Q9UF33|EPHA6_HUMAN, sp|P29322|EPHA8_HUMAN	tr|A0A8C0WI13|A0A8C0WI13_CASCN
OG0000053	sp|Q6A163|K1C39_HUMAN	tr|A0A8B7TRW8|A0A8B7TRW8_CASCN
OG0000053	sp|Q14532|K1H2_HUMAN	tr|A0A8B7TJ31|A0A8B7TJ31_CASCN
OG0000053	sp|O76013|KRT36_HUMAN	tr|A0A8B7TL08|A0A8B7TL08_CASCN
OG0000053	sp|Q92764|KRT35_HUMAN	tr|A0A8B7TJC3|A0A8B7TJC3_CASCN
OG0000053	sp|Q15323|K1H1_HUMAN, sp|Q14525|KT33B_HUMAN, sp|O76009|KT33A_HUMAN, sp|O76011|KRT34_HUMAN, tr|A0A140TA62|A0A140TA62_HUMAN, sp|O76015|KRT38_HUMAN, sp|O76014|KRT37_HUMAN, sp|Q6A162|K1C40_HUMAN	tr|A0A8B7TUN3|A0A8B7TUN3_CASCN
OG0000054	sp|Q96M43|NBPF4_HUMAN, sp|Q5VWK0|NBPF6_HUMAN, sp|Q86XG9|NBPF5_HUMAN, sp|P0DPF3|NBPF9_HUMAN, sp|Q3BBV2|NBPF8_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|P0DPF2|NBPFK_HUMAN, sp|Q6P3W6|NBPFA_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|Q9H094|NBPF3_HUMAN, sp|P0C2Y1|NBPF7_HUMAN	tr|A0A8B7U602|A0A8B7U602_CASCN
