Orthogroup	Homo_sapiens	Physeter_macrocephalus
OG0000006	sp|Q9HCX3|ZN304_HUMAN	tr|A0A2Y9S646|A0A2Y9S646_PHYMC, tr|A0A2Y9FNW1|A0A2Y9FNW1_PHYMC
OG0000006	sp|Q68DY9|ZN772_HUMAN	tr|A0A455AQN0|A0A455AQN0_PHYMC
OG0000006	sp|Q8TAW3|ZN671_HUMAN	tr|A0A2Y9S8X3|A0A2Y9S8X3_PHYMC
OG0000006	sp|Q7Z340|ZN551_HUMAN	tr|A0A2Y9S5Z5|A0A2Y9S5Z5_PHYMC, tr|A0A2Y9TK45|A0A2Y9TK45_PHYMC, tr|A0A2Y9S2G0|A0A2Y9S2G0_PHYMC, tr|A0A2Y9SA94|A0A2Y9SA94_PHYMC, tr|A0A455AB45|A0A455AB45_PHYMC, tr|A0A2Y9S5Y4|A0A2Y9S5Y4_PHYMC, tr|A0A455AB90|A0A455AB90_PHYMC, tr|A0A2Y9F994|A0A2Y9F994_PHYMC, tr|A0A455AFA2|A0A455AFA2_PHYMC, tr|A0A2Y9FNC9|A0A2Y9FNC9_PHYMC, tr|A0A2Y9S8X6|A0A2Y9S8X6_PHYMC, tr|A0A455BMY2|A0A455BMY2_PHYMC, tr|A0A455ABK0|A0A455ABK0_PHYMC, tr|A0A2Y9S8W4|A0A2Y9S8W4_PHYMC, tr|A0A2Y9S2A7|A0A2Y9S2A7_PHYMC, tr|A0A2Y9S2A2|A0A2Y9S2A2_PHYMC, tr|A0A2Y9FQ86|A0A2Y9FQ86_PHYMC
OG0000013	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN	tr|A0A2Y9EIP3|A0A2Y9EIP3_PHYMC
OG0000014	sp|Q8N257|H2B3B_HUMAN	tr|A0A2Y9F8S4|A0A2Y9F8S4_PHYMC
OG0000014	sp|Q5QNW6|H2B2F_HUMAN	tr|A0A2Y9F3T2|A0A2Y9F3T2_PHYMC
OG0000014	sp|Q99880|H2B1L_HUMAN	tr|A0A2Y9FSH5|A0A2Y9FSH5_PHYMC, tr|A0A2Y9FT99|A0A2Y9FT99_PHYMC, tr|A0A2Y9ENS5|A0A2Y9ENS5_PHYMC, tr|A0A2Y9FQT7|A0A2Y9FQT7_PHYMC, tr|A0A2Y9F3P5|A0A2Y9F3P5_PHYMC, tr|A0A2Y9FQK2|A0A2Y9FQK2_PHYMC, tr|A0A2Y9SFY9|A0A2Y9SFY9_PHYMC, tr|A0A2Y9FBH8|A0A2Y9FBH8_PHYMC, tr|A0A2Y9S3G2|A0A2Y9S3G2_PHYMC, tr|A0A2Y9S4I3|A0A2Y9S4I3_PHYMC, tr|A0A2Y9SBA7|A0A2Y9SBA7_PHYMC, tr|A0A2Y9S3C3|A0A2Y9S3C3_PHYMC, tr|A0A2Y9S9U9|A0A2Y9S9U9_PHYMC, tr|A0A2Y9S864|A0A2Y9S864_PHYMC, tr|A0A2Y9SBW8|A0A2Y9SBW8_PHYMC, tr|A0A2Y9SKF9|A0A2Y9SKF9_PHYMC, tr|A0A2Y9FSI1|A0A2Y9FSI1_PHYMC, tr|A0A2Y9FSD4|A0A2Y9FSD4_PHYMC, tr|A0A2Y9F4L2|A0A2Y9F4L2_PHYMC, tr|A0A2Y9SJM7|A0A2Y9SJM7_PHYMC, tr|A0A2Y9ENB3|A0A2Y9ENB3_PHYMC, tr|A0A2Y9FQI5|A0A2Y9FQI5_PHYMC, tr|A0A2Y9FQI1|A0A2Y9FQI1_PHYMC, tr|A0A2Y9SPQ1|A0A2Y9SPQ1_PHYMC, tr|A0A2Y9SJZ7|A0A2Y9SJZ7_PHYMC
OG0000015	sp|P0C0S8|H2A1_HUMAN	tr|A0A2Y9ENS0|A0A2Y9ENS0_PHYMC
OG0000015	sp|Q96KK5|H2A1H_HUMAN	tr|A0A2Y9EPT9|A0A2Y9EPT9_PHYMC
OG0000015	sp|Q99878|H2A1J_HUMAN	tr|A0A2Y9FQG4|A0A2Y9FQG4_PHYMC
OG0000015	sp|P20671|H2A1D_HUMAN	tr|A0A2Y9EPK5|A0A2Y9EPK5_PHYMC
OG0000015	sp|P04908|H2A1B_HUMAN	tr|A0A2Y9FT95|A0A2Y9FT95_PHYMC
OG0000015	sp|Q7L7L0|H2A3_HUMAN	tr|A0A455C351|A0A455C351_PHYMC
OG0000015	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A2Y9ETL8|A0A2Y9ETL8_PHYMC
OG0000015	sp|Q16777|H2A2C_HUMAN	tr|A0A2Y9F5F4|A0A2Y9F5F4_PHYMC
OG0000015	sp|P16104|H2AX_HUMAN	tr|A0A2Y9T811|A0A2Y9T811_PHYMC
OG0000015	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A2Y9F3S7|A0A2Y9F3S7_PHYMC
OG0000017	sp|Q8N9K5|ZN565_HUMAN	tr|A0A2Y9THG9|A0A2Y9THG9_PHYMC
OG0000017	sp|Q6PG37|ZN790_HUMAN	tr|A0A2Y9FAU0|A0A2Y9FAU0_PHYMC
OG0000017	sp|Q8TAF7|ZN461_HUMAN	tr|A0A2Y9TFE1|A0A2Y9TFE1_PHYMC
OG0000017	sp|Q8NA42|ZN383_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN	tr|A0A2Y9F6V4|A0A2Y9F6V4_PHYMC
OG0000017	sp|Q7Z3V5|ZN571_HUMAN	tr|A0A455ACG9|A0A455ACG9_PHYMC
OG0000017	sp|Q86UE3|ZN546_HUMAN	tr|A0A2Y9TCW8|A0A2Y9TCW8_PHYMC
OG0000017	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A455AEX3|A0A455AEX3_PHYMC
OG0000017	sp|Q8N141|ZFP82_HUMAN	tr|A0A2Y9TBJ4|A0A2Y9TBJ4_PHYMC
OG0000017	sp|Q9HCL3|ZFP14_HUMAN	tr|A0A2Y9TFE9|A0A2Y9TFE9_PHYMC
OG0000017	sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN	tr|A0A455AFC0|A0A455AFC0_PHYMC
OG0000017	sp|Q86YE8|ZN573_HUMAN, sp|P17039|ZNF30_HUMAN	tr|A0A2Y9TC75|A0A2Y9TC75_PHYMC
OG0000018	sp|Q9H7L2|KI3X1_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43631|KI2S2_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN	tr|A0A455AD70|A0A455AD70_PHYMC
OG0000019	sp|Q9NZP0|OR6C3_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2Y9TFU0|A0A2Y9TFU0_PHYMC
OG0000019	sp|Q8NGM8|OR6M1_HUMAN	tr|A0A2Y9T9J9|A0A2Y9T9J9_PHYMC
OG0000019	sp|Q8NGC5|OR6J1_HUMAN	tr|A0A455BRS0|A0A455BRS0_PHYMC
OG0000019	sp|Q8N148|OR6V1_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NH40|OR6S1_HUMAN	tr|A0A2Y9THH0|A0A2Y9THH0_PHYMC
OG0000019	sp|Q8NH79|OR6X1_HUMAN	tr|A0A2Y9TB47|A0A2Y9TB47_PHYMC
OG0000019	sp|Q8NGZ6|OR6F1_HUMAN	tr|A0A455AMF3|A0A455AMF3_PHYMC
OG0000021	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN	tr|A0A2Y9T849|A0A2Y9T849_PHYMC
OG0000022	sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN	tr|A0A2Y9SPB3|A0A2Y9SPB3_PHYMC
OG0000023	sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|P59544|T2R50_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN	tr|A0A2Y9T8H2|A0A2Y9T8H2_PHYMC
OG0000025	sp|Q15375|EPHA7_HUMAN	tr|A0A2Y9SH95|A0A2Y9SH95_PHYMC
OG0000025	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2Y9SKB7|A0A2Y9SKB7_PHYMC
OG0000025	sp|P54756|EPHA5_HUMAN	tr|A0A2Y9THK8|A0A2Y9THK8_PHYMC
OG0000025	sp|P29320|EPHA3_HUMAN	tr|A0A2Y9SKA7|A0A2Y9SKA7_PHYMC
OG0000025	sp|P54762|EPHB1_HUMAN	tr|A0A2Y9ETR9|A0A2Y9ETR9_PHYMC
OG0000025	sp|P29323|EPHB2_HUMAN	tr|A0A455B0I0|A0A455B0I0_PHYMC
OG0000025	sp|P54753|EPHB3_HUMAN	tr|A0A455C1M1|A0A455C1M1_PHYMC, tr|A0A2Y9SWE4|A0A2Y9SWE4_PHYMC
OG0000025	sp|P29322|EPHA8_HUMAN	tr|A0A455B4H8|A0A455B4H8_PHYMC, tr|A0A455AYZ5|A0A455AYZ5_PHYMC, tr|A0A455BD46|A0A455BD46_PHYMC, tr|A0A455B982|A0A455B982_PHYMC
OG0000025	sp|P54764|EPHA4_HUMAN	tr|A0A2Y9EGC9|A0A2Y9EGC9_PHYMC
OG0000027	sp|Q86XU0|ZN677_HUMAN	tr|A0A455AQC2|A0A455AQC2_PHYMC, tr|A0A455ANR8|A0A455ANR8_PHYMC, tr|A0A2Y9THP5|A0A2Y9THP5_PHYMC, tr|A0A2Y9TFN2|A0A2Y9TFN2_PHYMC, tr|A0A455ABX0|A0A455ABX0_PHYMC, tr|A0A2Y9THN0|A0A2Y9THN0_PHYMC, tr|A0A455AE21|A0A455AE21_PHYMC, tr|A0A455ABR2|A0A455ABR2_PHYMC, tr|A0A455AEB8|A0A455AEB8_PHYMC, tr|A0A455AF77|A0A455AF77_PHYMC, tr|A0A2Y9TIT1|A0A2Y9TIT1_PHYMC, tr|A0A2Y9TDG9|A0A2Y9TDG9_PHYMC, tr|A0A455AE26|A0A455AE26_PHYMC, tr|A0A455AE14|A0A455AE14_PHYMC, tr|A0A455AQB8|A0A455AQB8_PHYMC, tr|A0A455AD55|A0A455AD55_PHYMC, tr|A0A455AD51|A0A455AD51_PHYMC, tr|A0A455B607|A0A455B607_PHYMC, tr|A0A455ABU3|A0A455ABU3_PHYMC, tr|A0A455AEC3|A0A455AEC3_PHYMC, tr|A0A455ACU6|A0A455ACU6_PHYMC
OG0000032	sp|O75635|SPB7_HUMAN	tr|A0A2Y9TKP0|A0A2Y9TKP0_PHYMC
OG0000032	sp|P05120|PAI2_HUMAN	tr|A0A2Y9EM09|A0A2Y9EM09_PHYMC
OG0000032	sp|P48595|SPB10_HUMAN	tr|A0A455AKV7|A0A455AKV7_PHYMC
OG0000032	sp|A8MTL9|HMSD_HUMAN	tr|A0A455B4K4|A0A455B4K4_PHYMC, tr|A0A455B400|A0A455B400_PHYMC
OG0000032	sp|P50453|SPB9_HUMAN	tr|A0A455AFY7|A0A455AFY7_PHYMC
OG0000032	sp|P35237|SPB6_HUMAN	tr|A0A2Y9SHE7|A0A2Y9SHE7_PHYMC
OG0000032	sp|P50452|SPB8_HUMAN	tr|A0A455AJ00|A0A455AJ00_PHYMC
OG0000033	sp|Q9BZ81|MAGB5_HUMAN	tr|A0A455B3T2|A0A455B3T2_PHYMC, tr|A0A2Y9FT09|A0A2Y9FT09_PHYMC, tr|A0A2Y9S853|A0A2Y9S853_PHYMC, tr|A0A2Y9RY56|A0A2Y9RY56_PHYMC, tr|A0A2Y9S9E9|A0A2Y9S9E9_PHYMC, tr|A0A455APV1|A0A455APV1_PHYMC, tr|A0A2Y9EUM6|A0A2Y9EUM6_PHYMC, tr|A0A2Y9S534|A0A2Y9S534_PHYMC, tr|A0A2Y9S4C6|A0A2Y9S4C6_PHYMC, tr|A0A2Y9FCF8|A0A2Y9FCF8_PHYMC, tr|A0A2Y9S571|A0A2Y9S571_PHYMC, tr|A0A2Y9SYY8|A0A2Y9SYY8_PHYMC, tr|A0A2Y9EQ29|A0A2Y9EQ29_PHYMC, tr|A0A2Y9TAU2|A0A2Y9TAU2_PHYMC, tr|A0A2Y9TC25|A0A2Y9TC25_PHYMC, tr|A0A2Y9S1V4|A0A2Y9S1V4_PHYMC, tr|A0A2Y9EJH7|A0A2Y9EJH7_PHYMC, tr|A0A455AR21|A0A455AR21_PHYMC, tr|A0A2Y9EQ75|A0A2Y9EQ75_PHYMC, tr|A0A455B3W6|A0A455B3W6_PHYMC
OG0000036	sp|Q96SQ9|CP2S1_HUMAN	tr|A0A2Y9TFS7|A0A2Y9TFS7_PHYMC
OG0000036	sp|P05181|CP2E1_HUMAN	tr|A0A2Y9EFW7|A0A2Y9EFW7_PHYMC
OG0000036	sp|P10632|CP2C8_HUMAN, sp|P33261|CP2CJ_HUMAN, sp|P11712|CP2C9_HUMAN, sp|P33260|CP2CI_HUMAN	tr|A0A455B0W8|A0A455B0W8_PHYMC
OG0000036	sp|P24903|CP2F1_HUMAN	tr|A0A455AEG1|A0A455AEG1_PHYMC, tr|A0A2Y9TI03|A0A2Y9TI03_PHYMC
OG0000036	sp|Q16696|CP2AD_HUMAN	tr|A0A455AF64|A0A455AF64_PHYMC
OG0000036	sp|P11509|CP2A6_HUMAN, sp|P20853|CP2A7_HUMAN	tr|A0A2Y9TFQ7|A0A2Y9TFQ7_PHYMC
OG0000037	sp|O95047|OR2A4_HUMAN, sp|Q96R45|OR2A7_HUMAN	tr|A0A2Y9TGJ1|A0A2Y9TGJ1_PHYMC
OG0000037	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|A0A2Y9TDG8|A0A2Y9TDG8_PHYMC
OG0000037	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN, sp|Q8NGT7|O2A12_HUMAN	tr|A0A2Y9T266|A0A2Y9T266_PHYMC
OG0000037	tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN	tr|A0A2Y9T4A7|A0A2Y9T4A7_PHYMC
OG0000041	tr|B3KNS4|B3KNS4_HUMAN, sp|P61578|REC16_HUMAN, sp|P61574|RE113_HUMAN, sp|P61576|REC04_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61568|ENK11_HUMAN, sp|Q9QC07|POK18_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|P63132|PO113_HUMAN, sp|P63133|POK8_HUMAN, sp|P63136|POK25_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|P63135|POK7_HUMAN, sp|P10266|POK10_HUMAN, sp|Q9UQG0|POK11_HUMAN	tr|A0A2Y9SK08|A0A2Y9SK08_PHYMC
OG0000042	sp|Q96M43|NBPF4_HUMAN, sp|Q5VWK0|NBPF6_HUMAN, sp|Q86XG9|NBPF5_HUMAN, sp|P0C2Y1|NBPF7_HUMAN, sp|Q9H094|NBPF3_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|Q6P3W6|NBPFA_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|P0DPF2|NBPFK_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|P0DPF3|NBPF9_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q3BBV2|NBPF8_HUMAN	tr|A0A2Y9FK91|A0A2Y9FK91_PHYMC, tr|A0A455B5T9|A0A455B5T9_PHYMC
