Orthogroup	Homo_sapiens	Pan_paniscus
OG0000005	sp|P43630|KI3L2_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q8N743|KI3L3_HUMAN	tr|A0A2R9C168|A0A2R9C168_PANPA
OG0000006	sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A2R8ZI62|A0A2R8ZI62_PANPA
OG0000006	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A2R8ZP05|A0A2R8ZP05_PANPA
OG0000006	sp|Q8NHA6|OR2W6_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2R8Z9M3|A0A2R8Z9M3_PANPA
OG0000006	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A2R8Z963|A0A2R8Z963_PANPA
OG0000006	sp|O95371|OR2C1_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|A0A2R8Z9V4|A0A2R8Z9V4_PANPA
OG0000006	sp|O76000|OR2B3_HUMAN	tr|A0A2R8ZER1|A0A2R8ZER1_PANPA
OG0000006	sp|Q9GZK3|OR2B2_HUMAN, sp|P58173|OR2B6_HUMAN	tr|A0A2R8ZKJ1|A0A2R8ZKJ1_PANPA
OG0000006	sp|O76001|OR2J3_HUMAN	tr|A0A2R8ZMH8|A0A2R8ZMH8_PANPA
OG0000006	sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN	tr|A0A2R8Z6B7|A0A2R8Z6B7_PANPA
OG0000007	tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN	tr|A0A2R8Z8P0|A0A2R8Z8P0_PANPA
OG0000007	sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN	tr|A0A2R8ZB84|A0A2R8ZB84_PANPA
OG0000007	sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0A0MS14|HV145_HUMAN	tr|A0A2R8ZPX9|A0A2R8ZPX9_PANPA
OG0000007	sp|P0DTW3|HV384_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN	tr|A0A2R9A9W0|A0A2R9A9W0_PANPA, tr|A0A2R8ZGX5|A0A2R8ZGX5_PANPA
OG0000007	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN	tr|A0A2R8Z6G7|A0A2R8Z6G7_PANPA
OG0000008	sp|Q9H9J4|UBP42_HUMAN	tr|A0A2R9A8W9|A0A2R9A8W9_PANPA
OG0000008	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A2R9A6E3|A0A2R9A6E3_PANPA
OG0000009	sp|A6NLX3|SPDE4_HUMAN	tr|A0A2R9CIC7|A0A2R9CIC7_PANPA
OG0000009	sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN	tr|A0A2R9ASF0|A0A2R9ASF0_PANPA
OG0000014	sp|F8WFD2|NPIA3_HUMAN, sp|Q9UND3|NPIA1_HUMAN, sp|E9PJI5|NPIA7_HUMAN, sp|P0DM63|NPIA8_HUMAN, sp|A0A0B4J1W7|NPIA9_HUMAN, sp|E9PKD4|NPIA5_HUMAN, sp|E9PIF3|NPIA2_HUMAN, sp|A6NJ64|NPIB2_HUMAN, sp|A6NHN6|NPB15_HUMAN, sp|F8W1W9|NPIB9_HUMAN, sp|O75200|NPIB7_HUMAN, sp|E9PJ23|NPIB6_HUMAN, sp|E9PQR5|NPIB8_HUMAN, sp|E5RHQ5|NPB11_HUMAN, sp|Q92617|NPIB3_HUMAN, sp|A6NJU9|NPB13_HUMAN, sp|F8W0I5|NPB12_HUMAN, sp|C9JG80|NPIB4_HUMAN, sp|A8MRT5|NPIB5_HUMAN	tr|A0A2R9CAW0|A0A2R9CAW0_PANPA
OG0000015	sp|P51991|ROA3_HUMAN	tr|A0A2R8ZSN7|A0A2R8ZSN7_PANPA
OG0000015	sp|A0A2R8Y4L2|RA1L3_HUMAN	tr|A0A2R9BSI6|A0A2R9BSI6_PANPA
OG0000015	sp|Q32P51|RA1L2_HUMAN	tr|A0A2R8ZQM5|A0A2R8ZQM5_PANPA, tr|A0A2R9BZS1|A0A2R9BZS1_PANPA
OG0000015	sp|P09651|ROA1_HUMAN	tr|A0A2R9C1H4|A0A2R9C1H4_PANPA, tr|A0A2R8ZHP5|A0A2R8ZHP5_PANPA
OG0000015	sp|P22626|ROA2_HUMAN	tr|A0A2R9BIQ7|A0A2R9BIQ7_PANPA
OG0000017	sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN	tr|A0A2R9AK46|A0A2R9AK46_PANPA, tr|A0A2R9ALY9|A0A2R9ALY9_PANPA
OG0000017	sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN	tr|A0A2R9AJM1|A0A2R9AJM1_PANPA, tr|A0A2R9ARY4|A0A2R9ARY4_PANPA, tr|A0A2R9AUG9|A0A2R9AUG9_PANPA, tr|A0A2R9ANN1|A0A2R9ANN1_PANPA, tr|A0A2R9ALR3|A0A2R9ALR3_PANPA, tr|A0A2R9AJT2|A0A2R9AJT2_PANPA
OG0000018	sp|Q15375|EPHA7_HUMAN	tr|A0A2R9A7M8|A0A2R9A7M8_PANPA
OG0000018	sp|P29320|EPHA3_HUMAN	tr|A0A2R9AMJ1|A0A2R9AMJ1_PANPA
OG0000018	sp|P54756|EPHA5_HUMAN	tr|A0A2R9B924|A0A2R9B924_PANPA, tr|A0A2R9CE10|A0A2R9CE10_PANPA
OG0000018	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2R8ZH88|A0A2R8ZH88_PANPA
OG0000018	sp|P29322|EPHA8_HUMAN	tr|A0A2R9CCB9|A0A2R9CCB9_PANPA
OG0000018	sp|P54764|EPHA4_HUMAN	tr|A0A2R9CME8|A0A2R9CME8_PANPA
OG0000018	sp|P54753|EPHB3_HUMAN	tr|A0A2R9B459|A0A2R9B459_PANPA
OG0000018	sp|P54762|EPHB1_HUMAN	tr|A0A2R8ZM22|A0A2R8ZM22_PANPA
OG0000018	sp|P29323|EPHB2_HUMAN	tr|A0A2R9AQB7|A0A2R9AQB7_PANPA
OG0000019	sp|Q96RD1|OR6C1_HUMAN	tr|A0A2R8ZN55|A0A2R8ZN55_PANPA
OG0000019	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2R8ZAE1|A0A2R8ZAE1_PANPA
OG0000019	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A2R8ZE65|A0A2R8ZE65_PANPA
OG0000019	sp|A6NCV1|O6C74_HUMAN	tr|A0A2R8ZNC5|A0A2R8ZNC5_PANPA
OG0000019	sp|Q9NZP2|OR6C2_HUMAN, sp|A6NDL8|O6C68_HUMAN	tr|A0A2R8ZDM4|A0A2R8ZDM4_PANPA
OG0000019	sp|A6NJZ3|O6C65_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN	tr|A0A2R8ZQ61|A0A2R8ZQ61_PANPA
OG0000021	sp|Q9H094|NBPF3_HUMAN	tr|A0A2R9A3J3|A0A2R9A3J3_PANPA
OG0000021	sp|P0C2Y1|NBPF7_HUMAN, sp|Q86XG9|NBPF5_HUMAN, sp|Q96M43|NBPF4_HUMAN, sp|Q5VWK0|NBPF6_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|P0DPF3|NBPF9_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q3BBV2|NBPF8_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|P0DPF2|NBPFK_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|Q6P3W6|NBPFA_HUMAN	tr|A0A2R9A2L8|A0A2R9A2L8_PANPA
OG0000022	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|Q4V326|GAG2E_HUMAN	tr|A0A2R8ZY96|A0A2R8ZY96_PANPA
OG0000025	sp|P0CJ86|DU4L3_HUMAN, sp|P0CJ90|DU4L7_HUMAN, sp|P0CJ88|DU4L5_HUMAN, sp|P0CJ89|DU4L6_HUMAN, sp|Q9UBX2|DUX4_HUMAN, sp|P0CJ85|DU4L2_HUMAN, tr|A0A1B0GW55|A0A1B0GW55_HUMAN, sp|P0CJ87|DU4L4_HUMAN	tr|A0A2R9A3M6|A0A2R9A3M6_PANPA, tr|A0A2R8ZID8|A0A2R8ZID8_PANPA, tr|A0A2R8ZDL2|A0A2R8ZDL2_PANPA, tr|A0A2R8ZYE3|A0A2R8ZYE3_PANPA
OG0000025	sp|Q96PT3|DUX5_HUMAN, sp|Q96PT4|DUX3_HUMAN, sp|O43812|DUX1_HUMAN	tr|A0A2R8ZP80|A0A2R8ZP80_PANPA
OG0000025	sp|Q6RFH8|DUX4C_HUMAN	tr|A0A2R8Z5V9|A0A2R8Z5V9_PANPA
OG0000026	sp|Q8NH00|OR2T4_HUMAN	tr|A0A2R8ZAU1|A0A2R8ZAU1_PANPA
OG0000026	sp|Q8NH01|O2T11_HUMAN	tr|A0A2R8Z6F5|A0A2R8Z6F5_PANPA
OG0000026	sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN	tr|A0A2R9B8U1|A0A2R9B8U1_PANPA
OG0000026	sp|A6NH00|OR2T8_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN	tr|A0A2R9ABB8|A0A2R9ABB8_PANPA, tr|A0A2R8Z9M0|A0A2R8Z9M0_PANPA
OG0000026	sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN	tr|A0A2R9AXF7|A0A2R9AXF7_PANPA
OG0000027	sp|Q8N7K0|ZN433_HUMAN	tr|A0A2R9CTM4|A0A2R9CTM4_PANPA
OG0000027	sp|P52737|ZN136_HUMAN	tr|A0A2R8ZEJ9|A0A2R8ZEJ9_PANPA
OG0000027	sp|O60384|ZN861_HUMAN, sp|Q7L945|ZN627_HUMAN	tr|A0A2R9A1Y3|A0A2R9A1Y3_PANPA
OG0000027	sp|P17024|ZNF20_HUMAN	tr|A0A2R9BS44|A0A2R9BS44_PANPA, tr|A0A2R9BVN6|A0A2R9BVN6_PANPA, tr|A0A2R9BM02|A0A2R9BM02_PANPA, tr|A0A2R9B587|A0A2R9B587_PANPA, tr|A0A2R9CAU6|A0A2R9CAU6_PANPA, tr|A0A2R8ZXM8|A0A2R8ZXM8_PANPA
OG0000027	sp|C9JN71|ZN878_HUMAN	tr|A0A2R9AE49|A0A2R9AE49_PANPA
OG0000027	sp|Q96I27|ZN625_HUMAN	tr|A0A2R9BZ24|A0A2R9BZ24_PANPA
OG0000028	sp|Q8NGA2|OR7A2_HUMAN	tr|A0A2R8ZJN0|A0A2R8ZJN0_PANPA
OG0000028	sp|O76100|OR7AA_HUMAN	tr|A0A2R8ZDU8|A0A2R8ZDU8_PANPA
OG0000028	sp|Q15622|OR7A5_HUMAN	tr|A0A2R8ZEJ5|A0A2R8ZEJ5_PANPA
OG0000028	sp|Q6IFN5|O7E24_HUMAN	tr|A0A2R9AWQ8|A0A2R9AWQ8_PANPA
OG0000028	sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN	tr|A0A2R8ZFL1|A0A2R8ZFL1_PANPA
OG0000028	sp|Q8NG98|OR7D4_HUMAN	tr|D1MFA4|D1MFA4_PANPA
OG0000028	sp|Q96RA2|OR7D2_HUMAN	tr|A0A2R8ZLK2|A0A2R8ZLK2_PANPA
OG0000028	sp|O14581|OR7AH_HUMAN	tr|A0A2R9AGA8|A0A2R9AGA8_PANPA, tr|A0A2R8ZPB9|A0A2R8ZPB9_PANPA
OG0000030	sp|Q5VT98|PRA20_HUMAN	tr|A0A2R9B2Y5|A0A2R9B2Y5_PANPA
OG0000030	sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|O95522|PRA12_HUMAN	tr|A0A2R9BW07|A0A2R9BW07_PANPA
OG0000030	sp|A6NGN4|PRA25_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|O60813|PRA11_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60810|PRAM4_HUMAN, sp|H0Y7S4|PRA26_HUMAN	tr|A0A2R8ZE53|A0A2R8ZE53_PANPA
OG0000031	sp|P00338|LDHA_HUMAN	tr|A0A2R9BUH6|A0A2R9BUH6_PANPA, tr|A0A2R8ZWA3|A0A2R8ZWA3_PANPA
OG0000031	sp|P07195|LDHB_HUMAN	tr|A0A2R9A242|A0A2R9A242_PANPA, tr|A0A2R9AUG7|A0A2R9AUG7_PANPA
OG0000031	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2R8ZQY6|A0A2R8ZQY6_PANPA
OG0000031	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2R9BXC7|A0A2R9BXC7_PANPA, tr|A0A2R9BVB7|A0A2R9BVB7_PANPA, tr|A0A2R8ZGL5|A0A2R8ZGL5_PANPA
OG0000031	sp|P07864|LDHC_HUMAN	tr|A0A2R9BUA1|A0A2R9BUA1_PANPA
OG0000032	sp|P60410|KR108_HUMAN	tr|A0A2R9A6E2|A0A2R9A6E2_PANPA, tr|A0A2R9AB64|A0A2R9AB64_PANPA, tr|A0A2R9A8P9|A0A2R9A8P9_PANPA
OG0000032	sp|P60370|KR105_HUMAN, sp|P60014|KR10A_HUMAN, sp|P60368|KR102_HUMAN, sp|P60411|KR109_HUMAN, sp|P60369|KR103_HUMAN, sp|P60412|KR10B_HUMAN, sp|P60371|KR106_HUMAN, sp|P60372|KR104_HUMAN, sp|P60409|KR107_HUMAN, sp|P60413|KR10C_HUMAN, sp|P60331|KR101_HUMAN	tr|A0A2R9AAZ7|A0A2R9AAZ7_PANPA, tr|A0A2R9AMA7|A0A2R9AMA7_PANPA
OG0000034	sp|P06331|HV434_HUMAN	tr|A0A2R8ZXQ3|A0A2R8ZXQ3_PANPA
OG0000034	sp|P01825|HV459_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|P01824|HV439_HUMAN	tr|A0A2R9CBH4|A0A2R9CBH4_PANPA
OG0000036	sp|P15880|RS2_HUMAN	tr|A0A2R9B9S7|A0A2R9B9S7_PANPA, tr|A0A2R9CBM7|A0A2R9CBM7_PANPA, tr|A0A2R9BTQ4|A0A2R9BTQ4_PANPA, tr|A0A2R8ZAS6|A0A2R8ZAS6_PANPA, tr|A0A2R8ZCC6|A0A2R8ZCC6_PANPA, tr|A0A2R9A475|A0A2R9A475_PANPA, tr|A0A2R9AYD4|A0A2R9AYD4_PANPA, tr|A0A2R8ZN11|A0A2R8ZN11_PANPA, tr|A0A2R9A3C0|A0A2R9A3C0_PANPA, tr|A0A2R9A4I1|A0A2R9A4I1_PANPA, tr|A0A2R9A3J2|A0A2R9A3J2_PANPA, tr|A0A2R9B0D5|A0A2R9B0D5_PANPA, tr|A0A2R9BIW4|A0A2R9BIW4_PANPA, tr|A0A2R8ZPF5|A0A2R8ZPF5_PANPA, tr|A0A2R9A0E1|A0A2R9A0E1_PANPA
