Orthogroup	Homo_sapiens	Microtus_ochrogaster
OG0000006	sp|A6NIJ9|O6C70_HUMAN	tr|A0A8J6KK55|A0A8J6KK55_MICOH, tr|A0A8J6KKS2|A0A8J6KKS2_MICOH, tr|A0A8J6FW03|A0A8J6FW03_MICOH, tr|A0A8J6KJ57|A0A8J6KJ57_MICOH, tr|A0A8J6FZN0|A0A8J6FZN0_MICOH
OG0000006	sp|A6NL08|O6C75_HUMAN	tr|A0A8J6KKY5|A0A8J6KKY5_MICOH
OG0000006	sp|Q96RD1|OR6C1_HUMAN	tr|A0A8J6FZS4|A0A8J6FZS4_MICOH, tr|A0A8J6FXX5|A0A8J6FXX5_MICOH, tr|A0A8J6FY75|A0A8J6FY75_MICOH
OG0000006	sp|Q9NZP0|OR6C3_HUMAN	tr|A0A8J6FX73|A0A8J6FX73_MICOH, tr|A0A8J6FXW2|A0A8J6FXW2_MICOH, tr|A0A8J6FZM1|A0A8J6FZM1_MICOH, tr|A0A8J6FY64|A0A8J6FY64_MICOH, tr|A0A8J6KKR4|A0A8J6KKR4_MICOH, tr|A0A8J6FYJ3|A0A8J6FYJ3_MICOH
OG0000007	sp|Q86W11|ZSC30_HUMAN	tr|A0A8J6KQ05|A0A8J6KQ05_MICOH
OG0000007	sp|O95125|ZN202_HUMAN, sp|Q96IT1|ZN496_HUMAN, sp|Q9GZW5|SCND2_HUMAN, sp|Q6NSZ9|ZSC25_HUMAN, sp|O60304|ZN500_HUMAN, sp|O14771|ZN213_HUMAN, sp|O14978|ZN263_HUMAN, sp|Q9Y2L8|ZKSC5_HUMAN	tr|A0A8J6GIH9|A0A8J6GIH9_MICOH
OG0000007	sp|Q8N0Y2|ZN444_HUMAN, sp|Q9P0L1|ZKSC7_HUMAN, sp|Q6ZMS4|ZN852_HUMAN, sp|O14709|ZN197_HUMAN, sp|Q15697|ZN174_HUMAN, sp|Q53GI3|ZN394_HUMAN, sp|Q96SZ4|ZSC10_HUMAN, tr|A0A8I5KTY6|A0A8I5KTY6_HUMAN, tr|B7ZLF3|B7ZLF3_HUMAN, sp|Q96GC6|ZN274_HUMAN, sp|Q8TF39|ZN483_HUMAN, sp|Q9UL58|ZN215_HUMAN, sp|Q9HBT7|ZN287_HUMAN, sp|Q96MX3|ZNF48_HUMAN	tr|A0A8J6GGF9|A0A8J6GGF9_MICOH
OG0000007	sp|Q969J2|ZKSC4_HUMAN, sp|Q9BRR0|ZKSC3_HUMAN, sp|P17029|ZKSC1_HUMAN, sp|Q15776|ZKSC8_HUMAN	tr|A0A8J6GFT0|A0A8J6GFT0_MICOH
OG0000009	sp|P62424|RL7A_HUMAN	tr|A0A8J6GQ78|A0A8J6GQ78_MICOH, tr|A0A8J6G0S1|A0A8J6G0S1_MICOH, tr|A0A8J6FY43|A0A8J6FY43_MICOH, tr|A0A8J6GQX2|A0A8J6GQX2_MICOH, tr|A0A8J6GZX3|A0A8J6GZX3_MICOH, tr|A0A8J6FWF9|A0A8J6FWF9_MICOH, tr|A0A8J6GHB8|A0A8J6GHB8_MICOH, tr|A0A8J6KUJ0|A0A8J6KUJ0_MICOH, tr|A0A8J6GY49|A0A8J6GY49_MICOH, tr|A0A8J6GW27|A0A8J6GW27_MICOH, tr|A0A8J6KSS8|A0A8J6KSS8_MICOH, tr|A0A8J6H4B6|A0A8J6H4B6_MICOH, tr|A0A8J6KLQ7|A0A8J6KLQ7_MICOH, tr|A0A8J6KJC4|A0A8J6KJC4_MICOH, tr|A0A8J6GEM4|A0A8J6GEM4_MICOH, tr|A0A8J6GGY2|A0A8J6GGY2_MICOH, tr|A0A8J6KTC5|A0A8J6KTC5_MICOH, tr|A0A8J6H215|A0A8J6H215_MICOH, tr|A0A8J6GCJ9|A0A8J6GCJ9_MICOH, tr|A0A8J6GLY2|A0A8J6GLY2_MICOH, tr|A0A8J6GCG2|A0A8J6GCG2_MICOH, tr|A0A8J6H2Q7|A0A8J6H2Q7_MICOH, tr|A0A8J6L3H1|A0A8J6L3H1_MICOH, tr|A0A8J6KRS3|A0A8J6KRS3_MICOH, tr|A0A8J6L3H3|A0A8J6L3H3_MICOH, tr|A0A8J6KYQ2|A0A8J6KYQ2_MICOH, tr|A0A8J6GY24|A0A8J6GY24_MICOH, tr|A0A8J6KR91|A0A8J6KR91_MICOH, tr|A0A8J6GW35|A0A8J6GW35_MICOH, tr|A0A8J6H1X9|A0A8J6H1X9_MICOH, tr|A0A8J6KY79|A0A8J6KY79_MICOH, tr|A0A8J6H1S6|A0A8J6H1S6_MICOH, tr|A0A8J6L247|A0A8J6L247_MICOH, tr|A0A8J6KN83|A0A8J6KN83_MICOH, tr|A0A8J6GEN3|A0A8J6GEN3_MICOH, tr|A0A8J6KVG4|A0A8J6KVG4_MICOH, tr|A0A8J6L0J8|A0A8J6L0J8_MICOH, tr|A0A8J6L3I4|A0A8J6L3I4_MICOH, tr|A0A8J6GIN2|A0A8J6GIN2_MICOH, tr|A0A8J6L0C5|A0A8J6L0C5_MICOH, tr|A0A8J6GPC9|A0A8J6GPC9_MICOH
OG0000011	sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0JD37|TRDV3_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN	tr|A0A8J6KMB5|A0A8J6KMB5_MICOH, tr|A0A8J6G2H3|A0A8J6G2H3_MICOH
OG0000012	sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN	tr|A0A8J6KLW7|A0A8J6KLW7_MICOH, tr|A0A8J6KK87|A0A8J6KK87_MICOH
OG0000014	sp|Q9Y5I4|PCDC2_HUMAN, sp|Q9UN73|PCDA6_HUMAN, sp|Q9Y5H5|PCDA9_HUMAN, sp|Q9UN72|PCDA7_HUMAN, sp|Q9UN74|PCDA4_HUMAN, sp|Q9Y5H9|PCDA2_HUMAN, sp|Q9Y5I3|PCDA1_HUMAN, sp|Q9Y5H7|PCDA5_HUMAN, sp|Q9Y5I1|PCDAB_HUMAN, sp|Q9Y5I2|PCDAA_HUMAN, sp|Q9UN75|PCDAC_HUMAN, sp|Q9Y5I0|PCDAD_HUMAN, sp|Q9Y5H8|PCDA3_HUMAN, sp|Q9Y5H6|PCDA8_HUMAN, sp|Q9H158|PCDC1_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN	tr|A0A8J6GKN0|A0A8J6GKN0_MICOH
OG0000015	sp|Q9H342|O51J1_HUMAN	tr|A0A8J6GRM9|A0A8J6GRM9_MICOH
OG0000015	sp|Q9H344|O51I2_HUMAN	tr|A0A8J6GSJ5|A0A8J6GSJ5_MICOH
OG0000015	sp|Q9H343|O51I1_HUMAN	tr|A0A8J6GRF9|A0A8J6GRF9_MICOH
OG0000015	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8J6KXT1|A0A8J6KXT1_MICOH
OG0000015	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8J6KZG7|A0A8J6KZG7_MICOH
OG0000015	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8J6KRB0|A0A8J6KRB0_MICOH, tr|A0A8J6FX99|A0A8J6FX99_MICOH, tr|A0A8J6KV55|A0A8J6KV55_MICOH, tr|A0A8J6GIX2|A0A8J6GIX2_MICOH, tr|A0A8J6GNU0|A0A8J6GNU0_MICOH
OG0000015	sp|Q8NH63|O51H1_HUMAN	tr|A0A8J6FXT2|A0A8J6FXT2_MICOH, tr|A0A8J6KKX3|A0A8J6KKX3_MICOH, tr|A0A8J6KKQ5|A0A8J6KKQ5_MICOH, tr|A0A8J6KZH6|A0A8J6KZH6_MICOH, tr|A0A8J6KZB6|A0A8J6KZB6_MICOH, tr|A0A8J6L5F3|A0A8J6L5F3_MICOH
OG0000019	sp|Q6ZQV5|ZN788_HUMAN	tr|A0A8J6KV11|A0A8J6KV11_MICOH, tr|A0A8J6GK25|A0A8J6GK25_MICOH, tr|A0A8J6KWN4|A0A8J6KWN4_MICOH, tr|A0A8J6GAE8|A0A8J6GAE8_MICOH, tr|A0A8J6G9A6|A0A8J6G9A6_MICOH, tr|A0A8J6GCE9|A0A8J6GCE9_MICOH, tr|A0A8J6FVY4|A0A8J6FVY4_MICOH, tr|A0A8J6GRK3|A0A8J6GRK3_MICOH, tr|A0A8J6H174|A0A8J6H174_MICOH, tr|A0A8J6FYC7|A0A8J6FYC7_MICOH, tr|A0A8J6L2S9|A0A8J6L2S9_MICOH, tr|A0A8J6GVK4|A0A8J6GVK4_MICOH, tr|A0A8J6KX72|A0A8J6KX72_MICOH, tr|A0A8J6KYT4|A0A8J6KYT4_MICOH, tr|A0A8J6G9J9|A0A8J6G9J9_MICOH, tr|A0A8J6FXR4|A0A8J6FXR4_MICOH, tr|A0A8J6L479|A0A8J6L479_MICOH, tr|A0A8J6FWY1|A0A8J6FWY1_MICOH, tr|A0A8J6GA74|A0A8J6GA74_MICOH, tr|A0A8J6GAE2|A0A8J6GAE2_MICOH, tr|A0A8J6G5H8|A0A8J6G5H8_MICOH, tr|A0A8J6G4W2|A0A8J6G4W2_MICOH, tr|A0A8J6GJI5|A0A8J6GJI5_MICOH, tr|A0A8J6L2S7|A0A8J6L2S7_MICOH, tr|A0A8J6KRL4|A0A8J6KRL4_MICOH, tr|A0A8J6H297|A0A8J6H297_MICOH, tr|A0A8J6H4G6|A0A8J6H4G6_MICOH, tr|A0A8J6LAV6|A0A8J6LAV6_MICOH, tr|A0A8J6FYL5|A0A8J6FYL5_MICOH, tr|A0A8J6FYD0|A0A8J6FYD0_MICOH, tr|A0A8J6GA07|A0A8J6GA07_MICOH, tr|A0A8J6G2G1|A0A8J6G2G1_MICOH, tr|A0A8J6GTS2|A0A8J6GTS2_MICOH
