Orthogroup	Homo_sapiens	Neovison_vison
OG0000003	sp|Q8TCB6|O51E1_HUMAN	tr|A0A8C7BHR4|A0A8C7BHR4_NEOVI
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C7BXX0|A0A8C7BXX0_NEOVI, tr|A0A8C7BXV9|A0A8C7BXV9_NEOVI, tr|A0A8C7BNS7|A0A8C7BNS7_NEOVI
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A8C7A8N8|A0A8C7A8N8_NEOVI, tr|A0A8C6ZZ60|A0A8C6ZZ60_NEOVI, tr|A0A8C7A342|A0A8C7A342_NEOVI
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A8C7A4M3|A0A8C7A4M3_NEOVI, tr|A0A8C7EIJ5|A0A8C7EIJ5_NEOVI, tr|A0A8C6ZZ61|A0A8C6ZZ61_NEOVI
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A8C7EUE3|A0A8C7EUE3_NEOVI
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A8C7BHX2|A0A8C7BHX2_NEOVI
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C7BNY4|A0A8C7BNY4_NEOVI, tr|A0A8C7BW80|A0A8C7BW80_NEOVI, tr|A0A8C7BHZ9|A0A8C7BHZ9_NEOVI
OG0000003	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C7BKG0|A0A8C7BKG0_NEOVI
OG0000003	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C7EUL7|A0A8C7EUL7_NEOVI
OG0000004	sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN	tr|A0A8C7CHH2|A0A8C7CHH2_NEOVI, tr|A0A8C7EYD1|A0A8C7EYD1_NEOVI, tr|A0A8C7EY31|A0A8C7EY31_NEOVI
OG0000004	sp|Q8NH18|OR5J2_HUMAN	tr|A0A8C7C6E4|A0A8C7C6E4_NEOVI, tr|A0A8C7C5P1|A0A8C7C5P1_NEOVI, tr|A0A8C7EY33|A0A8C7EY33_NEOVI
OG0000004	sp|P0C626|OR5G3_HUMAN	tr|A0A8C7C3F0|A0A8C7C3F0_NEOVI, tr|A0A8C7C0H7|A0A8C7C0H7_NEOVI, tr|A0A8C7CHL3|A0A8C7CHL3_NEOVI, tr|A0A8C7CFG5|A0A8C7CFG5_NEOVI, tr|A0A8C7C9T3|A0A8C7C9T3_NEOVI
OG0000004	sp|Q8NH51|OR8K3_HUMAN	tr|A0A8C7C6F2|A0A8C7C6F2_NEOVI, tr|A0A8C7C3C7|A0A8C7C3C7_NEOVI
OG0000004	sp|Q8NH50|OR8K5_HUMAN	tr|A0A8C7C739|A0A8C7C739_NEOVI, tr|A0A8C7C5V8|A0A8C7C5V8_NEOVI
OG0000004	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A8C7EYD3|A0A8C7EYD3_NEOVI
OG0000004	sp|Q8NH85|OR5R1_HUMAN	tr|A0A8C7C5Q7|A0A8C7C5Q7_NEOVI, tr|A0A8C7C749|A0A8C7C749_NEOVI
OG0000004	sp|Q8NGG2|OR5T2_HUMAN	tr|A0A8C7C040|A0A8C7C040_NEOVI, tr|A0A8C7C073|A0A8C7C073_NEOVI
OG0000005	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8C7ADF7|A0A8C7ADF7_NEOVI, tr|A0A8C7AQW6|A0A8C7AQW6_NEOVI
OG0000005	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A8C7ADE7|A0A8C7ADE7_NEOVI, tr|A0A8C7AGV8|A0A8C7AGV8_NEOVI, tr|A0A8C7AEY6|A0A8C7AEY6_NEOVI, tr|A0A8C7AAA3|A0A8C7AAA3_NEOVI, tr|A0A8C7AB60|A0A8C7AB60_NEOVI, tr|A0A8C7AB49|A0A8C7AB49_NEOVI, tr|A0A8C7AFD8|A0A8C7AFD8_NEOVI, tr|A0A8C7A8Q4|A0A8C7A8Q4_NEOVI, tr|A0A8C7AJ85|A0A8C7AJ85_NEOVI, tr|A0A8C7EMS3|A0A8C7EMS3_NEOVI, tr|A0A8C7BK04|A0A8C7BK04_NEOVI, tr|A0A8C7AFG8|A0A8C7AFG8_NEOVI, tr|A0A8C7A727|A0A8C7A727_NEOVI, tr|A0A8C7B471|A0A8C7B471_NEOVI, tr|A0A8C7ADA2|A0A8C7ADA2_NEOVI, tr|A0A8C7BK13|A0A8C7BK13_NEOVI, tr|A0A8C7B877|A0A8C7B877_NEOVI, tr|A0A8C7B533|A0A8C7B533_NEOVI, tr|A0A8C7BHA5|A0A8C7BHA5_NEOVI, tr|A0A8C7ACZ3|A0A8C7ACZ3_NEOVI, tr|A0A8C7AQV8|A0A8C7AQV8_NEOVI, tr|A0A8C7ANA5|A0A8C7ANA5_NEOVI, tr|A0A8C7AF76|A0A8C7AF76_NEOVI, tr|A0A8C7A823|A0A8C7A823_NEOVI, tr|A0A8C7AN95|A0A8C7AN95_NEOVI, tr|A0A8C7AMR5|A0A8C7AMR5_NEOVI, tr|A0A8C7A8I5|A0A8C7A8I5_NEOVI, tr|A0A8C7A8J3|A0A8C7A8J3_NEOVI, tr|A0A8C7A9W7|A0A8C7A9W7_NEOVI, tr|A0A8C7AGW8|A0A8C7AGW8_NEOVI, tr|A0A8C7AMT9|A0A8C7AMT9_NEOVI
OG0000008	sp|Q8NGA0|OR7G1_HUMAN	tr|A0A8C7BI48|A0A8C7BI48_NEOVI, tr|A0A8C7B740|A0A8C7B740_NEOVI, tr|A0A8C7ES73|A0A8C7ES73_NEOVI
OG0000008	sp|Q6IFN5|O7E24_HUMAN	tr|A0A8C7BHZ0|A0A8C7BHZ0_NEOVI, tr|A0A8C7BKQ8|A0A8C7BKQ8_NEOVI, tr|A0A8C7B729|A0A8C7B729_NEOVI, tr|A0A8C7BCP5|A0A8C7BCP5_NEOVI, tr|A0A8C7B938|A0A8C7B938_NEOVI, tr|A0A8C7BZZ0|A0A8C7BZZ0_NEOVI, tr|A0A8C7BDX0|A0A8C7BDX0_NEOVI, tr|A0A8C7AV79|A0A8C7AV79_NEOVI, tr|A0A8C7AV89|A0A8C7AV89_NEOVI, tr|A0A8C7AVW1|A0A8C7AVW1_NEOVI, tr|A0A8C7BAK0|A0A8C7BAK0_NEOVI, tr|A0A8C7ADY6|A0A8C7ADY6_NEOVI, tr|A0A8C7EKY8|A0A8C7EKY8_NEOVI, tr|A0A8C7EWK0|A0A8C7EWK0_NEOVI, tr|A0A8C7AJG8|A0A8C7AJG8_NEOVI, tr|A0A8C7AIG5|A0A8C7AIG5_NEOVI, tr|A0A8C7ADE2|A0A8C7ADE2_NEOVI, tr|A0A8C7EMC2|A0A8C7EMC2_NEOVI, tr|A0A8C7BUM9|A0A8C7BUM9_NEOVI, tr|A0A8C7APN7|A0A8C7APN7_NEOVI, tr|A0A8C7A6R1|A0A8C7A6R1_NEOVI, tr|A0A8C7ELP3|A0A8C7ELP3_NEOVI, tr|A0A8C7ELW7|A0A8C7ELW7_NEOVI, tr|A0A8C7ELD0|A0A8C7ELD0_NEOVI, tr|A0A8C7AHM4|A0A8C7AHM4_NEOVI, tr|A0A8C7AKH7|A0A8C7AKH7_NEOVI, tr|A0A8C7A9H0|A0A8C7A9H0_NEOVI, tr|A0A8C7CBJ4|A0A8C7CBJ4_NEOVI, tr|A0A8C7C647|A0A8C7C647_NEOVI
OG0000011	sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN	tr|A0A8C7B299|A0A8C7B299_NEOVI
OG0000012	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A8C7BLH9|A0A8C7BLH9_NEOVI, tr|A0A8C7BW59|A0A8C7BW59_NEOVI
OG0000012	sp|P47890|OR1G1_HUMAN	tr|A0A8C7AG65|A0A8C7AG65_NEOVI
OG0000012	sp|O60431|OR1I1_HUMAN	tr|A0A8C7ALH5|A0A8C7ALH5_NEOVI, tr|A0A8C7AWV6|A0A8C7AWV6_NEOVI
OG0000012	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A8C7AG10|A0A8C7AG10_NEOVI, tr|A0A8C7AXM0|A0A8C7AXM0_NEOVI, tr|A0A8C7AXK9|A0A8C7AXK9_NEOVI
OG0000012	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A8C7AWF6|A0A8C7AWF6_NEOVI
OG0000012	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A8C7B114|A0A8C7B114_NEOVI
OG0000012	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A8C7ATG3|A0A8C7ATG3_NEOVI
OG0000012	sp|Q8NH06|OR1P1_HUMAN	tr|A0A8C7BBF8|A0A8C7BBF8_NEOVI, tr|A0A8C7ADJ9|A0A8C7ADJ9_NEOVI
OG0000012	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A8C7AWS2|A0A8C7AWS2_NEOVI, tr|A0A8C7AAR4|A0A8C7AAR4_NEOVI
OG0000013	sp|Q9BR84|ZN559_HUMAN	tr|A0A8C7CBL4|A0A8C7CBL4_NEOVI
OG0000013	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8C7B8G3|A0A8C7B8G3_NEOVI
OG0000013	sp|Q9HCL3|ZFP14_HUMAN, sp|Q8N141|ZFP82_HUMAN	tr|A0A8C7BCC6|A0A8C7BCC6_NEOVI
OG0000013	sp|Q96SK3|ZN607_HUMAN	tr|A0A8C7BAY4|A0A8C7BAY4_NEOVI, tr|A0A8C7AVX5|A0A8C7AVX5_NEOVI, tr|A0A8C7APX3|A0A8C7APX3_NEOVI
OG0000013	sp|P17039|ZNF30_HUMAN	tr|A0A8C7BIB0|A0A8C7BIB0_NEOVI
OG0000013	sp|P52738|ZN140_HUMAN	tr|A0A8C7BWZ9|A0A8C7BWZ9_NEOVI
OG0000013	sp|P17027|ZNF23_HUMAN	tr|A0A8C7BI59|A0A8C7BI59_NEOVI, tr|A0A8C7B555|A0A8C7B555_NEOVI, tr|A0A8C7B0V2|A0A8C7B0V2_NEOVI, tr|A0A8C7AFY3|A0A8C7AFY3_NEOVI
OG0000013	sp|P15622|ZN250_HUMAN	tr|A0A8C7C5L4|A0A8C7C5L4_NEOVI, tr|A0A8C7CFT4|A0A8C7CFT4_NEOVI
OG0000013	sp|Q147U1|ZN846_HUMAN	tr|A0A8C7AXE6|A0A8C7AXE6_NEOVI, tr|A0A8C7CDT9|A0A8C7CDT9_NEOVI
OG0000015	sp|Q9H7L2|KI3X1_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN	tr|A0A8C7BGA4|A0A8C7BGA4_NEOVI
OG0000017	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8C7AWD7|A0A8C7AWD7_NEOVI, tr|A0A8C7A7Y1|A0A8C7A7Y1_NEOVI, tr|A0A8C7BW46|A0A8C7BW46_NEOVI, tr|A0A8C7AGC6|A0A8C7AGC6_NEOVI, tr|A0A8C7ABX5|A0A8C7ABX5_NEOVI, tr|A0A8C7A7Z1|A0A8C7A7Z1_NEOVI, tr|A0A8C7EJN2|A0A8C7EJN2_NEOVI, tr|A0A8C7C1C2|A0A8C7C1C2_NEOVI, tr|A0A8C7BZA6|A0A8C7BZA6_NEOVI, tr|A0A8C7ACF8|A0A8C7ACF8_NEOVI, tr|A0A8C7CAR0|A0A8C7CAR0_NEOVI, tr|A0A8C7A7V7|A0A8C7A7V7_NEOVI, tr|A0A8C7C1D7|A0A8C7C1D7_NEOVI, tr|A0A8C7C1A2|A0A8C7C1A2_NEOVI, tr|A0A8C7EX81|A0A8C7EX81_NEOVI, tr|A0A8C7EXG9|A0A8C7EXG9_NEOVI, tr|A0A8C7C5D4|A0A8C7C5D4_NEOVI, tr|A0A8C7C5B2|A0A8C7C5B2_NEOVI, tr|A0A8C7AEB7|A0A8C7AEB7_NEOVI, tr|A0A8C7A8G3|A0A8C7A8G3_NEOVI, tr|A0A8C7EXG4|A0A8C7EXG4_NEOVI, tr|A0A8C7AEM3|A0A8C7AEM3_NEOVI, tr|A0A8C7C2V8|A0A8C7C2V8_NEOVI, tr|A0A8C7EX69|A0A8C7EX69_NEOVI
OG0000019	sp|Q6NSI1|AR26L_HUMAN, sp|Q92527|ANKR7_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q562R1|ACTBL_HUMAN	tr|A0A8C7A625|A0A8C7A625_NEOVI
OG0000020	sp|Q9Y5F8|PCDGJ_HUMAN	tr|A0A8C7B2C4|A0A8C7B2C4_NEOVI
OG0000020	sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A8C7EQN2|A0A8C7EQN2_NEOVI
OG0000021	sp|Q9HCX3|ZN304_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A8C7ER47|A0A8C7ER47_NEOVI
OG0000022	sp|Q8N1N4|K2C78_HUMAN	tr|A0A8C7BYV8|A0A8C7BYV8_NEOVI
OG0000022	sp|P19013|K2C4_HUMAN	tr|A0A8C7C0X4|A0A8C7C0X4_NEOVI
OG0000022	sp|P08729|K2C7_HUMAN	tr|A0A8C7EXE5|A0A8C7EXE5_NEOVI, tr|A0A8C7BVK8|A0A8C7BVK8_NEOVI, tr|A0A8C7EXE1|A0A8C7EXE1_NEOVI, tr|A0A8C7EKP7|A0A8C7EKP7_NEOVI, tr|A0A8C7AKW6|A0A8C7AKW6_NEOVI, tr|A0A8C7ADX5|A0A8C7ADX5_NEOVI, tr|A0A8C7EKE5|A0A8C7EKE5_NEOVI, tr|A0A8C7C4S1|A0A8C7C4S1_NEOVI, tr|A0A8C7ALE3|A0A8C7ALE3_NEOVI, tr|A0A8C7AA75|A0A8C7AA75_NEOVI
OG0000022	sp|Q7Z794|K2C1B_HUMAN	tr|A0A8C7C1T8|A0A8C7C1T8_NEOVI, tr|A0A8C7BVS1|A0A8C7BVS1_NEOVI, tr|A0A8C7C1P9|A0A8C7C1P9_NEOVI, tr|A0A8C7C2J1|A0A8C7C2J1_NEOVI
OG0000023	sp|P62750|RL23A_HUMAN	tr|A0A8C7BBH3|A0A8C7BBH3_NEOVI, tr|A0A8C7A004|A0A8C7A004_NEOVI, tr|A0A8C7BPF4|A0A8C7BPF4_NEOVI, tr|A0A8C7AD36|A0A8C7AD36_NEOVI, tr|A0A8C7BGZ8|A0A8C7BGZ8_NEOVI, tr|A0A8C7EMN3|A0A8C7EMN3_NEOVI, tr|A0A8C7ANJ4|A0A8C7ANJ4_NEOVI, tr|A0A8C6ZYF0|A0A8C6ZYF0_NEOVI, tr|A0A8C7EPQ1|A0A8C7EPQ1_NEOVI, tr|A0A8C7BZM9|A0A8C7BZM9_NEOVI, tr|A0A8C7BDM4|A0A8C7BDM4_NEOVI, tr|A0A8C7AF26|A0A8C7AF26_NEOVI, tr|A0A8C7AIW2|A0A8C7AIW2_NEOVI, tr|A0A8C7A8Q7|A0A8C7A8Q7_NEOVI, tr|A0A8C7BAC1|A0A8C7BAC1_NEOVI, tr|A0A8C7B438|A0A8C7B438_NEOVI, tr|A0A8C7C3H7|A0A8C7C3H7_NEOVI, tr|A0A8C7AIA5|A0A8C7AIA5_NEOVI, tr|A0A8C7AWQ5|A0A8C7AWQ5_NEOVI, tr|A0A8C7EIM0|A0A8C7EIM0_NEOVI, tr|A0A8C7AS54|A0A8C7AS54_NEOVI, tr|A0A8C7EQK8|A0A8C7EQK8_NEOVI, tr|A0A8C7A8H7|A0A8C7A8H7_NEOVI
OG0000024	sp|Q5MJ68|SPDYC_HUMAN, sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN	tr|A0A8C7BFV0|A0A8C7BFV0_NEOVI
OG0000025	sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN	tr|A0A8C7AVN2|A0A8C7AVN2_NEOVI
OG0000026	sp|P29322|EPHA8_HUMAN	tr|A0A8C7CAE1|A0A8C7CAE1_NEOVI
OG0000026	sp|P54762|EPHB1_HUMAN	tr|A0A8C7BKB3|A0A8C7BKB3_NEOVI
OG0000026	sp|P29323|EPHB2_HUMAN	tr|A0A8C7BU74|A0A8C7BU74_NEOVI
OG0000026	sp|P54753|EPHB3_HUMAN	tr|A0A8C7ERE5|A0A8C7ERE5_NEOVI
OG0000026	sp|P54760|EPHB4_HUMAN	tr|A0A8C7EIZ1|A0A8C7EIZ1_NEOVI
OG0000026	sp|P54764|EPHA4_HUMAN	tr|A0A8C7A1E8|A0A8C7A1E8_NEOVI
OG0000026	sp|Q15375|EPHA7_HUMAN	tr|A0A8C7A1G0|A0A8C7A1G0_NEOVI
OG0000026	sp|Q5JZY3|EPHAA_HUMAN	tr|A0A8C7EQS7|A0A8C7EQS7_NEOVI
