Orthogroup	Homo_sapiens	Vicugna_pacos
OG0000006	sp|P12018|VPREB_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|P01701|LV151_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|Q99603|TRGV9_HUMAN	tr|A0A6J3ABH5|A0A6J3ABH5_VICPA
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6I9I7U3|A0A6I9I7U3_VICPA
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A6I9I630|A0A6I9I630_VICPA, tr|A0A6I9I4U0|A0A6I9I4U0_VICPA, tr|A0A6I9I7M4|A0A6I9I7M4_VICPA
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A6I9ISP8|A0A6I9ISP8_VICPA, tr|A0A6J3AQN8|A0A6J3AQN8_VICPA
OG0000007	sp|Q8NH61|O51F2_HUMAN	tr|A0A6J0AJI0|A0A6J0AJI0_VICPA
OG0000007	sp|A6NGY5|O51F1_HUMAN	tr|A0A6I9I7S0|A0A6I9I7S0_VICPA, tr|A0A6J0AIB1|A0A6J0AIB1_VICPA
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6I9I4S3|A0A6I9I4S3_VICPA, tr|A0A6I9I6G3|A0A6I9I6G3_VICPA, tr|A0A6I9I4A5|A0A6I9I4A5_VICPA, tr|A0A6I9I610|A0A6I9I610_VICPA, tr|A0A6J0AJG2|A0A6J0AJG2_VICPA
OG0000007	sp|Q9H341|O51M1_HUMAN	tr|A0A6I9I557|A0A6I9I557_VICPA
OG0000007	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6I9I7E5|A0A6I9I7E5_VICPA
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|A0A6I9I615|A0A6I9I615_VICPA
OG0000007	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6I9I4B5|A0A6I9I4B5_VICPA
OG0000007	sp|Q9H2C8|O51V1_HUMAN	tr|A0A6I9I6H7|A0A6I9I6H7_VICPA, tr|A0A6J3ASS0|A0A6J3ASS0_VICPA, tr|A0A6I9I7T7|A0A6I9I7T7_VICPA
OG0000008	sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN	tr|A0A6J3A6K7|A0A6J3A6K7_VICPA
OG0000010	sp|Q8NH55|O52E5_HUMAN	tr|A0A6I9I7U8|A0A6I9I7U8_VICPA
OG0000010	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A6I9I7S5|A0A6I9I7S5_VICPA
OG0000010	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A6I9I6G8|A0A6I9I6G8_VICPA, tr|A0A6J0B249|A0A6J0B249_VICPA, tr|A0A6J0AGG6|A0A6J0AGG6_VICPA
OG0000010	sp|Q8NH60|O52J3_HUMAN	tr|A0A6I9I4T1|A0A6I9I4T1_VICPA, tr|A0A6I9I620|A0A6I9I620_VICPA
OG0000010	sp|Q96RD2|O52B2_HUMAN	tr|A0A6J0AGH7|A0A6J0AGH7_VICPA
OG0000010	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A6J0AIC0|A0A6J0AIC0_VICPA, tr|A0A6J0AHQ4|A0A6J0AHQ4_VICPA, tr|A0A6I9I7M9|A0A6I9I7M9_VICPA, tr|A0A6J0AJG6|A0A6J0AJG6_VICPA
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN	tr|A0A6J3AGD2|A0A6J3AGD2_VICPA
OG0000013	sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN	tr|A0A6I9IGQ6|A0A6I9IGQ6_VICPA, tr|A0A6I9IJ80|A0A6I9IJ80_VICPA
OG0000013	sp|Q8NG97|OR2Z1_HUMAN	tr|A0A6I9I8Z6|A0A6I9I8Z6_VICPA
OG0000013	sp|Q8NHA4|O2AE1_HUMAN	tr|A0A6J3A1D5|A0A6J3A1D5_VICPA, tr|A0A6J0B5W0|A0A6J0B5W0_VICPA, tr|A0A6I9IR04|A0A6I9IR04_VICPA, tr|A0A6J3A0Y0|A0A6J3A0Y0_VICPA, tr|A0A6I9IV56|A0A6I9IV56_VICPA, tr|A0A6J3AI93|A0A6J3AI93_VICPA, tr|A0A6J3AHN7|A0A6J3AHN7_VICPA, tr|A0A6I9IRS6|A0A6I9IRS6_VICPA, tr|A0A6I9IUV7|A0A6I9IUV7_VICPA, tr|A0A6I9ISB7|A0A6I9ISB7_VICPA, tr|A0A6J0B686|A0A6J0B686_VICPA, tr|A0A6J0B4B5|A0A6J0B4B5_VICPA, tr|A0A6J0B1J0|A0A6J0B1J0_VICPA, tr|A0A6J0B1S5|A0A6J0B1S5_VICPA, tr|A0A6J0AVY5|A0A6J0AVY5_VICPA, tr|A0A6I9IU03|A0A6I9IU03_VICPA, tr|A0A6J0B5T6|A0A6J0B5T6_VICPA
OG0000014	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN	tr|A0A6J3AVF3|A0A6J3AVF3_VICPA
OG0000015	sp|Q9HCX3|ZN304_HUMAN	tr|A0A6I9ILQ2|A0A6I9ILQ2_VICPA
OG0000015	sp|P52740|ZN132_HUMAN	tr|A0A6J3AEB8|A0A6J3AEB8_VICPA, tr|A0A6J3AYD4|A0A6J3AYD4_VICPA, tr|A0A6J3AFD5|A0A6J3AFD5_VICPA, tr|A0A6J3AFE0|A0A6J3AFE0_VICPA, tr|A0A6J3AGX4|A0A6J3AGX4_VICPA, tr|A0A6J3AC65|A0A6J3AC65_VICPA, tr|A0A6J0B4S5|A0A6J0B4S5_VICPA, tr|A0A6J3AFF2|A0A6J3AFF2_VICPA, tr|A0A6J3AFE9|A0A6J3AFE9_VICPA, tr|A0A6J0B347|A0A6J0B347_VICPA, tr|A0A6J3A747|A0A6J3A747_VICPA, tr|A0A6J3A3P7|A0A6J3A3P7_VICPA, tr|A0A6J3A170|A0A6J3A170_VICPA, tr|A0A6J3ADZ2|A0A6J3ADZ2_VICPA, tr|A0A6J3AWJ1|A0A6J3AWJ1_VICPA, tr|A0A6J3AZV4|A0A6J3AZV4_VICPA, tr|A0A6J0AXC4|A0A6J0AXC4_VICPA, tr|A0A6J3ASG7|A0A6J3ASG7_VICPA, tr|A0A6J0AXC8|A0A6J0AXC8_VICPA, tr|A0A6J3AVZ7|A0A6J3AVZ7_VICPA, tr|A0A6J3AWX8|A0A6J3AWX8_VICPA, tr|A0A6J3A227|A0A6J3A227_VICPA, tr|A0A6J3AWJ6|A0A6J3AWJ6_VICPA, tr|A0A6J3AUJ6|A0A6J3AUJ6_VICPA, tr|A0A6I9ITQ1|A0A6I9ITQ1_VICPA
OG0000016	sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J248|TVA11_HUMAN	tr|A0A6J3ALH5|A0A6J3ALH5_VICPA
OG0000017	sp|A2A368|MAGBG_HUMAN	tr|A0A6I9ISP3|A0A6I9ISP3_VICPA, tr|A0A6J3A5X6|A0A6J3A5X6_VICPA, tr|A0A6J3A666|A0A6J3A666_VICPA, tr|A0A6J3A7A0|A0A6J3A7A0_VICPA, tr|A0A6J0B0A9|A0A6J0B0A9_VICPA, tr|A0A6J3A661|A0A6J3A661_VICPA, tr|A0A6I9IRY6|A0A6I9IRY6_VICPA, tr|A0A6J3A4J4|A0A6J3A4J4_VICPA, tr|A0A6J3A5X1|A0A6J3A5X1_VICPA, tr|A0A6J3A8V4|A0A6J3A8V4_VICPA, tr|A0A6J3A8M4|A0A6J3A8M4_VICPA, tr|A0A6J3A676|A0A6J3A676_VICPA, tr|A0A6J0ANW0|A0A6J0ANW0_VICPA, tr|A0A6J3A4I5|A0A6J3A4I5_VICPA, tr|A0A6J0AYH5|A0A6J0AYH5_VICPA, tr|A0A6J3A188|A0A6J3A188_VICPA, tr|A0A6J3A1D0|A0A6J3A1D0_VICPA, tr|A0A6I9ILN6|A0A6I9ILN6_VICPA, tr|A0A6J3AE21|A0A6J3AE21_VICPA, tr|A0A6J3A3F2|A0A6J3A3F2_VICPA, tr|A0A6J3A843|A0A6J3A843_VICPA, tr|A0A6J3A299|A0A6J3A299_VICPA, tr|A0A6J0B4K3|A0A6J0B4K3_VICPA, tr|A0A6J3A295|A0A6J3A295_VICPA, tr|A0A6I9IUW8|A0A6I9IUW8_VICPA
OG0000020	sp|A6NL26|OR5BL_HUMAN	tr|A0A6I9IJY5|A0A6I9IJY5_VICPA, tr|A0A6J3A4I4|A0A6J3A4I4_VICPA, tr|A0A6I9IMF4|A0A6I9IMF4_VICPA, tr|A0A6I9IJN7|A0A6I9IJN7_VICPA, tr|A0A6J3BKZ7|A0A6J3BKZ7_VICPA, tr|A0A6J3BMJ2|A0A6J3BMJ2_VICPA, tr|A0A6J2ZZH1|A0A6J2ZZH1_VICPA, tr|A0A6J0B3Y8|A0A6J0B3Y8_VICPA, tr|A0A6I9IIX6|A0A6I9IIX6_VICPA, tr|A0A6I9IIX1|A0A6I9IIX1_VICPA, tr|A0A6J3A642|A0A6J3A642_VICPA, tr|A0A6J0AUR8|A0A6J0AUR8_VICPA, tr|A0A6J0AXA7|A0A6J0AXA7_VICPA, tr|A0A6J0AXB2|A0A6J0AXB2_VICPA, tr|A0A6I9IJQ8|A0A6I9IJQ8_VICPA, tr|A0A6J0AYZ6|A0A6J0AYZ6_VICPA, tr|A0A6I9IMI4|A0A6I9IMI4_VICPA, tr|A0A6J0AWX0|A0A6J0AWX0_VICPA, tr|A0A6J0AVI6|A0A6J0AVI6_VICPA, tr|A0A6I9ISI4|A0A6I9ISI4_VICPA, tr|A0A6J3BL03|A0A6J3BL03_VICPA, tr|A0A6J0AZ02|A0A6J0AZ02_VICPA, tr|A0A6I9IIT4|A0A6I9IIT4_VICPA, tr|A0A6J3BPQ8|A0A6J3BPQ8_VICPA
OG0000021	sp|A6NLX3|SPDE4_HUMAN	tr|A0A6J3AG04|A0A6J3AG04_VICPA
OG0000021	sp|Q495Y7|SPDE7_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN	tr|A0A6J3BL27|A0A6J3BL27_VICPA
OG0000022	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN	tr|A0A6I9I6E1|A0A6I9I6E1_VICPA
OG0000023	sp|P30954|O10J1_HUMAN	tr|A0A6I9IM74|A0A6I9IM74_VICPA
OG0000023	sp|Q8NGX6|O10R2_HUMAN	tr|A0A6J0B0U9|A0A6J0B0U9_VICPA, tr|A0A6I9IM52|A0A6I9IM52_VICPA, tr|A0A6I9IPY0|A0A6I9IPY0_VICPA, tr|A0A6I9IL43|A0A6I9IL43_VICPA
OG0000023	sp|Q8NGX3|O10T2_HUMAN	tr|A0A6I9IM07|A0A6I9IM07_VICPA, tr|A0A6I9IPR8|A0A6I9IPR8_VICPA
OG0000023	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A6J3BFS7|A0A6J3BFS7_VICPA
OG0000023	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|A0A6I9IPU7|A0A6I9IPU7_VICPA
OG0000024	sp|Q7L7L0|H2A3_HUMAN	tr|A0A6J0B381|A0A6J0B381_VICPA
OG0000024	sp|Q93077|H2A1C_HUMAN	tr|A0A6I9IR61|A0A6I9IR61_VICPA
OG0000024	sp|Q6FI13|H2A2A_HUMAN	tr|A0A6I9IUV8|A0A6I9IUV8_VICPA
OG0000024	sp|Q8IUE6|H2A2B_HUMAN	tr|A0A6J3BEV9|A0A6J3BEV9_VICPA
OG0000024	sp|Q96QV6|H2A1A_HUMAN	tr|A0A6J3BCE1|A0A6J3BCE1_VICPA, tr|A0A6I9IR69|A0A6I9IR69_VICPA, tr|A0A6I9HZX3|A0A6I9HZX3_VICPA, tr|A0A6J3BCT3|A0A6J3BCT3_VICPA
OG0000024	sp|Q9BTM1|H2AJ_HUMAN	tr|A0A6I9HZY4|A0A6I9HZY4_VICPA
OG0000024	sp|Q16777|H2A2C_HUMAN	tr|A0A6I9INK2|A0A6I9INK2_VICPA
OG0000026	sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN	tr|A0A6I9HWP3|A0A6I9HWP3_VICPA
OG0000029	sp|A6NNH2|F90AR_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN	tr|A0A6J3BRR1|A0A6J3BRR1_VICPA
OG0000031	sp|O95007|OR6B1_HUMAN	tr|A0A6I9IDL3|A0A6I9IDL3_VICPA
OG0000031	sp|Q8NGX9|OR6P1_HUMAN	tr|A0A6I9I4W8|A0A6I9I4W8_VICPA, tr|A0A6J3ASR5|A0A6J3ASR5_VICPA, tr|A0A6I9IL00|A0A6I9IL00_VICPA
OG0000031	sp|O95222|OR6A2_HUMAN	tr|A0A6I9IA63|A0A6I9IA63_VICPA, tr|A0A6I9I6J0|A0A6I9I6J0_VICPA
