Orthogroup	Homo_sapiens	Theropithecus_gelada
OG0000003	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8D2F8L4|A0A8D2F8L4_THEGE
OG0000003	sp|Q8NGC6|OR4KH_HUMAN	tr|A0A8D2F7I9|A0A8D2F7I9_THEGE
OG0000003	sp|Q96R72|OR4K3_HUMAN	tr|A0A8D2F892|A0A8D2F892_THEGE
OG0000003	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A8D2FAA3|A0A8D2FAA3_THEGE, tr|A0A8D2F7J8|A0A8D2F7J8_THEGE
OG0000003	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A8D2FAZ9|A0A8D2FAZ9_THEGE
OG0000003	sp|Q8NH41|OR4KF_HUMAN	tr|A0A8D2K1C2|A0A8D2K1C2_THEGE
OG0000003	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A8D2FA50|A0A8D2FA50_THEGE
OG0000004	sp|Q86U02|CN165_HUMAN	tr|A0A8D2FIN0|A0A8D2FIN0_THEGE, tr|A0A8D2FTU2|A0A8D2FTU2_THEGE, tr|A0A8D2GBZ3|A0A8D2GBZ3_THEGE, tr|A0A8D2F7I0|A0A8D2F7I0_THEGE, tr|A0A8D2FQL1|A0A8D2FQL1_THEGE, tr|A0A8D2EVW2|A0A8D2EVW2_THEGE, tr|A0A8D2FY70|A0A8D2FY70_THEGE, tr|A0A8D2EY98|A0A8D2EY98_THEGE, tr|A0A8D2JTM1|A0A8D2JTM1_THEGE, tr|A0A8D2F8A5|A0A8D2F8A5_THEGE, tr|A0A8D2E7M5|A0A8D2E7M5_THEGE, tr|A0A8D2EJ51|A0A8D2EJ51_THEGE, tr|A0A8D2FVL6|A0A8D2FVL6_THEGE, tr|A0A8D2FW83|A0A8D2FW83_THEGE, tr|A0A8D2E4Y4|A0A8D2E4Y4_THEGE, tr|A0A8D2GCJ5|A0A8D2GCJ5_THEGE, tr|A0A8D2ELH5|A0A8D2ELH5_THEGE, tr|A0A8D2GKP5|A0A8D2GKP5_THEGE, tr|A0A8D2F6H7|A0A8D2F6H7_THEGE, tr|A0A8D2FXB7|A0A8D2FXB7_THEGE, tr|A0A8D2F415|A0A8D2F415_THEGE, tr|A0A8D2E9B1|A0A8D2E9B1_THEGE, tr|A0A8D2FEY9|A0A8D2FEY9_THEGE, tr|A0A8D2G673|A0A8D2G673_THEGE, tr|A0A8D2E8P2|A0A8D2E8P2_THEGE, tr|A0A8D2GLK3|A0A8D2GLK3_THEGE, tr|A0A8D2E5I8|A0A8D2E5I8_THEGE, tr|A0A8D2GHT6|A0A8D2GHT6_THEGE, tr|A0A8D2K7U2|A0A8D2K7U2_THEGE, tr|A0A8D2GIV0|A0A8D2GIV0_THEGE, tr|A0A8D2EL81|A0A8D2EL81_THEGE, tr|A0A8D2GN77|A0A8D2GN77_THEGE, tr|A0A8D2E666|A0A8D2E666_THEGE, tr|A0A8D2FI71|A0A8D2FI71_THEGE, tr|A0A8D2G576|A0A8D2G576_THEGE, tr|A0A8D2K1Z2|A0A8D2K1Z2_THEGE
OG0000006	sp|Q8N628|OR2C3_HUMAN	tr|A0A8D2FQR8|A0A8D2FQR8_THEGE
OG0000006	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A8D2EHJ0|A0A8D2EHJ0_THEGE
OG0000006	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A8D2K4T7|A0A8D2K4T7_THEGE, tr|A0A8D2EB81|A0A8D2EB81_THEGE
OG0000006	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A8D2FI52|A0A8D2FI52_THEGE
OG0000006	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A8D2FSV9|A0A8D2FSV9_THEGE, tr|A0A8D2K2W4|A0A8D2K2W4_THEGE
OG0000006	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A8D2FSD0|A0A8D2FSD0_THEGE
OG0000006	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A8D2FJZ8|A0A8D2FJZ8_THEGE
OG0000006	sp|O95371|OR2C1_HUMAN	tr|A0A8D2G9W7|A0A8D2G9W7_THEGE
OG0000006	sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A8D2EE41|A0A8D2EE41_THEGE, tr|A0A8D2FKK4|A0A8D2FKK4_THEGE
OG0000006	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A8D2GCH2|A0A8D2GCH2_THEGE, tr|A0A8D2FKF0|A0A8D2FKF0_THEGE, tr|A0A8D2ECQ1|A0A8D2ECQ1_THEGE, tr|A0A8D2EE68|A0A8D2EE68_THEGE, tr|A0A8D2EFX9|A0A8D2EFX9_THEGE, tr|A0A8D2EDU8|A0A8D2EDU8_THEGE, tr|A0A8D2FJJ9|A0A8D2FJJ9_THEGE
OG0000007	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A8D2FUT1|A0A8D2FUT1_THEGE
OG0000007	sp|O43749|OR1F1_HUMAN	tr|A0A8D2K8R9|A0A8D2K8R9_THEGE
OG0000007	sp|Q96R84|OR1F2_HUMAN	tr|A0A8D2G9T5|A0A8D2G9T5_THEGE
OG0000007	sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN	tr|A0A8D2FUJ7|A0A8D2FUJ7_THEGE
OG0000010	sp|P17024|ZNF20_HUMAN	tr|A0A8D2GGS8|A0A8D2GGS8_THEGE
OG0000010	sp|Q96BR6|ZN669_HUMAN	tr|A0A8D2FLS1|A0A8D2FLS1_THEGE
OG0000010	sp|Q9BS34|ZN670_HUMAN	tr|A0A8D2FLH3|A0A8D2FLH3_THEGE, tr|A0A8D2FPB9|A0A8D2FPB9_THEGE
OG0000010	sp|Q8TBZ8|ZN564_HUMAN	tr|A0A8D2JU25|A0A8D2JU25_THEGE
OG0000010	sp|Q8N972|ZN709_HUMAN	tr|A0A8D2E6C0|A0A8D2E6C0_THEGE
OG0000010	sp|Q3KP31|ZN791_HUMAN	tr|A0A8D2E6R8|A0A8D2E6R8_THEGE
OG0000010	sp|C9JN71|ZN878_HUMAN	tr|A0A8D2FMM9|A0A8D2FMM9_THEGE, tr|A0A8D2E5S1|A0A8D2E5S1_THEGE, tr|A0A8D2G8V0|A0A8D2G8V0_THEGE, tr|A0A8D2FMG7|A0A8D2FMG7_THEGE, tr|A0A8D2GGE6|A0A8D2GGE6_THEGE, tr|A0A8D2GI53|A0A8D2GI53_THEGE
OG0000010	sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN	tr|A0A8D2K9N4|A0A8D2K9N4_THEGE
OG0000014	sp|Q8N7M2|ZN283_HUMAN	tr|A0A8D2FJY7|A0A8D2FJY7_THEGE
OG0000014	sp|Q09FC8|ZN415_HUMAN	tr|A0A8D2EL69|A0A8D2EL69_THEGE, tr|A0A8D2JWR6|A0A8D2JWR6_THEGE, tr|A0A8D2G030|A0A8D2G030_THEGE, tr|A0A8D2EJ05|A0A8D2EJ05_THEGE, tr|A0A8D2EL37|A0A8D2EL37_THEGE, tr|A0A8D2JX98|A0A8D2JX98_THEGE, tr|A0A8D2EHP0|A0A8D2EHP0_THEGE, tr|A0A8D2EIU3|A0A8D2EIU3_THEGE, tr|A0A8D2ETQ3|A0A8D2ETQ3_THEGE, tr|A0A8D2JX87|A0A8D2JX87_THEGE, tr|A0A8D2EJA7|A0A8D2EJA7_THEGE, tr|A0A8D2FUS7|A0A8D2FUS7_THEGE, tr|A0A8D2EKG2|A0A8D2EKG2_THEGE, tr|A0A8D2ELZ1|A0A8D2ELZ1_THEGE, tr|A0A8D2EC10|A0A8D2EC10_THEGE, tr|A0A8D2EIS3|A0A8D2EIS3_THEGE, tr|A0A8D2EIW4|A0A8D2EIW4_THEGE, tr|A0A8D2EHV9|A0A8D2EHV9_THEGE, tr|A0A8D2EJE7|A0A8D2EJE7_THEGE, tr|A0A8D2ELW1|A0A8D2ELW1_THEGE, tr|A0A8D2EIL8|A0A8D2EIL8_THEGE, tr|A0A8D2EIH0|A0A8D2EIH0_THEGE
OG0000017	sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN	tr|A0A8D2GEI1|A0A8D2GEI1_THEGE
OG0000018	sp|P0DUD2|SPD17_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN	tr|A0A8D2EC29|A0A8D2EC29_THEGE
OG0000018	sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN	tr|A0A8D2FPS6|A0A8D2FPS6_THEGE
OG0000019	sp|Q6S8J7|POTEA_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN	tr|A0A8D2F482|A0A8D2F482_THEGE
OG0000020	sp|Q9H344|O51I2_HUMAN	tr|A0A8D2FQ97|A0A8D2FQ97_THEGE
OG0000020	sp|Q9H341|O51M1_HUMAN	tr|A0A8D2G047|A0A8D2G047_THEGE
OG0000020	sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8D2G324|A0A8D2G324_THEGE
OG0000020	sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A8D2G0Y7|A0A8D2G0Y7_THEGE
OG0000020	sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A8D2G5A9|A0A8D2G5A9_THEGE
OG0000021	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NH73|OR4S2_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|A6NMZ5|O4C45_HUMAN	tr|A0A8D2FXT9|A0A8D2FXT9_THEGE
OG0000022	sp|A0A0C4DH39|HV158_HUMAN	tr|A0A8D2F9N5|A0A8D2F9N5_THEGE
OG0000022	sp|A0A0A0MS14|HV145_HUMAN	tr|A0A8D2F8L6|A0A8D2F8L6_THEGE
OG0000022	sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, sp|P01743|HV146_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN	tr|A0A8D2K1R4|A0A8D2K1R4_THEGE, tr|A0A8D2F9Y5|A0A8D2F9Y5_THEGE
OG0000026	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN	tr|A0A8D2E7Q3|A0A8D2E7Q3_THEGE, tr|A0A8D2E6M9|A0A8D2E6M9_THEGE, tr|A0A8D2E4Q2|A0A8D2E4Q2_THEGE
OG0000026	sp|P35908|K22E_HUMAN	tr|A0A8D2ELD3|A0A8D2ELD3_THEGE
OG0000026	sp|P04264|K2C1_HUMAN	tr|A0A8D2EQQ5|A0A8D2EQQ5_THEGE
OG0000026	sp|Q01546|K22O_HUMAN	tr|A0A8D2EN47|A0A8D2EN47_THEGE
OG0000026	sp|P12035|K2C3_HUMAN	tr|A0A8D2ELG9|A0A8D2ELG9_THEGE
OG0000026	sp|Q5XKE5|K2C79_HUMAN	tr|A0A8D2JXL3|A0A8D2JXL3_THEGE
OG0000026	sp|P13647|K2C5_HUMAN	tr|A0A8D2ELU2|A0A8D2ELU2_THEGE
OG0000026	sp|O95678|K2C75_HUMAN	tr|A0A8D2EPP0|A0A8D2EPP0_THEGE
OG0000027	sp|E9PJI5|NPIA7_HUMAN, sp|P0DM63|NPIA8_HUMAN, sp|A0A0B4J1W7|NPIA9_HUMAN, sp|E9PKD4|NPIA5_HUMAN, sp|F8WFD2|NPIA3_HUMAN, sp|Q9UND3|NPIA1_HUMAN, sp|E9PIF3|NPIA2_HUMAN, sp|A6NJ64|NPIB2_HUMAN, sp|A8MRT5|NPIB5_HUMAN, sp|C9JG80|NPIB4_HUMAN, sp|A6NJU9|NPB13_HUMAN, sp|F8W0I5|NPB12_HUMAN, sp|Q92617|NPIB3_HUMAN, sp|E5RHQ5|NPB11_HUMAN, sp|O75200|NPIB7_HUMAN, sp|A6NHN6|NPB15_HUMAN, sp|F8W1W9|NPIB9_HUMAN, sp|E9PQR5|NPIB8_HUMAN, sp|E9PJ23|NPIB6_HUMAN	tr|A0A8D2K813|A0A8D2K813_THEGE
OG0000028	sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN	tr|A0A8D2G0W4|A0A8D2G0W4_THEGE
OG0000029	sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|A1L429|GG12C_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13070|GAGE6_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN	tr|A0A8D2E2B6|A0A8D2E2B6_THEGE
OG0000030	sp|P0DN81|O13C7_HUMAN	tr|A0A8D2EF61|A0A8D2EF61_THEGE
OG0000030	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A8D2EK03|A0A8D2EK03_THEGE
OG0000030	sp|Q8NH95|O13C6_HUMAN	tr|A0A8D2EJB4|A0A8D2EJB4_THEGE
OG0000030	sp|Q8NGS7|O13C8_HUMAN	tr|A0A8D2E5X9|A0A8D2E5X9_THEGE, tr|A0A8D2E143|A0A8D2E143_THEGE, tr|A0A8D2E7M2|A0A8D2E7M2_THEGE, tr|A0A8D2E5Y1|A0A8D2E5Y1_THEGE, tr|A0A8D2EJR4|A0A8D2EJR4_THEGE, tr|A0A8D2E629|A0A8D2E629_THEGE, tr|A0A8D2E7L0|A0A8D2E7L0_THEGE, tr|A0A8D2JU29|A0A8D2JU29_THEGE, tr|A0A8D2E638|A0A8D2E638_THEGE
OG0000031	sp|Q9UF33|EPHA6_HUMAN	tr|A0A8D2FZM9|A0A8D2FZM9_THEGE
OG0000031	sp|Q15375|EPHA7_HUMAN	tr|A0A8D2FVG9|A0A8D2FVG9_THEGE
OG0000031	sp|P54764|EPHA4_HUMAN	tr|A0A8D2F7L6|A0A8D2F7L6_THEGE
OG0000031	sp|P54753|EPHB3_HUMAN	tr|A0A8D2FYK7|A0A8D2FYK7_THEGE
OG0000031	sp|P54762|EPHB1_HUMAN	tr|A0A8D2F833|A0A8D2F833_THEGE
OG0000031	sp|P29323|EPHB2_HUMAN	tr|A0A8D2ECQ8|A0A8D2ECQ8_THEGE
OG0000031	sp|P29322|EPHA8_HUMAN	tr|A0A8D2EF57|A0A8D2EF57_THEGE
OG0000031	sp|P29320|EPHA3_HUMAN	tr|A0A8D2FRW3|A0A8D2FRW3_THEGE
OG0000031	sp|P54756|EPHA5_HUMAN	tr|A0A8D2FNM6|A0A8D2FNM6_THEGE
OG0000033	sp|P15880|RS2_HUMAN	tr|A0A8D2ETD5|A0A8D2ETD5_THEGE, tr|A0A8D2G2I4|A0A8D2G2I4_THEGE, tr|A0A8D2JWG7|A0A8D2JWG7_THEGE, tr|A0A8D2G8A0|A0A8D2G8A0_THEGE, tr|A0A8D2G006|A0A8D2G006_THEGE, tr|A0A8D2GLU0|A0A8D2GLU0_THEGE, tr|A0A8D2EHD4|A0A8D2EHD4_THEGE, tr|A0A8D2K1Z5|A0A8D2K1Z5_THEGE, tr|A0A8D2GG45|A0A8D2GG45_THEGE, tr|A0A8D2KAC1|A0A8D2KAC1_THEGE, tr|A0A8D2EDK5|A0A8D2EDK5_THEGE, tr|A0A8D2E7T4|A0A8D2E7T4_THEGE, tr|A0A8D2E6L4|A0A8D2E6L4_THEGE, tr|A0A8D2G168|A0A8D2G168_THEGE, tr|A0A8D2GCL8|A0A8D2GCL8_THEGE, tr|A0A8D2G0P9|A0A8D2G0P9_THEGE, tr|A0A8D2EVG9|A0A8D2EVG9_THEGE
OG0000035	sp|P0DMM9|ST1A3_HUMAN, sp|P0DMN0|ST1A4_HUMAN, sp|P50226|ST1A2_HUMAN, sp|P50225|ST1A1_HUMAN	tr|A0A8D2E9M4|A0A8D2E9M4_THEGE
OG0000035	sp|P49888|ST1E1_HUMAN	tr|A0A8D2FIG6|A0A8D2FIG6_THEGE
OG0000035	sp|O43704|ST1B1_HUMAN	tr|A0A8D2FL01|A0A8D2FL01_THEGE
OG0000035	sp|O00338|ST1C2_HUMAN	tr|A0A8D2ECQ2|A0A8D2ECQ2_THEGE
OG0000035	sp|O75897|ST1C4_HUMAN	tr|A0A8D2EH91|A0A8D2EH91_THEGE, tr|A0A8D2EGF3|A0A8D2EGF3_THEGE
OG0000035	sp|Q6IMI6|ST1C3_HUMAN	tr|A0A8D2EDG5|A0A8D2EDG5_THEGE, tr|A0A8D2EGA6|A0A8D2EGA6_THEGE
OG0000036	sp|P13688|CEAM1_HUMAN, sp|P06731|CEAM5_HUMAN, sp|A8MTB9|CEA18_HUMAN, sp|P31997|CEAM8_HUMAN, sp|P40199|CEAM6_HUMAN, sp|Q3KPI0|CEA21_HUMAN, sp|Q9UQ72|PSG11_HUMAN, sp|P11465|PSG2_HUMAN, sp|Q15238|PSG5_HUMAN, sp|Q16557|PSG3_HUMAN, sp|Q00888|PSG4_HUMAN, sp|Q13046|PSG7_HUMAN, sp|P11464|PSG1_HUMAN, sp|Q9UQ74|PSG8_HUMAN, sp|Q00887|PSG9_HUMAN, sp|Q00889|PSG6_HUMAN	tr|A0A8D2FV72|A0A8D2FV72_THEGE
OG0000037	sp|P84101|SERF2_HUMAN	tr|A0A8D2EDB6|A0A8D2EDB6_THEGE
