Orthogroup	Homo_sapiens	Bison_bison_bison
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A6P3GLQ8|A0A6P3GLQ8_BISBI
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A6P3I0B0|A0A6P3I0B0_BISBI
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A6P3HMK9|A0A6P3HMK9_BISBI, tr|A0A6P3I7G2|A0A6P3I7G2_BISBI
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6P3HBQ6|A0A6P3HBQ6_BISBI, tr|A0A6P3HA23|A0A6P3HA23_BISBI, tr|A0A6P3GVK6|A0A6P3GVK6_BISBI, tr|A0A6P3HA18|A0A6P3HA18_BISBI, tr|A0A6P3HLZ7|A0A6P3HLZ7_BISBI
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6P3GJI1|A0A6P3GJI1_BISBI, tr|A0A6P3J7D9|A0A6P3J7D9_BISBI, tr|A0A6P3GIS8|A0A6P3GIS8_BISBI, tr|A0A6P3GJ85|A0A6P3GJ85_BISBI, tr|A0A6P3GRG3|A0A6P3GRG3_BISBI, tr|A0A6P3GMW4|A0A6P3GMW4_BISBI, tr|A0A6P3J2B4|A0A6P3J2B4_BISBI, tr|A0A6P3I4M6|A0A6P3I4M6_BISBI, tr|A0A6P3HUG6|A0A6P3HUG6_BISBI, tr|A0A6P3GUT4|A0A6P3GUT4_BISBI, tr|A0A6P3HTC4|A0A6P3HTC4_BISBI, tr|A0A6P3IDL7|A0A6P3IDL7_BISBI, tr|A0A6P3GU69|A0A6P3GU69_BISBI
OG0000003	sp|Q9H342|O51J1_HUMAN	tr|A0A6P3GK73|A0A6P3GK73_BISBI, tr|A0A6P3GL45|A0A6P3GL45_BISBI, tr|A0A6P3GFI6|A0A6P3GFI6_BISBI, tr|A0A6P3HQW4|A0A6P3HQW4_BISBI, tr|A0A6P3GPP6|A0A6P3GPP6_BISBI, tr|A0A6P3IVT5|A0A6P3IVT5_BISBI, tr|A0A6P3HQX5|A0A6P3HQX5_BISBI
OG0000004	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A6P3GQD1|A0A6P3GQD1_BISBI
OG0000004	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6P3HMX1|A0A6P3HMX1_BISBI, tr|A0A6P3HNH1|A0A6P3HNH1_BISBI
OG0000004	sp|Q96R67|OR4CC_HUMAN	tr|A0A6P3IN26|A0A6P3IN26_BISBI, tr|A0A6P3IGB5|A0A6P3IGB5_BISBI, tr|A0A6P3J700|A0A6P3J700_BISBI, tr|A0A6P3J1U7|A0A6P3J1U7_BISBI, tr|A0A6P3HCL5|A0A6P3HCL5_BISBI, tr|A0A6P3HMV5|A0A6P3HMV5_BISBI, tr|A0A6P3J3I2|A0A6P3J3I2_BISBI
OG0000004	sp|Q8NH37|OR4C3_HUMAN	tr|A0A6P3GM08|A0A6P3GM08_BISBI, tr|A0A6P3HQJ7|A0A6P3HQJ7_BISBI, tr|A0A6P3IQZ4|A0A6P3IQZ4_BISBI, tr|A0A6P3I5R1|A0A6P3I5R1_BISBI, tr|A0A6P3J028|A0A6P3J028_BISBI, tr|A0A6P3I8H8|A0A6P3I8H8_BISBI, tr|A0A6P3I8I8|A0A6P3I8I8_BISBI, tr|A0A6P3GQ91|A0A6P3GQ91_BISBI, tr|A0A6P3H6A9|A0A6P3H6A9_BISBI, tr|A0A6P3I8I4|A0A6P3I8I4_BISBI, tr|A0A6P3HX98|A0A6P3HX98_BISBI, tr|A0A6P3HET7|A0A6P3HET7_BISBI, tr|A0A6P3HCJ4|A0A6P3HCJ4_BISBI
OG0000006	sp|P59922|OR2B8_HUMAN	tr|A0A6P3IN42|A0A6P3IN42_BISBI, tr|A0A6P3GWX4|A0A6P3GWX4_BISBI, tr|A0A6P3IU99|A0A6P3IU99_BISBI, tr|A0A6P3IN27|A0A6P3IN27_BISBI, tr|A0A6P3IU56|A0A6P3IU56_BISBI
OG0000006	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A6P3HQL0|A0A6P3HQL0_BISBI
OG0000006	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A6P3HZZ1|A0A6P3HZZ1_BISBI, tr|A0A6P3HW08|A0A6P3HW08_BISBI, tr|A0A6P3GX17|A0A6P3GX17_BISBI, tr|A0A6P3HQG7|A0A6P3HQG7_BISBI, tr|A0A6P3I001|A0A6P3I001_BISBI
OG0000006	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A6P3I1K8|A0A6P3I1K8_BISBI, tr|A0A6P3GW47|A0A6P3GW47_BISBI, tr|A0A6P3J658|A0A6P3J658_BISBI
OG0000006	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A6P3GK38|A0A6P3GK38_BISBI, tr|A0A6P3GYI9|A0A6P3GYI9_BISBI, tr|A0A6P3HA41|A0A6P3HA41_BISBI
OG0000006	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A6P3HJR5|A0A6P3HJR5_BISBI
OG0000006	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A6P3I203|A0A6P3I203_BISBI, tr|A0A6P3HZY7|A0A6P3HZY7_BISBI
OG0000010	sp|Q96RC9|OR8B4_HUMAN	tr|A0A6P3GLR8|A0A6P3GLR8_BISBI
OG0000010	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A6P3GMM5|A0A6P3GMM5_BISBI, tr|A0A6P3GDV3|A0A6P3GDV3_BISBI, tr|A0A6P3GM83|A0A6P3GM83_BISBI, tr|A0A6P3GE71|A0A6P3GE71_BISBI
OG0000010	sp|Q15620|OR8B8_HUMAN	tr|A0A6P3GM15|A0A6P3GM15_BISBI
OG0000011	sp|A0A578|TVB51_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN	tr|A0A6P3IQB4|A0A6P3IQB4_BISBI
OG0000014	sp|P52569|CTR2_HUMAN	tr|A0A6P3IQU0|A0A6P3IQU0_BISBI
OG0000014	sp|P30825|CTR1_HUMAN	tr|A0A6P3H525|A0A6P3H525_BISBI
OG0000014	sp|Q8WY07|CTR3_HUMAN	tr|A0A6P3GSV3|A0A6P3GSV3_BISBI, tr|A0A6P3IY75|A0A6P3IY75_BISBI, tr|A0A6P3HWS4|A0A6P3HWS4_BISBI, tr|A0A6P3HKA8|A0A6P3HKA8_BISBI, tr|A0A6P3GKM1|A0A6P3GKM1_BISBI, tr|A0A6P3HDS4|A0A6P3HDS4_BISBI, tr|A0A6P3IRS2|A0A6P3IRS2_BISBI, tr|A0A6P3HU15|A0A6P3HU15_BISBI, tr|A0A6P3GZ19|A0A6P3GZ19_BISBI, tr|A0A6P3GNA4|A0A6P3GNA4_BISBI, tr|A0A6P3GIM0|A0A6P3GIM0_BISBI, tr|A0A6P3GRH8|A0A6P3GRH8_BISBI, tr|A0A6P3HC46|A0A6P3HC46_BISBI, tr|A0A6P3IQK4|A0A6P3IQK4_BISBI, tr|A0A6P3HMN2|A0A6P3HMN2_BISBI, tr|A0A6P3GZD9|A0A6P3GZD9_BISBI, tr|A0A6P3GZF5|A0A6P3GZF5_BISBI, tr|A0A6P3ID75|A0A6P3ID75_BISBI, tr|A0A6P3IAI1|A0A6P3IAI1_BISBI, tr|A0A6P3GWC4|A0A6P3GWC4_BISBI, tr|A0A6P3GM49|A0A6P3GM49_BISBI, tr|A0A6P3IDS8|A0A6P3IDS8_BISBI, tr|A0A6P3HJQ2|A0A6P3HJQ2_BISBI, tr|A0A6P3HBS9|A0A6P3HBS9_BISBI, tr|A0A6P3HR80|A0A6P3HR80_BISBI, tr|A0A6P3GVG2|A0A6P3GVG2_BISBI
OG0000015	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN	tr|A0A6P3ILL0|A0A6P3ILL0_BISBI
OG0000017	sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN	tr|A0A6P3IPZ6|A0A6P3IPZ6_BISBI
OG0000018	sp|P05000|IFNW1_HUMAN	tr|A0A6P3HIP0|A0A6P3HIP0_BISBI, tr|A0A6P3HQ86|A0A6P3HQ86_BISBI, tr|A0A6P3H4F2|A0A6P3H4F2_BISBI, tr|A0A6P3IIC5|A0A6P3IIC5_BISBI, tr|A0A6P3IAN6|A0A6P3IAN6_BISBI, tr|A0A6P3I9H6|A0A6P3I9H6_BISBI, tr|A0A6P3IM99|A0A6P3IM99_BISBI, tr|A0A6P3IJV0|A0A6P3IJV0_BISBI, tr|A0A6P3HB53|A0A6P3HB53_BISBI, tr|A0A6P3HWZ4|A0A6P3HWZ4_BISBI, tr|A0A6P3HPP5|A0A6P3HPP5_BISBI, tr|A0A6P3IXL1|A0A6P3IXL1_BISBI, tr|A0A6P3GYR9|A0A6P3GYR9_BISBI, tr|A0A6P3J6H1|A0A6P3J6H1_BISBI, tr|A0A6P3HQ97|A0A6P3HQ97_BISBI, tr|A0A6P3H1K3|A0A6P3H1K3_BISBI, tr|A0A6P3H4P2|A0A6P3H4P2_BISBI, tr|A0A6P3I720|A0A6P3I720_BISBI, tr|A0A6P3HCS3|A0A6P3HCS3_BISBI, tr|A0A6P3HA07|A0A6P3HA07_BISBI, tr|A0A6P3IKS7|A0A6P3IKS7_BISBI, tr|A0A6P3IVR2|A0A6P3IVR2_BISBI, tr|A0A6P3IAN2|A0A6P3IAN2_BISBI, tr|A0A6P3I4F9|A0A6P3I4F9_BISBI, tr|A0A6P3I232|A0A6P3I232_BISBI, tr|A0A6P3IQ43|A0A6P3IQ43_BISBI, tr|A0A6P3HEF9|A0A6P3HEF9_BISBI
OG0000019	sp|Q9UGM3|DMBT1_HUMAN	tr|A0A6P3IYR3|A0A6P3IYR3_BISBI
OG0000019	sp|Q86UP6|CUZD1_HUMAN	tr|A0A6P3J3F6|A0A6P3J3F6_BISBI, tr|A0A6P3GRZ3|A0A6P3GRZ3_BISBI, tr|A0A6P3IT43|A0A6P3IT43_BISBI, tr|A0A6P3I9X4|A0A6P3I9X4_BISBI, tr|A0A6P3HME9|A0A6P3HME9_BISBI, tr|A0A6P3I690|A0A6P3I690_BISBI, tr|A0A6P3I9Y3|A0A6P3I9Y3_BISBI, tr|A0A6P3HEK4|A0A6P3HEK4_BISBI, tr|A0A6P3HBN3|A0A6P3HBN3_BISBI, tr|A0A6P3HD79|A0A6P3HD79_BISBI, tr|A0A6P3IA42|A0A6P3IA42_BISBI, tr|A0A6P3GKW2|A0A6P3GKW2_BISBI, tr|A0A6P3GMR2|A0A6P3GMR2_BISBI, tr|A0A6P3I7H6|A0A6P3I7H6_BISBI, tr|A0A6P3I9X9|A0A6P3I9X9_BISBI, tr|A0A6P3HYW2|A0A6P3HYW2_BISBI, tr|A0A6P3HTK0|A0A6P3HTK0_BISBI, tr|A0A6P3HYL2|A0A6P3HYL2_BISBI, tr|A0A6P3HPF7|A0A6P3HPF7_BISBI, tr|A0A6P3HNR9|A0A6P3HNR9_BISBI, tr|A0A6P3I0G2|A0A6P3I0G2_BISBI, tr|A0A6P3I2S8|A0A6P3I2S8_BISBI, tr|A0A6P3HKM7|A0A6P3HKM7_BISBI, tr|A0A6P3HC21|A0A6P3HC21_BISBI, tr|A0A6P3HBB6|A0A6P3HBB6_BISBI
OG0000027	sp|Q8NGE7|OR9K2_HUMAN	tr|A0A6P3J997|A0A6P3J997_BISBI, tr|A0A6P3GAM6|A0A6P3GAM6_BISBI, tr|A0A6P3JC07|A0A6P3JC07_BISBI, tr|A0A6P3HMS6|A0A6P3HMS6_BISBI, tr|A0A6P3HMT9|A0A6P3HMT9_BISBI, tr|A0A6P3J9Z8|A0A6P3J9Z8_BISBI, tr|A0A6P3I6V1|A0A6P3I6V1_BISBI, tr|A0A6P3GUU2|A0A6P3GUU2_BISBI, tr|A0A6P3H6S5|A0A6P3H6S5_BISBI, tr|A0A6P3H3R5|A0A6P3H3R5_BISBI, tr|A0A6P3HI04|A0A6P3HI04_BISBI, tr|A0A6P3GY68|A0A6P3GY68_BISBI, tr|A0A6P3GY62|A0A6P3GY62_BISBI, tr|A0A6P3H5Z3|A0A6P3H5Z3_BISBI, tr|A0A6P3GTB6|A0A6P3GTB6_BISBI, tr|A0A6P3H5Y8|A0A6P3H5Y8_BISBI, tr|A0A6P3H7W3|A0A6P3H7W3_BISBI, tr|A0A6P3GT68|A0A6P3GT68_BISBI, tr|A0A6P3H672|A0A6P3H672_BISBI, tr|A0A6P3H625|A0A6P3H625_BISBI, tr|A0A6P3H626|A0A6P3H626_BISBI, tr|A0A6P3H7Z7|A0A6P3H7Z7_BISBI, tr|A0A6P3GTB1|A0A6P3GTB1_BISBI
OG0000028	sp|O15439|MRP4_HUMAN	tr|A0A6P3GY99|A0A6P3GY99_BISBI, tr|A0A6P3GZR0|A0A6P3GZR0_BISBI, tr|A0A6P3GXT4|A0A6P3GXT4_BISBI, tr|A0A6P3GU15|A0A6P3GU15_BISBI, tr|A0A6P3GDW5|A0A6P3GDW5_BISBI, tr|A0A6P3H389|A0A6P3H389_BISBI, tr|A0A6P3GVH6|A0A6P3GVH6_BISBI, tr|A0A6P3GXI2|A0A6P3GXI2_BISBI, tr|A0A6P3GT22|A0A6P3GT22_BISBI, tr|A0A6P3H3L5|A0A6P3H3L5_BISBI, tr|A0A6P3HXY6|A0A6P3HXY6_BISBI, tr|A0A6P3GSM7|A0A6P3GSM7_BISBI, tr|A0A6P3GTV1|A0A6P3GTV1_BISBI, tr|A0A6P3GZT4|A0A6P3GZT4_BISBI, tr|A0A6P3GVD4|A0A6P3GVD4_BISBI, tr|A0A6P3I0R2|A0A6P3I0R2_BISBI, tr|A0A6P3HPH8|A0A6P3HPH8_BISBI, tr|A0A6P3GVP3|A0A6P3GVP3_BISBI, tr|A0A6P3GLJ9|A0A6P3GLJ9_BISBI, tr|A0A6P3GLK8|A0A6P3GLK8_BISBI, tr|A0A6P3HY16|A0A6P3HY16_BISBI, tr|A0A6P3HMJ4|A0A6P3HMJ4_BISBI, tr|A0A6P3GVC3|A0A6P3GVC3_BISBI
OG0000029	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN	tr|A0A6P3HLQ8|A0A6P3HLQ8_BISBI
OG0000030	sp|Q9HCX3|ZN304_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN	tr|A0A6P3IPW8|A0A6P3IPW8_BISBI
OG0000031	sp|Q8NH95|O13C6_HUMAN	tr|A0A6P3HPJ3|A0A6P3HPJ3_BISBI, tr|A0A6P3HPE1|A0A6P3HPE1_BISBI, tr|A0A6P3HYP6|A0A6P3HYP6_BISBI, tr|A0A6P3HYN2|A0A6P3HYN2_BISBI, tr|A0A6P3HPJ7|A0A6P3HPJ7_BISBI, tr|A0A6P3HYN7|A0A6P3HYN7_BISBI, tr|A0A6P3HP28|A0A6P3HP28_BISBI, tr|A0A6P3HRU2|A0A6P3HRU2_BISBI, tr|A0A6P3HRD1|A0A6P3HRD1_BISBI, tr|A0A6P3HG53|A0A6P3HG53_BISBI
OG0000031	sp|Q9NQN1|OR2S1_HUMAN	tr|A0A6P3I0S1|A0A6P3I0S1_BISBI
