Orthogroup	Homo_sapiens	Equus_asinus_asinus
OG0000012	sp|O60384|ZN861_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|P16415|ZN823_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q08AG5|ZN844_HUMAN	tr|A0A8C4L4Z4|A0A8C4L4Z4_EQUAS
OG0000013	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|A0A8C4MWE9|A0A8C4MWE9_EQUAS, tr|A0A8C4MUP5|A0A8C4MUP5_EQUAS, tr|A0A8C4MUN7|A0A8C4MUN7_EQUAS, tr|A0A8C4MWE0|A0A8C4MWE0_EQUAS
OG0000013	sp|Q8N141|ZFP82_HUMAN	tr|A0A8C4PG51|A0A8C4PG51_EQUAS
OG0000013	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8C4L354|A0A8C4L354_EQUAS
OG0000013	sp|Q8TAF7|ZN461_HUMAN	tr|A0A8C4L5G9|A0A8C4L5G9_EQUAS
OG0000013	sp|Q8N9K5|ZN565_HUMAN	tr|A0A8C4PGE6|A0A8C4PGE6_EQUAS, tr|A0A8C4KZU5|A0A8C4KZU5_EQUAS, tr|A0A8C4KYJ8|A0A8C4KYJ8_EQUAS, tr|A0A8C4PG43|A0A8C4PG43_EQUAS
OG0000013	sp|Q3KNS6|ZN829_HUMAN	tr|A0A8C4KXK9|A0A8C4KXK9_EQUAS, tr|A0A8C4N078|A0A8C4N078_EQUAS, tr|A0A8C4PGE4|A0A8C4PGE4_EQUAS
OG0000015	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8C4LGM7|A0A8C4LGM7_EQUAS
OG0000015	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8C4MA90|A0A8C4MA90_EQUAS, tr|A0A8C4L918|A0A8C4L918_EQUAS, tr|A0A8C4L9Q4|A0A8C4L9Q4_EQUAS, tr|A0A8C4PMW2|A0A8C4PMW2_EQUAS, tr|A0A8C4PMK6|A0A8C4PMK6_EQUAS, tr|A0A8C4PJB2|A0A8C4PJB2_EQUAS, tr|A0A8C4LEB2|A0A8C4LEB2_EQUAS, tr|A0A8C4LGV6|A0A8C4LGV6_EQUAS, tr|A0A8C4LTQ8|A0A8C4LTQ8_EQUAS, tr|A0A8C4L9J3|A0A8C4L9J3_EQUAS, tr|A0A8C4LEZ7|A0A8C4LEZ7_EQUAS, tr|A0A8C4L9G6|A0A8C4L9G6_EQUAS, tr|A0A8C4M4W7|A0A8C4M4W7_EQUAS, tr|A0A8C4MA60|A0A8C4MA60_EQUAS, tr|A0A8C4L9S2|A0A8C4L9S2_EQUAS, tr|A0A8C4PJR9|A0A8C4PJR9_EQUAS, tr|A0A8C4LT82|A0A8C4LT82_EQUAS, tr|A0A8C4LEN5|A0A8C4LEN5_EQUAS, tr|A0A8C4PT42|A0A8C4PT42_EQUAS, tr|A0A8C4M430|A0A8C4M430_EQUAS, tr|A0A8C4LDV6|A0A8C4LDV6_EQUAS, tr|A0A8C4L6Z9|A0A8C4L6Z9_EQUAS, tr|A0A8C4M3L7|A0A8C4M3L7_EQUAS, tr|A0A8C4KRT8|A0A8C4KRT8_EQUAS
OG0000020	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A8C4KT10|A0A8C4KT10_EQUAS
OG0000020	sp|P0C646|O52Z1_HUMAN	tr|A0A8C4KYX3|A0A8C4KYX3_EQUAS, tr|A0A8C4KZ33|A0A8C4KZ33_EQUAS, tr|A0A8C4KZA4|A0A8C4KZA4_EQUAS, tr|A0A8C4PFB7|A0A8C4PFB7_EQUAS, tr|A0A8C4KXZ6|A0A8C4KXZ6_EQUAS, tr|A0A8C4PFW5|A0A8C4PFW5_EQUAS, tr|A0A8C4PFC3|A0A8C4PFC3_EQUAS, tr|A0A8C4PFD1|A0A8C4PFD1_EQUAS
OG0000020	sp|Q8NH60|O52J3_HUMAN	tr|A0A8C4KT73|A0A8C4KT73_EQUAS, tr|A0A8C4KSY3|A0A8C4KSY3_EQUAS
OG0000020	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A8C4PFA1|A0A8C4PFA1_EQUAS, tr|A0A8C4KT21|A0A8C4KT21_EQUAS, tr|A0A8C4KRS6|A0A8C4KRS6_EQUAS
OG0000020	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8C4KUR5|A0A8C4KUR5_EQUAS, tr|A0A8C4KUS5|A0A8C4KUS5_EQUAS, tr|A0A8C4L175|A0A8C4L175_EQUAS, tr|A0A8C4KV62|A0A8C4KV62_EQUAS, tr|A0A8C4PFY0|A0A8C4PFY0_EQUAS, tr|A0A8C4L366|A0A8C4L366_EQUAS
OG0000023	sp|Q14533|KRT81_HUMAN, sp|P78385|KRT83_HUMAN, sp|O43790|KRT86_HUMAN	tr|A0A8C4LL02|A0A8C4LL02_EQUAS, tr|A0A8C4LSE8|A0A8C4LSE8_EQUAS
OG0000023	sp|A6NCN2|KR87P_HUMAN	tr|A0A8C4LJA8|A0A8C4LJA8_EQUAS, tr|A0A8C4PKS1|A0A8C4PKS1_EQUAS, tr|A0A8C4PKX0|A0A8C4PKX0_EQUAS, tr|A0A8C4LSV2|A0A8C4LSV2_EQUAS, tr|A0A8C4LL13|A0A8C4LL13_EQUAS, tr|A0A8C4LLV0|A0A8C4LLV0_EQUAS, tr|A0A8C4LUM7|A0A8C4LUM7_EQUAS, tr|A0A8C4PKV5|A0A8C4PKV5_EQUAS, tr|A0A8C4PKV2|A0A8C4PKV2_EQUAS, tr|A0A8C4LMC7|A0A8C4LMC7_EQUAS, tr|A0A8C4LK30|A0A8C4LK30_EQUAS, tr|A0A8C4LPI2|A0A8C4LPI2_EQUAS, tr|A0A8C4LR83|A0A8C4LR83_EQUAS, tr|A0A8C4PKU0|A0A8C4PKU0_EQUAS, tr|A0A8C4LSY3|A0A8C4LSY3_EQUAS
OG0000023	sp|P78386|KRT85_HUMAN	tr|A0A8C4LLP0|A0A8C4LLP0_EQUAS, tr|A0A8C4LMJ5|A0A8C4LMJ5_EQUAS
OG0000024	sp|Q5QNW6|H2B2F_HUMAN	tr|A0A8C4PKU5|A0A8C4PKU5_EQUAS
OG0000024	sp|Q8N257|H2B3B_HUMAN	tr|A0A8C4MG62|A0A8C4MG62_EQUAS
OG0000024	sp|Q99880|H2B1L_HUMAN	tr|A0A8C4L549|A0A8C4L549_EQUAS, tr|A0A8C4PHY6|A0A8C4PHY6_EQUAS
OG0000024	sp|Q96A08|H2B1A_HUMAN	tr|A0A8C4LUH8|A0A8C4LUH8_EQUAS, tr|A0A8C4MWJ4|A0A8C4MWJ4_EQUAS, tr|A0A8C4MIA4|A0A8C4MIA4_EQUAS, tr|A0A8C4L9M3|A0A8C4L9M3_EQUAS
