Orthogroup	Homo_sapiens	Myotis_lucifugus
OG0000016	sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN	tr|G1P7Q5|G1P7Q5_MYOLU
OG0000020	sp|Q8NGB2|OR4C5_HUMAN	tr|G1Q7L4|G1Q7L4_MYOLU
OG0000020	sp|A6NMZ5|O4C45_HUMAN	tr|G1Q248|G1Q248_MYOLU
OG0000020	sp|Q8NGM1|OR4CF_HUMAN	tr|G1PZ80|G1PZ80_MYOLU
OG0000020	sp|Q8NH37|OR4C3_HUMAN	tr|G1PZB9|G1PZB9_MYOLU
OG0000020	sp|Q8NGL6|O4A15_HUMAN	tr|G1P5G2|G1P5G2_MYOLU
OG0000020	sp|Q6IF82|O4A47_HUMAN, sp|Q8NGN8|OR4A4_HUMAN	tr|G1Q918|G1Q918_MYOLU
OG0000020	sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN	tr|G1PZ01|G1PZ01_MYOLU
OG0000020	sp|A6NHA9|O4C46_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|Q96R67|OR4CC_HUMAN	tr|G1Q4S6|G1Q4S6_MYOLU
OG0000022	sp|P78395|PRAME_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|O60810|PRAM4_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|O60813|PRA11_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A3QJZ7|PRA27_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VT98|PRA20_HUMAN, sp|O95522|PRA12_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|Q5VXH5|PRAM7_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|O95521|PRAM1_HUMAN, sp|O60811|PRAM2_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|O60809|PRA10_HUMAN	tr|G1PEQ4|G1PEQ4_MYOLU
OG0000023	sp|Q9H342|O51J1_HUMAN	tr|G1Q3M6|G1Q3M6_MYOLU
OG0000023	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G1Q826|G1Q826_MYOLU, tr|G1Q6B1|G1Q6B1_MYOLU, tr|G1QG20|G1QG20_MYOLU, tr|G1PPX5|G1PPX5_MYOLU
OG0000023	sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN	tr|L7N1B5|L7N1B5_MYOLU, tr|G1QDX1|G1QDX1_MYOLU
OG0000023	sp|Q9H343|O51I1_HUMAN	tr|G1Q814|G1Q814_MYOLU, tr|G1Q0V1|G1Q0V1_MYOLU, tr|G1QAB1|G1QAB1_MYOLU
OG0000026	sp|O60829|PAGE4_HUMAN, sp|O75459|PAGE1_HUMAN, sp|Q8WWM1|XAGE5_HUMAN, sp|Q96GT9|XAGE2_HUMAN, sp|Q8WTP9|XAGE3_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|O76087|GAGE7_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN	tr|G1P7U0|G1P7U0_MYOLU, tr|G1P9E2|G1P9E2_MYOLU
OG0000027	sp|Q5JQS5|OR2BB_HUMAN	tr|G1QB10|G1QB10_MYOLU
OG0000027	sp|Q7Z3T1|OR2W3_HUMAN	tr|G1P5U7|G1P5U7_MYOLU
OG0000027	sp|Q8NHA6|OR2W6_HUMAN	tr|G1PCE7|G1PCE7_MYOLU
OG0000029	sp|A6NLX3|SPDE4_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUX1|SPD12_HUMAN	tr|G1Q5S5|G1Q5S5_MYOLU, tr|G1PLS5|G1PLS5_MYOLU
OG0000030	sp|Q86V81|THOC4_HUMAN	tr|G1PDY4|G1PDY4_MYOLU, tr|G1Q1M2|G1Q1M2_MYOLU, tr|G1Q3H6|G1Q3H6_MYOLU, tr|G1Q246|G1Q246_MYOLU, tr|G1QDR8|G1QDR8_MYOLU, tr|G1P9N3|G1P9N3_MYOLU, tr|G1Q225|G1Q225_MYOLU, tr|G1QDF9|G1QDF9_MYOLU, tr|G1PZK1|G1PZK1_MYOLU, tr|G1QC69|G1QC69_MYOLU, tr|G1QE45|G1QE45_MYOLU, tr|L7N135|L7N135_MYOLU, tr|G1PZV2|G1PZV2_MYOLU, tr|L7N1H9|L7N1H9_MYOLU, tr|L7N107|L7N107_MYOLU, tr|G1PDQ4|G1PDQ4_MYOLU, tr|G1PRD9|G1PRD9_MYOLU, tr|G1QCN9|G1QCN9_MYOLU, tr|G1PF92|G1PF92_MYOLU, tr|G1Q7E3|G1Q7E3_MYOLU, tr|G1QGD5|G1QGD5_MYOLU, tr|G1Q8X0|G1Q8X0_MYOLU
OG0000031	sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN	tr|G1Q684|G1Q684_MYOLU
OG0000032	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN	tr|G1Q2T5|G1Q2T5_MYOLU
OG0000034	sp|Q9UKR3|KLK13_HUMAN	tr|G1Q643|G1Q643_MYOLU
OG0000034	sp|Q92876|KLK6_HUMAN, sp|Q9UBX7|KLK11_HUMAN, sp|Q9UKQ9|KLK9_HUMAN, sp|Q9H2R5|KLK15_HUMAN, sp|Q9UKR0|KLK12_HUMAN, sp|O43240|KLK10_HUMAN, sp|O60259|KLK8_HUMAN, sp|Q8NHM4|TRY6_HUMAN, sp|P07478|TRY2_HUMAN, sp|P07477|TRY1_HUMAN, sp|P35030|TRY3_HUMAN, sp|P07288|KLK3_HUMAN, sp|P20151|KLK2_HUMAN, sp|P06870|KLK1_HUMAN, sp|Q9Y5K2|KLK4_HUMAN, sp|Q9Y337|KLK5_HUMAN, sp|P49862|KLK7_HUMAN	tr|G1PPZ4|G1PPZ4_MYOLU
OG0000035	sp|P48960|AGRE5_HUMAN	tr|L7N189|L7N189_MYOLU, tr|G1PDA4|G1PDA4_MYOLU
OG0000035	sp|Q9BY15|AGRE3_HUMAN	tr|G1PGX4|G1PGX4_MYOLU
OG0000035	sp|Q86SQ3|AGRE4_HUMAN, sp|Q14246|AGRE1_HUMAN	tr|G1Q8W4|G1Q8W4_MYOLU
OG0000035	sp|Q9UHX3|AGRE2_HUMAN	tr|G1QFE0|G1QFE0_MYOLU, tr|G1P9G8|G1P9G8_MYOLU, tr|G1QCM5|G1QCM5_MYOLU
OG0000038	sp|P04181|OAT_HUMAN	tr|G1P8E0|G1P8E0_MYOLU, tr|G1QCR6|G1QCR6_MYOLU, tr|G1Q331|G1Q331_MYOLU, tr|G1QB63|G1QB63_MYOLU, tr|G1Q3J2|G1Q3J2_MYOLU, tr|G1QFJ7|G1QFJ7_MYOLU, tr|G1QFD5|G1QFD5_MYOLU, tr|G1Q7S1|G1Q7S1_MYOLU, tr|G1QE06|G1QE06_MYOLU, tr|G1Q3N2|G1Q3N2_MYOLU, tr|G1QB13|G1QB13_MYOLU, tr|G1Q0L9|G1Q0L9_MYOLU, tr|G1Q117|G1Q117_MYOLU, tr|G1PZG4|G1PZG4_MYOLU, tr|G1QFF4|G1QFF4_MYOLU, tr|G1QDF0|G1QDF0_MYOLU, tr|G1Q4A3|G1Q4A3_MYOLU, tr|G1PZI3|G1PZI3_MYOLU
OG0000040	sp|Q8NGD4|OR4K1_HUMAN	tr|G1QAN4|G1QAN4_MYOLU
OG0000040	sp|Q8NGD2|OR4K2_HUMAN	tr|G1PSV3|G1PSV3_MYOLU
OG0000040	sp|Q96R72|OR4K3_HUMAN	tr|G1QA43|G1QA43_MYOLU
OG0000041	sp|Q3SY84|K2C71_HUMAN	tr|G1PGU2|G1PGU2_MYOLU
OG0000041	sp|Q86Y46|K2C73_HUMAN	tr|G1P4N1|G1P4N1_MYOLU
OG0000041	sp|Q7RTS7|K2C74_HUMAN	tr|G1PGW3|G1PGW3_MYOLU
OG0000041	sp|Q14CN4|K2C72_HUMAN	tr|G1P4M7|G1P4M7_MYOLU
OG0000041	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN, sp|P02538|K2C6A_HUMAN, sp|P13647|K2C5_HUMAN, sp|O95678|K2C75_HUMAN, sp|Q01546|K22O_HUMAN, sp|P12035|K2C3_HUMAN, sp|P04264|K2C1_HUMAN, sp|P35908|K22E_HUMAN	tr|G1P4N7|G1P4N7_MYOLU
OG0000042	sp|Q96R48|OR2A5_HUMAN	tr|G1QFP3|G1QFP3_MYOLU
OG0000042	sp|Q8NGT7|O2A12_HUMAN	tr|G1Q7H4|G1Q7H4_MYOLU
OG0000042	sp|Q96R47|O2A14_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|G1QFX4|G1QFX4_MYOLU
OG0000043	sp|P02792|FRIL_HUMAN	tr|G1PZR2|G1PZR2_MYOLU, tr|G1QGF6|G1QGF6_MYOLU, tr|G1PYB8|G1PYB8_MYOLU, tr|G1Q3C6|G1Q3C6_MYOLU, tr|G1Q042|G1Q042_MYOLU, tr|G1QBX6|G1QBX6_MYOLU, tr|G1Q2D2|G1Q2D2_MYOLU, tr|G1PZU5|G1PZU5_MYOLU, tr|G1QB30|G1QB30_MYOLU, tr|G1QBI3|G1QBI3_MYOLU, tr|G1QAV2|G1QAV2_MYOLU, tr|G1QBS1|G1QBS1_MYOLU, tr|G1Q1F5|G1Q1F5_MYOLU, tr|G1QF74|G1QF74_MYOLU, tr|G1PZU4|G1PZU4_MYOLU, tr|G1Q9J7|G1Q9J7_MYOLU, tr|G1PXS1|G1PXS1_MYOLU
OG0000046	sp|Q8NGJ4|O52E2_HUMAN	tr|G1Q5T6|G1Q5T6_MYOLU, tr|G1Q963|G1Q963_MYOLU, tr|G1PZ73|G1PZ73_MYOLU
