Orthogroup	Homo_sapiens	Nomascus_leucogenys
OG0000001	sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q9UGF7|O12D3_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P34982|OR1D2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN	tr|A0A2I3HB49|A0A2I3HB49_NOMLE
OG0000001	sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN	tr|G1SCC4|G1SCC4_NOMLE
OG0000002	sp|Q96R27|OR2M4_HUMAN	tr|G1S9V3|G1S9V3_NOMLE
OG0000002	sp|Q8NGZ9|O2T10_HUMAN	tr|G1QW83|G1QW83_NOMLE
OG0000002	sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN	tr|G1S9V9|G1S9V9_NOMLE
OG0000002	sp|Q8NHC8|OR2T6_HUMAN	tr|G1S9V4|G1S9V4_NOMLE
OG0000002	sp|O43869|OR2T1_HUMAN	tr|G1S9V5|G1S9V5_NOMLE
OG0000002	sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN	tr|A0A2I3H542|A0A2I3H542_NOMLE
OG0000002	sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN	tr|A0A2I3HFR2|A0A2I3HFR2_NOMLE
OG0000002	sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN	tr|A0A2I3GG56|A0A2I3GG56_NOMLE
OG0000006	sp|Q8NGI6|OR4DA_HUMAN	tr|A0A2I3HUU1|A0A2I3HUU1_NOMLE
OG0000006	sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGC2|OR4E2_HUMAN	tr|G1SC77|G1SC77_NOMLE
OG0000007	sp|Q9GZK3|OR2B2_HUMAN	tr|G1SBZ8|G1SBZ8_NOMLE
OG0000007	sp|Q9Y3N9|OR2W1_HUMAN	tr|G1SC00|G1SC00_NOMLE
OG0000007	sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN	tr|A0A2I3GLM4|A0A2I3GLM4_NOMLE
OG0000008	sp|Q99706|KI2L4_HUMAN	tr|G1RHY5|G1RHY5_NOMLE
OG0000008	sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q8N743|KI3L3_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN	tr|G1RRZ0|G1RRZ0_NOMLE
OG0000010	sp|Q8NH73|OR4S2_HUMAN	tr|G1SAN9|G1SAN9_NOMLE
OG0000010	sp|Q8NGL9|OR4CG_HUMAN, sp|Q6IEV9|OR4CB_HUMAN	tr|A0A2I3G903|A0A2I3G903_NOMLE
OG0000010	sp|Q8NGL6|O4A15_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NH72|OR4C6_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGM1|OR4CF_HUMAN	tr|A0A2I3GFF4|A0A2I3GFF4_NOMLE
OG0000011	sp|Q8NGK5|O52M1_HUMAN	tr|A0A2I3GB53|A0A2I3GB53_NOMLE
OG0000011	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A2I3G0W8|A0A2I3G0W8_NOMLE
OG0000011	sp|Q96RD2|O52B2_HUMAN	tr|A0A2I3GVU9|A0A2I3GVU9_NOMLE
OG0000011	sp|Q9H346|O52D1_HUMAN	tr|G1S983|G1S983_NOMLE
OG0000011	sp|Q8NH60|O52J3_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN	tr|A0A2I3HER9|A0A2I3HER9_NOMLE
OG0000011	sp|Q8NGI2|O52N4_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN	tr|G1S986|G1S986_NOMLE
OG0000013	sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN	tr|A0A2I3GUZ9|A0A2I3GUZ9_NOMLE
OG0000014	sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN	tr|G1SBM1|G1SBM1_NOMLE
OG0000015	sp|Q8NH59|O51Q1_HUMAN	tr|A0A2I3HZH1|A0A2I3HZH1_NOMLE
OG0000015	sp|Q8NGK3|O52K2_HUMAN	tr|A0A2I3GD90|A0A2I3GD90_NOMLE
OG0000015	sp|Q8NGK4|O52K1_HUMAN	tr|G1S969|G1S969_NOMLE
OG0000016	sp|D6RGX4|F90AP_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN	tr|G1RYP6|G1RYP6_NOMLE
OG0000018	sp|Q96A08|H2B1A_HUMAN, sp|A0A2R8Y619|H2BK1_HUMAN, sp|P0DW85|H2BN1_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q8N257|H2B3B_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P33778|H2B1B_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q16778|H2B2E_HUMAN, sp|P06899|H2B1J_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|Q6DRA6|H2B2D_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN	tr|G1SAM4|G1SAM4_NOMLE
OG0000019	sp|A0A0B4J1V7|HV781_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN	tr|A0A2I3H5K9|A0A2I3H5K9_NOMLE
OG0000019	sp|P0DTW3|HV384_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|P0DP01|HV108_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, sp|P01743|HV146_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN	tr|A0A2I3GZD2|A0A2I3GZD2_NOMLE
OG0000020	sp|Q96RD1|OR6C1_HUMAN	tr|G1SC63|G1SC63_NOMLE
OG0000020	sp|Q8NGE2|O2AP1_HUMAN	tr|G1SC60|G1SC60_NOMLE
OG0000020	sp|Q8NGE1|OR6C4_HUMAN	tr|G1SC61|G1SC61_NOMLE
OG0000022	sp|P48668|K2C6C_HUMAN, sp|P04259|K2C6B_HUMAN	tr|G1S7R3|G1S7R3_NOMLE, tr|A0A2I3H0V3|A0A2I3H0V3_NOMLE
OG0000022	sp|P13647|K2C5_HUMAN	tr|G1S7Q6|G1S7Q6_NOMLE
OG0000022	sp|O95678|K2C75_HUMAN	tr|G1S7R4|G1S7R4_NOMLE
OG0000022	sp|P35908|K22E_HUMAN	tr|G1S7P8|G1S7P8_NOMLE
OG0000022	sp|P04264|K2C1_HUMAN	tr|A0A2I3H0I1|A0A2I3H0I1_NOMLE
OG0000022	sp|P12035|K2C3_HUMAN	tr|A0A2I3GZJ0|A0A2I3GZJ0_NOMLE
OG0000022	sp|Q01546|K22O_HUMAN	tr|A0A2I3HUH9|A0A2I3HUH9_NOMLE
OG0000023	sp|Q9UF33|EPHA6_HUMAN	tr|G1QN61|G1QN61_NOMLE
OG0000023	sp|Q15375|EPHA7_HUMAN	tr|A0A2I3H8M4|A0A2I3H8M4_NOMLE
OG0000023	sp|P54764|EPHA4_HUMAN	tr|A0A2I3HG98|A0A2I3HG98_NOMLE
OG0000023	sp|P29323|EPHB2_HUMAN	tr|A0A2I3HEM3|A0A2I3HEM3_NOMLE
OG0000023	sp|P54762|EPHB1_HUMAN	tr|G1QUL1|G1QUL1_NOMLE
OG0000023	sp|P54753|EPHB3_HUMAN	tr|G1R352|G1R352_NOMLE
OG0000023	sp|P29322|EPHA8_HUMAN	tr|A0A2I3GBD5|A0A2I3GBD5_NOMLE
OG0000023	sp|P29320|EPHA3_HUMAN	tr|G1RM08|G1RM08_NOMLE
OG0000023	sp|P54756|EPHA5_HUMAN	tr|G1RCS6|G1RCS6_NOMLE
OG0000025	sp|Q96R47|O2A14_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN	tr|A0A2I3FV17|A0A2I3FV17_NOMLE
OG0000025	tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN	tr|G1SBN1|G1SBN1_NOMLE
OG0000025	tr|Q9BZC5|Q9BZC5_HUMAN, sp|O95047|OR2A4_HUMAN, sp|Q96R45|OR2A7_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, sp|A4D2G3|O2A25_HUMAN	tr|G1S9Y3|G1S9Y3_NOMLE
OG0000026	sp|A0A075B6L6|TVB73_HUMAN	tr|A0A2I3GCT3|A0A2I3GCT3_NOMLE
OG0000026	sp|A0A584|TVBK2_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN	tr|A0A2I3G644|A0A2I3G644_NOMLE
OG0000026	sp|A0A5B0|TVB14_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN	tr|G1QQJ2|G1QQJ2_NOMLE
OG0000027	sp|P15880|RS2_HUMAN	tr|G1RC76|G1RC76_NOMLE, tr|A0A2I3GDH8|A0A2I3GDH8_NOMLE, tr|A0A2I3G8D5|A0A2I3G8D5_NOMLE, tr|M3Z9K3|M3Z9K3_NOMLE, tr|A0A2I3G309|A0A2I3G309_NOMLE, tr|A0A2I3HZ17|A0A2I3HZ17_NOMLE, tr|A0A2I3HD53|A0A2I3HD53_NOMLE, tr|A0A2I3GJN9|A0A2I3GJN9_NOMLE, tr|A0A2I3HYF6|A0A2I3HYF6_NOMLE, tr|A0A2I3GGR8|A0A2I3GGR8_NOMLE, tr|A0A2I3GYP9|A0A2I3GYP9_NOMLE, tr|A0A2I3H8L9|A0A2I3H8L9_NOMLE, tr|A0A2I3FVF2|A0A2I3FVF2_NOMLE, tr|A0A2I3GJQ5|A0A2I3GJQ5_NOMLE, tr|A0A2I3HRQ7|A0A2I3HRQ7_NOMLE, tr|A0A2I3H0X0|A0A2I3H0X0_NOMLE, tr|A0A2I3HUM6|A0A2I3HUM6_NOMLE
OG0000028	sp|Q9Y5I4|PCDC2_HUMAN	tr|A0A2I3GP74|A0A2I3GP74_NOMLE
OG0000028	sp|Q9H158|PCDC1_HUMAN, sp|Q9Y5H7|PCDA5_HUMAN, sp|Q9Y5H9|PCDA2_HUMAN, sp|Q9Y5I3|PCDA1_HUMAN, sp|Q9Y5H5|PCDA9_HUMAN, sp|Q9UN72|PCDA7_HUMAN, sp|Q9UN74|PCDA4_HUMAN, sp|Q9Y5H8|PCDA3_HUMAN, sp|Q9Y5I0|PCDAD_HUMAN, sp|Q9Y5I1|PCDAB_HUMAN, sp|Q9Y5I2|PCDAA_HUMAN, sp|Q9UN75|PCDAC_HUMAN, sp|Q9UN73|PCDA6_HUMAN, sp|Q9Y5H6|PCDA8_HUMAN	tr|G1RE84|G1RE84_NOMLE
OG0000030	sp|A0A0K0K1C4|TVB27_HUMAN	tr|A0A2I3HDD5|A0A2I3HDD5_NOMLE
OG0000030	sp|A0A075B6N1|TVB19_HUMAN, sp|A0A0K0K1B3|TVB30_HUMAN, sp|A0A0A0MS04|TVB67_HUMAN, sp|A0A0A6YYG3|TVB68_HUMAN, sp|A0A0J9YX75|TVB69_HUMAN, sp|A0A0A6YYG2|TVB66_HUMAN, sp|A0A0K0K1A5|TVB65_HUMAN, sp|P0DPF7|TVB63_HUMAN, sp|A0A0J9YXY3|TVB62_HUMAN, sp|A0A0K0K1D8|TVB61_HUMAN, sp|A0A1B0GX49|TVB64_HUMAN, sp|A0A0K0K1G8|TVBJ2_HUMAN, sp|A0A0K0K1G6|TVBJ3_HUMAN, sp|A0A0K0K1A3|TVBJ1_HUMAN	tr|A0A2I3GF47|A0A2I3GF47_NOMLE
OG0000032	sp|Q86VY4|TSYL5_HUMAN	tr|A0A2I3HFB1|A0A2I3HFB1_NOMLE
OG0000032	sp|Q9UJ04|TSYL4_HUMAN	tr|A0A2I3HAB1|A0A2I3HAB1_NOMLE
OG0000032	sp|Q8N831|TSYL6_HUMAN, sp|Q9H0U9|TSYL1_HUMAN	tr|G1SBV2|G1SBV2_NOMLE
OG0000033	sp|P51991|ROA3_HUMAN	tr|A0A2I3HT72|A0A2I3HT72_NOMLE, tr|A0A2I3G3E7|A0A2I3G3E7_NOMLE, tr|A0A2I3HP53|A0A2I3HP53_NOMLE, tr|A0A2I3GXX6|A0A2I3GXX6_NOMLE, tr|A0A2I3H4B4|A0A2I3H4B4_NOMLE, tr|A0A2I3H258|A0A2I3H258_NOMLE, tr|A0A2I3GPN9|A0A2I3GPN9_NOMLE, tr|A0A2I3HSL4|A0A2I3HSL4_NOMLE, tr|G1S7F5|G1S7F5_NOMLE, tr|A0A2I3GYS1|A0A2I3GYS1_NOMLE, tr|A0A2I3G3P9|A0A2I3G3P9_NOMLE, tr|A0A2I3HGG4|A0A2I3HGG4_NOMLE, tr|G1RR33|G1RR33_NOMLE, tr|A0A2I3GFI0|A0A2I3GFI0_NOMLE, tr|A0A2I3H0S5|A0A2I3H0S5_NOMLE, tr|A0A2I3GAX5|A0A2I3GAX5_NOMLE
OG0000035	sp|P06331|HV434_HUMAN, sp|P01825|HV459_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P0DP06|HVD34_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP07|HV431_HUMAN, sp|A0A087WSY4|HV432_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|P01824|HV439_HUMAN, sp|A0A0B4J1U7|HV601_HUMAN	tr|A0A2I3HPT0|A0A2I3HPT0_NOMLE, tr|M3ZAQ1|M3ZAQ1_NOMLE
OG0000037	sp|P01706|LV211_HUMAN	tr|A0A2I3HPH4|A0A2I3HPH4_NOMLE
OG0000037	sp|P01709|LV208_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN	tr|G1SBM5|G1SBM5_NOMLE
OG0000038	sp|Q9C009|FOXQ1_HUMAN	tr|A0A2I3HMD3|A0A2I3HMD3_NOMLE
OG0000038	sp|A0A1W2PRP0|FOXL3_HUMAN, sp|P58012|FOXL2_HUMAN, sp|P55316|FOXG1_HUMAN, sp|Q12952|FOXL1_HUMAN, sp|O60548|FOXD2_HUMAN, sp|Q16676|FOXD1_HUMAN, sp|Q9UJU5|FOXD3_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q8WXT5|FX4L4_HUMAN	tr|A0A2I3GK02|A0A2I3GK02_NOMLE
OG0000039	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2I3GNS6|A0A2I3GNS6_NOMLE, tr|A0A2I3HV14|A0A2I3HV14_NOMLE
OG0000039	sp|Q6ZMR3|LDH6A_HUMAN	tr|G1S7V3|G1S7V3_NOMLE
OG0000039	sp|P07864|LDHC_HUMAN	tr|A0A2I3GFF7|A0A2I3GFF7_NOMLE
OG0000039	sp|P07195|LDHB_HUMAN	tr|M3ZCH6|M3ZCH6_NOMLE
OG0000039	sp|P00338|LDHA_HUMAN	tr|A0A2I3HNC8|A0A2I3HNC8_NOMLE, tr|A0A2I3HCI8|A0A2I3HCI8_NOMLE, tr|A0A2I3GUH5|A0A2I3GUH5_NOMLE, tr|A0A2I3HFC4|A0A2I3HFC4_NOMLE, tr|A0A2I3G383|A0A2I3G383_NOMLE
OG0000041	sp|A0A1W2PPL8|TFKLN_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A6NLC8|TFKL2_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|P0DW12|TFKL7_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|P0DW13|TFKL8_HUMAN	tr|A0A2I3GX85|A0A2I3GX85_NOMLE
OG0000043	sp|P43364|MAGAB_HUMAN	tr|G1RSY7|G1RSY7_NOMLE
OG0000043	sp|A6NCF6|MA13P_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43361|MAGA8_HUMAN	tr|G1RSZ7|G1RSZ7_NOMLE
OG0000044	sp|Q58FF7|H90B3_HUMAN	tr|A0A2I3HHN7|A0A2I3HHN7_NOMLE
OG0000044	sp|Q58FG1|HS904_HUMAN	tr|A0A2I3GYF8|A0A2I3GYF8_NOMLE, tr|A0A2I3H1J2|A0A2I3H1J2_NOMLE
OG0000044	sp|P07900|HS90A_HUMAN	tr|A0A2I3FZX2|A0A2I3FZX2_NOMLE
