Orthogroup	Homo_sapiens	Monodon_monoceros
OG0000004	sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN, sp|Q9H209|O10A4_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|P58181|O10A3_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|Q9UGF6|OR5V1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|O95371|OR2C1_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGT0|O13C9_HUMAN, sp|Q8NGS9|O13C2_HUMAN, sp|Q8NGS8|O13C5_HUMAN, sp|Q9NQN1|OR2S1_HUMAN, sp|P0DN81|O13C7_HUMAN, sp|Q8NGS7|O13C8_HUMAN, sp|Q8NGS5|O13C4_HUMAN, sp|Q8NGS6|O13C3_HUMAN, sp|Q8NGS4|O13F1_HUMAN, sp|Q8NGT1|OR2K2_HUMAN, sp|Q8NGT2|O13J1_HUMAN, sp|Q8NGV5|O13D1_HUMAN, sp|Q13607|OR2F1_HUMAN, sp|O95006|OR2F2_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q8NG92|O13H1_HUMAN, sp|Q8NGE3|O10P1_HUMAN, sp|Q8NH19|O10AG_HUMAN	tr|A0A4U1FCV1|A0A4U1FCV1_MONMO
OG0000005	sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|P34982|OR1D2_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN	tr|A0A4U1FCL9|A0A4U1FCL9_MONMO
OG0000006	sp|Q8NGC2|OR4E2_HUMAN, sp|Q8NGN3|O10G4_HUMAN, sp|Q8NGN4|O10G9_HUMAN, sp|Q8NGN5|O10G8_HUMAN, sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGC4|O10G3_HUMAN, sp|Q8NGC3|O10G2_HUMAN, sp|Q8NH81|O10G6_HUMAN, sp|Q8NGN2|O10S1_HUMAN, sp|Q8NGN7|O10D4_HUMAN, sp|Q8NH80|O10D3_HUMAN, sp|P0C645|OR4E1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN, sp|Q96R69|OR4F4_HUMAN, sp|Q8NGA8|O4F17_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGB8|O4F15_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGB9|OR4F6_HUMAN, sp|Q8NGC6|OR4KH_HUMAN, sp|Q8NH42|OR4KD_HUMAN, sp|Q8NH43|OR4L1_HUMAN, sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD2|OR4K2_HUMAN, sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGE8|OR4D9_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGN0|OR4D5_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|P0C623|OR4Q2_HUMAN	tr|A0A4V5P6S2|A0A4V5P6S2_MONMO
OG0000008	sp|P22626|ROA2_HUMAN	tr|A0A4U1EX15|A0A4U1EX15_MONMO
OG0000008	sp|P51991|ROA3_HUMAN	tr|A0A4U1F122|A0A4U1F122_MONMO, tr|A0A4U1FST8|A0A4U1FST8_MONMO, tr|A0A4U1FQ44|A0A4U1FQ44_MONMO, tr|A0A4U1EX14|A0A4U1EX14_MONMO, tr|A0A4U1ES82|A0A4U1ES82_MONMO, tr|A0A4U1ETS6|A0A4U1ETS6_MONMO, tr|A0A4U1EBD0|A0A4U1EBD0_MONMO, tr|A0A4U1FR31|A0A4U1FR31_MONMO, tr|A0A4U1F8H6|A0A4U1F8H6_MONMO, tr|A0A4U1EMV1|A0A4U1EMV1_MONMO, tr|A0A4U1EXR7|A0A4U1EXR7_MONMO, tr|A0A4U1EEG4|A0A4U1EEG4_MONMO, tr|A0A4U1ESK3|A0A4U1ESK3_MONMO, tr|A0A4U1F271|A0A4U1F271_MONMO, tr|A0A4U1FEA7|A0A4U1FEA7_MONMO, tr|A0A4U1FS07|A0A4U1FS07_MONMO, tr|A0A4U1FCU4|A0A4U1FCU4_MONMO, tr|A0A4U1F8K6|A0A4U1F8K6_MONMO, tr|A0A4U1EUW4|A0A4U1EUW4_MONMO, tr|A0A4U1FZV8|A0A4U1FZV8_MONMO, tr|A0A4U1FTM2|A0A4U1FTM2_MONMO, tr|A0A4U1EY25|A0A4U1EY25_MONMO, tr|A0A4V5P9K4|A0A4V5P9K4_MONMO, tr|A0A4U1FK76|A0A4U1FK76_MONMO, tr|A0A4U1FFK4|A0A4U1FFK4_MONMO, tr|A0A4U1EY13|A0A4U1EY13_MONMO, tr|A0A4U1ET84|A0A4U1ET84_MONMO, tr|A0A4U1F634|A0A4U1F634_MONMO, tr|A0A4U1ETH6|A0A4U1ETH6_MONMO, tr|A0A4U1EXP2|A0A4U1EXP2_MONMO, tr|A0A4V5P9I0|A0A4V5P9I0_MONMO, tr|A0A4U1FMX9|A0A4U1FMX9_MONMO, tr|A0A4U1FR36|A0A4U1FR36_MONMO, tr|A0A4U1FG08|A0A4U1FG08_MONMO, tr|A0A4U1FCG9|A0A4U1FCG9_MONMO, tr|A0A4U1ECX9|A0A4U1ECX9_MONMO, tr|A0A4U1EDK5|A0A4U1EDK5_MONMO, tr|A0A4U1FIK1|A0A4U1FIK1_MONMO
OG0000009	sp|P02792|FRIL_HUMAN	tr|A0A4U1ETB1|A0A4U1ETB1_MONMO, tr|A0A4U1FSH3|A0A4U1FSH3_MONMO, tr|A0A4U1ET90|A0A4U1ET90_MONMO, tr|A0A4U1FTM4|A0A4U1FTM4_MONMO, tr|A0A4U1EID6|A0A4U1EID6_MONMO, tr|A0A4U1FFC7|A0A4U1FFC7_MONMO, tr|A0A4U1FJQ7|A0A4U1FJQ7_MONMO, tr|A0A4U1F116|A0A4U1F116_MONMO, tr|A0A4U1F252|A0A4U1F252_MONMO, tr|A0A4U1FJH3|A0A4U1FJH3_MONMO, tr|A0A4V5P6C5|A0A4V5P6C5_MONMO, tr|A0A4U1EGW8|A0A4U1EGW8_MONMO, tr|A0A4U1EQK8|A0A4U1EQK8_MONMO, tr|A0A4V5P8B5|A0A4V5P8B5_MONMO, tr|A0A4U1FPT0|A0A4U1FPT0_MONMO, tr|A0A4U1F670|A0A4U1F670_MONMO, tr|A0A4U1FM52|A0A4U1FM52_MONMO, tr|A0A4U1FDX2|A0A4U1FDX2_MONMO, tr|A0A4U1EXE0|A0A4U1EXE0_MONMO, tr|A0A4U1EUX7|A0A4U1EUX7_MONMO, tr|A0A4U1EQ81|A0A4U1EQ81_MONMO, tr|A0A4U1FFS6|A0A4U1FFS6_MONMO, tr|A0A4U1ER08|A0A4U1ER08_MONMO, tr|A0A4U1F4F9|A0A4U1F4F9_MONMO, tr|A0A4U1F519|A0A4U1F519_MONMO, tr|A0A4U1F5X0|A0A4U1F5X0_MONMO, tr|A0A4U1F5Z4|A0A4U1F5Z4_MONMO, tr|A0A4U1ERT2|A0A4U1ERT2_MONMO, tr|A0A4U1FHZ0|A0A4U1FHZ0_MONMO, tr|A0A4U1EMR9|A0A4U1EMR9_MONMO, tr|A0A4U1ECC8|A0A4U1ECC8_MONMO, tr|A0A4U1EIF1|A0A4U1EIF1_MONMO, tr|A0A4U1EBQ9|A0A4U1EBQ9_MONMO, tr|A0A4U1EUY1|A0A4U1EUY1_MONMO, tr|A0A4U1F2A4|A0A4U1F2A4_MONMO, tr|A0A4U1F2S2|A0A4U1F2S2_MONMO, tr|A0A4U1F6V6|A0A4U1F6V6_MONMO, tr|A0A4U1F265|A0A4U1F265_MONMO, tr|A0A4U1FJT6|A0A4U1FJT6_MONMO, tr|A0A4U1EPR4|A0A4U1EPR4_MONMO
OG0000010	sp|P12018|VPREB_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01721|LV657_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01718|LV327_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN	tr|A0A4U1EUD7|A0A4U1EUD7_MONMO
OG0000013	sp|Q8NGY2|OR6K2_HUMAN, sp|Q8NGY3|OR6K3_HUMAN, sp|Q8NGY6|OR6N2_HUMAN, sp|Q8NGY5|OR6N1_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN, sp|A6NL08|O6C75_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NF89|OR6C6_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NCV1|O6C74_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|Q8NGE1|OR6C4_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGX9|OR6P1_HUMAN, sp|Q9GZK7|O11A1_HUMAN, sp|B2RN74|O11HC_HUMAN, sp|Q8NG94|O11H1_HUMAN, sp|Q8NH07|O11H2_HUMAN, sp|Q8NGC9|O11H4_HUMAN, sp|Q8NGC8|O11H7_HUMAN, sp|Q8NGC7|O11H6_HUMAN, sp|Q8NGC1|O11G2_HUMAN	tr|A0A4U1FF86|A0A4U1FF86_MONMO
OG0000014	sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN	tr|A0A4U1EIN4|A0A4U1EIN4_MONMO
OG0000017	sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN	tr|A0A4U1FKC2|A0A4U1FKC2_MONMO
OG0000018	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|A0A4U1EQ90|A0A4U1EQ90_MONMO
OG0000019	sp|P00414|COX3_HUMAN	tr|A0A4U1EYB7|A0A4U1EYB7_MONMO
OG0000019	sp|P03891|NU2M_HUMAN	tr|A0A4U1FLV6|A0A4U1FLV6_MONMO
