Orthogroup	Homo_sapiens	Rhinopithecus_roxellana
OG0000001	sp|Q8NH57|O52P1_HUMAN	tr|A0A2K6RP94|A0A2K6RP94_RHIRO
OG0000001	sp|Q9H339|O51B5_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H340|O51B6_HUMAN	tr|A0A2K6PZE2|A0A2K6PZE2_RHIRO
OG0000003	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A2K6P698|A0A2K6P698_RHIRO
OG0000003	sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN	tr|A0A2K6R9M1|A0A2K6R9M1_RHIRO
OG0000003	sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN	tr|A0A2K6R9Q9|A0A2K6R9Q9_RHIRO
OG0000003	sp|Q8WZA6|OR1E3_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN	tr|A0A2K6N8G9|A0A2K6N8G9_RHIRO
OG0000004	sp|Q8NGB8|O4F15_HUMAN	tr|A0A2K6NCY0|A0A2K6NCY0_RHIRO
OG0000004	sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|P0C623|OR4Q2_HUMAN	tr|A0A2K6P246|A0A2K6P246_RHIRO
OG0000004	sp|Q8NGN0|OR4D5_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN, sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGE8|OR4D9_HUMAN	tr|A0A2K6R798|A0A2K6R798_RHIRO
OG0000004	sp|Q8NH05|OR4Q3_HUMAN	tr|A0A2K6N9T4|A0A2K6N9T4_RHIRO
OG0000004	sp|Q8NGC2|OR4E2_HUMAN	tr|A0A2K6NT13|A0A2K6NT13_RHIRO
OG0000004	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K6NSU0|A0A2K6NSU0_RHIRO
OG0000004	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K6R4N9|A0A2K6R4N9_RHIRO
OG0000006	sp|O76000|OR2B3_HUMAN	tr|A0A2K6NKT0|A0A2K6NKT0_RHIRO
OG0000006	sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76002|OR2J2_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|A6NFC9|OR2W5_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, sp|A4D2G3|O2A25_HUMAN, sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, sp|Q96R48|OR2A5_HUMAN, sp|Q6IF42|OR2A2_HUMAN, tr|A0A126GWB0|A0A126GWB0_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN, sp|Q8NGT7|O2A12_HUMAN, tr|Q9BZC5|Q9BZC5_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2K6P9R2|A0A2K6P9R2_RHIRO
OG0000007	sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN	tr|A0A2K6PNP9|A0A2K6PNP9_RHIRO
OG0000007	tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN	tr|A0A2K6NEV4|A0A2K6NEV4_RHIRO
OG0000007	sp|P0DTE2|HV511_HUMAN	tr|A0A2K6NC16|A0A2K6NC16_RHIRO
OG0000008	sp|Q8NG84|O2AK2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN	tr|A0A2K6RNK6|A0A2K6RNK6_RHIRO
OG0000009	sp|Q8NGE5|O10A7_HUMAN	tr|A0A2K6NGB9|A0A2K6NGB9_RHIRO
OG0000009	sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN	tr|A0A2K6RQ09|A0A2K6RQ09_RHIRO
OG0000009	sp|Q5JRS4|O10J3_HUMAN, sp|P0C629|O10J4_HUMAN, sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN, sp|P30954|O10J1_HUMAN	tr|A0A2K6NL90|A0A2K6NL90_RHIRO
OG0000009	sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN	tr|A0A2K6P0J4|A0A2K6P0J4_RHIRO
OG0000010	sp|P59538|T2R31_HUMAN, sp|P59537|T2R43_HUMAN	tr|A0A2K6NJG7|A0A2K6NJG7_RHIRO
OG0000010	sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|P59535|T2R40_HUMAN, sp|P59534|T2R39_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|P59544|T2R50_HUMAN	tr|A0A2K6NGL1|A0A2K6NGL1_RHIRO
OG0000010	sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN	tr|A0A2K6NQZ3|A0A2K6NQZ3_RHIRO
OG0000011	sp|O15481|MAGB4_HUMAN	tr|A0A2K6PHW9|A0A2K6PHW9_RHIRO
OG0000011	sp|P43361|MAGA8_HUMAN	tr|A0A2K6R9P7|A0A2K6R9P7_RHIRO
OG0000011	sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN	tr|A0A2K6RTH4|A0A2K6RTH4_RHIRO
OG0000011	tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q8N7X4|MAGB6_HUMAN	tr|A0A2K6N8V2|A0A2K6N8V2_RHIRO
OG0000012	sp|P00338|LDHA_HUMAN	tr|A0A2K6NXJ8|A0A2K6NXJ8_RHIRO
OG0000012	sp|Q9BYZ2|LDH6B_HUMAN	tr|A0A2K6R4Q7|A0A2K6R4Q7_RHIRO, tr|A0A2K6PDZ4|A0A2K6PDZ4_RHIRO
OG0000012	sp|Q6ZMR3|LDH6A_HUMAN	tr|A0A2K6R3Q8|A0A2K6R3Q8_RHIRO
OG0000012	sp|P07864|LDHC_HUMAN	tr|A0A2K6NQR9|A0A2K6NQR9_RHIRO
OG0000012	sp|P07195|LDHB_HUMAN	tr|A0A2K6NN43|A0A2K6NN43_RHIRO, tr|A0A2K6QT31|A0A2K6QT31_RHIRO, tr|A0A2K6PBJ0|A0A2K6PBJ0_RHIRO, tr|A0A2K6P194|A0A2K6P194_RHIRO, tr|A0A2K6RS42|A0A2K6RS42_RHIRO, tr|A0A2K6P3S1|A0A2K6P3S1_RHIRO, tr|A0A2K6QR25|A0A2K6QR25_RHIRO, tr|A0A2K6RAA8|A0A2K6RAA8_RHIRO, tr|A0A2K6P571|A0A2K6P571_RHIRO, tr|A0A2K6NXB1|A0A2K6NXB1_RHIRO, tr|A0A2K6Q921|A0A2K6Q921_RHIRO, tr|A0A2K6N717|A0A2K6N717_RHIRO, tr|A0A2K6NYL2|A0A2K6NYL2_RHIRO
OG0000014	sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN	tr|A0A2K6QQP1|A0A2K6QQP1_RHIRO
OG0000015	sp|Q9Y5G9|PCDG4_HUMAN	tr|A0A2K6PD03|A0A2K6PD03_RHIRO
OG0000015	sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN	tr|A0A2K6R7N4|A0A2K6R7N4_RHIRO
OG0000017	sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K6QCZ7|A0A2K6QCZ7_RHIRO
OG0000017	sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN, sp|Q6IEV9|OR4CB_HUMAN, sp|Q8NGL9|OR4CG_HUMAN, sp|Q8NGL6|O4A15_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NH37|OR4C3_HUMAN, sp|Q8NGP0|OR4CD_HUMAN, sp|A6NHA9|O4C46_HUMAN, sp|Q96R67|OR4CC_HUMAN, sp|A6NMZ5|O4C45_HUMAN, sp|Q8NGB2|OR4C5_HUMAN, sp|Q8NH72|OR4C6_HUMAN	tr|A0A2K6RU95|A0A2K6RU95_RHIRO
OG0000018	sp|A6NLX3|SPDE4_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN	tr|A0A2K6NDI6|A0A2K6NDI6_RHIRO
OG0000019	sp|A6NCW7|U17L4_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6R901|U17LL_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6QN14|U17L6_HUMAN	tr|A0A2K6PIA4|A0A2K6PIA4_RHIRO
OG0000021	sp|A6NNH2|F90AR_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|P0DV76|F90AJ_HUMAN	tr|A0A2K6PC74|A0A2K6PC74_RHIRO
OG0000022	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K6NBL1|A0A2K6NBL1_RHIRO
OG0000022	sp|A6NL08|O6C75_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN	tr|A0A2K6QFA1|A0A2K6QFA1_RHIRO
OG0000022	sp|A6NF89|OR6C6_HUMAN, sp|A6NIJ9|O6C70_HUMAN, sp|A6NM76|O6C76_HUMAN, sp|A6NJZ3|O6C65_HUMAN, sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN, sp|A6NCV1|O6C74_HUMAN	tr|A0A2K6QEL9|A0A2K6QEL9_RHIRO
OG0000023	sp|A0A3B3IU63|H2AL3_HUMAN, tr|A0A8Q3WKH5|A0A8Q3WKH5_HUMAN, sp|P0C5Y9|H2AB1_HUMAN, sp|P0C5Z0|H2AB2_HUMAN	tr|A0A2K6NT40|A0A2K6NT40_RHIRO
OG0000023	sp|Q6FI13|H2A2A_HUMAN	tr|A0A2K6NFK3|A0A2K6NFK3_RHIRO
OG0000023	sp|Q7L7L0|H2A3_HUMAN	tr|A0A2K6NCK7|A0A2K6NCK7_RHIRO
OG0000023	sp|P04908|H2A1B_HUMAN	tr|A0A2K6NMG4|A0A2K6NMG4_RHIRO
OG0000023	sp|P20671|H2A1D_HUMAN	tr|A0A2K6NDX2|A0A2K6NDX2_RHIRO
OG0000023	sp|P0C0S8|H2A1_HUMAN	tr|A0A2K6NCZ4|A0A2K6NCZ4_RHIRO
OG0000023	sp|Q99878|H2A1J_HUMAN	tr|A0A2K6NP58|A0A2K6NP58_RHIRO
OG0000023	sp|Q96KK5|H2A1H_HUMAN	tr|A0A2K6NU81|A0A2K6NU81_RHIRO
OG0000024	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0C4DH33|HV124_HUMAN	tr|A0A2K6NSR7|A0A2K6NSR7_RHIRO
OG0000024	sp|P01743|HV146_HUMAN, tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN, sp|P23083|HV102_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P0DP01|HV108_HUMAN, sp|P01742|HV169_HUMAN, sp|A0A0B4J2H0|HV69D_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, sp|A0A0A0MS14|HV145_HUMAN, tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH29|HV103_HUMAN, sp|P0DTW3|HV384_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|A0A0B4J1V7|HV781_HUMAN	tr|A0A2K6NB08|A0A2K6NB08_RHIRO
OG0000025	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K6R3E8|A0A2K6R3E8_RHIRO
OG0000025	sp|P54760|EPHB4_HUMAN	tr|A0A2K6RMZ1|A0A2K6RMZ1_RHIRO
OG0000025	sp|P54753|EPHB3_HUMAN	tr|A0A2K6NJY9|A0A2K6NJY9_RHIRO
OG0000025	sp|P54762|EPHB1_HUMAN	tr|A0A2K6NCC9|A0A2K6NCC9_RHIRO
OG0000025	sp|P29323|EPHB2_HUMAN	tr|A0A2K6Q5N9|A0A2K6Q5N9_RHIRO
OG0000025	sp|P54764|EPHA4_HUMAN	tr|A0A2K6QJ08|A0A2K6QJ08_RHIRO
OG0000025	sp|Q15375|EPHA7_HUMAN	tr|A0A2K6PFH6|A0A2K6PFH6_RHIRO
OG0000025	sp|P29322|EPHA8_HUMAN	tr|A0A2K6QHH4|A0A2K6QHH4_RHIRO
OG0000025	sp|P54756|EPHA5_HUMAN	tr|A0A2K6PEN3|A0A2K6PEN3_RHIRO
OG0000025	sp|P29320|EPHA3_HUMAN	tr|A0A2K6RAC4|A0A2K6RAC4_RHIRO
OG0000027	sp|P15880|RS2_HUMAN	tr|A0A2K6Q219|A0A2K6Q219_RHIRO, tr|A0A2K6QE62|A0A2K6QE62_RHIRO, tr|A0A2K6R6L3|A0A2K6R6L3_RHIRO, tr|A0A2K6RKK2|A0A2K6RKK2_RHIRO, tr|A0A2K6Q2V7|A0A2K6Q2V7_RHIRO, tr|A0A2K6NIV9|A0A2K6NIV9_RHIRO, tr|A0A2K6RMB3|A0A2K6RMB3_RHIRO, tr|A0A2K6PX97|A0A2K6PX97_RHIRO, tr|A0A2K6P6Z2|A0A2K6P6Z2_RHIRO, tr|A0A2K6QGE6|A0A2K6QGE6_RHIRO, tr|A0A2K6N8B3|A0A2K6N8B3_RHIRO, tr|A0A2K6PBE5|A0A2K6PBE5_RHIRO, tr|A0A2K6QRK7|A0A2K6QRK7_RHIRO, tr|A0A2K6NMJ1|A0A2K6NMJ1_RHIRO, tr|A0A2K6RC05|A0A2K6RC05_RHIRO, tr|A0A2K6NLR1|A0A2K6NLR1_RHIRO, tr|A0A2K6QY83|A0A2K6QY83_RHIRO, tr|A0A2K6PRM2|A0A2K6PRM2_RHIRO
OG0000029	sp|A1L429|GG12C_HUMAN, sp|A6NDE8|GG12H_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q13066|GAG2B_HUMAN, sp|A6NGK3|GAG10_HUMAN, sp|Q9UEU5|GGE2D_HUMAN, sp|Q4V326|GAG2E_HUMAN, sp|P0CL82|GG12I_HUMAN, sp|O76087|GAGE7_HUMAN, sp|P0CL80|GG12F_HUMAN, sp|P0CL81|GG12G_HUMAN, sp|Q4V321|GAG13_HUMAN, sp|A6NER3|GG12J_HUMAN, sp|P0DTW1|GAGE1_HUMAN, sp|P0DSO3|GAGE4_HUMAN, sp|Q13069|GAGE5_HUMAN, sp|Q13070|GAGE6_HUMAN	tr|A0A2K6R788|A0A2K6R788_RHIRO
OG0000031	sp|Q6IFH4|OR6B2_HUMAN, sp|Q8NGW1|OR6B3_HUMAN	tr|A0A2K6NWI1|A0A2K6NWI1_RHIRO
