Orthogroup	Homo_sapiens	Ovis_aries
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|W5P8U0|W5P8U0_SHEEP, tr|W5NQF1|W5NQF1_SHEEP, tr|W5P8S2|W5P8S2_SHEEP
OG0000008	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN	tr|W5PM56|W5PM56_SHEEP
OG0000009	sp|O00370|LORF2_HUMAN	tr|W5NPE7|W5NPE7_SHEEP, tr|W5PMJ6|W5PMJ6_SHEEP, tr|W5NYH5|W5NYH5_SHEEP, tr|W5PN66|W5PN66_SHEEP, tr|W5PUZ6|W5PUZ6_SHEEP, tr|W5NSS7|W5NSS7_SHEEP
OG0000009	sp|Q9H606|PRORY_HUMAN	tr|W5P729|W5P729_SHEEP, tr|W5PEE0|W5PEE0_SHEEP, tr|W5PVI1|W5PVI1_SHEEP, tr|W5PCH8|W5PCH8_SHEEP, tr|W5P9P4|W5P9P4_SHEEP, tr|W5P9K2|W5P9K2_SHEEP, tr|W5P951|W5P951_SHEEP, tr|W5P5U1|W5P5U1_SHEEP, tr|W5P5D0|W5P5D0_SHEEP, tr|W5PRR6|W5PRR6_SHEEP, tr|W5P5C7|W5P5C7_SHEEP, tr|W5Q8R9|W5Q8R9_SHEEP, tr|W5Q8R6|W5Q8R6_SHEEP, tr|W5PUY9|W5PUY9_SHEEP, tr|W5P9P9|W5P9P9_SHEEP, tr|W5Q592|W5Q592_SHEEP, tr|W5P595|W5P595_SHEEP, tr|W5P7Q0|W5P7Q0_SHEEP, tr|W5Q054|W5Q054_SHEEP, tr|W5P9K9|W5P9K9_SHEEP, tr|W5P5B5|W5P5B5_SHEEP
OG0000010	sp|O15439|MRP4_HUMAN	tr|W5NS36|W5NS36_SHEEP, tr|W5NSL4|W5NSL4_SHEEP, tr|W5NRP5|W5NRP5_SHEEP, tr|W5Q510|W5Q510_SHEEP, tr|W5NSX3|W5NSX3_SHEEP, tr|W5NTW6|W5NTW6_SHEEP, tr|W5NWL6|W5NWL6_SHEEP, tr|W5NVB5|W5NVB5_SHEEP, tr|W5NSQ5|W5NSQ5_SHEEP, tr|W5NSB7|W5NSB7_SHEEP, tr|W5NTF9|W5NTF9_SHEEP, tr|W5NWM4|W5NWM4_SHEEP, tr|W5NPW3|W5NPW3_SHEEP, tr|W5NSR1|W5NSR1_SHEEP, tr|W5NSR6|W5NSR6_SHEEP, tr|W5NTH1|W5NTH1_SHEEP, tr|W5NVI5|W5NVI5_SHEEP, tr|W5NTE5|W5NTE5_SHEEP, tr|W5NSG8|W5NSG8_SHEEP, tr|W5NW32|W5NW32_SHEEP, tr|W5NUZ5|W5NUZ5_SHEEP, tr|W5Q128|W5Q128_SHEEP, tr|W5NT39|W5NT39_SHEEP, tr|W5NU30|W5NU30_SHEEP, tr|W5NUR5|W5NUR5_SHEEP, tr|W5NSY9|W5NSY9_SHEEP, tr|W5NTY3|W5NTY3_SHEEP
OG0000013	sp|Q8NGA1|OR1M1_HUMAN	tr|W5Q4A8|W5Q4A8_SHEEP
OG0000013	sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O76099|OR7C1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q6IFN5|O7E24_HUMAN	tr|W5Q4H7|W5Q4H7_SHEEP
OG0000014	sp|Q86XU0|ZN677_HUMAN	tr|W5NPV4|W5NPV4_SHEEP
OG0000014	sp|Q8N8Y5|ZFP41_HUMAN	tr|W5NPX0|W5NPX0_SHEEP, tr|W5NPK9|W5NPK9_SHEEP, tr|W5NVU8|W5NVU8_SHEEP, tr|W5NTB2|W5NTB2_SHEEP, tr|W5NRB4|W5NRB4_SHEEP, tr|W5PND4|W5PND4_SHEEP, tr|W5NTF3|W5NTF3_SHEEP, tr|W5NY02|W5NY02_SHEEP, tr|W5NTU2|W5NTU2_SHEEP, tr|W5PY40|W5PY40_SHEEP, tr|W5NT40|W5NT40_SHEEP, tr|W5NPK2|W5NPK2_SHEEP, tr|W5NPP1|W5NPP1_SHEEP, tr|W5NPN3|W5NPN3_SHEEP, tr|W5NPT0|W5NPT0_SHEEP, tr|W5NPW2|W5NPW2_SHEEP, tr|W5NPU3|W5NPU3_SHEEP, tr|W5NPM2|W5NPM2_SHEEP, tr|W5PGJ3|W5PGJ3_SHEEP, tr|W5NQW8|W5NQW8_SHEEP, tr|W5NXH5|W5NXH5_SHEEP, tr|W5NY26|W5NY26_SHEEP, tr|W5NWV0|W5NWV0_SHEEP, tr|W5NVJ6|W5NVJ6_SHEEP
OG0000017	sp|Q6P9A1|ZN530_HUMAN	tr|W5P0K7|W5P0K7_SHEEP
OG0000017	sp|Q13398|ZN211_HUMAN	tr|W5P0I4|W5P0I4_SHEEP, tr|W5P099|W5P099_SHEEP, tr|W5QFA7|W5QFA7_SHEEP, tr|W5P0V2|W5P0V2_SHEEP, tr|W5QBJ6|W5QBJ6_SHEEP, tr|W5P0E7|W5P0E7_SHEEP, tr|W5P0D6|W5P0D6_SHEEP, tr|W5P0C2|W5P0C2_SHEEP, tr|W5P0A7|W5P0A7_SHEEP, tr|W5P0B5|W5P0B5_SHEEP, tr|W5P0C9|W5P0C9_SHEEP, tr|W5P0H4|W5P0H4_SHEEP, tr|W5P0Q8|W5P0Q8_SHEEP, tr|W5P3F9|W5P3F9_SHEEP, tr|W5P0Q3|W5P0Q3_SHEEP, tr|W5P0L5|W5P0L5_SHEEP, tr|W5P0M2|W5P0M2_SHEEP, tr|W5P0T4|W5P0T4_SHEEP, tr|W5P0S0|W5P0S0_SHEEP, tr|W5P0U5|W5P0U5_SHEEP, tr|W5P0M7|W5P0M7_SHEEP, tr|W5P0N5|W5P0N5_SHEEP
OG0000021	sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN	tr|W5NQU0|W5NQU0_SHEEP
OG0000022	sp|A0A1B0GX56|TRDV1_HUMAN	tr|W5QE26|W5QE26_SHEEP, tr|W5NPV7|W5NPV7_SHEEP, tr|W5PJT6|W5PJT6_SHEEP, tr|W5QE56|W5QE56_SHEEP, tr|W5QE10|W5QE10_SHEEP, tr|W5NSI8|W5NSI8_SHEEP, tr|W5NTB9|W5NTB9_SHEEP, tr|W5QE38|W5QE38_SHEEP, tr|W5NPU2|W5NPU2_SHEEP, tr|W5NW50|W5NW50_SHEEP, tr|W5NW60|W5NW60_SHEEP, tr|W5QE62|W5QE62_SHEEP, tr|W5QE08|W5QE08_SHEEP, tr|W5QDZ6|W5QDZ6_SHEEP, tr|W5NSG4|W5NSG4_SHEEP, tr|W5QDZ9|W5QDZ9_SHEEP, tr|W5PKT5|W5PKT5_SHEEP, tr|W5NSG9|W5NSG9_SHEEP, tr|W5QE02|W5QE02_SHEEP, tr|W5NRR1|W5NRR1_SHEEP, tr|W5QE17|W5QE17_SHEEP, tr|W5NXD8|W5NXD8_SHEEP
OG0000025	sp|A6NLX3|SPDE4_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|P0DUD4|SPD15_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|P0CI01|SPDE6_HUMAN	tr|W5NX93|W5NX93_SHEEP
OG0000026	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|C9JJH3|U17LA_HUMAN	tr|W5Q8G8|W5Q8G8_SHEEP
OG0000027	sp|P08729|K2C7_HUMAN	tr|W5Q6V2|W5Q6V2_SHEEP
OG0000027	sp|Q86Y46|K2C73_HUMAN	tr|W5Q624|W5Q624_SHEEP
OG0000027	sp|Q3SY84|K2C71_HUMAN	tr|W5Q671|W5Q671_SHEEP
OG0000027	sp|Q7RTS7|K2C74_HUMAN	tr|W5Q659|W5Q659_SHEEP
OG0000027	sp|Q14CN4|K2C72_HUMAN	tr|W5Q643|W5Q643_SHEEP
OG0000027	sp|P19013|K2C4_HUMAN	tr|W5Q5S8|W5Q5S8_SHEEP, tr|W5Q5U5|W5Q5U5_SHEEP
OG0000028	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN	tr|W5NQ24|W5NQ24_SHEEP
OG0000029	sp|Q5T7N2|LITD1_HUMAN, sp|Q9UN81|LORF1_HUMAN	tr|W5PYH4|W5PYH4_SHEEP, tr|W5P980|W5P980_SHEEP, tr|W5PZ58|W5PZ58_SHEEP, tr|W5Q057|W5Q057_SHEEP, tr|W5PVE2|W5PVE2_SHEEP, tr|W5PGW4|W5PGW4_SHEEP, tr|W5PRP5|W5PRP5_SHEEP, tr|W5PYP3|W5PYP3_SHEEP, tr|W5P8Y3|W5P8Y3_SHEEP, tr|W5PYW9|W5PYW9_SHEEP, tr|W5QJC0|W5QJC0_SHEEP, tr|W5Q1I2|W5Q1I2_SHEEP, tr|W5PUC3|W5PUC3_SHEEP, tr|W5PHC6|W5PHC6_SHEEP, tr|W5PVJ8|W5PVJ8_SHEEP, tr|W5Q579|W5Q579_SHEEP, tr|W5PV27|W5PV27_SHEEP, tr|W5P1L6|W5P1L6_SHEEP, tr|W5PVI7|W5PVI7_SHEEP, tr|W5Q0D1|W5Q0D1_SHEEP
OG0000030	sp|P33260|CP2CI_HUMAN, sp|P11712|CP2C9_HUMAN, sp|P33261|CP2CJ_HUMAN, sp|P10632|CP2C8_HUMAN	tr|W5P608|W5P608_SHEEP, tr|W5NVD2|W5NVD2_SHEEP, tr|W5NRD8|W5NRD8_SHEEP, tr|W5PBM8|W5PBM8_SHEEP, tr|W5PBB7|W5PBB7_SHEEP, tr|W5PBJ5|W5PBJ5_SHEEP, tr|W5PB74|W5PB74_SHEEP, tr|W5PAW1|W5PAW1_SHEEP, tr|W5PVI8|W5PVI8_SHEEP, tr|W5P436|W5P436_SHEEP, tr|W5P581|W5P581_SHEEP, tr|W5NZ35|W5NZ35_SHEEP, tr|W5NR17|W5NR17_SHEEP, tr|W5P6V8|W5P6V8_SHEEP, tr|W5P5D3|W5P5D3_SHEEP, tr|W5NWG1|W5NWG1_SHEEP, tr|W5NQ05|W5NQ05_SHEEP, tr|W5NRQ8|W5NRQ8_SHEEP
OG0000033	sp|P0DTE4|UD2A1_HUMAN	tr|W5PJE8|W5PJE8_SHEEP
OG0000033	sp|P0DTE5|UD2A2_HUMAN, sp|O75795|UDB17_HUMAN, sp|P54855|UDB15_HUMAN, sp|P06133|UD2B4_HUMAN, sp|P16662|UD2B7_HUMAN, sp|P36537|UDB10_HUMAN, sp|O75310|UDB11_HUMAN, sp|Q9BY64|UDB28_HUMAN, sp|Q6UWM9|UD2A3_HUMAN, sp|P19224|UD16_HUMAN, sp|Q9HAW9|UD18_HUMAN, sp|Q9HAW8|UD110_HUMAN, sp|Q9HAW7|UD17_HUMAN, sp|O60656|UD19_HUMAN, sp|P35503|UD13_HUMAN, sp|P35504|UD15_HUMAN, sp|P22310|UD14_HUMAN, sp|P22309|UD11_HUMAN	tr|W5QD45|W5QD45_SHEEP
OG0000036	sp|Q96RC9|OR8B4_HUMAN	tr|W5Q1U6|W5Q1U6_SHEEP, tr|W5Q1E5|W5Q1E5_SHEEP, tr|W5Q1K3|W5Q1K3_SHEEP, tr|W5PKL5|W5PKL5_SHEEP, tr|W5Q1M7|W5Q1M7_SHEEP, tr|W5Q1T3|W5Q1T3_SHEEP, tr|W5Q1S2|W5Q1S2_SHEEP, tr|W5PJW6|W5PJW6_SHEEP, tr|W5Q1G0|W5Q1G0_SHEEP, tr|W5Q1L6|W5Q1L6_SHEEP, tr|W5Q1R2|W5Q1R2_SHEEP, tr|W5PKG4|W5PKG4_SHEEP, tr|W5PKH6|W5PKH6_SHEEP, tr|W5Q1J1|W5Q1J1_SHEEP, tr|W5Q1N7|W5Q1N7_SHEEP, tr|W5Q1P8|W5Q1P8_SHEEP, tr|W5PKM3|W5PKM3_SHEEP, tr|W5PKI5|W5PKI5_SHEEP, tr|W5Q1X0|W5Q1X0_SHEEP, tr|W5Q1V9|W5Q1V9_SHEEP
OG0000040	sp|Q8NGL9|OR4CG_HUMAN	tr|W5Q615|W5Q615_SHEEP, tr|W5PNW0|W5PNW0_SHEEP, tr|W5PVM7|W5PVM7_SHEEP, tr|W5NYT8|W5NYT8_SHEEP, tr|W5NYU3|W5NYU3_SHEEP, tr|W5PNF0|W5PNF0_SHEEP, tr|W5NYV0|W5NYV0_SHEEP, tr|W5NYW4|W5NYW4_SHEEP, tr|W5Q8M6|W5Q8M6_SHEEP, tr|W5NWL3|W5NWL3_SHEEP, tr|W5PF93|W5PF93_SHEEP, tr|W5PN15|W5PN15_SHEEP, tr|W5PF88|W5PF88_SHEEP, tr|W5PMZ8|W5PMZ8_SHEEP, tr|W5PNG7|W5PNG7_SHEEP, tr|W5PFA2|W5PFA2_SHEEP, tr|W5Q601|W5Q601_SHEEP, tr|W5NYU4|W5NYU4_SHEEP, tr|W5Q8L8|W5Q8L8_SHEEP
OG0000043	sp|P08311|CATG_HUMAN	tr|W5P3L2|W5P3L2_SHEEP, tr|W5P3K5|W5P3K5_SHEEP
OG0000043	sp|P20718|GRAH_HUMAN	tr|W5NT27|W5NT27_SHEEP, tr|W5NYB0|W5NYB0_SHEEP, tr|W5P3Z3|W5P3Z3_SHEEP, tr|W5NUX9|W5NUX9_SHEEP
OG0000043	sp|P10144|GRAB_HUMAN	tr|W5NYD4|W5NYD4_SHEEP
OG0000045	sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|A6NH00|OR2T8_HUMAN	tr|W5PDC5|W5PDC5_SHEEP, tr|W5PQW0|W5PQW0_SHEEP, tr|W5PRS7|W5PRS7_SHEEP, tr|W5PQN8|W5PQN8_SHEEP, tr|W5PB35|W5PB35_SHEEP, tr|W5Q5H6|W5Q5H6_SHEEP, tr|W5PTK6|W5PTK6_SHEEP, tr|W5PTB8|W5PTB8_SHEEP, tr|W5PUD3|W5PUD3_SHEEP, tr|W5PU55|W5PU55_SHEEP, tr|W5PU42|W5PU42_SHEEP, tr|W5PUE7|W5PUE7_SHEEP, tr|W5PC08|W5PC08_SHEEP, tr|W5PDY5|W5PDY5_SHEEP, tr|W5NXI1|W5NXI1_SHEEP, tr|W5PAT7|W5PAT7_SHEEP
OG0000047	sp|Q96KK4|O10C1_HUMAN	tr|W5Q6E5|W5Q6E5_SHEEP
OG0000047	sp|Q9H209|O10A4_HUMAN	tr|W5Q6Y9|W5Q6Y9_SHEEP
OG0000047	sp|Q9H207|O10A5_HUMAN, sp|Q9H208|O10A2_HUMAN	tr|W5Q726|W5Q726_SHEEP, tr|W5Q715|W5Q715_SHEEP, tr|W5Q703|W5Q703_SHEEP
OG0000047	sp|Q8NHC6|O14L1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NHC7|O14CZ_HUMAN	tr|W5PGX5|W5PGX5_SHEEP, tr|W5Q6Z9|W5Q6Z9_SHEEP, tr|W5PGW0|W5PGW0_SHEEP, tr|W5PGT4|W5PGT4_SHEEP
OG0000048	sp|P05000|IFNW1_HUMAN	sp|Q08072|IFNT8_SHEEP, sp|Q08070|IFNT9_SHEEP, tr|W5QJ91|W5QJ91_SHEEP, sp|P56828|IFNT1_SHEEP, sp|P56829|IFNT2_SHEEP, tr|W5QJ90|W5QJ90_SHEEP, sp|P56832|IFNT3_SHEEP, sp|Q28595|IFNT5_SHEEP, sp|Q28594|IFNT4_SHEEP, sp|Q08071|IFNT7_SHEEP, sp|Q29429|IFNT6_SHEEP, sp|Q08053|IFNTA_SHEEP, sp|P28169|IFNTB_SHEEP, tr|W5PY77|W5PY77_SHEEP, tr|W5PG96|W5PG96_SHEEP, tr|W5PYA2|W5PYA2_SHEEP, tr|W5PYB0|W5PYB0_SHEEP
OG0000051	sp|Q96M43|NBPF4_HUMAN, sp|Q5VWK0|NBPF6_HUMAN, sp|Q86XG9|NBPF5_HUMAN, sp|P0C2Y1|NBPF7_HUMAN, sp|P0DPF3|NBPF9_HUMAN, sp|Q86T75|NBPFB_HUMAN, sp|Q3BBV2|NBPF8_HUMAN, sp|Q3BBV0|NBPF1_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|A0A087WUL8|NBPFJ_HUMAN, sp|P0DPF2|NBPFK_HUMAN, sp|Q6P3W6|NBPFA_HUMAN, sp|B4DH59|NBPFP_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|Q8N660|NBPFF_HUMAN, sp|Q9H094|NBPF3_HUMAN	tr|W5QH32|W5QH32_SHEEP
OG0000052	sp|Q8NH55|O52E5_HUMAN	tr|W5PAG3|W5PAG3_SHEEP
OG0000052	sp|Q8NGJ3|O52E1_HUMAN	tr|W5QB92|W5QB92_SHEEP
OG0000052	sp|Q8NGJ4|O52E2_HUMAN	tr|W5NQ75|W5NQ75_SHEEP, tr|W5NPY3|W5NPY3_SHEEP, tr|W5PAZ8|W5PAZ8_SHEEP, tr|W5P885|W5P885_SHEEP
OG0000052	sp|Q8NGH9|O52E4_HUMAN	tr|W5P839|W5P839_SHEEP, tr|W5PCP6|W5PCP6_SHEEP, tr|W5QC88|W5QC88_SHEEP
OG0000052	sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN	tr|W5PAH9|W5PAH9_SHEEP, tr|W5PAJ4|W5PAJ4_SHEEP
OG0000053	sp|Q6PG37|ZN790_HUMAN	tr|W5P5X8|W5P5X8_SHEEP
OG0000053	sp|Q9Y2G7|ZFP30_HUMAN	tr|W5P5Y2|W5P5Y2_SHEEP
OG0000053	sp|Q9HCL3|ZFP14_HUMAN	tr|W5P5M5|W5P5M5_SHEEP, tr|W5P5N0|W5P5N0_SHEEP
OG0000053	sp|Q96SK3|ZN607_HUMAN	tr|W5NZE5|W5NZE5_SHEEP, tr|W5NZS2|W5NZS2_SHEEP, tr|W5P5Z6|W5P5Z6_SHEEP, tr|W5QEI0|W5QEI0_SHEEP
OG0000053	sp|Q969W8|ZN566_HUMAN	tr|W5P5J8|W5P5J8_SHEEP, tr|W5P5X0|W5P5X0_SHEEP, tr|W5NZE0|W5NZE0_SHEEP, tr|W5P5L5|W5P5L5_SHEEP
OG0000054	sp|O43506|ADA20_HUMAN	tr|W5QJ78|W5QJ78_SHEEP
OG0000054	sp|Q9UKJ8|ADA21_HUMAN	tr|W5NSG7|W5NSG7_SHEEP
OG0000054	sp|Q9UKF5|ADA29_HUMAN	tr|W5Q104|W5Q104_SHEEP, tr|W5PHD0|W5PHD0_SHEEP, tr|W5PHH6|W5PHH6_SHEEP
OG0000054	sp|Q9UKF2|ADA30_HUMAN	tr|W5P3P5|W5P3P5_SHEEP, tr|W5P3V3|W5P3V3_SHEEP, tr|W5P3S1|W5P3S1_SHEEP, tr|W5NSF5|W5NSF5_SHEEP, tr|W5Q8C3|W5Q8C3_SHEEP, tr|W5PQJ3|W5PQJ3_SHEEP, tr|W5QGT8|W5QGT8_SHEEP, tr|W5PQY9|W5PQY9_SHEEP
