Orthogroup	Homo_sapiens	Aotus_nancymaae
OG0000002	sp|Q8NGJ5|O51L1_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN	tr|A0A2K5CQG5|A0A2K5CQG5_AOTNA
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A2K5BZ72|A0A2K5BZ72_AOTNA
OG0000003	sp|Q15619|OR1C1_HUMAN	tr|A0A2K5D8I7|A0A2K5D8I7_AOTNA
OG0000003	sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P34982|OR1D2_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN, sp|Q8NHA8|OR1FC_HUMAN	tr|A0A2K5DAL6|A0A2K5DAL6_AOTNA
OG0000004	sp|P0C623|OR4Q2_HUMAN	tr|A0A2K5DQ34|A0A2K5DQ34_AOTNA
OG0000004	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN, sp|Q8NGB8|O4F15_HUMAN	tr|A0A2K5BZ27|A0A2K5BZ27_AOTNA
OG0000004	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2K5CFR0|A0A2K5CFR0_AOTNA
OG0000004	sp|Q96R69|OR4F4_HUMAN, sp|Q8NH21|OR4F5_HUMAN, sp|Q8NGA8|O4F17_HUMAN	tr|A0A2K5C243|A0A2K5C243_AOTNA
OG0000004	sp|Q8NGD4|OR4K1_HUMAN, sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2K5BX35|A0A2K5BX35_AOTNA
OG0000004	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K5CAX4|A0A2K5CAX4_AOTNA
OG0000005	sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NG77|O2T12_HUMAN	tr|A0A2K5D2N0|A0A2K5D2N0_AOTNA
OG0000007	sp|P30954|O10J1_HUMAN	tr|A0A2K5CZU9|A0A2K5CZU9_AOTNA
OG0000007	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A2K5E9F8|A0A2K5E9F8_AOTNA
OG0000007	sp|Q8NGY1|O10Z1_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60404|O10H3_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGI7|O10V1_HUMAN, sp|Q8NGQ4|O10Q1_HUMAN, sp|Q8NGF6|O10W1_HUMAN, sp|Q8NH08|O10AC_HUMAN, sp|Q8NHC6|O14L1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NHC7|O14CZ_HUMAN, sp|Q8NH19|O10AG_HUMAN, sp|Q96KK4|O10C1_HUMAN, sp|Q8NGE3|O10P1_HUMAN, sp|Q8NGE5|O10A7_HUMAN, sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN, sp|Q9H209|O10A4_HUMAN, sp|Q9H208|O10A2_HUMAN, sp|Q9H207|O10A5_HUMAN	tr|A0A2K5BY49|A0A2K5BY49_AOTNA
OG0000009	sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN	tr|A0A2K5C4A7|A0A2K5C4A7_AOTNA
OG0000009	sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN	tr|A0A2K5D117|A0A2K5D117_AOTNA
OG0000009	sp|P04435|TVB79_HUMAN	tr|A0A2K5FA68|A0A2K5FA68_AOTNA
OG0000009	sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN	tr|A0A2K5CA28|A0A2K5CA28_AOTNA
OG0000010	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|A6NCC3|GOG8O_HUMAN	tr|A0A2K5C9K7|A0A2K5C9K7_AOTNA
OG0000011	sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|O60732|MAGC1_HUMAN, sp|P43363|MAGAA_HUMAN, sp|Q9HAY2|MAGF1_HUMAN, sp|Q9UJ55|MAGL2_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|O15479|MAGB2_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN, sp|Q9BZ81|MAGB5_HUMAN, sp|O15480|MAGB3_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|A2A368|MAGBG_HUMAN, sp|A6NCF6|MA13P_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43359|MAGA5_HUMAN	tr|A0A2K5DAV2|A0A2K5DAV2_AOTNA
OG0000012	sp|Q99706|KI2L4_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN	tr|A0A2K5EC59|A0A2K5EC59_AOTNA
OG0000012	sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, sp|Q9H7L2|KI3X1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43628|KI2L3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN	tr|A0A2K5EVW5|A0A2K5EVW5_AOTNA
OG0000013	sp|Q8NH37|OR4C3_HUMAN	tr|A0A2K5BWG0|A0A2K5BWG0_AOTNA
OG0000013	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A2K5CP02|A0A2K5CP02_AOTNA
OG0000013	sp|A6NMZ5|O4C45_HUMAN	tr|A0A2K5D9D8|A0A2K5D9D8_AOTNA
OG0000013	sp|Q8NGL6|O4A15_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|P0C604|OR4A8_HUMAN, sp|Q8NH83|OR4A5_HUMAN	tr|A0A2K5DN34|A0A2K5DN34_AOTNA
OG0000013	sp|Q8NGF8|OR4B1_HUMAN, sp|Q8NH49|OR4X1_HUMAN, sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K5BXE6|A0A2K5BXE6_AOTNA
OG0000013	sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K5C3V1|A0A2K5C3V1_AOTNA
OG0000014	sp|A3QJZ7|PRA27_HUMAN, tr|A0A0G2JP20|A0A0G2JP20_HUMAN, sp|A6NGN4|PRA25_HUMAN, sp|H0Y7S4|PRA26_HUMAN, sp|P0DUQ1|PRA15_HUMAN, sp|P0DUQ2|PRAM9_HUMAN, sp|O60810|PRAM4_HUMAN, sp|O60813|PRA11_HUMAN, sp|Q5VXH4|PRAM6_HUMAN, sp|Q5TYX0|PRAM5_HUMAN, sp|Q5VT98|PRA20_HUMAN	tr|A0A2K5CDY0|A0A2K5CDY0_AOTNA
OG0000014	sp|Q5VXH5|PRAM7_HUMAN, sp|Q5VWM4|PRAM8_HUMAN, sp|O95522|PRA12_HUMAN	tr|A0A2K5DKT9|A0A2K5DKT9_AOTNA
OG0000014	sp|O60809|PRA10_HUMAN, sp|A0A0G2JMD5|PRA33_HUMAN, sp|Q5VTA0|PRA17_HUMAN, sp|Q5VWM6|PRA13_HUMAN, sp|Q5SWL7|PRA14_HUMAN, sp|O95521|PRAM1_HUMAN, sp|O60811|PRAM2_HUMAN, sp|Q5SWL8|PRA19_HUMAN, sp|Q5VWM3|PRA18_HUMAN, sp|A3QJZ6|PRA22_HUMAN, sp|P78395|PRAME_HUMAN	tr|A0A2K5E7Y9|A0A2K5E7Y9_AOTNA
OG0000015	sp|P59544|T2R50_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59541|T2R30_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|P59551|T2R60_HUMAN, sp|P59536|T2R41_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59542|T2R19_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DTE0|T2R36_HUMAN	tr|A0A2K5E093|A0A2K5E093_AOTNA
OG0000016	sp|Q96A08|H2B1A_HUMAN	tr|A0A2K5C6A0|A0A2K5C6A0_AOTNA
OG0000016	sp|Q16778|H2B2E_HUMAN	tr|A0A2K5C5K9|A0A2K5C5K9_AOTNA
OG0000016	sp|P23527|H2B1O_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN	tr|A0A2K5BV29|A0A2K5BV29_AOTNA
OG0000016	sp|P57053|H2BFS_HUMAN, sp|O60814|H2B1K_HUMAN, sp|Q6DRA6|H2B2D_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|P06899|H2B1J_HUMAN	tr|A0A2K5DCX7|A0A2K5DCX7_AOTNA
OG0000016	sp|Q99877|H2B1N_HUMAN, sp|P33778|H2B1B_HUMAN	tr|A0A2K5BXK3|A0A2K5BXK3_AOTNA
OG0000016	sp|Q99879|H2B1M_HUMAN, sp|P58876|H2B1D_HUMAN	tr|A0A2K5C6W9|A0A2K5C6W9_AOTNA
OG0000016	sp|Q99880|H2B1L_HUMAN	tr|A0A2K5C3J0|A0A2K5C3J0_AOTNA
OG0000017	sp|A6NF89|OR6C6_HUMAN	tr|A0A2K5BUY4|A0A2K5BUY4_AOTNA
OG0000017	sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K5BWA0|A0A2K5BWA0_AOTNA
OG0000017	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A2K5BW36|A0A2K5BW36_AOTNA
OG0000017	sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGM8|OR6M1_HUMAN, sp|Q8N148|OR6V1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN	tr|A0A2K5BZ24|A0A2K5BZ24_AOTNA
OG0000017	sp|A6NL08|O6C75_HUMAN, sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN	tr|A0A2K5C647|A0A2K5C647_AOTNA
OG0000017	sp|A6NCV1|O6C74_HUMAN	tr|A0A2K5BUZ1|A0A2K5BUZ1_AOTNA
OG0000017	sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN	tr|A0A2K5C5T4|A0A2K5C5T4_AOTNA
OG0000018	sp|Q9GZK3|OR2B2_HUMAN	tr|A0A2K5D064|A0A2K5D064_AOTNA
OG0000018	sp|P58173|OR2B6_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|A0A2K5ETN6|A0A2K5ETN6_AOTNA
OG0000019	sp|Q9H9J4|UBP42_HUMAN	tr|A0A2K5EFT8|A0A2K5EFT8_AOTNA
OG0000019	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|Q9P275|UBP36_HUMAN	tr|A0A2K5DUS6|A0A2K5DUS6_AOTNA
OG0000021	sp|Q9Y5G9|PCDG4_HUMAN	tr|A0A2K5EF80|A0A2K5EF80_AOTNA
OG0000021	sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN	tr|A0A2K5CSH3|A0A2K5CSH3_AOTNA
OG0000022	sp|Q6S8J7|POTEA_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q5JWF8|ACL10_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN	tr|A0A2K5D2T7|A0A2K5D2T7_AOTNA
OG0000024	sp|O95222|OR6A2_HUMAN	tr|A0A2K5BYQ5|A0A2K5BYQ5_AOTNA
OG0000024	sp|O95007|OR6B1_HUMAN, sp|Q8NGX8|OR6Y1_HUMAN, sp|Q8NGX9|OR6P1_HUMAN, sp|Q8NGQ2|OR6Q1_HUMAN, sp|Q9GZK7|O11A1_HUMAN, sp|Q8NGC1|O11G2_HUMAN, sp|Q8NH07|O11H2_HUMAN, sp|B2RN74|O11HC_HUMAN, sp|Q8NG94|O11H1_HUMAN, sp|Q8NGC7|O11H6_HUMAN, sp|Q8NGC9|O11H4_HUMAN, sp|Q8NGC8|O11H7_HUMAN, sp|Q8NGX0|O11L1_HUMAN, sp|Q8NGY3|OR6K3_HUMAN, sp|Q8NGW6|OR6K6_HUMAN, sp|Q8NGY2|OR6K2_HUMAN, sp|Q8NGY6|OR6N2_HUMAN, sp|Q8NGY5|OR6N1_HUMAN, sp|Q8NGW1|OR6B3_HUMAN, sp|Q6IFH4|OR6B2_HUMAN	tr|A0A2K5EB55|A0A2K5EB55_AOTNA
OG0000025	sp|P29322|EPHA8_HUMAN	tr|A0A2K5BVP2|A0A2K5BVP2_AOTNA
OG0000025	sp|P29320|EPHA3_HUMAN	tr|A0A2K5DJU7|A0A2K5DJU7_AOTNA
OG0000025	sp|Q9UF33|EPHA6_HUMAN	tr|A0A2K5EJX4|A0A2K5EJX4_AOTNA
OG0000025	sp|P54756|EPHA5_HUMAN	tr|A0A2K5D7H1|A0A2K5D7H1_AOTNA
OG0000025	sp|Q15375|EPHA7_HUMAN	tr|A0A2K5D4Z6|A0A2K5D4Z6_AOTNA
OG0000025	sp|P54764|EPHA4_HUMAN	tr|A0A2K5ELE0|A0A2K5ELE0_AOTNA
OG0000025	sp|P54760|EPHB4_HUMAN	tr|A0A2K5DHP3|A0A2K5DHP3_AOTNA, tr|A0A2K5CAQ9|A0A2K5CAQ9_AOTNA
OG0000025	sp|P29323|EPHB2_HUMAN	tr|A0A2K5DC18|A0A2K5DC18_AOTNA
OG0000025	sp|P54762|EPHB1_HUMAN	tr|A0A2K5DQ71|A0A2K5DQ71_AOTNA
OG0000025	sp|P54753|EPHB3_HUMAN	tr|A0A2K5BVD0|A0A2K5BVD0_AOTNA
OG0000026	sp|P15621|ZNF44_HUMAN	tr|A0A2K5ED96|A0A2K5ED96_AOTNA
OG0000026	sp|C9JN71|ZN878_HUMAN	tr|A0A2K5EAR9|A0A2K5EAR9_AOTNA
OG0000026	sp|Q96I27|ZN625_HUMAN	tr|A0A2K5ES41|A0A2K5ES41_AOTNA, tr|A0A2K5F045|A0A2K5F045_AOTNA
OG0000026	sp|P52737|ZN136_HUMAN	tr|A0A2K5ES56|A0A2K5ES56_AOTNA, tr|A0A2K5ESL1|A0A2K5ESL1_AOTNA
OG0000026	sp|Q96BR6|ZN669_HUMAN	tr|A0A2K5EXE0|A0A2K5EXE0_AOTNA, tr|A0A2K5BYJ5|A0A2K5BYJ5_AOTNA
OG0000026	sp|Q8N8Z8|ZN441_HUMAN	tr|A0A2K5E3N5|A0A2K5E3N5_AOTNA, tr|A0A2K5EAJ7|A0A2K5EAJ7_AOTNA
OG0000027	sp|P0C0S8|H2A1_HUMAN	tr|A0A2K5C0R5|A0A2K5C0R5_AOTNA
